Date,Stump Lakes (797) Air Temperature Average (degF),Stump Lakes (797) Air Temperature Minimum (degF),Stump Lakes (797) Air Temperature Maximum (degF),Stump Lakes (797) Precipitation Accumulation (in) Start of Day Values,Stump Lakes (797) Precipitation Increment (in),Stump Lakes (797) Snow Water Equivalent (in) Start of Day Values,Stump Lakes (797) Snow Depth (in) Start of Day Values
2016-02-10,31.8,22.1,45.7,16.0,0.0,13.2,49
2016-02-11,32.2,20.7,45.9,16.0,0.0,13.2,49
2016-02-12,33.4,25.0,47.3,16.0,0.0,13.2,48
2016-02-13,31.3,23.5,40.8,16.0,0.0,13.2,47
2016-02-14,26.6,20.5,36.3,16.0,0.0,13.3,48
2016-02-15,30.7,25.0,39.9,16.0,0.0,13.3,47
2016-02-16,32.2,24.1,43.7,16.0,0.0,13.3,46
2016-02-17,33.8,25.2,44.4,16.0,0.0,13.3,46
2016-02-18,30.2,24.8,34.5,16.0,0.0,13.3,46
2016-02-19,26.4,17.4,36.3,16.0,0.0,13.3,46
2016-02-20,29.3,21.9,41.7,16.0,0.0,13.3,46
2016-02-21,27.0,15.8,39.4,16.0,0.0,13.3,45
2016-02-22,18.0,7.9,29.1,16.0,0.0,13.3,45
2016-02-23,11.5,1.9,20.1,16.0,0.2,13.3,45
2016-02-24,15.8,0.7,30.0,16.2,0.0,13.9,50
2016-02-25,26.4,17.6,38.1,16.2,0.0,13.9,50
2016-02-26,27.9,17.2,42.1,16.2,0.0,13.9,49
2016-02-27,29.8,21.9,40.3,16.2,0.0,13.9,48
2016-02-28,30.6,21.4,41.2,16.2,0.0,13.9,47
2016-02-29,28.8,21.4,39.0,16.2,0.0,13.9,47
2016-03-01,30.6,24.6,42.6,16.2,0.0,13.9,47
2016-03-02,30.4,25.2,38.7,16.2,0.0,13.9,46
2016-03-03,32.0,24.4,43.0,16.2,0.0,13.9,46
2016-03-04,32.5,25.2,45.0,16.2,0.0,13.9,46
2016-03-05,31.6,25.3,41.2,16.2,0.0,13.9,45
2016-03-06,26.4,21.4,29.5,16.2,0.1,13.9,45
2016-03-07,15.4,6.4,25.7,16.3,0.0,14.3,47
2016-03-08,17.4,5.5,32.5,16.3,0.0,14.5,49
2016-03-09,19.6,7.2,34.0,16.3,0.0,14.5,49
2016-03-10,31.3,15.3,45.7,16.3,0.0,14.5,48
2016-03-11,34.0,22.1,47.3,16.3,0.0,14.5,47
2016-03-12,26.6,21.7,32.2,16.3,0.0,14.5,46
2016-03-13,27.0,16.7,36.9,16.3,0.0,14.5,46
2016-03-14,26.8,18.3,37.2,16.3,0.0,14.5,46
2016-03-15,19.9,12.6,28.0,16.3,0.0,14.5,46
2016-03-16,22.1,12.6,33.4,16.3,0.0,14.5,46
2016-03-17,27.5,19.9,38.5,16.3,0.0,14.5,46
2016-03-18,27.5,17.2,39.9,16.3,0.0,14.5,46
2016-03-19,28.4,20.1,40.5,16.3,0.0,14.5,46
2016-03-20,29.1,15.4,43.7,16.3,0.0,14.5,46
2016-03-21,35.1,23.7,46.4,16.3,0.0,14.5,46
2016-03-22,28.2,12.0,39.4,16.3,0.0,14.5,46
2016-03-23,16.0,9.3,27.7,16.3,0.0,14.5,46
2016-03-24,21.7,8.2,36.3,16.3,0.0,14.5,46
2016-03-25,20.8,15.1,29.7,16.3,0.0,14.5,45
2016-03-26,14.9,1.8,25.9,16.3,0.2,14.5,44
2016-03-27,20.1,1.4,35.2,16.5,0.0,14.9,48
2016-03-28,28.4,21.6,38.5,16.5,0.0,15.0,49
2016-03-29,19.2,7.7,27.3,16.5,0.0,15.0,49
2016-03-30,11.7,2.8,21.6,16.5,0.0,15.1,50
2016-03-31,14.4,3.2,26.8,16.5,0.0,15.1,50
2016-04-01,17.6,5.9,33.1,16.5,0.1,15.1,50
2016-04-02,24.6,10.6,40.3,16.6,0.0,15.2,49
2016-04-03,32.4,18.3,48.6,16.6,0.1,15.2,48
2016-04-04,34.9,23.9,48.4,16.7,0.0,15.2,47
2016-04-05,30.4,17.8,42.4,16.7,0.0,15.2,46
2016-04-06,34.5,16.9,49.8,16.7,0.0,15.2,44
2016-04-07,39.4,27.5,52.5,16.7,0.0,15.2,44
2016-04-08,32.9,29.1,40.1,16.7,0.1,15.2,43
2016-04-09,29.8,25.7,36.7,16.8,0.1,15.2,43
2016-04-10,30.6,24.1,42.6,16.9,0.0,15.3,42
2016-04-11,28.8,21.0,39.6,16.9,0.0,15.4,42
2016-04-12,29.1,21.4,40.1,16.9,0.1,15.4,42
2016-04-13,32.9,21.9,46.0,17.0,0.0,15.4,42
2016-04-14,36.0,27.3,43.9,17.0,0.0,15.5,42
2016-04-15,26.8,20.1,32.9,17.0,0.2,15.5,42
2016-04-16,21.4,15.3,28.0,17.2,0.9,15.8,45
2016-04-17,19.4,10.2,28.2,18.1,0.4,16.7,54
2016-04-18,19.2,9.1,26.8,18.5,0.2,17.1,54
2016-04-19,20.5,7.9,34.3,18.7,0.1,17.4,56
2016-04-20,32.5,20.7,42.6,18.8,0.1,17.4,52
2016-04-21,36.7,26.4,52.7,18.9,0.0,17.4,51
2016-04-22,41.2,31.5,53.4,18.9,0.0,17.2,48
2016-04-23,34.0,24.1,43.7,18.9,0.0,17.0,46
2016-04-24,32.5,23.5,46.8,18.9,0.0,17.0,45
2016-04-25,27.3,16.3,40.3,18.9,0.0,17.0,42
2016-04-26,19.4,13.6,26.6,18.9,0.0,17.0,42
2016-04-27,26.4,12.7,39.2,18.9,0.1,17.1,42
2016-04-28,27.3,21.2,40.1,19.0,0.4,17.3,42
2016-04-29,23.2,15.6,34.9,19.4,0.2,17.8,43
2016-04-30,24.8,13.1,37.4,19.6,0.0,18.0,44
2016-05-01,24.4,22.5,29.1,19.6,1.3,18.0,44
2016-05-02,25.9,15.4,38.3,20.9,0.2,19.3,56
2016-05-03,32.7,17.6,50.9,21.1,0.1,19.4,55
2016-05-04,39.0,27.0,53.1,21.2,0.0,19.2,52
2016-05-05,44.4,30.6,57.2,21.2,0.0,18.9,47
2016-05-06,40.3,29.3,53.2,21.2,0.0,18.6,45
2016-05-07,27.3,19.6,37.0,21.2,0.0,18.3,44
2016-05-08,25.7,19.2,36.3,21.2,0.2,18.5,42
2016-05-09,33.3,25.5,44.8,21.4,0.3,18.9,44
2016-05-10,34.7,28.2,45.7,21.7,0.1,19.0,45
2016-05-11,30.9,23.4,42.4,21.8,0.1,19.1,45
2016-05-12,37.9,23.2,52.5,21.9,0.2,19.1,44
2016-05-13,44.2,31.3,58.6,22.1,0.0,18.5,42
2016-05-14,45.7,34.7,57.9,22.1,0.0,17.2,41
2016-05-15,38.8,32.7,48.0,22.1,0.0,16.0,39
2016-05-16,30.6,25.7,38.1,22.1,0.2,15.2,35
2016-05-17,31.6,25.2,44.2,22.3,0.4,15.5,37
2016-05-18,30.9,24.6,42.6,22.7,0.4,15.8,38
2016-05-19,33.3,23.2,48.2,23.1,0.2,16.1,41
2016-05-20,40.8,30.0,51.6,23.3,0.1,15.9,38
2016-05-21,42.6,33.8,52.9,23.4,0.0,15.3,35
2016-05-22,37.4,28.8,48.2,23.4,0.0,14.2,33
2016-05-23,36.3,25.9,48.0,23.4,0.0,13.2,30
2016-05-24,38.3,27.3,49.1,23.4,0.0,12.1,27
2016-05-25,36.9,25.5,48.0,23.4,0.0,11.2,25
2016-05-26,32.9,27.9,41.4,23.4,0.0,10.2,23
2016-05-27,34.2,27.3,47.7,23.4,0.0,9.8,22
2016-05-28,37.0,27.1,49.1,23.4,0.1,9.5,21
2016-05-29,44.2,34.2,55.9,23.5,0.0,9.1,20
2016-05-30,43.7,33.3,55.8,23.5,0.0,7.7,15
2016-05-31,44.8,34.2,55.6,23.5,0.1,7.0,15
2016-06-01,42.8,34.5,54.7,23.6,0.0,6.1,12
2016-06-02,47.7,34.0,60.6,23.6,0.1,5.4,12
2016-06-03,50.0,38.8,61.5,23.7,0.0,3.8,9
2016-06-04,51.3,40.8,63.7,23.7,0.0,2.4,5
2016-06-05,52.0,40.6,64.4,23.7,0.1,1.2,2
2016-06-06,51.1,42.4,64.0,23.8,0.1,0.3,1
2016-06-07,52.5,44.1,63.1,23.9,0.1,0.0,0
2016-06-08,49.6,41.9,60.4,24.0,0.0,0.0,0
2016-06-09,52.9,41.7,68.0,24.0,0.3,0.0,0
2016-06-10,55.9,44.4,68.5,24.3,0.2,0.0,0
2016-06-11,51.3,41.9,60.4,24.5,0.0,0.0,0
2016-06-12,50.9,41.4,62.1,24.5,0.0,0.0,0
2016-06-13,45.7,35.2,57.0,24.5,0.0,0.0,0
2016-06-14,46.2,35.1,59.0,24.5,0.0,0.0,0
2016-06-15,50.7,36.9,63.3,24.5,0.1,0.0,0
2016-06-16,48.2,36.3,61.2,24.6,0.0,0.0,0
2016-06-17,52.2,39.0,66.4,24.6,0.1,0.0,0
2016-06-18,56.7,41.4,70.9,24.7,0.1,0.0,0
2016-06-19,60.6,45.7,75.2,24.8,0.1,0.0,0
2016-06-20,62.8,51.8,75.7,24.9,0.1,0.0,0
2016-06-21,58.6,47.8,74.5,25.0,0.0,0.0,0
2016-06-22,56.8,48.0,71.6,25.0,0.0,0.0,0
2016-06-23,57.6,48.9,68.7,25.0,0.0,0.0,0
2016-06-24,54.3,47.5,64.8,25.0,0.0,0.0,0
2016-06-25,54.9,45.7,66.0,25.0,0.0,0.0,0
2016-06-26,56.5,46.4,71.1,25.0,0.0,0.0,0
2016-06-27,56.8,44.4,71.6,25.0,0.0,0.0,0
2016-06-28,51.8,44.8,64.9,25.0,0.0,0.0,0
2016-06-29,51.3,42.8,65.1,25.0,0.0,0.0,0
2016-06-30,51.1,42.8,63.3,25.0,0.0,0.0,0
2016-07-01,44.2,41.4,49.5,25.0,0.0,0.0,0
2016-07-02,44.8,40.3,51.6,25.0,0.0,0.0,0
2016-07-03,50.4,41.7,60.4,25.0,0.2,0.0,0
2016-07-04,50.0,40.6,63.7,25.2,0.0,0.0,0
2016-07-05,54.0,44.1,65.7,25.2,0.1,0.0,0
2016-07-06,55.2,45.3,65.7,25.3,0.1,0.0,0
2016-07-07,54.0,44.8,65.8,25.4,0.0,0.0,0
2016-07-08,55.4,44.4,68.0,25.4,0.1,0.0,0
2016-07-09,57.2,46.8,70.0,25.5,0.2,0.0,0
2016-07-10,56.5,46.6,68.2,25.7,0.2,0.0,0
2016-07-11,53.1,44.1,64.2,25.9,0.0,0.0,0
2016-07-12,55.0,,66.4,25.9,0.0,0.0,0
2016-07-13,55.8,44.8,70.0,25.9,0.0,0.0,0
2016-07-14,57.4,44.6,71.2,25.9,0.0,0.0,0
2016-07-15,57.0,45.5,70.3,25.9,0.0,0.0,0
2016-07-16,57.7,48.0,70.3,25.9,0.0,0.0,0
2016-07-17,57.7,47.7,71.1,25.9,0.0,0.0,0
2016-07-18,56.8,44.2,71.2,25.9,0.2,0.0,0
2016-07-19,51.8,44.4,65.5,26.1,0.2,0.0,0
2016-07-20,52.2,43.2,65.3,26.3,0.1,0.0,0
2016-07-21,55.4,44.4,66.6,26.4,0.0,0.0,0
2016-07-22,56.1,46.6,67.6,26.4,0.0,0.0,0
2016-07-23,57.0,46.2,71.6,26.4,0.0,0.0,0
2016-07-24,56.1,46.6,68.4,26.4,0.0,0.0,0
2016-07-25,55.0,46.0,67.8,26.4,0.1,0.0,0
2016-07-26,54.0,45.0,65.3,26.5,0.0,0.0,0
2016-07-27,59.4,44.6,73.4,26.5,0.0,0.0,0
2016-07-28,59.2,48.0,74.5,26.5,0.0,0.0,0
2016-07-29,59.5,48.2,73.2,26.5,0.0,0.0,0
2016-07-30,54.7,45.7,68.0,26.5,0.0,0.0,0
2016-07-31,54.3,45.5,64.9,26.5,0.0,0.0,0
2016-08-01,49.3,43.2,61.7,26.5,0.2,0.0,0
2016-08-02,52.0,44.2,66.6,26.7,0.2,0.0,0
2016-08-03,51.3,44.8,62.8,26.9,0.3,0.0,0
2016-08-04,49.3,43.9,56.7,27.2,0.0,0.0,0
2016-08-05,46.8,42.4,51.4,27.2,2.7,0.0,0
2016-08-06,48.2,43.2,58.5,29.9,0.2,0.0,0
2016-08-07,50.9,42.1,63.1,30.1,0.1,0.0,0
2016-08-08,51.6,43.2,63.0,30.2,0.0,0.0,0
2016-08-09,53.4,45.3,64.2,30.2,0.0,0.0,0
2016-08-10,51.4,43.2,63.7,30.2,0.0,0.0,0
2016-08-11,51.6,42.4,63.0,30.2,0.0,0.0,0
2016-08-12,53.2,44.4,64.2,30.2,0.0,0.0,0
2016-08-13,49.6,41.2,61.9,30.2,0.0,0.0,0
2016-08-14,50.0,38.7,63.1,30.2,0.0,0.0,0
2016-08-15,49.8,39.6,63.1,30.2,0.0,0.0,0
2016-08-16,49.3,42.8,59.4,30.2,0.0,0.0,0
2016-08-17,45.9,35.2,55.9,30.2,0.1,0.0,0
2016-08-18,45.0,38.1,55.0,30.3,0.4,0.0,0
2016-08-19,45.9,36.9,57.0,30.7,0.0,0.0,0
2016-08-20,49.5,40.1,61.7,30.7,0.1,0.0,0
2016-08-21,45.0,36.7,57.6,30.8,0.0,0.0,0
2016-08-22,43.5,36.9,54.0,30.8,0.1,0.0,0
2016-08-23,40.1,35.8,53.8,30.9,0.7,0.0,0
2016-08-24,42.1,37.2,52.7,31.6,0.1,0.0,0
2016-08-25,41.9,35.6,53.4,31.7,0.1,0.0,0
2016-08-26,41.9,36.3,51.8,31.8,0.1,0.0,0
2016-08-27,41.2,34.5,53.1,31.9,0.3,0.0,0
2016-08-28,42.3,33.1,53.4,32.2,0.3,0.0,0
2016-08-29,43.2,38.8,53.2,32.5,0.0,0.0,0
2016-08-30,44.2,36.3,55.8,32.5,0.1,0.0,0
2016-08-31,45.7,38.1,55.9,32.6,0.1,0.0,0
2016-09-01,48.6,40.5,62.1,32.7,0.2,0.0,0
2016-09-02,48.0,42.8,59.7,32.9,0.1,0.0,0
2016-09-03,46.6,41.2,55.8,33.0,0.0,0.0,0
2016-09-04,47.5,41.2,57.4,33.0,0.0,0.0,0
2016-09-05,48.4,38.8,59.9,33.0,0.2,0.0,0
2016-09-06,47.8,40.8,58.8,33.2,0.0,0.0,0
2016-09-07,46.6,37.2,57.2,33.2,0.0,0.0,0
2016-09-08,50.2,36.9,64.2,33.2,0.0,0.0,0
2016-09-09,52.5,44.8,64.4,33.2,0.0,0.0,0
2016-09-10,49.1,41.2,59.7,33.2,0.0,0.0,0
2016-09-11,47.7,39.9,58.8,33.2,0.0,0.0,0
2016-09-12,41.7,36.3,55.4,33.2,0.0,0.0,0
2016-09-13,41.9,33.4,53.8,33.2,0.0,0.0,0
2016-09-14,39.6,35.1,48.4,33.2,0.2,0.0,0
2016-09-15,40.1,30.7,53.2,33.4,0.1,0.0,0
2016-09-16,41.9,30.6,54.9,33.5,0.1,0.0,0
2016-09-17,42.6,32.9,55.8,33.6,0.0,0.0,0
2016-09-18,47.5,35.2,62.6,33.6,0.1,0.0,0
2016-09-19,50.2,38.7,64.8,33.7,0.1,0.0,0
2016-09-20,46.8,38.8,58.3,33.8,0.0,0.0,0
2016-09-21,43.9,40.3,48.6,33.8,0.2,0.0,0
2016-09-22,45.0,40.5,50.9,34.0,0.2,0.0,0
2016-09-23,29.3,19.9,40.8,34.2,0.6,0.0,0
2016-09-24,29.1,22.5,36.9,34.8,0.0,0.4,2
2016-09-25,38.1,27.1,52.5,34.8,0.2,0.3,1
2016-09-26,41.4,29.1,55.4,35.0,0.1,0.0,0
2016-09-27,44.2,34.5,56.5,35.1,0.1,0.0,0
2016-09-28,46.6,35.8,57.0,35.2,0.1,0.0,0
2016-09-29,39.9,35.6,45.0,35.3,0.0,0.0,0
2016-09-30,40.5,33.3,54.3,35.3,0.0,0.0,0
