Date,Copper Mountain (415) Air Temperature Average (degF),Copper Mountain (415) Air Temperature Minimum (degF),Copper Mountain (415) Air Temperature Maximum (degF),Copper Mountain (415) Precipitation Accumulation (in) Start of Day Values,Copper Mountain (415) Precipitation Increment (in),Copper Mountain (415) Snow Water Equivalent (in) Start of Day Values,Copper Mountain (415) Snow Depth (in) Start of Day Values
2016-02-17,28.4,11.1,51.8,11.1,0.0,10.8,47
2016-02-18,32.5,15.6,42.3,11.1,0.3,10.9,47
2016-02-19,20.7,5.4,41.4,11.4,0.1,11.2,48
2016-02-20,25.5,14.2,41.9,11.5,0.0,11.2,47
2016-02-21,23.7,11.1,41.7,11.5,0.0,11.2,45
2016-02-22,18.0,11.1,27.3,11.5,0.0,11.2,45
2016-02-23,10.9,-3.3,26.6,11.5,0.1,11.4,47
2016-02-24,11.1,-3.6,32.5,11.6,0.0,11.4,47
2016-02-25,19.0,3.9,38.8,11.6,0.1,11.4,46
2016-02-26,24.4,11.1,44.8,11.7,0.0,11.4,45
2016-02-27,28.0,12.9,45.3,11.7,0.0,11.5,44
2016-02-28,24.6,10.9,41.9,11.7,0.0,11.5,44
2016-02-29,23.4,12.0,40.3,11.7,0.0,11.5,43
2016-03-01,23.5,7.3,36.7,11.7,0.1,11.5,43
2016-03-02,26.6,18.7,35.1,11.8,0.2,11.6,43
2016-03-03,26.2,9.7,47.5,12.0,0.0,11.7,45
2016-03-04,27.3,18.0,44.1,12.0,0.0,11.8,44
2016-03-05,31.5,16.2,50.7,12.0,0.0,11.8,44
2016-03-06,29.8,20.5,43.0,12.0,0.0,11.8,43
2016-03-07,21.2,16.2,28.4,12.0,0.1,11.8,42
2016-03-08,16.3,3.2,37.8,12.1,0.2,11.9,47
2016-03-09,17.8,3.7,36.1,12.3,0.0,12.0,45
2016-03-10,25.0,9.3,45.0,12.3,0.1,12.0,44
2016-03-11,34.0,18.7,55.8,12.4,0.0,12.1,44
2016-03-12,32.0,25.2,46.8,12.4,0.0,12.2,42
2016-03-13,29.8,19.6,40.6,12.4,0.0,12.2,42
2016-03-14,24.8,15.8,34.3,12.4,0.3,12.2,42
2016-03-15,14.2,8.2,21.7,12.7,0.4,12.4,48
2016-03-16,14.5,8.1,21.9,13.1,0.2,12.8,51
2016-03-17,21.0,13.6,32.0,13.3,0.4,13.1,52
2016-03-18,14.7,4.1,28.8,13.7,0.1,13.4,54
2016-03-19,13.3,1.6,30.4,13.8,0.1,13.5,54
2016-03-20,21.6,0.9,42.6,13.9,0.0,13.5,52
2016-03-21,35.1,16.9,52.0,13.9,0.1,13.6,50
2016-03-22,32.9,20.3,45.7,14.0,0.0,13.6,47
2016-03-23,17.8,14.9,23.5,14.0,0.3,13.6,48
2016-03-24,19.4,13.5,30.6,14.3,0.2,13.9,54
2016-03-25,17.1,0.0,28.2,14.5,0.1,14.1,54
2016-03-26,8.2,-4.7,23.7,14.6,0.1,14.4,55
2016-03-27,15.8,-4.5,36.0,14.7,0.1,14.4,54
2016-03-28,30.6,13.6,47.3,14.8,0.1,14.5,52
2016-03-29,29.5,13.6,46.4,14.9,0.0,14.5,51
2016-03-30,16.9,7.7,29.3,14.9,0.2,14.6,53
2016-03-31,13.8,-0.4,30.9,15.1,0.1,14.8,55
2016-04-01,13.6,-0.6,31.5,15.2,0.0,14.8,54
2016-04-02,25.5,7.3,45.0,15.2,0.2,14.9,53
2016-04-03,31.3,17.2,46.0,15.4,0.0,15.0,51
2016-04-04,34.3,20.3,53.1,15.4,0.0,15.0,49
2016-04-05,25.2,13.8,38.8,15.4,0.3,15.0,48
2016-04-06,27.9,8.1,43.9,15.7,0.2,15.2,54
2016-04-07,34.3,21.2,52.0,15.9,0.0,15.3,50
2016-04-08,35.2,19.2,53.8,15.9,0.0,15.3,48
2016-04-09,32.7,25.3,46.6,15.9,0.0,15.3,48
2016-04-10,32.2,22.3,45.0,15.9,0.1,15.3,47
2016-04-11,32.2,22.6,47.5,16.0,0.0,15.4,48
2016-04-12,33.4,23.2,48.0,16.0,0.0,15.4,47
2016-04-13,34.7,24.4,51.1,16.0,0.0,15.3,47
2016-04-14,37.8,25.9,51.8,16.0,0.0,15.2,46
2016-04-15,27.5,22.6,44.4,16.0,1.1,15.0,44
2016-04-16,21.9,17.6,28.2,17.1,0.4,16.1,60
2016-04-17,21.6,16.2,31.3,17.5,0.2,16.5,60
2016-04-18,23.2,16.7,36.5,17.7,0.1,16.7,57
2016-04-19,25.7,17.1,36.9,17.8,0.2,16.8,57
2016-04-20,28.8,21.0,42.8,18.0,0.0,16.9,55
2016-04-21,33.8,18.3,52.5,18.0,0.1,16.9,54
2016-04-22,40.3,22.5,59.7,18.1,0.0,16.8,52
2016-04-23,38.5,23.5,55.4,18.1,0.1,16.6,48
2016-04-24,30.4,23.5,43.7,18.2,0.2,16.7,49
2016-04-25,34.5,22.5,51.8,18.4,0.1,16.7,49
2016-04-26,24.6,14.7,34.0,18.5,0.0,16.6,49
2016-04-27,27.5,21.2,39.0,18.5,0.2,16.6,49
2016-04-28,29.8,21.6,43.5,18.7,0.1,16.7,48
2016-04-29,25.9,17.4,34.2,18.8,0.2,16.7,48
2016-04-30,24.4,15.4,32.9,19.0,0.2,17.0,53
2016-05-01,23.2,9.5,39.0,19.2,0.1,17.2,54
2016-05-02,30.2,12.6,47.3,19.3,0.0,17.4,50
2016-05-03,34.3,19.6,51.6,19.3,0.0,17.5,48
2016-05-04,40.1,22.3,59.5,19.3,0.0,17.2,46
2016-05-05,44.1,27.5,63.9,19.3,0.0,17.0,44
2016-05-06,45.0,30.7,60.4,19.3,0.0,16.5,43
2016-05-07,36.0,21.0,52.7,19.3,0.0,15.9,41
2016-05-08,30.4,21.0,46.6,19.3,0.2,15.8,41
2016-05-09,32.7,27.3,42.8,19.5,0.2,15.5,42
2016-05-10,31.6,21.0,43.2,19.7,0.6,15.7,42
2016-05-11,29.3,15.8,42.1,20.3,0.0,16.1,43
2016-05-12,36.0,18.9,53.4,20.3,0.0,16.1,43
2016-05-13,41.2,24.3,58.8,20.3,0.0,15.8,41
2016-05-14,42.4,27.9,61.5,20.3,0.0,15.4,38
2016-05-15,38.5,30.7,51.6,20.3,0.1,14.6,36
2016-05-16,33.8,29.1,45.3,20.4,0.1,14.0,35
2016-05-17,34.5,25.7,49.6,20.5,0.1,14.1,35
2016-05-18,35.8,23.9,51.6,20.6,0.5,13.7,34
2016-05-19,38.3,28.4,54.0,21.1,0.1,13.7,36
2016-05-20,44.2,29.5,56.7,21.2,0.0,13.3,33
2016-05-21,48.6,31.8,61.7,21.2,0.0,12.7,30
2016-05-22,42.1,26.6,59.2,21.2,0.0,11.8,28
2016-05-23,36.9,25.2,49.5,21.2,0.0,11.0,27
2016-05-24,41.9,27.1,58.8,21.2,0.0,10.6,25
2016-05-25,39.9,25.9,53.2,21.2,0.0,9.9,23
2016-05-26,34.5,24.1,50.9,21.2,0.1,9.3,21
2016-05-27,32.9,29.1,43.5,21.3,0.2,9.0,21
2016-05-28,36.3,27.1,53.6,21.5,0.0,9.1,21
2016-05-29,39.2,25.9,58.6,21.5,0.0,8.8,20
2016-05-30,41.0,27.7,59.2,21.5,0.0,8.2,19
2016-05-31,40.3,27.1,57.0,21.5,0.0,7.4,17
2016-06-01,41.4,27.7,58.8,21.5,0.0,6.5,15
2016-06-02,44.8,29.1,61.0,21.5,0.0,5.7,13
2016-06-03,46.8,33.3,61.5,21.5,0.0,4.5,10
2016-06-04,49.1,33.3,66.4,21.5,0.0,3.4,6
2016-06-05,49.1,34.5,65.8,21.5,0.0,2.1,4
2016-06-06,48.6,34.7,67.3,21.5,0.0,0.9,2
2016-06-07,47.8,33.3,69.1,21.5,0.0,0.3,1
2016-06-08,47.3,33.1,64.9,21.5,0.0,0.0,0
2016-06-09,49.1,34.5,69.1,21.5,0.0,0.0,0
2016-06-10,55.4,37.2,72.7,21.5,0.0,0.0,0
2016-06-11,52.9,37.8,72.5,21.5,0.0,0.0,0
2016-06-12,47.8,36.5,67.5,21.5,0.0,0.0,0
2016-06-13,44.2,31.5,62.6,21.5,0.0,0.0,0
2016-06-14,42.4,29.1,58.8,21.5,0.0,0.0,0
2016-06-15,52.5,32.0,71.8,21.5,0.0,0.0,0
2016-06-16,52.0,34.5,70.9,21.5,0.0,0.0,0
2016-06-17,52.7,34.0,72.3,21.5,0.0,0.0,0
2016-06-18,56.7,35.1,77.7,21.5,0.0,0.0,0
2016-06-19,59.5,40.3,77.2,21.5,0.0,0.0,0
2016-06-20,60.6,43.2,80.6,21.5,0.0,0.0,0
2016-06-21,59.7,43.5,77.7,21.5,0.0,0.0,0
2016-06-22,52.2,40.6,72.5,21.5,0.5,0.0,0
2016-06-23,51.6,41.7,66.6,22.0,0.0,0.0,0
2016-06-24,53.8,39.4,70.2,22.0,0.0,0.0,0
2016-06-25,53.8,39.6,69.8,22.0,0.0,0.0,0
2016-06-26,54.3,38.1,71.6,22.0,0.0,0.0,0
2016-06-27,55.2,36.5,72.9,22.0,0.0,0.0,0
2016-06-28,55.8,39.4,75.6,22.0,0.1,0.0,0
2016-06-29,50.4,40.3,70.3,22.1,0.1,0.0,0
2016-06-30,49.3,39.0,61.2,22.2,0.2,0.0,0
2016-07-01,47.5,44.1,55.0,22.4,0.2,0.0,0
2016-07-02,48.0,42.6,61.7,22.6,0.1,0.0,0
2016-07-03,49.3,37.9,64.8,22.7,0.0,0.0,0
2016-07-04,51.6,36.3,68.5,22.7,0.0,0.0,0
2016-07-05,52.5,39.6,69.4,22.7,0.0,0.0,0
2016-07-06,55.8,42.6,71.1,22.7,0.0,0.0,0
2016-07-07,55.9,41.0,69.4,22.7,0.0,0.0,0
2016-07-08,55.6,39.9,73.0,22.7,0.0,0.0,0
2016-07-09,57.6,40.8,73.6,22.7,0.0,0.0,0
2016-07-10,60.6,44.4,74.8,22.7,0.0,0.0,0
2016-07-11,53.2,36.9,67.3,22.7,0.0,0.0,0
2016-07-12,53.1,36.9,70.0,22.7,0.0,0.0,0
2016-07-13,54.0,37.0,70.7,22.7,0.0,0.0,0
2016-07-14,53.8,36.9,71.2,22.7,0.0,0.0,0
2016-07-15,54.0,38.5,70.3,22.7,0.0,0.0,0
2016-07-16,57.2,38.1,75.2,22.7,0.0,0.0,0
2016-07-17,58.5,43.0,74.8,22.7,0.0,0.0,0
2016-07-18,53.6,42.4,68.0,22.7,0.0,0.0,0
2016-07-19,55.0,43.9,70.3,22.7,0.1,0.0,0
2016-07-20,52.7,41.4,69.4,22.8,0.1,0.0,0
2016-07-21,50.4,41.4,68.5,22.9,0.2,0.0,0
2016-07-22,53.2,41.4,71.4,23.1,0.1,0.0,0
2016-07-23,55.9,40.3,74.1,23.2,0.0,0.0,0
2016-07-24,54.9,41.7,71.8,23.2,0.0,0.0,0
2016-07-25,55.6,40.1,72.7,23.2,0.0,0.0,0
2016-07-26,51.8,38.7,66.0,23.2,0.0,0.0,0
2016-07-27,55.0,37.8,74.5,23.2,0.0,0.0,0
2016-07-28,57.2,41.4,75.7,23.2,0.0,0.0,0
2016-07-29,56.1,40.8,71.8,23.2,0.0,0.0,0
2016-07-30,57.4,41.0,73.6,23.2,0.0,0.0,0
2016-07-31,51.4,42.3,67.6,23.2,0.4,0.0,0
2016-08-01,54.9,39.0,70.7,23.6,0.1,0.0,0
2016-08-02,53.4,41.9,70.9,23.7,0.0,0.0,0
2016-08-03,55.8,41.0,73.9,23.7,0.1,0.0,0
2016-08-04,48.6,44.8,57.0,23.8,0.6,0.0,0
2016-08-05,49.1,44.2,57.6,24.4,0.2,0.0,0
2016-08-06,49.5,40.5,60.6,24.6,0.0,0.0,0
2016-08-07,51.4,39.2,69.4,24.6,0.1,0.0,0
2016-08-08,49.5,40.5,64.8,24.7,0.0,0.0,0
2016-08-09,48.6,39.0,69.4,24.7,0.5,0.0,0
2016-08-10,55.2,,,25.2,0.0,0.0,0
2016-08-11,48.6,36.3,64.4,25.2,0.0,0.0,0
2016-08-12,47.3,33.3,64.2,25.2,0.0,0.0,0
2016-08-13,48.0,32.2,66.6,25.2,0.0,0.0,0
2016-08-14,50.2,33.8,67.6,25.2,0.0,0.0,0
2016-08-15,51.4,36.1,70.0,25.2,0.0,0.0,0
2016-08-16,47.1,37.0,64.4,25.2,0.1,0.0,0
2016-08-17,47.3,36.0,68.0,25.3,0.0,0.0,0
2016-08-18,45.7,35.1,60.4,25.3,0.0,0.0,0
2016-08-19,45.9,33.4,61.7,25.3,0.0,0.0,0
2016-08-20,47.7,34.3,65.7,25.3,0.0,0.0,0
2016-08-21,51.3,33.1,68.5,25.3,0.0,0.0,0
2016-08-22,47.5,35.8,61.5,25.3,0.0,0.0,0
2016-08-23,45.0,35.1,61.9,25.3,0.2,0.0,0
2016-08-24,41.9,33.3,55.0,25.5,0.1,0.0,0
2016-08-25,40.3,31.3,56.5,25.6,0.3,0.0,0
2016-08-26,41.4,32.0,56.5,25.9,0.0,0.0,0
2016-08-27,42.1,30.7,56.5,25.9,0.1,0.0,0
2016-08-28,42.6,36.7,56.8,26.0,0.0,0.0,0
2016-08-29,41.9,34.3,56.8,26.0,0.1,0.0,0
2016-08-30,42.6,32.4,55.4,26.1,0.0,0.0,0
2016-08-31,48.4,34.2,65.8,26.1,0.0,0.0,0
2016-09-01,51.1,37.4,66.9,26.1,0.0,0.0,0
2016-09-02,45.7,36.7,60.1,26.1,0.2,0.0,0
2016-09-03,46.2,36.7,64.0,26.3,0.2,0.0,0
2016-09-04,47.1,36.1,61.2,26.5,0.0,0.0,0
2016-09-05,48.2,32.2,66.0,26.5,0.0,0.0,0
2016-09-06,50.9,35.6,64.9,26.5,0.0,0.0,0
2016-09-07,48.2,34.5,63.3,26.5,0.0,0.0,0
2016-09-08,47.3,31.3,65.1,26.5,0.0,0.0,0
2016-09-09,43.9,28.8,61.0,26.5,0.0,0.0,0
2016-09-10,45.3,27.3,67.3,26.5,0.0,0.0,0
2016-09-11,47.5,32.2,66.2,26.5,0.0,0.0,0
2016-09-12,45.3,32.7,61.2,26.5,0.0,0.0,0
2016-09-13,42.3,32.5,58.8,26.5,0.1,0.0,0
2016-09-14,42.1,32.0,60.1,26.6,0.1,0.0,0
2016-09-15,38.1,27.3,55.4,26.7,0.0,0.0,0
2016-09-16,38.3,25.2,55.6,26.7,0.0,0.0,0
2016-09-17,41.9,28.4,56.1,26.7,0.0,0.0,0
2016-09-18,45.5,29.8,62.1,26.7,0.0,0.0,0
2016-09-19,48.2,32.2,69.1,26.7,0.0,0.0,0
2016-09-20,49.3,36.7,61.9,26.7,0.0,0.0,0
2016-09-21,45.7,37.9,58.8,26.7,0.0,0.0,0
2016-09-22,51.6,37.9,65.1,26.7,0.0,0.0,0
2016-09-23,39.0,21.0,59.2,26.7,0.1,0.0,0
2016-09-24,30.9,20.7,37.9,26.8,0.0,0.0,0
2016-09-25,36.5,27.1,53.8,26.8,0.0,0.0,0
2016-09-26,41.0,25.2,61.5,26.8,0.0,0.0,0
2016-09-27,44.4,29.7,66.0,26.8,0.0,0.0,0
2016-09-28,47.8,31.8,67.3,26.8,0.0,0.0,0
2016-09-29,45.7,33.1,64.8,26.8,0.0,0.0,0
2016-09-30,43.0,33.4,53.8,26.8,0.1,0.0,0
