Date,Columbine Pass (409) Air Temperature Average (degF),Columbine Pass (409) Air Temperature Minimum (degF),Columbine Pass (409) Air Temperature Maximum (degF),Columbine Pass (409) Precipitation Accumulation (in) Start of Day Values,Columbine Pass (409) Precipitation Increment (in),Columbine Pass (409) Snow Water Equivalent (in) Start of Day Values,Columbine Pass (409) Snow Depth (in) Start of Day Values
2016-01-13,23.4,16.2,38.7,17.2,0.0,14.4,53
2016-01-14,17.1,9.5,27.3,17.2,0.0,14.4,53
2016-01-15,16.0,10.8,20.3,17.2,0.0,14.4,53
2016-01-16,16.3,12.2,23.5,17.2,0.0,14.7,57
2016-01-17,20.7,15.1,33.1,17.2,0.3,14.7,55
2016-01-18,25.2,16.9,35.6,17.5,0.0,14.7,51
2016-01-19,23.5,19.6,33.4,17.5,0.0,14.8,53
2016-01-20,18.9,9.5,25.0,17.5,0.6,15.0,55
2016-01-21,16.0,7.7,26.6,18.1,0.1,15.4,55
2016-01-22,28.0,15.1,43.5,18.2,0.1,15.5,52
2016-01-23,30.7,23.0,41.4,18.3,0.0,15.5,52
2016-01-24,21.6,12.7,30.4,18.3,0.0,15.6,53
2016-01-25,12.2,2.8,24.6,18.3,0.1,15.8,54
2016-01-26,13.6,2.7,27.1,18.4,0.2,15.8,55
2016-01-27,25.2,11.5,41.9,18.6,0.0,15.8,54
2016-01-28,30.4,21.2,46.4,18.6,0.0,15.9,53
2016-01-29,30.4,22.5,41.9,18.6,0.0,15.9,53
2016-01-30,30.4,21.4,39.6,18.6,0.1,15.9,51
2016-01-31,22.3,16.2,27.0,18.7,0.2,16.0,50
2016-02-01,16.9,6.8,26.4,18.9,0.7,16.6,56
2016-02-02,7.0,3.0,15.3,19.6,0.0,17.2,60
2016-02-03,1.8,-7.1,15.3,19.6,0.3,17.2,60
2016-02-04,7.3,-2.0,16.7,19.9,0.0,17.2,60
2016-02-05,11.5,5.2,23.7,19.9,0.1,17.2,59
2016-02-06,22.1,9.5,37.2,20.0,0.1,17.2,59
2016-02-07,26.2,18.0,39.2,20.1,0.0,17.3,57
2016-02-08,27.7,19.2,39.6,20.1,0.0,17.3,56
2016-02-09,29.8,18.0,43.0,20.1,0.0,17.3,55
2016-02-10,35.1,24.4,49.5,20.1,0.0,17.3,54
2016-02-11,34.9,25.5,49.1,20.1,0.0,17.3,54
2016-02-12,38.3,28.0,52.0,20.1,0.0,17.3,54
2016-02-13,36.1,23.5,48.4,20.1,0.0,17.3,53
2016-02-14,29.3,19.4,40.8,20.1,0.0,17.3,51
2016-02-15,28.8,18.9,42.1,20.1,0.0,17.3,51
2016-02-16,32.9,23.0,46.6,20.1,0.0,17.3,51
2016-02-17,39.0,30.2,49.8,20.1,0.0,17.2,51
2016-02-18,35.6,20.7,41.4,20.1,0.0,17.2,50
2016-02-19,31.6,19.8,43.0,20.1,0.0,17.2,50
2016-02-20,35.1,25.3,45.9,20.1,0.0,17.1,50
2016-02-21,32.5,23.7,46.4,20.1,0.0,17.1,49
2016-02-22,25.2,20.1,38.5,20.1,0.0,17.1,47
2016-02-23,19.2,11.1,27.7,20.1,0.0,17.1,45
2016-02-24,21.9,9.0,36.1,20.1,0.0,17.2,49
2016-02-25,30.7,17.1,45.9,20.1,0.0,17.3,49
2016-02-26,34.0,23.0,47.5,20.1,0.0,17.3,48
2016-02-27,36.3,28.2,46.8,20.1,0.0,17.3,48
2016-02-28,34.2,25.0,47.3,20.1,0.0,17.3,47
2016-02-29,33.1,23.2,45.0,20.1,0.0,17.3,45
2016-03-01,33.4,21.9,45.9,20.1,0.0,17.0,44
2016-03-02,36.3,27.3,45.7,20.1,0.0,16.8,43
2016-03-03,37.2,23.0,50.9,20.1,0.0,16.7,44
2016-03-04,39.0,30.6,49.8,20.1,0.0,16.6,42
2016-03-05,39.9,32.2,49.6,20.1,0.1,16.5,41
2016-03-06,32.7,28.8,38.7,20.2,0.0,16.4,40
2016-03-07,22.5,15.8,30.2,20.2,0.3,16.4,42
2016-03-08,23.9,13.1,40.5,20.5,0.1,17.1,46
2016-03-09,26.8,16.3,39.6,20.6,0.0,17.5,45
2016-03-10,35.2,18.0,51.1,20.6,0.1,17.5,44
2016-03-11,42.4,32.0,55.2,20.7,0.0,17.5,42
2016-03-12,35.1,26.8,45.5,20.7,0.0,17.4,41
2016-03-13,33.4,23.9,45.0,20.7,0.0,17.2,41
2016-03-14,32.0,22.5,44.1,20.7,0.0,17.1,39
2016-03-15,25.0,12.4,34.3,20.7,0.1,16.7,39
2016-03-16,25.9,11.8,38.5,20.8,0.1,16.9,35
2016-03-17,33.1,22.5,45.9,20.9,0.0,17.1,38
2016-03-18,31.6,21.4,43.7,20.9,0.0,17.0,38
2016-03-19,30.4,18.0,44.6,20.9,0.0,16.8,37
2016-03-20,36.3,21.2,49.5,20.9,0.0,16.6,35
2016-03-21,42.8,32.7,51.8,20.9,0.0,16.1,34
2016-03-22,34.3,18.3,46.8,20.9,0.0,15.3,33
2016-03-23,20.8,16.3,27.1,20.9,0.2,15.4,36
2016-03-24,26.8,14.2,40.1,21.1,0.1,15.6,37
2016-03-25,27.3,18.3,38.1,21.2,0.0,16.2,35
2016-03-26,22.3,12.6,33.8,21.2,0.0,16.3,35
2016-03-27,28.2,10.9,44.8,21.2,0.2,16.3,34
2016-03-28,37.4,29.3,45.9,21.4,0.1,16.4,34
2016-03-29,25.0,16.5,36.9,21.5,0.1,16.0,33
2016-03-30,21.2,13.3,32.4,21.6,0.2,16.6,37
2016-03-31,22.6,10.0,36.0,21.8,0.1,16.9,37
2016-04-01,25.0,12.6,38.3,21.9,0.1,16.9,35
2016-04-02,33.8,15.8,47.7,22.0,0.1,17.4,35
2016-04-03,39.0,27.7,53.4,22.1,0.0,17.2,33
2016-04-04,43.2,31.5,54.7,22.1,0.0,16.3,32
2016-04-05,36.9,23.7,49.8,22.1,0.0,15.3,30
2016-04-06,37.2,21.4,54.0,22.1,0.0,14.9,29
2016-04-07,43.2,27.1,57.7,22.1,0.1,13.7,25
2016-04-08,43.5,34.3,57.4,22.2,0.0,12.4,25
2016-04-09,36.1,33.1,41.9,22.2,0.1,11.6,23
2016-04-10,39.6,32.4,51.3,22.3,0.0,11.2,22
2016-04-11,36.7,28.8,50.4,22.3,0.0,10.4,20
2016-04-12,38.3,30.6,52.7,22.3,0.0,10.6,21
2016-04-13,43.2,31.5,56.5,22.3,0.0,10.2,19
2016-04-14,43.9,38.5,51.4,22.3,0.1,8.9,18
2016-04-15,29.3,23.4,41.0,22.4,0.2,8.1,17
2016-04-16,24.8,21.7,28.8,22.6,0.3,8.4,21
2016-04-17,25.3,18.3,37.0,22.9,0.0,9.0,24
2016-04-18,24.6,16.7,34.7,22.9,0.1,9.2,22
2016-04-19,29.5,16.9,39.0,23.0,0.3,9.3,22
2016-04-20,37.2,27.1,51.1,23.3,0.1,9.3,19
2016-04-21,44.1,29.5,57.9,23.4,0.0,9.2,19
2016-04-22,50.7,38.5,61.7,23.4,0.0,8.7,17
2016-04-23,41.9,30.4,48.4,23.4,0.0,7.4,15
2016-04-24,38.7,26.4,50.0,23.4,0.0,7.3,13
2016-04-25,34.9,24.6,46.0,23.4,0.0,6.0,12
2016-04-26,27.0,22.5,33.1,23.4,0.0,6.0,12
2016-04-27,33.1,25.7,43.7,23.4,0.2,6.0,12
2016-04-28,32.0,26.8,42.8,23.6,0.2,6.0,12
2016-04-29,30.2,24.3,39.6,23.8,0.2,6.0,11
2016-04-30,31.3,23.9,42.8,24.0,0.0,6.2,12
2016-05-01,30.2,24.1,36.3,24.0,0.4,6.3,13
2016-05-02,34.3,27.3,50.7,24.4,0.0,6.3,14
2016-05-03,42.4,27.5,54.9,24.4,0.3,6.3,14
2016-05-04,48.9,36.7,61.3,24.7,0.1,5.4,10
2016-05-05,53.1,39.2,64.2,24.8,0.0,3.7,7
2016-05-06,46.8,33.3,60.6,24.8,0.0,2.2,5
2016-05-07,33.4,29.5,41.7,24.8,0.0,1.4,3
2016-05-08,33.8,28.8,42.4,24.8,0.5,1.3,3
2016-05-09,38.3,29.8,50.4,25.3,0.6,1.5,6
2016-05-10,38.5,28.4,47.8,25.9,0.0,1.8,6
2016-05-11,35.6,25.7,47.5,25.9,0.2,1.0,3
2016-05-12,44.1,28.8,56.7,26.1,0.2,0.3,2
2016-05-13,51.6,39.6,62.8,26.3,0.1,0.0,0
2016-05-14,54.9,45.3,66.0,26.4,0.0,0.0,0
2016-05-15,47.5,37.4,56.1,26.4,0.0,0.0,0
2016-05-16,38.3,32.4,49.5,26.4,0.0,0.0,0
2016-05-17,39.0,32.4,50.2,26.4,0.0,0.0,0
2016-05-18,39.0,34.0,51.4,26.4,0.0,0.0,0
2016-05-19,43.5,32.5,55.0,26.4,0.1,0.0,0
2016-05-20,50.0,42.4,58.6,26.5,0.0,0.0,0
2016-05-21,50.7,44.1,59.2,26.5,0.0,0.0,0
2016-05-22,44.4,34.2,53.6,26.5,0.0,0.0,0
2016-05-23,44.6,33.3,55.6,26.5,0.0,0.0,0
2016-05-24,47.5,38.5,57.6,26.5,0.0,0.0,0
2016-05-25,45.3,33.8,56.5,26.5,0.0,0.0,0
2016-05-26,40.6,32.4,51.6,26.5,0.0,0.0,0
2016-05-27,38.5,29.8,52.5,26.5,0.0,0.0,0
2016-05-28,45.3,32.0,58.8,26.5,0.0,0.0,0
2016-05-29,49.8,37.2,63.0,26.5,0.0,0.0,0
2016-05-30,51.1,40.1,62.2,26.5,0.1,0.0,0
2016-05-31,50.9,39.0,64.0,26.6,0.0,0.0,0
2016-06-01,52.9,41.4,64.2,26.6,0.0,0.0,0
2016-06-02,55.8,43.2,69.8,26.6,0.1,0.0,0
2016-06-03,57.7,45.0,71.6,26.7,0.0,0.0,0
2016-06-04,59.5,44.6,74.1,26.7,0.1,0.0,0
2016-06-05,62.6,49.6,76.1,26.8,0.0,0.0,0
2016-06-06,61.0,49.6,77.9,26.8,0.0,0.0,0
2016-06-07,61.0,50.9,73.2,26.8,0.0,0.0,0
2016-06-08,59.5,50.2,71.6,26.8,0.0,0.0,0
2016-06-09,62.8,48.9,78.4,26.8,0.0,0.0,0
2016-06-10,63.0,52.2,77.0,26.8,0.0,0.0,0
2016-06-11,57.7,46.0,68.9,26.8,0.0,0.0,0
2016-06-12,57.4,46.2,70.5,26.8,0.0,0.0,0
2016-06-13,48.6,36.3,59.7,26.8,0.0,0.0,0
2016-06-14,52.5,36.3,65.3,26.8,0.0,0.0,0
2016-06-15,59.0,48.9,69.8,26.8,0.0,0.0,0
2016-06-16,56.7,45.9,68.4,26.8,0.0,0.0,0
2016-06-17,59.4,47.1,72.7,26.8,0.0,0.0,0
2016-06-18,64.0,50.0,79.2,26.8,0.0,0.0,0
2016-06-19,66.4,53.2,81.1,26.8,0.1,0.0,0
2016-06-20,70.2,56.5,84.4,26.9,0.0,0.0,0
2016-06-21,67.6,57.0,83.8,26.9,0.0,0.0,0
2016-06-22,64.2,55.2,81.0,26.9,0.0,0.0,0
2016-06-23,63.7,54.1,75.6,26.9,0.0,0.0,0
2016-06-24,60.4,54.1,70.0,26.9,0.0,0.0,0
2016-06-25,63.3,50.7,78.1,26.9,0.0,0.0,0
2016-06-26,63.7,50.0,78.8,26.9,0.0,0.0,0
2016-06-27,66.2,51.4,80.6,26.9,0.0,0.0,0
2016-06-28,57.2,50.9,,26.9,0.0,0.0,0
2016-06-29,61.0,50.0,77.0,26.9,0.0,0.0,0
2016-06-30,57.0,48.4,69.1,26.9,0.1,0.0,0
2016-07-01,51.1,48.6,57.0,27.0,0.1,0.0,0
2016-07-02,51.8,47.3,61.2,27.1,0.5,0.0,0
2016-07-03,53.6,44.6,67.8,27.6,0.0,0.0,0
2016-07-04,58.3,45.7,72.3,27.6,0.0,0.0,0
2016-07-05,61.9,51.3,73.8,27.6,0.0,0.0,0
2016-07-06,61.0,49.5,74.3,27.6,0.0,0.0,0
2016-07-07,61.0,49.1,75.2,27.6,0.0,0.0,0
2016-07-08,62.8,52.9,76.5,27.6,0.0,0.0,0
2016-07-09,64.0,53.1,76.5,27.6,0.0,0.0,0
2016-07-10,64.0,54.0,75.2,27.6,0.0,0.0,0
2016-07-11,58.6,46.6,71.4,27.6,0.0,0.0,0
2016-07-12,61.2,47.1,75.7,27.6,0.0,0.0,0
2016-07-13,62.6,51.3,77.5,27.6,0.0,0.0,0
2016-07-14,63.7,48.6,79.2,27.6,0.0,0.0,0
2016-07-15,64.8,52.5,80.4,27.6,0.0,0.0,0
2016-07-16,65.7,54.0,79.9,27.6,0.0,0.0,0
2016-07-17,64.9,52.5,78.6,27.6,0.0,0.0,0
2016-07-18,61.2,50.0,75.7,27.6,0.0,0.0,0
2016-07-19,57.0,48.2,72.3,27.6,0.0,0.0,0
2016-07-20,59.5,50.0,74.1,27.6,0.0,0.0,0
2016-07-21,60.8,52.5,74.7,27.6,0.0,0.0,0
2016-07-22,60.4,47.8,77.2,27.6,0.0,0.0,0
2016-07-23,64.2,48.9,80.2,27.6,0.1,0.0,0
2016-07-24,65.5,53.1,82.4,27.7,0.0,0.0,0
2016-07-25,64.0,55.8,81.3,27.7,0.0,0.0,0
2016-07-26,63.3,54.3,76.8,27.7,0.0,0.0,0
2016-07-27,66.4,51.4,82.8,27.7,0.0,0.0,0
2016-07-28,68.2,55.6,84.6,27.7,0.0,0.0,0
2016-07-29,68.4,54.7,83.3,27.7,0.0,0.0,0
2016-07-30,65.1,56.5,78.3,27.7,0.0,0.0,0
2016-07-31,59.4,51.1,74.8,27.7,0.0,0.0,0
2016-08-01,63.1,47.8,78.1,27.7,0.0,0.0,0
2016-08-02,61.7,53.6,79.5,27.7,0.0,0.0,0
2016-08-03,60.4,50.0,77.4,27.7,0.0,0.0,0
2016-08-04,53.4,49.6,57.9,27.7,0.0,0.0,0
2016-08-05,53.2,50.2,61.0,27.7,1.4,0.0,0
2016-08-06,53.8,48.4,67.5,29.1,0.0,0.0,0
2016-08-07,58.5,49.8,71.1,29.1,0.1,0.0,0
2016-08-08,59.4,51.8,70.7,29.2,0.0,0.0,0
2016-08-09,61.7,51.6,72.5,29.2,0.0,0.0,0
2016-08-10,57.4,48.4,71.6,29.2,0.0,0.0,0
2016-08-11,56.5,46.4,69.6,29.2,0.0,0.0,0
2016-08-12,57.2,43.5,71.6,29.2,0.0,0.0,0
2016-08-13,59.4,48.2,73.6,29.2,0.0,0.0,0
2016-08-14,59.7,47.7,73.8,29.2,0.0,0.0,0
2016-08-15,61.5,52.2,77.5,29.2,0.1,0.0,0
2016-08-16,59.0,50.9,72.7,29.3,0.0,0.0,0
2016-08-17,57.0,47.8,73.0,29.3,0.0,0.0,0
2016-08-18,52.9,45.9,67.8,29.3,0.0,0.0,0
2016-08-19,54.1,43.5,67.1,29.3,0.0,0.0,0
2016-08-20,57.7,48.0,72.9,29.3,0.0,0.0,0
2016-08-21,59.4,48.6,74.5,29.3,0.0,0.0,0
2016-08-22,52.7,45.3,66.9,29.3,0.0,0.0,0
2016-08-23,48.6,44.2,59.9,29.3,0.0,0.0,0
2016-08-24,51.3,41.7,64.2,29.3,0.0,0.0,0
2016-08-25,49.5,39.6,67.6,29.3,0.0,0.0,0
2016-08-26,48.6,37.2,62.8,29.3,0.0,0.0,0
2016-08-27,48.2,41.0,61.5,29.3,0.0,0.0,0
2016-08-28,49.8,44.2,61.9,29.3,0.0,0.0,0
2016-08-29,52.7,41.9,66.9,29.3,0.1,0.0,0
2016-08-30,54.1,40.6,68.9,29.4,0.1,0.0,0
2016-08-31,58.8,50.2,70.9,29.5,0.1,0.0,0
2016-09-01,58.8,48.9,74.3,29.6,0.0,0.0,0
2016-09-02,54.7,47.8,65.5,29.6,0.0,0.0,0
2016-09-03,52.7,44.1,63.7,29.6,0.1,0.0,0
2016-09-04,55.4,46.6,65.1,29.7,0.0,0.0,0
2016-09-05,55.4,45.9,67.8,29.7,0.0,0.0,0
2016-09-06,55.8,45.9,67.8,29.7,0.0,0.0,0
2016-09-07,54.9,42.6,67.8,29.7,0.0,0.0,0
2016-09-08,57.0,45.9,72.0,29.7,0.0,0.0,0
2016-09-09,55.2,42.6,72.0,29.7,0.0,0.0,0
2016-09-10,57.0,41.4,71.4,29.7,0.0,0.0,0
2016-09-11,57.7,47.5,70.0,29.7,0.0,0.0,0
2016-09-12,50.9,44.4,65.8,29.7,0.0,0.0,0
2016-09-13,49.8,42.1,62.1,29.7,0.0,0.0,0
2016-09-14,50.9,43.9,62.8,29.7,0.0,0.0,0
2016-09-15,46.4,35.6,60.6,29.7,0.0,0.0,0
2016-09-16,47.8,34.3,62.8,29.7,0.0,0.0,0
2016-09-17,49.6,37.4,64.0,29.7,0.0,0.0,0
2016-09-18,54.0,41.2,67.8,29.7,0.2,0.0,0
2016-09-19,59.2,48.0,74.7,29.9,0.0,0.0,0
2016-09-20,52.9,42.6,65.1,29.9,0.0,0.0,0
2016-09-21,49.6,43.5,57.4,29.9,0.0,0.0,0
2016-09-22,54.9,48.0,65.8,29.9,0.0,0.0,0
2016-09-23,34.7,29.1,48.6,29.9,0.0,0.0,0
2016-09-24,35.8,31.6,44.1,29.9,0.1,0.0,0
2016-09-25,41.2,29.1,57.7,30.0,0.2,0.0,0
2016-09-26,47.7,33.3,64.8,30.2,0.2,0.0,0
2016-09-27,52.0,40.1,66.2,30.4,0.2,0.0,0
2016-09-28,55.0,42.1,68.4,30.6,0.0,0.0,0
2016-09-29,46.0,43.9,51.1,30.6,0.0,0.0,0
2016-09-30,45.5,38.8,56.5,30.6,0.0,0.0,0
