Date,Buckskin Joe (938) Air Temperature Average (degF),Buckskin Joe (938) Air Temperature Minimum (degF),Buckskin Joe (938) Air Temperature Maximum (degF),Buckskin Joe (938) Precipitation Accumulation (in) Start of Day Values,Buckskin Joe (938) Precipitation Increment (in),Buckskin Joe (938) Snow Water Equivalent (in) Start of Day Values,Buckskin Joe (938) Snow Depth (in) Start of Day Values
2015-11-02,40.3,32.2,,2.6,0.0,1.7,6
2015-11-03,38.5,23.4,45.9,2.6,0.0,1.7,6
2015-11-04,28.8,17.1,,2.6,0.2,1.7,6
2015-11-05,18.9,15.4,,2.8,0.1,1.9,8
2015-11-06,15.4,7.7,48.9,2.9,0.2,2.0,8
2015-11-07,23.7,4.5,,3.1,0.0,2.1,8
2015-11-08,33.1,16.5,,3.1,0.0,2.1,9
2015-11-09,33.1,24.3,52.2,3.1,0.0,2.1,9
2015-11-10,29.7,17.2,,3.1,0.4,2.1,8
2015-11-11,14.7,11.3,21.4,3.5,0.1,2.4,12
2015-11-12,21.6,14.5,30.6,3.6,0.0,2.5,12
2015-11-13,27.9,19.8,46.8,3.6,0.0,2.5,11
2015-11-14,31.8,23.2,46.2,3.6,0.0,2.5,10
2015-11-15,30.2,19.8,38.7,3.6,0.0,2.5,10
2015-11-16,23.0,17.8,32.2,3.6,0.2,2.5,10
2015-11-17,14.7,,26.8,3.8,0.2,2.7,12
2015-11-18,18.3,16.3,26.2,4.0,0.3,2.8,15
2015-11-19,22.5,16.0,32.9,4.3,0.1,3.0,15
2015-11-20,19.2,3.6,31.3,4.4,0.2,3.1,14
2015-11-21,15.3,3.9,25.7,4.6,0.1,3.4,16
2015-11-22,26.4,18.7,39.2,4.7,0.0,3.4,15
2015-11-23,30.6,25.2,41.7,4.7,0.0,3.4,14
2015-11-24,30.0,21.6,37.8,4.7,0.0,3.4,14
2015-11-25,30.7,21.9,39.6,4.7,0.1,3.4,13
2015-11-26,17.2,5.2,25.9,4.8,0.0,3.4,13
2015-11-27,9.7,0.0,31.3,4.8,0.2,3.5,15
2015-11-28,13.8,8.4,23.4,5.0,0.1,3.6,15
2015-11-29,13.8,6.1,,5.1,0.0,3.8,17
2015-11-30,4.5,1.2,14.2,5.1,0.2,3.8,18
2015-12-01,9.5,1.4,20.3,5.3,0.0,4.0,18
2015-12-02,21.9,14.2,30.7,5.3,0.0,4.0,18
2015-12-03,22.1,14.5,31.6,5.3,0.0,4.0,17
2015-12-04,32.4,25.5,,5.3,0.0,4.0,19
2015-12-05,18.7,9.7,32.0,5.3,0.1,4.0,16
2015-12-06,29.8,10.4,40.3,5.4,0.0,4.0,17
2015-12-07,32.5,26.8,40.1,5.4,0.0,3.9,16
2015-12-08,28.2,24.8,,5.4,0.1,3.9,16
2015-12-09,34.9,27.1,43.2,5.5,0.0,3.9,16
2015-12-10,32.9,25.9,42.8,5.5,0.0,3.9,16
2015-12-11,27.5,22.5,40.1,5.5,0.1,3.9,15
2015-12-12,19.2,8.2,28.2,5.6,0.3,3.9,14
2015-12-13,22.3,9.0,34.2,5.9,0.1,4.3,22
2015-12-14,21.4,13.1,30.0,6.0,0.1,4.3,21
2015-12-15,6.3,0.3,,6.1,0.1,4.4,21
2015-12-16,3.4,0.3,11.5,6.2,0.0,4.6,22
2015-12-17,3.0,0.3,13.6,6.2,0.1,4.6,21
2015-12-18,23.0,12.7,34.7,6.3,0.1,4.7,21
2015-12-19,31.5,26.6,38.8,6.4,0.0,4.7,20
2015-12-20,20.5,14.5,30.6,6.4,0.1,4.6,19
2015-12-21,17.8,13.3,23.4,6.5,0.1,4.7,20
2015-12-22,20.5,13.1,27.0,6.6,0.4,4.8,21
2015-12-23,7.9,,18.7,7.0,0.2,5.1,25
2015-12-24,3.2,,9.5,7.2,0.1,5.4,26
2015-12-25,7.7,0.7,15.8,7.3,0.1,5.5,26
2015-12-26,-1.3,,10.9,7.4,0.0,5.6,26
2015-12-27,10.4,,28.2,7.4,0.0,5.6,25
2015-12-28,15.8,4.5,27.7,7.4,0.0,5.6,24
2015-12-29,8.4,1.0,21.9,7.4,0.0,5.6,24
2015-12-30,5.5,,13.6,7.4,0.0,5.6,24
2015-12-31,1.6,,13.3,7.4,0.0,5.6,24
2016-01-01,7.7,,41.0,7.4,0.0,5.6,23
2016-01-02,19.8,7.2,31.6,7.4,0.1,5.6,23
2016-01-03,23.5,16.2,35.8,7.5,0.0,5.6,23
2016-01-04,22.5,14.7,34.9,7.5,0.0,5.6,23
2016-01-05,21.0,16.2,37.9,7.5,0.0,5.6,23
2016-01-06,20.3,15.6,27.7,7.5,0.0,5.6,23
2016-01-07,16.7,6.4,23.9,7.5,0.0,5.6,22
2016-01-08,10.0,4.3,23.7,7.5,0.0,5.6,21
2016-01-09,9.3,3.4,23.7,7.5,0.0,5.7,24
2016-01-10,5.5,-1.3,14.4,7.5,0.0,5.7,24
2016-01-11,14.9,10.0,25.3,7.5,0.1,5.7,24
2016-01-12,20.8,14.0,36.9,7.6,0.0,5.7,24
2016-01-13,25.7,19.0,37.2,7.6,0.0,5.7,24
2016-01-14,14.4,8.4,24.8,7.6,0.1,5.7,23
2016-01-15,10.8,5.5,21.6,7.7,0.1,5.8,25
2016-01-16,8.8,2.5,14.7,7.8,0.2,5.9,26
2016-01-17,14.5,11.8,19.6,8.0,0.2,6.1,26
2016-01-18,21.6,14.9,30.9,8.2,0.1,6.3,28
2016-01-19,19.8,13.1,30.0,8.3,0.0,6.3,27
2016-01-20,13.8,5.0,19.9,8.3,0.1,6.3,28
2016-01-21,14.5,6.4,28.4,8.4,0.1,6.4,29
2016-01-22,28.2,20.7,39.6,8.5,0.0,6.4,28
2016-01-23,31.3,25.2,40.8,8.5,0.0,6.4,27
2016-01-24,19.8,9.7,32.5,8.5,0.0,6.4,27
2016-01-25,9.0,3.2,17.4,8.5,0.0,6.5,28
2016-01-26,13.3,2.3,24.4,8.5,0.0,6.5,28
2016-01-27,25.7,15.8,34.3,8.5,0.1,6.5,27
2016-01-28,29.1,22.6,39.4,8.6,0.0,6.5,27
2016-01-29,25.7,19.4,36.1,8.6,0.0,6.5,26
2016-01-30,28.0,16.5,38.5,8.6,0.5,6.5,27
2016-01-31,15.3,10.8,23.5,9.1,0.4,6.8,32
2016-02-01,11.5,3.0,19.2,9.5,0.3,7.3,34
2016-02-02,1.9,,9.7,9.8,0.0,7.6,39
2016-02-03,-3.5,,2.1,9.8,0.0,7.6,37
2016-02-04,7.3,,19.2,9.8,0.1,7.8,35
2016-02-05,7.7,0.7,15.3,9.9,0.1,7.8,35
2016-02-06,20.3,13.1,27.9,10.0,0.0,7.8,34
2016-02-07,20.7,16.7,36.0,10.0,0.0,7.8,33
2016-02-08,24.6,18.3,39.4,10.0,0.0,7.8,33
2016-02-09,28.8,22.1,39.0,10.0,0.0,7.8,32
2016-02-10,31.8,25.2,44.4,10.0,0.0,7.8,32
2016-02-11,31.8,27.1,42.3,10.0,0.0,7.7,32
2016-02-12,35.1,28.8,51.4,10.0,0.0,7.7,31
2016-02-13,32.2,24.1,42.4,10.0,0.0,7.7,31
2016-02-14,21.7,16.9,28.2,10.0,0.2,7.7,31
2016-02-15,22.6,17.1,27.7,10.2,0.2,7.9,33
2016-02-16,26.2,21.7,35.6,10.4,0.1,8.1,33
2016-02-17,35.6,24.4,48.4,10.5,0.0,8.1,34
2016-02-18,32.5,19.2,48.6,10.5,0.2,8.1,33
2016-02-19,27.5,14.2,45.9,10.7,0.0,8.1,34
2016-02-20,30.6,24.1,40.8,10.7,0.0,8.1,33
2016-02-21,27.9,20.7,44.8,10.7,0.0,8.1,32
2016-02-22,19.6,11.3,33.8,10.7,0.0,8.1,32
2016-02-23,12.0,7.7,23.9,10.7,0.0,8.2,33
2016-02-24,18.3,9.1,30.6,10.7,0.1,8.2,34
2016-02-25,25.0,16.9,46.6,10.8,0.0,8.2,33
2016-02-26,29.7,23.0,43.9,10.8,0.0,8.2,33
2016-02-27,32.5,26.6,43.5,10.8,0.0,8.2,32
2016-02-28,27.9,19.9,41.7,10.8,0.0,8.2,31
2016-02-29,25.5,19.0,34.5,10.8,0.1,8.2,31
2016-03-01,25.9,16.9,36.3,10.9,0.0,8.2,32
2016-03-02,26.2,20.3,32.5,10.9,0.1,8.2,32
2016-03-03,32.0,20.8,46.0,11.0,0.0,8.3,33
2016-03-04,30.7,19.8,42.1,11.0,0.0,8.3,32
2016-03-05,31.3,17.6,45.5,11.0,0.0,8.3,32
2016-03-06,31.8,26.8,43.5,11.0,0.0,8.3,32
2016-03-07,21.9,15.8,29.1,11.0,0.0,8.3,32
2016-03-08,19.9,9.7,34.0,11.0,0.0,8.3,32
2016-03-09,20.7,12.9,31.8,11.0,0.1,8.3,32
2016-03-10,29.1,19.0,44.1,11.1,0.0,8.3,32
2016-03-11,35.2,21.7,,11.1,0.0,8.3,32
2016-03-12,31.5,26.4,42.3,11.1,0.0,8.3,31
2016-03-13,29.8,24.4,40.3,11.1,0.0,8.3,30
2016-03-14,25.0,14.4,32.9,11.1,0.4,8.3,30
2016-03-15,12.4,7.0,17.4,11.5,0.3,8.7,37
2016-03-16,13.5,7.2,23.0,11.8,0.2,9.0,38
2016-03-17,20.1,15.1,27.9,12.0,0.1,9.1,37
2016-03-18,18.3,13.6,26.8,12.1,0.0,9.1,37
2016-03-19,19.0,12.2,30.2,12.1,0.0,9.2,37
2016-03-20,28.8,16.0,42.1,12.1,0.1,9.2,37
2016-03-21,36.7,29.5,48.2,12.2,0.0,9.2,35
2016-03-22,30.9,19.9,40.3,12.2,0.1,9.2,35
2016-03-23,16.2,13.3,22.3,12.3,0.3,9.4,37
2016-03-24,18.3,11.3,30.2,12.6,0.0,9.7,40
2016-03-25,17.4,4.6,25.9,12.6,0.3,9.7,38
2016-03-26,10.6,1.6,19.9,12.9,0.1,9.9,41
2016-03-27,19.9,3.7,33.3,13.0,0.1,10.1,42
2016-03-28,31.6,24.3,46.4,13.1,0.0,10.1,40
2016-03-29,27.3,12.9,39.4,13.1,0.0,10.1,39
2016-03-30,16.0,10.2,25.2,13.1,0.1,10.1,39
2016-03-31,14.7,5.2,28.0,13.2,0.1,10.2,39
2016-04-01,17.1,7.5,29.1,13.3,0.0,10.3,41
2016-04-02,25.9,8.8,51.1,13.3,0.0,10.3,40
2016-04-03,32.5,25.0,52.7,13.3,0.0,10.3,39
2016-04-04,35.6,24.4,48.0,13.3,0.0,10.3,38
2016-04-05,25.3,15.6,39.4,13.3,0.3,10.3,37
2016-04-06,28.2,15.1,42.4,13.6,0.0,10.6,39
2016-04-07,34.7,25.7,52.2,13.6,0.1,10.6,38
2016-04-08,34.7,23.7,47.3,13.7,0.0,10.7,37
2016-04-09,34.3,29.3,50.9,13.7,0.0,10.7,37
2016-04-10,34.2,25.9,45.7,13.7,0.0,10.6,37
2016-04-11,33.1,23.4,45.9,13.7,0.0,10.6,37
2016-04-12,32.5,27.7,45.7,13.7,0.1,10.6,36
2016-04-13,35.1,27.5,50.7,13.8,0.0,10.7,35
2016-04-14,36.5,27.5,48.9,13.8,0.1,10.7,36
2016-04-15,29.3,20.8,36.7,13.9,0.9,10.7,35
2016-04-16,20.8,16.3,28.8,14.8,0.4,11.7,45
2016-04-17,18.7,12.2,25.3,15.2,0.1,12.1,48
2016-04-18,20.3,9.0,32.9,15.3,0.3,12.2,44
2016-04-19,23.9,17.2,36.0,15.6,0.1,12.6,51
2016-04-20,28.8,20.1,40.6,15.7,0.0,12.7,47
2016-04-21,34.3,25.9,49.1,15.7,0.0,12.7,45
2016-04-22,38.8,25.0,54.0,15.7,0.0,12.6,43
2016-04-23,37.4,25.3,52.7,15.7,0.1,12.5,41
2016-04-24,30.4,23.0,40.8,15.8,0.1,12.5,41
2016-04-25,34.3,24.1,47.5,15.9,0.0,12.5,40
2016-04-26,25.7,19.4,36.7,15.9,0.1,12.4,40
2016-04-27,27.5,20.7,38.1,16.0,0.0,12.6,40
2016-04-28,25.5,22.3,31.6,16.0,0.6,12.6,39
2016-04-29,23.0,18.3,28.2,16.6,0.7,13.1,45
2016-04-30,22.3,12.7,30.6,17.3,0.1,13.9,57
2016-05-01,18.3,11.3,34.3,17.4,0.2,14.3,57
2016-05-02,29.3,12.0,43.9,17.6,0.0,14.4,56
2016-05-03,33.8,24.1,53.4,17.6,0.0,14.4,50
2016-05-04,40.3,28.8,63.5,17.6,0.0,14.3,47
2016-05-05,43.5,31.6,59.2,17.6,0.0,14.2,45
2016-05-06,41.2,33.1,55.0,17.6,0.1,13.9,42
2016-05-07,33.3,26.4,46.6,17.7,0.0,13.8,41
2016-05-08,31.5,25.9,41.7,17.7,0.0,13.8,41
2016-05-09,33.8,26.8,47.8,17.7,0.4,13.7,40
2016-05-10,32.9,26.4,41.4,18.1,0.3,13.9,42
2016-05-11,30.4,23.5,41.4,18.4,0.0,14.2,42
2016-05-12,37.8,26.2,51.3,18.4,0.0,14.4,42
2016-05-13,43.0,30.2,55.6,18.4,0.0,14.1,41
2016-05-14,43.0,30.6,,18.4,0.0,13.7,39
2016-05-15,36.7,31.3,48.0,18.4,0.2,13.1,39
2016-05-16,33.4,27.1,46.4,18.6,0.5,13.0,38
2016-05-17,29.1,25.5,40.8,19.1,0.0,13.4,43
2016-05-18,32.7,21.0,51.1,19.1,0.8,13.3,42
2016-05-19,36.3,27.9,48.2,19.9,0.0,13.9,45
2016-05-20,43.2,31.5,55.0,19.9,0.0,13.7,40
2016-05-21,46.8,34.9,,19.9,0.0,13.3,39
2016-05-22,42.6,29.3,55.8,19.9,0.0,12.7,37
2016-05-23,37.4,29.3,49.6,19.9,0.0,12.2,36
2016-05-24,41.7,29.3,54.3,19.9,0.0,12.0,35
2016-05-25,39.0,30.4,50.7,19.9,0.0,11.6,34
2016-05-26,34.2,28.8,47.5,19.9,0.2,11.2,33
2016-05-27,32.7,29.1,44.6,20.1,0.2,10.9,34
2016-05-28,37.0,29.3,49.5,20.3,0.0,11.0,33
2016-05-29,40.1,30.4,56.1,20.3,0.0,10.8,32
2016-05-30,40.5,30.6,54.9,20.3,0.0,10.3,31
2016-05-31,39.9,30.6,55.8,20.3,0.0,9.9,30
2016-06-01,42.8,33.1,57.6,20.3,0.0,9.5,28
2016-06-02,46.4,34.0,59.7,20.3,0.0,8.8,27
2016-06-03,47.7,37.9,62.1,20.3,0.1,7.9,25
2016-06-04,49.1,36.7,,20.4,0.0,7.0,22
2016-06-05,49.3,36.9,65.8,20.4,0.0,5.9,18
2016-06-06,47.5,37.0,65.5,20.4,0.0,4.6,17
2016-06-07,49.5,34.7,65.8,20.4,0.0,4.0,14
2016-06-08,49.1,37.2,69.1,20.4,0.0,3.2,11
2016-06-09,52.2,43.5,68.0,20.4,0.0,1.8,5
2016-06-10,55.0,42.1,72.0,20.4,0.0,0.6,1
2016-06-11,52.7,41.2,68.9,20.4,0.0,0.0,0
2016-06-12,50.4,39.6,65.7,20.4,0.0,0.0,0
2016-06-13,44.1,35.2,,20.4,0.3,0.0,0
2016-06-14,45.5,36.1,57.9,20.7,0.0,0.0,0
2016-06-15,53.8,41.7,70.0,20.7,0.0,0.0,0
2016-06-16,55.0,40.1,70.5,20.7,0.0,0.0,0
2016-06-17,53.6,42.3,68.0,20.7,0.0,0.0,0
2016-06-18,55.9,39.4,76.3,20.7,0.0,0.0,0
2016-06-19,60.1,44.6,77.2,20.7,0.0,0.0,0
2016-06-20,56.8,45.7,77.0,20.7,0.0,0.0,0
2016-06-21,59.7,45.3,77.4,20.7,0.0,0.0,0
2016-06-22,53.8,40.8,71.4,20.7,0.5,0.0,0
2016-06-23,52.5,41.4,66.6,21.2,0.0,0.0,0
2016-06-24,53.2,42.3,66.6,21.2,0.0,0.0,0
2016-06-25,55.8,42.8,72.0,21.2,0.0,0.0,0
2016-06-26,54.3,38.8,71.8,21.2,0.0,0.0,0
2016-06-27,55.2,39.4,,21.2,0.0,0.0,0
2016-06-28,55.0,41.4,73.2,21.2,0.0,0.0,0
2016-06-29,54.7,46.6,,21.2,0.0,0.0,0
2016-06-30,49.5,41.9,,21.2,0.6,0.0,0
2016-07-01,47.5,44.4,55.6,21.8,0.1,0.0,0
2016-07-02,47.8,42.6,61.7,21.9,0.1,0.0,0
2016-07-03,50.7,43.9,65.3,22.0,0.0,0.0,0
2016-07-04,52.9,,68.5,22.0,0.0,0.0,0
2016-07-05,54.9,43.9,67.5,22.0,0.0,0.0,0
2016-07-06,56.7,45.5,68.9,22.0,0.0,0.0,0
2016-07-07,57.4,46.4,69.1,22.0,0.0,0.0,0
2016-07-08,55.4,42.1,71.2,22.0,0.0,0.0,0
2016-07-09,57.9,43.9,74.1,22.0,0.0,0.0,0
2016-07-10,60.6,50.9,73.0,22.0,0.0,0.0,0
2016-07-11,54.3,42.6,73.6,22.0,0.0,0.0,0
2016-07-12,54.1,38.7,,22.0,0.0,0.0,0
2016-07-13,57.4,44.2,76.5,22.0,0.0,0.0,0
2016-07-14,54.9,,75.2,22.0,0.0,0.0,0
2016-07-15,53.4,39.6,67.8,22.0,0.0,0.0,0
2016-07-16,55.6,38.7,,22.0,0.0,0.0,0
2016-07-17,57.0,45.7,70.3,22.0,0.0,0.0,0
2016-07-18,52.7,42.4,64.2,22.0,0.1,0.0,0
2016-07-19,55.0,,71.1,22.1,0.1,0.0,0
2016-07-20,55.4,45.3,,22.2,0.0,0.0,0
2016-07-21,53.4,44.6,66.4,22.2,0.2,0.0,0
2016-07-22,55.0,42.8,71.1,22.4,0.0,0.0,0
2016-07-23,58.6,45.7,73.4,22.4,0.0,0.0,0
2016-07-24,54.3,40.8,70.2,22.4,0.1,0.0,0
2016-07-25,54.0,,,22.5,0.0,0.0,0
2016-07-26,52.9,41.9,65.5,22.5,0.0,0.0,0
2016-07-27,57.2,,,22.5,0.0,0.0,0
2016-07-28,58.3,44.6,75.2,22.5,0.0,0.0,0
2016-07-29,55.8,40.3,,22.5,0.0,0.0,0
2016-07-30,57.4,42.6,,22.5,0.0,0.0,0
2016-07-31,51.4,44.4,,22.5,0.4,0.0,0
2016-08-01,54.0,43.0,69.6,22.9,0.0,0.0,0
2016-08-02,55.0,45.3,69.1,22.9,0.0,0.0,0
2016-08-03,54.1,44.6,,22.9,0.3,0.0,0
2016-08-04,47.5,42.8,58.6,23.2,0.7,0.0,0
2016-08-05,47.1,43.2,51.8,23.9,0.2,0.0,0
2016-08-06,50.2,43.9,61.5,24.1,0.0,0.0,0
2016-08-07,50.9,,67.5,24.1,0.3,0.0,0
2016-08-08,50.2,40.8,,24.4,0.0,0.0,0
2016-08-09,53.8,,,24.4,0.0,0.0,0
2016-08-10,52.0,43.9,67.6,24.4,0.2,0.0,0
2016-08-11,53.1,44.2,64.9,24.6,0.0,0.0,0
2016-08-12,49.3,37.4,63.0,24.6,0.0,0.0,0
2016-08-13,47.7,34.5,65.7,24.6,0.0,0.0,0
2016-08-14,50.9,36.1,67.6,24.6,0.0,0.0,0
2016-08-15,51.1,39.0,68.9,24.6,0.0,0.0,0
2016-08-16,47.8,39.2,64.8,24.6,0.0,0.0,0
2016-08-17,48.9,40.1,65.8,24.6,0.0,0.0,0
2016-08-18,47.7,38.1,58.5,24.6,0.0,0.0,0
2016-08-19,47.8,37.0,62.1,24.6,0.0,0.0,0
2016-08-20,49.5,36.1,64.9,24.6,0.0,0.0,0
2016-08-21,48.4,37.4,67.8,24.6,0.1,0.0,0
2016-08-22,49.6,41.9,60.4,24.7,0.0,0.0,0
2016-08-23,43.9,34.3,56.7,24.7,1.0,0.0,0
2016-08-24,39.6,33.1,49.1,25.7,0.3,0.0,0
2016-08-25,40.6,33.1,56.1,26.0,0.2,0.0,0
2016-08-26,42.1,34.2,54.0,26.2,0.1,0.0,0
2016-08-27,45.0,38.8,55.2,26.3,0.0,0.0,0
2016-08-28,43.5,38.7,55.8,26.3,0.2,0.0,0
2016-08-29,40.1,35.2,53.8,26.5,0.2,0.0,0
2016-08-30,42.6,34.5,57.7,26.7,0.1,0.0,0
2016-08-31,48.2,35.6,64.8,26.8,0.0,0.0,0
2016-09-01,49.5,39.2,63.9,26.8,0.0,0.0,0
2016-09-02,46.8,40.1,59.0,26.8,0.1,0.0,0
2016-09-03,48.9,40.1,63.0,26.9,0.1,0.0,0
2016-09-04,50.0,39.6,61.0,27.0,0.0,0.0,0
2016-09-05,51.8,40.8,63.9,27.0,0.0,0.0,0
2016-09-06,52.9,40.3,61.7,27.0,0.0,0.0,0
2016-09-07,51.1,43.7,63.3,27.0,0.0,0.0,0
2016-09-08,52.2,42.4,64.8,27.0,0.0,0.0,0
2016-09-09,47.7,32.5,62.6,27.0,0.0,0.0,0
2016-09-10,50.7,33.3,66.2,27.0,0.0,0.0,0
2016-09-11,52.2,39.4,64.9,27.0,0.0,0.0,0
2016-09-12,46.8,37.4,61.0,27.0,0.1,0.0,0
2016-09-13,41.9,34.3,55.6,27.1,0.1,0.0,0
2016-09-14,43.2,35.2,57.0,27.2,0.0,0.0,0
2016-09-15,41.4,29.7,55.6,27.2,0.0,0.0,0
2016-09-16,40.5,27.1,57.2,27.2,0.0,0.0,0
2016-09-17,43.0,30.4,56.7,27.2,0.0,0.0,0
2016-09-18,49.6,40.1,63.9,27.2,0.0,0.0,0
2016-09-19,52.2,40.8,68.0,27.2,0.0,0.0,0
2016-09-20,50.4,39.2,61.2,27.2,0.0,0.0,0
2016-09-21,46.6,38.1,55.2,27.2,0.1,0.0,0
2016-09-22,49.3,39.4,61.3,27.3,0.0,0.0,0
2016-09-23,40.6,27.5,55.9,27.3,0.0,0.0,0
2016-09-24,32.2,27.0,39.6,27.3,0.0,0.0,0
2016-09-25,37.4,24.3,55.8,27.3,0.0,0.0,0
2016-09-26,43.0,29.3,63.5,27.3,0.0,0.0,0
2016-09-27,47.8,32.9,64.4,27.3,0.0,0.0,0
2016-09-28,46.2,36.1,65.1,27.3,0.0,0.0,0
2016-09-29,45.7,34.5,59.7,27.3,0.0,0.0,0
2016-09-30,45.5,35.2,62.2,27.3,0.0,0.0,0
