Date,Middle Creek (624) Air Temperature Average (degF),Middle Creek (624) Air Temperature Minimum (degF),Middle Creek (624) Air Temperature Maximum (degF),Middle Creek (624) Precipitation Accumulation (in) Start of Day Values,Middle Creek (624) Precipitation Increment (in),Middle Creek (624) Snow Water Equivalent (in) Start of Day Values,Middle Creek (624) Snow Depth (in) Start of Day Values
2015-11-08,23.2,9.7,41.9,5.5,0.0,2.1,9
2015-11-09,27.3,12.0,36.1,5.5,0.1,2.1,9
2015-11-10,23.4,12.0,30.6,5.6,0.1,2.2,9
2015-11-11,14.2,5.2,26.6,5.7,0.1,2.4,14
2015-11-12,21.6,10.6,37.8,5.8,0.1,2.4,13
2015-11-13,23.0,10.4,41.9,5.9,0.0,2.4,12
2015-11-14,26.6,11.8,41.9,5.9,0.0,2.4,11
2015-11-15,25.9,20.8,32.4,5.9,0.2,2.4,11
2015-11-16,19.8,13.6,27.7,6.1,1.2,2.8,14
2015-11-17,15.1,7.7,19.4,7.3,0.0,4.0,23
2015-11-18,18.3,6.6,32.5,7.3,0.1,4.1,21
2015-11-19,26.4,11.5,37.8,7.4,0.0,4.1,20
2015-11-20,24.6,7.2,36.7,7.4,0.0,4.1,19
2015-11-21,18.3,4.1,34.0,7.4,0.0,4.0,19
2015-11-22,24.6,9.9,42.6,7.4,0.0,3.9,18
2015-11-23,27.0,14.4,40.8,7.4,0.0,3.9,18
2015-11-24,27.1,19.6,34.2,7.4,0.1,3.9,18
2015-11-25,26.8,23.4,29.8,7.5,0.0,4.0,18
2015-11-26,22.1,19.4,25.0,7.5,0.4,4.0,17
2015-11-27,21.2,15.8,25.3,7.9,0.6,4.8,25
2015-11-28,15.8,9.7,19.6,8.5,0.3,5.2,28
2015-11-29,13.1,6.6,17.8,8.8,0.2,5.4,28
2015-11-30,5.2,-7.1,12.4,9.0,0.1,5.5,31
2015-12-01,9.5,-3.5,19.9,9.1,0.1,5.5,29
2015-12-02,18.0,5.7,32.7,9.2,0.0,5.5,27
2015-12-03,25.2,10.9,39.0,9.2,0.1,5.5,25
2015-12-04,28.0,20.8,36.7,9.3,0.0,5.6,26
2015-12-05,17.1,4.3,25.5,9.3,0.0,5.7,25
2015-12-06,27.3,11.7,41.7,9.3,0.1,5.7,28
2015-12-07,31.8,19.2,44.1,9.4,0.1,5.7,27
2015-12-08,29.1,19.6,42.3,9.5,0.0,5.7,26
2015-12-09,33.4,18.3,46.0,9.5,0.0,5.7,26
2015-12-10,31.8,25.9,39.0,9.5,0.0,5.8,25
2015-12-11,24.1,20.7,28.2,9.5,0.1,5.8,25
2015-12-12,19.9,12.9,23.2,9.6,0.9,6.4,29
2015-12-13,19.2,4.1,31.6,10.5,0.1,7.3,38
2015-12-14,14.0,4.6,23.5,10.6,0.9,7.3,36
2015-12-15,1.9,-7.8,10.4,11.5,0.1,8.1,45
2015-12-16,3.0,-9.0,19.9,11.6,0.1,8.1,40
2015-12-17,7.7,0.0,19.4,11.7,0.1,8.1,39
2015-12-18,25.2,10.0,38.5,11.8,0.0,8.2,37
2015-12-19,28.4,23.0,34.2,11.8,0.0,8.2,36
2015-12-20,16.7,11.7,23.0,11.8,0.2,8.3,35
2015-12-21,14.9,6.4,20.1,12.0,0.2,8.6,41
2015-12-22,17.1,14.2,21.4,12.2,0.2,8.8,40
2015-12-23,11.3,-8.3,18.3,12.4,0.1,8.9,38
2015-12-24,7.7,-6.9,15.6,12.5,0.4,8.9,39
2015-12-25,9.0,-3.1,16.5,12.9,0.9,9.5,42
2015-12-26,-1.5,-11.6,5.9,13.8,0.2,10.3,46
2015-12-27,10.6,-3.5,30.9,14.0,0.0,10.3,45
2015-12-28,13.8,5.9,25.2,14.0,0.0,10.3,42
2015-12-29,7.5,-1.1,16.9,14.0,0.0,10.3,43
2015-12-30,5.0,1.2,11.5,14.0,0.0,10.4,42
2015-12-31,3.4,-7.2,15.6,14.0,0.0,10.4,42
2016-01-01,6.1,-5.1,22.6,14.0,0.1,10.4,40
2016-01-02,16.2,1.9,32.2,14.1,0.1,10.4,40
2016-01-03,19.8,11.1,35.2,14.2,0.0,10.4,40
2016-01-04,19.6,9.5,30.0,14.2,0.0,10.4,39
2016-01-05,18.0,8.6,28.4,14.2,0.1,10.5,39
2016-01-06,18.0,12.6,25.3,14.3,0.0,10.6,38
2016-01-07,13.1,4.6,20.3,14.3,0.0,10.6,42
2016-01-08,9.7,2.8,17.2,14.3,0.1,10.6,41
2016-01-09,4.1,-6.7,16.0,14.4,0.1,10.7,41
2016-01-10,0.7,-9.2,19.9,14.5,0.1,10.8,42
2016-01-11,11.1,-6.7,23.9,14.6,0.0,10.8,38
2016-01-12,19.4,4.6,35.1,14.6,0.1,10.9,41
2016-01-13,21.4,9.7,38.8,14.7,0.0,10.9,42
2016-01-14,13.5,-2.0,22.5,14.7,0.0,10.9,40
2016-01-15,10.2,-0.4,20.3,14.7,0.0,10.9,41
2016-01-16,11.3,-5.8,25.9,14.7,0.0,10.9,40
2016-01-17,13.8,3.6,23.5,14.7,0.0,10.9,40
2016-01-18,21.0,8.6,34.7,14.7,0.0,10.9,41
2016-01-19,16.9,6.8,29.8,14.7,0.0,11.0,38
2016-01-20,13.5,-1.7,24.3,14.7,0.1,11.0,41
2016-01-21,13.3,-3.3,27.5,14.8,0.0,11.0,39
2016-01-22,27.1,14.0,42.1,14.8,0.0,11.0,40
2016-01-23,27.9,17.8,39.9,14.8,0.0,11.1,41
2016-01-24,16.2,2.7,25.3,14.8,0.0,11.1,40
2016-01-25,4.5,-5.3,15.3,14.8,0.0,11.1,42
2016-01-26,7.7,-7.4,22.5,14.8,0.1,11.1,42
2016-01-27,23.2,8.4,35.6,14.9,0.0,11.1,42
2016-01-28,25.5,12.2,40.8,14.9,0.0,11.2,41
2016-01-29,28.8,21.4,38.5,14.9,0.0,11.2,41
2016-01-30,26.2,22.5,31.3,14.9,0.1,11.3,40
2016-01-31,22.1,20.8,23.5,15.0,0.8,11.6,43
2016-02-01,9.7,-1.3,21.6,15.8,1.0,12.7,49
2016-02-02,-1.5,-11.2,7.5,16.8,0.0,13.3,54
2016-02-03,-7.6,-17.0,5.2,16.8,0.3,13.3,52
2016-02-04,5.5,-7.6,25.2,17.1,0.0,13.3,51
2016-02-05,6.3,-1.5,16.2,17.1,0.1,13.4,51
2016-02-06,18.0,4.6,36.3,17.2,0.0,13.4,50
2016-02-07,23.2,11.3,32.0,17.2,0.0,13.5,50
2016-02-08,25.5,16.2,35.8,17.2,0.0,13.5,49
2016-02-09,26.4,13.6,40.3,17.2,0.0,13.5,48
2016-02-10,29.7,16.2,44.1,17.2,0.0,13.5,48
2016-02-11,28.8,15.8,45.3,17.2,0.0,13.5,47
2016-02-12,32.5,20.3,46.2,17.2,0.0,13.5,47
2016-02-13,31.6,18.7,42.4,17.2,0.0,13.5,47
2016-02-14,23.5,10.8,36.5,17.2,0.0,13.5,46
2016-02-15,23.4,7.9,40.5,17.2,0.0,13.5,46
2016-02-16,29.5,14.4,45.7,17.2,0.0,13.5,46
2016-02-17,34.2,20.7,43.9,17.2,0.0,13.5,46
2016-02-18,30.6,25.9,34.5,17.2,0.0,13.6,46
2016-02-19,28.4,23.0,36.3,17.2,0.0,13.9,47
2016-02-20,30.0,16.5,41.2,17.2,0.0,14.0,47
2016-02-21,26.2,12.6,40.1,17.2,0.0,14.0,46
2016-02-22,17.1,7.7,26.8,17.2,0.0,14.1,46
2016-02-23,10.8,-0.6,18.9,17.2,0.1,14.1,47
2016-02-24,14.7,-3.6,33.1,17.3,0.2,14.3,49
2016-02-25,23.4,10.0,39.6,17.5,0.0,14.4,51
2016-02-26,28.8,11.3,45.3,17.5,0.1,14.4,50
2016-02-27,30.6,19.8,41.9,17.6,0.0,14.5,49
2016-02-28,30.6,19.6,41.7,17.6,0.0,14.5,49
2016-02-29,28.8,19.0,39.2,17.6,0.0,14.5,48
2016-03-01,29.1,14.0,39.9,17.6,0.0,14.5,48
2016-03-02,29.5,21.2,36.3,17.6,0.0,14.5,48
2016-03-03,31.3,13.6,48.6,17.6,0.0,14.5,46
2016-03-04,33.8,21.7,45.3,17.6,0.0,14.5,46
2016-03-05,32.9,27.0,39.6,17.6,0.0,14.7,46
2016-03-06,27.3,22.6,31.6,17.6,0.1,14.7,46
2016-03-07,16.5,3.6,24.8,17.7,0.1,14.8,49
2016-03-08,17.2,2.1,32.5,17.8,0.2,14.9,49
2016-03-09,18.7,3.4,32.4,18.0,0.0,14.9,47
2016-03-10,29.1,8.4,49.1,18.0,0.0,14.9,49
2016-03-11,37.0,22.6,47.1,18.0,0.0,15.0,48
2016-03-12,27.3,17.2,34.9,18.0,0.0,15.0,47
2016-03-13,26.6,12.9,37.4,18.0,0.0,15.0,47
2016-03-14,27.1,18.3,35.6,18.0,0.0,15.0,47
2016-03-15,19.9,12.2,28.8,18.0,0.0,15.0,47
2016-03-16,22.6,14.2,34.5,18.0,0.0,15.0,47
2016-03-17,27.0,15.3,37.4,18.0,0.0,15.0,47
2016-03-18,26.8,14.4,37.8,18.0,0.0,15.0,46
2016-03-19,24.1,13.1,36.0,18.0,0.0,15.0,46
2016-03-20,28.2,11.7,43.2,18.0,0.0,15.0,45
2016-03-21,36.5,23.5,44.2,18.0,0.0,15.0,45
2016-03-22,28.8,13.8,36.0,18.0,0.0,15.0,45
2016-03-23,15.4,9.0,24.3,18.0,0.0,15.0,43
2016-03-24,20.7,4.1,33.8,18.0,0.0,15.1,45
2016-03-25,20.5,9.9,30.4,18.0,0.0,15.1,45
2016-03-26,12.6,0.3,25.3,18.0,0.4,14.8,45
2016-03-27,19.9,-2.6,35.6,18.4,0.2,15.1,50
2016-03-28,28.8,23.2,36.3,18.6,0.1,15.3,49
2016-03-29,20.1,8.2,27.5,18.7,0.7,15.5,51
2016-03-30,12.0,0.9,24.1,19.4,0.4,16.4,59
2016-03-31,14.0,1.8,25.9,19.8,0.0,16.4,57
2016-04-01,17.2,3.6,32.2,19.8,0.1,16.4,55
2016-04-02,24.8,7.9,39.6,19.9,0.0,16.4,54
2016-04-03,29.8,13.5,45.0,19.9,0.0,16.4,53
2016-04-04,34.9,18.9,48.6,19.9,0.0,16.0,50
2016-04-05,30.0,13.3,41.2,19.9,0.0,15.8,49
2016-04-06,30.2,9.9,47.7,19.9,0.0,15.4,48
2016-04-07,38.3,20.5,51.6,19.9,0.0,15.3,47
2016-04-08,34.3,29.1,42.6,19.9,0.1,15.3,45
2016-04-09,31.6,26.8,37.0,20.0,0.0,15.6,46
2016-04-10,30.6,19.8,45.3,20.0,0.0,15.9,45
2016-04-11,28.8,19.4,42.8,20.0,0.0,15.9,44
2016-04-12,29.7,23.5,41.2,20.0,0.1,16.1,44
2016-04-13,34.0,23.0,49.1,20.1,0.1,16.2,43
2016-04-14,37.0,32.5,42.4,20.2,0.0,16.2,43
2016-04-15,27.5,17.4,34.3,20.2,0.3,16.1,41
2016-04-16,19.9,11.3,30.2,20.5,0.7,16.7,46
2016-04-17,18.0,9.3,28.0,21.2,0.3,17.4,52
2016-04-18,20.3,9.9,31.5,21.5,0.4,17.9,55
2016-04-19,21.4,6.3,36.1,21.9,0.2,18.2,55
2016-04-20,30.6,19.9,41.9,22.1,0.0,18.2,52
2016-04-21,34.3,19.8,48.0,22.1,0.0,18.2,50
2016-04-22,40.3,26.8,49.6,22.1,0.0,18.2,46
2016-04-23,35.1,24.1,43.9,22.1,0.0,18.1,44
2016-04-24,32.4,18.3,43.5,22.1,0.0,18.0,45
2016-04-25,27.9,16.9,38.1,22.1,0.1,17.9,43
2016-04-26,20.7,15.4,26.8,22.2,0.2,18.2,47
2016-04-27,26.2,12.7,37.0,22.4,0.1,18.2,46
2016-04-28,27.7,20.1,37.9,22.5,0.3,18.4,44
2016-04-29,23.2,13.6,33.4,22.8,0.1,18.8,48
2016-04-30,25.0,11.8,38.5,22.9,0.2,18.8,48
2016-05-01,22.5,17.6,30.0,23.1,0.3,18.8,46
2016-05-02,28.2,16.0,42.8,23.4,0.2,19.4,53
2016-05-03,33.8,17.8,51.6,23.6,0.1,19.3,48
2016-05-04,40.5,25.9,50.2,23.7,0.0,19.3,45
2016-05-05,43.7,28.0,54.1,23.7,0.0,19.3,44
2016-05-06,42.4,32.2,49.8,23.7,0.0,18.8,43
2016-05-07,28.8,23.2,35.8,23.7,0.0,18.4,41
2016-05-08,26.8,19.2,36.0,23.7,0.2,18.5,43
2016-05-09,35.6,26.2,45.7,23.9,0.1,18.7,45
2016-05-10,35.6,26.4,44.4,24.0,0.1,18.8,43
2016-05-11,30.4,19.2,41.2,24.1,0.3,18.4,40
2016-05-12,37.0,16.5,51.3,24.4,0.1,18.4,42
2016-05-13,42.8,28.4,56.1,24.5,0.0,18.1,41
2016-05-14,44.8,32.5,55.0,24.5,0.0,17.5,38
2016-05-15,39.4,33.3,45.5,24.5,0.1,16.1,34
2016-05-16,31.8,23.4,40.1,24.6,0.1,15.4,33
2016-05-17,31.6,22.6,41.7,24.7,0.2,15.5,35
2016-05-18,31.8,27.1,47.1,24.9,0.6,15.4,34
2016-05-19,36.3,28.2,49.6,25.5,0.2,16.1,39
2016-05-20,41.2,33.4,47.7,25.7,0.0,15.5,33
2016-05-21,43.5,37.4,49.5,25.7,0.0,14.6,31
2016-05-22,38.8,33.4,45.5,25.7,0.0,13.2,28
2016-05-23,38.3,30.9,44.6,25.7,0.0,11.7,24
2016-05-24,39.4,33.4,46.4,25.7,0.0,10.5,20
2016-05-25,37.2,29.8,45.5,25.7,0.1,9.4,18
2016-05-26,31.3,23.2,42.6,25.8,0.0,8.1,15
2016-05-27,32.9,25.5,43.5,25.8,0.0,7.6,16
2016-05-28,36.3,25.0,46.2,25.8,0.0,7.9,14
2016-05-29,40.6,28.4,53.2,25.8,0.1,6.6,12
2016-05-30,41.9,29.8,54.0,25.9,0.0,5.4,10
2016-05-31,43.0,28.8,56.7,25.9,0.1,3.5,6
2016-06-01,42.6,30.0,53.6,26.0,0.0,1.6,3
2016-06-02,46.8,32.9,57.7,26.0,0.1,0.8,2
2016-06-03,48.4,36.0,59.4,26.1,0.0,0.0,0
2016-06-04,49.5,36.7,63.1,26.1,0.0,0.0,0
2016-06-05,52.2,40.6,63.9,26.1,0.0,0.0,0
2016-06-06,48.4,37.8,62.1,26.1,0.0,0.0,0
2016-06-07,51.1,36.9,62.2,26.1,0.0,0.0,0
2016-06-08,48.0,37.2,60.1,26.1,0.0,0.0,0
2016-06-09,52.0,39.2,66.0,26.1,0.0,0.0,0
2016-06-10,53.4,39.0,67.3,26.1,0.0,0.0,0
2016-06-11,52.7,41.0,61.9,26.1,0.0,0.0,0
2016-06-12,50.4,38.1,61.0,26.1,0.0,0.0,0
2016-06-13,46.2,35.6,55.6,26.1,0.0,0.0,0
2016-06-14,46.8,32.0,56.8,26.1,0.0,0.0,0
2016-06-15,52.9,42.3,61.5,26.1,0.0,0.0,0
2016-06-16,50.0,39.6,59.5,26.1,0.0,0.0,0
2016-06-17,52.7,36.0,65.5,26.1,0.0,0.0,0
2016-06-18,56.1,36.3,70.5,26.1,0.0,0.0,0
2016-06-19,61.0,46.8,74.1,26.1,0.0,0.0,0
2016-06-20,59.2,45.0,76.6,26.1,0.0,0.0,0
2016-06-21,55.0,42.8,72.7,26.1,0.0,0.0,0
2016-06-22,53.4,41.9,70.5,26.1,0.0,0.0,0
2016-06-23,55.8,43.9,65.7,26.1,0.0,0.0,0
2016-06-24,53.8,44.8,65.3,26.1,0.0,0.0,0
2016-06-25,53.1,43.2,63.3,26.1,0.0,0.0,0
2016-06-26,52.9,41.0,65.7,26.1,0.0,0.0,0
2016-06-27,57.0,39.6,69.8,26.1,0.0,0.0,0
2016-06-28,52.7,41.7,62.8,26.1,0.0,0.0,0
2016-06-29,50.7,39.0,63.9,26.1,0.0,0.0,0
2016-06-30,48.9,42.3,61.3,26.1,0.0,0.0,0
2016-07-01,44.2,41.4,51.1,26.1,0.5,0.0,0
2016-07-02,45.5,37.9,55.0,26.6,0.3,0.0,0
2016-07-03,46.6,36.1,55.9,26.9,0.1,0.0,0
2016-07-04,47.3,36.5,58.8,27.0,0.0,0.0,0
2016-07-05,54.7,41.9,63.0,27.0,0.2,0.0,0
2016-07-06,55.4,41.9,63.5,27.2,0.0,0.0,0
2016-07-07,55.0,41.7,64.0,27.2,0.0,0.0,0
2016-07-08,54.9,40.8,66.0,27.2,0.0,0.0,0
2016-07-09,56.8,42.4,68.0,27.2,0.0,0.0,0
2016-07-10,57.9,51.6,63.9,27.2,0.0,0.0,0
2016-07-11,53.6,41.4,63.1,27.2,0.0,0.0,0
2016-07-12,54.1,41.7,63.5,27.2,0.0,0.0,0
2016-07-13,55.9,39.9,67.1,27.2,0.0,0.0,0
2016-07-14,54.9,40.6,68.4,27.2,0.0,0.0,0
2016-07-15,55.0,41.2,66.0,27.2,0.0,0.0,0
2016-07-16,57.7,44.2,67.5,27.2,0.0,0.0,0
2016-07-17,58.3,47.1,68.9,27.2,0.0,0.0,0
2016-07-18,55.4,44.4,67.6,27.2,0.0,0.0,0
2016-07-19,53.1,42.8,67.6,27.2,0.0,0.0,0
2016-07-20,51.6,38.7,64.2,27.2,0.0,0.0,0
2016-07-21,55.8,40.8,67.5,27.2,0.0,0.0,0
2016-07-22,53.6,43.2,66.6,27.2,0.0,0.0,0
2016-07-23,54.0,42.6,68.5,27.2,0.0,0.0,0
2016-07-24,,,,27.2,0.0,0.0,0
2016-07-25,57.4,,66.2,27.2,0.0,0.0,0
2016-07-26,52.5,40.1,63.7,27.2,0.0,0.0,0
2016-07-27,55.9,38.7,69.4,27.2,0.0,0.0,0
2016-07-28,57.7,44.4,70.7,27.2,0.0,0.0,0
2016-07-29,59.2,47.5,68.4,27.2,0.1,0.0,0
2016-07-30,53.6,44.2,66.0,27.3,0.0,0.0,0
2016-07-31,52.0,45.0,62.2,27.3,0.1,0.0,0
2016-08-01,52.5,43.5,67.1,27.4,0.3,0.0,0
2016-08-02,52.0,41.9,66.4,27.7,0.1,0.0,0
2016-08-03,48.9,42.3,61.2,27.8,1.2,0.0,0
2016-08-04,48.9,40.5,55.9,29.0,0.3,0.0,0
2016-08-05,48.0,44.1,54.3,29.3,1.1,0.0,0
2016-08-06,48.9,40.8,57.4,30.4,0.4,0.0,0
2016-08-07,51.3,41.0,63.0,30.8,0.0,0.0,0
2016-08-08,49.8,41.2,61.5,30.8,0.0,0.0,0
2016-08-09,52.5,39.0,62.6,30.8,0.0,0.0,0
2016-08-10,51.8,41.7,62.6,30.8,0.0,0.0,0
2016-08-11,50.2,39.2,61.9,30.8,0.0,0.0,0
2016-08-12,49.3,36.7,61.3,30.8,0.0,0.0,0
2016-08-13,47.3,36.5,59.5,30.8,0.0,0.0,0
2016-08-14,49.1,32.5,62.6,30.8,0.0,0.0,0
2016-08-15,50.7,37.2,63.5,30.8,0.0,0.0,0
2016-08-16,44.8,36.5,61.2,30.8,0.1,0.0,0
2016-08-17,44.4,36.3,56.1,30.9,0.1,0.0,0
2016-08-18,45.0,35.6,54.7,31.0,0.0,0.0,0
2016-08-19,45.5,34.3,57.0,31.0,0.0,0.0,0
2016-08-20,48.4,36.7,59.2,31.0,0.0,0.0,0
2016-08-21,47.7,37.4,59.2,31.0,0.0,0.0,0
2016-08-22,43.7,36.3,53.8,31.0,0.3,0.0,0
2016-08-23,40.6,35.1,51.1,31.3,0.2,0.0,0
2016-08-24,42.4,33.8,53.8,31.5,0.0,0.0,0
2016-08-25,41.0,31.5,52.2,31.5,0.1,0.0,0
2016-08-26,42.1,33.1,50.0,31.6,0.0,0.0,0
2016-08-27,41.4,32.4,51.3,31.6,0.1,0.0,0
2016-08-28,41.2,30.7,55.8,31.7,0.1,0.0,0
2016-08-29,40.3,32.5,48.9,31.8,0.0,0.0,0
2016-08-30,42.3,32.7,54.9,31.8,0.2,0.0,0
2016-08-31,47.8,34.9,59.9,32.0,0.2,0.0,0
2016-09-01,47.8,40.3,58.3,32.2,0.1,0.0,0
2016-09-02,48.6,39.6,58.8,32.3,0.1,0.0,0
2016-09-03,47.3,37.9,57.2,32.4,0.0,0.0,0
2016-09-04,48.9,41.9,55.2,32.4,0.0,0.0,0
2016-09-05,50.9,45.0,57.6,32.4,0.0,0.0,0
2016-09-06,49.5,41.2,57.6,32.4,0.0,0.0,0
2016-09-07,47.5,37.4,57.0,32.4,0.0,0.0,0
2016-09-08,48.0,33.1,64.4,32.4,0.0,0.0,0
2016-09-09,48.0,34.9,63.0,32.4,0.0,0.0,0
2016-09-10,47.5,34.2,58.8,32.4,0.0,0.0,0
2016-09-11,49.5,39.2,57.9,32.4,0.1,0.0,0
2016-09-12,42.4,33.4,54.0,32.5,0.0,0.0,0
2016-09-13,43.2,33.8,52.0,32.5,0.0,0.0,0
2016-09-14,42.3,37.8,48.9,32.5,0.0,0.0,0
2016-09-15,41.9,28.8,52.0,32.5,0.0,0.0,0
2016-09-16,41.4,27.7,53.6,32.5,0.1,0.0,0
2016-09-17,43.0,30.2,54.7,32.6,0.0,0.0,0
2016-09-18,45.7,28.8,61.0,32.6,0.1,0.0,0
2016-09-19,50.0,35.2,65.1,32.7,0.2,0.0,0
2016-09-20,47.7,38.1,57.4,32.9,0.0,0.0,0
2016-09-21,45.3,38.1,49.6,32.9,0.1,0.0,0
2016-09-22,45.9,40.6,52.5,33.0,0.6,0.0,0
2016-09-23,31.5,23.5,43.2,33.6,0.8,0.0,0
2016-09-24,30.4,21.6,37.9,34.4,0.2,0.0,0
2016-09-25,36.5,22.1,52.9,34.6,0.0,0.0,0
2016-09-26,41.7,28.8,57.2,34.6,0.1,0.0,0
2016-09-27,43.5,32.0,57.2,34.7,0.0,0.0,0
2016-09-28,46.2,32.9,58.3,34.7,0.0,0.0,0
2016-09-29,43.2,38.5,51.6,34.7,0.0,0.0,0
2016-09-30,40.1,30.4,52.9,34.7,0.0,0.0,0
