Date,Upper Taylor (1141) Air Temperature Average (degF),Upper Taylor (1141) Air Temperature Minimum (degF),Upper Taylor (1141) Air Temperature Maximum (degF),Upper Taylor (1141) Precipitation Accumulation (in) Start of Day Values,Upper Taylor (1141) Precipitation Increment (in),Upper Taylor (1141) Snow Water Equivalent (in) Start of Day Values,Upper Taylor (1141) Snow Depth (in) Start of Day Values
2015-11-29,18.3,11.3,27.1,4.6,0.1,2.5,10
2015-11-30,8.4,1.6,17.1,4.7,0.0,2.5,11
2015-12-01,9.3,-5.4,22.6,4.7,0.0,2.5,11
2015-12-02,16.9,4.1,35.8,4.7,0.0,2.5,11
2015-12-03,20.7,9.7,36.7,4.7,0.0,2.6,11
2015-12-04,27.3,14.4,43.2,4.7,0.2,2.6,10
2015-12-05,18.5,4.1,31.5,4.9,0.0,2.8,9
2015-12-06,18.9,3.6,39.6,4.9,0.0,2.8,10
2015-12-07,27.1,13.1,43.7,4.9,0.1,2.8,13
2015-12-08,28.6,18.5,39.9,5.0,0.0,3.0,11
2015-12-09,32.4,21.0,44.4,5.0,0.1,3.0,11
2015-12-10,32.9,22.8,39.2,5.1,0.0,3.0,11
2015-12-11,29.8,25.9,34.5,5.1,0.0,3.0,10
2015-12-12,22.5,14.4,26.8,5.1,0.4,3.0,10
2015-12-13,20.7,11.1,34.9,5.5,0.0,3.3,15
2015-12-14,19.4,10.0,28.4,5.5,0.0,3.3,15
2015-12-15,9.7,2.3,17.4,5.5,0.0,3.3,15
2015-12-16,6.3,-0.2,19.0,5.5,0.0,3.3,15
2015-12-17,3.6,-3.6,14.4,5.5,0.1,3.3,15
2015-12-18,16.0,1.4,33.3,5.6,0.0,3.4,16
2015-12-19,23.5,11.1,39.6,5.6,0.2,3.5,16
2015-12-20,21.9,15.3,31.3,5.8,0.2,3.7,14
2015-12-21,19.6,15.3,28.0,6.0,0.3,3.9,17
2015-12-22,22.6,17.8,27.9,6.3,0.5,4.2,21
2015-12-23,12.4,2.8,24.1,6.8,0.2,4.8,25
2015-12-24,3.9,-10.3,14.2,7.0,0.4,5.0,27
2015-12-25,11.3,-0.4,19.0,7.4,0.3,5.3,28
2015-12-26,1.8,-7.2,14.9,7.7,0.0,5.6,30
2015-12-27,9.5,-3.3,26.8,7.7,0.0,5.6,28
2015-12-28,10.9,1.6,27.7,7.7,0.0,5.6,25
2015-12-29,7.5,-0.2,25.5,7.7,0.0,5.6,24
2015-12-30,3.6,-3.6,15.4,7.7,0.1,5.6,24
2015-12-31,3.4,-6.5,19.9,7.8,0.0,5.6,24
2016-01-01,4.6,-8.0,24.1,7.8,0.0,5.6,26
2016-01-02,14.2,0.3,32.9,7.8,0.1,5.7,25
2016-01-03,21.6,13.1,37.8,7.9,0.1,5.8,25
2016-01-04,22.6,13.3,38.8,8.0,0.0,5.9,24
2016-01-05,20.8,13.8,36.3,8.0,0.0,5.9,24
2016-01-06,21.7,14.4,30.6,8.0,0.2,5.9,24
2016-01-07,17.8,4.5,25.7,8.2,0.0,6.1,26
2016-01-08,12.4,2.8,23.4,8.2,0.0,6.1,24
2016-01-09,11.5,-0.6,20.8,8.2,0.0,6.1,26
2016-01-10,5.4,-3.8,18.3,8.2,0.0,6.1,24
2016-01-11,12.4,-4.4,27.7,8.2,0.0,6.1,26
2016-01-12,16.2,2.7,33.1,8.2,0.0,6.1,26
2016-01-13,20.8,9.7,35.4,8.2,0.0,6.2,25
2016-01-14,14.2,5.0,24.6,8.2,0.0,6.2,24
2016-01-15,12.6,5.2,23.5,8.2,0.2,6.2,24
2016-01-16,13.3,7.7,21.6,8.4,0.2,6.4,26
2016-01-17,16.2,8.1,24.1,8.6,0.1,6.6,28
2016-01-18,20.8,7.7,36.7,8.7,0.1,6.7,28
2016-01-19,19.9,11.1,34.0,8.8,0.0,6.9,27
2016-01-20,16.2,9.0,24.8,8.8,0.4,6.9,27
2016-01-21,16.0,7.9,28.4,9.2,0.0,7.2,31
2016-01-22,23.2,11.3,42.4,9.2,0.0,7.2,29
2016-01-23,26.2,13.6,43.7,9.2,0.1,7.3,30
2016-01-24,20.7,11.3,32.0,9.3,0.0,7.3,30
2016-01-25,12.4,4.5,21.9,9.3,0.0,7.4,31
2016-01-26,10.9,-3.5,25.9,9.3,0.0,7.4,30
2016-01-27,22.3,8.8,40.1,9.3,0.0,7.4,31
2016-01-28,26.6,14.5,43.9,9.3,0.1,7.4,30
2016-01-29,25.9,16.5,36.7,9.4,0.1,7.5,29
2016-01-30,27.0,18.0,36.7,9.5,0.6,7.6,29
2016-01-31,19.9,15.6,23.9,10.1,0.9,8.2,37
2016-02-01,18.1,6.3,28.2,11.0,0.5,9.1,44
2016-02-02,4.6,-2.6,14.4,11.5,0.0,9.6,48
2016-02-03,-2.9,-13.5,8.1,11.5,0.0,9.6,46
2016-02-04,5.7,-12.8,23.0,11.5,0.1,9.6,44
2016-02-05,10.2,2.5,19.9,11.6,0.1,9.7,42
2016-02-06,20.3,3.7,34.5,11.7,0.0,9.8,42
2016-02-07,21.0,10.6,33.3,11.7,0.0,9.9,41
2016-02-08,25.3,16.0,38.1,11.7,0.0,9.9,40
2016-02-09,27.7,17.2,43.7,11.7,0.0,9.9,39
2016-02-10,28.9,16.3,48.6,11.7,0.0,9.9,37
2016-02-11,32.4,23.2,45.5,11.7,0.0,9.9,36
2016-02-12,32.5,21.2,48.7,11.7,0.0,9.9,34
2016-02-13,30.2,18.5,46.8,11.7,0.0,9.8,34
2016-02-14,23.5,15.4,35.8,11.7,0.0,9.8,34
2016-02-15,28.6,18.7,40.5,11.7,0.0,9.8,34
2016-02-16,29.1,18.3,45.1,11.7,0.0,9.8,34
2016-02-17,31.5,17.2,50.0,11.7,0.1,9.8,34
2016-02-18,31.3,22.6,37.9,11.8,0.3,9.9,32
2016-02-19,26.2,9.1,41.4,12.1,0.0,10.1,37
2016-02-20,28.0,17.2,43.0,12.1,0.0,10.2,36
2016-02-21,26.2,14.4,43.0,12.1,0.0,10.2,33
2016-02-22,20.3,12.6,29.7,12.1,0.0,10.2,34
2016-02-23,15.1,1.2,28.2,12.1,0.0,10.2,35
2016-02-24,15.6,-0.6,33.6,12.1,0.1,10.2,35
2016-02-25,25.3,10.8,40.6,12.2,0.0,10.2,35
2016-02-26,28.4,15.3,45.1,12.2,0.0,10.4,34
2016-02-27,30.6,17.1,44.2,12.2,0.0,10.4,33
2016-02-28,28.8,16.7,43.0,12.2,0.0,10.4,33
2016-02-29,28.4,18.3,42.3,12.2,0.1,10.4,32
2016-03-01,29.7,17.1,42.3,12.3,0.0,10.4,31
2016-03-02,30.0,22.6,39.4,12.3,0.1,10.1,30
2016-03-03,30.6,15.4,48.9,12.4,0.0,10.0,31
2016-03-04,32.0,23.4,45.9,12.4,0.0,10.0,30
2016-03-05,34.5,21.4,48.6,12.4,0.0,10.0,29
2016-03-06,30.9,25.7,36.5,12.4,0.3,10.0,28
2016-03-07,23.7,10.2,32.7,12.7,0.1,10.3,31
2016-03-08,19.4,5.9,36.7,12.8,0.0,10.4,34
2016-03-09,20.1,5.9,36.9,12.8,0.0,10.4,31
2016-03-10,27.9,12.2,46.0,12.8,0.1,10.4,31
2016-03-11,34.7,20.7,51.8,12.9,0.0,10.4,29
2016-03-12,32.0,27.0,47.5,12.9,0.1,10.4,28
2016-03-13,32.2,22.8,45.0,13.0,0.0,10.5,28
2016-03-14,27.7,18.7,33.8,13.0,0.4,10.6,28
2016-03-15,19.0,12.4,27.5,13.4,0.5,11.0,31
2016-03-16,19.6,11.7,28.4,13.9,0.0,11.4,35
2016-03-17,26.2,16.2,36.3,13.9,0.0,11.4,35
2016-03-18,25.2,14.0,38.1,13.9,0.0,11.4,33
2016-03-19,23.0,13.3,35.6,13.9,0.0,11.4,32
2016-03-20,28.6,14.2,45.7,13.9,0.1,11.4,30
2016-03-21,36.3,20.5,49.8,14.0,0.1,11.5,31
2016-03-22,33.8,21.0,42.6,14.1,0.0,11.5,28
2016-03-23,20.1,17.2,25.7,14.1,0.0,11.5,28
2016-03-24,23.4,13.6,37.2,14.1,0.1,11.5,28
2016-03-25,20.7,8.1,30.2,14.2,0.5,11.8,29
2016-03-26,14.0,3.6,27.7,14.7,0.1,12.5,39
2016-03-27,18.5,-0.9,37.9,14.8,0.1,12.5,37
2016-03-28,30.6,14.2,45.7,14.9,0.2,13.0,34
2016-03-29,27.5,6.8,39.6,15.1,0.0,13.2,33
2016-03-30,16.3,4.3,28.0,15.1,0.2,13.3,36
2016-03-31,17.6,7.0,32.0,15.3,0.0,13.6,36
2016-04-01,17.2,3.9,31.3,15.3,0.0,13.6,36
2016-04-02,26.4,8.8,46.0,15.3,0.0,13.6,36
2016-04-03,32.7,19.0,47.5,15.3,0.1,13.6,33
2016-04-04,35.1,21.6,49.1,15.4,0.0,13.2,32
2016-04-05,27.3,15.4,42.4,15.4,0.3,13.1,31
2016-04-06,30.4,16.5,45.0,15.7,0.0,13.5,34
2016-04-07,37.4,25.9,51.6,15.7,0.0,13.5,30
2016-04-08,39.0,25.7,54.3,15.7,0.1,13.0,29
2016-04-09,36.9,30.4,47.1,15.8,0.0,12.4,27
2016-04-10,35.4,27.1,47.3,15.8,0.0,11.7,25
2016-04-11,33.6,25.5,44.1,15.8,0.0,11.1,25
2016-04-12,34.3,25.0,46.2,15.8,0.1,11.2,25
2016-04-13,37.2,26.6,51.6,15.9,0.0,10.5,23
2016-04-14,36.9,29.5,50.2,15.9,0.0,10.1,21
2016-04-15,32.5,27.0,43.2,15.9,0.7,9.8,21
2016-04-16,25.7,19.9,30.7,16.6,0.2,10.2,29
2016-04-17,23.5,18.7,32.5,16.8,0.2,10.4,29
2016-04-18,26.1,19.0,37.4,17.0,0.2,10.7,30
2016-04-19,27.0,18.0,38.8,17.2,0.0,10.9,30
2016-04-20,31.1,19.0,42.6,17.2,0.1,11.0,30
2016-04-21,34.9,22.5,50.4,17.3,0.0,11.0,28
2016-04-22,40.5,26.2,57.0,17.3,0.1,10.8,25
2016-04-23,36.5,22.8,51.6,17.4,0.1,10.6,22
2016-04-24,33.4,26.1,44.2,17.5,0.0,10.7,24
2016-04-25,33.6,23.5,48.7,17.5,0.2,10.6,23
2016-04-26,28.4,21.4,38.8,17.7,0.1,9.7,23
2016-04-27,30.7,23.5,41.2,17.8,0.0,9.4,22
2016-04-28,32.4,27.1,45.3,17.8,0.4,9.0,20
2016-04-29,28.2,25.3,32.4,18.2,0.5,9.1,18
2016-04-30,28.6,22.5,37.4,18.7,0.1,9.9,29
2016-05-01,26.2,14.2,37.8,18.8,0.1,9.9,28
2016-05-02,32.2,20.8,45.1,18.9,0.0,10.0,25
2016-05-03,36.0,22.8,50.7,18.9,0.0,10.0,23
2016-05-04,40.6,27.3,56.8,18.9,0.0,9.6,21
2016-05-05,44.1,30.6,58.5,18.9,0.0,8.6,18
2016-05-06,42.6,34.5,55.6,18.9,0.1,7.5,16
2016-05-07,35.4,29.3,44.2,19.0,0.0,6.9,15
2016-05-08,32.9,27.9,43.3,19.0,0.3,6.9,14
2016-05-09,35.6,27.0,44.2,19.3,0.3,6.6,14
2016-05-10,34.2,22.8,43.9,19.6,0.4,6.6,16
2016-05-11,31.3,20.3,43.9,20.0,0.0,6.9,17
2016-05-12,36.3,20.7,50.9,20.0,0.0,6.7,14
2016-05-13,42.4,29.3,54.7,20.0,0.1,5.9,10
2016-05-14,44.6,31.5,58.5,20.1,0.0,4.8,9
2016-05-15,37.8,32.0,49.5,20.1,0.5,3.5,6
2016-05-16,36.9,29.5,47.5,20.6,0.2,3.8,7
2016-05-17,34.5,29.3,45.0,20.8,0.2,3.5,7
2016-05-18,36.5,26.1,50.0,21.0,0.1,3.5,7
2016-05-19,38.5,29.7,51.6,21.1,0.0,3.1,7
2016-05-20,42.8,31.6,55.9,21.1,0.0,2.2,3
2016-05-21,46.4,33.6,58.6,21.1,0.0,1.2,2
2016-05-22,42.3,30.6,54.9,21.1,0.0,0.0,0
2016-05-23,38.5,28.4,52.0,21.1,0.0,0.0,0
2016-05-24,40.8,28.0,55.2,21.1,0.0,0.0,0
2016-05-25,39.9,29.7,51.6,21.1,0.0,0.0,0
2016-05-26,36.3,27.9,48.7,21.1,0.2,0.0,0
2016-05-27,34.7,27.3,44.4,21.3,0.2,0.0,0
2016-05-28,38.1,25.5,52.3,21.5,0.0,0.0,0
2016-05-29,40.5,30.6,55.6,21.5,0.0,0.0,0
2016-05-30,40.1,31.5,56.3,21.5,0.0,0.0,0
2016-05-31,42.4,30.4,58.3,21.5,0.0,0.0,0
2016-06-01,44.8,32.2,60.1,21.5,0.1,0.0,0
2016-06-02,46.8,33.4,61.3,21.6,0.0,0.0,0
2016-06-03,48.4,37.6,61.7,21.6,0.0,0.0,0
2016-06-04,50.0,36.7,66.2,21.6,0.0,0.0,0
2016-06-05,50.9,37.9,66.6,21.6,0.0,0.0,0
2016-06-06,49.3,37.4,69.3,21.6,0.0,0.0,0
2016-06-07,50.0,36.3,67.3,21.6,0.0,0.0,0
2016-06-08,49.3,37.4,65.5,21.6,0.0,0.0,0
2016-06-09,50.9,38.3,67.1,21.6,0.0,0.0,0
2016-06-10,53.6,39.7,71.2,21.6,0.0,0.0,0
2016-06-11,50.5,39.4,70.0,21.6,0.1,0.0,0
2016-06-12,46.4,36.7,66.4,21.7,0.1,0.0,0
2016-06-13,43.9,34.0,59.5,21.8,0.1,0.0,0
2016-06-14,45.1,,57.7,21.9,0.0,0.0,0
2016-06-15,50.2,34.5,66.9,21.9,0.0,0.0,0
2016-06-16,50.0,35.8,67.1,21.9,0.0,0.0,0
2016-06-17,53.1,36.5,70.0,21.9,0.0,0.0,0
2016-06-18,55.0,37.2,72.9,21.9,0.0,0.0,0
2016-06-19,57.4,41.4,73.4,21.9,0.0,0.0,0
2016-06-20,60.8,46.0,77.5,21.9,0.1,0.0,0
2016-06-21,57.7,46.0,75.4,22.0,0.1,0.0,0
2016-06-22,52.3,42.8,68.9,22.1,0.0,0.0,0
2016-06-23,52.5,42.1,69.8,22.1,0.0,0.0,0
2016-06-24,52.5,40.3,70.7,22.1,0.0,0.0,0
2016-06-25,54.5,42.4,71.2,22.1,0.0,0.0,0
2016-06-26,54.7,40.1,71.2,22.1,0.0,0.0,0
2016-06-27,55.4,39.7,71.2,22.1,0.0,0.0,0
2016-06-28,56.7,43.7,72.7,22.1,0.0,0.0,0
2016-06-29,53.1,43.0,71.8,22.1,0.0,0.0,0
2016-06-30,50.4,41.2,60.3,22.1,0.1,0.0,0
2016-07-01,48.2,46.0,53.8,22.2,0.3,0.0,0
2016-07-02,48.0,43.0,57.0,22.5,0.2,0.0,0
2016-07-03,48.2,38.8,60.1,22.7,0.1,0.0,0
2016-07-04,48.7,36.1,63.0,22.8,0.0,0.0,0
2016-07-05,52.7,40.5,66.9,22.8,0.0,0.0,0
2016-07-06,53.6,41.4,68.5,22.8,0.0,0.0,0
2016-07-07,53.8,41.7,67.5,22.8,0.0,0.0,0
2016-07-08,55.6,41.4,70.5,22.8,0.0,0.0,0
2016-07-09,56.1,42.1,70.9,22.8,0.0,0.0,0
2016-07-10,57.6,43.5,70.7,22.8,0.0,0.0,0
2016-07-11,52.3,39.7,64.9,22.8,0.0,0.0,0
2016-07-12,52.5,37.4,67.5,22.8,0.0,0.0,0
2016-07-13,54.5,39.9,70.2,22.8,0.0,0.0,0
2016-07-14,54.3,39.9,70.9,22.8,0.0,0.0,0
2016-07-15,54.9,40.8,72.0,22.8,0.0,0.0,0
2016-07-16,56.5,41.5,71.8,22.8,0.0,0.0,0
2016-07-17,56.8,42.8,72.0,22.8,0.0,0.0,0
2016-07-18,55.4,46.2,70.9,22.8,0.0,0.0,0
2016-07-19,52.7,42.8,68.4,22.8,0.3,0.0,0
2016-07-20,52.3,42.1,69.3,23.1,0.1,0.0,0
2016-07-21,52.5,43.0,68.2,23.2,0.0,0.0,0
2016-07-22,50.4,43.2,67.6,23.2,0.4,0.0,0
2016-07-23,54.3,41.5,70.2,23.6,0.1,0.0,0
2016-07-24,55.4,41.7,72.5,23.7,0.0,0.0,0
2016-07-25,50.4,43.2,69.3,23.7,0.4,0.0,0
2016-07-26,52.2,43.0,63.5,24.1,0.1,0.0,0
2016-07-27,55.0,40.6,71.4,24.2,0.0,0.0,0
2016-07-28,56.5,43.5,72.7,24.2,0.0,0.0,0
2016-07-29,56.8,43.9,70.5,24.2,0.0,0.0,0
2016-07-30,55.6,44.1,69.1,24.2,0.0,0.0,0
2016-07-31,53.2,44.1,69.1,24.2,0.1,0.0,0
2016-08-01,54.9,40.8,69.4,24.3,0.0,0.0,0
2016-08-02,54.7,45.1,70.2,24.3,0.0,0.0,0
2016-08-03,55.9,44.4,71.2,24.3,0.1,0.0,0
2016-08-04,49.6,45.7,54.9,24.4,1.1,0.0,0
2016-08-05,48.9,45.5,55.6,25.5,0.5,0.0,0
2016-08-06,50.0,42.6,59.2,26.0,0.1,0.0,0
2016-08-07,51.8,40.1,66.6,26.1,0.0,0.0,0
2016-08-08,50.0,41.7,62.1,26.1,0.1,0.0,0
2016-08-09,49.8,40.8,68.0,26.2,0.0,0.0,0
2016-08-10,49.5,39.9,65.3,26.2,0.1,0.0,0
2016-08-11,50.4,39.9,65.1,26.3,0.1,0.0,0
2016-08-12,48.7,37.4,63.1,26.4,0.0,0.0,0
2016-08-13,48.0,36.1,64.4,26.4,0.0,0.0,0
2016-08-14,50.5,37.0,65.8,26.4,0.0,0.0,0
2016-08-15,51.1,38.8,67.1,26.4,0.0,0.0,0
2016-08-16,47.7,40.1,63.1,26.4,0.0,0.0,0
2016-08-17,48.0,38.1,63.9,26.4,0.0,0.0,0
2016-08-18,46.8,38.1,59.7,26.4,0.1,0.0,0
2016-08-19,47.1,36.0,62.2,26.5,0.0,0.0,0
2016-08-20,48.7,36.3,64.8,26.5,0.0,0.0,0
2016-08-21,51.1,37.4,66.7,26.5,0.0,0.0,0
2016-08-22,46.2,37.4,63.7,26.5,0.3,0.0,0
2016-08-23,43.2,35.6,59.7,26.8,0.6,0.0,0
2016-08-24,44.4,36.1,58.5,27.4,0.0,0.0,0
2016-08-25,42.4,33.4,59.0,27.4,0.2,0.0,0
2016-08-26,42.6,36.1,55.9,27.6,0.0,0.0,0
2016-08-27,42.6,32.7,55.0,27.6,0.1,0.0,0
2016-08-28,43.2,36.5,56.3,27.7,0.1,0.0,0
2016-08-29,42.8,36.1,59.0,27.8,0.1,0.0,0
2016-08-30,45.0,34.5,61.0,27.9,0.0,0.0,0
2016-08-31,49.6,37.2,65.3,27.9,0.1,0.0,0
2016-09-01,49.3,40.5,65.1,28.0,0.1,0.0,0
2016-09-02,47.3,39.6,60.3,28.1,0.3,0.0,0
2016-09-03,46.4,38.1,60.8,28.4,0.2,0.0,0
2016-09-04,46.0,36.7,58.1,28.6,0.1,0.0,0
2016-09-05,48.0,34.7,63.7,28.7,0.0,0.0,0
2016-09-06,48.0,37.2,62.6,28.7,0.0,0.0,0
2016-09-07,48.6,37.6,69.3,28.7,0.0,0.0,0
2016-09-08,49.1,34.7,65.8,28.7,0.0,0.0,0
2016-09-09,47.3,34.9,63.0,28.7,0.0,0.0,0
2016-09-10,48.2,32.7,65.1,28.7,0.0,0.0,0
2016-09-11,49.1,37.2,63.9,28.7,0.1,0.0,0
2016-09-12,45.3,35.6,60.4,28.8,0.0,0.0,0
2016-09-13,42.8,36.3,54.3,28.8,0.1,0.0,0
2016-09-14,43.5,35.6,57.9,28.9,0.1,0.0,0
2016-09-15,40.5,30.9,54.5,29.0,0.0,0.0,0
2016-09-16,41.0,29.3,56.8,29.0,0.0,0.0,0
2016-09-17,42.1,30.6,57.7,29.0,0.0,0.0,0
2016-09-18,46.4,31.5,64.9,29.0,0.0,0.0,0
2016-09-19,50.0,35.6,67.8,29.0,0.0,0.0,0
2016-09-20,48.2,40.3,60.4,29.0,0.1,0.0,0
2016-09-21,43.3,40.1,50.5,29.1,0.1,0.0,0
2016-09-22,49.1,41.0,60.3,29.2,0.0,0.0,0
2016-09-23,36.3,24.8,48.4,29.2,0.2,0.0,0
2016-09-24,32.5,24.6,40.8,29.4,0.1,0.0,0
2016-09-25,38.5,26.2,54.3,29.5,0.0,0.0,0
2016-09-26,43.3,30.0,62.2,29.5,0.0,0.0,0
2016-09-27,46.2,33.4,64.2,29.5,0.0,0.0,0
2016-09-28,47.8,36.1,64.9,29.5,0.0,0.0,0
2016-09-29,46.9,37.0,60.1,29.5,0.0,0.0,0
2016-09-30,42.6,34.9,51.3,29.5,0.1,0.0,0
