Date,Molas Lake (632) Air Temperature Average (degF),Molas Lake (632) Air Temperature Minimum (degF),Molas Lake (632) Air Temperature Maximum (degF),Molas Lake (632) Precipitation Accumulation (in) Start of Day Values,Molas Lake (632) Precipitation Increment (in),Molas Lake (632) Snow Water Equivalent (in) Start of Day Values,Molas Lake (632) Snow Depth (in) Start of Day Values
2016-03-25,22.6,16.7,33.4,18.7,0.2,14.5,39
2016-03-26,16.0,0.7,30.4,18.9,0.2,14.6,39
2016-03-27,21.0,-2.7,41.2,19.1,0.1,14.6,39
2016-03-28,30.6,20.8,39.4,19.2,0.1,14.7,40
2016-03-29,21.2,9.0,30.4,19.3,0.6,14.7,40
2016-03-30,12.9,1.0,27.7,19.9,0.1,14.7,40
2016-03-31,16.7,3.2,32.2,20.0,0.0,14.7,40
2016-04-01,18.7,0.7,37.2,20.0,0.0,14.6,39
2016-04-02,25.5,6.4,44.4,20.0,0.0,14.4,36
2016-04-03,31.5,18.0,48.6,20.0,0.0,14.2,35
2016-04-04,34.3,19.0,51.1,20.0,0.0,14.0,34
2016-04-05,30.7,16.7,44.2,20.0,0.0,13.7,33
2016-04-06,34.2,16.3,50.7,20.0,0.0,13.5,31
2016-04-07,38.1,20.3,56.8,20.0,0.1,13.4,31
2016-04-08,35.6,26.4,47.7,20.1,0.2,13.3,30
2016-04-09,33.1,28.8,42.3,20.3,0.1,13.2,30
2016-04-10,34.0,23.4,47.7,20.4,0.0,13.1,30
2016-04-11,31.8,21.4,46.6,20.4,0.0,12.9,28
2016-04-12,32.0,23.7,46.8,20.4,0.2,12.6,28
2016-04-13,34.3,20.7,50.0,20.6,0.1,12.4,25
2016-04-14,38.1,30.6,45.5,20.7,0.0,11.6,23
2016-04-15,28.2,16.2,35.6,20.7,0.5,11.1,22
2016-04-16,25.0,14.5,35.6,21.2,0.3,11.6,27
2016-04-17,19.8,8.1,35.2,21.5,0.1,11.9,27
2016-04-18,20.1,9.7,33.1,21.6,0.3,12.0,29
2016-04-19,23.7,6.3,39.0,21.9,0.1,12.2,32
2016-04-20,32.4,23.2,45.7,22.0,0.0,12.2,32
2016-04-21,36.1,19.8,54.1,22.0,0.0,12.2,32
2016-04-22,40.6,25.5,54.0,22.0,0.0,12.0,30
2016-04-23,35.2,23.5,45.0,22.0,0.0,11.9,28
2016-04-24,34.0,21.4,48.0,22.0,0.1,11.3,27
2016-04-25,29.5,18.9,38.1,22.1,0.2,10.4,25
2016-04-26,23.4,17.6,30.2,22.3,0.2,10.1,25
2016-04-27,29.1,16.5,42.4,22.5,0.0,10.2,25
2016-04-28,30.0,22.6,42.3,22.5,0.4,10.3,24
2016-04-29,26.8,16.9,39.9,22.9,0.0,10.5,28
2016-04-30,29.8,19.8,42.8,22.9,0.1,10.4,26
2016-05-01,27.3,21.4,35.6,23.0,0.2,10.7,26
2016-05-02,31.3,21.7,47.7,23.2,0.0,10.7,27
2016-05-03,35.8,19.2,52.9,23.2,0.0,10.6,25
2016-05-04,39.4,24.6,55.2,23.2,0.0,9.8,22
2016-05-05,43.5,26.4,58.5,23.2,0.0,8.7,19
2016-05-06,42.8,31.3,54.0,23.2,0.1,7.8,16
2016-05-07,30.7,23.2,38.8,23.3,0.0,6.7,15
2016-05-08,28.2,21.2,37.9,23.3,0.5,6.1,13
2016-05-09,36.7,27.7,47.3,23.8,0.5,6.6,17
2016-05-10,35.2,28.8,47.1,24.3,0.3,7.0,15
2016-05-11,30.9,20.8,43.5,24.6,0.0,6.9,16
2016-05-12,36.7,17.2,55.9,24.6,0.0,6.8,16
2016-05-13,42.1,25.2,58.8,24.6,0.0,6.0,13
2016-05-14,44.4,28.8,58.6,24.6,0.0,4.4,10
2016-05-15,40.6,32.9,51.4,24.6,0.2,3.1,7
2016-05-16,32.9,25.7,45.5,24.8,0.5,2.1,5
2016-05-17,32.5,23.4,47.7,25.3,0.1,2.5,5
2016-05-18,34.0,27.7,47.7,25.4,0.2,2.5,5
2016-05-19,37.2,29.8,51.4,25.6,0.0,2.4,5
2016-05-20,43.5,31.6,53.1,25.6,0.0,1.9,4
2016-05-21,46.2,36.9,54.7,25.6,0.0,1.0,3
2016-05-22,40.5,28.4,52.2,25.6,0.0,0.0,0
2016-05-23,39.9,27.7,51.1,25.6,0.0,0.0,0
2016-05-24,40.3,28.2,52.9,25.6,0.0,0.0,0
2016-05-25,39.6,27.9,51.8,25.6,0.0,0.0,0
2016-05-26,33.8,28.0,45.3,25.6,0.1,0.0,0
2016-05-27,34.3,26.2,46.8,25.7,0.0,0.0,0
2016-05-28,37.2,24.8,54.0,25.7,0.0,0.0,0
2016-05-29,41.4,29.1,55.9,25.7,0.0,0.0,0
2016-05-30,41.2,28.8,58.8,25.7,0.0,0.0,0
2016-05-31,43.0,27.3,58.8,25.7,0.0,0.0,0
2016-06-01,44.8,30.0,59.0,25.7,0.0,0.0,0
2016-06-02,47.3,32.4,63.5,25.7,0.0,0.0,0
2016-06-03,48.2,34.7,63.9,25.7,0.0,0.0,0
2016-06-04,52.0,36.1,68.4,25.7,0.0,0.0,0
2016-06-05,53.4,38.3,69.4,25.7,0.0,0.0,0
2016-06-06,48.2,38.5,67.3,25.7,0.0,0.0,0
2016-06-07,51.6,36.9,67.1,25.7,0.0,0.0,0
2016-06-08,48.6,36.3,62.2,25.7,0.0,0.0,0
2016-06-09,52.2,36.5,70.0,25.7,0.0,0.0,0
2016-06-10,55.4,37.4,72.7,25.7,0.0,0.0,0
2016-06-11,51.4,38.1,65.3,25.7,0.0,0.0,0
2016-06-12,49.5,35.6,64.0,25.7,0.0,0.0,0
2016-06-13,43.2,31.3,60.6,25.7,0.0,0.0,0
2016-06-14,45.7,30.2,60.8,25.7,0.0,0.0,0
2016-06-15,52.7,36.3,64.4,25.7,0.0,0.0,0
2016-06-16,49.8,36.1,64.0,25.7,0.0,0.0,0
2016-06-17,51.6,33.3,69.1,25.7,0.0,0.0,0
2016-06-18,55.6,32.4,74.1,25.7,0.0,0.0,0
2016-06-19,58.8,39.0,76.3,25.7,0.0,0.0,0
2016-06-20,60.8,42.4,79.5,25.7,0.0,0.0,0
2016-06-21,57.0,44.6,76.6,25.7,0.0,0.0,0
2016-06-22,54.0,41.9,71.6,25.7,0.0,0.0,0
2016-06-23,55.9,44.8,70.0,25.7,0.0,0.0,0
2016-06-24,53.6,41.7,69.4,25.7,0.1,0.0,0
2016-06-25,53.2,41.7,68.0,25.8,0.0,0.0,0
2016-06-26,55.6,39.0,73.2,25.8,0.0,0.0,0
2016-06-27,57.9,38.1,74.7,25.8,0.0,0.0,0
2016-06-28,51.4,40.5,67.3,25.8,0.0,0.0,0
2016-06-29,50.7,38.1,65.3,25.8,0.1,0.0,0
2016-06-30,48.4,40.3,61.9,25.9,0.0,0.0,0
2016-07-01,46.4,44.4,49.6,25.9,0.6,0.0,0
2016-07-02,46.6,41.7,54.0,26.5,0.3,0.0,0
2016-07-03,49.5,38.1,62.8,26.8,0.0,0.0,0
2016-07-04,46.0,36.0,62.8,26.8,0.2,0.0,0
2016-07-05,53.2,38.7,66.4,27.0,0.0,0.0,0
2016-07-06,53.8,41.4,66.6,27.0,0.0,0.0,0
2016-07-07,54.3,40.3,67.1,27.0,0.0,0.0,0
2016-07-08,54.1,37.2,69.6,27.0,0.0,0.0,0
2016-07-09,55.9,39.6,70.7,27.0,0.0,0.0,0
2016-07-10,57.0,44.2,69.1,27.0,0.0,0.0,0
2016-07-11,52.5,39.0,66.4,27.0,0.0,0.0,0
2016-07-12,53.4,38.1,67.8,27.0,0.0,0.0,0
2016-07-13,51.3,,70.3,27.0,0.0,0.0,0
2016-07-14,55.0,36.7,71.1,27.0,0.0,0.0,0
2016-07-15,55.0,38.1,70.5,27.0,0.0,0.0,0
2016-07-16,56.1,41.4,70.3,27.0,0.0,0.0,0
2016-07-17,56.8,41.9,73.0,27.0,0.0,0.0,0
2016-07-18,56.8,45.9,71.2,27.0,0.2,0.0,0
2016-07-19,51.1,42.3,64.2,27.2,0.3,0.0,0
2016-07-20,52.5,40.3,67.1,27.5,0.2,0.0,0
2016-07-21,54.0,40.8,69.6,27.7,0.0,0.0,0
2016-07-22,53.2,41.9,65.3,27.7,0.1,0.0,0
2016-07-23,55.2,40.1,72.5,27.8,0.0,0.0,0
2016-07-24,50.0,41.7,71.2,27.8,0.3,0.0,0
2016-07-25,54.1,39.6,70.0,28.1,0.0,0.0,0
2016-07-26,54.3,43.5,68.0,28.1,0.0,0.0,0
2016-07-27,56.1,39.2,73.4,28.1,0.0,0.0,0
2016-07-28,57.6,42.6,76.8,28.1,0.0,0.0,0
2016-07-29,57.9,42.4,73.6,28.1,0.0,0.0,0
2016-07-30,52.7,44.4,70.0,28.1,0.1,0.0,0
2016-07-31,54.0,45.5,65.8,28.2,0.0,0.0,0
2016-08-01,53.8,45.7,72.9,28.2,0.5,0.0,0
2016-08-02,53.4,43.2,71.2,28.7,0.1,0.0,0
2016-08-03,52.0,42.4,66.2,28.8,0.2,0.0,0
2016-08-04,50.7,45.5,58.5,29.0,0.1,0.0,0
2016-08-05,48.9,46.0,54.1,29.1,1.4,0.0,0
2016-08-06,48.4,41.4,61.5,30.5,0.3,0.0,0
2016-08-07,50.4,,66.6,30.8,0.1,0.0,0
2016-08-08,48.6,40.5,63.5,30.9,0.1,0.0,0
2016-08-09,51.4,39.4,64.4,31.0,0.0,0.0,0
2016-08-10,51.3,41.0,63.9,31.0,0.0,0.0,0
2016-08-11,50.9,39.2,64.2,31.0,0.0,0.0,0
2016-08-12,49.8,36.0,64.2,31.0,0.0,0.0,0
2016-08-13,49.8,35.8,66.4,31.0,0.0,0.0,0
2016-08-14,49.5,34.3,65.7,31.0,0.1,0.0,0
2016-08-15,49.5,35.1,69.8,31.1,0.0,0.0,0
2016-08-16,47.7,39.0,63.3,31.1,0.0,0.0,0
2016-08-17,46.0,37.0,62.8,31.1,0.0,0.0,0
2016-08-18,44.2,35.6,60.4,31.1,0.0,0.0,0
2016-08-19,46.6,33.8,61.7,31.1,0.0,0.0,0
2016-08-20,49.8,35.6,65.7,31.1,0.0,0.0,0
2016-08-21,48.4,35.6,65.8,31.1,0.0,0.0,0
2016-08-22,44.2,36.5,55.6,31.1,0.1,0.0,0
2016-08-23,40.3,34.9,53.6,31.2,0.7,0.0,0
2016-08-24,44.2,35.1,58.8,31.9,0.0,0.0,0
2016-08-25,42.3,32.2,57.0,31.9,0.1,0.0,0
2016-08-26,41.7,34.2,54.0,32.0,0.3,0.0,0
2016-08-27,41.9,33.3,54.7,32.3,0.1,0.0,0
2016-08-28,42.1,32.4,60.4,32.4,0.1,0.0,0
2016-08-29,43.2,34.0,58.8,32.5,0.2,0.0,0
2016-08-30,45.7,34.0,60.6,32.7,0.0,0.0,0
2016-08-31,49.1,36.3,62.2,32.7,0.0,0.0,0
2016-09-01,50.0,40.5,63.3,32.7,0.3,0.0,0
2016-09-02,49.8,43.7,60.8,33.0,0.1,0.0,0
2016-09-03,47.8,41.7,58.3,33.1,0.1,0.0,0
2016-09-04,49.8,43.2,59.9,33.2,0.0,0.0,0
2016-09-05,51.3,41.0,61.5,33.2,0.0,0.0,0
2016-09-06,47.3,39.4,59.7,33.2,0.1,0.0,0
2016-09-07,48.2,36.3,62.1,33.3,0.0,0.0,0
2016-09-08,48.6,30.9,66.9,33.3,0.0,0.0,0
2016-09-09,49.3,35.8,64.4,33.3,0.0,0.0,0
2016-09-10,47.5,33.4,64.2,33.3,0.0,0.0,0
2016-09-11,47.8,37.8,61.5,33.3,0.1,0.0,0
2016-09-12,43.0,34.9,58.5,33.4,0.1,0.0,0
2016-09-13,41.0,33.1,53.2,33.5,0.1,0.0,0
2016-09-14,42.8,35.6,54.1,33.6,0.0,0.0,0
2016-09-15,41.0,27.9,55.9,33.6,0.0,0.0,0
2016-09-16,40.5,26.2,58.3,33.6,0.0,0.0,0
2016-09-17,41.9,28.8,59.4,33.6,0.1,0.0,0
2016-09-18,45.9,29.3,66.2,33.7,0.0,0.0,0
2016-09-19,50.0,32.7,70.0,33.7,0.0,0.0,0
2016-09-20,45.0,39.0,60.6,33.7,0.0,0.0,0
2016-09-21,45.3,41.9,49.8,33.7,0.5,0.0,0
2016-09-22,48.6,43.9,56.7,34.2,0.4,0.0,0
2016-09-23,31.8,18.7,47.5,34.6,1.0,0.0,0
2016-09-24,30.6,24.1,41.7,35.6,0.0,0.4,3
2016-09-25,37.9,22.5,56.8,35.6,0.0,0.3,2
2016-09-26,42.6,29.1,62.2,35.6,0.1,0.0,0
2016-09-27,44.8,30.6,61.7,35.7,0.0,0.0,0
2016-09-28,48.0,31.8,63.0,35.7,0.1,0.0,0
2016-09-29,42.8,39.9,49.8,35.8,0.0,0.0,0
2016-09-30,42.4,32.5,55.0,35.8,0.0,0.0,0
