Date,Lily Pond (580) Air Temperature Average (degF),Lily Pond (580) Air Temperature Minimum (degF),Lily Pond (580) Air Temperature Maximum (degF),Lily Pond (580) Precipitation Accumulation (in) Start of Day Values,Lily Pond (580) Precipitation Increment (in),Lily Pond (580) Snow Water Equivalent (in) Start of Day Values,Lily Pond (580) Snow Depth (in) Start of Day Values
2015-11-27,26.4,22.8,31.5,5.7,0.3,3.4,14
2015-11-28,22.3,16.7,29.7,6.0,0.1,3.7,16
2015-11-29,19.0,12.0,24.1,6.1,0.3,3.8,16
2015-11-30,10.6,4.1,19.9,6.4,0.0,4.0,17
2015-12-01,16.7,4.3,28.6,6.4,0.1,4.1,17
2015-12-02,24.6,14.2,40.5,6.5,0.1,4.1,17
2015-12-03,28.9,20.8,43.9,6.6,0.0,4.1,16
2015-12-04,30.7,22.6,42.4,6.6,0.1,4.1,16
2015-12-05,23.5,12.4,34.7,6.7,0.0,4.1,15
2015-12-06,32.7,20.3,47.7,6.7,0.1,4.1,15
2015-12-07,34.3,26.4,47.7,6.8,0.0,4.1,15
2015-12-08,36.1,28.8,48.4,6.8,0.0,4.1,15
2015-12-09,38.8,29.8,48.4,6.8,0.1,4.1,15
2015-12-10,35.2,27.9,44.8,6.9,0.0,4.1,14
2015-12-11,28.9,25.2,33.1,6.9,0.4,4.1,14
2015-12-12,26.2,22.3,31.1,7.3,0.6,4.6,20
2015-12-13,24.3,16.5,35.8,7.9,0.1,5.2,23
2015-12-14,19.0,7.5,23.7,8.0,0.5,5.2,23
2015-12-15,8.2,1.9,18.0,8.5,0.0,5.7,27
2015-12-16,8.8,0.5,26.1,8.5,0.1,5.8,26
2015-12-17,10.2,-1.8,21.2,8.6,0.1,5.8,24
2015-12-18,27.1,17.6,43.0,8.7,0.1,5.8,23
2015-12-19,30.7,24.4,39.9,8.8,0.1,5.8,23
2015-12-20,21.0,12.4,28.4,8.9,0.3,5.8,22
2015-12-21,20.1,14.9,27.5,9.2,0.1,6.2,25
2015-12-22,21.7,19.2,26.8,9.3,0.1,6.2,24
2015-12-23,16.5,-0.4,21.7,9.4,0.2,6.3,24
2015-12-24,11.7,-2.9,21.4,9.6,0.4,6.5,27
2015-12-25,14.0,-2.2,21.6,10.0,0.9,6.8,27
2015-12-26,4.5,-6.9,15.6,10.9,0.1,8.0,33
2015-12-27,16.2,3.0,31.3,11.0,0.1,8.0,33
2015-12-28,16.7,7.3,31.6,11.1,0.0,8.0,32
2015-12-29,11.8,2.8,26.6,11.1,0.0,8.0,31
2015-12-30,8.8,0.9,18.0,11.1,0.0,8.0,29
2015-12-31,9.3,1.0,24.3,11.1,0.1,8.0,29
2016-01-01,13.5,1.2,30.2,11.2,0.1,8.1,30
2016-01-02,22.3,8.4,36.3,11.3,0.0,8.1,29
2016-01-03,26.4,19.4,39.4,11.3,0.1,8.1,29
2016-01-04,25.3,18.3,36.5,11.4,0.0,8.1,28
2016-01-05,22.8,16.2,36.1,11.4,0.0,8.1,27
2016-01-06,21.6,15.1,30.7,11.4,0.1,8.2,29
2016-01-07,17.8,10.8,26.2,11.5,0.0,8.2,29
2016-01-08,14.7,7.2,23.4,11.5,0.3,8.2,28
2016-01-09,11.7,-0.8,27.3,11.8,0.0,8.5,30
2016-01-10,9.3,-1.3,25.7,11.8,0.1,8.5,32
2016-01-11,18.5,6.1,31.5,11.9,0.0,8.5,32
2016-01-12,25.2,15.3,40.8,11.9,0.1,8.5,30
2016-01-13,27.9,19.2,42.8,12.0,0.0,8.5,30
2016-01-14,19.4,8.2,28.4,12.0,0.0,8.5,29
2016-01-15,15.4,4.8,24.3,12.0,0.0,8.6,30
2016-01-16,16.9,3.9,29.8,12.0,0.0,8.6,30
2016-01-17,20.7,12.9,32.5,12.0,0.0,8.6,30
2016-01-18,26.1,18.7,41.0,12.0,0.1,8.6,30
2016-01-19,22.6,15.3,36.3,12.1,0.1,8.6,29
2016-01-20,19.2,8.2,31.1,12.2,0.0,8.6,28
2016-01-21,21.0,7.0,34.3,12.2,0.1,8.7,31
2016-01-22,31.8,23.2,48.6,12.3,0.0,8.7,31
2016-01-23,31.6,23.5,46.4,12.3,0.0,8.7,30
2016-01-24,20.8,11.5,29.3,12.3,0.0,8.7,30
2016-01-25,11.7,5.2,24.4,12.3,0.0,8.8,29
2016-01-26,16.7,3.2,31.5,12.3,0.1,8.8,30
2016-01-27,30.9,20.1,46.6,12.4,0.1,8.8,30
2016-01-28,32.7,24.6,46.9,12.5,0.0,8.8,30
2016-01-29,34.0,27.1,44.4,12.5,0.0,8.8,30
2016-01-30,31.3,25.9,39.9,12.5,0.1,8.8,29
2016-01-31,26.1,24.8,28.9,12.6,1.1,8.9,30
2016-02-01,15.6,4.5,25.2,13.7,0.8,9.9,36
2016-02-02,7.5,-3.1,17.8,14.5,0.2,10.7,44
2016-02-03,1.0,-7.1,17.6,14.7,0.0,11.0,45
2016-02-04,10.6,-4.9,30.6,14.7,0.1,11.1,43
2016-02-05,12.9,3.7,24.8,14.8,0.1,11.1,42
2016-02-06,26.2,12.4,42.1,14.9,0.1,11.1,41
2016-02-07,29.8,20.3,42.4,15.0,0.0,11.1,40
2016-02-08,32.4,24.4,43.9,15.0,0.0,11.1,39
2016-02-09,33.8,25.3,47.8,15.0,0.0,11.1,39
2016-02-10,35.2,25.5,50.7,15.0,0.0,11.1,38
2016-02-11,35.4,24.3,50.0,15.0,0.0,11.1,37
2016-02-12,37.4,28.8,53.1,15.0,0.1,11.1,37
2016-02-13,35.6,27.5,48.2,15.1,0.0,11.2,36
2016-02-14,31.1,21.0,44.8,15.1,0.0,11.2,36
2016-02-15,32.5,20.5,45.1,15.1,0.0,11.2,36
2016-02-16,36.0,24.3,48.9,15.1,0.0,11.2,35
2016-02-17,37.9,29.1,50.9,15.1,0.0,11.1,34
2016-02-18,34.9,30.6,43.2,15.1,0.0,11.1,34
2016-02-19,33.4,27.9,44.4,15.1,0.0,11.0,34
2016-02-20,34.2,22.8,46.0,15.1,0.0,10.9,34
2016-02-21,31.8,23.2,45.9,15.1,0.0,10.9,34
2016-02-22,25.3,18.3,38.3,15.1,0.1,10.9,33
2016-02-23,16.3,7.0,24.4,15.2,0.1,11.0,39
2016-02-24,21.9,5.2,39.0,15.3,0.2,11.3,41
2016-02-25,30.2,18.5,44.1,15.5,0.1,11.4,39
2016-02-26,33.1,21.7,49.8,15.6,0.0,11.5,37
2016-02-27,34.7,23.9,48.4,15.6,0.0,11.6,36
2016-02-28,35.4,27.7,49.3,15.6,0.0,11.6,34
2016-02-29,34.2,25.7,45.5,15.6,0.0,11.6,34
2016-03-01,34.7,27.9,46.4,15.6,0.0,11.6,34
2016-03-02,35.2,28.9,44.2,15.6,0.0,10.9,33
2016-03-03,35.8,26.2,51.6,15.6,0.0,10.7,32
2016-03-04,36.5,28.0,49.3,15.6,0.0,10.7,32
2016-03-05,35.1,26.2,45.3,15.6,0.0,10.7,30
2016-03-06,31.8,26.8,41.5,15.6,0.0,10.7,30
2016-03-07,22.1,13.3,32.2,15.6,0.0,10.7,30
2016-03-08,23.4,11.7,41.0,15.6,0.1,11.1,32
2016-03-09,26.1,13.5,42.4,15.7,0.0,11.4,32
2016-03-10,34.7,17.6,52.2,15.7,0.1,11.4,30
2016-03-11,39.0,27.3,54.5,15.8,0.0,11.3,29
2016-03-12,33.6,27.0,44.6,15.8,0.0,11.2,28
2016-03-13,32.5,21.2,45.5,15.8,0.0,11.1,28
2016-03-14,32.2,27.0,40.8,15.8,0.0,10.9,27
2016-03-15,26.8,20.3,36.3,15.8,0.0,10.4,26
2016-03-16,27.9,18.3,39.0,15.8,0.0,10.3,26
2016-03-17,30.6,18.3,41.0,15.8,0.0,10.3,26
2016-03-18,33.3,19.6,45.0,15.8,0.0,10.0,25
2016-03-19,31.3,21.4,44.1,15.8,0.0,9.8,24
2016-03-20,32.7,19.2,46.9,15.8,0.0,9.8,24
2016-03-21,38.5,27.3,48.2,15.8,0.0,9.5,22
2016-03-22,33.3,17.6,41.7,15.8,0.0,9.2,20
2016-03-23,21.7,15.3,32.9,15.8,0.0,9.4,21
2016-03-24,27.3,13.6,41.4,15.8,0.0,9.4,21
2016-03-25,26.1,16.5,37.9,15.8,0.0,9.4,20
2016-03-26,19.0,8.1,30.4,15.8,0.1,9.4,20
2016-03-27,24.4,4.8,39.7,15.9,0.3,10.0,26
2016-03-28,32.9,23.4,44.2,16.2,0.1,9.5,23
2016-03-29,25.7,10.4,33.1,16.3,0.4,8.6,21
2016-03-30,16.9,5.4,34.3,16.7,0.3,9.3,27
2016-03-31,20.8,9.5,36.0,17.0,0.3,9.5,27
2016-04-01,23.9,11.3,38.1,17.3,0.2,9.6,30
2016-04-02,29.7,15.8,44.2,17.5,0.1,9.7,27
2016-04-03,36.3,22.8,50.5,17.6,0.0,9.6,26
2016-04-04,39.9,28.8,53.4,17.6,0.0,9.6,24
2016-04-05,36.1,23.2,48.4,17.6,0.0,9.6,22
2016-04-06,37.9,22.8,53.4,17.6,0.0,9.6,22
2016-04-07,42.6,30.2,57.0,17.6,0.0,9.6,21
2016-04-08,36.9,31.5,46.6,17.6,0.0,9.4,19
2016-04-09,36.0,30.2,45.0,17.6,0.0,9.1,18
2016-04-10,37.2,29.1,47.1,17.6,0.0,9.0,17
2016-04-11,32.9,26.8,46.0,17.6,0.0,8.6,16
2016-04-12,33.8,26.4,44.8,17.6,0.0,8.6,16
2016-04-13,37.8,28.4,50.9,17.6,0.0,8.1,15
2016-04-14,39.7,30.9,49.6,17.6,0.0,7.8,14
2016-04-15,33.6,27.0,43.7,17.6,0.3,6.7,12
2016-04-16,24.8,16.7,31.1,17.9,1.5,6.9,17
2016-04-17,22.3,12.4,34.3,19.4,0.5,8.6,31
2016-04-18,26.4,16.7,40.1,19.9,0.3,9.4,36
2016-04-19,27.7,14.2,43.5,20.2,0.2,9.7,34
2016-04-20,32.9,21.7,47.1,20.4,0.1,9.7,31
2016-04-21,38.5,25.9,53.4,20.5,0.1,9.6,27
2016-04-22,43.3,31.3,55.8,20.6,0.0,9.3,24
2016-04-23,39.6,29.5,52.2,20.6,0.0,9.0,22
2016-04-24,36.3,24.4,49.3,20.6,0.0,8.8,20
2016-04-25,32.9,20.5,45.5,20.6,0.0,8.5,19
2016-04-26,26.2,18.1,36.1,20.6,0.0,8.5,19
2016-04-27,31.1,19.8,45.7,20.6,0.1,8.4,18
2016-04-28,31.3,24.8,40.1,20.7,0.2,8.2,17
2016-04-29,27.9,21.4,36.5,20.9,0.2,8.4,17
2016-04-30,30.7,19.4,44.1,21.1,0.2,8.6,20
2016-05-01,27.0,22.5,36.1,21.3,0.5,8.6,18
2016-05-02,32.0,20.8,45.9,21.8,0.1,8.9,23
2016-05-03,37.8,25.5,50.7,21.9,0.1,9.0,21
2016-05-04,42.3,31.1,57.7,22.0,0.0,8.9,19
2016-05-05,46.0,33.6,59.4,22.0,0.0,8.7,17
2016-05-06,46.9,37.2,57.0,22.0,0.0,8.0,15
2016-05-07,34.5,24.4,44.1,22.0,0.0,7.3,14
2016-05-08,31.6,24.6,42.1,22.0,0.0,7.5,15
2016-05-09,38.7,29.1,48.7,22.0,0.1,7.2,14
2016-05-10,39.0,32.9,50.0,22.1,0.1,6.4,13
2016-05-11,34.5,27.5,42.3,22.2,0.2,5.7,12
2016-05-12,40.1,25.9,53.2,22.4,0.1,6.1,12
2016-05-13,45.5,32.0,58.5,22.5,0.0,4.9,10
2016-05-14,47.1,37.0,58.8,22.5,0.0,3.4,8
2016-05-15,40.5,35.4,52.0,22.5,0.0,2.2,5
2016-05-16,35.4,30.7,47.5,22.5,0.1,1.3,3
2016-05-17,35.6,29.7,47.1,22.6,0.1,1.1,2
2016-05-18,34.2,30.6,39.4,22.7,0.3,0.7,1
2016-05-19,36.9,30.6,48.7,23.0,0.2,0.9,2
2016-05-20,43.0,32.2,52.7,23.2,0.1,0.6,1
2016-05-21,46.9,36.7,56.7,23.3,0.0,0.0,0
2016-05-22,43.2,35.4,52.0,23.3,0.0,0.0,0
2016-05-23,41.4,31.6,50.7,23.3,0.0,0.0,0
2016-05-24,43.3,33.8,53.1,23.3,0.1,0.0,0
2016-05-25,42.3,33.8,52.3,23.4,0.0,0.0,0
2016-05-26,36.0,30.0,51.3,23.4,0.0,0.0,0
2016-05-27,34.9,28.9,45.9,23.4,0.2,0.3,1
2016-05-28,41.0,28.8,54.0,23.6,0.1,0.0,0
2016-05-29,45.0,34.7,57.9,23.7,0.0,0.0,0
2016-05-30,46.9,37.4,59.0,23.7,0.0,0.0,0
2016-05-31,47.5,36.3,60.4,23.7,0.1,0.0,0
2016-06-01,44.4,35.1,57.4,23.8,0.0,0.0,0
2016-06-02,50.5,36.7,64.4,23.8,0.0,0.0,0
2016-06-03,53.2,42.6,66.0,23.8,0.1,0.0,0
2016-06-04,51.4,42.8,65.3,23.9,0.0,0.0,0
2016-06-05,50.9,42.4,68.2,23.9,0.0,0.0,0
2016-06-06,51.3,42.1,68.0,23.9,0.0,0.0,0
2016-06-07,54.0,41.2,66.4,23.9,0.0,0.0,0
2016-06-08,52.5,42.3,67.1,23.9,0.0,0.0,0
2016-06-09,54.0,43.5,70.3,23.9,0.0,0.0,0
2016-06-10,54.3,45.3,70.5,23.9,0.0,0.0,0
2016-06-11,54.3,44.1,67.8,23.9,0.1,0.0,0
2016-06-12,54.3,43.0,67.6,24.0,0.0,0.0,0
2016-06-13,47.8,36.3,63.3,24.0,0.0,0.0,0
2016-06-14,52.0,42.8,58.5,24.0,0.0,0.0,0
2016-06-15,53.1,39.0,65.7,24.0,0.0,0.0,0
2016-06-16,51.6,39.7,63.7,24.0,0.0,0.0,0
2016-06-17,55.8,44.1,70.2,24.0,0.0,0.0,0
2016-06-18,58.8,43.9,74.8,24.0,0.0,0.0,0
2016-06-19,62.6,46.6,77.2,24.0,0.0,0.0,0
2016-06-20,61.0,51.3,75.9,24.0,0.0,0.0,0
2016-06-21,57.9,48.9,75.6,24.0,0.0,0.0,0
2016-06-22,53.8,46.4,72.3,24.0,0.0,0.0,0
2016-06-23,57.0,46.4,72.3,24.0,0.0,0.0,0
2016-06-24,55.6,44.6,72.3,24.0,0.0,0.0,0
2016-06-25,54.9,48.7,69.1,24.0,0.0,0.0,0
2016-06-26,55.8,44.4,69.3,24.0,0.0,0.0,0
2016-06-27,56.7,46.6,68.5,24.0,0.0,0.0,0
2016-06-28,51.4,45.7,68.4,24.0,0.0,0.0,0
2016-06-29,49.8,42.4,66.4,24.0,0.0,0.0,0
2016-06-30,50.2,42.3,67.1,24.0,0.2,0.0,0
2016-07-01,47.7,44.1,60.1,24.2,0.0,0.0,0
2016-07-02,49.8,43.7,61.9,24.2,0.0,0.0,0
2016-07-03,48.2,42.3,63.0,24.2,0.0,0.0,0
2016-07-04,51.6,41.9,66.0,24.2,0.2,0.0,0
2016-07-05,55.6,44.6,67.1,24.4,0.2,0.0,0
2016-07-06,56.8,45.7,66.9,24.6,0.0,0.0,0
2016-07-07,56.7,44.8,67.6,24.6,0.0,0.0,0
2016-07-08,57.4,46.0,70.5,24.6,0.0,0.0,0
2016-07-09,58.8,48.2,71.6,24.6,0.0,0.0,0
2016-07-10,58.8,49.6,67.8,24.6,0.0,0.0,0
2016-07-11,56.1,47.3,66.2,24.6,0.0,0.0,0
2016-07-12,56.3,44.2,68.4,24.6,0.0,0.0,0
2016-07-13,57.6,46.2,70.9,24.6,0.0,0.0,0
2016-07-14,58.5,46.9,71.4,24.6,0.0,0.0,0
2016-07-15,58.3,47.3,72.3,24.6,0.0,0.0,0
2016-07-16,59.4,49.8,70.9,24.6,0.0,0.0,0
2016-07-17,59.4,48.2,71.8,24.6,0.1,0.0,0
2016-07-18,57.9,47.1,72.5,24.7,0.0,0.0,0
2016-07-19,57.0,47.3,71.4,24.7,0.0,0.0,0
2016-07-20,56.7,46.6,70.7,24.7,0.0,0.0,0
2016-07-21,59.4,47.5,73.0,24.7,0.0,0.0,0
2016-07-22,58.6,47.1,73.0,24.7,0.0,0.0,0
2016-07-23,58.1,48.6,73.2,24.7,0.0,0.0,0
2016-07-24,57.4,48.7,70.3,24.7,0.0,0.0,0
2016-07-25,57.9,46.6,70.2,24.7,0.0,0.0,0
2016-07-26,51.4,45.7,67.6,24.7,0.0,0.0,0
2016-07-27,59.0,46.0,72.1,24.7,0.0,0.0,0
2016-07-28,59.7,48.6,73.9,24.7,0.0,0.0,0
2016-07-29,60.3,49.1,75.0,24.7,0.0,0.0,0
2016-07-30,53.8,45.3,74.7,24.7,0.3,0.0,0
2016-07-31,54.1,43.9,67.8,25.0,0.1,0.0,0
2016-08-01,52.3,44.4,65.1,25.1,0.2,0.0,0
2016-08-02,54.1,47.1,65.3,25.3,0.0,0.0,0
2016-08-03,51.6,47.7,64.0,25.3,0.2,0.0,0
2016-08-04,50.5,45.5,60.6,25.5,0.5,0.0,0
2016-08-05,49.3,45.9,54.9,26.0,0.7,0.0,0
2016-08-06,52.0,45.0,64.2,26.7,0.1,0.0,0
2016-08-07,54.5,43.3,68.4,26.8,0.0,0.0,0
2016-08-08,53.1,45.3,68.5,26.8,0.0,0.0,0
2016-08-09,55.4,45.3,70.2,26.8,0.0,0.0,0
2016-08-10,54.1,47.1,65.5,26.8,0.1,0.0,0
2016-08-11,53.6,43.5,66.9,26.9,0.0,0.0,0
2016-08-12,54.5,45.1,68.2,26.9,0.0,0.0,0
2016-08-13,49.5,42.6,61.3,26.9,0.0,0.0,0
2016-08-14,48.9,39.7,65.1,26.9,0.0,0.0,0
2016-08-15,52.0,41.7,67.1,26.9,0.0,0.0,0
2016-08-16,47.5,41.2,63.9,26.9,0.2,0.0,0
2016-08-17,47.7,40.5,59.4,27.1,0.1,0.0,0
2016-08-18,47.1,39.7,61.7,27.2,0.0,0.0,0
2016-08-19,47.7,39.4,62.1,27.2,0.0,0.0,0
2016-08-20,50.9,41.2,64.8,27.2,0.0,0.0,0
2016-08-21,48.0,40.5,64.2,27.2,0.1,0.0,0
2016-08-22,45.7,39.9,60.6,27.3,0.0,0.0,0
2016-08-23,44.2,37.2,59.5,27.3,0.1,0.0,0
2016-08-24,43.0,38.3,54.9,27.4,0.1,0.0,0
2016-08-25,44.6,37.6,58.6,27.5,0.0,0.0,0
2016-08-26,43.7,38.5,56.1,27.5,0.0,0.0,0
2016-08-27,46.0,37.0,60.1,27.5,0.1,0.0,0
2016-08-28,46.0,36.3,61.2,27.6,0.0,0.0,0
2016-08-29,43.3,38.7,57.4,27.6,0.2,0.0,0
2016-08-30,45.0,38.5,52.2,27.8,0.2,0.0,0
2016-08-31,49.6,40.8,61.9,28.0,0.2,0.0,0
2016-09-01,49.3,44.8,61.2,28.2,0.0,0.0,0
2016-09-02,50.7,43.7,61.9,28.2,0.2,0.0,0
2016-09-03,50.2,41.5,64.0,28.4,0.0,0.0,0
2016-09-04,50.7,45.0,59.5,28.4,0.0,0.0,0
2016-09-05,52.5,45.9,63.0,28.4,0.0,0.0,0
2016-09-06,52.7,44.6,62.8,28.4,0.0,0.0,0
2016-09-07,49.5,41.4,60.8,28.4,0.0,0.0,0
2016-09-08,53.1,41.5,68.5,28.4,0.0,0.0,0
2016-09-09,53.6,41.4,67.8,28.4,0.0,0.0,0
2016-09-10,50.9,41.5,63.3,28.4,0.0,0.0,0
2016-09-11,51.3,41.4,65.3,28.4,0.0,0.0,0
2016-09-12,45.7,38.1,58.6,28.4,0.0,0.0,0
2016-09-13,45.7,36.3,58.1,28.4,0.0,0.0,0
2016-09-14,43.7,39.0,53.8,28.4,0.0,0.0,0
2016-09-15,44.4,35.4,56.8,28.4,0.0,0.0,0
2016-09-16,45.3,33.8,58.6,28.4,0.0,0.0,0
2016-09-17,45.9,36.1,59.4,28.4,0.0,0.0,0
2016-09-18,50.7,36.7,67.6,28.4,0.0,0.0,0
2016-09-19,53.4,42.1,69.6,28.4,0.0,0.0,0
2016-09-20,52.0,44.6,63.7,28.4,0.0,0.0,0
2016-09-21,46.4,41.9,52.5,28.4,0.0,0.0,0
2016-09-22,49.1,44.4,60.3,28.4,0.0,0.0,0
2016-09-23,36.7,24.8,50.4,28.4,0.0,0.0,0
2016-09-24,36.3,25.7,49.5,28.4,0.0,0.0,0
2016-09-25,41.9,29.5,57.4,28.4,0.0,0.0,0
2016-09-26,46.2,35.4,61.0,28.4,0.1,0.0,0
2016-09-27,47.8,38.5,60.8,28.5,0.0,0.0,0
2016-09-28,50.0,40.1,60.8,28.5,0.0,0.0,0
2016-09-29,47.1,38.8,59.2,28.5,0.0,0.0,0
2016-09-30,46.6,37.6,59.5,28.5,0.0,0.0,0
