Date,North Lost Trail (669) Air Temperature Average (degF),North Lost Trail (669) Air Temperature Minimum (degF),North Lost Trail (669) Air Temperature Maximum (degF),North Lost Trail (669) Precipitation Accumulation (in) Start of Day Values,North Lost Trail (669) Precipitation Increment (in),North Lost Trail (669) Snow Water Equivalent (in) Start of Day Values,North Lost Trail (669) Snow Depth (in) Start of Day Values
2016-04-14,39.4,34.0,53.1,16.4,0.1,8.1,18
2016-04-15,30.7,25.3,44.6,16.5,0.7,7.7,17
2016-04-16,25.3,21.9,30.0,17.2,0.3,8.3,25
2016-04-17,26.6,20.8,39.2,17.5,0.1,8.5,26
2016-04-18,26.8,19.2,37.2,17.6,0.4,8.6,24
2016-04-19,28.4,21.0,38.3,18.0,0.1,8.9,25
2016-04-20,32.7,28.0,43.5,18.1,0.3,9.0,26
2016-04-21,38.5,25.0,57.9,18.4,0.1,9.3,26
2016-04-22,45.0,30.9,62.6,18.5,0.0,8.9,23
2016-04-23,38.1,28.2,54.3,18.5,0.1,8.4,21
2016-04-24,36.5,29.5,49.6,18.6,0.0,8.4,21
2016-04-25,36.1,24.8,53.2,18.6,0.1,8.3,20
2016-04-26,28.8,24.3,39.9,18.7,0.3,8.1,21
2016-04-27,31.6,25.9,43.9,19.0,0.1,8.3,22
2016-04-28,34.3,29.5,47.5,19.1,0.2,8.1,20
2016-04-29,30.6,28.2,36.7,19.3,0.7,8.3,20
2016-04-30,30.2,25.9,39.2,20.0,0.3,8.9,29
2016-05-01,30.4,21.0,42.8,20.3,0.0,9.1,26
2016-05-02,35.1,27.1,52.0,20.3,0.0,9.0,22
2016-05-03,40.1,26.8,57.6,20.3,0.0,8.8,22
2016-05-04,45.5,31.5,63.9,20.3,0.0,8.2,20
2016-05-05,47.8,34.9,66.0,20.3,0.0,7.1,17
2016-05-06,43.9,34.0,59.9,20.3,0.0,5.8,14
2016-05-07,34.5,30.2,43.2,20.3,0.1,5.0,13
2016-05-08,34.9,30.4,45.7,20.4,0.2,5.0,13
2016-05-09,35.6,30.9,43.9,20.6,0.4,4.6,12
2016-05-10,34.3,27.3,43.7,21.0,0.7,4.8,13
2016-05-11,33.8,25.0,46.8,21.7,0.0,4.8,13
2016-05-12,40.5,26.6,57.4,21.7,0.1,4.7,13
2016-05-13,46.6,32.4,63.7,21.8,0.1,3.6,9
2016-05-14,49.3,36.3,64.9,21.9,0.0,2.1,6
2016-05-15,41.7,32.9,54.9,21.9,0.1,0.9,4
2016-05-16,36.0,31.5,48.4,22.0,0.5,0.3,2
2016-05-17,37.8,30.2,49.5,22.5,0.1,0.5,3
2016-05-18,39.9,29.7,58.3,22.6,0.0,0.3,2
2016-05-19,41.9,32.2,55.8,22.6,0.0,0.2,1
2016-05-20,47.5,37.0,63.5,22.6,0.0,0.2,1
2016-05-21,49.8,36.9,66.9,22.6,0.0,0.0,0
2016-05-22,44.6,31.6,56.8,22.6,0.0,0.0,0
2016-05-23,42.6,31.6,56.7,22.6,0.0,0.0,0
2016-05-24,45.3,32.7,59.2,22.6,0.0,0.0,0
2016-05-25,44.6,33.1,57.7,22.6,0.0,0.0,0
2016-05-26,40.3,30.9,51.6,22.6,0.0,0.0,0
2016-05-27,36.3,31.5,52.9,22.6,0.0,0.0,0
2016-05-28,40.5,30.0,57.4,22.6,0.0,0.0,0
2016-05-29,45.3,33.3,62.6,22.6,0.0,0.0,0
2016-05-30,44.6,34.0,63.9,22.6,0.0,0.0,0
2016-05-31,44.6,32.2,62.1,22.6,0.1,0.0,0
2016-06-01,48.0,34.3,65.8,22.7,0.1,0.0,0
2016-06-02,51.3,36.9,68.7,22.8,0.0,0.0,0
2016-06-03,53.2,38.7,70.0,22.8,0.0,0.0,0
2016-06-04,55.4,40.5,73.8,22.8,0.0,0.0,0
2016-06-05,56.1,41.9,74.3,22.8,0.0,0.0,0
2016-06-06,54.0,42.4,74.5,22.8,0.0,0.0,0
2016-06-07,57.4,44.4,74.1,22.8,0.0,0.0,0
2016-06-08,53.8,42.1,69.1,22.8,0.0,0.0,0
2016-06-09,55.9,43.2,75.2,22.8,0.0,0.0,0
2016-06-10,59.7,45.7,76.3,22.8,0.0,0.0,0
2016-06-11,53.6,44.8,72.3,22.8,0.0,0.0,0
2016-06-12,53.6,42.4,69.1,22.8,0.0,0.0,0
2016-06-13,46.4,35.1,63.0,22.8,0.0,0.0,0
2016-06-14,47.8,34.3,63.7,22.8,0.1,0.0,0
2016-06-15,55.9,40.3,73.2,22.9,0.0,0.0,0
2016-06-16,54.7,41.9,69.4,22.9,0.0,0.0,0
2016-06-17,57.9,43.0,74.7,22.9,0.0,0.0,0
2016-06-18,60.4,43.2,79.5,22.9,0.0,0.0,0
2016-06-19,63.0,48.0,79.9,22.9,0.0,0.0,0
2016-06-20,65.5,49.8,83.8,22.9,0.0,0.0,0
2016-06-21,63.5,52.7,81.9,22.9,0.0,0.0,0
2016-06-22,58.3,45.7,79.9,22.9,0.0,0.0,0
2016-06-23,55.0,46.2,73.2,22.9,0.0,0.0,0
2016-06-24,56.7,45.3,71.6,22.9,0.0,0.0,0
2016-06-25,58.8,46.2,73.6,22.9,0.0,0.0,0
2016-06-26,59.7,45.9,75.7,22.9,0.0,0.0,0
2016-06-27,58.8,,74.3,22.9,0.0,0.0,0
2016-06-28,60.6,48.6,75.6,22.9,0.0,0.0,0
2016-06-29,58.8,48.0,75.9,22.9,0.0,0.0,0
2016-06-30,55.2,45.7,70.0,22.9,0.0,0.0,0
2016-07-01,51.1,47.3,56.1,22.9,0.2,0.0,0
2016-07-02,49.5,46.2,55.9,23.1,0.7,0.0,0
2016-07-03,51.4,44.1,64.2,23.8,0.0,0.0,0
2016-07-04,56.1,43.7,72.0,23.8,0.0,0.0,0
2016-07-05,59.5,48.2,72.5,23.8,0.0,0.0,0
2016-07-06,59.5,48.4,73.2,23.8,0.0,0.0,0
2016-07-07,58.5,46.4,73.2,23.8,0.0,0.0,0
2016-07-08,60.6,46.8,75.7,23.8,0.0,0.0,0
2016-07-09,61.7,48.4,76.3,23.8,0.0,0.0,0
2016-07-10,63.5,50.0,75.6,23.8,0.0,0.0,0
2016-07-11,57.2,46.0,68.5,23.8,0.0,0.0,0
2016-07-12,57.6,43.9,72.9,23.8,0.0,0.0,0
2016-07-13,59.5,45.9,75.9,23.8,0.0,0.0,0
2016-07-14,59.4,45.7,75.6,23.8,0.0,0.0,0
2016-07-15,61.5,47.5,77.2,23.8,0.0,0.0,0
2016-07-16,63.3,49.3,77.2,23.8,0.0,0.0,0
2016-07-17,63.0,49.8,77.9,23.8,0.0,0.0,0
2016-07-18,60.4,47.8,74.1,23.8,0.0,0.0,0
2016-07-19,56.1,48.4,69.6,23.8,0.3,0.0,0
2016-07-20,59.4,47.8,74.5,24.1,0.1,0.0,0
2016-07-21,58.6,52.0,72.7,24.2,0.0,0.0,0
2016-07-22,59.4,49.5,74.1,24.2,0.0,0.0,0
2016-07-23,61.3,48.6,78.3,24.2,0.0,0.0,0
2016-07-24,59.7,46.8,75.9,24.2,0.0,0.0,0
2016-07-25,61.0,50.0,77.9,24.2,0.0,0.0,0
2016-07-26,58.6,48.9,75.2,24.2,0.0,0.0,0
2016-07-27,62.2,48.0,79.9,24.2,0.0,0.0,0
2016-07-28,64.0,51.1,80.6,24.2,0.0,0.0,0
2016-07-29,62.8,49.5,79.2,24.2,0.0,0.0,0
2016-07-30,62.1,50.7,76.6,24.2,0.0,0.0,0
2016-07-31,58.3,46.6,70.0,24.2,0.0,0.0,0
2016-08-01,58.8,45.5,78.1,24.2,0.0,0.0,0
2016-08-02,60.6,50.9,75.2,24.2,0.0,0.0,0
2016-08-03,58.3,50.2,78.1,24.2,0.0,0.0,0
2016-08-04,51.3,49.3,54.3,24.2,0.4,0.0,0
2016-08-05,52.2,48.0,56.7,24.6,0.4,0.0,0
2016-08-06,53.2,47.1,64.4,25.0,0.4,0.0,0
2016-08-07,57.0,44.6,73.0,25.4,0.2,0.0,0
2016-08-08,54.9,46.6,67.6,25.6,0.0,0.0,0
2016-08-09,55.4,46.8,72.3,25.6,0.0,0.0,0
2016-08-10,57.2,46.8,70.2,25.6,0.1,0.0,0
2016-08-11,54.1,44.4,68.9,25.7,0.0,0.0,0
2016-08-12,53.6,42.1,69.1,25.7,0.0,0.0,0
2016-08-13,54.0,42.3,70.9,25.7,0.0,0.0,0
2016-08-14,55.9,42.8,72.7,25.7,0.0,0.0,0
2016-08-15,56.5,45.7,72.7,25.7,0.0,0.0,0
2016-08-16,55.0,46.2,71.2,25.7,0.0,0.0,0
2016-08-17,52.2,43.2,68.2,25.7,0.0,0.0,0
2016-08-18,51.1,43.2,66.2,25.7,0.0,0.0,0
2016-08-19,52.5,41.9,67.6,25.7,0.0,0.0,0
2016-08-20,53.6,40.6,70.5,25.7,0.0,0.0,0
2016-08-21,54.3,43.7,73.6,25.7,0.0,0.0,0
2016-08-22,50.7,41.9,67.3,25.7,0.0,0.0,0
2016-08-23,49.3,42.4,65.3,25.7,0.0,0.0,0
2016-08-24,48.2,41.0,63.3,25.7,0.0,0.0,0
2016-08-25,45.3,37.2,62.1,25.7,0.5,0.0,0
2016-08-26,46.4,37.4,58.6,26.2,0.1,0.0,0
2016-08-27,47.3,38.1,59.7,26.3,0.1,0.0,0
2016-08-28,48.0,42.1,62.1,26.4,0.0,0.0,0
2016-08-29,46.4,39.6,61.7,26.4,0.0,0.0,0
2016-08-30,47.5,38.3,67.5,26.4,0.2,0.0,0
2016-08-31,53.4,42.1,69.1,26.6,0.1,0.0,0
2016-09-01,56.5,45.7,70.2,26.7,0.2,0.0,0
2016-09-02,52.5,46.0,65.5,26.9,0.0,0.0,0
2016-09-03,51.6,45.0,64.4,26.9,0.0,0.0,0
2016-09-04,50.0,42.4,63.9,26.9,0.2,0.0,0
2016-09-05,53.2,40.6,68.0,27.1,0.1,0.0,0
2016-09-06,53.6,43.0,67.1,27.2,0.0,0.0,0
2016-09-07,52.7,42.4,66.4,27.2,0.0,0.0,0
2016-09-08,52.9,40.1,69.4,27.2,0.0,0.0,0
2016-09-09,51.3,39.6,66.9,27.2,0.0,0.0,0
2016-09-10,51.3,37.0,68.5,27.2,0.0,0.0,0
2016-09-11,52.7,42.6,68.5,27.2,0.0,0.0,0
2016-09-12,49.1,41.0,65.3,27.2,0.0,0.0,0
2016-09-13,47.1,40.5,61.7,27.2,0.0,0.0,0
2016-09-14,46.0,39.2,59.9,27.2,0.1,0.0,0
2016-09-15,43.9,35.6,57.0,27.3,0.1,0.0,0
2016-09-16,44.2,32.5,60.6,27.4,0.1,0.0,0
2016-09-17,45.7,34.7,61.3,27.5,0.0,0.0,0
2016-09-18,49.5,36.1,66.9,27.5,0.1,0.0,0
2016-09-19,54.3,40.8,71.8,27.6,0.1,0.0,0
2016-09-20,54.1,46.2,65.7,27.7,0.0,0.0,0
2016-09-21,49.3,45.3,56.7,27.7,0.0,0.0,0
2016-09-22,55.9,46.4,69.1,27.7,0.0,0.0,0
2016-09-23,36.9,29.1,55.8,27.7,0.0,0.0,0
2016-09-24,32.7,29.5,36.9,27.7,0.1,0.0,0
2016-09-25,38.8,29.5,55.2,27.8,0.2,0.0,0
2016-09-26,45.0,31.5,64.0,28.0,0.1,0.0,0
2016-09-27,49.8,37.0,68.5,28.1,0.1,0.0,0
2016-09-28,52.7,39.2,70.0,28.2,0.1,0.0,0
2016-09-29,49.8,42.6,61.2,28.3,0.0,0.0,0
2016-09-30,46.2,38.8,58.8,28.3,0.0,0.0,0
