Date,Stillwater Creek (793) Air Temperature Average (degF),Stillwater Creek (793) Air Temperature Minimum (degF),Stillwater Creek (793) Air Temperature Maximum (degF),Stillwater Creek (793) Precipitation Accumulation (in) Start of Day Values,Stillwater Creek (793) Precipitation Increment (in),Stillwater Creek (793) Snow Water Equivalent (in) Start of Day Values,Stillwater Creek (793) Snow Depth (in) Start of Day Values
2015-11-29,19.8,10.2,32.4,3.6,0.0,2.5,12
2015-11-30,11.3,4.3,18.1,3.6,0.0,2.6,12
2015-12-01,12.9,6.1,22.3,3.6,0.0,2.6,12
2015-12-02,16.0,1.4,29.5,3.6,0.2,2.6,13
2015-12-03,24.3,13.6,39.4,3.8,0.0,2.7,13
2015-12-04,27.0,10.9,47.1,3.8,0.0,2.7,12
2015-12-05,25.9,9.3,38.5,3.8,0.0,2.7,12
2015-12-06,19.6,4.6,35.8,3.8,0.0,2.7,12
2015-12-07,30.7,16.7,38.5,3.8,0.1,2.7,12
2015-12-08,34.9,26.6,43.5,3.9,0.0,2.8,11
2015-12-09,34.3,23.2,45.3,3.9,0.0,2.8,11
2015-12-10,37.0,25.3,43.5,3.9,0.0,2.8,11
2015-12-11,30.2,25.5,39.4,3.9,0.0,2.9,11
2015-12-12,25.5,17.8,33.3,3.9,0.0,3.0,13
2015-12-13,19.2,10.8,31.5,3.9,0.0,3.1,14
2015-12-14,22.3,7.2,44.2,3.9,0.2,3.1,13
2015-12-15,16.3,9.5,24.4,4.1,0.1,3.3,14
2015-12-16,12.0,8.1,22.3,4.2,0.0,3.4,18
2015-12-17,8.6,0.5,19.0,4.2,0.2,3.5,18
2015-12-18,19.8,8.4,28.8,4.4,0.1,3.5,18
2015-12-19,23.7,7.5,40.1,4.5,0.0,3.6,18
2015-12-20,27.1,18.7,39.2,4.5,0.0,3.6,17
2015-12-21,25.3,20.8,32.2,4.5,0.1,3.7,17
2015-12-22,27.3,17.1,32.5,4.6,0.2,4.0,22
2015-12-23,18.0,10.2,30.0,4.8,0.2,4.4,25
2015-12-24,11.8,5.9,21.7,5.0,0.1,4.4,23
2015-12-25,16.5,7.5,28.4,5.1,0.1,4.4,22
2015-12-26,6.4,-6.3,21.9,5.2,0.0,4.4,21
2015-12-27,2.8,-12.8,20.7,5.2,0.2,4.4,22
2015-12-28,10.0,-5.8,28.6,5.4,0.0,4.4,21
2015-12-29,14.2,4.3,28.8,5.4,0.0,4.5,21
2015-12-30,10.6,3.6,21.9,5.4,0.0,4.5,21
2015-12-31,5.2,-6.2,20.5,5.4,0.0,4.5,21
2016-01-01,1.4,-12.8,19.2,5.4,0.0,4.5,21
2016-01-02,6.1,-10.3,24.1,5.4,0.0,4.5,21
2016-01-03,16.5,1.8,37.2,5.4,0.1,4.5,21
2016-01-04,21.9,11.1,37.4,5.5,0.0,4.6,20
2016-01-05,23.0,12.2,36.0,5.5,0.1,4.6,20
2016-01-06,25.7,19.4,39.0,5.6,0.0,4.6,19
2016-01-07,23.5,19.6,30.0,5.6,0.0,4.6,19
2016-01-08,22.8,14.9,33.6,5.6,0.0,4.8,21
2016-01-09,15.6,5.9,24.6,5.6,0.0,4.9,21
2016-01-10,12.0,4.6,23.5,5.6,0.0,4.9,22
2016-01-11,9.3,-0.8,25.7,5.6,0.0,4.9,22
2016-01-12,11.1,-6.5,31.5,5.6,0.1,4.9,22
2016-01-13,20.1,8.1,37.8,5.7,0.0,4.9,22
2016-01-14,23.0,15.3,31.5,5.7,0.1,4.9,22
2016-01-15,19.2,13.6,29.1,5.8,0.0,5.1,22
2016-01-16,16.5,7.5,23.5,5.8,0.0,5.2,23
2016-01-17,24.1,16.0,33.6,5.8,0.1,5.3,23
2016-01-18,27.5,17.6,41.2,5.9,0.1,5.6,28
2016-01-19,24.4,13.6,36.7,6.0,0.0,5.7,26
2016-01-20,22.3,15.3,35.1,6.0,0.2,5.7,28
2016-01-21,17.6,10.9,28.4,6.2,0.0,5.9,29
2016-01-22,22.1,9.9,41.0,6.2,0.1,5.9,27
2016-01-23,26.2,13.8,42.8,6.3,0.0,5.9,27
2016-01-24,23.4,11.8,40.3,6.3,0.0,5.9,27
2016-01-25,17.1,5.7,31.8,6.3,0.0,5.9,28
2016-01-26,12.7,2.7,27.3,6.3,0.0,5.9,28
2016-01-27,16.7,2.3,34.7,6.3,0.2,5.9,27
2016-01-28,24.4,11.8,41.0,6.5,0.0,5.9,27
2016-01-29,27.1,14.9,41.9,6.5,0.1,6.0,26
2016-01-30,31.8,20.7,42.1,6.6,0.2,6.1,26
2016-01-31,18.5,10.9,24.8,6.8,0.2,6.5,31
2016-02-01,20.7,12.6,34.5,7.0,0.3,6.7,32
2016-02-02,11.3,1.8,22.3,7.3,0.1,7.0,35
2016-02-03,3.7,-5.6,16.5,7.4,0.1,7.1,34
2016-02-04,7.7,-7.8,20.8,7.5,0.0,7.2,33
2016-02-05,11.7,3.9,23.7,7.5,0.0,7.2,33
2016-02-06,18.3,5.0,32.7,7.5,0.0,7.2,33
2016-02-07,25.3,14.4,37.4,7.5,0.0,7.2,32
2016-02-08,25.9,16.9,39.4,7.5,0.0,7.2,31
2016-02-09,24.4,11.8,39.7,7.5,0.0,7.2,31
2016-02-10,27.0,12.0,48.7,7.5,0.0,7.2,31
2016-02-11,29.8,16.7,46.8,7.5,0.0,7.2,31
2016-02-12,33.6,24.1,52.2,7.5,0.0,7.2,30
2016-02-13,34.5,22.8,50.9,7.5,0.0,7.2,30
2016-02-14,27.7,20.5,32.4,7.5,0.0,7.2,29
2016-02-15,33.6,27.1,38.8,7.5,0.1,7.3,30
2016-02-16,34.9,25.0,44.1,7.6,0.0,7.4,29
2016-02-17,36.7,19.8,56.1,7.6,0.0,7.4,30
2016-02-18,38.3,25.2,50.4,7.6,0.0,7.4,29
2016-02-19,31.3,16.0,47.7,7.6,0.0,7.4,28
2016-02-20,33.4,22.6,46.2,7.6,0.0,7.4,28
2016-02-21,30.4,17.4,45.9,7.6,0.0,7.4,28
2016-02-22,24.6,16.7,33.3,7.6,0.1,7.4,28
2016-02-23,22.6,6.8,36.9,7.7,0.0,7.4,30
2016-02-24,18.3,0.1,39.6,7.7,0.2,7.4,30
2016-02-25,26.4,9.0,40.1,7.9,0.0,7.4,29
2016-02-26,31.8,19.0,45.7,7.9,0.0,7.4,28
2016-02-27,34.2,19.0,51.6,7.9,0.0,7.7,28
2016-02-28,32.7,23.0,44.8,7.9,0.0,7.7,28
2016-02-29,28.2,20.7,41.7,7.9,0.0,7.7,27
2016-03-01,30.4,16.3,44.6,7.9,0.1,7.7,27
2016-03-02,34.3,25.3,45.0,8.0,0.0,7.8,27
2016-03-03,32.9,19.0,49.1,8.0,0.0,7.9,28
2016-03-04,33.6,21.4,49.5,8.0,0.0,7.9,28
2016-03-05,36.3,21.2,53.2,8.0,0.0,7.9,27
2016-03-06,36.9,30.0,47.8,8.0,0.1,7.9,27
2016-03-07,28.9,19.8,36.0,8.1,0.2,8.0,27
2016-03-08,27.7,18.7,40.6,8.3,0.0,8.5,32
2016-03-09,26.4,13.5,39.9,8.3,0.2,8.6,30
2016-03-10,32.5,18.7,46.6,8.5,0.0,8.6,29
2016-03-11,38.7,21.9,56.1,8.5,0.0,8.6,29
2016-03-12,36.5,28.4,48.9,8.5,0.0,8.6,27
2016-03-13,36.5,26.4,47.7,8.5,0.0,8.4,27
2016-03-14,32.7,21.4,43.5,8.5,0.0,8.4,26
2016-03-15,22.5,15.6,31.8,8.5,0.1,8.4,26
2016-03-16,23.0,16.0,31.1,8.6,0.1,8.5,27
2016-03-17,26.4,20.7,38.1,8.7,0.3,8.6,27
2016-03-18,20.8,8.4,33.4,9.0,0.1,8.9,31
2016-03-19,19.8,7.2,36.5,9.1,0.1,9.0,30
2016-03-20,26.2,2.5,48.2,9.2,0.1,9.1,29
2016-03-21,40.5,21.4,56.1,9.3,0.1,9.1,28
2016-03-22,41.9,28.4,52.3,9.4,0.0,9.1,25
2016-03-23,25.0,18.5,30.9,9.4,0.2,9.1,29
2016-03-24,28.2,20.1,39.0,9.6,0.1,9.3,31
2016-03-25,25.7,14.0,35.6,9.7,0.0,9.5,29
2016-03-26,21.0,6.6,34.3,9.7,0.1,9.5,30
2016-03-27,26.2,6.6,42.8,9.8,0.1,9.6,29
2016-03-28,36.5,16.0,52.3,9.9,0.1,9.7,28
2016-03-29,36.3,24.8,52.3,10.0,0.1,9.7,28
2016-03-30,25.0,15.1,34.0,10.1,0.1,9.8,29
2016-03-31,24.1,9.7,38.1,10.2,0.3,10.0,33
2016-04-01,23.4,7.5,39.9,10.5,0.1,10.3,33
2016-04-02,34.0,18.1,48.7,10.6,0.0,10.4,31
2016-04-03,38.1,23.5,55.0,10.6,0.0,10.4,29
2016-04-04,42.8,28.4,56.8,10.6,0.0,9.9,27
2016-04-05,33.8,24.3,41.2,10.6,0.0,9.8,26
2016-04-06,38.5,20.5,52.5,10.6,0.0,9.8,26
2016-04-07,41.2,28.9,56.5,10.6,0.0,9.3,24
2016-04-08,41.4,27.0,58.1,10.6,0.0,8.5,23
2016-04-09,38.7,30.6,52.3,10.6,0.0,7.8,21
2016-04-10,39.0,31.5,51.4,10.6,0.0,7.3,19
2016-04-11,39.2,31.3,52.9,10.6,0.0,7.0,18
2016-04-12,39.7,30.0,53.1,10.6,0.1,6.9,18
2016-04-13,43.2,32.0,57.7,10.7,0.0,6.4,16
2016-04-14,42.6,31.1,59.9,10.7,0.0,5.7,14
2016-04-15,32.7,28.9,43.3,10.7,0.2,5.1,12
2016-04-16,30.2,25.2,38.3,10.9,0.2,5.3,16
2016-04-17,29.8,23.9,40.8,11.1,0.1,5.4,16
2016-04-18,31.6,21.6,41.7,11.2,0.0,5.6,14
2016-04-19,31.6,24.1,42.3,11.2,0.1,5.6,14
2016-04-20,37.2,29.8,48.4,11.3,0.0,5.5,13
2016-04-21,42.1,28.4,58.1,11.3,0.0,5.5,13
2016-04-22,46.6,29.7,63.5,11.3,0.0,4.7,11
2016-04-23,41.9,28.2,61.9,11.3,0.0,3.6,10
2016-04-24,36.0,29.1,46.0,11.3,0.0,2.9,8
2016-04-25,41.9,27.1,57.0,11.3,0.2,2.8,6
2016-04-26,33.3,28.0,44.4,11.5,0.1,2.1,5
2016-04-27,34.5,26.6,46.4,11.6,0.1,2.1,4
2016-04-28,34.5,25.7,48.4,11.7,0.3,1.6,3
2016-04-29,32.9,27.1,40.1,12.0,0.2,1.7,4
2016-04-30,31.3,26.6,40.8,12.2,0.0,1.8,5
2016-05-01,32.4,22.3,43.2,12.2,0.1,1.7,4
2016-05-02,36.3,18.3,52.7,12.3,0.1,1.2,3
2016-05-03,43.2,26.2,57.6,12.4,0.1,0.6,1
2016-05-04,47.1,29.7,65.1,12.5,0.1,0.4,1
2016-05-05,51.1,33.1,68.7,12.6,0.1,0.0,0
2016-05-06,50.4,39.0,65.8,12.7,0.0,0.0,0
2016-05-07,39.6,32.9,57.2,12.7,0.0,0.0,0
2016-05-08,36.5,31.8,46.8,12.7,0.3,0.4,1
2016-05-09,37.6,32.0,45.0,13.0,0.3,0.9,3
2016-05-10,38.8,33.6,46.8,13.3,0.4,0.5,1
2016-05-11,37.0,25.5,49.1,13.7,0.1,0.0,0
2016-05-12,43.3,26.4,59.5,13.8,0.3,0.0,0
2016-05-13,49.6,32.7,63.1,14.1,0.1,0.0,0
2016-05-14,48.9,34.7,66.7,14.2,0.1,0.0,0
2016-05-15,43.3,34.5,57.9,14.3,0.0,0.0,0
2016-05-16,37.4,33.6,43.7,14.3,0.3,0.0,0
2016-05-17,41.2,32.0,52.9,14.6,0.3,0.4,1
2016-05-18,41.7,30.7,56.7,14.9,0.0,0.2,1
2016-05-19,45.1,32.9,60.4,14.9,0.1,0.0,0
2016-05-20,51.1,36.7,67.3,15.0,0.0,0.0,0
2016-05-21,54.5,38.3,68.9,15.0,0.0,0.0,0
2016-05-22,50.2,31.6,64.6,15.0,0.0,0.0,0
2016-05-23,43.2,28.9,59.4,15.0,0.0,0.0,0
2016-05-24,48.6,31.1,64.9,15.0,0.0,0.0,0
2016-05-25,45.5,32.2,60.4,15.0,0.0,0.0,0
2016-05-26,42.3,30.2,53.6,15.0,0.0,0.0,0
2016-05-27,42.3,32.7,57.2,15.0,0.1,0.0,0
2016-05-28,43.2,32.4,57.0,15.1,0.0,0.0,0
2016-05-29,48.2,32.2,63.9,15.1,0.0,0.0,0
2016-05-30,45.9,34.2,64.4,15.1,0.0,0.0,0
2016-05-31,48.7,32.7,64.0,15.1,0.1,0.0,0
2016-06-01,51.6,37.0,65.8,15.2,0.0,0.0,0
2016-06-02,53.6,36.0,69.8,15.2,0.2,0.0,0
2016-06-03,55.0,40.5,69.1,15.4,0.1,0.0,0
2016-06-04,57.0,40.1,72.7,15.5,0.0,0.0,0
2016-06-05,56.3,41.4,74.1,15.5,0.0,0.0,0
2016-06-06,55.2,41.4,72.3,15.5,0.0,0.0,0
2016-06-07,54.9,40.8,77.5,15.5,0.0,0.0,0
2016-06-08,53.6,41.0,70.9,15.5,0.0,0.0,0
2016-06-09,56.7,40.6,77.4,15.5,0.0,0.0,0
2016-06-10,61.7,43.2,78.1,15.5,0.0,0.0,0
2016-06-11,59.0,45.1,80.1,15.5,0.0,0.0,0
2016-06-12,55.2,42.6,75.0,15.5,0.0,0.0,0
2016-06-13,50.0,37.4,66.7,15.5,0.0,0.0,0
2016-06-14,49.1,33.8,65.1,15.5,0.0,0.0,0
2016-06-15,,,75.7,15.5,0.0,0.0,0
2016-06-16,58.1,40.5,75.0,15.5,0.0,0.0,0
2016-06-17,59.4,41.9,75.7,15.5,0.0,0.0,0
2016-06-18,61.5,41.5,79.2,15.5,0.0,0.0,0
2016-06-19,64.4,44.2,80.4,15.5,0.0,0.0,0
2016-06-20,66.4,49.1,84.9,15.5,0.0,0.0,0
2016-06-21,65.8,49.8,82.9,15.5,0.0,0.0,0
2016-06-22,58.1,44.6,80.6,15.5,0.0,0.0,0
2016-06-23,55.6,42.6,72.1,15.5,0.0,0.0,0
2016-06-24,60.1,44.2,77.7,15.5,0.0,0.0,0
2016-06-25,60.1,46.6,75.2,15.5,0.0,0.0,0
2016-06-26,59.9,41.5,77.2,15.5,0.0,0.0,0
2016-06-27,61.0,40.8,77.2,15.5,0.0,0.0,0
2016-06-28,61.7,45.3,78.6,15.5,0.0,0.0,0
2016-06-29,57.2,45.5,71.1,15.5,0.0,0.0,0
2016-06-30,53.6,43.9,66.0,15.5,0.2,0.0,0
2016-07-01,52.9,48.7,61.2,15.7,0.1,0.0,0
2016-07-02,52.5,47.1,59.9,15.8,0.1,0.0,0
2016-07-03,53.8,43.7,66.4,15.9,0.0,0.0,0
2016-07-04,57.2,41.4,73.4,15.9,0.0,0.0,0
2016-07-05,54.9,45.0,69.8,15.9,0.0,0.0,0
2016-07-06,60.1,43.2,74.1,15.9,0.0,0.0,0
2016-07-07,59.0,43.2,73.2,15.9,0.0,0.0,0
2016-07-08,61.0,43.5,78.4,15.9,0.0,0.0,0
2016-07-09,61.9,44.1,77.7,15.9,0.0,0.0,0
2016-07-10,63.7,46.4,78.8,15.9,0.0,0.0,0
2016-07-11,56.7,41.9,68.7,15.9,0.0,0.0,0
2016-07-12,57.4,38.7,73.8,15.9,0.0,0.0,0
2016-07-13,59.4,41.0,75.6,15.9,0.0,0.0,0
2016-07-14,59.0,41.4,75.4,15.9,0.0,0.0,0
2016-07-15,58.5,42.6,77.5,15.9,0.0,0.0,0
2016-07-16,61.5,46.2,78.3,15.9,0.0,0.0,0
2016-07-17,64.0,46.4,79.5,15.9,0.0,0.0,0
2016-07-18,60.3,48.9,76.6,15.9,0.0,0.0,0
2016-07-19,60.8,49.6,74.1,15.9,0.0,0.0,0
2016-07-20,59.7,46.6,77.4,15.9,0.0,0.0,0
2016-07-21,56.3,46.0,78.4,15.9,0.0,0.0,0
2016-07-22,59.5,45.0,77.4,15.9,0.0,0.0,0
2016-07-23,60.4,49.3,79.7,15.9,0.0,0.0,0
2016-07-24,60.1,46.6,77.4,15.9,0.0,0.0,0
2016-07-25,61.9,43.5,79.7,15.9,0.0,0.0,0
2016-07-26,56.3,44.8,73.4,15.9,0.0,0.0,0
2016-07-27,61.5,42.3,79.7,15.9,0.0,0.0,0
2016-07-28,62.8,45.1,81.9,15.9,0.0,0.0,0
2016-07-29,62.1,46.4,78.1,15.9,0.0,0.0,0
2016-07-30,63.0,45.9,79.5,15.9,0.0,0.0,0
2016-07-31,57.0,46.4,75.4,15.9,0.0,0.0,0
2016-08-01,59.4,44.4,76.3,15.9,0.0,0.0,0
2016-08-02,61.2,48.0,77.0,15.9,0.0,0.0,0
2016-08-03,62.2,46.6,77.7,15.9,0.0,0.0,0
2016-08-04,53.6,46.9,64.2,15.9,0.0,0.0,0
2016-08-05,54.1,46.9,65.3,15.9,0.0,0.0,0
2016-08-06,54.1,45.5,64.4,15.9,0.0,0.0,0
2016-08-07,58.8,42.3,76.8,15.9,0.5,0.0,0
2016-08-08,57.6,45.9,72.7,16.4,0.0,0.0,0
2016-08-09,57.7,44.1,80.2,16.4,0.0,0.0,0
2016-08-10,55.2,41.0,74.7,16.4,0.0,0.0,0
2016-08-11,55.0,41.5,72.7,16.4,0.4,0.0,0
2016-08-12,54.0,38.1,70.7,16.8,0.0,0.0,0
2016-08-13,56.3,39.2,73.2,16.8,0.0,0.0,0
2016-08-14,58.5,41.5,75.0,16.8,0.0,0.0,0
2016-08-15,56.8,42.6,75.4,16.8,0.0,0.0,0
2016-08-16,55.9,42.6,75.2,16.8,0.0,0.0,0
2016-08-17,56.3,40.6,75.4,16.8,0.0,0.0,0
2016-08-18,52.3,41.7,69.6,16.8,0.0,0.0,0
2016-08-19,49.8,39.7,63.7,16.8,0.3,0.0,0
2016-08-20,53.6,39.9,70.3,17.1,0.0,0.0,0
2016-08-21,56.8,38.1,76.8,17.1,0.0,0.0,0
2016-08-22,54.0,42.1,72.5,17.1,0.0,0.0,0
2016-08-23,52.5,39.4,66.6,17.1,0.0,0.0,0
2016-08-24,50.7,41.0,63.0,17.1,0.0,0.0,0
2016-08-25,48.2,36.9,67.8,17.1,0.1,0.0,0
2016-08-26,46.8,37.8,62.1,17.2,0.0,0.0,0
2016-08-27,51.6,35.6,70.3,17.2,0.0,0.0,0
2016-08-28,49.1,39.9,70.0,17.2,0.2,0.0,0
2016-08-29,50.9,39.9,68.0,17.4,0.0,0.0,0
2016-08-30,53.6,40.6,68.2,17.4,0.0,0.0,0
2016-08-31,56.3,40.5,74.3,17.4,0.0,0.0,0
2016-09-01,57.9,42.6,75.9,17.4,0.0,0.0,0
2016-09-02,53.2,44.8,65.3,17.4,0.1,0.0,0
2016-09-03,53.1,42.4,67.1,17.5,0.0,0.0,0
2016-09-04,53.4,41.2,69.8,17.5,0.0,0.0,0
2016-09-05,55.2,36.7,72.9,17.5,0.0,0.0,0
2016-09-06,56.7,40.1,72.7,17.5,0.0,0.0,0
2016-09-07,55.4,41.7,71.6,17.5,0.0,0.0,0
2016-09-08,55.6,36.9,73.8,17.5,0.0,0.0,0
2016-09-09,50.2,34.9,66.6,17.5,0.0,0.0,0
2016-09-10,51.6,30.2,71.2,17.5,0.0,0.0,0
2016-09-11,55.0,36.9,74.5,17.5,0.1,0.0,0
2016-09-12,54.3,40.6,70.7,17.6,0.0,0.0,0
2016-09-13,51.4,37.8,67.8,17.6,0.0,0.0,0
2016-09-14,50.7,37.4,67.6,17.6,0.0,0.0,0
2016-09-15,45.9,33.6,60.4,17.6,0.0,0.0,0
2016-09-16,46.4,30.9,63.1,17.6,0.0,0.0,0
2016-09-17,48.4,32.7,64.2,17.6,0.0,0.0,0
2016-09-18,52.2,33.6,71.2,17.6,0.0,0.0,0
2016-09-19,55.4,39.2,75.0,17.6,0.0,0.0,0
2016-09-20,54.9,43.0,70.9,17.6,0.0,0.0,0
2016-09-21,53.6,46.4,66.6,17.6,0.0,0.0,0
2016-09-22,57.7,41.5,74.3,17.6,0.0,0.0,0
2016-09-23,46.0,32.0,68.4,17.6,0.1,0.0,0
2016-09-24,37.6,30.0,46.2,17.7,0.1,0.0,0
2016-09-25,43.7,30.7,58.1,17.8,0.0,0.0,0
2016-09-26,48.2,30.0,66.0,17.8,0.0,0.0,0
2016-09-27,52.3,35.2,70.5,17.8,0.0,0.0,0
2016-09-28,54.0,36.7,73.2,17.8,0.0,0.0,0
2016-09-29,53.6,39.9,70.9,17.8,0.0,0.0,0
2016-09-30,46.0,38.3,54.3,17.8,0.0,0.0,0
