Date,Trapper Lake (827) Air Temperature Average (degF),Trapper Lake (827) Air Temperature Minimum (degF),Trapper Lake (827) Air Temperature Maximum (degF),Trapper Lake (827) Precipitation Accumulation (in) Start of Day Values,Trapper Lake (827) Precipitation Increment (in),Trapper Lake (827) Snow Water Equivalent (in) Start of Day Values,Trapper Lake (827) Snow Depth (in) Start of Day Values
2015-10-29,33.8,27.9,42.4,1.9,0.0,0.0,0
2015-10-30,27.5,19.9,35.1,1.9,0.0,0.0,0
2015-10-31,33.4,25.3,42.6,1.9,0.1,0.3,1
2015-11-01,40.5,28.8,48.6,2.0,0.1,0.3,1
2015-11-02,44.2,38.5,51.8,2.1,0.0,0.2,1
2015-11-03,41.2,32.5,46.2,2.1,0.0,0.0,0
2015-11-04,28.4,21.9,37.9,2.1,0.0,0.0,0
2015-11-05,19.4,16.9,22.1,2.1,0.1,0.4,1
2015-11-06,17.1,7.5,23.2,2.2,0.4,0.5,3
2015-11-07,20.5,5.9,47.5,2.6,0.1,0.8,7
2015-11-08,26.6,12.4,48.9,2.7,0.0,0.8,5
2015-11-09,32.9,20.3,42.3,2.7,0.3,0.8,5
2015-11-10,30.4,21.7,39.0,3.0,0.0,0.9,4
2015-11-11,14.9,6.8,23.4,3.0,0.2,1.1,7
2015-11-12,16.5,6.1,30.0,3.2,0.0,1.6,12
2015-11-13,23.7,9.5,52.2,3.2,0.2,1.6,12
2015-11-14,30.4,17.2,57.0,3.4,0.0,1.6,10
2015-11-15,32.0,21.6,40.6,3.4,0.1,1.6,9
2015-11-16,24.8,19.9,31.3,3.5,0.2,1.6,8
2015-11-17,17.1,13.8,20.8,3.7,0.0,2.3,17
2015-11-18,20.8,16.5,26.2,3.7,0.2,2.3,17
2015-11-19,26.8,19.9,32.5,3.9,0.2,2.3,14
2015-11-20,20.7,0.3,31.3,4.1,0.1,2.3,8
2015-11-21,12.0,-3.5,32.5,4.2,0.3,2.4,12
2015-11-22,24.6,9.3,44.8,4.5,0.2,2.4,12
2015-11-23,31.3,17.4,49.5,4.7,0.1,2.5,11
2015-11-24,33.1,28.8,39.9,4.8,0.0,2.5,11
2015-11-25,34.3,27.1,39.6,4.8,0.0,2.5,10
2015-11-26,20.8,7.5,30.2,4.8,0.0,2.2,7
2015-11-27,21.9,13.8,33.3,4.8,0.1,2.2,8
2015-11-28,14.7,5.4,25.7,4.9,0.0,2.3,10
2015-11-29,11.3,4.1,27.3,4.9,0.0,2.3,10
2015-11-30,3.6,-7.6,9.5,4.9,0.1,2.4,12
2015-12-01,7.2,-3.8,25.9,5.0,0.0,2.4,11
2015-12-02,16.7,2.8,32.2,5.0,0.1,2.4,12
2015-12-03,24.3,12.6,41.9,5.1,0.2,2.5,12
2015-12-04,34.0,27.9,40.1,5.3,0.1,2.5,11
2015-12-05,16.9,3.7,,5.4,0.0,2.4,10
2015-12-06,27.3,5.0,42.1,5.4,0.0,2.3,9
2015-12-07,30.7,18.0,41.0,5.4,0.0,2.3,9
2015-12-08,28.8,18.3,40.8,5.4,0.0,2.3,9
2015-12-09,32.7,16.9,43.9,5.4,0.1,2.3,8
2015-12-10,33.4,25.7,39.9,5.5,0.0,2.4,9
2015-12-11,23.7,19.2,,5.5,0.1,2.4,7
2015-12-12,16.5,2.3,21.4,5.6,0.0,2.5,14
2015-12-13,18.0,-0.9,43.2,5.6,0.3,2.5,14
2015-12-14,21.6,14.0,29.7,5.9,0.2,2.5,12
2015-12-15,7.7,3.4,20.3,6.1,0.4,2.9,16
2015-12-16,5.2,2.1,12.6,6.5,0.2,3.3,18
2015-12-17,4.5,-4.4,12.2,6.7,0.1,3.5,19
2015-12-18,19.6,9.9,30.2,6.8,0.2,3.7,20
2015-12-19,32.5,25.7,38.8,7.0,0.0,3.9,20
2015-12-20,23.4,17.2,,7.0,0.0,3.9,16
2015-12-21,20.1,16.9,25.9,7.0,0.1,3.9,18
2015-12-22,22.3,15.1,27.5,7.1,0.7,4.0,18
2015-12-23,10.6,3.9,19.4,7.8,0.3,4.2,20
2015-12-24,7.5,3.0,13.3,8.1,0.0,4.3,21
2015-12-25,10.9,-2.0,20.1,8.1,0.3,4.3,19
2015-12-26,3.2,-8.9,16.2,8.4,0.1,4.6,20
2015-12-27,14.9,0.7,30.7,8.5,0.0,4.7,21
2015-12-28,14.9,6.1,23.2,8.5,0.1,4.8,20
2015-12-29,11.1,5.2,20.5,8.6,0.0,4.9,20
2015-12-30,3.7,-4.7,8.6,8.6,0.0,4.9,21
2015-12-31,0.9,-10.7,27.1,8.6,0.0,5.0,21
2016-01-01,7.9,-7.4,38.8,8.6,0.1,5.0,21
2016-01-02,16.3,-1.7,37.8,8.7,0.3,5.0,21
2016-01-03,25.2,12.7,47.1,9.0,0.1,5.1,20
2016-01-04,29.5,19.9,,9.1,0.0,5.2,20
2016-01-05,23.7,13.8,34.7,9.1,0.0,5.2,20
2016-01-06,24.4,19.6,34.9,9.1,0.1,5.2,20
2016-01-07,19.6,12.7,24.4,9.2,0.0,5.3,21
2016-01-08,14.9,4.5,30.4,9.2,0.0,5.6,28
2016-01-09,10.6,4.3,19.2,9.2,0.0,5.6,22
2016-01-10,7.2,-5.1,24.8,9.2,0.0,5.6,26
2016-01-11,7.7,-6.5,34.0,9.2,0.0,5.6,23
2016-01-12,14.7,1.0,35.8,9.2,0.0,5.6,24
2016-01-13,23.5,9.0,41.9,9.2,0.2,5.6,23
2016-01-14,16.9,11.8,25.3,9.4,0.0,5.6,21
2016-01-15,12.9,9.3,18.3,9.4,0.0,5.7,23
2016-01-16,11.7,5.9,18.3,9.4,0.3,6.0,26
2016-01-17,17.2,6.6,25.3,9.7,0.3,6.4,28
2016-01-18,23.9,17.2,36.9,10.0,0.2,6.8,33
2016-01-19,21.7,13.1,40.1,10.2,0.1,7.0,30
2016-01-20,15.6,9.1,23.0,10.3,0.4,7.0,32
2016-01-21,14.2,3.6,35.1,10.7,0.0,7.5,35
2016-01-22,27.1,9.5,58.8,10.7,0.2,7.5,34
2016-01-23,31.3,15.8,40.6,10.9,0.0,7.5,32
2016-01-24,20.7,13.3,29.7,10.9,0.1,7.5,30
2016-01-25,10.6,1.0,19.9,11.0,0.0,7.8,33
2016-01-26,9.9,-2.7,36.5,11.0,0.0,7.9,34
2016-01-27,20.1,5.2,,11.0,0.2,7.9,34
2016-01-28,25.5,12.4,51.3,11.2,0.1,8.0,32
2016-01-29,27.1,20.1,40.1,11.3,0.1,8.1,31
2016-01-30,26.6,10.6,35.2,11.4,0.6,8.2,32
2016-01-31,13.8,2.5,24.4,12.0,0.3,8.9,39
2016-02-01,15.6,3.7,29.8,12.3,0.2,9.2,42
2016-02-02,5.0,-2.9,23.4,12.5,0.0,9.5,42
2016-02-03,-1.8,-8.7,,12.5,0.1,9.6,41
2016-02-04,5.2,-8.7,,12.6,0.5,9.6,41
2016-02-05,8.1,-0.4,24.1,13.1,0.0,9.9,40
2016-02-06,16.7,0.9,34.9,13.1,0.0,10.0,42
2016-02-07,19.4,7.5,29.8,13.1,0.0,10.0,41
2016-02-08,20.1,6.3,43.2,13.1,0.0,10.0,40
2016-02-09,24.4,8.1,55.0,13.1,0.0,10.0,39
2016-02-10,29.1,16.5,51.3,13.1,0.0,10.0,37
2016-02-11,29.1,16.7,43.9,13.1,0.0,10.0,38
2016-02-12,33.8,20.5,53.1,13.1,0.0,10.0,37
2016-02-13,31.3,13.3,43.0,13.1,0.0,10.0,37
2016-02-14,21.9,11.3,29.1,13.1,0.1,10.0,36
2016-02-15,26.8,21.0,33.1,13.2,0.2,10.1,37
2016-02-16,29.1,20.1,44.8,13.4,0.0,10.3,37
2016-02-17,37.9,18.7,48.2,13.4,0.0,10.2,37
2016-02-18,30.4,13.8,42.1,13.4,0.0,10.1,35
2016-02-19,28.0,7.9,45.5,13.4,0.0,10.0,35
2016-02-20,29.8,16.3,41.4,13.4,0.0,10.0,34
2016-02-21,25.9,12.2,41.4,13.4,0.0,9.9,34
2016-02-22,18.3,11.3,28.8,13.4,0.0,9.9,34
2016-02-23,15.4,1.6,32.5,13.4,0.0,9.9,32
2016-02-24,16.3,0.1,30.7,13.4,0.0,9.9,34
2016-02-25,23.9,8.8,42.8,13.4,0.1,10.0,34
2016-02-26,28.8,12.7,52.9,13.5,0.0,10.1,34
2016-02-27,33.8,21.6,48.2,13.5,0.0,10.0,34
2016-02-28,27.0,10.2,51.3,13.5,0.0,9.9,33
2016-02-29,26.2,18.0,36.1,13.5,0.0,9.9,33
2016-03-01,27.3,11.3,38.3,13.5,0.0,9.9,33
2016-03-02,29.7,17.2,36.1,13.5,0.0,9.9,32
2016-03-03,31.8,14.0,50.2,13.5,0.0,9.9,32
2016-03-04,33.4,20.5,50.7,13.5,0.0,9.9,32
2016-03-05,38.3,28.8,48.6,13.5,0.0,9.9,32
2016-03-06,33.1,28.8,36.7,13.5,0.1,9.9,31
2016-03-07,22.5,11.5,30.9,13.6,0.1,9.9,30
2016-03-08,19.9,8.1,39.4,13.7,0.0,10.2,33
2016-03-09,21.4,9.7,31.8,13.7,0.0,10.2,33
2016-03-10,30.6,13.8,53.2,13.7,0.2,10.3,35
2016-03-11,40.3,29.3,54.0,13.9,0.0,10.4,34
2016-03-12,36.5,27.3,45.7,13.9,0.0,10.4,31
2016-03-13,32.4,19.0,46.6,13.9,0.0,10.1,31
2016-03-14,25.3,13.1,36.3,13.9,0.3,10.0,32
2016-03-15,15.1,10.4,23.0,14.2,0.3,10.6,38
2016-03-16,16.3,5.5,23.4,14.5,0.2,11.0,41
2016-03-17,21.7,12.7,32.4,14.7,0.0,11.3,42
2016-03-18,15.1,4.3,24.4,14.7,0.1,11.4,39
2016-03-19,16.9,7.9,28.8,14.8,0.0,11.4,39
2016-03-20,30.4,9.5,45.9,14.8,0.2,11.4,38
2016-03-21,41.4,35.1,47.8,15.0,0.0,11.5,37
2016-03-22,31.3,17.4,41.2,15.0,0.1,11.5,35
2016-03-23,18.3,15.3,25.9,15.1,0.4,11.6,36
2016-03-24,22.5,14.9,34.5,15.5,0.0,12.2,44
2016-03-25,16.5,2.3,25.0,15.5,0.4,12.3,41
2016-03-26,12.9,-2.0,28.4,15.9,0.1,12.9,46
2016-03-27,23.5,-2.0,39.6,16.0,0.2,12.9,46
2016-03-28,34.9,28.8,42.6,16.2,0.0,13.0,43
2016-03-29,27.9,16.5,39.2,16.2,0.0,13.0,42
2016-03-30,17.4,10.2,27.1,16.2,0.0,13.0,41
2016-03-31,17.8,3.6,35.2,16.2,0.2,13.0,42
2016-04-01,18.7,2.3,43.9,16.4,0.1,13.2,45
2016-04-02,30.2,11.5,52.2,16.5,0.2,13.3,42
2016-04-03,34.5,20.3,46.2,16.7,0.0,13.3,41
2016-04-04,40.5,25.7,55.6,16.7,0.0,13.3,39
2016-04-05,28.4,19.6,40.5,16.7,0.0,13.3,37
2016-04-06,32.5,14.5,49.5,16.7,0.0,13.4,39
2016-04-07,37.2,22.1,59.7,16.7,0.0,13.3,38
2016-04-08,42.6,30.0,55.9,16.7,0.0,13.1,37
2016-04-09,37.9,33.8,48.9,16.7,0.0,12.9,35
2016-04-10,34.9,25.9,51.8,16.7,0.1,12.8,35
2016-04-11,35.8,25.3,52.9,16.8,0.0,12.9,33
2016-04-12,36.5,27.5,60.1,16.8,0.0,12.8,33
2016-04-13,41.2,27.5,,16.8,0.0,12.6,31
2016-04-14,37.8,22.3,47.5,16.8,0.0,12.4,31
2016-04-15,25.3,22.3,34.9,16.8,0.8,11.9,28
2016-04-16,23.4,19.2,31.6,17.6,0.2,12.7,36
2016-04-17,23.5,16.3,43.5,17.8,0.1,13.0,38
2016-04-18,24.3,13.6,34.7,17.9,0.1,13.0,34
2016-04-19,25.9,10.6,49.1,18.0,0.1,13.0,34
2016-04-20,33.3,25.0,45.5,18.1,0.0,13.2,32
2016-04-21,40.6,22.6,61.9,18.1,0.0,13.0,31
2016-04-22,48.2,37.4,56.5,18.1,0.0,12.8,30
2016-04-23,38.8,26.2,48.2,18.1,0.0,12.1,27
2016-04-24,32.9,25.2,43.5,18.1,0.1,11.9,27
2016-04-25,34.9,25.0,45.0,18.2,0.2,12.0,28
2016-04-26,25.9,21.6,37.9,18.4,0.2,12.0,30
2016-04-27,27.7,21.6,43.9,18.6,0.1,12.1,32
2016-04-28,30.7,24.4,51.1,18.7,0.3,12.2,28
2016-04-29,29.1,24.1,34.5,19.0,0.3,12.5,30
2016-04-30,26.4,21.4,40.5,19.3,0.0,13.0,34
2016-05-01,30.0,20.8,45.7,19.3,0.1,13.1,35
2016-05-02,34.7,22.6,49.6,19.4,0.0,12.8,31
2016-05-03,38.8,22.6,61.3,19.4,0.0,12.4,29
2016-05-04,46.2,30.4,66.9,19.4,0.0,12.2,27
2016-05-05,50.7,35.8,68.0,19.4,0.0,11.3,25
2016-05-06,45.0,34.0,58.8,19.4,0.1,10.6,23
2016-05-07,33.1,28.8,42.3,19.5,0.0,9.7,19
2016-05-08,32.2,28.8,38.7,19.5,0.3,9.8,21
2016-05-09,34.9,29.1,46.6,19.8,0.7,10.1,22
2016-05-10,32.2,23.9,45.9,20.5,0.4,10.9,25
2016-05-11,30.9,17.4,41.9,20.9,0.0,10.9,25
2016-05-12,41.2,21.9,55.6,20.9,0.2,10.8,24
2016-05-13,48.9,33.1,60.1,21.1,0.0,10.4,22
2016-05-14,49.6,39.6,63.7,21.1,0.0,9.5,20
2016-05-15,42.3,32.7,51.6,21.1,0.0,8.6,16
2016-05-16,35.2,29.7,,21.1,0.2,7.7,16
2016-05-17,37.8,30.6,47.7,21.3,0.2,7.8,16
2016-05-18,37.4,29.3,52.5,21.5,0.0,7.2,14
2016-05-19,43.0,30.0,54.1,21.5,0.1,6.8,14
2016-05-20,48.9,42.1,58.3,21.6,0.1,6.1,12
2016-05-21,50.7,44.1,57.9,21.7,0.0,4.9,8
2016-05-22,40.3,26.8,48.6,21.7,0.0,3.6,5
2016-05-23,39.4,25.2,48.6,21.7,0.0,2.5,4
2016-05-24,44.6,32.5,52.9,21.7,0.0,1.7,3
2016-05-25,40.5,30.0,49.5,21.7,0.0,0.9,2
2016-05-26,38.3,29.1,50.4,21.7,0.1,0.2,1
2016-05-27,35.1,28.8,48.2,21.8,0.0,0.0,0
2016-05-28,40.1,28.0,49.5,21.8,0.3,0.0,0
2016-05-29,44.8,34.3,54.1,22.1,0.1,0.0,0
2016-05-30,45.9,35.2,55.8,22.2,0.0,0.0,0
2016-05-31,44.6,32.2,54.3,22.2,0.0,0.0,0
2016-06-01,47.7,34.5,58.8,22.2,0.1,0.0,0
2016-06-02,51.3,36.5,62.8,22.3,0.1,0.0,0
2016-06-03,52.0,40.6,61.7,22.4,0.1,0.0,0
2016-06-04,54.0,39.6,68.4,22.5,0.0,0.0,0
2016-06-05,56.5,41.9,68.0,22.5,0.1,0.0,0
2016-06-06,55.0,43.5,69.6,22.6,0.0,0.0,0
2016-06-07,57.9,43.9,69.4,22.6,0.0,0.0,0
2016-06-08,53.4,43.5,63.7,22.6,0.0,0.0,0
2016-06-09,57.7,41.0,72.3,22.6,0.0,0.0,0
2016-06-10,61.5,49.8,71.8,22.6,0.0,0.0,0
2016-06-11,58.8,42.8,70.0,22.6,0.0,0.0,0
2016-06-12,54.0,40.1,65.1,22.6,0.0,0.0,0
2016-06-13,49.1,38.1,57.6,22.6,0.0,0.0,0
2016-06-14,49.5,36.5,58.8,22.6,0.0,0.0,0
2016-06-15,58.6,45.5,67.3,22.6,0.0,0.0,0
2016-06-16,56.8,47.3,65.8,22.6,0.0,0.0,0
2016-06-17,59.2,44.1,70.5,22.6,0.0,0.0,0
2016-06-18,61.2,43.2,74.1,22.6,0.0,0.0,0
2016-06-19,64.8,52.0,74.3,22.6,0.1,0.0,0
2016-06-20,65.7,50.2,77.4,22.7,0.0,0.0,0
2016-06-21,66.4,49.6,78.4,22.7,0.0,0.0,0
2016-06-22,59.4,47.5,73.8,22.7,0.0,0.0,0
2016-06-23,59.5,53.1,70.5,22.7,0.0,0.0,0
2016-06-24,62.1,50.7,72.0,22.7,0.0,0.0,0
2016-06-25,57.4,45.9,67.3,22.7,0.0,0.0,0
2016-06-26,58.8,42.4,70.3,22.7,0.0,0.0,0
2016-06-27,61.0,43.5,72.3,22.7,0.0,0.0,0
2016-06-28,63.5,49.3,74.5,22.7,0.0,0.0,0
2016-06-29,56.8,47.3,69.4,22.7,0.0,0.0,0
2016-06-30,54.3,47.8,63.5,22.7,0.0,0.0,0
2016-07-01,50.7,46.4,57.6,22.7,0.0,0.0,0
2016-07-02,51.3,45.0,63.0,22.7,0.0,0.0,0
2016-07-03,52.9,44.8,64.8,22.7,0.3,0.0,0
2016-07-04,56.8,42.4,67.1,23.0,0.2,0.0,0
2016-07-05,61.0,47.5,68.0,23.2,0.1,0.0,0
2016-07-06,62.2,57.0,68.4,23.3,0.0,0.0,0
2016-07-07,59.0,47.1,68.5,23.3,0.0,0.0,0
2016-07-08,61.5,47.1,71.6,23.3,0.0,0.0,0
2016-07-09,63.7,53.6,72.0,23.3,0.0,0.0,0
2016-07-10,63.5,48.4,70.3,23.3,0.0,0.0,0
2016-07-11,51.1,37.9,61.7,23.3,0.0,0.0,0
2016-07-12,58.5,42.8,67.6,23.3,0.0,0.0,0
2016-07-13,57.0,40.8,69.4,23.3,0.0,0.0,0
2016-07-14,57.2,40.1,70.0,23.3,0.0,0.0,0
2016-07-15,59.5,42.3,71.2,23.3,0.0,0.0,0
2016-07-16,62.6,51.6,71.8,23.3,0.0,0.0,0
2016-07-17,63.7,51.4,72.9,23.3,0.0,0.0,0
2016-07-18,59.5,50.7,66.0,23.3,0.0,0.0,0
2016-07-19,57.6,48.9,68.2,23.3,0.0,0.0,0
2016-07-20,57.4,48.6,66.4,23.3,0.0,0.0,0
2016-07-21,55.9,47.1,68.2,23.3,0.0,0.0,0
2016-07-22,60.4,49.1,72.0,23.3,0.0,0.0,0
2016-07-23,60.6,48.4,72.5,23.3,0.0,0.0,0
2016-07-24,61.7,48.6,73.0,23.3,0.0,0.0,0
2016-07-25,62.8,47.7,74.1,23.3,0.0,0.0,0
2016-07-26,60.6,50.9,73.2,23.3,0.0,0.0,0
2016-07-27,61.9,45.5,75.2,23.3,0.0,0.0,0
2016-07-28,62.6,46.0,76.3,23.3,0.0,0.0,0
2016-07-29,61.3,45.5,73.4,23.3,0.0,0.0,0
2016-07-30,61.3,46.6,73.8,23.3,0.0,0.0,0
2016-07-31,58.8,49.6,67.1,23.3,0.0,0.0,0
2016-08-01,59.5,44.4,72.0,23.3,0.0,0.0,0
2016-08-02,57.7,48.4,71.6,23.3,0.0,0.0,0
2016-08-03,61.0,50.4,72.7,23.3,0.0,0.0,0
2016-08-04,52.7,49.3,57.6,23.3,0.0,0.0,0
2016-08-05,54.9,50.7,60.1,23.3,0.0,0.0,0
2016-08-06,53.2,47.1,64.0,23.3,0.3,0.0,0
2016-08-07,58.3,46.0,70.0,23.6,0.3,0.0,0
2016-08-08,56.5,46.0,67.5,23.9,0.0,0.0,0
2016-08-09,61.3,54.9,70.5,23.9,0.0,0.0,0
2016-08-10,59.0,51.4,66.2,23.9,0.0,0.0,0
2016-08-11,51.6,41.2,63.3,23.9,0.0,0.0,0
2016-08-12,51.4,37.8,63.7,23.9,0.2,0.0,0
2016-08-13,55.2,41.2,68.5,24.1,0.0,0.0,0
2016-08-14,57.0,42.3,70.0,24.1,0.0,0.0,0
2016-08-15,58.3,43.9,71.1,24.1,0.0,0.0,0
2016-08-16,55.8,45.5,69.4,24.1,0.0,0.0,0
2016-08-17,54.1,43.0,67.6,24.1,0.0,0.0,0
2016-08-18,51.8,42.3,64.4,24.1,0.0,0.0,0
2016-08-19,52.0,39.4,65.5,24.1,0.0,0.0,0
2016-08-20,52.2,40.1,63.3,24.1,0.0,0.0,0
2016-08-21,57.0,39.4,71.1,24.1,0.0,0.0,0
2016-08-22,53.6,42.4,63.3,24.1,0.0,0.0,0
2016-08-23,49.3,39.6,61.9,24.1,0.0,0.0,0
2016-08-24,54.3,,,24.1,0.0,0.0,0
2016-08-25,49.1,39.0,,24.1,0.0,0.0,0
2016-08-26,45.7,28.4,57.7,24.1,0.1,0.0,0
2016-08-27,50.4,,62.2,24.2,0.0,0.0,0
2016-08-28,49.1,31.8,,24.2,0.0,0.0,0
2016-08-29,52.0,,68.0,24.2,0.0,0.0,0
2016-08-30,55.0,39.9,67.1,24.2,0.0,0.0,0
2016-08-31,56.8,38.5,,24.2,0.0,0.0,0
2016-09-01,57.2,45.7,,24.2,0.0,0.0,0
2016-09-02,52.9,45.3,,24.2,0.1,0.0,0
2016-09-03,53.8,46.4,,24.3,0.0,0.0,0
2016-09-04,54.0,,,24.3,0.0,0.0,0
2016-09-05,53.8,40.8,,24.3,0.0,0.0,0
2016-09-06,55.2,,,24.3,0.0,0.0,0
2016-09-07,54.0,,65.5,24.3,0.0,0.0,0
2016-09-08,54.7,38.7,,24.3,0.0,0.0,0
2016-09-09,46.0,32.4,,24.3,0.0,0.0,0
2016-09-10,52.5,32.4,,24.3,0.0,0.0,0
2016-09-11,57.4,46.8,,24.3,0.0,0.0,0
2016-09-12,52.7,43.0,,24.3,0.0,0.0,0
2016-09-13,49.5,37.2,,24.3,0.0,0.0,0
2016-09-14,47.8,40.1,,24.3,0.0,0.0,0
2016-09-15,40.8,25.9,,24.3,0.0,0.0,0
2016-09-16,42.6,30.2,,24.3,0.1,0.0,0
2016-09-17,45.9,31.8,,24.4,0.0,0.0,0
2016-09-18,52.0,35.1,,24.4,0.1,0.0,0
2016-09-19,57.6,39.4,,24.5,0.0,0.0,0
2016-09-20,55.0,,,24.5,0.0,0.0,0
2016-09-21,50.4,45.0,,24.5,0.1,0.0,0
2016-09-22,55.8,,,24.6,0.0,0.0,0
2016-09-23,36.0,,,24.6,0.0,0.0,0
2016-09-24,31.6,,,24.6,0.0,0.0,0
2016-09-25,38.1,19.6,,24.6,0.1,0.0,0
2016-09-26,45.9,32.0,,24.7,0.2,0.0,0
2016-09-27,49.6,36.3,,24.9,0.1,0.0,0
2016-09-28,54.1,32.4,,25.0,0.0,0.0,0
2016-09-29,48.9,31.5,,25.0,0.0,0.0,0
2016-09-30,44.4,,,25.0,0.0,0.0,0
