Date,Michigan Creek (937) Air Temperature Average (degF),Michigan Creek (937) Air Temperature Minimum (degF),Michigan Creek (937) Air Temperature Maximum (degF),Michigan Creek (937) Precipitation Accumulation (in) Start of Day Values,Michigan Creek (937) Precipitation Increment (in),Michigan Creek (937) Snow Water Equivalent (in) Start of Day Values,Michigan Creek (937) Snow Depth (in) Start of Day Values
2016-04-29,23.5,18.9,30.0,18.7,0.8,11.9,40
2016-04-30,22.3,11.1,32.5,19.5,0.3,12.6,47
2016-05-01,19.2,8.2,29.1,19.8,0.0,12.9,49
2016-05-02,29.8,8.1,43.9,19.8,0.0,13.0,49
2016-05-03,35.2,24.3,51.6,19.8,0.0,12.8,43
2016-05-04,40.1,23.5,58.8,19.8,0.0,12.6,40
2016-05-05,43.9,27.5,62.6,19.8,0.1,12.4,38
2016-05-06,41.0,29.5,58.5,19.9,0.0,12.0,36
2016-05-07,34.0,23.4,46.2,19.9,0.0,11.8,36
2016-05-08,32.0,22.6,46.8,19.9,0.2,11.6,35
2016-05-09,34.7,26.8,43.0,20.1,0.2,11.7,37
2016-05-10,34.2,24.3,44.6,20.3,0.1,11.7,35
2016-05-11,31.6,19.0,42.1,20.4,0.0,11.8,35
2016-05-12,38.8,26.4,52.5,20.4,0.0,11.5,34
2016-05-13,43.2,28.8,57.2,20.4,0.0,11.1,31
2016-05-14,40.5,27.1,59.4,20.4,0.0,10.5,31
2016-05-15,36.9,29.7,50.4,20.4,0.1,9.9,29
2016-05-16,32.9,26.8,44.4,20.5,0.5,9.6,28
2016-05-17,30.2,25.7,36.7,21.0,0.0,10.0,28
2016-05-18,34.7,25.5,49.3,21.0,0.4,10.0,30
2016-05-19,37.4,28.8,52.0,21.4,0.0,10.1,30
2016-05-20,41.7,28.8,56.8,21.4,0.0,9.7,28
2016-05-21,44.2,28.8,60.8,21.4,0.0,9.3,27
2016-05-22,42.3,28.2,59.7,21.4,0.0,8.5,25
2016-05-23,36.7,26.6,51.4,21.4,0.0,7.9,23
2016-05-24,39.9,25.5,57.9,21.4,0.0,7.6,23
2016-05-25,39.0,27.3,52.9,21.4,0.0,7.1,21
2016-05-26,35.2,24.6,53.4,21.4,0.0,6.4,20
2016-05-27,34.0,29.5,45.3,21.4,0.1,6.3,20
2016-05-28,38.1,28.8,50.4,21.5,0.0,6.2,20
2016-05-29,40.3,27.0,57.6,21.5,0.0,5.6,19
2016-05-30,41.9,27.7,57.4,21.5,0.0,4.7,16
2016-05-31,40.6,28.2,56.8,21.5,0.0,3.9,16
2016-06-01,42.6,30.0,58.5,21.5,0.0,3.1,14
2016-06-02,46.0,29.5,60.8,21.5,0.0,2.4,11
2016-06-03,48.4,36.7,60.8,21.5,0.0,1.6,7
2016-06-04,48.6,34.2,66.6,21.5,0.0,1.0,3
2016-06-05,49.5,34.3,67.5,21.5,0.0,0.4,1
2016-06-06,48.9,34.5,68.4,21.5,0.0,0.0,0
2016-06-07,49.1,32.4,69.8,21.5,0.0,0.0,0
2016-06-08,48.9,32.5,67.5,21.5,0.0,0.0,0
2016-06-09,53.2,39.4,70.0,21.5,0.0,0.0,0
2016-06-10,54.9,36.7,73.8,21.5,0.0,0.0,0
2016-06-11,55.2,36.5,74.8,21.5,0.0,0.0,0
2016-06-12,49.5,35.6,67.5,21.5,0.1,0.0,0
2016-06-13,44.4,32.7,63.5,21.6,0.2,0.0,0
2016-06-14,44.2,33.1,59.2,21.8,0.0,0.0,0
2016-06-15,50.9,30.0,72.7,21.8,0.0,0.0,0
2016-06-16,55.8,35.2,72.9,21.8,0.0,0.0,0
2016-06-17,54.7,40.5,72.5,21.8,0.0,0.0,0
2016-06-18,57.0,37.4,77.4,21.8,0.0,0.0,0
2016-06-19,59.9,39.0,78.8,21.8,0.0,0.0,0
2016-06-20,56.8,42.6,79.2,21.8,0.5,0.0,0
2016-06-21,58.6,40.5,76.1,22.3,0.0,0.0,0
2016-06-22,55.0,40.3,71.6,22.3,0.4,0.0,0
2016-06-23,51.1,41.0,65.1,22.7,0.1,0.0,0
2016-06-24,50.9,39.2,68.5,22.8,0.0,0.0,0
2016-06-25,55.9,39.2,70.7,22.8,0.0,0.0,0
2016-06-26,54.3,35.6,71.8,22.8,0.0,0.0,0
2016-06-27,55.4,36.5,72.3,22.8,0.0,0.0,0
2016-06-28,55.4,36.3,76.1,22.8,0.0,0.0,0
2016-06-29,55.4,39.6,71.2,22.8,0.1,0.0,0
2016-06-30,49.8,43.2,59.5,22.9,0.8,0.0,0
2016-07-01,48.2,44.4,54.7,23.7,0.2,0.0,0
2016-07-02,48.0,42.8,60.4,23.9,0.1,0.0,0
2016-07-03,51.4,43.2,64.4,24.0,0.0,0.0,0
2016-07-04,54.3,42.4,69.8,24.0,0.0,0.0,0
2016-07-05,54.1,41.9,67.5,24.0,0.0,0.0,0
2016-07-06,57.0,39.6,71.6,24.0,0.0,0.0,0
2016-07-07,57.2,41.9,70.2,24.0,0.0,0.0,0
2016-07-08,54.0,38.5,69.1,24.0,0.0,0.0,0
2016-07-09,57.4,37.0,74.5,24.0,0.0,0.0,0
2016-07-10,63.0,52.2,75.9,24.0,0.0,0.0,0
2016-07-11,54.0,36.0,66.2,24.0,0.0,0.0,0
2016-07-12,53.1,32.5,71.4,24.0,0.0,0.0,0
2016-07-13,56.5,38.7,71.8,24.0,0.0,0.0,0
2016-07-14,54.3,38.7,71.8,24.0,0.0,0.0,0
2016-07-15,54.0,36.3,70.0,24.0,0.0,0.0,0
2016-07-16,57.6,40.6,73.6,24.0,0.0,0.0,0
2016-07-17,57.2,41.4,73.4,24.0,0.0,0.0,0
2016-07-18,53.1,40.5,69.1,24.0,0.0,0.0,0
2016-07-19,57.6,44.4,73.9,24.0,0.0,0.0,0
2016-07-20,52.5,42.4,71.2,24.0,1.0,0.0,0
2016-07-21,53.4,43.7,67.6,25.0,0.1,0.0,0
2016-07-22,56.8,40.8,71.6,25.1,0.0,0.0,0
2016-07-23,58.8,43.5,74.7,25.1,0.0,0.0,0
2016-07-24,55.2,40.8,71.6,25.1,0.1,0.0,0
2016-07-25,55.4,38.5,71.2,25.2,0.0,0.0,0
2016-07-26,54.1,39.6,68.9,25.2,0.0,0.0,0
2016-07-27,57.2,42.4,74.7,25.2,0.0,0.0,0
2016-07-28,57.4,40.3,74.7,25.2,0.0,0.0,0
2016-07-29,57.0,39.6,72.3,25.2,0.0,0.0,0
2016-07-30,58.3,42.8,74.7,25.2,0.0,0.0,0
2016-07-31,52.2,42.4,68.0,25.2,0.3,0.0,0
2016-08-01,55.8,40.3,70.5,25.5,0.0,0.0,0
2016-08-02,55.4,41.4,73.0,25.5,0.0,0.0,0
2016-08-03,57.7,41.2,76.6,25.5,0.0,0.0,0
2016-08-04,51.1,43.7,58.6,25.5,0.2,0.0,0
2016-08-05,47.3,43.2,52.0,25.7,0.1,0.0,0
2016-08-06,50.7,41.0,62.1,25.8,0.0,0.0,0
2016-08-07,52.2,39.2,68.9,25.8,0.0,0.0,0
2016-08-08,50.7,39.4,66.4,25.8,0.0,0.0,0
2016-08-09,51.4,37.8,71.1,25.8,0.0,0.0,0
2016-08-10,52.2,39.4,68.4,25.8,0.0,0.0,0
2016-08-11,57.0,40.1,66.6,25.8,0.0,0.0,0
2016-08-12,48.9,34.5,65.3,25.8,0.0,0.0,0
2016-08-13,48.2,32.0,68.0,25.8,0.0,0.0,0
2016-08-14,51.1,32.2,69.6,25.8,0.0,0.0,0
2016-08-15,52.2,35.6,71.4,25.8,0.0,0.0,0
2016-08-16,49.3,35.2,66.6,25.8,0.1,0.0,0
2016-08-17,50.7,37.0,68.5,25.9,0.0,0.0,0
2016-08-18,48.6,36.1,63.5,25.9,0.0,0.0,0
2016-08-19,47.7,34.2,62.8,25.9,0.0,0.0,0
2016-08-20,48.2,34.3,64.2,25.9,0.0,0.0,0
2016-08-21,50.4,32.4,69.4,25.9,0.0,0.0,0
2016-08-22,51.6,38.7,64.4,25.9,0.0,0.0,0
2016-08-23,45.7,36.0,60.6,25.9,0.7,0.0,0
2016-08-24,40.6,35.6,50.4,26.6,0.5,0.0,0
2016-08-25,41.2,31.8,54.7,27.1,0.2,0.0,0
2016-08-26,42.6,34.3,56.5,27.3,0.0,0.0,0
2016-08-27,45.3,32.4,59.4,27.3,0.0,0.0,0
2016-08-28,45.7,37.2,62.1,27.3,0.0,0.0,0
2016-08-29,42.6,34.7,59.9,27.3,0.1,0.0,0
2016-08-30,44.4,33.1,62.6,27.4,0.1,0.0,0
2016-08-31,49.3,32.7,68.0,27.5,0.0,0.0,0
2016-09-01,50.7,37.0,68.0,27.5,0.0,0.0,0
2016-09-02,46.6,37.8,59.7,27.5,0.1,0.0,0
2016-09-03,48.4,37.0,64.4,27.6,0.0,0.0,0
2016-09-04,46.0,34.2,65.1,27.6,0.0,0.0,0
2016-09-05,47.7,30.0,67.6,27.6,0.0,0.0,0
2016-09-06,49.5,34.0,66.0,27.6,0.0,0.0,0
2016-09-07,51.1,39.4,65.8,27.6,0.0,0.0,0
2016-09-08,53.1,38.7,66.6,27.6,0.0,0.0,0
2016-09-09,48.0,28.8,62.6,27.6,0.0,0.0,0
2016-09-10,47.1,27.9,66.9,27.6,0.0,0.0,0
2016-09-11,51.4,34.7,67.3,27.6,0.0,0.0,0
2016-09-12,47.8,35.1,63.0,27.6,0.1,0.0,0
2016-09-13,41.9,36.5,53.8,27.7,0.1,0.0,0
2016-09-14,44.2,32.7,59.5,27.8,0.0,0.0,0
2016-09-15,41.0,29.5,57.0,27.8,0.0,0.0,0
2016-09-16,40.1,26.6,58.5,27.8,0.0,0.0,0
2016-09-17,43.5,28.2,57.6,27.8,0.0,0.0,0
2016-09-18,51.3,41.9,63.9,27.8,0.0,0.0,0
2016-09-19,53.4,39.6,68.0,27.8,0.0,0.0,0
2016-09-20,50.4,37.2,63.5,27.8,0.0,0.0,0
2016-09-21,45.0,34.3,61.3,27.8,0.0,0.0,0
2016-09-22,47.5,33.1,63.1,27.8,0.0,0.0,0
2016-09-23,40.3,25.9,60.1,27.8,0.2,0.0,0
2016-09-24,31.6,20.7,40.5,28.0,0.0,0.0,0
2016-09-25,36.9,27.9,53.2,28.0,0.0,0.0,0
2016-09-26,41.4,25.7,62.6,28.0,0.0,0.0,0
2016-09-27,45.7,29.1,65.5,28.0,0.0,0.0,0
2016-09-28,45.0,30.4,64.8,28.0,0.0,0.0,0
2016-09-29,45.3,30.6,65.7,28.0,0.0,0.0,0
2016-09-30,44.4,32.9,56.7,28.0,0.0,0.0,0
