Date,Beartown (327) Air Temperature Average (degF),Beartown (327) Air Temperature Minimum (degF),Beartown (327) Air Temperature Maximum (degF),Beartown (327) Precipitation Accumulation (in) Start of Day Values,Beartown (327) Precipitation Increment (in),Beartown (327) Snow Water Equivalent (in) Start of Day Values,Beartown (327) Snow Depth (in) Start of Day Values
2015-12-09,30.9,21.6,47.1,9.1,0.0,5.5,23
2015-12-10,28.8,19.4,40.1,9.1,0.1,5.5,22
2015-12-11,22.3,18.3,26.8,9.2,0.1,5.5,21
2015-12-12,16.9,6.4,23.7,9.3,0.6,5.8,26
2015-12-13,19.8,8.1,36.0,9.9,0.2,6.5,34
2015-12-14,11.8,0.7,23.4,10.1,0.3,6.6,32
2015-12-15,0.7,-7.6,10.6,10.4,0.0,7.2,39
2015-12-16,2.7,-7.6,18.3,10.4,0.3,7.2,35
2015-12-17,7.5,-1.3,19.6,10.7,0.1,7.4,34
2015-12-18,23.9,14.2,36.1,10.8,0.2,7.4,33
2015-12-19,25.0,18.3,35.6,11.0,0.0,7.5,32
2015-12-20,14.9,7.0,25.0,11.0,0.4,7.6,31
2015-12-21,14.9,5.7,25.5,11.4,0.2,8.0,37
2015-12-22,16.3,13.1,21.9,11.6,0.7,8.6,41
2015-12-23,7.7,-12.5,15.4,12.3,0.3,9.5,46
2015-12-24,4.5,-12.6,12.9,12.6,0.4,9.8,48
2015-12-25,6.3,-8.5,13.8,13.0,0.9,10.4,52
2015-12-26,-3.3,-14.4,8.8,13.9,0.5,11.4,59
2015-12-27,11.5,-2.6,30.4,14.4,0.1,11.4,53
2015-12-28,10.0,-0.2,25.3,14.5,0.0,11.5,51
2015-12-29,3.9,-4.7,19.9,14.5,0.0,11.5,48
2015-12-30,4.1,-1.3,15.6,14.5,0.1,11.5,48
2015-12-31,2.1,-8.1,16.7,14.6,0.0,11.5,47
2016-01-01,6.4,-8.3,24.6,14.6,0.2,11.5,46
2016-01-02,16.5,5.5,33.4,14.8,0.1,11.5,45
2016-01-03,19.8,11.1,37.0,14.9,0.0,11.6,44
2016-01-04,18.0,11.3,30.6,14.9,0.0,11.6,43
2016-01-05,16.5,8.4,29.3,14.9,0.0,11.6,43
2016-01-06,15.4,9.5,26.6,14.9,0.1,11.7,43
2016-01-07,11.5,4.5,21.0,15.0,0.0,11.9,46
2016-01-08,9.0,-0.9,22.3,15.0,0.0,11.9,47
2016-01-09,3.0,-6.5,19.4,15.0,0.1,11.9,46
2016-01-10,2.1,-6.3,19.6,15.1,0.0,11.9,45
2016-01-11,11.1,-2.7,26.6,15.1,0.1,11.9,45
2016-01-12,16.7,6.3,36.1,15.2,0.1,11.9,44
2016-01-13,21.7,11.3,37.9,15.3,0.0,12.0,43
2016-01-14,10.8,0.9,24.3,15.3,0.0,12.0,43
2016-01-15,9.3,0.3,18.7,15.3,0.0,12.0,43
2016-01-16,12.0,-0.2,25.0,15.3,0.1,12.0,42
2016-01-17,14.0,5.7,25.5,15.4,0.4,12.2,43
2016-01-18,20.1,12.0,33.1,15.8,0.1,12.4,48
2016-01-19,16.3,6.1,32.2,15.9,0.0,12.6,45
2016-01-20,11.7,-4.7,28.8,15.9,0.0,12.6,44
2016-01-21,16.3,-4.7,30.6,15.9,0.3,12.8,50
2016-01-22,25.7,17.2,43.9,16.2,0.0,12.9,48
2016-01-23,26.6,18.9,40.6,16.2,0.0,13.0,47
2016-01-24,13.8,0.7,21.2,16.2,0.0,13.0,47
2016-01-25,2.5,-6.7,18.3,16.2,0.0,13.0,47
2016-01-26,9.3,-6.5,24.8,16.2,0.2,13.0,46
2016-01-27,23.4,15.6,38.8,16.4,0.0,13.1,47
2016-01-28,25.9,16.7,41.9,16.4,0.1,13.2,46
2016-01-29,25.7,16.5,37.9,16.5,0.0,13.3,45
2016-01-30,25.9,21.6,35.2,16.5,0.1,13.4,41
2016-01-31,20.3,18.3,22.5,16.6,0.8,13.7,47
2016-02-01,7.7,-4.0,19.4,17.4,1.1,15.1,66
2016-02-02,-2.9,-13.0,9.9,18.5,0.1,16.2,72
2016-02-03,-6.0,-17.9,11.7,18.6,0.2,16.2,67
2016-02-04,6.4,-6.0,29.7,18.8,0.1,16.2,64
2016-02-05,7.3,-1.3,17.6,18.9,0.0,16.2,60
2016-02-06,18.7,8.2,36.3,18.9,0.1,16.2,60
2016-02-07,24.6,13.8,36.5,19.0,0.0,16.3,59
2016-02-08,26.2,14.2,40.6,19.0,0.0,16.3,57
2016-02-09,25.2,15.4,45.5,19.0,0.0,16.3,55
2016-02-10,27.3,15.3,46.2,19.0,0.0,16.3,54
2016-02-11,27.5,16.5,43.5,19.0,0.0,16.3,53
2016-02-12,30.9,21.0,46.6,19.0,0.0,16.3,52
2016-02-13,27.7,13.6,43.2,19.0,0.0,16.3,51
2016-02-14,20.7,12.9,36.3,19.0,0.0,16.3,50
2016-02-15,26.8,15.4,39.6,19.0,0.0,16.3,50
2016-02-16,28.8,20.5,43.9,19.0,0.0,16.3,50
2016-02-17,32.7,21.4,45.9,19.0,0.0,16.3,49
2016-02-18,29.5,23.2,40.5,19.0,0.0,16.3,48
2016-02-19,27.5,18.3,41.9,19.0,0.0,16.4,49
2016-02-20,27.7,16.9,41.9,19.0,0.0,16.4,48
2016-02-21,24.4,12.0,41.9,19.0,0.0,16.4,47
2016-02-22,14.5,3.0,30.6,19.0,0.0,16.4,46
2016-02-23,9.7,-1.3,21.6,19.0,0.0,16.4,46
2016-02-24,17.8,0.3,34.0,19.0,0.1,16.5,47
2016-02-25,22.3,12.4,36.7,19.1,0.0,16.5,46
2016-02-26,27.1,14.4,44.8,19.1,0.0,16.5,46
2016-02-27,28.0,18.9,41.9,19.1,0.1,16.5,44
2016-02-28,27.1,18.7,41.9,19.2,0.0,16.6,44
2016-02-29,26.4,17.4,37.8,19.2,0.0,16.6,43
2016-03-01,27.3,18.7,40.1,19.2,0.0,16.6,43
2016-03-02,27.3,19.2,37.8,19.2,0.0,16.6,42
2016-03-03,30.4,16.3,45.9,19.2,0.0,16.6,41
2016-03-04,30.9,21.9,45.9,19.2,0.0,16.6,39
2016-03-05,29.8,22.1,39.6,19.2,0.0,16.6,39
2016-03-06,26.4,20.1,39.6,19.2,0.1,16.6,37
2016-03-07,14.9,2.8,29.5,19.3,0.0,16.8,43
2016-03-08,15.8,1.8,33.1,19.3,0.0,16.8,43
2016-03-09,17.6,4.1,32.7,19.3,0.0,16.8,41
2016-03-10,27.5,11.3,44.8,19.3,0.0,16.8,41
2016-03-11,33.4,20.3,47.3,19.3,0.0,16.8,40
2016-03-12,25.5,17.1,35.2,19.3,0.0,16.8,38
2016-03-13,25.5,12.2,39.6,19.3,0.0,16.8,38
2016-03-14,25.5,10.9,35.8,19.3,0.0,16.8,38
2016-03-15,17.2,9.0,27.3,19.3,0.0,16.8,38
2016-03-16,18.3,7.9,31.6,19.3,0.0,16.8,38
2016-03-17,23.5,10.4,37.9,19.3,0.0,16.8,38
2016-03-18,23.0,12.4,36.3,19.3,0.0,16.8,37
2016-03-19,21.6,12.0,35.2,19.3,0.0,16.8,37
2016-03-20,26.4,11.8,42.1,19.3,0.0,16.8,36
2016-03-21,34.5,22.5,45.3,19.3,0.0,16.8,35
2016-03-22,26.2,9.7,32.9,19.3,0.0,16.8,32
2016-03-23,12.7,3.9,22.6,19.3,0.0,16.8,32
2016-03-24,19.6,2.1,37.8,19.3,0.0,16.8,32
2016-03-25,18.3,10.8,30.6,19.3,0.1,16.8,32
2016-03-26,11.5,-2.6,25.9,19.4,0.2,16.9,32
2016-03-27,20.5,-3.3,37.0,19.6,0.3,17.7,38
2016-03-28,27.0,20.5,36.9,19.9,0.1,18.0,38
2016-03-29,16.9,4.6,24.1,20.0,0.5,18.2,38
2016-03-30,10.0,-0.9,27.3,20.5,0.7,20.0,49
2016-03-31,12.9,1.0,26.2,21.2,0.0,20.5,47
2016-04-01,14.9,1.0,29.7,21.2,0.1,20.5,46
2016-04-02,24.3,7.5,40.6,21.3,0.0,20.5,43
2016-04-03,27.7,14.5,41.0,21.3,0.0,19.8,40
2016-04-04,34.0,19.8,48.4,21.3,0.0,19.2,37
2016-04-05,28.2,12.4,42.1,21.3,0.0,18.7,35
2016-04-06,30.4,13.5,43.5,21.3,0.0,18.7,35
2016-04-07,35.8,20.5,48.9,21.3,0.0,18.3,33
2016-04-08,32.2,27.1,43.5,21.3,0.1,17.7,31
2016-04-09,30.9,25.5,41.7,21.4,0.1,17.1,31
2016-04-10,30.0,19.9,43.0,21.5,0.0,15.9,30
2016-04-11,29.1,18.3,42.8,21.5,0.0,15.6,30
2016-04-12,28.4,19.9,43.9,21.5,0.0,14.3,26
2016-04-13,32.4,21.6,45.7,21.5,0.0,14.0,25
2016-04-14,34.5,29.5,42.4,21.5,0.0,13.4,24
2016-04-15,25.3,18.0,31.6,21.5,0.3,13.2,23
2016-04-16,20.5,13.8,27.7,21.8,0.7,13.8,29
2016-04-17,16.7,5.2,29.8,22.5,0.2,14.6,37
2016-04-18,18.3,6.6,33.3,22.7,0.0,14.6,37
2016-04-19,21.6,5.0,36.9,22.7,0.3,14.2,36
2016-04-20,28.8,20.1,41.0,23.0,0.0,14.0,29
2016-04-21,33.4,19.9,46.8,23.0,0.0,13.7,27
2016-04-22,39.0,27.7,50.9,23.0,0.0,13.5,25
2016-04-23,30.7,18.3,41.0,23.0,0.0,12.9,25
2016-04-24,30.7,16.3,44.8,23.0,0.0,12.8,24
2016-04-25,25.2,14.7,35.2,23.0,0.3,12.9,25
2016-04-26,20.7,13.3,30.9,23.3,0.2,13.0,26
2016-04-27,26.4,14.9,39.0,23.5,0.2,12.8,22
2016-04-28,25.5,19.2,34.3,23.7,0.5,12.9,22
2016-04-29,22.5,14.4,35.2,24.2,0.2,13.3,25
2016-04-30,25.0,13.5,39.6,24.4,0.1,13.4,25
2016-05-01,22.6,18.3,31.6,24.5,0.6,13.3,24
2016-05-02,27.0,16.7,40.5,25.1,0.0,13.7,23
2016-05-03,32.0,15.8,47.5,25.1,0.0,13.8,28
2016-05-04,37.8,25.5,52.0,25.1,0.0,13.6,25
2016-05-05,41.9,28.0,52.7,25.1,0.1,12.9,25
2016-05-06,38.5,30.0,49.6,25.2,0.1,12.0,20
2016-05-07,27.0,21.6,35.2,25.3,0.1,12.5,22
2016-05-08,25.7,17.2,37.0,25.4,0.4,12.5,19
2016-05-09,33.8,24.8,43.9,25.8,0.3,12.6,21
2016-05-10,33.1,25.3,44.6,26.1,0.4,12.3,21
2016-05-11,27.7,18.0,39.9,26.5,0.1,12.4,20
2016-05-12,35.6,17.1,50.2,26.6,0.2,12.7,22
2016-05-13,40.1,27.1,53.8,26.8,0.0,12.4,22
2016-05-14,43.0,31.5,56.1,26.8,0.1,11.6,18
2016-05-15,37.4,31.5,47.8,26.9,0.1,10.1,16
2016-05-16,30.0,21.7,42.8,27.0,0.5,10.0,15
2016-05-17,29.7,21.6,41.7,27.5,0.1,10.4,19
2016-05-18,30.6,22.6,40.3,27.6,0.2,10.0,16
2016-05-19,34.5,25.2,47.7,27.8,0.0,10.0,16
2016-05-20,39.9,30.9,46.2,27.8,0.0,9.3,15
2016-05-21,41.2,35.2,47.1,27.8,0.0,8.2,13
2016-05-22,36.7,28.4,44.4,27.8,0.0,6.8,12
2016-05-23,35.1,23.9,44.4,27.8,0.0,4.9,9
2016-05-24,36.7,28.8,44.2,27.8,0.1,3.4,7
2016-05-25,34.9,26.2,44.4,27.9,0.0,2.5,5
2016-05-26,29.5,22.5,38.7,27.9,0.2,1.4,3
2016-05-27,30.9,24.3,40.5,28.1,0.0,1.6,3
2016-05-28,34.7,23.0,45.7,28.1,0.1,0.6,2
2016-05-29,37.4,27.7,50.7,28.2,0.0,0.2,1
2016-05-30,38.5,29.5,50.7,28.2,0.0,0.0,0
2016-05-31,40.1,27.5,53.2,28.2,0.0,0.0,0
2016-06-01,41.7,30.6,53.2,28.2,0.1,0.0,0
2016-06-02,43.9,32.9,57.0,28.3,0.0,0.0,0
2016-06-03,45.5,36.0,58.3,28.3,0.0,0.0,0
2016-06-04,48.9,36.0,62.6,28.3,0.1,0.0,0
2016-06-05,50.0,40.5,62.6,28.4,0.0,0.0,0
2016-06-06,46.6,39.0,63.1,28.4,0.0,0.0,0
2016-06-07,50.0,39.9,61.5,28.4,0.1,0.0,0
2016-06-08,47.1,39.0,61.3,28.5,0.0,0.0,0
2016-06-09,51.1,39.9,65.3,28.5,0.0,0.0,0
2016-06-10,53.8,41.7,68.0,28.5,0.0,0.0,0
2016-06-11,50.2,39.2,60.6,28.5,0.0,0.0,0
2016-06-12,47.8,35.2,59.7,28.5,0.0,0.0,0
2016-06-13,42.8,32.5,55.4,28.5,0.0,0.0,0
2016-06-14,45.0,31.8,58.5,28.5,0.0,0.0,0
2016-06-15,49.6,36.9,59.0,28.5,0.1,0.0,0
2016-06-16,48.4,37.9,61.3,28.6,0.0,0.0,0
2016-06-17,51.1,35.2,65.7,28.6,0.0,0.0,0
2016-06-18,55.6,37.2,70.5,28.6,0.0,0.0,0
2016-06-19,58.3,41.2,72.5,28.6,0.0,0.0,0
2016-06-20,58.8,44.1,75.2,28.6,0.0,0.0,0
2016-06-21,54.9,44.2,75.2,28.6,0.0,0.0,0
2016-06-22,53.1,44.1,68.0,28.6,0.0,0.0,0
2016-06-23,54.0,46.0,68.5,28.6,0.0,0.0,0
2016-06-24,52.2,43.0,65.7,28.6,0.0,0.0,0
2016-06-25,51.8,40.8,65.3,28.6,0.0,0.0,0
2016-06-26,54.0,41.4,68.7,28.6,0.0,0.0,0
2016-06-27,55.8,39.0,71.8,28.6,0.0,0.0,0
2016-06-28,50.4,40.5,65.1,28.6,0.0,0.0,0
2016-06-29,48.0,38.7,64.0,28.6,0.0,0.0,0
2016-06-30,47.5,39.9,60.1,28.6,0.0,0.0,0
2016-07-01,43.0,40.3,51.1,28.6,0.0,0.0,0
2016-07-02,44.2,38.1,52.0,28.6,0.0,0.0,0
2016-07-03,46.8,35.6,59.2,28.6,0.3,0.0,0
2016-07-04,47.3,36.3,62.6,28.9,0.1,0.0,0
2016-07-05,52.9,40.5,64.4,29.0,0.0,0.0,0
2016-07-06,54.0,40.5,64.4,29.0,0.0,0.0,0
2016-07-07,52.2,39.6,64.0,29.0,0.0,0.0,0
2016-07-08,52.9,36.9,66.4,29.0,0.0,0.0,0
2016-07-09,55.4,40.1,68.2,29.0,0.0,0.0,0
2016-07-10,55.9,45.7,63.9,29.0,0.0,0.0,0
2016-07-11,51.3,37.4,62.6,29.0,0.0,0.0,0
2016-07-12,53.2,40.5,65.1,29.0,0.0,0.0,0
2016-07-13,53.2,38.7,66.6,29.0,0.0,0.0,0
2016-07-14,52.9,36.9,68.5,29.0,0.0,0.0,0
2016-07-15,54.1,41.7,68.4,29.0,0.0,0.0,0
2016-07-16,55.8,44.8,67.6,29.0,0.0,0.0,0
2016-07-17,55.0,40.5,67.8,29.0,0.0,0.0,0
2016-07-18,54.0,41.9,67.1,29.0,0.0,0.0,0
2016-07-19,49.8,39.0,64.2,29.0,0.1,0.0,0
2016-07-20,48.9,38.1,63.1,29.1,0.3,0.0,0
2016-07-21,52.2,39.9,65.1,29.4,0.1,0.0,0
2016-07-22,52.5,42.4,66.6,29.5,0.0,0.0,0
2016-07-23,52.2,42.1,69.4,29.5,0.0,0.0,0
2016-07-24,50.2,42.8,67.5,29.5,0.0,0.0,0
2016-07-25,52.9,40.8,63.3,29.5,0.3,0.0,0
2016-07-26,51.4,39.0,61.5,29.8,0.0,0.0,0
2016-07-27,54.1,39.2,68.9,29.8,0.0,0.0,0
2016-07-28,55.8,42.6,70.9,29.8,0.0,0.0,0
2016-07-29,56.5,44.6,70.5,29.8,0.0,0.0,0
2016-07-30,51.8,43.5,68.0,29.8,0.0,0.0,0
2016-07-31,49.6,41.9,66.2,29.8,0.2,0.0,0
2016-08-01,51.4,41.9,64.8,30.0,0.0,0.0,0
2016-08-02,50.9,40.8,66.9,30.0,0.2,0.0,0
2016-08-03,49.1,41.7,64.2,30.2,0.1,0.0,0
2016-08-04,47.5,41.9,58.3,30.3,0.2,0.0,0
2016-08-05,45.7,41.7,52.5,30.5,1.4,0.0,0
2016-08-06,46.4,38.5,60.1,31.9,0.3,0.0,0
2016-08-07,48.6,37.9,62.1,32.2,0.0,0.0,0
2016-08-08,49.3,37.4,64.2,32.2,0.1,0.0,0
2016-08-09,50.4,39.6,63.5,32.3,0.2,0.0,0
2016-08-10,48.6,39.0,61.5,32.5,0.0,0.0,0
2016-08-11,48.6,37.4,61.3,32.5,0.0,0.0,0
2016-08-12,46.8,34.5,61.7,32.5,0.0,0.0,0
2016-08-13,46.2,34.5,62.8,32.5,0.0,0.0,0
2016-08-14,48.6,32.0,64.9,32.5,0.0,0.0,0
2016-08-15,48.4,37.0,63.0,32.5,0.0,0.0,0
2016-08-16,42.4,35.6,58.3,32.5,0.4,0.0,0
2016-08-17,43.0,35.1,58.8,32.9,0.0,0.0,0
2016-08-18,43.0,34.7,55.4,32.9,0.0,0.0,0
2016-08-19,45.0,34.5,59.0,32.9,0.0,0.0,0
2016-08-20,48.4,37.9,61.7,32.9,0.0,0.0,0
2016-08-21,45.7,34.3,61.0,32.9,0.0,0.0,0
2016-08-22,42.3,34.5,53.2,32.9,0.3,0.0,0
2016-08-23,38.1,32.7,51.3,33.2,0.5,0.0,0
2016-08-24,41.9,32.5,55.2,33.7,0.0,0.0,0
2016-08-25,40.3,32.5,54.0,33.7,0.1,0.0,0
2016-08-26,40.5,32.0,53.1,33.8,0.0,0.0,0
2016-08-27,38.7,31.5,53.2,33.8,0.6,0.0,0
2016-08-28,39.0,30.4,55.4,34.4,0.0,0.0,0
2016-08-29,39.4,32.5,53.6,34.4,0.0,0.0,0
2016-08-30,42.8,32.4,54.1,34.4,0.2,0.0,0
2016-08-31,47.7,35.1,61.2,34.6,0.1,0.0,0
2016-09-01,45.7,37.2,62.2,34.7,0.4,0.0,0
2016-09-02,46.6,40.1,57.7,35.1,0.2,0.0,0
2016-09-03,46.2,37.0,57.6,35.3,0.1,0.0,0
2016-09-04,46.6,41.0,53.1,35.4,0.0,0.0,0
2016-09-05,48.9,41.2,56.1,35.4,0.1,0.0,0
2016-09-06,46.2,37.4,56.1,35.5,0.0,0.0,0
2016-09-07,46.8,34.3,60.8,35.5,0.0,0.0,0
2016-09-08,46.6,30.4,63.9,35.5,0.0,0.0,0
2016-09-09,46.8,34.3,62.6,35.5,0.0,0.0,0
2016-09-10,47.1,34.0,61.0,35.5,0.0,0.0,0
2016-09-11,47.7,36.9,62.6,35.5,0.0,0.0,0
2016-09-12,40.6,32.0,57.4,35.5,0.0,0.0,0
2016-09-13,39.4,30.7,52.9,35.5,0.1,0.0,0
2016-09-14,40.1,34.5,46.8,35.6,0.1,0.0,0
2016-09-15,40.1,27.7,52.9,35.7,0.0,0.0,0
2016-09-16,40.1,27.1,55.0,35.7,0.2,0.0,0
2016-09-17,41.7,30.9,56.1,35.9,0.0,0.0,0
2016-09-18,45.7,30.2,63.3,35.9,0.1,0.0,0
2016-09-19,48.9,33.8,66.9,36.0,0.1,0.0,0
2016-09-20,43.5,36.0,57.9,36.1,0.0,0.0,0
2016-09-21,43.0,38.1,47.8,36.1,0.3,0.0,0
2016-09-22,44.6,41.0,52.5,36.4,0.2,0.0,0
2016-09-23,28.8,18.9,41.9,36.6,1.2,0.0,0
2016-09-24,28.0,21.4,38.7,37.8,0.2,0.3,1
2016-09-25,36.0,19.8,53.2,38.0,0.1,0.0,0
2016-09-26,42.3,30.0,59.0,38.1,0.1,0.0,0
2016-09-27,44.1,32.2,60.1,38.2,0.1,0.0,0
2016-09-28,45.5,32.5,58.5,38.3,0.1,0.0,0
2016-09-29,39.0,36.1,45.7,38.4,0.0,0.0,0
2016-09-30,39.9,30.9,54.1,38.4,0.0,0.0,0
