Date,Trinchera (829) Air Temperature Average (degF),Trinchera (829) Air Temperature Minimum (degF),Trinchera (829) Air Temperature Maximum (degF),Trinchera (829) Precipitation Accumulation (in) Start of Day Values,Trinchera (829) Precipitation Increment (in),Trinchera (829) Snow Water Equivalent (in) Start of Day Values,Trinchera (829) Snow Depth (in) Start of Day Values
2015-11-25,32.4,25.3,39.0,2.4,0.0,2.5,10
2015-11-26,29.3,26.4,33.3,2.4,0.9,2.5,10
2015-11-27,25.9,22.5,29.5,3.3,0.3,3.7,18
2015-11-28,22.5,18.9,27.0,3.6,0.0,3.8,18
2015-11-29,19.8,10.8,28.4,3.6,0.3,3.8,17
2015-11-30,7.0,1.9,16.0,3.9,0.1,4.1,24
2015-12-01,8.2,-1.1,17.6,4.0,0.1,4.1,22
2015-12-02,17.8,5.2,29.3,4.1,0.0,4.1,20
2015-12-03,24.4,15.3,33.4,4.1,0.0,4.2,19
2015-12-04,29.8,19.8,40.5,4.1,0.0,4.2,19
2015-12-05,21.6,11.8,33.1,4.1,0.0,4.2,19
2015-12-06,28.4,11.1,41.4,4.1,0.0,4.2,18
2015-12-07,32.5,25.9,43.7,4.1,0.0,4.3,17
2015-12-08,30.6,26.2,36.5,4.1,0.0,4.3,17
2015-12-09,32.9,23.4,42.3,4.1,0.0,4.3,17
2015-12-10,33.8,26.2,43.2,4.1,0.0,4.3,17
2015-12-11,28.4,23.4,34.0,4.1,0.0,4.3,16
2015-12-12,23.2,15.6,32.2,4.1,0.4,4.4,17
2015-12-13,19.0,14.5,28.4,4.5,0.1,5.0,23
2015-12-14,20.3,6.1,29.7,4.6,0.3,5.0,22
2015-12-15,5.4,-1.1,12.0,4.9,0.2,5.4,27
2015-12-16,3.4,-3.5,14.5,5.1,0.1,5.4,27
2015-12-17,4.5,-0.2,11.7,5.2,0.1,5.4,25
2015-12-18,19.8,7.0,31.6,5.3,0.0,5.4,26
2015-12-19,28.8,21.6,38.3,5.3,0.0,5.6,25
2015-12-20,19.0,11.5,26.6,5.3,0.1,5.6,24
2015-12-21,16.3,11.8,22.5,5.4,0.1,5.8,25
2015-12-22,18.9,15.8,25.3,5.5,0.0,5.9,26
2015-12-23,13.5,0.7,19.9,5.5,0.1,6.0,27
2015-12-24,10.2,-1.8,18.3,5.6,0.1,6.0,27
2015-12-25,13.3,2.5,20.1,5.7,0.3,6.1,27
2015-12-26,2.7,-3.1,13.3,6.0,0.1,6.4,29
2015-12-27,14.4,-0.9,23.4,6.1,0.1,6.4,28
2015-12-28,16.0,10.0,27.1,6.2,0.0,6.6,27
2015-12-29,11.3,4.6,20.3,6.2,0.1,6.6,27
2015-12-30,7.2,1.2,16.0,6.3,0.0,6.6,26
2015-12-31,8.1,2.8,16.3,6.3,0.0,6.6,26
2016-01-01,11.5,1.8,21.7,6.3,0.0,6.6,25
2016-01-02,20.3,7.0,30.2,6.3,0.0,6.6,26
2016-01-03,24.1,14.5,33.3,6.3,0.0,6.7,25
2016-01-04,24.3,16.2,33.8,6.3,0.0,6.7,25
2016-01-05,19.6,14.0,23.4,6.3,0.1,6.7,25
2016-01-06,19.6,11.8,28.8,6.4,0.0,6.7,24
2016-01-07,15.1,6.4,22.1,6.4,0.1,6.8,26
2016-01-08,11.1,4.6,17.2,6.5,0.2,7.0,27
2016-01-09,9.0,4.3,18.7,6.7,0.1,7.2,32
2016-01-10,4.6,-1.3,14.0,6.8,0.1,7.3,30
2016-01-11,9.9,0.9,21.7,6.9,0.0,7.3,30
2016-01-12,19.0,5.7,31.6,6.9,0.0,7.3,30
2016-01-13,24.3,14.4,34.9,6.9,0.0,7.3,29
2016-01-14,16.2,6.4,26.8,6.9,0.0,7.3,29
2016-01-15,12.2,5.5,20.7,6.9,0.0,7.3,29
2016-01-16,9.5,4.6,17.6,6.9,0.0,7.3,29
2016-01-17,15.3,9.3,23.5,6.9,0.0,7.3,29
2016-01-18,21.7,8.8,34.7,6.9,0.0,7.3,28
2016-01-19,19.8,15.4,28.2,6.9,0.0,7.4,28
2016-01-20,16.3,8.4,23.5,6.9,0.1,7.4,28
2016-01-21,12.0,2.5,21.2,7.0,0.0,7.4,29
2016-01-22,25.7,12.0,37.0,7.0,0.0,7.4,29
2016-01-23,30.0,22.3,43.7,7.0,0.0,7.5,29
2016-01-24,20.8,13.5,28.4,7.0,0.1,7.6,29
2016-01-25,10.4,3.6,21.2,7.1,0.0,7.6,30
2016-01-26,9.9,1.9,18.0,7.1,0.0,7.6,31
2016-01-27,23.7,9.5,37.9,7.1,0.0,7.6,29
2016-01-28,27.0,17.4,38.3,7.1,0.1,7.7,30
2016-01-29,26.6,22.1,34.2,7.2,0.0,7.7,30
2016-01-30,28.8,23.4,38.8,7.2,0.0,7.7,30
2016-01-31,23.4,21.7,24.3,7.2,0.1,7.8,30
2016-02-01,13.3,1.4,23.2,7.3,0.6,8.1,32
2016-02-02,3.9,-3.5,12.9,7.9,0.3,8.6,39
2016-02-03,-2.2,-9.9,8.2,8.2,0.1,8.7,43
2016-02-04,3.7,-11.2,19.2,8.3,0.0,8.7,41
2016-02-05,6.3,-0.8,14.9,8.3,0.1,8.8,39
2016-02-06,17.1,2.8,30.0,8.4,0.0,8.9,37
2016-02-07,21.9,15.1,33.1,8.4,0.1,9.0,38
2016-02-08,24.1,14.7,36.3,8.5,0.0,9.0,37
2016-02-09,27.0,15.6,38.1,8.5,0.0,9.1,37
2016-02-10,31.8,21.4,44.1,8.5,0.0,9.1,36
2016-02-11,32.4,23.4,43.0,8.5,0.0,9.1,36
2016-02-12,34.5,25.5,47.3,8.5,0.0,9.1,35
2016-02-13,34.3,25.5,45.9,8.5,0.0,9.1,35
2016-02-14,26.8,17.6,38.7,8.5,0.0,9.1,34
2016-02-15,24.8,16.9,34.3,8.5,0.0,9.1,34
2016-02-16,30.6,20.8,43.2,8.5,0.0,9.1,34
2016-02-17,36.5,27.7,48.0,8.5,0.0,9.1,34
2016-02-18,36.3,30.2,46.8,8.5,0.0,9.1,33
2016-02-19,32.5,26.8,45.3,8.5,0.0,9.1,33
2016-02-20,34.0,26.4,47.5,8.5,0.0,9.1,33
2016-02-21,31.3,20.3,43.0,8.5,0.0,9.1,32
2016-02-22,22.6,14.5,35.2,8.5,0.0,9.2,33
2016-02-23,10.6,3.7,16.2,8.5,0.1,9.2,34
2016-02-24,16.7,4.1,30.4,8.6,0.0,9.5,36
2016-02-25,24.8,12.0,36.7,8.6,0.1,9.6,36
2016-02-26,29.8,17.6,42.1,8.7,0.0,9.6,36
2016-02-27,33.4,24.4,46.2,8.7,0.0,9.6,35
2016-02-28,32.7,25.7,44.6,8.7,0.0,9.6,35
2016-02-29,31.3,24.6,41.4,8.7,0.0,9.6,35
2016-03-01,30.4,21.0,42.6,8.7,0.0,9.6,34
2016-03-02,31.5,24.6,42.6,8.7,0.0,9.6,34
2016-03-03,33.4,23.0,47.7,8.7,0.0,9.6,34
2016-03-04,36.1,27.1,51.1,8.7,0.0,9.7,34
2016-03-05,35.1,27.1,45.9,8.7,0.0,9.7,34
2016-03-06,31.3,25.9,40.1,8.7,0.0,9.7,32
2016-03-07,23.4,14.5,34.0,8.7,0.0,9.7,32
2016-03-08,22.5,10.9,36.3,8.7,0.0,9.7,33
2016-03-09,25.0,12.9,40.1,8.7,0.0,9.7,33
2016-03-10,31.3,14.5,46.4,8.7,0.0,9.7,33
2016-03-11,38.8,27.1,53.1,8.7,0.0,9.7,32
2016-03-12,32.7,26.2,47.1,8.7,0.1,9.7,32
2016-03-13,29.7,19.8,41.9,8.8,0.0,9.7,32
2016-03-14,31.8,24.6,43.9,8.8,0.0,9.8,32
2016-03-15,23.0,14.5,32.9,8.8,0.1,9.8,31
2016-03-16,24.6,14.9,38.1,8.9,0.0,9.9,32
2016-03-17,29.1,17.2,45.0,8.9,0.0,9.9,32
2016-03-18,30.0,21.4,43.0,8.9,0.0,9.8,31
2016-03-19,26.4,17.6,40.1,8.9,0.0,9.7,31
2016-03-20,28.8,15.4,42.8,8.9,0.0,9.6,31
2016-03-21,38.1,27.0,51.4,8.9,0.0,9.6,31
2016-03-22,34.9,18.9,46.2,8.9,0.0,9.6,29
2016-03-23,16.2,11.3,25.0,8.9,0.0,9.6,28
2016-03-24,23.7,9.5,37.9,8.9,0.1,9.6,30
2016-03-25,24.6,16.2,39.0,9.0,0.0,9.7,29
2016-03-26,15.4,5.0,31.5,9.0,0.2,9.7,29
2016-03-27,22.6,4.6,38.1,9.2,0.1,9.9,31
2016-03-28,34.3,25.3,45.3,9.3,0.0,10.0,29
2016-03-29,30.7,14.2,45.0,9.3,0.0,10.0,30
2016-03-30,17.8,11.1,30.0,9.3,0.0,9.9,28
2016-03-31,16.2,9.5,30.4,9.3,0.1,9.9,26
2016-04-01,18.7,5.2,32.7,9.4,0.2,10.0,28
2016-04-02,27.9,12.0,42.4,9.6,0.0,10.2,31
2016-04-03,34.7,23.2,48.0,9.6,0.0,10.1,30
2016-04-04,39.9,26.6,52.2,9.6,0.0,9.9,28
2016-04-05,35.6,18.9,50.7,9.6,0.0,9.9,26
2016-04-06,33.1,18.0,48.6,9.6,0.0,9.8,25
2016-04-07,39.6,26.8,55.0,9.6,0.0,9.5,25
2016-04-08,35.6,28.8,44.6,9.6,0.0,8.8,23
2016-04-09,35.2,28.8,47.7,9.6,0.0,8.5,22
2016-04-10,36.1,26.2,49.6,9.6,0.1,8.2,20
2016-04-11,31.8,24.4,44.6,9.7,0.0,7.9,18
2016-04-12,31.6,25.9,49.5,9.7,0.1,7.8,17
2016-04-13,35.1,24.6,49.8,9.8,0.1,7.9,18
2016-04-14,41.2,31.8,51.8,9.9,0.0,7.7,17
2016-04-15,34.0,22.3,47.5,9.9,0.0,7.2,18
2016-04-16,18.7,13.6,26.8,9.9,0.8,7.0,19
2016-04-17,20.5,12.6,28.2,10.7,0.1,8.1,32
2016-04-18,24.1,19.0,30.9,10.8,0.7,8.2,33
2016-04-19,24.6,18.0,36.3,11.5,0.2,9.0,38
2016-04-20,28.0,21.6,38.1,11.7,0.0,9.1,25
2016-04-21,36.7,22.5,51.8,11.7,0.1,9.1,25
2016-04-22,43.5,30.6,57.4,11.8,0.0,8.7,24
2016-04-23,40.5,30.7,53.2,11.8,0.0,8.4,22
2016-04-24,37.0,25.0,52.2,11.8,0.0,8.0,21
2016-04-25,36.3,20.1,50.0,11.8,0.0,7.9,19
2016-04-26,24.1,18.3,36.3,11.8,0.1,7.2,18
2016-04-27,30.7,19.6,45.9,11.9,0.1,7.1,17
2016-04-28,30.4,25.0,40.5,12.0,0.2,6.8,15
2016-04-29,24.3,21.4,29.3,12.2,1.1,7.1,18
2016-04-30,26.2,16.9,41.9,13.3,0.1,8.1,25
2016-05-01,21.7,16.3,32.4,13.4,0.1,8.1,21
2016-05-02,29.5,22.1,43.7,13.5,0.1,8.2,23
2016-05-03,34.5,23.9,45.9,13.6,0.0,8.2,24
2016-05-04,43.2,27.1,57.4,13.6,0.0,7.8,20
2016-05-05,46.4,32.5,60.6,13.6,0.1,7.5,19
2016-05-06,47.1,36.9,59.4,13.7,0.0,6.6,16
2016-05-07,38.1,24.6,48.0,13.7,0.0,5.5,13
2016-05-08,30.6,22.5,42.8,13.7,0.0,4.7,10
2016-05-09,35.8,26.6,50.4,13.7,0.0,4.5,9
2016-05-10,39.9,32.2,53.6,13.7,0.1,4.0,8
2016-05-11,33.3,27.1,45.9,13.8,0.0,3.4,7
2016-05-12,40.5,25.2,53.8,13.8,0.5,3.4,6
2016-05-13,45.7,32.0,59.2,14.3,0.2,2.2,5
2016-05-14,46.8,37.4,60.6,14.5,0.0,1.2,4
2016-05-15,37.4,32.7,45.9,14.5,0.0,0.7,3
2016-05-16,34.9,27.3,46.4,14.5,0.0,0.6,2
2016-05-17,32.2,25.7,44.6,14.5,0.0,0.7,4
2016-05-18,32.2,28.8,37.9,14.5,0.5,0.7,3
2016-05-19,34.9,29.7,47.8,15.0,0.1,1.2,3
2016-05-20,44.6,30.9,57.4,15.1,0.4,0.9,2
2016-05-21,49.5,39.2,60.1,15.5,0.2,0.6,2
2016-05-22,45.7,36.5,58.8,15.7,0.0,0.5,1
2016-05-23,43.9,32.5,55.9,15.7,0.0,0.0,0
2016-05-24,45.7,36.7,57.2,15.7,0.0,0.0,0
2016-05-25,43.9,31.5,57.4,15.7,0.1,0.0,0
2016-05-26,34.0,26.6,49.3,15.8,0.0,0.0,0
2016-05-27,32.0,26.2,46.0,15.8,0.0,0.6,2
2016-05-28,39.6,27.5,51.8,15.8,0.3,0.9,3
2016-05-29,46.8,32.2,60.1,16.1,0.3,0.0,0
2016-05-30,47.5,33.3,61.5,16.4,0.0,0.0,0
2016-05-31,45.0,36.7,60.8,16.4,0.0,0.0,0
2016-06-01,43.0,34.3,57.9,16.4,0.1,0.0,0
2016-06-02,46.6,33.3,62.2,16.5,0.1,0.0,0
2016-06-03,52.0,39.6,64.9,16.6,0.0,0.0,0
2016-06-04,53.2,42.6,66.2,16.6,0.0,0.0,0
2016-06-05,50.9,38.1,70.9,16.6,0.0,0.0,0
2016-06-06,51.6,37.8,69.8,16.6,0.0,0.0,0
2016-06-07,53.2,41.0,70.0,16.6,0.0,0.0,0
2016-06-08,52.0,43.2,69.1,16.6,0.0,0.0,0
2016-06-09,52.0,42.1,67.6,16.6,0.0,0.0,0
2016-06-10,55.6,42.8,70.3,16.6,0.0,0.0,0
2016-06-11,53.6,41.2,70.9,16.6,0.1,0.0,0
2016-06-12,54.1,43.2,72.3,16.7,0.0,0.0,0
2016-06-13,51.6,40.8,62.1,16.7,0.1,0.0,0
2016-06-14,50.9,36.1,65.5,16.8,0.0,0.0,0
2016-06-15,57.0,44.2,70.5,16.8,0.0,0.0,0
2016-06-16,55.0,44.8,68.9,16.8,0.0,0.0,0
2016-06-17,58.3,42.4,74.5,16.8,0.0,0.0,0
2016-06-18,61.3,42.3,78.1,16.8,0.0,0.0,0
2016-06-19,64.9,48.2,80.2,16.8,0.0,0.0,0
2016-06-20,63.3,49.6,77.0,16.8,0.0,0.0,0
2016-06-21,57.7,48.6,78.6,16.8,0.0,0.0,0
2016-06-22,55.0,45.7,71.6,16.8,0.2,0.0,0
2016-06-23,55.9,43.0,73.4,17.0,0.0,0.0,0
2016-06-24,56.5,46.2,73.0,17.0,0.0,0.0,0
2016-06-25,56.1,47.3,68.4,17.0,0.0,0.0,0
2016-06-26,57.2,42.8,73.2,17.0,0.0,0.0,0
2016-06-27,55.8,46.6,67.6,17.0,0.0,0.0,0
2016-06-28,53.2,43.0,72.0,17.0,0.0,0.0,0
2016-06-29,53.8,43.5,73.6,17.0,0.0,0.0,0
2016-06-30,51.3,42.8,65.8,17.0,0.2,0.0,0
2016-07-01,49.5,44.1,65.8,17.2,0.4,0.0,0
2016-07-02,47.8,43.0,59.4,17.6,0.2,0.0,0
2016-07-03,47.1,36.7,61.5,17.8,0.5,0.0,0
2016-07-04,52.2,39.9,66.6,18.3,0.0,0.0,0
2016-07-05,57.9,45.7,71.2,18.3,0.0,0.0,0
2016-07-06,59.4,48.9,71.2,18.3,0.0,0.0,0
2016-07-07,59.4,49.5,71.4,18.3,0.0,0.0,0
2016-07-08,58.6,47.7,73.6,18.3,0.0,0.0,0
2016-07-09,59.9,47.1,75.2,18.3,0.0,0.0,0
2016-07-10,61.0,51.3,72.7,18.3,0.0,0.0,0
2016-07-11,58.8,47.5,71.8,18.3,0.0,0.0,0
2016-07-12,59.0,46.4,71.8,18.3,0.0,0.0,0
2016-07-13,60.1,47.5,74.3,18.3,0.0,0.0,0
2016-07-14,58.8,45.7,74.3,18.3,0.0,0.0,0
2016-07-15,59.0,47.5,74.1,18.3,0.0,0.0,0
2016-07-16,60.6,46.6,74.5,18.3,0.0,0.0,0
2016-07-17,61.2,51.8,74.8,18.3,0.0,0.0,0
2016-07-18,58.6,49.3,71.1,18.3,0.0,0.0,0
2016-07-19,56.8,47.1,70.0,18.3,0.0,0.0,0
2016-07-20,58.6,45.7,74.5,18.3,0.2,0.0,0
2016-07-21,59.9,45.7,75.6,18.5,0.0,0.0,0
2016-07-22,59.9,44.4,75.6,18.5,0.0,0.0,0
2016-07-23,61.2,48.4,76.5,18.5,0.0,0.0,0
2016-07-24,59.0,49.3,75.2,18.5,0.0,0.0,0
2016-07-25,58.5,47.7,74.1,18.5,0.0,0.0,0
2016-07-26,55.8,47.5,69.6,18.5,0.0,0.0,0
2016-07-27,59.7,47.5,76.6,18.5,0.0,0.0,0
2016-07-28,60.8,49.1,75.7,18.5,0.0,0.0,0
2016-07-29,59.7,49.8,77.0,18.5,0.0,0.0,0
2016-07-30,57.7,48.4,75.9,18.5,0.0,0.0,0
2016-07-31,57.9,45.9,75.9,18.5,0.0,0.0,0
2016-08-01,54.1,44.6,66.9,18.5,0.0,0.0,0
2016-08-02,54.7,46.6,65.5,18.5,0.1,0.0,0
2016-08-03,54.9,47.8,71.8,18.6,0.0,0.0,0
2016-08-04,49.8,45.3,64.8,18.6,0.3,0.0,0
2016-08-05,50.0,45.5,58.8,18.9,0.2,0.0,0
2016-08-06,51.3,45.7,63.9,19.1,0.3,0.0,0
2016-08-07,55.0,44.4,68.2,19.4,0.2,0.0,0
2016-08-08,52.9,43.9,68.4,19.6,0.0,0.0,0
2016-08-09,56.1,44.2,68.9,19.6,0.0,0.0,0
2016-08-10,55.2,47.5,66.9,19.6,0.0,0.0,0
2016-08-11,54.9,46.0,68.9,19.6,0.0,0.0,0
2016-08-12,53.8,43.5,67.8,19.6,0.0,0.0,0
2016-08-13,49.1,41.7,57.0,19.6,0.0,0.0,0
2016-08-14,51.3,41.9,63.3,19.6,0.0,0.0,0
2016-08-15,52.9,42.1,70.0,19.6,0.0,0.0,0
2016-08-16,48.4,40.5,64.2,19.6,0.0,0.0,0
2016-08-17,49.3,40.6,61.7,19.6,0.0,0.0,0
2016-08-18,50.7,41.9,64.2,19.6,0.4,0.0,0
2016-08-19,49.3,41.2,64.2,20.0,0.0,0.0,0
2016-08-20,48.4,37.8,64.8,20.0,0.6,0.0,0
2016-08-21,47.3,35.8,64.2,20.6,0.3,0.0,0
2016-08-22,46.8,38.7,60.8,20.9,0.1,0.0,0
2016-08-23,45.7,36.1,61.5,21.0,0.0,0.0,0
2016-08-24,41.4,36.0,51.6,21.0,0.0,0.0,0
2016-08-25,45.3,35.1,58.5,21.0,0.3,0.0,0
2016-08-26,43.7,38.7,55.6,21.3,0.0,0.0,0
2016-08-27,47.5,38.1,60.4,21.3,0.1,0.0,0
2016-08-28,47.5,38.1,62.2,21.4,0.0,0.0,0
2016-08-29,42.6,37.2,52.2,21.4,0.1,0.0,0
2016-08-30,45.5,38.1,55.8,21.5,0.3,0.0,0
2016-08-31,49.3,38.7,64.4,21.8,0.2,0.0,0
2016-09-01,50.9,41.9,62.6,22.0,0.0,0.0,0
2016-09-02,49.1,42.8,61.0,22.0,0.0,0.0,0
2016-09-03,49.3,41.7,59.0,22.0,0.5,0.0,0
2016-09-04,50.7,45.3,60.6,22.5,0.0,0.0,0
2016-09-05,54.0,45.5,64.9,22.5,0.2,0.0,0
2016-09-06,52.5,47.1,62.8,22.7,0.0,0.0,0
2016-09-07,49.8,44.4,59.0,22.7,0.0,0.0,0
2016-09-08,52.0,38.8,66.0,22.7,0.0,0.0,0
2016-09-09,50.9,40.5,65.8,22.7,0.0,0.0,0
2016-09-10,49.8,38.8,61.0,22.7,0.0,0.0,0
2016-09-11,51.3,43.5,66.6,22.7,0.0,0.0,0
2016-09-12,47.1,39.9,59.4,22.7,0.0,0.0,0
2016-09-13,45.5,37.0,57.9,22.7,0.0,0.0,0
2016-09-14,43.9,37.0,53.1,22.7,0.2,0.0,0
2016-09-15,45.7,35.1,58.3,22.9,0.0,0.0,0
2016-09-16,45.0,32.2,59.2,22.9,0.2,0.0,0
2016-09-17,45.3,36.9,57.7,23.1,0.0,0.0,0
2016-09-18,49.5,38.1,61.9,23.1,0.1,0.0,0
2016-09-19,53.6,42.3,67.1,23.2,0.1,0.0,0
2016-09-20,54.0,45.5,64.4,23.3,0.0,0.0,0
2016-09-21,48.0,43.9,57.2,23.3,0.0,0.0,0
2016-09-22,50.0,44.1,62.6,23.3,0.0,0.0,0
2016-09-23,42.4,27.3,57.9,23.3,0.0,0.0,0
2016-09-24,35.1,25.9,46.6,23.3,0.1,0.0,0
2016-09-25,39.4,28.8,51.4,23.4,0.1,0.0,0
2016-09-26,43.5,32.4,55.9,23.5,0.1,0.0,0
2016-09-27,46.8,34.7,57.7,23.6,0.0,0.0,0
2016-09-28,49.5,38.1,61.0,23.6,0.0,0.0,0
2016-09-29,47.8,38.8,60.1,23.6,0.1,0.0,0
2016-09-30,46.6,37.8,58.8,23.7,0.0,0.0,0
