Date,Brumley (369) Air Temperature Average (degF),Brumley (369) Air Temperature Minimum (degF),Brumley (369) Air Temperature Maximum (degF),Brumley (369) Precipitation Accumulation (in) Start of Day Values,Brumley (369) Precipitation Increment (in),Brumley (369) Snow Water Equivalent (in) Start of Day Values,Brumley (369) Snow Depth (in) Start of Day Values
2016-01-29,24.1,14.9,33.3,6.7,0.1,6.4,34
2016-01-30,27.1,15.4,38.8,6.8,0.1,6.5,34
2016-01-31,18.0,12.4,24.1,6.9,0.2,6.8,38
2016-02-01,12.9,4.6,21.6,7.1,0.5,7.4,43
2016-02-02,2.5,-5.1,13.5,7.6,0.0,7.7,46
2016-02-03,-4.2,-18.4,3.9,7.6,0.0,7.7,43
2016-02-04,7.5,-5.6,19.0,7.6,0.3,7.7,43
2016-02-05,6.1,-3.5,17.6,7.9,0.0,7.8,41
2016-02-06,18.0,-2.0,29.1,7.9,0.0,7.8,41
2016-02-07,19.0,4.6,28.4,7.9,0.0,7.8,39
2016-02-08,21.9,8.6,36.0,7.9,0.0,7.8,39
2016-02-09,21.4,8.1,40.5,7.9,0.0,7.8,39
2016-02-10,24.1,5.9,45.0,7.9,0.0,7.8,38
2016-02-11,29.1,15.8,43.7,7.9,0.0,7.8,37
2016-02-12,28.2,15.8,46.0,7.9,0.0,7.8,37
2016-02-13,27.5,13.1,44.1,7.9,0.0,7.8,36
2016-02-14,21.0,9.5,30.4,7.9,0.1,7.8,36
2016-02-15,25.7,19.4,33.3,8.0,0.1,8.1,41
2016-02-16,26.4,14.9,39.6,8.1,0.0,8.2,40
2016-02-17,30.6,16.3,50.2,8.1,0.0,8.2,40
2016-02-18,29.8,19.6,39.9,8.1,0.0,8.2,39
2016-02-19,20.7,2.5,41.9,8.1,0.2,8.4,40
2016-02-20,23.5,7.3,42.8,8.3,0.0,8.4,39
2016-02-21,21.6,6.1,42.1,8.3,0.0,8.4,38
2016-02-22,18.3,8.2,27.3,8.3,0.2,8.4,38
2016-02-23,9.9,-5.3,24.6,8.5,0.0,8.6,41
2016-02-24,10.2,-7.1,27.9,8.5,0.0,8.6,41
2016-02-25,23.4,2.7,38.7,8.5,0.2,8.6,40
2016-02-26,26.6,10.8,45.0,8.7,0.0,8.6,39
2016-02-27,28.8,10.8,45.9,8.7,0.0,8.6,39
2016-02-28,22.6,9.0,41.4,8.7,0.0,8.6,37
2016-02-29,24.6,10.8,39.2,8.7,0.0,8.6,37
2016-03-01,27.7,16.7,38.8,8.7,0.0,8.6,37
2016-03-02,27.3,19.2,35.2,8.7,0.0,8.6,37
2016-03-03,27.9,11.7,47.1,8.7,0.0,8.6,37
2016-03-04,25.5,11.3,44.4,8.7,0.0,8.6,37
2016-03-05,30.9,9.5,47.8,8.7,0.0,8.6,37
2016-03-06,30.6,17.4,42.1,8.7,0.0,8.6,36
2016-03-07,23.5,8.4,32.2,8.7,0.0,8.6,35
2016-03-08,14.5,-1.5,36.3,8.7,0.0,8.6,35
2016-03-09,17.1,-0.6,34.9,8.7,0.0,8.4,35
2016-03-10,24.1,4.3,44.8,8.7,0.0,8.4,35
2016-03-11,31.3,12.9,52.5,8.7,0.0,8.4,35
2016-03-12,29.5,21.6,43.0,8.7,0.0,8.4,35
2016-03-13,30.2,21.6,42.6,8.7,0.1,8.4,35
2016-03-14,26.2,15.6,35.6,8.8,0.4,8.4,35
2016-03-15,15.4,9.9,25.7,9.2,0.4,8.9,45
2016-03-16,17.2,10.4,25.2,9.6,0.1,9.3,45
2016-03-17,25.0,16.9,34.0,9.7,0.0,9.4,43
2016-03-18,21.4,12.9,31.8,9.7,0.0,9.4,41
2016-03-19,18.0,1.6,30.9,9.7,0.0,9.4,40
2016-03-20,21.7,0.0,42.4,9.7,0.0,9.3,40
2016-03-21,33.3,15.8,49.8,9.7,0.0,9.3,39
2016-03-22,32.5,19.2,41.4,9.7,0.2,9.2,37
2016-03-23,17.8,14.5,23.9,9.9,0.3,9.4,39
2016-03-24,19.9,11.7,30.2,10.2,0.1,9.7,42
2016-03-25,18.0,-2.0,25.5,10.3,0.5,9.8,41
2016-03-26,7.5,-6.0,21.9,10.8,0.1,10.3,48
2016-03-27,14.0,-7.2,34.9,10.9,0.0,10.4,47
2016-03-28,28.8,7.0,45.9,10.9,0.1,10.4,45
2016-03-29,27.0,3.7,39.9,11.0,0.1,10.5,44
2016-03-30,13.6,-3.5,28.0,11.1,0.0,10.7,45
2016-03-31,13.8,-4.0,28.4,11.1,0.0,10.9,46
2016-04-01,11.1,-7.2,29.5,11.1,0.0,10.9,46
2016-04-02,20.5,-3.1,45.9,11.1,0.0,10.9,45
2016-04-03,29.5,13.5,44.2,11.1,0.0,10.9,43
2016-04-04,32.4,15.6,49.6,11.1,0.0,10.7,42
2016-04-05,24.3,8.4,39.4,11.1,0.2,10.5,40
2016-04-06,26.2,8.2,44.6,11.3,0.0,10.8,45
2016-04-07,32.4,15.6,51.3,11.3,0.0,10.9,42
2016-04-08,34.7,15.6,52.5,11.3,0.0,10.9,41
2016-04-09,35.2,27.5,47.1,11.3,0.0,10.9,39
2016-04-10,34.9,23.4,47.1,11.3,0.0,10.9,39
2016-04-11,31.8,20.3,44.8,11.3,0.0,10.7,38
2016-04-12,32.0,24.4,44.4,11.3,0.1,10.7,37
2016-04-13,33.4,19.8,51.6,11.4,0.0,10.8,38
2016-04-14,34.5,24.1,51.4,11.4,0.0,10.7,36
2016-04-15,31.8,23.2,45.9,11.4,0.8,10.6,35
2016-04-16,22.3,18.0,29.5,12.2,0.4,11.5,47
2016-04-17,20.5,12.7,36.1,12.6,0.2,12.0,50
2016-04-18,23.5,16.2,36.3,12.8,0.3,12.0,47
2016-04-19,25.2,14.4,34.7,13.1,0.0,12.6,51
2016-04-20,30.2,22.3,39.4,13.1,0.2,12.7,49
2016-04-21,29.8,14.2,47.3,13.3,0.1,12.9,46
2016-04-22,36.3,18.0,56.8,13.4,0.0,12.7,44
2016-04-23,35.2,20.8,52.5,13.4,0.0,12.3,41
2016-04-24,31.3,23.5,44.1,13.4,0.0,12.3,40
2016-04-25,32.5,17.6,49.6,13.4,0.1,12.2,39
2016-04-26,24.1,12.4,35.6,13.5,0.1,12.0,39
2016-04-27,27.1,20.5,38.3,13.6,0.2,12.1,39
2016-04-28,29.5,20.8,43.7,13.8,0.2,12.2,38
2016-04-29,25.5,21.9,35.6,14.0,0.2,12.4,39
2016-04-30,25.7,19.4,34.3,14.2,0.2,12.6,42
2016-05-01,21.6,8.2,31.6,14.4,0.2,12.6,42
2016-05-02,30.4,18.3,45.0,14.6,0.0,12.7,41
2016-05-03,32.2,15.6,49.3,14.6,0.0,12.7,39
2016-05-04,36.9,21.6,54.9,14.6,0.0,12.7,37
2016-05-05,41.4,26.2,59.0,14.6,0.0,12.3,36
2016-05-06,40.1,27.3,54.0,14.6,0.0,11.5,34
2016-05-07,34.3,22.3,46.6,14.6,0.0,11.0,33
2016-05-08,30.7,17.6,43.7,14.6,0.0,10.8,33
2016-05-09,34.0,28.2,42.3,14.6,0.1,10.4,31
2016-05-10,31.6,15.8,45.7,14.7,0.7,10.6,33
2016-05-11,28.2,15.1,40.6,15.4,0.1,10.9,35
2016-05-12,33.3,16.3,51.1,15.5,0.0,11.0,33
2016-05-13,39.9,23.9,56.7,15.5,0.0,10.3,31
2016-05-14,41.9,25.2,58.5,15.5,0.0,9.5,28
2016-05-15,36.3,27.7,50.2,15.5,0.1,8.7,26
2016-05-16,35.6,27.7,48.2,15.6,0.2,8.5,25
2016-05-17,34.2,27.7,43.5,15.8,0.0,7.9,24
2016-05-18,35.2,20.7,52.0,15.8,0.3,7.4,22
2016-05-19,37.4,28.4,51.1,16.1,0.0,6.9,21
2016-05-20,42.4,28.0,58.3,16.1,0.0,6.5,19
2016-05-21,46.8,31.3,61.3,16.1,0.0,5.7,16
2016-05-22,41.2,26.8,55.9,16.1,0.0,4.8,14
2016-05-23,36.3,24.8,51.8,16.1,0.2,4.0,12
2016-05-24,39.0,23.5,56.8,16.3,0.0,3.6,10
2016-05-25,37.2,24.4,52.2,16.3,0.1,2.6,8
2016-05-26,34.3,22.3,47.3,16.4,0.0,1.7,5
2016-05-27,34.5,27.7,45.7,16.4,0.0,1.2,4
2016-05-28,36.3,25.3,52.7,16.4,0.2,0.8,2
2016-05-29,38.5,25.3,56.7,16.6,0.1,0.0,0
2016-05-30,39.2,27.1,59.7,16.7,0.0,0.0,0
2016-05-31,38.8,25.9,56.5,16.7,0.1,0.0,0
2016-06-01,42.6,26.6,58.8,16.8,0.1,0.0,0
2016-06-02,44.1,28.8,61.0,16.9,0.0,0.0,0
2016-06-03,46.6,33.1,60.1,16.9,0.1,0.0,0
2016-06-04,47.7,32.4,66.6,17.0,0.1,0.0,0
2016-06-05,47.8,31.6,66.2,17.1,0.0,0.0,0
2016-06-06,48.4,33.4,68.4,17.1,0.0,0.0,0
2016-06-07,49.8,32.5,70.3,17.1,0.1,0.0,0
2016-06-08,47.7,32.9,66.0,17.2,0.0,0.0,0
2016-06-09,48.6,34.9,69.1,17.2,0.0,0.0,0
2016-06-10,52.0,36.5,71.6,17.2,0.0,0.0,0
2016-06-11,50.4,36.1,70.9,17.2,0.0,0.0,0
2016-06-12,44.6,35.1,66.0,17.2,0.0,0.0,0
2016-06-13,40.5,,62.1,17.2,0.5,0.0,0
2016-06-14,43.0,30.4,59.9,17.7,0.0,0.0,0
2016-06-15,48.0,30.4,70.5,17.7,0.0,0.0,0
2016-06-16,47.8,28.8,72.3,17.7,0.0,0.0,0
2016-06-17,51.3,32.4,76.1,17.7,0.0,0.0,0
2016-06-18,52.7,31.6,75.2,17.7,0.0,0.0,0
2016-06-19,55.6,36.5,77.0,17.7,0.0,0.0,0
2016-06-20,57.7,39.9,,17.7,0.0,0.0,0
2016-06-21,57.7,41.7,76.5,17.7,0.0,0.0,0
2016-06-22,51.4,37.2,73.8,17.7,0.0,0.0,0
2016-06-23,50.4,36.5,68.4,17.7,0.0,0.0,0
2016-06-24,51.3,34.9,69.4,17.7,0.0,0.0,0
2016-06-25,52.2,36.7,70.9,17.7,0.0,0.0,0
2016-06-26,51.3,32.7,75.6,17.7,0.0,0.0,0
2016-06-27,52.0,32.9,72.0,17.7,0.0,0.0,0
2016-06-28,54.3,36.0,73.6,17.7,0.0,0.0,0
2016-06-29,51.1,36.5,73.4,17.7,0.0,0.0,0
2016-06-30,49.5,39.0,60.4,17.7,0.1,0.0,0
2016-07-01,48.4,44.2,57.0,17.8,0.1,0.0,0
2016-07-02,49.1,42.3,60.8,17.9,0.0,0.0,0
2016-07-03,46.8,36.7,62.6,17.9,0.1,0.0,0
2016-07-04,49.8,34.3,70.0,18.0,0.0,0.0,0
2016-07-05,51.6,37.0,68.7,18.0,0.0,0.0,0
2016-07-06,52.0,36.3,68.7,18.0,0.0,0.0,0
2016-07-07,53.4,38.7,70.0,18.0,0.0,0.0,0
2016-07-08,53.1,36.3,71.6,18.0,0.0,0.0,0
2016-07-09,53.4,36.1,76.3,18.0,0.0,0.0,0
2016-07-10,55.8,38.3,71.8,18.0,0.0,0.0,0
2016-07-11,50.4,34.0,64.9,18.0,0.0,0.0,0
2016-07-12,50.9,31.8,68.7,18.0,0.0,0.0,0
2016-07-13,52.0,33.4,70.5,18.0,0.0,0.0,0
2016-07-14,50.9,34.0,68.7,18.0,0.0,0.0,0
2016-07-15,51.4,33.1,69.6,18.0,0.0,0.0,0
2016-07-16,53.8,33.1,71.2,18.0,0.0,0.0,0
2016-07-17,54.3,37.2,73.2,18.0,0.0,0.0,0
2016-07-18,53.8,37.4,73.4,18.0,0.0,0.0,0
2016-07-19,52.9,40.1,66.4,18.0,0.0,0.0,0
2016-07-20,51.3,38.7,68.0,18.0,0.1,0.0,0
2016-07-21,51.4,40.6,64.8,18.1,0.0,0.0,0
2016-07-22,51.3,40.5,68.0,18.1,0.0,0.0,0
2016-07-23,54.7,40.5,71.8,18.1,0.0,0.0,0
2016-07-24,54.3,37.8,71.8,18.1,0.0,0.0,0
2016-07-25,51.3,36.0,68.4,18.1,0.0,0.0,0
2016-07-26,50.7,36.9,68.5,18.1,0.0,0.0,0
2016-07-27,54.1,36.3,73.8,18.1,0.0,0.0,0
2016-07-28,55.0,37.9,73.9,18.1,0.0,0.0,0
2016-07-29,53.6,35.1,73.0,18.1,0.0,0.0,0
2016-07-30,54.3,34.9,73.4,18.1,0.0,0.0,0
2016-07-31,51.4,38.7,68.5,18.1,0.3,0.0,0
2016-08-01,53.8,38.7,70.9,18.4,0.0,0.0,0
2016-08-02,54.9,40.8,69.8,18.4,0.1,0.0,0
2016-08-03,54.0,41.7,72.7,18.5,0.0,0.0,0
2016-08-04,48.9,44.4,55.6,18.5,0.8,0.0,0
2016-08-05,48.2,43.9,57.4,19.3,0.2,0.0,0
2016-08-06,49.8,40.1,61.0,19.5,0.1,0.0,0
2016-08-07,51.6,37.2,68.5,19.6,0.0,0.0,0
2016-08-08,48.6,39.9,64.8,19.6,0.0,0.0,0
2016-08-09,48.9,37.2,70.0,19.6,0.0,0.0,0
2016-08-10,49.5,37.0,66.6,19.6,0.1,0.0,0
2016-08-11,49.3,36.3,66.2,19.7,0.0,0.0,0
2016-08-12,46.4,32.4,64.0,19.7,0.0,0.0,0
2016-08-13,45.0,28.8,65.8,19.7,0.0,0.0,0
2016-08-14,47.8,30.6,68.2,19.7,0.0,0.0,0
2016-08-15,49.5,33.3,70.9,19.7,0.0,0.0,0
2016-08-16,46.0,34.0,65.8,19.7,0.0,0.0,0
2016-08-17,45.5,34.9,64.4,19.7,0.1,0.0,0
2016-08-18,45.5,35.1,61.0,19.8,0.1,0.0,0
2016-08-19,46.0,34.3,62.1,19.9,0.0,0.0,0
2016-08-20,47.1,32.4,64.8,19.9,0.1,0.0,0
2016-08-21,50.2,32.7,66.9,20.0,0.0,0.0,0
2016-08-22,44.8,35.6,65.7,20.0,0.0,0.0,0
2016-08-23,43.5,34.3,60.4,20.0,0.3,0.0,0
2016-08-24,42.3,30.0,58.6,20.3,0.0,0.0,0
2016-08-25,40.5,29.7,58.6,20.3,0.3,0.0,0
2016-08-26,42.1,32.4,54.3,20.6,0.0,0.0,0
2016-08-27,42.3,30.6,55.9,20.6,0.1,0.0,0
2016-08-28,42.4,34.0,59.5,20.7,0.0,0.0,0
2016-08-29,40.6,32.4,58.3,20.7,0.0,0.0,0
2016-08-30,41.9,30.4,60.1,20.7,0.2,0.0,0
2016-08-31,47.5,33.3,65.8,20.9,0.1,0.0,0
2016-09-01,48.2,36.3,64.8,21.0,0.0,0.0,0
2016-09-02,46.2,36.5,61.3,21.0,0.0,0.0,0
2016-09-03,45.7,36.1,64.2,21.0,0.2,0.0,0
2016-09-04,45.5,32.2,61.2,21.2,0.1,0.0,0
2016-09-05,44.2,27.7,65.8,21.3,0.1,0.0,0
2016-09-06,49.3,31.5,64.0,21.4,0.0,0.0,0
2016-09-07,46.8,32.2,64.2,21.4,0.0,0.0,0
2016-09-08,45.3,29.5,65.5,21.4,0.0,0.0,0
2016-09-09,43.9,28.8,63.1,21.4,0.0,0.0,0
2016-09-10,44.6,26.2,67.1,21.4,0.0,0.0,0
2016-09-11,47.5,31.8,65.8,21.4,0.0,0.0,0
2016-09-12,44.8,32.0,61.7,21.4,0.0,0.0,0
2016-09-13,41.4,29.1,62.6,21.4,0.0,0.0,0
2016-09-14,43.5,33.8,60.8,21.4,0.0,0.0,0
2016-09-15,38.8,25.9,55.6,21.4,0.0,0.0,0
2016-09-16,38.5,23.9,60.6,21.4,0.1,0.0,0
2016-09-17,39.9,26.4,63.5,21.5,0.0,0.0,0
2016-09-18,43.5,25.5,65.1,21.5,0.0,0.0,0
2016-09-19,47.8,29.7,70.3,21.5,0.1,0.0,0
2016-09-20,48.6,34.7,62.8,21.6,0.0,0.0,0
2016-09-21,46.0,36.9,57.0,21.6,0.0,0.0,0
2016-09-22,50.9,38.5,65.3,21.6,0.0,0.0,0
2016-09-23,38.7,23.2,50.9,21.6,0.0,0.0,0
2016-09-24,32.4,22.1,45.3,21.6,0.0,0.0,0
2016-09-25,36.1,21.2,55.9,21.6,0.0,0.0,0
2016-09-26,40.6,23.9,63.5,21.6,0.1,0.0,0
2016-09-27,44.2,28.4,70.5,21.7,0.0,0.0,0
2016-09-28,43.2,28.8,63.5,21.7,0.0,0.0,0
2016-09-29,44.8,29.8,63.5,21.7,0.0,0.0,0
2016-09-30,43.0,30.6,54.0,21.7,0.0,0.0,0
