Date,Vail Mountain (842) Air Temperature Average (degF),Vail Mountain (842) Air Temperature Minimum (degF),Vail Mountain (842) Air Temperature Maximum (degF),Vail Mountain (842) Precipitation Accumulation (in) Start of Day Values,Vail Mountain (842) Precipitation Increment (in),Vail Mountain (842) Snow Water Equivalent (in) Start of Day Values,Vail Mountain (842) Snow Depth (in) Start of Day Values
2016-02-04,5.4,-4.7,16.7,11.8,0.2,11.2,51
2016-02-05,6.8,3.2,15.1,12.0,0.0,11.5,50
2016-02-06,16.9,5.7,27.1,12.0,0.1,11.7,49
2016-02-07,19.4,15.6,27.5,12.1,0.0,11.9,48
2016-02-08,22.1,15.1,31.5,12.1,0.0,11.9,46
2016-02-09,26.2,17.8,36.1,12.1,0.0,11.9,46
2016-02-10,31.6,24.6,42.1,12.1,0.0,11.9,45
2016-02-11,31.3,24.6,42.1,12.1,0.0,11.9,45
2016-02-12,34.3,27.5,44.8,12.1,0.0,11.9,44
2016-02-13,32.0,23.0,41.2,12.1,0.0,11.9,44
2016-02-14,21.2,18.9,26.8,12.1,0.3,11.9,43
2016-02-15,23.0,19.0,25.9,12.4,0.4,12.2,46
2016-02-16,27.0,23.9,34.9,12.8,0.0,12.5,48
2016-02-17,36.9,25.2,51.4,12.8,0.1,12.6,47
2016-02-18,30.9,16.2,42.3,12.9,0.1,12.6,46
2016-02-19,25.5,12.2,36.3,13.0,0.0,13.1,50
2016-02-20,29.7,21.6,36.9,13.0,0.0,13.1,49
2016-02-21,27.1,19.8,37.0,13.0,0.0,13.2,48
2016-02-22,19.8,14.4,27.9,13.0,0.0,13.3,47
2016-02-23,15.3,9.1,24.6,13.0,0.0,13.4,48
2016-02-24,17.2,8.1,27.0,13.0,0.0,13.4,48
2016-02-25,24.4,14.7,35.1,13.0,0.1,13.6,47
2016-02-26,29.8,21.2,40.3,13.1,0.0,13.8,47
2016-02-27,32.7,23.5,43.5,13.1,0.0,13.8,46
2016-02-28,27.5,18.3,38.7,13.1,0.0,13.8,45
2016-02-29,25.7,15.4,34.3,13.1,0.0,13.8,46
2016-03-01,25.0,13.5,34.7,13.1,0.0,13.8,45
2016-03-02,27.7,20.7,34.5,13.1,0.1,13.8,45
2016-03-03,31.3,19.8,44.1,13.2,0.1,13.9,46
2016-03-04,32.9,27.7,40.8,13.3,0.0,13.9,45
2016-03-05,35.8,26.2,47.1,13.3,0.0,13.9,45
2016-03-06,30.4,25.5,37.4,13.3,0.1,13.9,44
2016-03-07,21.6,16.5,28.4,13.4,0.3,14.0,45
2016-03-08,20.1,12.6,30.7,13.7,0.0,14.4,49
2016-03-09,21.6,14.7,30.9,13.7,0.0,14.4,48
2016-03-10,30.7,18.3,42.1,13.7,0.1,14.5,47
2016-03-11,40.3,30.4,49.6,13.8,0.0,14.6,47
2016-03-12,33.4,25.0,43.7,13.8,0.0,14.8,45
2016-03-13,30.6,22.6,39.4,13.8,0.1,15.0,45
2016-03-14,23.9,13.5,30.6,13.9,0.5,15.1,44
2016-03-15,13.6,8.4,18.9,14.4,0.2,15.9,50
2016-03-16,14.9,8.2,19.0,14.6,0.2,16.4,53
2016-03-17,20.3,12.9,32.4,14.8,0.1,16.7,54
2016-03-18,16.0,9.9,25.2,14.9,0.1,17.2,56
2016-03-19,17.8,10.4,27.7,15.0,0.0,17.3,56
2016-03-20,29.5,14.4,39.2,15.0,0.1,17.3,54
2016-03-21,38.8,28.0,47.1,15.1,0.0,17.3,52
2016-03-22,32.5,18.3,42.4,15.1,0.3,17.3,50
2016-03-23,16.5,14.7,20.1,15.4,0.5,17.6,53
2016-03-24,20.1,13.6,28.4,15.9,0.1,18.5,58
2016-03-25,16.0,7.5,20.8,16.0,0.2,18.7,57
2016-03-26,13.1,6.1,22.6,16.2,0.0,18.9,60
2016-03-27,21.7,9.0,32.4,16.2,0.1,18.9,58
2016-03-28,33.8,24.3,43.5,16.3,0.1,18.9,57
2016-03-29,28.4,13.5,44.1,16.4,0.3,18.9,56
2016-03-30,16.5,11.7,23.5,16.7,0.2,19.1,58
2016-03-31,16.0,10.0,25.3,16.9,0.1,19.4,59
2016-04-01,17.4,8.6,28.8,17.0,0.0,19.4,60
2016-04-02,28.8,15.6,41.2,17.0,0.1,19.4,58
2016-04-03,34.3,24.4,43.7,17.1,0.0,19.4,56
2016-04-04,38.5,29.7,47.8,17.1,0.0,19.5,53
2016-04-05,25.7,17.6,37.0,17.1,0.1,19.8,51
2016-04-06,30.9,16.2,42.6,17.2,0.0,19.8,54
2016-04-07,37.8,28.0,48.0,17.2,0.0,19.9,52
2016-04-08,41.0,30.4,53.1,17.2,0.1,19.9,51
2016-04-09,34.0,30.2,44.2,17.3,0.0,20.0,49
2016-04-10,33.1,28.2,44.1,17.3,0.1,20.0,48
2016-04-11,34.0,28.8,43.7,17.4,0.1,19.9,48
2016-04-12,34.5,28.4,45.9,17.5,0.1,19.9,47
2016-04-13,38.3,28.8,47.5,17.6,0.0,19.9,47
2016-04-14,39.2,32.7,48.9,17.6,0.0,19.5,45
2016-04-15,25.9,22.3,34.3,17.6,1.1,19.2,44
2016-04-16,22.1,17.4,30.6,18.7,0.3,20.3,56
2016-04-17,21.6,15.6,30.0,19.0,0.1,20.5,56
2016-04-18,24.1,18.9,34.5,19.1,0.0,20.5,53
2016-04-19,25.2,18.3,33.3,19.1,0.1,20.5,53
2016-04-20,30.6,23.2,40.1,19.2,0.0,20.5,52
2016-04-21,39.4,28.0,49.5,19.2,0.0,20.6,51
2016-04-22,45.7,32.0,57.4,19.2,0.0,20.6,48
2016-04-23,38.1,24.3,52.0,19.2,0.2,20.3,46
2016-04-24,30.6,23.5,40.6,19.4,0.0,19.9,47
2016-04-25,36.3,23.7,49.8,19.4,0.3,20.0,46
2016-04-26,24.6,20.7,32.5,19.7,0.2,20.0,47
2016-04-27,26.6,20.8,35.1,19.9,0.1,20.0,48
2016-04-28,30.4,26.4,39.2,20.0,0.2,20.2,46
2016-04-29,26.6,22.6,31.8,20.2,0.5,20.4,48
2016-04-30,24.4,20.1,30.6,20.7,0.4,20.9,51
2016-05-01,25.5,17.6,36.0,21.1,0.0,21.3,53
2016-05-02,32.5,21.6,43.7,21.1,0.0,21.2,50
2016-05-03,38.8,27.1,49.5,21.1,0.0,21.2,48
2016-05-04,46.2,34.5,55.0,21.1,0.0,21.1,47
2016-05-05,49.8,39.4,59.9,21.1,0.0,20.5,43
2016-05-06,47.8,38.1,56.5,21.1,0.0,19.3,41
2016-05-07,34.2,25.2,46.8,21.1,0.0,18.5,40
2016-05-08,30.2,24.8,40.1,21.1,0.4,18.2,41
2016-05-09,32.0,27.5,36.7,21.5,0.5,18.6,43
2016-05-10,31.5,22.6,41.0,22.0,0.4,19.0,44
2016-05-11,30.7,20.3,39.6,22.4,0.1,19.3,44
2016-05-12,39.4,26.6,49.1,22.5,0.0,19.3,43
2016-05-13,46.0,35.2,55.2,22.5,0.0,18.8,40
2016-05-14,48.0,39.6,57.4,22.5,0.0,17.7,39
2016-05-15,39.9,32.2,48.0,22.5,0.1,16.6,36
2016-05-16,33.4,30.0,40.1,22.6,0.4,15.9,35
2016-05-17,35.1,28.8,43.9,23.0,0.0,16.1,35
2016-05-18,37.4,28.2,49.5,23.0,0.0,15.4,32
2016-05-19,41.2,32.2,51.1,23.0,0.0,14.6,31
2016-05-20,47.3,37.8,56.1,23.0,0.0,13.2,28
2016-05-21,50.0,41.0,59.7,23.0,0.0,12.1,25
2016-05-22,43.0,32.5,54.7,23.0,0.0,10.6,22
2016-05-23,40.1,32.2,47.5,23.0,0.0,9.2,20
2016-05-24,45.3,34.7,54.3,23.0,0.0,8.8,19
2016-05-25,41.9,34.3,49.5,23.0,0.0,7.5,17
2016-05-26,37.4,29.8,49.1,23.0,0.1,6.0,14
2016-05-27,32.2,29.7,40.6,23.1,0.0,5.7,13
2016-05-28,39.0,30.2,48.6,23.1,0.0,5.7,12
2016-05-29,44.4,36.3,55.0,23.1,0.0,4.4,10
2016-05-30,45.0,38.5,54.7,23.1,0.0,3.3,7
2016-05-31,45.3,35.8,53.4,23.1,0.0,2.1,4
2016-06-01,47.1,36.0,56.5,23.1,0.0,0.7,2
2016-06-02,50.7,40.6,58.6,23.1,0.0,0.0,0
2016-06-03,51.3,43.9,59.9,23.1,0.0,0.0,0
2016-06-04,54.7,43.9,63.9,23.1,0.0,0.0,0
2016-06-05,55.6,45.5,63.7,23.1,0.0,0.0,0
2016-06-06,55.0,46.6,67.5,23.1,0.0,0.0,0
2016-06-07,55.6,44.8,65.8,23.1,0.0,0.0,0
2016-06-08,51.8,42.6,62.1,23.1,0.2,0.0,0
2016-06-09,54.3,44.4,66.2,23.3,0.0,0.0,0
2016-06-10,61.0,51.8,68.7,23.3,0.0,0.0,0
2016-06-11,57.2,47.8,68.9,23.3,0.0,0.0,0
2016-06-12,53.6,47.7,63.5,23.3,0.1,0.0,0
2016-06-13,45.9,32.7,59.4,23.4,0.0,0.0,0
2016-06-14,46.6,34.2,55.9,23.4,0.0,0.0,0
2016-06-15,57.6,43.9,67.8,23.4,0.0,0.0,0
2016-06-16,55.8,46.2,63.3,23.4,0.0,0.0,0
2016-06-17,59.9,49.6,70.2,23.4,0.0,0.0,0
2016-06-18,62.8,51.3,71.4,23.4,0.0,0.0,0
2016-06-19,64.4,55.0,73.0,23.4,0.0,0.0,0
2016-06-20,66.9,55.9,75.9,23.4,0.0,0.0,0
2016-06-21,64.2,54.3,75.2,23.4,0.0,0.0,0
2016-06-22,57.7,44.4,71.8,23.4,0.2,0.0,0
2016-06-23,55.0,46.6,64.9,23.6,0.2,0.0,0
2016-06-24,58.3,45.9,68.7,23.8,0.0,0.0,0
2016-06-25,58.5,48.4,68.0,23.8,0.0,0.0,0
2016-06-26,59.0,46.6,68.2,23.8,0.0,0.0,0
2016-06-27,61.3,52.0,70.0,23.8,0.0,0.0,0
2016-06-28,62.2,52.5,71.4,23.8,0.0,0.0,0
2016-06-29,56.1,46.6,69.4,23.8,0.0,0.0,0
2016-06-30,52.5,46.2,60.8,23.8,0.3,0.0,0
2016-07-01,47.5,44.6,52.0,24.1,0.4,0.0,0
2016-07-02,47.7,44.2,54.3,24.5,0.2,0.0,0
2016-07-03,50.0,42.6,60.1,24.7,0.0,0.0,0
2016-07-04,56.1,46.2,65.7,24.7,0.0,0.0,0
2016-07-05,57.7,49.8,66.2,24.7,0.0,0.0,0
2016-07-06,58.5,51.4,65.5,24.7,0.0,0.0,0
2016-07-07,58.6,50.2,65.8,24.7,0.0,0.0,0
2016-07-08,61.0,52.2,69.1,24.7,0.0,0.0,0
2016-07-09,62.1,53.2,70.7,24.7,0.0,0.0,0
2016-07-10,62.6,54.9,70.3,24.7,0.0,0.0,0
2016-07-11,54.7,48.6,61.2,24.7,0.0,0.0,0
2016-07-12,57.0,48.4,66.2,24.7,0.0,0.0,0
2016-07-13,59.2,50.7,67.6,24.7,0.0,0.0,0
2016-07-14,58.8,48.4,68.0,24.7,0.0,0.0,0
2016-07-15,59.9,49.6,69.6,24.7,0.0,0.0,0
2016-07-16,61.5,51.3,70.3,24.7,0.0,0.0,0
2016-07-17,63.1,55.0,71.2,24.7,0.0,0.0,0
2016-07-18,57.2,47.7,65.8,24.7,0.2,0.0,0
2016-07-19,55.9,47.5,65.5,24.9,0.1,0.0,0
2016-07-20,55.0,48.2,66.6,25.0,1.0,0.0,0
2016-07-21,55.0,47.3,66.0,26.0,0.6,0.0,0
2016-07-22,57.9,49.5,68.4,26.6,0.0,0.0,0
2016-07-23,60.8,52.0,70.3,26.6,0.0,0.0,0
2016-07-24,59.9,51.1,71.2,26.6,0.0,0.0,0
2016-07-25,61.7,52.2,70.9,26.6,0.0,0.0,0
2016-07-26,57.9,51.4,68.5,26.6,0.0,0.0,0
2016-07-27,62.1,51.6,71.8,26.6,0.0,0.0,0
2016-07-28,63.5,55.4,72.5,26.6,0.0,0.0,0
2016-07-29,61.3,52.2,69.6,26.6,0.0,0.0,0
2016-07-30,61.9,53.1,71.4,26.6,0.0,0.0,0
2016-07-31,55.9,48.9,64.4,26.6,0.0,0.0,0
2016-08-01,59.4,46.8,68.4,26.6,0.0,0.0,0
2016-08-02,60.8,54.1,69.6,26.6,0.0,0.0,0
2016-08-03,61.3,52.2,73.4,26.6,0.0,0.0,0
2016-08-04,50.2,45.9,58.6,26.6,0.5,0.0,0
2016-08-05,50.2,45.9,54.1,27.1,0.3,0.0,0
2016-08-06,51.6,47.1,62.1,27.4,0.2,0.0,0
2016-08-07,56.8,48.4,67.6,27.6,0.0,0.0,0
2016-08-08,53.8,44.4,62.8,27.6,0.1,0.0,0
2016-08-09,55.9,47.5,67.1,27.7,0.1,0.0,0
2016-08-10,54.7,47.7,64.9,27.8,0.0,0.0,0
2016-08-11,52.9,44.6,63.7,27.8,0.0,0.0,0
2016-08-12,52.5,43.9,61.9,27.8,0.0,0.0,0
2016-08-13,54.7,45.7,64.2,27.8,0.0,0.0,0
2016-08-14,57.0,46.0,65.8,27.8,0.0,0.0,0
2016-08-15,58.8,52.5,69.1,27.8,0.0,0.0,0
2016-08-16,55.4,47.5,66.6,27.8,0.0,0.0,0
2016-08-17,53.4,46.6,66.9,27.8,0.0,0.0,0
2016-08-18,49.8,42.4,59.4,27.8,0.2,0.0,0
2016-08-19,50.4,42.1,60.8,28.0,0.0,0.0,0
2016-08-20,52.0,42.4,63.0,28.0,0.0,0.0,0
2016-08-21,57.0,46.4,66.9,28.0,0.0,0.0,0
2016-08-22,52.9,45.5,63.0,28.0,0.0,0.0,0
2016-08-23,48.0,40.1,59.9,28.0,0.1,0.0,0
2016-08-24,46.8,40.1,56.5,28.1,0.0,0.0,0
2016-08-25,44.8,36.0,57.2,28.1,0.3,0.0,0
2016-08-26,44.4,36.5,55.4,28.4,0.0,0.0,0
2016-08-27,47.8,36.9,57.2,28.4,0.1,0.0,0
2016-08-28,46.0,39.9,56.7,28.5,0.4,0.0,0
2016-08-29,47.5,42.4,56.1,28.9,0.1,0.0,0
2016-08-30,51.1,42.8,59.7,29.0,0.0,0.0,0
2016-08-31,55.4,44.8,66.0,29.0,0.0,0.0,0
2016-09-01,54.7,47.1,64.8,29.0,0.1,0.0,0
2016-09-02,50.0,42.4,58.8,29.1,0.5,0.0,0
2016-09-03,51.1,42.3,61.2,29.6,0.2,0.0,0
2016-09-04,50.9,42.3,60.6,29.8,0.0,0.0,0
2016-09-05,54.0,45.0,64.2,29.8,0.0,0.0,0
2016-09-06,55.0,47.7,63.3,29.8,0.0,0.0,0
2016-09-07,53.1,43.0,62.2,29.8,0.0,0.0,0
2016-09-08,53.8,44.2,63.3,29.8,0.0,0.0,0
2016-09-09,48.9,41.2,59.9,29.8,0.0,0.0,0
2016-09-10,52.5,41.2,63.1,29.8,0.0,0.0,0
2016-09-11,53.1,40.8,64.4,29.8,0.0,0.0,0
2016-09-12,50.0,41.7,62.6,29.8,0.0,0.0,0
2016-09-13,47.1,38.5,57.7,29.8,0.0,0.0,0
2016-09-14,45.7,35.6,58.3,29.8,0.2,0.0,0
2016-09-15,42.1,34.2,53.2,30.0,0.0,0.0,0
2016-09-16,43.9,33.3,54.7,30.0,0.0,0.0,0
2016-09-17,45.7,36.3,55.6,30.0,0.0,0.0,0
2016-09-18,50.4,39.4,62.6,30.0,0.0,0.0,0
2016-09-19,56.1,46.4,66.0,30.0,0.0,0.0,0
2016-09-20,54.0,43.9,62.6,30.0,0.0,0.0,0
2016-09-21,48.6,42.4,56.5,30.0,0.0,0.0,0
2016-09-22,54.7,47.5,65.5,30.0,0.0,0.0,0
2016-09-23,36.7,25.5,55.0,30.0,0.1,0.0,0
2016-09-24,30.6,25.5,36.3,30.1,0.1,0.0,0
2016-09-25,38.1,27.5,49.8,30.2,0.0,0.0,0
2016-09-26,47.1,35.8,58.3,30.2,0.0,0.0,0
2016-09-27,51.8,42.3,62.8,30.2,0.0,0.0,0
2016-09-28,54.0,44.6,66.0,30.2,0.0,0.0,0
2016-09-29,48.9,41.0,54.7,30.2,0.0,0.0,0
2016-09-30,43.9,40.1,54.7,30.2,0.0,0.0,0
