Date,Lynx Pass (607) Air Temperature Average (degF),Lynx Pass (607) Air Temperature Minimum (degF),Lynx Pass (607) Air Temperature Maximum (degF),Lynx Pass (607) Precipitation Accumulation (in) Start of Day Values,Lynx Pass (607) Precipitation Increment (in),Lynx Pass (607) Snow Water Equivalent (in) Start of Day Values,Lynx Pass (607) Snow Depth (in) Start of Day Values
2016-01-01,-2.2,-20.2,18.7,5.7,0.0,4.8,24
2016-01-02,3.4,-18.4,25.2,5.7,0.1,4.8,24
2016-01-03,14.4,-3.3,35.6,5.8,0.1,5.0,23
2016-01-04,19.6,4.6,38.8,5.9,0.0,5.0,23
2016-01-05,20.3,9.7,33.1,5.9,0.0,5.0,23
2016-01-06,23.4,12.9,32.5,5.9,0.0,5.1,21
2016-01-07,22.6,18.3,28.4,5.9,0.4,5.2,23
2016-01-08,18.0,7.9,27.1,6.3,0.0,5.5,28
2016-01-09,12.2,3.6,21.9,6.3,0.0,5.5,27
2016-01-10,6.3,-9.4,18.3,6.3,0.0,5.5,26
2016-01-11,0.3,-11.4,16.9,6.3,0.0,5.5,28
2016-01-12,5.2,-16.2,27.1,6.3,0.1,5.5,28
2016-01-13,14.0,-3.6,29.3,6.4,0.1,5.6,26
2016-01-14,17.1,7.5,27.0,6.5,0.1,5.7,26
2016-01-15,16.0,11.8,25.7,6.6,0.2,5.8,26
2016-01-16,14.0,3.9,22.1,6.8,0.4,6.2,34
2016-01-17,20.1,11.5,28.2,7.2,0.3,6.6,34
2016-01-18,23.5,14.2,34.3,7.5,0.1,6.8,36
2016-01-19,21.4,9.9,30.7,7.6,0.0,7.0,34
2016-01-20,18.7,10.0,30.6,7.6,0.2,7.0,34
2016-01-21,13.3,0.0,24.3,7.8,0.0,7.2,36
2016-01-22,14.2,-4.7,32.5,7.8,0.1,7.2,37
2016-01-23,20.8,2.8,39.4,7.9,0.0,7.2,35
2016-01-24,18.0,5.9,33.4,7.9,0.2,7.3,32
2016-01-25,14.5,6.1,24.1,8.1,0.0,7.5,35
2016-01-26,6.3,-5.1,19.9,8.1,0.0,7.5,35
2016-01-27,11.7,-7.1,30.6,8.1,0.0,7.5,35
2016-01-28,19.0,2.8,34.2,8.1,0.0,7.5,34
2016-01-29,26.4,11.7,36.3,8.1,0.2,7.6,33
2016-01-30,27.9,14.5,38.7,8.3,0.1,7.7,34
2016-01-31,14.5,4.5,19.6,8.4,0.3,7.9,35
2016-02-01,17.4,9.0,27.7,8.7,0.2,8.1,35
2016-02-02,7.3,1.0,15.8,8.9,0.0,8.3,38
2016-02-03,1.6,-10.7,11.7,8.9,0.0,8.4,39
2016-02-04,5.0,-11.0,16.2,8.9,0.2,8.5,38
2016-02-05,8.6,-4.2,21.7,9.1,0.0,8.7,38
2016-02-06,9.9,-8.3,27.9,9.1,0.0,8.7,38
2016-02-07,21.0,12.2,31.3,9.1,0.1,8.7,38
2016-02-08,20.3,5.4,35.8,9.2,0.0,8.7,36
2016-02-09,18.0,0.3,37.4,9.2,0.0,8.7,36
2016-02-10,21.0,1.9,44.1,9.2,0.0,8.7,36
2016-02-11,24.3,6.6,45.3,9.2,0.0,8.7,35
2016-02-12,27.9,11.5,48.0,9.2,0.0,8.7,35
2016-02-13,28.8,13.1,45.5,9.2,0.0,8.8,34
2016-02-14,24.4,12.6,34.0,9.2,0.2,8.8,34
2016-02-15,30.6,25.0,36.7,9.4,0.3,9.1,36
2016-02-16,30.6,16.2,41.9,9.7,0.0,9.3,37
2016-02-17,30.9,11.7,48.4,9.7,0.0,9.3,37
2016-02-18,32.7,16.3,43.9,9.7,0.1,9.3,36
2016-02-19,26.2,10.2,40.8,9.8,0.0,9.4,36
2016-02-20,27.5,16.5,46.0,9.8,0.0,9.4,36
2016-02-21,24.3,8.4,43.0,9.8,0.0,9.5,34
2016-02-22,19.8,9.0,28.2,9.8,0.0,9.6,35
2016-02-23,17.1,-2.7,29.3,9.8,0.0,9.6,35
2016-02-24,13.5,-10.5,34.2,9.8,0.0,9.6,35
2016-02-25,21.4,2.1,39.6,9.8,0.0,9.6,35
2016-02-26,25.0,7.9,43.2,9.8,0.0,9.6,35
2016-02-27,28.8,7.0,47.3,9.8,0.0,9.6,34
2016-02-28,28.0,14.5,42.1,9.8,0.0,9.6,33
2016-02-29,22.5,9.9,40.8,9.8,0.2,9.6,33
2016-03-01,25.5,11.5,39.2,10.0,0.0,9.7,35
2016-03-02,31.6,23.9,43.2,10.0,0.1,9.8,34
2016-03-03,30.7,13.8,46.0,10.1,0.0,9.8,34
2016-03-04,29.8,15.1,47.1,10.1,0.0,9.8,34
2016-03-05,32.9,14.2,49.6,10.1,0.1,9.8,33
2016-03-06,34.7,26.6,43.2,10.2,0.0,9.8,32
2016-03-07,24.8,18.3,30.4,10.2,0.1,9.8,31
2016-03-08,21.6,9.7,34.2,10.3,0.0,10.0,34
2016-03-09,20.3,2.3,34.3,10.3,0.0,10.0,34
2016-03-10,27.3,7.9,44.1,10.3,0.0,10.0,33
2016-03-11,34.2,14.7,51.6,10.3,0.0,10.0,33
2016-03-12,35.1,26.2,49.5,10.3,0.0,10.0,32
2016-03-13,36.0,27.1,45.0,10.3,0.0,9.9,30
2016-03-14,29.1,16.9,39.2,10.3,0.3,9.9,29
2016-03-15,19.8,12.7,28.4,10.6,0.2,10.0,34
2016-03-16,20.1,12.9,30.9,10.8,0.1,10.2,34
2016-03-17,23.4,13.5,36.7,10.9,0.2,10.3,34
2016-03-18,16.0,3.9,30.2,11.1,0.0,10.5,35
2016-03-19,14.2,-0.9,30.4,11.1,0.0,10.5,33
2016-03-20,22.5,-5.3,45.9,11.1,0.0,10.5,33
2016-03-21,37.2,17.8,52.5,11.1,0.1,10.5,32
2016-03-22,36.0,22.3,47.8,11.2,0.1,10.5,30
2016-03-23,21.9,20.1,26.2,11.3,0.5,10.6,30
2016-03-24,26.4,15.6,36.7,11.8,0.1,11.1,36
2016-03-25,20.1,6.1,29.7,11.9,0.1,11.2,32
2016-03-26,14.9,-3.8,30.9,12.0,0.0,11.3,35
2016-03-27,20.5,-4.7,40.1,12.0,0.1,11.6,34
2016-03-28,34.3,16.0,47.7,12.1,0.0,11.6,32
2016-03-29,31.6,18.3,49.5,12.1,0.1,11.6,31
2016-03-30,20.8,10.9,30.2,12.2,0.1,11.7,32
2016-03-31,20.3,5.4,34.3,12.3,0.1,11.8,33
2016-04-01,18.3,1.2,33.1,12.4,0.0,11.9,33
2016-04-02,28.8,8.1,46.8,12.4,0.0,11.7,33
2016-04-03,35.8,20.1,50.7,12.4,0.0,11.6,31
2016-04-04,40.3,24.1,55.0,12.4,0.1,11.4,29
2016-04-05,30.7,23.0,45.3,12.5,0.1,11.0,26
2016-04-06,35.1,18.7,47.8,12.6,0.0,11.1,30
2016-04-07,39.0,26.8,49.8,12.6,0.0,10.8,26
2016-04-08,41.0,21.2,55.2,12.6,0.0,10.0,25
2016-04-09,37.4,29.5,49.6,12.6,0.0,9.4,23
2016-04-10,37.0,28.8,50.2,12.6,0.1,9.2,22
2016-04-11,36.9,27.7,48.0,12.7,0.0,8.7,21
2016-04-12,37.4,26.6,53.2,12.7,0.0,8.2,20
2016-04-13,39.2,22.6,53.2,12.7,0.0,7.6,19
2016-04-14,38.8,25.2,53.6,12.7,0.0,6.9,16
2016-04-15,27.5,25.0,32.9,12.7,0.3,6.3,14
2016-04-16,25.5,22.5,31.8,13.0,0.1,6.6,16
2016-04-17,25.7,19.2,35.8,13.1,0.0,6.7,18
2016-04-18,27.5,19.2,37.0,13.1,0.0,6.7,17
2016-04-19,29.1,15.8,40.5,13.1,0.2,6.8,16
2016-04-20,34.3,25.2,45.0,13.3,0.0,6.8,14
2016-04-21,38.7,19.6,54.9,13.3,0.0,6.7,14
2016-04-22,43.7,21.9,61.3,13.3,0.0,5.9,13
2016-04-23,39.2,28.8,58.5,13.3,0.0,5.0,11
2016-04-24,34.2,27.1,44.8,13.3,0.1,4.4,9
2016-04-25,37.4,23.5,54.9,13.4,0.3,4.6,10
2016-04-26,28.8,22.5,36.1,13.7,0.4,4.1,9
2016-04-27,30.4,23.9,41.9,14.1,0.1,4.5,13
2016-04-28,32.7,24.1,44.2,14.2,0.2,4.5,10
2016-04-29,31.5,28.0,36.1,14.4,0.2,4.6,11
2016-04-30,28.4,23.4,35.6,14.6,0.0,4.7,12
2016-05-01,30.9,22.3,41.9,14.6,0.0,4.8,11
2016-05-02,34.9,21.0,46.8,14.6,0.0,4.5,10
2016-05-03,39.2,19.8,55.4,14.6,0.0,4.1,9
2016-05-04,44.6,24.4,62.2,14.6,0.0,3.1,6
2016-05-05,49.3,27.0,64.4,14.6,0.0,1.9,3
2016-05-06,49.5,37.2,64.9,14.6,0.0,0.7,2
2016-05-07,35.8,30.4,42.1,14.6,0.2,0.0,0
2016-05-08,34.7,28.8,46.2,14.8,0.4,0.0,0
2016-05-09,36.3,31.3,45.3,15.2,0.5,0.0,0
2016-05-10,36.1,28.2,46.2,15.7,0.2,0.0,0
2016-05-11,33.4,22.1,45.0,15.9,0.0,0.0,0
2016-05-12,40.3,20.1,57.4,15.9,0.0,0.0,0
2016-05-13,46.4,25.0,63.7,15.9,0.0,0.0,0
2016-05-14,48.9,27.7,68.2,15.9,0.0,0.0,0
2016-05-15,42.8,34.3,56.5,15.9,0.3,0.0,0
2016-05-16,36.3,32.9,42.8,16.2,0.6,0.0,0
2016-05-17,38.8,30.2,53.2,16.8,0.1,0.0,0
2016-05-18,40.1,26.4,54.9,16.9,0.0,0.0,0
2016-05-19,42.4,30.2,55.6,16.9,0.0,0.0,0
2016-05-20,50.4,33.8,66.2,16.9,0.0,0.0,0
2016-05-21,52.2,33.8,70.2,16.9,0.0,0.0,0
2016-05-22,45.3,28.0,61.9,16.9,0.0,0.0,0
2016-05-23,41.0,24.6,55.9,16.9,0.0,0.0,0
2016-05-24,47.3,25.9,66.0,16.9,0.0,0.0,0
2016-05-25,44.8,28.8,59.9,16.9,0.0,0.0,0
2016-05-26,40.1,25.2,57.2,16.9,0.0,0.0,0
2016-05-27,40.1,29.7,53.4,16.9,0.0,0.0,0
2016-05-28,39.4,26.2,54.3,16.9,0.2,0.0,0
2016-05-29,45.3,27.1,63.7,17.1,0.0,0.0,0
2016-05-30,43.5,28.2,63.1,17.1,0.0,0.0,0
2016-05-31,46.0,28.0,61.2,17.1,0.0,0.0,0
2016-06-01,49.1,29.7,63.1,17.1,0.0,0.0,0
2016-06-02,52.0,29.8,68.9,17.1,0.0,0.0,0
2016-06-03,53.4,34.7,67.1,17.1,0.0,0.0,0
2016-06-04,55.9,36.1,73.2,17.1,0.0,0.0,0
2016-06-05,57.6,36.3,73.8,17.1,0.0,0.0,0
2016-06-06,57.2,38.8,72.9,17.1,0.0,0.0,0
2016-06-07,54.1,37.2,75.2,17.1,0.0,0.0,0
2016-06-08,53.8,36.1,68.0,17.1,0.0,0.0,0
2016-06-09,55.8,37.2,73.8,17.1,0.0,0.0,0
2016-06-10,59.2,38.7,77.5,17.1,0.0,0.0,0
2016-06-11,57.0,38.7,77.5,17.1,0.0,0.0,0
2016-06-12,54.7,37.0,73.2,17.1,0.0,0.0,0
2016-06-13,47.5,35.6,64.8,17.1,0.2,0.0,0
2016-06-14,48.9,29.7,65.5,17.3,0.0,0.0,0
2016-06-15,55.9,31.8,74.5,17.3,0.0,0.0,0
2016-06-16,57.7,39.4,72.3,17.3,0.0,0.0,0
2016-06-17,57.7,33.1,76.8,17.3,0.0,0.0,0
2016-06-18,59.2,32.5,79.0,17.3,0.0,0.0,0
2016-06-19,60.8,35.2,77.4,17.3,0.0,0.0,0
2016-06-20,65.3,41.0,84.0,17.3,0.0,0.0,0
2016-06-21,64.4,42.3,83.8,17.3,0.0,0.0,0
2016-06-22,55.8,41.0,78.3,17.3,0.2,0.0,0
2016-06-23,56.5,41.2,71.4,17.5,0.0,0.0,0
2016-06-24,61.5,47.7,77.2,17.5,0.0,0.0,0
2016-06-25,57.7,39.2,70.0,17.5,0.0,0.0,0
2016-06-26,56.7,33.8,74.5,17.5,0.0,0.0,0
2016-06-27,57.6,32.4,75.2,17.5,0.0,0.0,0
2016-06-28,59.4,36.5,79.0,17.5,0.0,0.0,0
2016-06-29,56.8,39.0,75.2,17.5,0.0,0.0,0
2016-06-30,52.7,41.2,68.7,17.5,0.3,0.0,0
2016-07-01,51.8,46.8,62.8,17.8,0.5,0.0,0
2016-07-02,51.3,46.0,61.9,18.3,0.0,0.0,0
2016-07-03,54.0,40.6,68.7,18.3,0.0,0.0,0
2016-07-04,55.9,36.9,73.2,18.3,0.0,0.0,0
2016-07-05,57.9,42.4,73.6,18.3,0.0,0.0,0
2016-07-06,59.0,39.2,74.3,18.3,0.0,0.0,0
2016-07-07,56.7,34.9,72.7,18.3,0.0,0.0,0
2016-07-08,59.0,35.6,77.2,18.3,0.0,0.0,0
2016-07-09,59.9,37.0,77.2,18.3,0.0,0.0,0
2016-07-10,61.5,41.9,76.8,18.3,0.0,0.0,0
2016-07-11,52.2,32.9,66.2,18.3,0.0,0.0,0
2016-07-12,54.7,28.8,73.4,18.3,0.0,0.0,0
2016-07-13,57.0,33.1,74.5,18.3,0.0,0.0,0
2016-07-14,56.7,33.3,73.9,18.3,0.0,0.0,0
2016-07-15,58.3,35.6,74.7,18.3,0.0,0.0,0
2016-07-16,59.4,39.6,80.1,18.3,0.0,0.0,0
2016-07-17,62.8,43.9,79.9,18.3,0.0,0.0,0
2016-07-18,57.4,46.4,71.8,18.3,0.0,0.0,0
2016-07-19,59.7,49.3,71.6,18.3,0.0,0.0,0
2016-07-20,57.0,42.4,71.8,18.3,0.1,0.0,0
2016-07-21,55.6,42.4,76.3,18.4,0.1,0.0,0
2016-07-22,58.6,39.4,76.3,18.5,0.0,0.0,0
2016-07-23,60.4,42.4,78.6,18.5,0.0,0.0,0
2016-07-24,60.8,43.7,77.7,18.5,0.0,0.0,0
2016-07-25,61.2,38.7,80.4,18.5,0.0,0.0,0
2016-07-26,58.6,41.9,78.1,18.5,0.0,0.0,0
2016-07-27,59.7,36.3,80.2,18.5,0.0,0.0,0
2016-07-28,61.0,36.1,81.0,18.5,0.0,0.0,0
2016-07-29,60.4,38.1,77.2,18.5,0.0,0.0,0
2016-07-30,61.7,38.3,79.5,18.5,0.0,0.0,0
2016-07-31,54.1,41.7,73.2,18.5,0.0,0.0,0
2016-08-01,59.5,36.3,78.3,18.5,0.0,0.0,0
2016-08-02,57.9,42.6,74.3,18.5,0.1,0.0,0
2016-08-03,59.5,39.6,79.2,18.6,0.0,0.0,0
2016-08-04,50.9,46.0,56.7,18.6,0.4,0.0,0
2016-08-05,53.6,47.8,64.0,19.0,0.0,0.0,0
2016-08-06,52.9,41.2,68.0,19.0,0.3,0.0,0
2016-08-07,57.0,35.6,75.2,19.3,0.0,0.0,0
2016-08-08,56.8,46.8,71.1,19.3,0.1,0.0,0
2016-08-09,58.5,40.5,78.6,19.4,0.0,0.0,0
2016-08-10,56.1,38.3,73.6,19.4,0.0,0.0,0
2016-08-11,53.2,39.2,72.3,19.4,0.1,0.0,0
2016-08-12,51.1,30.9,68.0,19.5,0.0,0.0,0
2016-08-13,52.5,29.8,72.7,19.5,0.0,0.0,0
2016-08-14,55.0,32.0,76.6,19.5,0.0,0.0,0
2016-08-15,54.9,32.9,78.6,19.5,0.0,0.0,0
2016-08-16,55.2,38.1,73.2,19.5,0.2,0.0,0
2016-08-17,54.3,35.2,72.3,19.7,0.0,0.0,0
2016-08-18,49.3,36.7,70.3,19.7,0.1,0.0,0
2016-08-19,50.2,30.9,68.0,19.8,0.0,0.0,0
2016-08-20,51.3,34.7,67.1,19.8,0.0,0.0,0
2016-08-21,54.9,29.1,75.2,19.8,0.0,0.0,0
2016-08-22,51.6,37.9,72.3,19.8,0.0,0.0,0
2016-08-23,45.7,,65.5,19.8,0.0,0.0,0
2016-08-24,51.6,38.3,68.0,19.8,0.0,0.0,0
2016-08-25,47.5,31.8,65.5,19.8,0.1,0.0,0
2016-08-26,46.6,32.9,62.1,19.9,0.0,0.0,0
2016-08-27,51.1,34.7,68.4,19.9,0.0,0.0,0
2016-08-28,47.8,33.1,65.7,19.9,0.0,0.0,0
2016-08-29,51.6,36.1,70.5,19.9,0.0,0.0,0
2016-08-30,53.4,32.9,70.5,19.9,0.0,0.0,0
2016-08-31,55.9,35.1,76.1,19.9,0.0,0.0,0
2016-09-01,56.7,37.0,72.9,19.9,0.0,0.0,0
2016-09-02,53.6,41.7,68.2,19.9,0.1,0.0,0
2016-09-03,54.3,38.7,74.5,20.0,0.0,0.0,0
2016-09-04,53.6,39.9,70.2,20.0,0.0,0.0,0
2016-09-05,55.6,36.5,72.7,20.0,0.0,0.0,0
2016-09-06,52.5,29.1,73.8,20.0,0.0,0.0,0
2016-09-07,51.3,30.6,73.0,20.0,0.0,0.0,0
2016-09-08,53.4,27.1,74.1,20.0,0.0,0.0,0
2016-09-09,47.5,27.1,64.2,20.0,0.0,0.0,0
2016-09-10,47.7,20.3,72.3,20.0,0.0,0.0,0
2016-09-11,53.2,26.8,76.8,20.0,0.0,0.0,0
2016-09-12,53.8,37.4,71.6,20.0,0.0,0.0,0
2016-09-13,50.4,32.7,69.4,20.0,0.0,0.0,0
2016-09-14,50.4,38.5,69.4,20.0,0.0,0.0,0
2016-09-15,41.4,27.5,61.5,20.0,0.0,0.0,0
2016-09-16,41.7,23.0,59.7,20.0,0.0,0.0,0
2016-09-17,44.4,24.8,63.7,20.0,0.0,0.0,0
2016-09-18,49.5,25.7,70.7,20.0,0.0,0.0,0
2016-09-19,53.1,29.7,76.1,20.0,0.0,0.0,0
2016-09-20,53.2,32.2,71.6,20.0,0.0,0.0,0
2016-09-21,53.4,46.2,65.7,20.0,0.0,0.0,0
2016-09-22,57.0,39.2,75.2,20.0,0.0,0.0,0
2016-09-23,38.5,29.7,55.4,20.0,0.3,0.0,0
2016-09-24,34.5,27.9,44.2,20.3,0.0,0.0,0
2016-09-25,39.9,27.0,54.1,20.3,0.0,0.0,0
2016-09-26,43.5,23.2,64.8,20.3,0.0,0.0,0
2016-09-27,48.0,26.6,69.6,20.3,0.0,0.0,0
2016-09-28,53.4,27.9,73.0,20.3,0.0,0.0,0
2016-09-29,50.0,32.5,69.4,20.3,0.0,0.0,0
2016-09-30,43.9,30.7,57.6,20.3,0.1,0.0,0
