Date,Jackwhacker Gulch (935) Air Temperature Average (degF),Jackwhacker Gulch (935) Air Temperature Minimum (degF),Jackwhacker Gulch (935) Air Temperature Maximum (degF),Jackwhacker Gulch (935) Precipitation Accumulation (in) Start of Day Values,Jackwhacker Gulch (935) Precipitation Increment (in),Jackwhacker Gulch (935) Snow Water Equivalent (in) Start of Day Values,Jackwhacker Gulch (935) Snow Depth (in) Start of Day Values
2015-11-09,34.0,24.8,47.7,3.4,0.1,1.8,8
2015-11-10,30.6,20.3,43.7,3.5,0.2,1.8,7
2015-11-11,18.5,14.5,23.0,3.7,0.4,2.1,12
2015-11-12,22.6,14.9,32.9,4.1,0.0,2.3,15
2015-11-13,29.7,20.3,39.7,4.1,0.1,2.3,13
2015-11-14,34.0,23.5,48.0,4.2,0.0,2.3,12
2015-11-15,30.2,18.3,42.6,4.2,0.0,2.3,11
2015-11-16,25.5,18.1,34.3,4.2,0.2,2.3,11
2015-11-17,18.5,15.3,24.4,4.4,0.2,2.6,15
2015-11-18,21.4,18.9,23.7,4.6,0.6,2.7,15
2015-11-19,24.8,19.8,28.6,5.2,0.2,3.1,19
2015-11-20,21.4,4.6,28.4,5.4,0.6,3.2,17
2015-11-21,14.5,3.9,23.4,6.0,0.0,3.8,24
2015-11-22,26.4,19.4,39.0,6.0,0.1,3.8,21
2015-11-23,31.8,23.7,40.8,6.1,0.0,3.9,19
2015-11-24,30.4,22.1,38.7,6.1,0.0,3.9,18
2015-11-25,28.6,17.2,42.1,6.1,0.1,3.9,18
2015-11-26,16.7,7.2,27.5,6.2,0.0,3.9,17
2015-11-27,14.0,0.0,22.8,6.2,0.1,3.9,19
2015-11-28,18.0,11.8,26.6,6.3,0.1,4.0,20
2015-11-29,16.3,9.1,25.9,6.4,0.1,4.1,19
2015-11-30,7.0,4.3,10.4,6.5,0.1,4.2,22
2015-12-01,11.8,4.1,18.7,6.6,0.0,4.3,21
2015-12-02,23.7,13.8,32.5,6.6,0.1,4.3,20
2015-12-03,25.3,19.4,33.4,6.7,0.0,4.3,19
2015-12-04,34.3,27.9,46.0,6.7,0.0,4.3,19
2015-12-05,21.9,14.9,28.8,6.7,0.0,4.3,19
2015-12-06,32.4,19.4,43.3,6.7,0.0,4.3,18
2015-12-07,33.3,27.9,39.9,6.7,0.1,4.3,18
2015-12-08,30.4,26.6,36.7,6.8,0.0,4.3,18
2015-12-09,36.3,30.4,43.5,6.8,0.0,4.3,18
2015-12-10,34.3,22.3,40.8,6.8,0.0,4.3,17
2015-12-11,29.1,21.6,38.5,6.8,0.1,4.3,17
2015-12-12,21.7,15.3,26.4,6.9,0.5,4.3,17
2015-12-13,23.4,10.0,32.7,7.4,0.1,4.8,25
2015-12-14,23.2,16.0,32.4,7.5,0.3,4.8,23
2015-12-15,10.6,4.5,18.5,7.8,0.3,5.3,29
2015-12-16,6.3,4.1,13.1,8.1,0.1,5.6,30
2015-12-17,5.2,2.5,12.0,8.2,0.1,5.6,28
2015-12-18,21.7,11.3,29.7,8.3,0.1,5.7,27
2015-12-19,30.4,17.2,39.7,8.4,0.1,5.7,26
2015-12-20,23.2,17.8,31.1,8.5,0.0,5.8,26
2015-12-21,20.1,16.9,23.7,8.5,0.3,5.8,26
2015-12-22,22.8,15.6,28.6,8.8,0.2,5.9,27
2015-12-23,11.3,2.8,16.9,9.0,0.3,6.2,30
2015-12-24,6.6,1.0,13.5,9.3,0.1,6.5,32
2015-12-25,11.3,3.9,21.0,9.4,0.1,6.6,32
2015-12-26,1.8,-9.0,14.0,9.5,0.0,6.7,31
2015-12-27,9.7,-9.0,28.2,9.5,0.0,6.7,30
2015-12-28,16.9,4.5,28.8,9.5,0.0,6.7,30
2015-12-29,9.5,2.5,25.5,9.5,0.0,6.7,30
2015-12-30,6.3,-0.8,14.0,9.5,0.0,6.7,29
2015-12-31,3.9,-3.5,15.8,9.5,0.0,6.7,29
2016-01-01,9.1,-2.6,27.5,9.5,0.0,6.7,29
2016-01-02,21.7,9.3,34.3,9.5,0.1,6.7,29
2016-01-03,25.5,16.7,39.0,9.6,0.0,6.8,28
2016-01-04,23.7,14.7,40.1,9.6,0.0,6.8,28
2016-01-05,24.3,16.2,37.2,9.6,0.0,6.8,28
2016-01-06,23.5,16.9,31.8,9.6,0.0,6.8,28
2016-01-07,20.3,12.4,26.2,9.6,0.0,6.8,28
2016-01-08,13.3,6.6,21.6,9.6,0.0,6.8,28
2016-01-09,12.6,6.4,19.0,9.6,0.1,6.8,28
2016-01-10,9.5,3.7,18.1,9.7,0.0,6.8,29
2016-01-11,18.7,11.3,28.2,9.7,0.0,6.8,29
2016-01-12,22.1,13.8,32.9,9.7,0.0,6.8,29
2016-01-13,27.5,20.8,36.9,9.7,0.0,6.9,28
2016-01-14,17.8,12.0,27.0,9.7,0.1,6.9,28
2016-01-15,13.6,8.8,22.6,9.8,0.0,7.0,30
2016-01-16,11.5,4.5,17.8,9.8,0.2,7.0,31
2016-01-17,17.8,16.2,21.0,10.0,0.4,7.1,30
2016-01-18,24.3,17.4,33.8,10.4,0.0,7.3,31
2016-01-19,20.8,11.7,30.4,10.4,0.0,7.3,30
2016-01-20,17.6,10.6,24.1,10.4,0.2,7.3,32
2016-01-21,16.9,11.1,25.3,10.6,0.1,7.4,33
2016-01-22,29.1,23.2,39.9,10.7,0.0,7.5,32
2016-01-23,32.5,23.9,43.2,10.7,0.0,7.5,31
2016-01-24,22.6,13.1,33.6,10.7,0.0,7.5,31
2016-01-25,12.4,6.4,20.5,10.7,0.0,7.5,31
2016-01-26,16.2,5.9,25.7,10.7,0.0,7.5,30
2016-01-27,28.8,21.4,37.2,10.7,0.1,7.5,31
2016-01-28,30.9,24.6,40.6,10.8,0.0,7.6,31
2016-01-29,27.9,23.0,32.9,10.8,0.1,7.6,31
2016-01-30,30.9,19.0,39.6,10.9,0.2,7.6,30
2016-01-31,17.2,12.9,26.8,11.1,0.3,7.8,33
2016-02-01,13.5,4.6,19.9,11.4,0.3,8.2,37
2016-02-02,4.5,-2.6,13.5,11.7,0.0,8.5,40
2016-02-03,-1.1,-5.1,4.6,11.7,0.1,8.5,39
2016-02-04,9.5,-2.7,16.5,11.8,0.1,8.6,39
2016-02-05,11.5,5.0,17.2,11.9,0.1,8.6,38
2016-02-06,23.0,14.0,31.5,12.0,0.0,8.6,37
2016-02-07,22.5,19.2,30.2,12.0,0.0,8.6,36
2016-02-08,28.2,21.2,38.8,12.0,0.0,8.6,36
2016-02-09,31.8,25.3,43.0,12.0,0.0,8.6,35
2016-02-10,34.0,27.9,45.5,12.0,0.0,8.6,35
2016-02-11,34.5,28.4,44.2,12.0,0.0,8.6,35
2016-02-12,36.9,30.7,46.9,12.0,0.0,8.6,34
2016-02-13,34.7,26.1,42.6,12.0,0.0,8.6,34
2016-02-14,24.3,20.3,31.8,12.0,0.3,8.6,34
2016-02-15,25.9,20.5,29.7,12.3,0.3,8.7,37
2016-02-16,28.2,22.6,34.5,12.6,0.1,9.0,38
2016-02-17,37.0,23.0,50.7,12.7,0.0,9.0,37
2016-02-18,35.6,20.1,45.1,12.7,0.3,9.1,35
2016-02-19,28.9,11.8,41.9,13.0,0.0,9.3,39
2016-02-20,31.8,23.5,41.7,13.0,0.0,9.3,38
2016-02-21,30.0,19.9,43.3,13.0,0.0,9.3,37
2016-02-22,22.3,14.9,27.9,13.0,0.0,9.3,37
2016-02-23,16.7,10.8,28.0,13.0,0.0,9.3,37
2016-02-24,20.8,10.9,31.5,13.0,0.0,9.3,37
2016-02-25,28.0,18.9,39.7,13.0,0.1,9.3,37
2016-02-26,32.5,25.0,45.1,13.1,0.0,9.3,37
2016-02-27,34.7,27.9,45.3,13.1,0.0,9.3,36
2016-02-28,30.2,20.7,44.1,13.1,0.0,9.3,36
2016-02-29,28.0,17.8,39.0,13.1,0.0,9.3,36
2016-03-01,26.6,14.7,35.6,13.1,0.1,9.3,36
2016-03-02,28.2,22.6,34.5,13.2,0.2,9.4,36
2016-03-03,33.1,21.7,45.5,13.4,0.0,9.5,38
2016-03-04,33.6,21.0,44.2,13.4,0.0,9.6,37
2016-03-05,33.4,17.2,49.3,13.4,0.0,9.6,36
2016-03-06,33.6,23.5,42.1,13.4,0.0,9.6,36
2016-03-07,24.1,19.0,31.3,13.4,0.0,9.6,36
2016-03-08,23.4,13.3,37.6,13.4,0.1,9.6,37
2016-03-09,23.7,14.5,34.5,13.5,0.0,9.6,36
2016-03-10,31.3,21.4,46.2,13.5,0.1,9.6,37
2016-03-11,38.5,23.2,55.4,13.6,0.0,9.6,37
2016-03-12,33.4,27.9,43.5,13.6,0.0,9.7,36
2016-03-13,32.0,26.4,40.6,13.6,0.0,9.7,36
2016-03-14,27.0,18.3,32.4,13.6,0.5,9.7,36
2016-03-15,14.9,9.7,19.0,14.1,0.5,10.2,45
2016-03-16,16.0,9.9,20.7,14.6,0.4,10.7,47
2016-03-17,21.7,16.3,27.9,15.0,0.3,11.0,48
2016-03-18,17.4,12.0,25.3,15.3,0.2,11.4,51
2016-03-19,18.0,10.4,28.2,15.5,0.0,11.6,51
2016-03-20,28.8,10.2,42.6,15.5,0.1,11.6,49
2016-03-21,38.5,30.2,48.7,15.6,0.1,11.6,47
2016-03-22,35.6,23.7,45.0,15.7,0.0,11.7,45
2016-03-23,19.8,17.4,23.7,15.7,0.4,11.7,44
2016-03-24,21.7,14.5,31.3,16.1,0.0,12.0,48
2016-03-25,19.9,5.5,29.8,16.1,0.2,12.0,46
2016-03-26,14.2,1.0,24.8,16.3,0.1,12.2,49
2016-03-27,23.4,10.9,34.0,16.4,0.1,12.3,47
2016-03-28,34.9,24.8,46.2,16.5,0.0,12.3,47
2016-03-29,31.3,17.6,42.6,16.5,0.0,12.4,46
2016-03-30,19.2,14.0,27.1,16.5,0.1,12.4,45
2016-03-31,19.0,10.0,31.6,16.6,0.0,12.5,47
2016-04-01,21.0,8.8,33.8,16.6,0.0,12.5,45
2016-04-02,30.7,13.5,45.7,16.6,0.1,12.5,46
2016-04-03,35.4,27.5,46.4,16.7,0.0,12.6,44
2016-04-04,38.5,27.7,50.7,16.7,0.0,12.5,43
2016-04-05,28.2,19.8,41.2,16.7,0.3,12.4,42
2016-04-06,32.5,19.0,46.6,17.0,0.1,12.7,46
2016-04-07,36.5,25.3,50.2,17.1,0.0,12.8,44
2016-04-08,36.0,23.4,51.6,17.1,0.0,12.8,43
2016-04-09,35.4,26.6,49.5,17.1,0.1,12.4,42
2016-04-10,35.8,27.5,46.4,17.2,0.0,12.5,40
2016-04-11,35.1,25.5,45.3,17.2,0.0,12.4,41
2016-04-12,36.7,30.6,49.6,17.2,0.1,12.3,41
2016-04-13,38.1,28.8,51.8,17.3,0.0,12.3,39
2016-04-14,39.7,30.6,51.6,17.3,0.0,12.2,39
2016-04-15,29.7,23.5,37.4,17.3,1.5,12.2,39
2016-04-16,23.0,20.3,28.6,18.8,0.2,13.6,55
2016-04-17,23.4,17.2,31.1,19.0,0.1,14.0,53
2016-04-18,23.2,9.9,34.5,19.1,0.1,14.0,50
2016-04-19,27.1,21.2,36.0,19.2,0.1,14.1,49
2016-04-20,31.8,23.4,41.9,19.3,0.0,14.1,49
2016-04-21,37.0,28.0,50.0,19.3,0.0,14.1,48
2016-04-22,41.5,25.0,57.6,19.3,0.1,14.0,46
2016-04-23,38.8,27.9,53.8,19.4,0.0,13.8,44
2016-04-24,33.3,25.7,41.5,19.4,0.1,13.7,43
2016-04-25,37.2,26.2,51.4,19.5,0.1,13.7,42
2016-04-26,29.1,21.4,38.8,19.6,0.0,13.8,42
2016-04-27,29.7,23.4,39.9,19.6,0.1,13.7,41
2016-04-28,29.3,24.4,37.9,19.7,0.2,13.6,41
2016-04-29,25.7,22.1,31.8,19.9,0.5,13.8,44
2016-04-30,25.0,18.9,34.3,20.4,0.2,14.3,47
2016-05-01,23.9,15.1,31.6,20.6,0.1,14.4,49
2016-05-02,32.0,14.2,45.0,20.7,0.0,14.5,48
2016-05-03,36.5,25.7,50.0,20.7,0.0,14.4,45
2016-05-04,42.8,29.7,56.7,20.7,0.1,14.2,43
2016-05-05,45.7,31.3,58.8,20.8,0.0,13.9,41
2016-05-06,43.0,34.0,56.8,20.8,0.2,13.4,39
2016-05-07,35.4,27.9,47.1,21.0,0.0,13.2,38
2016-05-08,33.3,27.3,45.9,21.0,0.1,13.3,38
2016-05-09,35.6,29.1,42.1,21.1,0.2,13.0,37
2016-05-10,34.9,26.4,42.6,21.3,0.1,13.0,37
2016-05-11,33.3,25.7,43.2,21.4,0.0,13.3,38
2016-05-12,39.6,27.7,52.0,21.4,0.0,13.1,38
2016-05-13,44.2,31.8,55.9,21.4,0.0,12.6,36
2016-05-14,43.7,29.8,58.3,21.4,0.1,12.0,35
2016-05-15,38.7,32.7,49.6,21.5,0.0,11.4,32
2016-05-16,34.2,27.9,45.1,21.5,0.7,11.1,31
2016-05-17,32.5,27.9,41.5,22.2,0.1,11.7,36
2016-05-18,36.7,26.4,50.4,22.3,0.0,11.7,33
2016-05-19,39.9,32.4,51.3,22.3,0.0,11.5,33
2016-05-20,45.7,33.8,57.0,22.3,0.0,11.1,31
2016-05-21,48.2,36.5,59.0,22.3,0.0,10.5,29
2016-05-22,44.8,30.7,58.8,22.3,0.0,9.8,28
2016-05-23,39.0,30.4,50.5,22.3,0.0,9.2,26
2016-05-24,42.1,30.6,55.0,22.3,0.0,8.8,25
2016-05-25,40.8,30.6,52.2,22.3,0.0,8.3,24
2016-05-26,36.9,29.5,52.5,22.3,0.1,7.7,22
2016-05-27,36.7,33.1,48.2,22.4,0.0,7.7,21
2016-05-28,39.7,32.0,51.6,22.4,0.0,7.5,20
2016-05-29,41.5,30.7,56.8,22.4,0.0,6.9,20
2016-05-30,43.2,31.1,55.6,22.4,0.1,6.2,19
2016-05-31,42.3,30.9,55.8,22.5,0.0,5.8,17
2016-06-01,43.9,32.5,56.7,22.5,0.0,5.0,15
2016-06-02,47.5,33.4,60.4,22.5,0.0,4.2,12
2016-06-03,49.3,42.1,61.2,22.5,0.0,3.3,8
2016-06-04,48.7,36.3,63.5,22.5,0.0,2.0,4
2016-06-05,49.5,36.9,64.6,22.5,0.0,0.6,1
2016-06-06,48.2,37.8,67.5,22.5,0.1,0.0,0
2016-06-07,48.6,36.0,66.9,22.6,0.1,0.0,0
2016-06-08,48.4,37.6,63.9,22.7,0.0,0.0,0
2016-06-09,52.0,39.9,67.1,22.7,0.1,0.0,0
2016-06-10,53.8,40.1,70.9,22.8,0.0,0.0,0
2016-06-11,54.1,40.8,70.0,22.8,0.0,0.0,0
2016-06-12,48.7,38.5,63.5,22.8,0.1,0.0,0
2016-06-13,44.1,36.1,55.9,22.9,0.3,0.0,0
2016-06-14,45.1,36.0,57.0,23.2,0.0,0.0,0
2016-06-15,51.6,36.7,68.7,23.2,0.0,0.0,0
2016-06-16,54.9,39.2,70.5,23.2,0.0,0.0,0
2016-06-17,53.4,41.7,68.7,23.2,0.0,0.0,0
2016-06-18,57.7,41.9,74.5,23.2,0.1,0.0,0
2016-06-19,59.2,45.9,75.6,23.3,0.0,0.0,0
2016-06-20,50.7,38.1,69.3,23.3,1.6,0.0,0
2016-06-21,56.8,41.5,72.9,24.9,0.1,0.0,0
2016-06-22,53.8,41.5,69.8,25.0,0.4,0.0,0
2016-06-23,51.6,41.0,63.9,25.4,0.1,0.0,0
2016-06-24,51.3,41.7,66.9,25.5,0.0,0.0,0
2016-06-25,54.7,42.6,68.0,25.5,0.0,0.0,0
2016-06-26,54.1,39.4,69.1,25.5,0.0,0.0,0
2016-06-27,55.4,40.5,69.3,25.5,0.0,0.0,0
2016-06-28,56.5,41.2,73.8,25.5,0.0,0.0,0
2016-06-29,55.4,44.2,68.2,25.5,0.1,0.0,0
2016-06-30,49.3,45.0,58.5,25.6,0.5,0.0,0
2016-07-01,48.2,44.6,55.0,26.1,0.2,0.0,0
2016-07-02,48.2,43.2,60.1,26.3,0.0,0.0,0
2016-07-03,50.4,41.7,63.9,26.3,0.2,0.0,0
2016-07-04,52.9,39.9,66.6,26.5,0.0,0.0,0
2016-07-05,54.9,47.7,64.8,26.5,0.0,0.0,0
2016-07-06,56.5,44.8,68.5,26.5,0.0,0.0,0
2016-07-07,55.6,43.3,66.4,26.5,0.0,0.0,0
2016-07-08,55.2,41.4,70.3,26.5,0.0,0.0,0
2016-07-09,57.4,41.7,71.4,26.5,0.0,0.0,0
2016-07-10,61.9,54.3,72.7,26.5,0.0,0.0,0
2016-07-11,53.4,40.8,63.0,26.5,0.0,0.0,0
2016-07-12,54.0,37.4,68.2,26.5,0.0,0.0,0
2016-07-13,55.9,43.5,68.9,26.5,0.0,0.0,0
2016-07-14,53.6,41.7,68.7,26.5,0.0,0.0,0
2016-07-15,54.1,38.7,68.7,26.5,0.1,0.0,0
2016-07-16,56.3,41.4,70.7,26.6,0.0,0.0,0
2016-07-17,56.5,44.6,69.6,26.6,0.0,0.0,0
2016-07-18,53.6,43.3,65.3,26.6,0.0,0.0,0
2016-07-19,55.9,46.6,70.5,26.6,0.0,0.0,0
2016-07-20,52.9,45.3,69.6,26.6,0.1,0.0,0
2016-07-21,52.7,46.6,64.4,26.7,0.1,0.0,0
2016-07-22,55.4,43.7,70.0,26.8,0.0,0.0,0
2016-07-23,58.3,45.1,71.4,26.8,0.0,0.0,0
2016-07-24,55.0,42.4,70.0,26.8,0.0,0.0,0
2016-07-25,55.8,42.1,69.8,26.8,0.0,0.0,0
2016-07-26,54.5,43.2,65.5,26.8,0.0,0.0,0
2016-07-27,56.7,44.6,72.0,26.8,0.0,0.0,0
2016-07-28,57.2,42.3,73.2,26.8,0.0,0.0,0
2016-07-29,56.7,41.7,71.1,26.8,0.0,0.0,0
2016-07-30,56.1,42.8,72.0,26.8,0.0,0.0,0
2016-07-31,52.9,45.3,67.1,26.8,0.2,0.0,0
2016-08-01,55.2,43.3,70.5,27.0,0.0,0.0,0
2016-08-02,55.6,45.0,70.5,27.0,0.0,0.0,0
2016-08-03,56.8,43.5,73.9,27.0,0.0,0.0,0
2016-08-04,50.2,43.7,57.0,27.0,0.2,0.0,0
2016-08-05,47.7,44.2,50.4,27.2,0.2,0.0,0
2016-08-06,51.4,46.2,61.7,27.4,0.0,0.0,0
2016-08-07,52.2,41.7,67.1,27.4,0.3,0.0,0
2016-08-08,50.9,41.2,63.0,27.7,0.0,0.0,0
2016-08-09,51.6,42.4,67.5,27.7,0.0,0.0,0
2016-08-10,51.3,41.9,65.1,27.7,0.1,0.0,0
2016-08-11,52.7,40.8,65.1,27.8,0.0,0.0,0
2016-08-12,49.3,38.1,62.8,27.8,0.0,0.0,0
2016-08-13,48.6,36.0,64.2,27.8,0.0,0.0,0
2016-08-14,51.4,36.0,67.3,27.8,0.0,0.0,0
2016-08-15,51.8,40.5,67.6,27.8,0.0,0.0,0
2016-08-16,47.8,38.8,64.4,27.8,0.1,0.0,0
2016-08-17,48.0,38.7,63.5,27.9,0.0,0.0,0
2016-08-18,46.9,38.5,61.0,27.9,0.1,0.0,0
2016-08-19,46.6,37.0,61.5,28.0,0.1,0.0,0
2016-08-20,47.7,37.0,62.8,28.1,0.0,0.0,0
2016-08-21,52.0,37.2,67.8,28.1,0.0,0.0,0
2016-08-22,51.1,42.6,59.7,28.1,0.1,0.0,0
2016-08-23,46.9,38.5,59.4,28.2,0.6,0.0,0
2016-08-24,42.3,38.3,48.7,28.8,0.2,0.0,0
2016-08-25,42.4,34.9,55.0,29.0,0.2,0.0,0
2016-08-26,43.2,35.8,54.0,29.2,0.0,0.0,0
2016-08-27,46.6,36.0,56.8,29.2,0.1,0.0,0
2016-08-28,45.3,39.2,55.6,29.3,0.0,0.0,0
2016-08-29,43.9,37.8,54.7,29.3,0.0,0.0,0
2016-08-30,43.5,35.4,56.3,29.3,0.2,0.0,0
2016-08-31,48.9,36.3,64.8,29.5,0.1,0.0,0
2016-09-01,50.5,40.6,66.7,29.6,0.1,0.0,0
2016-09-02,47.3,40.6,58.5,29.7,0.0,0.0,0
2016-09-03,49.1,39.9,62.2,29.7,0.0,0.0,0
2016-09-04,48.4,38.7,58.5,29.7,0.0,0.0,0
2016-09-05,50.2,36.5,65.1,29.7,0.0,0.0,0
2016-09-06,50.9,40.1,62.1,29.7,0.0,0.0,0
2016-09-07,50.9,39.6,62.4,29.7,0.0,0.0,0
2016-09-08,52.2,41.0,63.7,29.7,0.1,0.0,0
2016-09-09,47.3,35.8,60.8,29.8,0.0,0.0,0
2016-09-10,50.9,34.0,65.1,29.8,0.0,0.0,0
2016-09-11,51.6,42.8,63.7,29.8,0.0,0.0,0
2016-09-12,47.7,38.1,60.8,29.8,0.2,0.0,0
2016-09-13,42.4,37.2,52.9,30.0,0.1,0.0,0
2016-09-14,43.7,36.1,55.8,30.1,0.0,0.0,0
2016-09-15,41.5,31.8,55.6,30.1,0.0,0.0,0
2016-09-16,41.4,30.6,55.0,30.1,0.0,0.0,0
2016-09-17,43.7,32.2,54.7,30.1,0.0,0.0,0
2016-09-18,50.4,41.2,63.5,30.1,0.1,0.0,0
2016-09-19,52.3,39.7,66.9,30.2,0.0,0.0,0
2016-09-20,50.2,40.6,61.0,30.2,0.0,0.0,0
2016-09-21,45.9,38.1,54.7,30.2,0.0,0.0,0
2016-09-22,48.9,37.2,61.0,30.2,0.0,0.0,0
2016-09-23,42.3,27.9,57.6,30.2,0.0,0.0,0
2016-09-24,33.3,24.6,41.0,30.2,0.0,0.0,0
2016-09-25,38.5,31.1,54.1,30.2,0.0,0.0,0
2016-09-26,43.5,30.6,61.9,30.2,0.0,0.0,0
2016-09-27,48.0,33.8,64.8,30.2,0.1,0.0,0
2016-09-28,46.9,35.2,62.1,30.3,0.0,0.0,0
2016-09-29,47.5,35.4,63.5,30.3,0.0,0.0,0
2016-09-30,44.6,35.4,52.9,30.3,0.0,0.0,0
