Date,Sawtooth (1251) Air Temperature Average (degF),Sawtooth (1251) Air Temperature Minimum (degF),Sawtooth (1251) Air Temperature Maximum (degF),Sawtooth (1251) Precipitation Accumulation (in) Start of Day Values,Sawtooth (1251) Precipitation Increment (in),Sawtooth (1251) Snow Water Equivalent (in) Start of Day Values,Sawtooth (1251) Snow Depth (in) Start of Day Values
2015-11-29,12.7,6.1,19.9,8.3,0.2,4.5,19
2015-11-30,7.0,5.4,10.6,8.5,0.2,4.6,23
2015-12-01,10.0,5.5,14.5,8.7,0.1,4.8,24
2015-12-02,19.9,12.7,24.3,8.8,0.0,4.9,22
2015-12-03,25.2,20.3,30.6,8.8,0.0,4.9,21
2015-12-04,32.9,27.7,39.4,8.8,0.0,4.9,21
2015-12-05,23.4,16.9,31.5,8.8,0.1,4.9,20
2015-12-06,28.8,18.0,39.4,8.9,0.0,4.9,20
2015-12-07,31.5,25.7,36.0,8.9,0.0,5.0,18
2015-12-08,30.7,28.2,33.8,8.9,0.0,5.0,19
2015-12-09,34.2,29.5,40.1,8.9,0.0,5.0,20
2015-12-10,33.1,28.0,38.1,8.9,0.0,5.0,19
2015-12-11,25.7,19.9,34.0,8.9,0.4,5.0,19
2015-12-12,19.4,13.6,24.3,9.3,0.3,5.2,22
2015-12-13,19.4,11.7,25.0,9.6,0.1,5.5,23
2015-12-14,21.9,15.1,28.8,9.7,0.0,5.5,24
2015-12-15,10.6,5.4,17.8,9.7,0.6,5.6,22
2015-12-16,6.8,5.0,9.7,10.3,0.2,6.1,29
2015-12-17,5.4,4.1,7.7,10.5,0.1,6.2,29
2015-12-18,18.9,7.7,24.3,10.6,0.1,6.4,29
2015-12-19,29.3,22.3,34.3,10.7,0.1,6.6,28
2015-12-20,25.2,18.3,32.2,10.8,0.1,6.6,26
2015-12-21,19.2,17.4,21.7,10.9,0.4,6.7,29
2015-12-22,22.6,16.3,25.2,11.3,0.7,7.1,31
2015-12-23,11.7,4.6,16.3,12.0,0.4,7.7,37
2015-12-24,5.5,2.8,9.5,12.4,0.0,8.0,39
2015-12-25,13.3,6.4,20.7,12.4,0.3,8.0,37
2015-12-26,2.5,-6.2,10.4,12.7,0.0,8.3,38
2015-12-27,5.5,-6.2,16.2,12.7,0.0,8.3,36
2015-12-28,14.7,6.6,19.6,12.7,0.0,8.3,35
2015-12-29,11.8,1.9,18.0,12.7,0.1,8.3,34
2015-12-30,9.3,3.9,13.1,12.8,0.1,8.4,33
2015-12-31,4.6,1.4,9.7,12.9,0.0,8.4,34
2016-01-01,7.3,-4.5,17.8,12.9,0.0,8.4,34
2016-01-02,19.2,6.3,26.4,12.9,0.0,8.4,33
2016-01-03,25.2,19.2,32.9,12.9,0.0,8.4,32
2016-01-04,24.3,16.3,35.1,12.9,0.0,8.5,32
2016-01-05,25.2,19.4,33.3,12.9,0.0,8.5,32
2016-01-06,23.5,16.3,31.6,12.9,0.0,8.5,31
2016-01-07,21.2,17.1,27.1,12.9,0.1,8.5,31
2016-01-08,14.5,5.7,18.3,13.0,0.0,8.6,32
2016-01-09,13.1,9.5,17.8,13.0,0.1,8.7,32
2016-01-10,9.7,7.9,12.2,13.1,0.1,8.7,34
2016-01-11,13.3,8.6,18.7,13.2,0.0,8.8,34
2016-01-12,19.0,13.8,24.8,13.2,0.0,8.8,33
2016-01-13,26.2,19.0,34.2,13.2,0.0,8.8,33
2016-01-14,17.6,13.1,25.0,13.2,0.3,8.8,32
2016-01-15,13.6,9.1,18.0,13.5,0.3,9.0,36
2016-01-16,10.9,5.7,16.2,13.8,0.3,9.2,36
2016-01-17,18.0,16.0,21.4,14.1,0.5,9.8,38
2016-01-18,21.2,16.9,25.2,14.6,0.3,10.4,46
2016-01-19,20.3,18.3,23.0,14.9,0.1,10.6,44
2016-01-20,17.4,11.3,22.1,15.0,0.2,10.6,44
2016-01-21,14.0,11.3,17.8,15.2,0.1,10.8,44
2016-01-22,24.6,15.4,31.5,15.3,0.1,10.8,44
2016-01-23,26.8,22.3,31.8,15.4,0.0,10.9,42
2016-01-24,21.7,14.7,28.2,15.4,0.1,10.9,41
2016-01-25,13.1,9.3,18.7,15.5,0.1,11.0,40
2016-01-26,13.1,7.2,21.6,15.6,0.0,11.0,42
2016-01-27,24.3,17.2,28.8,15.6,0.0,11.1,43
2016-01-28,26.4,20.5,32.2,15.6,0.1,11.1,41
2016-01-29,25.3,21.6,29.1,15.7,0.1,11.1,41
2016-01-30,28.2,18.0,33.8,15.8,0.8,11.2,40
2016-01-31,13.6,9.5,18.9,16.6,0.5,12.0,49
2016-02-01,11.8,7.5,17.2,17.1,0.4,12.5,53
2016-02-02,6.3,1.6,11.1,17.5,0.1,12.9,55
2016-02-03,1.4,-1.1,6.6,17.6,0.2,13.0,55
2016-02-04,7.5,0.1,12.9,17.8,0.3,13.2,54
2016-02-05,9.7,6.3,13.3,18.1,0.1,13.6,53
2016-02-06,18.9,10.8,24.1,18.2,0.1,13.7,52
2016-02-07,20.5,18.0,25.0,18.3,0.0,13.8,51
2016-02-08,23.9,18.3,30.2,18.3,0.0,13.8,50
2016-02-09,28.8,21.7,38.3,18.3,0.1,13.9,49
2016-02-10,32.5,27.3,40.5,18.4,0.0,13.9,48
2016-02-11,32.2,27.3,38.5,18.4,0.0,13.9,48
2016-02-12,36.0,30.6,42.6,18.4,0.0,13.9,46
2016-02-13,34.0,25.2,41.4,18.4,0.0,13.9,46
2016-02-14,24.1,21.2,28.2,18.4,0.4,13.9,46
2016-02-15,25.5,21.2,27.9,18.8,1.2,14.1,49
2016-02-16,27.5,25.2,30.7,20.0,0.1,15.2,55
2016-02-17,33.8,24.6,43.7,20.1,0.1,15.4,55
2016-02-18,34.3,18.3,44.2,20.2,0.2,15.5,53
2016-02-19,26.6,16.3,34.7,20.4,0.0,15.6,55
2016-02-20,32.5,25.7,41.0,20.4,0.0,15.6,53
2016-02-21,27.5,15.1,38.3,20.4,0.0,15.6,53
2016-02-22,22.6,15.8,28.8,20.4,0.4,15.6,52
2016-02-23,15.8,10.9,25.3,20.8,0.2,16.1,60
2016-02-24,18.3,10.8,27.1,21.0,0.1,16.3,59
2016-02-25,26.6,18.0,35.2,21.1,0.0,16.4,59
2016-02-26,36.3,31.5,42.4,21.1,0.0,16.4,57
2016-02-27,34.7,28.2,43.7,21.1,0.0,16.4,56
2016-02-28,29.8,23.5,38.8,21.1,0.0,16.5,55
2016-02-29,25.7,17.2,31.8,21.1,0.2,16.5,54
2016-03-01,23.9,14.2,32.2,21.3,0.0,16.7,56
2016-03-02,29.1,23.5,32.2,21.3,0.2,16.7,55
2016-03-03,32.2,23.5,41.4,21.5,0.0,16.9,56
2016-03-04,33.3,23.4,43.5,21.5,0.0,16.9,55
2016-03-05,35.1,20.7,47.8,21.5,0.0,16.9,54
2016-03-06,34.9,30.9,46.0,21.5,0.0,16.9,53
2016-03-07,25.3,19.9,32.5,21.5,0.7,17.0,53
2016-03-08,21.6,16.5,28.2,22.2,0.1,17.6,58
2016-03-09,23.5,19.2,32.4,22.3,0.0,17.6,58
2016-03-10,29.5,22.3,39.0,22.3,0.1,17.6,57
2016-03-11,37.0,26.2,51.6,22.4,0.0,17.6,56
2016-03-12,35.2,28.8,49.1,22.4,0.1,17.7,54
2016-03-13,32.9,27.1,41.4,22.5,0.0,17.9,55
2016-03-14,27.3,19.8,33.1,22.5,0.7,17.9,53
2016-03-15,15.4,11.1,19.8,23.2,0.2,18.4,59
2016-03-16,15.6,11.1,19.2,23.4,0.3,18.5,60
2016-03-17,18.9,14.5,26.2,23.7,0.8,18.8,62
2016-03-18,12.4,7.7,20.7,24.5,0.3,19.6,72
2016-03-19,14.5,6.6,23.5,24.8,0.0,20.1,71
2016-03-20,24.8,11.3,36.9,24.8,0.1,20.1,68
2016-03-21,37.9,28.4,49.5,24.9,0.0,20.3,65
2016-03-22,38.5,28.0,47.5,24.9,0.1,20.4,62
2016-03-23,20.7,18.3,27.7,25.0,0.7,20.4,60
2016-03-24,21.6,16.9,29.1,25.7,0.2,21.3,67
2016-03-25,20.3,12.4,26.6,25.9,0.4,21.5,68
2016-03-26,13.5,1.8,23.9,26.3,0.0,21.7,70
2016-03-27,22.1,13.8,31.3,26.3,0.0,21.7,68
2016-03-28,32.7,23.0,45.3,26.3,0.0,21.7,68
2016-03-29,31.8,21.0,43.0,26.3,0.1,21.8,65
2016-03-30,21.0,16.2,27.0,26.4,0.2,22.0,66
2016-03-31,17.2,7.9,25.0,26.6,0.3,22.2,68
2016-04-01,20.1,9.9,30.6,26.9,0.0,22.4,68
2016-04-02,30.4,19.6,43.9,26.9,0.0,22.3,66
2016-04-03,36.5,29.1,47.5,26.9,0.0,22.3,64
2016-04-04,39.9,29.7,51.4,26.9,0.0,22.3,62
2016-04-05,28.8,21.6,40.3,26.9,0.2,22.3,61
2016-04-06,32.5,21.2,44.2,27.1,0.1,22.4,63
2016-04-07,37.4,28.0,52.7,27.2,0.0,22.4,60
2016-04-08,36.3,25.9,51.1,27.2,0.0,22.3,60
2016-04-09,39.4,33.3,50.2,27.2,0.0,22.1,59
2016-04-10,35.2,30.0,45.9,27.2,0.2,22.0,59
2016-04-11,35.6,28.4,48.4,27.4,0.0,22.0,58
2016-04-12,39.0,32.9,53.4,27.4,0.1,22.0,57
2016-04-13,40.3,31.3,55.0,27.5,0.0,21.8,56
2016-04-14,43.0,32.2,56.5,27.5,0.0,21.5,55
2016-04-15,30.7,25.2,39.2,27.5,1.0,21.3,54
2016-04-16,23.7,21.6,27.1,28.5,1.4,22.2,64
2016-04-17,23.0,19.9,29.3,29.9,0.5,23.8,84
2016-04-18,22.6,13.5,35.1,30.4,0.1,24.4,80
2016-04-19,26.6,16.9,38.1,30.5,0.0,24.5,76
2016-04-20,31.8,26.2,40.8,30.5,0.2,24.5,72
2016-04-21,36.9,28.8,51.3,30.7,0.0,24.7,72
2016-04-22,42.8,27.1,60.6,30.7,0.0,24.7,69
2016-04-23,40.6,28.0,61.0,30.7,0.2,24.5,65
2016-04-24,30.7,26.6,35.8,30.9,0.2,24.4,62
2016-04-25,38.1,27.3,52.0,31.1,0.1,24.5,62
2016-04-26,28.8,24.3,39.6,31.2,0.4,24.5,60
2016-04-27,29.5,22.5,40.1,31.6,0.1,24.7,63
2016-04-28,25.2,23.0,29.1,31.7,0.2,24.8,62
2016-04-29,25.3,21.9,30.6,31.9,0.3,24.9,64
2016-04-30,23.5,20.5,28.8,32.2,0.3,25.3,66
2016-05-01,21.4,12.6,30.4,32.5,0.1,25.6,69
2016-05-02,29.8,10.9,45.7,32.6,0.0,25.7,70
2016-05-03,37.4,24.3,53.2,32.6,0.0,25.9,65
2016-05-04,43.9,30.0,60.8,32.6,0.0,25.7,63
2016-05-05,46.8,32.5,63.1,32.6,0.0,25.5,61
2016-05-06,44.2,34.3,61.9,32.6,0.0,25.0,59
2016-05-07,33.8,28.8,43.9,32.6,0.4,24.6,57
2016-05-08,32.0,28.4,40.1,33.0,0.4,24.9,60
2016-05-09,34.2,29.7,39.9,33.4,0.8,25.2,62
2016-05-10,34.5,29.5,57.0,34.2,0.2,26.0,62
2016-05-11,34.3,27.0,45.7,34.4,0.0,26.0,62
2016-05-12,41.7,30.0,55.0,34.4,0.0,25.7,61
2016-05-13,44.6,34.3,60.6,34.4,0.0,25.5,59
2016-05-14,41.4,30.6,63.1,34.4,0.0,25.0,57
2016-05-15,39.2,31.8,55.2,34.4,0.4,24.5,56
2016-05-16,32.9,27.7,39.6,34.8,0.3,24.3,55
2016-05-17,30.6,27.5,34.7,35.1,0.0,24.2,55
2016-05-18,36.0,26.6,50.4,35.1,0.0,24.3,56
2016-05-19,41.9,32.9,56.5,35.1,0.0,24.3,55
2016-05-20,46.8,36.5,61.0,35.1,0.0,23.7,54
2016-05-21,47.1,34.3,65.1,35.1,0.0,23.0,52
2016-05-22,44.4,35.8,56.1,35.1,0.0,22.2,49
2016-05-23,40.1,30.6,51.4,35.1,0.0,21.9,49
2016-05-24,40.1,29.1,51.8,35.1,0.0,21.6,48
2016-05-25,41.9,31.6,53.8,35.1,0.0,21.4,48
2016-05-26,35.6,29.3,43.9,35.1,0.3,21.0,47
2016-05-27,37.2,32.0,48.2,35.4,0.1,21.0,46
2016-05-28,40.6,33.4,54.0,35.5,0.0,20.8,46
2016-05-29,44.2,33.3,61.2,35.5,0.0,20.4,45
2016-05-30,44.1,35.8,61.9,35.5,0.0,19.7,44
2016-05-31,42.3,32.2,59.0,35.5,0.0,19.3,43
2016-06-01,44.1,34.9,58.5,35.5,0.0,18.5,40
2016-06-02,48.9,34.3,65.3,35.5,0.0,17.9,40
2016-06-03,51.6,39.9,65.3,35.5,0.0,17.2,37
2016-06-04,47.7,36.0,64.0,35.5,0.1,16.4,35
2016-06-05,47.3,34.9,67.5,35.6,0.1,15.5,33
2016-06-06,48.9,36.7,66.9,35.7,0.0,14.8,31
2016-06-07,50.0,37.2,71.1,35.7,0.0,14.0,29
2016-06-08,50.0,39.2,68.0,35.7,0.1,13.0,27
2016-06-09,55.0,41.9,72.9,35.8,0.0,12.0,25
2016-06-10,57.0,42.3,75.2,35.8,0.0,10.6,22
2016-06-11,54.1,42.8,70.5,35.8,0.1,9.1,20
2016-06-12,53.1,41.2,68.5,35.9,0.1,7.8,17
2016-06-13,45.7,36.9,63.7,36.0,0.6,6.3,14
2016-06-14,46.8,36.1,59.7,36.6,0.0,5.4,12
2016-06-15,55.4,40.1,71.6,36.6,0.0,4.2,9
2016-06-16,58.5,39.9,73.2,36.6,0.0,2.8,6
2016-06-17,57.9,45.5,71.8,36.6,0.1,1.2,2
2016-06-18,59.5,40.6,78.3,36.7,0.0,0.3,1
2016-06-19,63.3,47.8,79.2,36.7,0.0,0.0,0
2016-06-20,59.5,47.8,74.1,36.7,0.1,0.0,0
2016-06-21,66.2,52.7,81.3,36.8,0.0,0.0,0
2016-06-22,57.9,47.1,74.5,36.8,0.1,0.0,0
2016-06-23,57.2,46.4,74.1,36.9,0.1,0.0,0
2016-06-24,60.4,46.8,77.9,37.0,0.0,0.0,0
2016-06-25,59.4,46.0,75.2,37.0,0.0,0.0,0
2016-06-26,58.8,40.8,75.6,37.0,0.0,0.0,0
2016-06-27,59.5,43.0,77.2,37.0,0.0,0.0,0
2016-06-28,59.7,45.5,76.5,37.0,0.0,0.0,0
2016-06-29,59.4,47.1,75.2,37.0,0.0,0.0,0
2016-06-30,52.7,47.3,66.6,37.0,0.4,0.0,0
2016-07-01,50.7,46.4,57.4,37.4,0.1,0.0,0
2016-07-02,50.4,46.4,57.6,37.5,0.3,0.0,0
2016-07-03,53.8,45.7,68.0,37.8,0.0,0.0,0
2016-07-04,60.4,50.2,73.2,37.8,0.0,0.0,0
2016-07-05,57.0,44.6,68.4,37.8,0.0,0.0,0
2016-07-06,59.9,41.2,73.6,37.8,0.0,0.0,0
2016-07-07,59.5,47.3,71.8,37.8,0.0,0.0,0
2016-07-08,59.9,45.0,76.8,37.8,0.0,0.0,0
2016-07-09,63.0,45.5,77.7,37.8,0.0,0.0,0
2016-07-10,66.9,50.7,78.4,37.8,0.0,0.0,0
2016-07-11,58.3,44.1,67.8,37.8,0.0,0.0,0
2016-07-12,57.2,38.1,73.0,37.8,0.0,0.0,0
2016-07-13,61.0,47.7,75.2,37.8,0.0,0.0,0
2016-07-14,57.6,40.8,74.8,37.8,0.0,0.0,0
2016-07-15,56.1,45.3,75.2,37.8,0.0,0.0,0
2016-07-16,61.2,44.8,77.0,37.8,0.0,0.0,0
2016-07-17,60.6,47.8,76.6,37.8,0.0,0.0,0
2016-07-18,60.1,50.4,76.1,37.8,0.0,0.0,0
2016-07-19,64.0,56.8,75.2,37.8,0.0,0.0,0
2016-07-20,62.1,54.7,77.9,37.8,0.0,0.0,0
2016-07-21,59.5,52.9,75.2,37.8,0.1,0.0,0
2016-07-22,63.3,49.5,76.6,37.9,0.0,0.0,0
2016-07-23,63.9,52.5,79.7,37.9,0.0,0.0,0
2016-07-24,61.5,49.5,79.9,37.9,0.0,0.0,0
2016-07-25,62.1,47.3,79.7,37.9,0.0,0.0,0
2016-07-26,61.2,53.6,75.9,37.9,0.0,0.0,0
2016-07-27,63.9,51.1,79.0,37.9,0.0,0.0,0
2016-07-28,59.2,46.8,76.6,37.9,0.0,0.0,0
2016-07-29,58.5,47.3,70.3,37.9,0.0,0.0,0
2016-07-30,61.9,46.0,78.8,37.9,0.0,0.0,0
2016-07-31,59.0,49.5,76.1,37.9,0.1,0.0,0
2016-08-01,61.3,50.0,77.0,38.0,0.0,0.0,0
2016-08-02,55.6,47.3,72.3,38.0,0.3,0.0,0
2016-08-03,60.6,44.4,76.3,38.3,0.0,0.0,0
2016-08-04,52.0,46.2,58.3,38.3,0.1,0.0,0
2016-08-05,48.0,45.0,50.9,38.4,0.4,0.0,0
2016-08-06,53.4,44.4,63.9,38.8,0.0,0.0,0
2016-08-07,58.8,49.6,70.5,38.8,0.0,0.0,0
2016-08-08,59.0,51.3,70.9,38.8,0.0,0.0,0
2016-08-09,56.7,45.3,76.5,38.8,0.3,0.0,0
2016-08-10,55.9,45.3,70.5,39.1,0.0,0.0,0
2016-08-11,58.5,49.1,71.2,39.1,0.0,0.0,0
2016-08-12,52.7,40.5,68.5,39.1,0.0,0.0,0
2016-08-13,53.4,40.6,68.9,39.1,0.0,0.0,0
2016-08-14,55.4,41.7,73.0,39.1,0.0,0.0,0
2016-08-15,56.8,43.5,73.0,39.1,0.0,0.0,0
2016-08-16,54.7,43.7,72.3,39.1,0.1,0.0,0
2016-08-17,56.1,42.8,71.6,39.2,0.0,0.0,0
2016-08-18,51.6,43.9,66.0,39.2,0.2,0.0,0
2016-08-19,47.8,38.7,64.2,39.4,0.3,0.0,0
2016-08-20,47.8,36.0,65.5,39.7,0.0,0.0,0
2016-08-21,54.9,38.1,72.0,39.7,0.0,0.0,0
2016-08-22,55.4,48.0,68.0,39.7,0.1,0.0,0
2016-08-23,51.6,43.5,64.2,39.8,0.1,0.0,0
2016-08-24,44.6,37.8,51.6,39.9,0.3,0.0,0
2016-08-25,43.0,36.7,49.5,40.2,0.2,0.0,0
2016-08-26,47.1,40.5,59.7,40.4,0.0,0.0,0
2016-08-27,52.5,43.2,65.3,40.4,0.0,0.0,0
2016-08-28,49.6,42.6,63.9,40.4,0.1,0.0,0
2016-08-29,49.5,41.9,64.4,40.5,0.2,0.0,0
2016-08-30,46.6,40.3,55.2,40.7,0.9,0.0,0
2016-08-31,48.6,37.2,60.6,41.6,0.0,0.0,0
2016-09-01,54.1,42.3,70.0,41.6,0.0,0.0,0
2016-09-02,52.2,43.9,63.3,41.6,0.1,0.0,0
2016-09-03,53.8,45.5,67.8,41.7,0.0,0.0,0
2016-09-04,47.8,39.9,65.1,41.7,0.2,0.0,0
2016-09-05,52.2,37.4,68.4,41.9,0.0,0.0,0
2016-09-06,51.8,38.1,68.7,41.9,0.0,0.0,0
2016-09-07,55.2,43.0,65.7,41.9,0.0,0.0,0
2016-09-08,37.2,,67.1,41.9,0.0,0.0,0
2016-09-09,47.5,32.5,62.8,41.9,0.1,0.0,0
2016-09-10,52.2,29.7,66.2,42.0,0.0,0.0,0
2016-09-11,55.8,49.1,68.5,42.0,0.0,0.0,0
2016-09-12,49.3,39.0,63.5,42.0,0.2,0.0,0
2016-09-13,44.2,38.1,56.5,42.2,0.1,0.0,0
2016-09-14,45.7,36.3,61.7,42.3,0.1,0.0,0
2016-09-15,44.1,34.5,53.1,42.4,0.0,0.0,0
2016-09-16,41.9,31.5,56.1,42.4,0.0,0.0,0
2016-09-17,47.1,31.8,57.4,42.4,0.0,0.0,0
2016-09-18,53.2,44.1,64.2,42.4,0.0,0.0,0
2016-09-19,57.0,44.6,69.8,42.4,0.0,0.0,0
2016-09-20,55.0,45.5,66.2,42.4,0.0,0.0,0
2016-09-21,53.1,43.9,61.3,42.4,0.0,0.0,0
2016-09-22,51.8,40.5,66.4,42.4,0.0,0.0,0
2016-09-23,43.7,29.8,64.8,42.4,0.1,0.0,0
2016-09-24,35.8,30.6,43.7,42.5,0.0,0.0,0
2016-09-25,39.0,31.3,52.7,42.5,0.1,0.0,0
2016-09-26,43.9,32.5,60.6,42.6,0.0,0.0,0
2016-09-27,50.4,34.3,65.5,42.6,0.0,0.0,0
2016-09-28,48.0,37.8,62.6,42.6,0.0,0.0,0
2016-09-29,53.2,38.1,65.7,42.6,0.0,0.0,0
2016-09-30,47.5,42.1,54.3,42.6,0.0,0.0,0
