Date,Fremont Pass (485) Air Temperature Average (degF),Fremont Pass (485) Air Temperature Minimum (degF),Fremont Pass (485) Air Temperature Maximum (degF),Fremont Pass (485) Precipitation Accumulation (in) Start of Day Values,Fremont Pass (485) Precipitation Increment (in),Fremont Pass (485) Snow Water Equivalent (in) Start of Day Values,Fremont Pass (485) Snow Depth (in) Start of Day Values
2016-02-13,28.8,16.2,40.1,12.2,0.0,10.9,45
2016-02-14,17.6,12.0,25.5,12.2,0.3,10.9,44
2016-02-15,21.4,16.2,27.1,12.5,0.3,11.2,47
2016-02-16,21.6,14.5,33.3,12.8,0.0,11.6,50
2016-02-17,29.3,14.4,44.8,12.8,0.0,11.6,48
2016-02-18,30.4,14.9,38.5,12.8,0.1,11.6,48
2016-02-19,21.6,6.8,37.9,12.9,0.0,11.7,50
2016-02-20,24.4,15.3,36.7,12.9,0.0,11.7,49
2016-02-21,23.5,14.0,36.3,12.9,0.0,11.7,48
2016-02-22,16.3,10.2,23.2,12.9,0.0,11.7,48
2016-02-23,9.3,-0.4,19.8,12.9,0.0,11.7,48
2016-02-24,10.6,-1.5,26.4,12.9,0.0,11.7,48
2016-02-25,17.8,6.4,33.1,12.9,0.1,11.7,47
2016-02-26,23.4,12.7,39.0,13.0,0.0,11.8,47
2016-02-27,28.0,18.7,41.4,13.0,0.0,11.8,46
2016-02-28,22.1,10.9,36.3,13.0,0.0,11.8,46
2016-02-29,22.3,14.5,32.9,13.0,0.2,11.8,46
2016-03-01,22.6,13.5,32.4,13.2,0.0,11.9,47
2016-03-02,23.5,15.4,29.7,13.2,0.1,11.9,46
2016-03-03,25.5,10.0,40.1,13.3,0.1,12.1,48
2016-03-04,28.8,21.4,38.8,13.4,0.0,12.1,47
2016-03-05,30.4,18.0,44.4,13.4,0.0,12.1,47
2016-03-06,27.5,19.8,38.5,13.4,0.0,12.1,46
2016-03-07,19.8,10.8,26.2,13.4,0.0,12.1,45
2016-03-08,14.5,4.1,31.3,13.4,0.0,12.2,48
2016-03-09,16.3,5.4,28.8,13.4,0.1,12.2,49
2016-03-10,24.6,9.9,44.4,13.5,0.1,12.3,48
2016-03-11,34.9,23.2,51.3,13.6,0.1,12.3,48
2016-03-12,29.7,20.3,40.1,13.7,0.0,12.4,47
2016-03-13,27.0,18.3,38.7,13.7,0.0,12.4,46
2016-03-14,22.6,13.1,33.1,13.7,0.4,12.4,47
2016-03-15,11.7,5.5,17.8,14.1,0.3,12.9,53
2016-03-16,12.6,5.0,18.7,14.4,0.2,13.3,56
2016-03-17,18.9,11.8,27.1,14.6,0.2,13.6,56
2016-03-18,13.5,5.4,24.6,14.8,0.0,13.8,56
2016-03-19,11.3,2.8,23.9,14.8,0.0,13.8,58
2016-03-20,21.9,3.2,37.9,14.8,0.2,13.8,57
2016-03-21,33.8,19.6,47.1,15.0,0.1,13.9,55
2016-03-22,29.5,18.3,39.9,15.1,0.2,14.0,54
2016-03-23,14.9,11.7,19.9,15.3,0.3,14.1,56
2016-03-24,16.7,10.6,24.8,15.6,0.2,14.8,65
2016-03-25,15.3,0.9,23.4,15.8,0.2,14.9,62
2016-03-26,8.2,-0.6,18.3,16.0,0.1,15.3,66
2016-03-27,14.5,-2.2,32.9,16.1,0.1,15.4,64
2016-03-28,28.0,14.4,40.3,16.2,0.1,15.5,62
2016-03-29,26.2,9.5,39.2,16.3,0.1,15.5,61
2016-03-30,13.5,3.4,22.1,16.4,0.0,15.6,60
2016-03-31,12.4,1.4,25.2,16.4,0.0,15.8,62
2016-04-01,12.6,1.4,25.3,16.4,0.0,15.8,62
2016-04-02,23.5,6.4,40.1,16.4,0.1,15.8,61
2016-04-03,29.3,16.5,43.5,16.5,0.1,15.9,60
2016-04-04,33.8,21.4,47.7,16.6,0.0,15.9,59
2016-04-05,22.6,9.9,34.7,16.6,0.3,16.0,57
2016-04-06,23.2,7.5,40.3,16.9,0.1,16.4,62
2016-04-07,30.7,17.6,46.2,17.0,0.1,16.5,60
2016-04-08,34.3,21.7,46.2,17.1,0.0,16.5,59
2016-04-09,31.8,26.4,41.9,17.1,0.1,16.6,58
2016-04-10,31.3,22.6,43.2,17.2,0.0,16.7,56
2016-04-11,30.6,22.5,42.3,17.2,0.1,16.7,58
2016-04-12,30.9,21.9,43.0,17.3,0.0,16.8,57
2016-04-13,32.9,23.4,45.9,17.3,0.0,16.8,56
2016-04-14,34.7,25.9,47.7,17.3,0.1,16.9,56
2016-04-15,27.7,20.1,39.0,17.4,0.9,16.9,56
2016-04-16,18.9,15.3,24.3,18.3,0.3,17.7,68
2016-04-17,19.0,13.1,30.2,18.6,0.1,18.3,70
2016-04-18,20.3,14.5,29.8,18.7,0.4,18.4,65
2016-04-19,22.3,14.5,32.0,19.1,0.2,18.7,71
2016-04-20,27.0,18.0,38.5,19.3,0.0,18.9,68
2016-04-21,31.6,20.1,49.8,19.3,0.0,18.9,67
2016-04-22,39.0,25.2,53.8,19.3,0.0,18.9,65
2016-04-23,34.9,19.9,51.8,19.3,0.1,18.8,62
2016-04-24,28.0,20.5,38.7,19.4,0.1,18.9,61
2016-04-25,32.7,20.7,48.0,19.5,0.2,18.9,62
2016-04-26,21.7,13.1,33.1,19.7,0.1,19.1,62
2016-04-27,24.4,18.7,34.2,19.8,0.1,19.2,64
2016-04-28,27.9,23.2,37.9,19.9,0.1,19.2,63
2016-04-29,24.4,19.9,32.5,20.0,0.4,19.3,62
2016-04-30,21.7,12.6,28.0,20.4,0.0,19.6,66
2016-05-01,20.5,11.3,32.0,20.4,0.0,19.7,68
2016-05-02,27.7,14.5,41.0,20.4,0.1,19.7,65
2016-05-03,32.0,19.9,47.3,20.5,0.0,19.7,64
2016-05-04,39.2,25.9,54.3,20.5,0.0,19.6,62
2016-05-05,43.0,30.0,58.3,20.5,0.0,19.4,61
2016-05-06,43.7,37.4,54.7,20.5,0.0,19.1,59
2016-05-07,32.9,20.5,47.5,20.5,0.1,18.8,58
2016-05-08,28.8,19.6,38.7,20.6,0.1,18.9,58
2016-05-09,30.7,25.3,38.5,20.7,0.4,18.9,58
2016-05-10,30.2,19.0,40.1,21.1,0.4,19.3,60
2016-05-11,27.1,16.3,40.5,21.5,0.0,19.8,63
2016-05-12,33.8,18.0,49.5,21.5,0.1,19.9,62
2016-05-13,40.3,27.1,55.0,21.6,0.0,19.8,60
2016-05-14,41.9,30.9,57.0,21.6,0.0,19.6,58
2016-05-15,36.0,27.1,48.6,21.6,0.2,19.4,57
2016-05-16,32.9,27.3,45.0,21.8,0.1,19.4,57
2016-05-17,31.6,26.2,40.6,21.9,0.0,19.5,57
2016-05-18,34.2,24.3,48.2,21.9,0.5,19.3,57
2016-05-19,36.5,27.1,49.3,22.4,0.0,19.5,59
2016-05-20,42.1,30.2,54.9,22.4,0.0,19.3,55
2016-05-21,45.7,34.2,57.9,22.4,0.0,19.1,55
2016-05-22,40.6,28.2,54.7,22.4,0.0,18.6,52
2016-05-23,36.3,27.3,48.0,22.4,0.0,18.1,50
2016-05-24,40.5,28.8,55.0,22.4,0.0,18.0,50
2016-05-25,37.2,28.4,49.3,22.4,0.0,17.8,48
2016-05-26,33.3,27.5,46.4,22.4,0.2,17.5,47
2016-05-27,30.2,24.8,37.9,22.6,0.2,17.0,48
2016-05-28,33.8,23.4,47.7,22.8,0.0,17.3,48
2016-05-29,39.4,29.3,55.4,22.8,0.0,17.2,47
2016-05-30,40.5,30.7,54.3,22.8,0.0,17.0,46
2016-05-31,39.2,29.3,52.7,22.8,0.1,16.7,44
2016-06-01,42.1,30.6,55.2,22.9,0.0,16.3,42
2016-06-02,44.1,31.6,57.2,22.9,0.0,15.5,41
2016-06-03,46.0,36.5,57.6,22.9,0.0,14.6,39
2016-06-04,48.4,35.1,63.7,22.9,0.0,13.5,35
2016-06-05,49.3,36.9,63.3,22.9,0.0,12.5,33
2016-06-06,48.0,37.9,65.1,22.9,0.0,11.3,30
2016-06-07,49.1,36.5,64.9,22.9,0.0,10.7,27
2016-06-08,46.8,36.5,59.7,22.9,0.0,10.0,23
2016-06-09,48.4,36.5,63.3,22.9,0.1,9.2,22
2016-06-10,54.3,41.9,67.5,23.0,0.0,8.2,19
2016-06-11,51.6,39.9,67.8,23.0,0.0,6.9,14
2016-06-12,47.3,38.1,63.7,23.0,0.0,5.8,11
2016-06-13,43.7,31.6,59.4,23.0,0.1,5.0,8
2016-06-14,41.4,29.7,55.9,23.1,0.0,4.0,7
2016-06-15,51.1,35.1,66.6,23.1,0.0,3.1,6
2016-06-16,51.1,36.9,64.9,23.1,0.0,1.8,4
2016-06-17,52.2,37.2,68.0,23.1,0.0,1.1,3
2016-06-18,55.9,38.8,72.0,23.1,0.0,0.8,2
2016-06-19,58.5,43.5,72.0,23.1,0.0,0.4,1
2016-06-20,58.8,46.0,74.1,23.1,0.1,0.0,0
2016-06-21,58.5,46.8,71.6,23.2,0.0,0.0,0
2016-06-22,52.5,41.0,68.5,23.2,0.4,0.0,0
2016-06-23,50.4,42.1,65.1,23.6,0.0,0.0,0
2016-06-24,53.6,41.9,66.0,23.6,0.0,0.0,0
2016-06-25,53.6,43.2,65.3,23.6,0.0,0.0,0
2016-06-26,53.6,40.3,66.4,23.6,0.0,0.0,0
2016-06-27,55.0,41.0,67.8,23.6,0.0,0.0,0
2016-06-28,55.4,43.0,69.8,23.6,0.0,0.0,0
2016-06-29,51.8,42.6,65.3,23.6,0.0,0.0,0
2016-06-30,48.6,41.4,59.5,23.6,0.2,0.0,0
2016-07-01,46.8,43.2,53.2,23.8,0.5,0.0,0
2016-07-02,45.9,42.1,55.6,24.3,0.1,0.0,0
2016-07-03,47.3,38.7,60.6,24.4,0.0,0.0,0
2016-07-04,50.7,37.8,63.7,24.4,0.0,0.0,0
2016-07-05,52.2,42.1,66.2,24.4,0.0,0.0,0
2016-07-06,54.1,42.8,65.7,24.4,0.0,0.0,0
2016-07-07,53.8,44.8,66.0,24.4,0.0,0.0,0
2016-07-08,54.9,42.3,68.9,24.4,0.0,0.0,0
2016-07-09,56.5,44.1,70.0,24.4,0.0,0.0,0
2016-07-10,58.8,46.8,70.2,24.4,0.0,0.0,0
2016-07-11,51.6,40.3,63.0,24.4,0.0,0.0,0
2016-07-12,52.5,39.2,65.7,24.4,0.0,0.0,0
2016-07-13,54.3,42.1,66.6,24.4,0.0,0.0,0
2016-07-14,52.9,40.3,65.5,24.4,0.0,0.0,0
2016-07-15,53.6,40.6,66.2,24.4,0.0,0.0,0
2016-07-16,56.8,44.6,69.1,24.4,0.0,0.0,0
2016-07-17,57.4,46.2,70.2,24.4,0.0,0.0,0
2016-07-18,53.4,44.2,66.4,24.4,0.0,0.0,0
2016-07-19,52.0,44.6,64.4,24.4,0.1,0.0,0
2016-07-20,52.5,43.2,66.9,24.5,0.0,0.0,0
2016-07-21,51.1,44.2,67.8,24.5,0.3,0.0,0
2016-07-22,52.0,43.2,66.2,24.8,0.0,0.0,0
2016-07-23,55.2,42.6,70.0,24.8,0.0,0.0,0
2016-07-24,53.8,40.1,69.6,24.8,0.2,0.0,0
2016-07-25,55.2,43.5,65.5,25.0,0.0,0.0,0
2016-07-26,51.8,42.8,61.3,25.0,0.0,0.0,0
2016-07-27,55.0,41.7,68.9,25.0,0.0,0.0,0
2016-07-28,56.7,45.7,68.4,25.0,0.0,0.0,0
2016-07-29,55.4,43.5,67.3,25.0,0.0,0.0,0
2016-07-30,56.8,43.7,69.8,25.0,0.0,0.0,0
2016-07-31,50.7,42.3,63.0,25.0,0.3,0.0,0
2016-08-01,53.8,40.1,67.6,25.3,0.0,0.0,0
2016-08-02,54.3,44.6,70.0,25.3,0.1,0.0,0
2016-08-03,55.0,43.7,71.1,25.4,0.1,0.0,0
2016-08-04,47.3,43.2,52.9,25.5,0.4,0.0,0
2016-08-05,48.0,42.6,57.4,25.9,0.3,0.0,0
2016-08-06,48.2,41.7,59.5,26.2,0.0,0.0,0
2016-08-07,50.7,40.3,65.8,26.2,0.0,0.0,0
2016-08-08,48.0,41.4,61.5,26.2,0.2,0.0,0
2016-08-09,48.9,40.3,65.7,26.4,0.2,0.0,0
2016-08-10,53.1,42.3,62.8,26.6,0.0,0.0,0
2016-08-11,47.8,39.0,60.4,26.6,0.0,0.0,0
2016-08-12,46.6,36.5,60.1,26.6,0.0,0.0,0
2016-08-13,47.8,35.2,62.6,26.6,0.0,0.0,0
2016-08-14,49.8,36.0,63.7,26.6,0.0,0.0,0
2016-08-15,51.4,39.6,65.7,26.6,0.0,0.0,0
2016-08-16,49.3,39.9,63.0,26.6,0.0,0.0,0
2016-08-17,45.7,37.8,61.7,26.6,0.1,0.0,0
2016-08-18,44.1,36.5,56.7,26.7,0.1,0.0,0
2016-08-19,45.0,35.6,58.8,26.8,0.1,0.0,0
2016-08-20,46.8,35.6,61.0,26.9,0.0,0.0,0
2016-08-21,50.4,37.4,64.4,26.9,0.0,0.0,0
2016-08-22,47.1,37.2,61.0,26.9,0.0,0.0,0
2016-08-23,43.0,34.7,56.8,26.9,0.3,0.0,0
2016-08-24,40.1,35.6,53.6,27.2,0.3,0.0,0
2016-08-25,40.1,32.5,53.1,27.5,0.3,0.0,0
2016-08-26,39.9,32.7,52.2,27.8,0.0,0.0,0
2016-08-27,42.1,32.7,52.9,27.8,0.0,0.0,0
2016-08-28,42.6,37.4,54.9,27.8,0.1,0.0,0
2016-08-29,40.5,35.1,51.8,27.9,0.2,0.0,0
2016-08-30,43.0,34.5,55.6,28.1,0.1,0.0,0
2016-08-31,48.6,36.3,62.2,28.2,0.0,0.0,0
2016-09-01,49.6,39.6,61.3,28.2,0.0,0.0,0
2016-09-02,44.8,38.5,56.1,28.2,0.2,0.0,0
2016-09-03,46.0,38.1,59.5,28.4,0.1,0.0,0
2016-09-04,45.5,37.0,58.6,28.5,0.1,0.0,0
2016-09-05,47.5,34.7,62.6,28.6,0.0,0.0,0
2016-09-06,48.4,38.7,61.3,28.6,0.0,0.0,0
2016-09-07,47.5,36.0,59.0,28.6,0.0,0.0,0
2016-09-08,47.5,36.3,61.9,28.6,0.0,0.0,0
2016-09-09,43.7,32.5,57.7,28.6,0.0,0.0,0
2016-09-10,46.4,31.3,61.7,28.6,0.0,0.0,0
2016-09-11,48.6,38.3,61.9,28.6,0.0,0.0,0
2016-09-12,45.0,36.3,57.0,28.6,0.0,0.0,0
2016-09-13,41.9,32.9,52.7,28.6,0.0,0.0,0
2016-09-14,41.9,32.7,57.0,28.6,0.2,0.0,0
2016-09-15,37.8,29.7,50.7,28.8,0.0,0.0,0
2016-09-16,39.2,29.1,52.2,28.8,0.0,0.0,0
2016-09-17,39.4,30.6,53.2,28.8,0.0,0.0,0
2016-09-18,44.6,30.7,59.9,28.8,0.0,0.0,0
2016-09-19,49.5,37.2,65.1,28.8,0.0,0.0,0
2016-09-20,48.9,37.9,59.4,28.8,0.0,0.0,0
2016-09-21,44.4,37.0,55.9,28.8,0.0,0.0,0
2016-09-22,49.6,38.3,62.1,28.8,0.0,0.0,0
2016-09-23,37.2,20.3,56.7,28.8,0.0,0.0,0
2016-09-24,28.8,19.9,35.1,28.8,0.1,0.0,0
2016-09-25,35.2,26.4,51.4,28.9,0.0,0.0,0
2016-09-26,41.9,28.2,57.6,28.9,0.0,0.0,0
2016-09-27,45.7,33.4,61.3,28.9,0.0,0.0,0
2016-09-28,47.5,37.0,60.1,28.9,0.0,0.0,0
2016-09-29,45.5,36.3,57.9,28.9,0.0,0.0,0
2016-09-30,41.4,34.2,50.7,28.9,0.0,0.0,0
