Date,Sharkstooth (1060) Air Temperature Average (degF),Sharkstooth (1060) Air Temperature Minimum (degF),Sharkstooth (1060) Air Temperature Maximum (degF),Sharkstooth (1060) Precipitation Accumulation (in) Start of Day Values,Sharkstooth (1060) Precipitation Increment (in),Sharkstooth (1060) Snow Water Equivalent (in) Start of Day Values,Sharkstooth (1060) Snow Depth (in) Start of Day Values
2015-12-09,34.7,29.5,43.0,9.1,0.0,4.5,19
2015-12-10,33.4,26.2,40.6,9.1,0.1,4.6,18
2015-12-11,27.0,21.6,30.4,9.2,0.1,4.6,18
2015-12-12,20.1,13.1,27.9,9.3,0.3,4.7,22
2015-12-13,24.3,12.9,37.2,9.6,0.1,5.0,25
2015-12-14,15.6,6.8,23.9,9.7,0.6,5.0,24
2015-12-15,5.9,-1.1,13.8,10.3,0.1,5.6,33
2015-12-16,6.6,0.3,20.5,10.4,0.1,5.6,33
2015-12-17,7.3,1.9,15.4,10.5,0.0,5.7,30
2015-12-18,21.6,9.3,34.7,10.5,0.2,5.7,29
2015-12-19,29.8,22.3,37.0,10.7,0.1,5.8,27
2015-12-20,18.3,14.9,23.9,10.8,0.4,6.0,24
2015-12-21,18.9,12.9,30.6,11.2,0.4,6.4,29
2015-12-22,19.9,18.0,23.0,11.6,1.5,6.8,35
2015-12-23,11.3,-2.2,18.0,13.1,0.3,8.4,44
2015-12-24,9.5,-4.4,18.9,13.4,0.5,8.8,48
2015-12-25,10.2,-0.2,17.6,13.9,1.0,9.3,49
2015-12-26,7.0,-4.0,17.1,14.9,0.0,10.4,60
2015-12-27,18.0,12.4,32.0,14.9,0.0,10.4,54
2015-12-28,12.9,7.2,21.2,14.9,0.0,10.4,51
2015-12-29,9.5,5.0,17.1,14.9,0.1,10.4,49
2015-12-30,7.5,2.8,13.3,15.0,0.2,10.4,50
2015-12-31,8.6,3.4,21.0,15.2,0.0,10.5,48
2016-01-01,13.6,5.0,25.9,15.2,0.0,10.5,48
2016-01-02,22.3,10.8,37.4,15.2,0.1,10.5,46
2016-01-03,27.5,21.4,39.2,15.3,0.0,10.5,44
2016-01-04,24.8,19.9,35.1,15.3,0.1,10.6,43
2016-01-05,21.0,18.7,25.9,15.4,0.2,10.7,41
2016-01-06,20.7,17.2,23.7,15.6,0.7,10.8,43
2016-01-07,16.3,12.9,25.0,16.3,0.4,11.6,50
2016-01-08,13.1,6.3,20.1,16.7,0.0,11.9,55
2016-01-09,9.1,2.5,21.2,16.7,0.0,12.0,57
2016-01-10,7.7,0.7,19.4,16.7,0.0,12.0,54
2016-01-11,17.1,7.7,30.6,16.7,0.0,12.0,52
2016-01-12,23.2,13.1,36.7,16.7,0.1,12.0,50
2016-01-13,25.5,18.3,38.8,16.8,0.0,12.0,48
2016-01-14,14.5,5.5,21.9,16.8,0.0,12.0,47
2016-01-15,13.5,7.5,19.9,16.8,0.1,12.0,46
2016-01-16,13.5,3.6,25.2,16.9,0.2,12.1,49
2016-01-17,17.2,10.9,26.2,17.1,0.0,12.3,48
2016-01-18,21.9,12.2,32.9,17.1,0.3,12.3,47
2016-01-19,21.2,13.5,35.8,17.4,0.1,12.5,48
2016-01-20,15.3,6.1,24.4,17.5,0.1,12.7,49
2016-01-21,21.4,7.3,34.2,17.6,0.2,12.7,50
2016-01-22,30.4,24.3,42.6,17.8,0.0,12.9,49
2016-01-23,30.4,24.6,41.4,17.8,0.0,13.0,47
2016-01-24,18.7,10.4,27.5,17.8,0.2,13.0,46
2016-01-25,10.0,3.7,29.1,18.0,0.0,13.2,54
2016-01-26,16.2,4.3,28.0,18.0,0.2,13.2,52
2016-01-27,30.0,20.3,43.7,18.2,0.1,13.3,50
2016-01-28,30.6,23.5,43.9,18.3,0.0,13.5,49
2016-01-29,28.8,19.9,37.9,18.3,0.0,13.5,48
2016-01-30,28.4,23.9,37.0,18.3,0.3,13.5,47
2016-01-31,23.4,22.3,24.6,18.6,1.4,13.9,48
2016-02-01,12.2,5.5,23.2,20.0,0.6,15.5,57
2016-02-02,2.8,-5.1,17.2,20.6,0.0,16.1,64
2016-02-03,0.1,-8.1,13.6,20.6,0.0,16.1,62
2016-02-04,5.9,-4.2,18.3,20.6,0.1,16.1,61
2016-02-05,12.7,2.8,23.7,20.7,0.1,16.2,59
2016-02-06,23.4,13.6,34.7,20.8,0.0,16.2,58
2016-02-07,29.3,18.3,39.9,20.8,0.1,16.3,57
2016-02-08,34.7,25.9,46.8,20.9,0.0,16.4,56
2016-02-09,36.9,28.8,48.9,20.9,0.0,16.4,55
2016-02-10,34.7,26.4,48.0,20.9,0.0,16.5,54
2016-02-11,35.1,27.5,46.6,20.9,0.0,16.5,53
2016-02-12,37.8,28.8,50.7,20.9,0.0,16.5,53
2016-02-13,33.4,24.8,45.5,20.9,0.0,16.5,53
2016-02-14,26.6,19.9,37.2,20.9,0.0,16.5,52
2016-02-15,28.8,20.5,38.7,20.9,0.0,16.5,52
2016-02-16,32.7,23.0,43.9,20.9,0.0,16.5,52
2016-02-17,38.1,28.8,48.0,20.9,0.1,16.5,52
2016-02-18,32.9,24.6,38.7,21.0,0.0,16.6,50
2016-02-19,30.9,23.5,41.9,21.0,0.0,16.6,50
2016-02-20,32.5,25.3,42.3,21.0,0.0,16.5,50
2016-02-21,30.4,20.7,41.9,21.0,0.0,16.5,50
2016-02-22,21.9,12.4,32.5,21.0,0.0,16.5,50
2016-02-23,16.0,9.7,24.8,21.0,0.0,16.5,49
2016-02-24,19.8,7.9,32.4,21.0,0.1,16.6,55
2016-02-25,29.5,21.4,42.1,21.1,0.1,16.8,53
2016-02-26,32.4,22.5,45.7,21.2,0.0,16.8,52
2016-02-27,34.0,25.5,43.9,21.2,0.0,16.9,51
2016-02-28,31.8,23.5,43.0,21.2,0.0,16.9,50
2016-02-29,30.9,25.2,39.4,21.2,0.0,16.9,49
2016-03-01,32.0,23.9,41.4,21.2,0.0,16.9,49
2016-03-02,31.8,24.1,40.6,21.2,0.0,16.9,48
2016-03-03,34.3,22.1,48.9,21.2,0.0,16.9,48
2016-03-04,36.1,28.4,46.2,21.2,0.0,16.9,47
2016-03-05,36.5,30.7,45.3,21.2,0.1,16.9,47
2016-03-06,28.8,23.0,32.5,21.3,0.5,16.9,46
2016-03-07,19.2,14.2,28.2,21.8,0.0,17.5,50
2016-03-08,22.3,13.1,35.6,21.8,0.0,17.5,53
2016-03-09,23.5,12.9,36.1,21.8,0.0,17.5,52
2016-03-10,34.2,21.6,50.2,21.8,0.0,17.5,51
2016-03-11,39.6,30.4,50.2,21.8,0.3,17.5,51
2016-03-12,27.3,17.8,34.3,22.1,0.0,17.8,51
2016-03-13,28.8,18.0,40.5,22.1,0.0,17.8,49
2016-03-14,28.8,20.3,38.5,22.1,0.0,17.8,48
2016-03-15,21.4,12.7,29.5,22.1,0.0,17.8,48
2016-03-16,23.2,12.7,33.3,22.1,0.0,17.7,47
2016-03-17,29.5,19.8,39.0,22.1,0.0,17.8,47
2016-03-18,28.8,20.3,39.6,22.1,0.0,17.9,47
2016-03-19,29.8,20.3,42.4,22.1,0.0,17.7,47
2016-03-20,33.3,23.0,44.4,22.1,0.0,17.6,47
2016-03-21,38.7,31.3,48.2,22.1,0.0,17.6,45
2016-03-22,30.0,14.5,41.0,22.1,0.1,17.4,44
2016-03-23,16.5,11.3,24.3,22.2,0.1,17.5,47
2016-03-24,23.2,11.8,36.0,22.3,0.1,17.6,50
2016-03-25,23.7,15.1,34.2,22.4,0.0,17.6,50
2016-03-26,17.2,9.9,32.4,22.4,0.3,17.6,50
2016-03-27,25.5,9.7,37.2,22.7,0.3,17.9,54
2016-03-28,32.5,27.1,40.6,23.0,0.0,18.5,51
2016-03-29,21.2,12.4,30.0,23.0,0.4,18.8,50
2016-03-30,15.1,7.9,27.7,23.4,0.0,19.1,52
2016-03-31,19.6,9.3,31.8,23.4,0.1,19.1,53
2016-04-01,24.3,12.9,38.1,23.5,0.0,19.1,53
2016-04-02,29.8,19.9,42.3,23.5,0.0,19.1,52
2016-04-03,33.8,21.2,48.0,23.5,0.0,19.1,50
2016-04-04,38.7,28.0,50.4,23.5,0.0,19.1,47
2016-04-05,33.8,21.4,45.7,23.5,0.0,19.1,46
2016-04-06,36.7,20.3,51.8,23.5,0.1,19.0,45
2016-04-07,43.2,32.0,55.4,23.6,0.1,18.0,43
2016-04-08,36.0,30.0,44.4,23.7,0.2,17.1,38
2016-04-09,32.9,29.1,38.3,23.9,0.1,16.9,38
2016-04-10,34.5,26.8,45.9,24.0,0.0,16.9,38
2016-04-11,31.6,25.0,44.2,24.0,0.0,16.7,38
2016-04-12,32.5,27.1,42.1,24.0,0.1,16.7,38
2016-04-13,37.0,27.3,51.1,24.1,0.1,16.9,38
2016-04-14,39.2,32.5,46.6,24.2,0.1,16.8,38
2016-04-15,29.3,23.5,38.1,24.3,0.2,16.5,36
2016-04-16,24.3,18.3,31.5,24.5,0.8,16.7,40
2016-04-17,23.4,18.0,32.4,25.3,0.4,17.3,49
2016-04-18,22.5,15.1,37.2,25.7,0.1,17.8,50
2016-04-19,24.6,13.1,36.9,25.8,0.1,18.0,50
2016-04-20,34.2,26.6,45.7,25.9,0.1,18.0,47
2016-04-21,40.6,28.2,54.3,26.0,0.1,18.1,45
2016-04-22,45.7,37.4,55.4,26.1,0.0,18.1,42
2016-04-23,36.9,25.5,47.5,26.1,0.0,18.0,41
2016-04-24,34.7,23.7,46.8,26.1,0.0,17.6,41
2016-04-25,29.3,19.6,40.5,26.1,0.0,17.6,41
2016-04-26,23.7,17.2,34.2,26.1,0.2,17.5,41
2016-04-27,28.8,17.6,41.4,26.3,0.1,17.5,43
2016-04-28,29.8,23.0,40.5,26.4,0.2,17.8,41
2016-04-29,25.7,19.9,37.4,26.6,0.2,17.9,42
2016-04-30,28.8,19.9,41.9,26.8,0.1,18.1,45
2016-05-01,28.8,24.1,36.0,26.9,0.4,18.2,43
2016-05-02,28.8,19.9,40.3,27.3,0.6,18.4,45
2016-05-03,38.3,25.2,55.0,27.9,0.1,19.1,46
2016-05-04,44.6,35.2,55.6,28.0,0.0,19.1,45
2016-05-05,48.6,37.2,58.6,28.0,0.1,18.9,44
2016-05-06,41.7,31.8,52.0,28.1,0.1,18.2,36
2016-05-07,29.5,22.1,38.7,28.2,0.0,17.6,36
2016-05-08,29.3,24.4,40.1,28.2,0.6,17.6,37
2016-05-09,34.3,27.9,41.4,28.8,0.7,18.0,40
2016-05-10,36.0,27.5,49.1,29.5,0.3,18.6,43
2016-05-11,33.3,25.0,44.6,29.8,0.0,18.8,41
2016-05-12,41.9,28.2,55.4,29.8,0.1,18.7,42
2016-05-13,47.1,34.9,59.7,29.9,0.0,18.4,37
2016-05-14,49.3,36.5,59.4,29.9,0.1,17.8,35
2016-05-15,42.3,34.7,51.3,30.0,0.0,16.8,33
2016-05-16,33.4,28.8,43.2,30.0,0.5,15.8,32
2016-05-17,33.8,26.6,45.7,30.5,0.1,15.9,34
2016-05-18,33.4,28.8,46.8,30.6,0.1,16.0,32
2016-05-19,37.8,28.2,47.7,30.7,0.3,15.9,32
2016-05-20,44.4,36.0,52.5,31.0,0.0,15.8,32
2016-05-21,45.0,36.9,53.2,31.0,0.0,14.5,27
2016-05-22,40.1,33.8,48.4,31.0,0.0,13.3,24
2016-05-23,40.3,31.8,49.1,31.0,0.0,12.3,21
2016-05-24,40.6,32.5,50.9,31.0,0.0,11.2,18
2016-05-25,39.9,28.8,50.4,31.0,0.0,10.3,15
2016-05-26,34.0,29.1,43.9,31.0,0.0,9.1,14
2016-05-27,34.7,27.3,49.3,31.0,0.1,8.9,14
2016-05-28,39.6,28.8,51.3,31.1,0.2,8.5,12
2016-05-29,46.6,39.0,57.2,31.3,0.0,8.2,12
2016-05-30,46.4,40.1,57.0,31.3,0.0,7.4,10
2016-05-31,46.8,39.2,57.7,31.3,0.0,6.2,10
2016-06-01,47.8,40.6,58.8,31.3,0.0,5.7,9
2016-06-02,52.0,42.1,62.6,31.3,0.0,4.7,8
2016-06-03,53.1,41.4,64.2,31.3,0.0,3.1,6
2016-06-04,55.9,48.2,67.6,31.3,0.0,1.8,3
2016-06-05,56.8,46.8,68.5,31.3,0.0,0.7,2
2016-06-06,57.2,47.8,69.6,31.3,0.0,0.0,0
2016-06-07,56.8,48.2,68.0,31.3,0.0,0.0,0
2016-06-08,54.1,47.3,64.8,31.3,0.1,0.0,0
2016-06-09,57.2,47.7,71.8,31.4,0.0,0.0,0
2016-06-10,59.7,49.6,71.1,31.4,0.0,0.0,0
2016-06-11,54.0,48.0,63.5,31.4,0.0,0.0,0
2016-06-12,53.4,46.0,64.9,31.4,0.0,0.0,0
2016-06-13,45.5,37.0,57.0,31.4,0.0,0.0,0
2016-06-14,49.5,38.1,60.4,31.4,0.1,0.0,0
2016-06-15,54.7,44.6,64.2,31.5,0.0,0.0,0
2016-06-16,51.6,40.5,63.3,31.5,0.0,0.0,0
2016-06-17,55.8,44.6,68.4,31.5,0.0,0.0,0
2016-06-18,60.6,47.3,73.0,31.5,0.1,0.0,0
2016-06-19,63.5,52.5,76.1,31.6,0.0,0.0,0
2016-06-20,67.1,55.8,79.2,31.6,0.0,0.0,0
2016-06-21,64.2,54.7,77.5,31.6,0.0,0.0,0
2016-06-22,62.6,55.0,74.8,31.6,0.0,0.0,0
2016-06-23,61.2,53.2,71.8,31.6,0.0,0.0,0
2016-06-24,57.0,49.3,67.5,31.6,0.0,0.0,0
2016-06-25,59.7,51.8,71.4,31.6,0.0,0.0,0
2016-06-26,59.7,50.7,71.1,31.6,0.0,0.0,0
2016-06-27,61.7,50.0,75.2,31.6,0.0,0.0,0
2016-06-28,55.2,46.8,70.0,31.6,0.0,0.0,0
2016-06-29,53.8,45.5,67.3,31.6,0.2,0.0,0
2016-06-30,51.8,44.8,65.8,31.8,0.3,0.0,0
2016-07-01,46.8,45.3,49.6,32.1,0.5,0.0,0
2016-07-02,46.6,42.3,55.6,32.6,0.1,0.0,0
2016-07-03,50.2,40.8,62.8,32.7,0.0,0.0,0
2016-07-04,54.9,44.1,66.0,32.7,0.0,0.0,0
2016-07-05,57.9,50.2,68.0,32.7,0.0,0.0,0
2016-07-06,57.7,48.2,67.5,32.7,0.0,0.0,0
2016-07-07,56.7,48.2,68.0,32.7,0.0,0.0,0
2016-07-08,58.8,48.4,69.8,32.7,0.0,0.0,0
2016-07-09,60.1,49.6,71.1,32.7,0.0,0.0,0
2016-07-10,59.0,51.1,69.6,32.7,0.0,0.0,0
2016-07-11,55.9,48.9,67.1,32.7,0.0,0.0,0
2016-07-12,52.0,,67.1,32.7,0.0,0.0,0
2016-07-13,59.2,50.9,70.2,32.7,0.0,0.0,0
2016-07-14,60.8,50.7,73.6,32.7,0.0,0.0,0
2016-07-15,62.2,53.2,72.7,32.7,0.0,0.0,0
2016-07-16,61.7,54.0,72.5,32.7,0.0,0.0,0
2016-07-17,60.8,51.6,72.9,32.7,0.0,0.0,0
2016-07-18,58.6,46.4,73.2,32.7,0.2,0.0,0
2016-07-19,54.7,45.9,67.6,32.9,0.7,0.0,0
2016-07-20,53.8,44.2,68.2,33.6,1.1,0.0,0
2016-07-21,56.7,45.3,69.1,34.7,0.2,0.0,0
2016-07-22,55.0,49.3,63.1,34.9,0.5,0.0,0
2016-07-23,59.7,49.5,72.7,35.4,0.1,0.0,0
2016-07-24,59.4,51.6,75.2,35.5,0.0,0.0,0
2016-07-25,58.8,52.7,67.3,35.5,0.0,0.0,0
2016-07-26,57.9,47.8,69.1,35.5,0.0,0.0,0
2016-07-27,62.1,50.2,73.6,35.5,0.1,0.0,0
2016-07-28,62.6,53.8,74.1,35.6,0.0,0.0,0
2016-07-29,64.0,54.9,75.2,35.6,0.0,0.0,0
2016-07-30,58.6,48.6,71.6,35.6,0.1,0.0,0
2016-07-31,55.8,47.1,67.8,35.7,0.1,0.0,0
2016-08-01,57.0,48.4,70.0,35.8,0.0,0.0,0
2016-08-02,55.2,47.1,70.3,35.8,0.3,0.0,0
2016-08-03,53.2,47.7,63.0,36.1,0.7,0.0,0
2016-08-04,51.3,46.4,59.2,36.8,0.4,0.0,0
2016-08-05,49.1,44.6,57.0,37.2,1.0,0.0,0
2016-08-06,50.9,44.2,60.4,38.2,0.0,0.0,0
2016-08-07,53.1,46.6,67.1,38.2,0.3,0.0,0
2016-08-08,56.5,49.5,66.2,38.5,0.0,0.0,0
2016-08-09,57.0,47.8,66.4,38.5,0.0,0.0,0
2016-08-10,53.2,44.8,64.8,38.5,0.0,0.0,0
2016-08-11,52.5,45.0,63.9,38.5,0.0,0.0,0
2016-08-12,54.1,46.8,64.2,38.5,0.0,0.0,0
2016-08-13,54.7,48.4,66.2,38.5,0.0,0.0,0
2016-08-14,54.7,46.6,64.2,38.5,0.0,0.0,0
2016-08-15,56.1,48.2,68.2,38.5,0.0,0.0,0
2016-08-16,51.3,46.6,58.3,38.5,0.0,0.0,0
2016-08-17,49.8,42.6,58.6,38.5,0.2,0.0,0
2016-08-18,48.2,42.6,59.7,38.7,0.0,0.0,0
2016-08-19,50.9,41.9,62.2,38.7,0.0,0.0,0
2016-08-20,53.6,44.8,65.5,38.7,0.1,0.0,0
2016-08-21,50.0,44.2,64.2,38.8,0.0,0.0,0
2016-08-22,45.9,41.4,54.1,38.8,0.1,0.0,0
2016-08-23,42.4,37.9,53.6,38.9,1.2,0.0,0
2016-08-24,45.9,38.7,58.8,40.1,0.1,0.0,0
2016-08-25,45.7,34.3,59.7,40.2,0.5,0.0,0
2016-08-26,44.1,36.9,55.2,40.7,0.1,0.0,0
2016-08-27,44.1,37.8,54.9,40.8,0.4,0.0,0
2016-08-28,43.5,37.0,53.8,41.2,0.1,0.0,0
2016-08-29,47.5,41.4,56.1,41.3,0.1,0.0,0
2016-08-30,48.9,41.0,57.6,41.4,0.1,0.0,0
2016-08-31,51.1,43.0,58.3,41.5,0.0,0.0,0
2016-09-01,51.4,45.5,58.8,41.5,0.2,0.0,0
2016-09-02,50.0,44.8,60.6,41.7,0.0,0.0,0
2016-09-03,50.9,45.5,60.6,41.7,0.0,0.0,0
2016-09-04,50.7,44.4,59.4,41.7,0.0,0.0,0
2016-09-05,51.8,44.8,61.5,41.7,0.0,0.0,0
2016-09-06,50.4,43.5,58.5,41.7,0.0,0.0,0
2016-09-07,50.0,43.0,61.3,41.7,0.0,0.0,0
2016-09-08,51.8,42.4,63.9,41.7,0.0,0.0,0
2016-09-09,52.2,44.1,63.0,41.7,0.0,0.0,0
2016-09-10,53.2,46.4,63.0,41.7,0.0,0.0,0
2016-09-11,52.9,45.9,62.1,41.7,0.0,0.0,0
2016-09-12,46.0,40.6,59.4,41.7,0.0,0.0,0
2016-09-13,44.6,37.9,54.7,41.7,0.0,0.0,0
2016-09-14,44.8,41.2,53.2,41.7,0.0,0.0,0
2016-09-15,43.2,34.9,55.0,41.7,0.0,0.0,0
2016-09-16,45.0,36.9,57.6,41.7,0.0,0.0,0
2016-09-17,45.9,36.7,57.6,41.7,0.0,0.0,0
2016-09-18,48.2,36.1,62.6,41.7,0.1,0.0,0
2016-09-19,53.4,42.1,66.6,41.8,0.1,0.0,0
2016-09-20,49.1,42.1,58.6,41.9,0.0,0.0,0
2016-09-21,45.9,42.6,49.6,41.9,0.7,0.0,0
2016-09-22,50.2,44.4,58.3,42.6,0.0,0.0,0
2016-09-23,31.3,24.1,45.3,42.6,0.6,0.0,0
2016-09-24,30.4,25.5,36.9,43.2,0.1,0.4,4
2016-09-25,40.6,29.3,51.3,43.3,0.1,0.3,2
2016-09-26,46.0,37.2,57.2,43.4,0.1,0.0,0
2016-09-27,47.8,39.0,58.8,43.5,0.0,0.0,0
2016-09-28,50.4,41.4,60.8,43.5,0.1,0.0,0
2016-09-29,41.9,38.5,48.0,43.6,0.0,0.0,0
2016-09-30,43.5,38.1,55.0,43.6,0.0,0.0,0
