Date,Bison Lake (345) Air Temperature Average (degF),Bison Lake (345) Air Temperature Minimum (degF),Bison Lake (345) Air Temperature Maximum (degF),Bison Lake (345) Precipitation Accumulation (in) Start of Day Values,Bison Lake (345) Precipitation Increment (in),Bison Lake (345) Snow Water Equivalent (in) Start of Day Values,Bison Lake (345) Snow Depth (in) Start of Day Values
2016-08-25,41.2,33.4,52.0,35.8,0.0,0.0,0
2016-08-26,41.2,33.4,52.2,35.8,0.1,0.0,0
2016-08-27,43.5,34.5,53.8,35.9,0.0,0.0,0
2016-08-28,44.1,38.3,52.0,35.9,0.0,0.0,0
2016-08-29,46.2,38.1,57.2,35.9,0.0,0.0,0
2016-08-30,48.0,36.3,59.7,35.9,0.0,0.0,0
2016-08-31,51.6,42.6,61.3,35.9,0.0,0.0,0
2016-09-01,51.6,43.0,62.6,35.9,0.1,0.0,0
2016-09-02,46.8,40.5,56.1,36.0,0.1,0.0,0
2016-09-03,45.7,39.2,56.1,36.1,0.1,0.0,0
2016-09-04,45.9,39.4,54.7,36.2,0.1,0.0,0
2016-09-05,47.1,38.7,57.0,36.3,0.0,0.0,0
2016-09-06,47.8,38.3,58.5,36.3,0.0,0.0,0
2016-09-07,47.8,40.3,56.8,36.3,0.1,0.0,0
2016-09-08,49.3,39.0,60.1,36.4,0.0,0.0,0
2016-09-09,44.2,36.5,53.8,36.4,0.0,0.0,0
2016-09-10,47.8,34.9,59.0,36.4,0.0,0.0,0
2016-09-11,50.0,41.0,59.5,36.4,0.0,0.0,0
2016-09-12,44.1,35.6,56.5,36.4,0.0,0.0,0
2016-09-13,40.6,34.0,54.1,36.4,0.2,0.0,0
2016-09-14,40.6,33.8,51.8,36.6,0.1,0.0,0
2016-09-15,36.9,30.0,46.0,36.7,0.0,0.0,0
2016-09-16,38.1,28.4,50.4,36.7,0.0,0.0,0
2016-09-17,41.7,32.2,50.9,36.7,0.1,0.0,0
2016-09-18,46.4,36.9,55.6,36.8,0.0,0.0,0
2016-09-19,51.3,42.4,61.7,36.8,0.0,0.0,0
2016-09-20,48.6,38.5,57.9,36.8,0.0,0.0,0
2016-09-21,43.2,38.5,49.6,36.8,0.0,0.0,0
2016-09-22,47.5,40.6,57.9,36.8,0.0,0.0,0
2016-09-23,29.8,23.4,43.5,36.8,0.3,0.0,0
2016-09-24,27.7,24.1,33.4,37.1,0.8,0.0,0
2016-09-25,31.8,20.8,43.9,37.9,0.0,0.6,3
2016-09-26,41.9,29.7,52.5,37.9,0.0,0.4,2
2016-09-27,46.2,36.3,57.2,37.9,0.0,0.1,1
2016-09-28,48.2,39.0,59.7,37.9,0.0,0.0,0
2016-09-29,43.5,38.8,53.1,37.9,0.1,0.0,0
2016-09-30,39.9,34.3,48.4,38.0,0.0,0.0,0
