Date,Loveland Basin (602) Air Temperature Average (degF),Loveland Basin (602) Air Temperature Minimum (degF),Loveland Basin (602) Air Temperature Maximum (degF),Loveland Basin (602) Precipitation Accumulation (in) Start of Day Values,Loveland Basin (602) Precipitation Increment (in),Loveland Basin (602) Snow Water Equivalent (in) Start of Day Values,Loveland Basin (602) Snow Depth (in) Start of Day Values
2016-02-27,30.7,22.5,41.2,14.6,0.0,13.9,52
2016-02-28,25.9,12.9,39.9,14.6,0.0,13.9,52
2016-02-29,24.3,13.1,33.4,14.6,0.1,14.0,51
2016-03-01,23.2,8.4,32.2,14.7,0.0,14.0,53
2016-03-02,24.4,18.5,30.2,14.7,0.2,14.1,52
2016-03-03,29.3,15.1,41.7,14.9,0.1,14.4,55
2016-03-04,29.1,21.6,39.0,15.0,0.0,14.4,53
2016-03-05,33.1,22.1,44.6,15.0,0.0,14.4,53
2016-03-06,30.6,25.5,39.2,15.0,0.0,14.4,53
2016-03-07,21.7,15.3,27.3,15.0,0.1,14.4,52
2016-03-08,18.3,7.0,34.5,15.1,0.0,14.5,53
2016-03-09,19.9,9.9,32.5,15.1,0.0,14.5,53
2016-03-10,28.4,18.1,42.8,15.1,0.0,14.5,52
2016-03-11,38.5,28.6,52.5,15.1,0.0,14.6,53
2016-03-12,31.3,24.4,40.3,15.1,0.1,14.6,52
2016-03-13,29.1,22.6,38.7,15.2,0.0,14.7,54
2016-03-14,23.7,12.6,29.3,15.2,0.6,14.7,53
2016-03-15,11.8,6.1,18.1,15.8,0.4,15.4,63
2016-03-16,13.6,6.4,21.0,16.2,0.4,15.9,64
2016-03-17,19.0,13.1,27.9,16.6,0.3,16.2,65
2016-03-18,14.2,9.9,23.2,16.9,0.1,16.6,69
2016-03-19,14.2,7.9,25.9,17.0,0.1,16.8,67
2016-03-20,25.9,9.9,39.7,17.1,0.0,16.8,66
2016-03-21,34.9,26.8,44.8,17.1,0.0,16.9,64
2016-03-22,31.3,20.1,40.8,17.1,0.1,16.9,62
2016-03-23,16.7,14.4,21.4,17.2,0.6,17.0,63
2016-03-24,19.4,11.3,32.5,17.8,0.1,17.8,72
2016-03-25,16.7,0.7,29.8,17.9,0.4,17.9,71
2016-03-26,11.1,-2.0,22.8,18.3,0.1,18.4,75
2016-03-27,19.8,4.1,34.2,18.4,0.1,18.5,74
2016-03-28,30.9,18.3,43.0,18.5,0.0,18.6,71
2016-03-29,28.6,15.1,43.9,18.5,0.1,18.6,69
2016-03-30,16.0,7.2,26.4,18.6,0.2,18.7,68
2016-03-31,14.4,1.8,27.7,18.8,0.0,18.9,73
2016-04-01,16.5,2.7,28.4,18.8,0.0,19.0,73
2016-04-02,27.1,10.9,44.4,18.8,0.1,19.1,71
2016-04-03,31.8,23.7,45.0,18.9,0.0,19.2,68
2016-04-04,35.8,23.2,48.4,18.9,0.0,19.2,66
2016-04-05,24.8,16.7,35.8,18.9,0.1,19.2,64
2016-04-06,28.9,15.1,43.2,19.0,0.0,19.4,68
2016-04-07,33.3,23.2,48.0,19.0,0.0,19.4,65
2016-04-08,34.9,23.2,47.8,19.0,0.0,19.4,64
2016-04-09,33.4,27.9,46.4,19.0,0.2,19.4,63
2016-04-10,32.9,22.8,46.8,19.2,0.1,19.7,64
2016-04-11,32.4,23.0,43.3,19.3,0.0,19.9,63
2016-04-12,33.8,24.6,46.9,19.3,0.0,20.0,63
2016-04-13,35.2,25.2,50.9,19.3,0.0,20.0,63
2016-04-14,37.0,28.9,49.1,19.3,0.1,20.1,62
2016-04-15,27.9,20.3,34.3,19.4,0.9,20.2,62
2016-04-16,20.7,17.2,28.8,20.3,0.6,21.2,75
2016-04-17,21.6,15.8,33.8,20.9,0.2,22.2,82
2016-04-18,23.0,15.3,36.0,21.1,0.0,22.4,78
2016-04-19,24.8,15.4,37.8,21.1,0.1,22.5,77
2016-04-20,28.9,20.5,40.5,21.2,0.1,22.7,75
2016-04-21,36.0,25.5,52.5,21.3,0.0,22.9,74
2016-04-22,40.6,27.3,55.9,21.3,0.0,22.9,70
2016-04-23,37.2,25.0,51.6,21.3,0.1,22.6,68
2016-04-24,30.7,22.8,40.8,21.4,0.1,22.8,68
2016-04-25,34.9,23.7,48.4,21.5,0.2,23.0,67
2016-04-26,26.1,18.7,38.5,21.7,0.1,23.0,68
2016-04-27,26.6,20.1,38.1,21.8,0.1,23.1,69
2016-04-28,27.7,21.2,39.4,21.9,0.1,23.2,67
2016-04-29,23.7,19.4,31.6,22.0,0.4,23.3,68
2016-04-30,22.5,15.6,34.2,22.4,0.3,23.8,73
2016-05-01,20.5,12.4,30.0,22.7,0.0,24.1,77
2016-05-02,28.9,14.5,44.1,22.7,0.1,24.2,76
2016-05-03,33.6,19.6,48.2,22.8,0.0,23.9,70
2016-05-04,39.7,26.2,55.2,22.8,0.0,22.9,67
2016-05-05,43.7,32.2,56.1,22.8,0.0,21.9,64
2016-05-06,43.3,36.3,54.7,22.8,0.1,21.8,62
2016-05-07,34.0,24.8,47.8,22.9,0.1,21.6,61
2016-05-08,29.8,24.4,43.3,23.0,0.2,21.7,61
2016-05-09,32.9,26.1,41.7,23.2,0.4,21.9,64
2016-05-10,31.5,19.4,40.6,23.6,0.4,22.4,64
2016-05-11,29.5,18.5,44.2,24.0,0.0,22.7,66
2016-05-12,37.4,23.0,52.0,24.0,0.0,22.7,63
2016-05-13,43.2,34.5,55.4,24.0,0.0,22.5,61
2016-05-14,43.2,32.7,56.8,24.0,0.0,21.9,58
2016-05-15,37.8,30.2,48.2,24.0,0.2,21.3,55
2016-05-16,32.0,25.2,46.2,24.2,0.5,21.5,56
2016-05-17,30.7,25.0,42.1,24.7,0.0,21.8,59
2016-05-18,35.4,24.4,48.6,24.7,0.0,21.9,57
2016-05-19,38.3,30.4,50.0,24.7,0.0,21.8,56
2016-05-20,44.1,34.5,57.4,24.7,0.0,21.5,54
2016-05-21,46.9,39.2,56.1,24.7,0.0,21.1,51
2016-05-22,41.5,29.5,56.8,24.7,0.0,20.4,49
2016-05-23,37.2,28.8,48.2,24.7,0.0,19.8,47
2016-05-24,40.8,29.8,52.9,24.7,0.0,19.4,45
2016-05-25,38.8,28.9,50.4,24.7,0.0,19.0,44
2016-05-26,34.5,27.0,47.3,24.7,0.0,18.4,42
2016-05-27,33.1,29.5,42.6,24.7,0.2,18.2,42
2016-05-28,35.6,27.1,49.8,24.9,0.2,18.4,43
2016-05-29,39.2,28.9,55.6,25.1,0.0,18.2,39
2016-05-30,40.5,30.9,55.0,25.1,0.0,17.9,39
2016-05-31,39.9,29.5,53.8,25.1,0.0,17.5,37
2016-06-01,41.9,30.6,54.9,25.1,0.0,17.1,36
2016-06-02,45.5,32.9,57.4,25.1,0.0,16.5,33
2016-06-03,46.4,39.4,57.4,25.1,0.0,15.8,30
2016-06-04,46.6,36.0,60.8,25.1,0.0,14.2,27
2016-06-05,47.8,38.1,61.2,25.1,0.0,12.4,23
2016-06-06,48.2,38.1,63.1,25.1,0.0,10.7,20
2016-06-07,48.0,39.2,64.6,25.1,0.0,8.7,17
2016-06-08,46.6,38.1,59.9,25.1,0.1,7.4,14
2016-06-09,48.2,37.2,62.6,25.2,0.0,6.4,12
2016-06-10,52.5,42.3,65.3,25.2,0.0,4.7,9
2016-06-11,50.4,40.5,63.7,25.2,0.0,2.1,5
2016-06-12,46.8,38.3,58.8,25.2,0.0,0.8,2
2016-06-13,42.3,34.0,55.4,25.2,0.3,1.1,3
2016-06-14,43.2,34.3,53.8,25.5,0.0,1.0,2
2016-06-15,50.9,37.2,64.8,25.5,0.0,0.0,0
2016-06-16,51.3,40.5,64.4,25.5,0.0,0.0,0
2016-06-17,49.3,39.6,62.4,25.5,0.0,0.0,0
2016-06-18,54.3,40.5,70.2,25.5,0.0,0.0,0
2016-06-19,56.5,45.3,70.9,25.5,0.0,0.0,0
2016-06-20,54.3,45.5,65.1,25.5,0.0,0.0,0
2016-06-21,57.7,46.2,71.2,25.5,0.0,0.0,0
2016-06-22,51.1,40.5,66.9,25.5,0.3,0.0,0
2016-06-23,51.1,41.2,61.7,25.8,0.0,0.0,0
2016-06-24,52.9,42.3,68.7,25.8,0.0,0.0,0
2016-06-25,52.5,41.2,65.8,25.8,0.0,0.0,0
2016-06-26,53.6,42.6,66.9,25.8,0.0,0.0,0
2016-06-27,53.2,41.4,66.2,25.8,0.0,0.0,0
2016-06-28,54.9,42.8,69.6,25.8,0.0,0.0,0
2016-06-29,52.7,43.9,64.8,25.8,0.0,0.0,0
2016-06-30,46.9,42.8,54.7,25.8,0.3,0.0,0
2016-07-01,45.9,41.7,51.8,26.1,0.2,0.0,0
2016-07-02,45.5,40.6,53.2,26.3,0.3,0.0,0
2016-07-03,46.6,39.0,61.5,26.6,0.1,0.0,0
2016-07-04,50.0,38.8,63.1,26.7,0.0,0.0,0
2016-07-05,52.5,43.2,63.7,26.7,0.0,0.0,0
2016-07-06,54.1,45.9,63.9,26.7,0.0,0.0,0
2016-07-07,53.8,44.1,64.6,26.7,0.0,0.0,0
2016-07-08,55.0,43.3,68.7,26.7,0.0,0.0,0
2016-07-09,55.6,43.5,69.3,26.7,0.0,0.0,0
2016-07-10,58.8,50.4,71.4,26.7,0.0,0.0,0
2016-07-11,50.9,40.5,60.1,26.7,0.0,0.0,0
2016-07-12,52.9,42.3,65.1,26.7,0.0,0.0,0
2016-07-13,53.6,43.7,65.3,26.7,0.0,0.0,0
2016-07-14,51.4,40.3,64.6,26.7,0.0,0.0,0
2016-07-15,52.3,41.5,65.5,26.7,0.0,0.0,0
2016-07-16,55.2,44.6,68.7,26.7,0.0,0.0,0
2016-07-17,55.6,45.9,70.5,26.7,0.0,0.0,0
2016-07-18,52.5,43.7,61.9,26.7,0.1,0.0,0
2016-07-19,53.4,45.0,67.6,26.8,0.0,0.0,0
2016-07-20,50.5,43.0,66.4,26.8,0.4,0.0,0
2016-07-21,49.5,42.6,63.5,27.2,0.2,0.0,0
2016-07-22,52.5,43.2,67.3,27.4,0.0,0.0,0
2016-07-23,55.0,44.8,69.8,27.4,0.0,0.0,0
2016-07-24,53.4,42.1,68.5,27.4,0.0,0.0,0
2016-07-25,55.0,44.6,68.7,27.4,0.0,0.0,0
2016-07-26,52.3,44.2,63.5,27.4,0.0,0.0,0
2016-07-27,54.3,43.7,69.1,27.4,0.0,0.0,0
2016-07-28,55.8,44.2,68.7,27.4,0.0,0.0,0
2016-07-29,54.3,41.7,67.3,27.4,0.0,0.0,0
2016-07-30,55.6,45.7,69.4,27.4,0.0,0.0,0
2016-07-31,50.2,43.3,64.0,27.4,0.5,0.0,0
2016-08-01,52.0,41.9,65.3,27.9,0.0,0.0,0
2016-08-02,52.7,45.1,64.2,27.9,0.0,0.0,0
2016-08-03,55.0,43.5,68.7,27.9,0.0,0.0,0
2016-08-04,46.9,41.5,53.4,27.9,0.4,0.0,0
2016-08-05,46.6,42.8,52.0,28.3,0.4,0.0,0
2016-08-06,48.0,41.4,58.1,28.7,0.1,0.0,0
2016-08-07,49.8,41.5,65.1,28.8,0.2,0.0,0
2016-08-08,50.0,42.3,61.7,29.0,0.0,0.0,0
2016-08-09,32.4,,66.6,29.0,0.4,0.0,0
2016-08-10,48.7,42.1,61.3,29.4,0.1,0.0,0
2016-08-11,48.9,40.1,62.2,29.5,0.0,0.0,0
2016-08-12,46.2,38.3,59.0,29.5,0.0,0.0,0
2016-08-13,46.6,37.2,62.6,29.5,0.0,0.0,0
2016-08-14,49.5,37.9,63.5,29.5,0.0,0.0,0
2016-08-15,50.0,41.9,64.9,29.5,0.0,0.0,0
2016-08-16,47.7,41.5,60.4,29.5,0.0,0.0,0
2016-08-17,47.3,39.7,61.0,29.5,0.1,0.0,0
2016-08-18,44.4,37.2,57.2,29.6,0.2,0.0,0
2016-08-19,44.1,36.5,56.5,29.8,0.1,0.0,0
2016-08-20,45.5,36.7,59.7,29.9,0.0,0.0,0
2016-08-21,50.7,37.4,63.5,29.9,0.0,0.0,0
2016-08-22,47.1,39.7,58.6,29.9,0.0,0.0,0
2016-08-23,43.9,36.5,56.8,29.9,0.3,0.0,0
2016-08-24,40.3,35.8,48.6,30.2,0.4,0.0,0
2016-08-25,40.8,34.7,55.2,30.6,0.3,0.0,0
2016-08-26,41.0,34.9,50.5,30.9,0.1,0.0,0
2016-08-27,43.9,36.3,55.0,31.0,0.0,0.0,0
2016-08-28,42.6,38.7,51.6,31.0,0.0,0.0,0
2016-08-29,43.7,37.6,55.6,31.0,0.0,0.0,0
2016-08-30,42.6,35.1,53.4,31.0,0.0,0.0,0
2016-08-31,48.2,37.6,62.2,31.0,0.0,0.0,0
2016-09-01,48.6,41.0,64.8,31.0,0.1,0.0,0
2016-09-02,46.2,40.1,57.2,31.1,0.2,0.0,0
2016-09-03,46.8,39.6,59.4,31.3,0.1,0.0,0
2016-09-04,47.3,41.0,57.6,31.4,0.0,0.0,0
2016-09-05,49.3,39.7,61.9,31.4,0.0,0.0,0
2016-09-06,50.2,40.1,60.6,31.4,0.0,0.0,0
2016-09-07,48.7,37.2,59.2,31.4,0.0,0.0,0
2016-09-08,49.1,37.0,61.9,31.4,0.0,0.0,0
2016-09-09,44.6,34.7,58.5,31.4,0.0,0.0,0
2016-09-10,48.4,33.8,62.1,31.4,0.0,0.0,0
2016-09-11,50.0,41.5,61.2,31.4,0.0,0.0,0
2016-09-12,45.7,36.1,59.7,31.4,0.1,0.0,0
2016-09-13,41.7,32.5,54.0,31.5,0.0,0.0,0
2016-09-14,42.4,34.0,55.6,31.5,0.2,0.0,0
2016-09-15,38.7,31.1,50.9,31.7,0.0,0.0,0
2016-09-16,39.7,29.8,53.4,31.7,0.0,0.0,0
2016-09-17,41.5,32.2,53.2,31.7,0.0,0.0,0
2016-09-18,46.6,37.4,59.9,31.7,0.0,0.0,0
2016-09-19,49.5,38.1,63.1,31.7,0.0,0.0,0
2016-09-20,48.4,38.1,58.5,31.7,0.0,0.0,0
2016-09-21,44.6,37.2,52.5,31.7,0.0,0.0,0
2016-09-22,49.6,40.8,58.6,31.7,0.0,0.0,0
2016-09-23,39.7,24.4,56.1,31.7,0.4,0.0,0
2016-09-24,30.0,23.2,36.7,32.1,0.1,0.2,3
2016-09-25,35.6,27.5,47.8,32.2,0.0,0.0,0
2016-09-26,41.5,31.3,55.9,32.2,0.0,0.0,0
2016-09-27,45.1,35.1,59.4,32.2,0.0,0.0,0
2016-09-28,44.6,35.6,60.6,32.2,0.0,0.0,0
2016-09-29,45.9,37.8,59.7,32.2,0.0,0.0,0
2016-09-30,41.2,34.5,47.3,32.2,0.1,0.0,0
