Date,Overland Res. (675) Air Temperature Average (degF),Overland Res. (675) Air Temperature Minimum (degF),Overland Res. (675) Air Temperature Maximum (degF),Overland Res. (675) Precipitation Accumulation (in) Start of Day Values,Overland Res. (675) Precipitation Increment (in),Overland Res. (675) Snow Water Equivalent (in) Start of Day Values,Overland Res. (675) Snow Depth (in) Start of Day Values
2015-11-27,21.2,10.8,29.8,4.4,0.1,1.9,7
2015-11-28,15.3,8.1,22.5,4.5,0.0,2.0,10
2015-11-29,13.5,7.5,20.7,4.5,0.1,2.0,10
2015-11-30,4.5,-2.0,12.6,4.6,0.0,2.2,11
2015-12-01,5.0,-6.9,21.6,4.6,0.0,2.2,12
2015-12-02,14.9,0.7,32.0,4.6,0.2,2.2,12
2015-12-03,20.3,9.0,35.6,4.8,0.1,2.4,12
2015-12-04,30.6,21.2,38.1,4.9,0.0,2.4,11
2015-12-05,16.5,2.8,26.4,4.9,0.0,2.4,11
2015-12-06,21.4,2.7,40.3,4.9,0.0,2.4,12
2015-12-07,26.6,11.8,43.2,4.9,0.1,2.4,12
2015-12-08,29.8,19.6,41.7,5.0,0.0,2.6,11
2015-12-09,29.3,17.2,41.0,5.0,0.0,2.6,11
2015-12-10,31.6,21.0,36.9,5.0,0.0,2.6,11
2015-12-11,27.5,23.5,32.7,5.0,0.0,2.5,11
2015-12-12,18.7,12.7,23.7,5.0,0.1,2.4,12
2015-12-13,16.7,2.8,30.9,5.1,0.0,2.5,11
2015-12-14,19.0,10.0,25.9,5.1,0.3,2.5,12
2015-12-15,8.4,-2.0,15.8,5.4,0.0,2.9,18
2015-12-16,4.5,-4.2,12.4,5.4,0.2,2.9,17
2015-12-17,5.9,-0.8,18.0,5.6,0.0,3.1,18
2015-12-18,15.4,3.2,30.0,5.6,0.3,3.1,16
2015-12-19,28.4,14.4,34.5,5.9,0.1,3.2,15
2015-12-20,21.9,17.2,30.0,6.0,0.1,3.3,15
2015-12-21,18.7,16.2,24.3,6.1,0.2,3.5,19
2015-12-22,21.2,15.8,24.4,6.3,0.3,3.9,23
2015-12-23,9.9,-5.1,19.2,6.6,0.1,4.2,23
2015-12-24,4.3,-10.7,12.6,6.7,0.1,4.2,23
2015-12-25,12.2,1.6,17.2,6.8,0.7,4.4,26
2015-12-26,0.3,-7.4,11.8,7.5,0.0,5.1,30
2015-12-27,6.3,-6.7,26.2,7.5,0.0,5.1,25
2015-12-28,11.3,-1.3,21.4,7.5,0.1,5.1,24
2015-12-29,10.9,2.7,19.4,7.6,0.0,5.2,25
2015-12-30,6.4,-0.4,14.4,7.6,0.1,5.2,26
2015-12-31,2.5,-7.4,18.0,7.7,0.0,5.3,26
2016-01-01,3.6,-8.7,23.2,7.7,0.0,5.3,26
2016-01-02,13.8,-0.6,31.8,7.7,0.1,5.3,25
2016-01-03,20.8,10.4,37.0,7.8,0.1,5.4,25
2016-01-04,22.3,11.7,38.7,7.9,0.0,5.5,24
2016-01-05,20.5,13.1,24.6,7.9,0.0,5.5,24
2016-01-06,23.5,20.8,28.4,7.9,0.1,5.6,23
2016-01-07,16.0,3.2,23.5,8.0,0.0,5.7,24
2016-01-08,12.0,2.7,21.4,8.0,0.0,5.7,25
2016-01-09,10.2,-3.5,21.4,8.0,0.0,5.7,23
2016-01-10,4.5,-5.8,15.3,8.0,0.0,5.7,22
2016-01-11,6.3,-7.1,24.3,8.0,0.0,5.7,23
2016-01-12,12.4,0.3,32.5,8.0,0.0,5.7,24
2016-01-13,19.9,7.3,35.2,8.0,0.1,5.7,24
2016-01-14,16.2,5.0,27.1,8.1,0.0,5.8,24
2016-01-15,13.1,6.1,18.3,8.1,0.1,5.8,23
2016-01-16,12.7,5.7,19.2,8.2,0.3,5.9,24
2016-01-17,16.2,5.2,27.1,8.5,0.0,6.1,25
2016-01-18,19.2,7.3,31.3,8.5,0.1,6.1,27
2016-01-19,20.3,14.9,25.9,8.6,0.1,6.3,28
2016-01-20,16.3,9.0,24.1,8.7,0.1,6.3,28
2016-01-21,13.6,7.7,25.0,8.8,0.0,6.5,29
2016-01-22,22.3,9.1,38.5,8.8,0.1,6.5,29
2016-01-23,27.9,14.2,41.0,8.9,0.1,6.6,28
2016-01-24,20.8,9.9,30.6,9.0,0.1,6.6,27
2016-01-25,10.9,-3.5,22.3,9.1,0.0,6.6,28
2016-01-26,8.8,-5.8,27.5,9.1,0.0,6.6,28
2016-01-27,20.1,6.8,34.5,9.1,0.0,6.6,27
2016-01-28,23.4,11.7,41.2,9.1,0.1,6.7,28
2016-01-29,27.1,18.3,36.0,9.2,0.1,6.8,27
2016-01-30,27.3,16.0,36.5,9.3,0.1,6.8,27
2016-01-31,18.9,13.8,25.0,9.4,0.6,6.9,28
2016-02-01,15.3,4.3,24.6,10.0,0.2,7.7,33
2016-02-02,4.3,-5.4,13.3,10.2,0.0,7.9,36
2016-02-03,-3.5,-13.7,8.2,10.2,0.0,7.9,38
2016-02-04,1.8,-14.1,16.2,10.2,0.0,7.9,34
2016-02-05,7.7,-1.8,18.9,10.2,0.0,7.9,32
2016-02-06,14.4,-0.2,32.0,10.2,0.2,7.9,33
2016-02-07,19.4,9.0,32.5,10.4,0.0,8.0,31
2016-02-08,22.1,6.4,36.5,10.4,0.0,8.0,32
2016-02-09,23.7,11.1,42.4,10.4,0.0,8.0,32
2016-02-10,27.0,13.3,48.0,10.4,0.0,8.0,32
2016-02-11,27.3,14.7,46.0,10.4,0.0,8.0,31
2016-02-12,30.6,18.3,48.0,10.4,0.0,8.0,30
2016-02-13,30.9,17.6,47.7,10.4,0.0,8.0,30
2016-02-14,23.7,13.6,31.8,10.4,0.0,7.9,29
2016-02-15,25.2,17.2,34.3,10.4,0.0,7.9,29
2016-02-16,25.5,15.1,40.1,10.4,0.0,7.9,28
2016-02-17,33.8,15.3,47.3,10.4,0.1,7.9,28
2016-02-18,30.9,16.5,39.4,10.5,0.2,7.9,28
2016-02-19,25.5,7.2,37.9,10.7,0.0,8.0,27
2016-02-20,31.5,16.3,42.6,10.7,0.0,8.1,29
2016-02-21,26.6,14.0,41.9,10.7,0.0,8.1,29
2016-02-22,20.3,14.0,28.2,10.7,0.0,8.1,28
2016-02-23,15.6,1.0,29.3,10.7,0.0,8.1,27
2016-02-24,13.8,-3.1,33.4,10.7,0.0,8.1,29
2016-02-25,22.5,5.9,40.5,10.7,0.0,8.1,29
2016-02-26,26.4,11.8,43.5,10.7,0.0,8.1,28
2016-02-27,29.5,14.9,42.8,10.7,0.1,8.1,28
2016-02-28,27.3,14.5,42.4,10.8,0.0,8.2,27
2016-02-29,27.1,14.5,39.0,10.8,0.0,8.2,27
2016-03-01,29.3,12.9,39.0,10.8,0.0,8.2,27
2016-03-02,32.5,24.8,39.2,10.8,0.0,8.1,27
2016-03-03,30.4,14.7,45.0,10.8,0.0,8.0,27
2016-03-04,32.5,22.6,46.2,10.8,0.0,8.0,25
2016-03-05,35.1,21.7,44.8,10.8,0.0,8.0,25
2016-03-06,30.9,27.5,35.6,10.8,0.4,8.0,25
2016-03-07,20.5,8.2,27.9,11.2,0.0,8.3,28
2016-03-08,15.4,5.0,31.6,11.2,0.0,8.4,28
2016-03-09,16.7,5.7,32.9,11.2,0.1,8.4,28
2016-03-10,26.2,10.2,47.7,11.3,0.0,8.4,27
2016-03-11,33.8,18.3,48.6,11.3,0.1,8.4,27
2016-03-12,33.8,27.7,42.4,11.4,0.0,8.3,26
2016-03-13,31.3,19.9,40.3,11.4,0.0,8.3,24
2016-03-14,28.0,18.9,38.5,11.4,0.2,8.2,24
2016-03-15,18.7,10.4,27.7,11.6,0.2,8.2,24
2016-03-16,18.0,5.0,30.0,11.8,0.0,8.5,26
2016-03-17,26.4,12.7,38.3,11.8,0.0,8.8,28
2016-03-18,23.4,12.7,36.1,11.8,0.0,8.8,27
2016-03-19,21.9,7.5,39.6,11.8,0.0,8.8,26
2016-03-20,27.1,8.8,46.2,11.8,0.0,8.6,25
2016-03-21,38.5,25.2,46.6,11.8,0.2,8.1,23
2016-03-22,32.5,18.9,39.9,12.0,0.1,8.0,25
2016-03-23,19.2,15.6,29.3,12.1,0.1,8.1,28
2016-03-24,21.6,9.0,34.2,12.2,0.0,8.3,27
2016-03-25,19.8,4.6,29.3,12.2,0.1,8.5,26
2016-03-26,12.7,0.9,28.2,12.3,0.0,8.5,25
2016-03-27,20.8,1.0,38.1,12.3,0.1,8.5,28
2016-03-28,33.8,24.1,42.4,12.4,0.2,8.7,26
2016-03-29,24.4,11.8,33.4,12.6,0.2,8.7,25
2016-03-30,17.4,10.0,27.5,12.8,0.1,9.4,28
2016-03-31,18.3,5.2,30.9,12.9,0.1,9.9,29
2016-04-01,16.7,2.5,33.3,13.0,0.0,10.3,30
2016-04-02,25.7,8.2,44.8,13.0,0.0,10.3,27
2016-04-03,31.6,16.9,49.3,13.0,0.0,10.1,26
2016-04-04,36.3,21.6,48.9,13.0,0.0,9.2,25
2016-04-05,28.8,12.7,43.2,13.0,0.1,8.8,25
2016-04-06,30.6,11.3,49.6,13.1,0.1,8.9,25
2016-04-07,36.5,20.7,53.6,13.2,0.0,8.6,23
2016-04-08,39.9,25.7,55.8,13.2,0.0,8.1,22
2016-04-09,34.3,31.6,38.3,13.2,0.2,7.3,21
2016-04-10,34.3,27.7,44.8,13.4,0.0,7.3,20
2016-04-11,34.0,25.9,49.1,13.4,0.0,7.1,20
2016-04-12,34.3,26.6,48.6,13.4,0.2,6.7,20
2016-04-13,36.9,25.9,49.3,13.6,0.1,6.6,19
2016-04-14,39.0,28.8,47.3,13.7,0.0,6.3,19
2016-04-15,28.4,23.4,39.9,13.7,0.2,5.9,18
2016-04-16,23.5,20.1,30.2,13.9,0.1,6.0,19
2016-04-17,23.4,11.8,37.0,14.0,0.0,6.1,21
2016-04-18,22.6,11.8,29.5,14.0,0.3,6.1,18
2016-04-19,23.5,10.0,30.9,14.3,0.3,6.2,18
2016-04-20,31.5,25.0,43.2,14.6,0.2,6.3,24
2016-04-21,36.1,22.5,53.6,14.8,0.0,6.5,21
2016-04-22,44.6,27.9,54.1,14.8,0.0,6.0,18
2016-04-23,39.2,29.3,47.3,14.8,0.0,5.2,15
2016-04-24,34.0,26.4,45.3,14.8,0.1,4.9,15
2016-04-25,32.5,22.5,42.1,14.9,0.1,4.7,14
2016-04-26,25.2,21.9,34.3,15.0,0.4,4.6,15
2016-04-27,28.4,22.3,41.4,15.4,0.1,4.9,16
2016-04-28,30.7,26.8,40.1,15.5,0.6,5.1,17
2016-04-29,28.4,24.3,33.1,16.1,0.2,5.6,17
2016-04-30,27.3,18.3,34.5,16.3,0.0,5.8,20
2016-05-01,26.8,14.4,38.1,16.3,0.4,5.8,21
2016-05-02,33.1,24.6,45.9,16.7,0.0,6.1,21
2016-05-03,36.9,23.4,53.2,16.7,0.0,5.9,19
2016-05-04,41.2,27.1,56.8,16.7,0.0,5.4,17
2016-05-05,45.0,29.7,60.4,16.7,0.0,4.7,14
2016-05-06,44.8,31.6,57.9,16.7,0.0,3.8,11
2016-05-07,30.6,27.1,35.1,16.7,0.1,3.0,10
2016-05-08,31.3,26.8,39.2,16.8,0.3,3.2,10
2016-05-09,35.2,28.0,45.0,17.1,0.4,3.4,14
2016-05-10,33.4,25.2,41.0,17.5,0.3,3.6,11
2016-05-11,30.9,18.7,44.1,17.8,0.0,3.3,11
2016-05-12,36.3,20.3,53.8,17.8,0.0,3.0,9
2016-05-13,43.0,27.5,59.2,17.8,0.1,2.0,7
2016-05-14,46.4,32.2,60.4,17.9,0.0,0.9,3
2016-05-15,41.4,31.8,50.7,17.9,0.0,0.3,1
2016-05-16,33.3,28.8,41.4,17.9,0.3,0.0,0
2016-05-17,34.7,27.9,48.4,18.2,0.0,0.0,0
2016-05-18,35.2,26.8,47.5,18.2,0.1,0.0,0
2016-05-19,39.6,30.4,50.2,18.3,0.0,0.0,0
2016-05-20,46.8,36.5,55.0,18.3,0.0,0.0,0
2016-05-21,48.9,43.2,54.9,18.3,0.0,0.0,0
2016-05-22,40.5,27.9,48.2,18.3,0.0,0.0,0
2016-05-23,38.7,26.4,51.3,18.3,0.0,0.0,0
2016-05-24,44.1,29.8,52.2,18.3,0.0,0.0,0
2016-05-25,40.1,30.6,52.0,18.3,0.0,0.0,0
2016-05-26,38.1,28.8,49.1,18.3,0.0,0.0,0
2016-05-27,36.5,30.2,49.5,18.3,0.0,0.0,0
2016-05-28,39.4,28.4,54.3,18.3,0.0,0.0,0
2016-05-29,42.1,30.6,55.9,18.3,0.0,0.0,0
2016-05-30,43.2,32.5,59.7,18.3,0.0,0.0,0
2016-05-31,44.2,31.5,59.7,18.3,0.0,0.0,0
2016-06-01,46.0,32.5,62.2,18.3,0.0,0.0,0
2016-06-02,48.2,33.8,65.1,18.3,0.0,0.0,0
2016-06-03,49.6,36.3,64.4,18.3,0.0,0.0,0
2016-06-04,52.7,37.4,69.1,18.3,0.0,0.0,0
2016-06-05,54.9,40.8,72.0,18.3,0.0,0.0,0
2016-06-06,48.2,37.8,68.2,18.3,0.1,0.0,0
2016-06-07,52.0,36.0,67.8,18.4,0.0,0.0,0
2016-06-08,50.9,38.7,66.6,18.4,0.0,0.0,0
2016-06-09,55.4,40.5,73.8,18.4,0.0,0.0,0
2016-06-10,55.8,42.6,73.4,18.4,0.0,0.0,0
2016-06-11,53.1,42.4,68.0,18.4,0.0,0.0,0
2016-06-12,51.3,40.1,65.1,18.4,0.0,0.0,0
2016-06-13,44.6,33.1,56.5,18.4,0.1,0.0,0
2016-06-14,45.9,32.0,59.5,18.5,0.0,0.0,0
2016-06-15,57.0,45.0,65.7,18.5,0.0,0.0,0
2016-06-16,52.2,40.1,64.8,18.5,0.0,0.0,0
2016-06-17,54.1,38.1,68.2,18.5,0.1,0.0,0
2016-06-18,57.0,38.3,73.4,18.6,0.0,0.0,0
2016-06-19,59.7,42.4,77.0,18.6,0.0,0.0,0
2016-06-20,62.6,47.5,79.9,18.6,0.0,0.0,0
2016-06-21,61.5,47.3,77.7,18.6,0.0,0.0,0
2016-06-22,56.7,45.9,74.7,18.6,0.1,0.0,0
2016-06-23,54.7,46.6,67.6,18.7,0.4,0.0,0
2016-06-24,54.9,43.9,66.9,19.1,0.0,0.0,0
2016-06-25,55.4,43.9,69.8,19.1,0.0,0.0,0
2016-06-26,57.0,40.5,72.9,19.1,0.0,0.0,0
2016-06-27,59.2,42.1,75.2,19.1,0.0,0.0,0
2016-06-28,,,71.4,19.1,0.0,0.0,0
2016-06-29,52.7,43.9,69.1,19.1,0.7,0.0,0
2016-06-30,49.8,43.0,59.9,19.8,0.9,0.0,0
2016-07-01,48.9,46.2,52.0,20.7,0.3,0.0,0
2016-07-02,48.4,44.1,55.2,21.0,0.2,0.0,0
2016-07-03,49.1,42.8,59.2,21.2,0.1,0.0,0
2016-07-04,48.9,40.1,61.3,21.3,0.4,0.0,0
2016-07-05,55.6,43.7,68.2,21.7,0.1,0.0,0
2016-07-06,57.2,43.0,68.2,21.8,0.0,0.0,0
2016-07-07,57.6,46.4,69.4,21.8,0.0,0.0,0
2016-07-08,56.7,42.4,70.5,21.8,0.0,0.0,0
2016-07-09,58.5,45.3,71.6,21.8,0.0,0.0,0
2016-07-10,59.7,46.8,68.9,21.8,0.0,0.0,0
2016-07-11,54.1,41.0,63.9,21.8,0.0,0.0,0
2016-07-12,54.1,38.8,68.5,21.8,0.0,0.0,0
2016-07-13,56.5,40.5,72.0,21.8,0.0,0.0,0
2016-07-14,56.1,41.9,71.6,21.8,0.0,0.0,0
2016-07-15,57.0,42.4,73.6,21.8,0.0,0.0,0
2016-07-16,59.0,45.7,71.6,21.8,0.0,0.0,0
2016-07-17,59.5,46.4,72.3,21.8,0.0,0.0,0
2016-07-18,58.8,50.4,69.8,21.8,0.1,0.0,0
2016-07-19,53.6,46.6,65.5,21.9,0.0,0.0,0
2016-07-20,56.8,47.7,68.7,21.9,0.0,0.0,0
2016-07-21,55.0,47.7,65.1,21.9,0.2,0.0,0
2016-07-22,53.6,47.5,66.9,22.1,0.8,0.0,0
2016-07-23,54.3,44.2,68.0,22.9,0.2,0.0,0
2016-07-24,57.4,47.5,71.2,23.1,0.0,0.0,0
2016-07-25,59.2,46.2,72.0,23.1,0.0,0.0,0
2016-07-26,56.1,44.8,71.4,23.1,0.0,0.0,0
2016-07-27,58.8,43.2,75.6,23.1,0.1,0.0,0
2016-07-28,61.3,47.5,77.7,23.2,0.0,0.0,0
2016-07-29,60.8,47.8,75.9,23.2,0.0,0.0,0
2016-07-30,58.3,46.4,70.7,23.2,0.0,0.0,0
2016-07-31,54.1,45.3,66.2,23.2,0.2,0.0,0
2016-08-01,56.8,44.1,71.8,23.4,0.0,0.0,0
2016-08-02,57.9,47.1,72.7,23.4,0.0,0.0,0
2016-08-03,55.9,49.6,72.3,23.4,0.2,0.0,0
2016-08-04,51.4,49.5,53.4,23.6,0.4,0.0,0
2016-08-05,50.2,46.0,53.6,24.0,0.3,0.0,0
2016-08-06,50.7,43.9,56.8,24.3,0.3,0.0,0
2016-08-07,53.8,42.4,66.2,24.6,0.0,0.0,0
2016-08-08,52.7,46.0,63.5,24.6,0.1,0.0,0
2016-08-09,55.8,47.5,67.5,24.7,0.0,0.0,0
2016-08-10,55.0,45.7,67.5,24.7,0.0,0.0,0
2016-08-11,49.5,40.1,58.8,24.7,0.0,0.0,0
2016-08-12,49.8,36.9,66.0,24.7,0.0,0.0,0
2016-08-13,51.3,38.3,66.4,24.7,0.0,0.0,0
2016-08-14,53.2,37.2,70.7,24.7,0.0,0.0,0
2016-08-15,54.0,40.6,67.3,24.7,0.0,0.0,0
2016-08-16,53.6,43.9,68.4,24.7,0.0,0.0,0
2016-08-17,51.3,41.9,68.5,24.7,0.0,0.0,0
2016-08-18,47.1,39.6,61.3,24.7,0.3,0.0,0
2016-08-19,50.0,38.3,63.9,25.0,0.0,0.0,0
2016-08-20,51.3,39.2,67.6,25.0,0.0,0.0,0
2016-08-21,53.2,36.1,69.6,25.0,0.1,0.0,0
2016-08-22,49.6,40.1,65.8,25.1,0.0,0.0,0
2016-08-23,45.7,39.9,55.0,25.1,0.1,0.0,0
2016-08-24,47.8,38.1,61.7,25.2,0.0,0.0,0
2016-08-25,43.5,35.1,59.4,25.2,0.6,0.0,0
2016-08-26,41.9,34.5,53.6,25.8,0.2,0.0,0
2016-08-27,41.7,32.9,50.2,26.0,0.6,0.0,0
2016-08-28,43.5,36.1,53.6,26.6,0.0,0.0,0
2016-08-29,45.3,36.1,59.9,26.6,0.0,0.0,0
2016-08-30,49.3,35.1,67.1,26.6,0.0,0.0,0
2016-08-31,51.6,39.2,68.2,26.6,0.1,0.0,0
2016-09-01,53.2,44.2,65.5,26.7,0.0,0.0,0
2016-09-02,49.1,43.9,60.1,26.7,0.3,0.0,0
2016-09-03,48.2,40.1,60.8,27.0,0.1,0.0,0
2016-09-04,51.8,43.2,59.4,27.1,0.2,0.0,0
2016-09-05,51.4,39.9,61.9,27.3,0.0,0.0,0
2016-09-06,51.1,39.4,62.1,27.3,0.0,0.0,0
2016-09-07,50.2,38.7,66.0,27.3,0.0,0.0,0
2016-09-08,50.0,34.2,67.5,27.3,0.0,0.0,0
2016-09-09,47.7,35.1,64.0,27.3,0.0,0.0,0
2016-09-10,49.3,32.4,66.4,27.3,0.0,0.0,0
2016-09-11,49.8,37.0,66.4,27.3,0.0,0.0,0
2016-09-12,44.6,36.3,60.6,27.3,0.1,0.0,0
2016-09-13,46.2,37.8,57.2,27.4,0.1,0.0,0
2016-09-14,45.9,36.1,54.3,27.5,0.0,0.0,0
2016-09-15,40.6,29.5,54.3,27.5,0.0,0.0,0
2016-09-16,40.6,28.2,57.7,27.5,0.1,0.0,0
2016-09-17,42.6,29.8,60.1,27.6,0.0,0.0,0
2016-09-18,46.6,31.3,65.3,27.6,0.0,0.0,0
2016-09-19,51.4,36.7,70.3,27.6,0.0,0.0,0
2016-09-20,49.3,41.0,61.7,27.6,0.0,0.0,0
2016-09-21,46.8,40.8,55.9,27.6,0.2,0.0,0
2016-09-22,53.2,47.5,62.6,27.8,0.0,0.0,0
2016-09-23,33.3,27.3,49.6,27.8,0.3,0.0,0
2016-09-24,31.6,28.0,36.7,28.1,0.3,0.0,0
2016-09-25,36.3,27.3,51.1,28.4,0.0,0.2,2
2016-09-26,42.4,28.8,60.4,28.4,0.0,0.0,0
2016-09-27,45.9,32.7,64.2,28.4,0.1,0.0,0
2016-09-28,49.5,35.1,65.3,28.5,0.0,0.0,0
2016-09-29,45.3,39.4,53.2,28.5,0.1,0.0,0
2016-09-30,42.3,34.3,53.4,28.6,0.1,0.0,0
