Date,Elliot Ridge (1120) Air Temperature Average (degF),Elliot Ridge (1120) Air Temperature Minimum (degF),Elliot Ridge (1120) Air Temperature Maximum (degF),Elliot Ridge (1120) Precipitation Accumulation (in) Start of Day Values,Elliot Ridge (1120) Precipitation Increment (in),Elliot Ridge (1120) Snow Water Equivalent (in) Start of Day Values,Elliot Ridge (1120) Snow Depth (in) Start of Day Values
2015-12-23,7.5,,,9.9,0.3,6.8,30
2015-12-24,2.8,-2.6,,10.2,0.0,7.0,32
2015-12-25,10.0,0.0,18.3,10.2,0.3,7.0,30
2015-12-26,-2.2,,,10.5,0.0,7.2,32
2015-12-27,13.1,-2.6,,10.5,0.1,7.2,31
2015-12-28,14.7,8.2,,10.6,0.0,7.3,30
2015-12-29,9.9,,17.1,10.6,0.1,7.3,30
2015-12-30,4.5,,,10.7,0.1,7.3,30
2015-12-31,0.3,,,10.8,0.0,7.4,31
2016-01-01,9.3,,,10.8,0.0,7.4,31
2016-01-02,20.7,,,10.8,0.1,7.4,30
2016-01-03,25.2,,,10.9,0.0,7.5,30
2016-01-04,28.0,,,10.9,0.0,7.5,30
2016-01-05,22.6,,,10.9,0.0,7.5,30
2016-01-06,21.6,,29.1,10.9,0.1,7.5,29
2016-01-07,17.8,13.1,,11.0,0.1,7.6,29
2016-01-08,13.5,,,11.1,0.1,7.8,32
2016-01-09,8.6,,,11.2,0.1,7.8,29
2016-01-10,8.4,,,11.3,0.0,7.8,34
2016-01-11,10.6,,,11.3,0.0,7.8,33
2016-01-12,18.3,,,11.3,0.0,7.8,33
2016-01-13,23.5,,,11.3,0.0,7.9,32
2016-01-14,13.6,,21.6,11.3,0.1,7.9,32
2016-01-15,9.9,,,11.4,0.1,7.9,33
2016-01-16,8.1,,13.1,11.5,0.3,8.1,35
2016-01-17,15.1,,,11.8,0.3,8.4,35
2016-01-18,19.6,,,12.1,0.1,8.6,35
2016-01-19,18.3,,,12.2,0.1,8.6,34
2016-01-20,12.9,,,12.3,0.3,8.8,36
2016-01-21,12.0,,,12.6,0.1,9.1,38
2016-01-22,25.9,,,12.7,0.0,9.2,38
2016-01-23,28.8,22.3,37.2,12.7,0.0,9.3,37
2016-01-24,18.7,,,12.7,0.2,9.3,36
2016-01-25,8.8,,,12.9,0.0,9.4,36
2016-01-26,8.8,,,12.9,0.0,9.4,38
2016-01-27,21.2,11.5,,12.9,0.1,9.4,38
2016-01-28,25.7,,36.5,13.0,0.0,9.4,35
2016-01-29,23.7,,,13.0,0.1,9.5,37
2016-01-30,24.4,3.9,33.1,13.1,0.8,9.6,36
2016-01-31,12.7,,20.8,13.9,0.6,10.4,45
2016-02-01,14.5,,,14.5,0.5,11.0,50
2016-02-02,1.8,,,15.0,0.0,11.6,55
2016-02-03,-2.7,-6.2,,15.0,0.0,11.7,53
2016-02-04,5.0,,,15.0,0.2,11.7,51
2016-02-05,6.4,,,15.2,0.1,11.8,47
2016-02-06,17.8,6.6,27.5,15.3,0.0,11.9,49
2016-02-07,18.0,,,15.3,0.0,11.9,46
2016-02-08,21.2,,,15.3,0.0,11.9,46
2016-02-09,27.1,17.4,,15.3,0.0,11.9,45
2016-02-10,31.5,24.6,,15.3,0.0,12.0,43
2016-02-11,30.9,25.2,40.8,15.3,0.0,12.0,44
2016-02-12,34.3,,,15.3,0.0,12.0,43
2016-02-13,30.0,17.1,,15.3,0.0,12.0,43
2016-02-14,20.7,17.4,,15.3,0.2,12.0,43
2016-02-15,22.1,18.0,25.2,15.5,0.1,12.1,43
2016-02-16,26.6,,,15.6,0.0,12.2,41
2016-02-17,36.5,,,15.6,0.0,12.2,41
2016-02-18,28.8,14.7,38.8,15.6,0.3,12.3,41
2016-02-19,26.2,14.4,,15.9,0.1,12.5,42
2016-02-20,28.2,19.0,,16.0,0.0,12.6,41
2016-02-21,25.9,,,16.0,0.0,12.6,41
2016-02-22,18.0,12.4,,16.0,0.1,12.6,41
2016-02-23,12.0,,,16.1,0.0,12.7,43
2016-02-24,17.4,,,16.1,0.0,12.7,43
2016-02-25,24.4,15.6,,16.1,0.0,12.7,42
2016-02-26,29.7,,,16.1,0.0,12.7,42
2016-02-27,31.3,,,16.1,0.0,12.7,42
2016-02-28,26.2,,,16.1,0.0,12.7,41
2016-02-29,23.5,13.1,,16.1,0.1,12.7,41
2016-03-01,23.4,6.6,,16.2,0.0,12.7,41
2016-03-02,25.9,,,16.2,0.3,12.8,41
2016-03-03,30.7,,,16.5,0.0,13.0,43
2016-03-04,31.3,25.9,38.3,16.5,0.0,13.0,42
2016-03-05,35.8,,,16.5,0.0,13.0,42
2016-03-06,29.7,,,16.5,0.3,13.0,42
2016-03-07,19.9,,,16.8,0.8,13.4,44
2016-03-08,17.4,,,17.6,0.0,14.1,51
2016-03-09,20.1,13.8,,17.6,0.0,14.1,50
2016-03-10,29.7,,,17.6,0.0,14.1,50
2016-03-11,39.0,30.4,48.9,17.6,0.0,14.2,48
2016-03-12,32.9,25.2,,17.6,0.0,14.2,46
2016-03-13,29.7,,39.9,17.6,0.1,14.2,45
2016-03-14,21.9,11.3,28.8,17.7,0.9,14.3,45
2016-03-15,11.8,,,18.6,0.0,15.2,55
2016-03-16,13.5,,19.0,18.6,0.4,15.5,57
2016-03-17,18.0,,28.4,19.0,0.0,15.7,54
2016-03-18,12.7,6.4,,19.0,0.2,15.8,54
2016-03-19,15.4,,,19.2,0.0,15.9,55
2016-03-20,29.3,11.3,,19.2,0.1,15.9,53
2016-03-21,37.8,29.8,45.7,19.3,0.0,16.1,50
2016-03-22,30.9,12.9,,19.3,0.5,16.1,49
2016-03-23,15.4,,,19.8,1.0,16.5,54
2016-03-24,19.2,3.2,,20.8,0.1,17.6,66
2016-03-25,14.9,,,20.9,1.0,17.9,63
2016-03-26,10.8,,21.6,21.9,0.0,18.9,72
2016-03-27,20.7,,,21.9,0.0,18.9,68
2016-03-28,33.1,24.1,,21.9,0.1,19.0,66
2016-03-29,28.2,13.3,,22.0,0.1,19.1,62
2016-03-30,15.8,,,22.1,0.2,19.2,63
2016-03-31,14.9,,,22.3,0.1,19.3,61
2016-04-01,16.2,,,22.4,0.1,19.4,63
2016-04-02,28.2,15.1,40.8,22.5,0.0,19.5,62
2016-04-03,33.4,,,22.5,0.0,19.5,59
2016-04-04,37.8,27.3,48.4,22.5,0.0,19.5,57
2016-04-05,24.4,17.1,36.9,22.5,0.1,19.5,55
2016-04-06,31.3,,,22.6,0.1,19.7,57
2016-04-07,35.6,,47.3,22.7,0.0,19.8,55
2016-04-08,38.8,28.8,,22.7,0.0,19.8,54
2016-04-09,32.9,29.1,,22.7,0.3,19.8,53
2016-04-10,32.2,26.8,,23.0,0.2,20.0,54
2016-04-11,34.0,,,23.2,0.1,20.3,54
2016-04-12,34.5,,,23.3,0.0,20.4,52
2016-04-13,38.3,28.8,,23.3,0.0,20.3,50
2016-04-14,38.1,,,23.3,0.0,19.9,50
2016-04-15,22.6,,29.5,23.3,1.0,19.8,50
2016-04-16,18.3,,21.2,24.3,0.6,20.8,58
2016-04-17,18.9,13.8,,24.9,0.1,21.6,60
2016-04-18,21.2,16.0,29.3,25.0,0.1,21.9,58
2016-04-19,23.4,,,25.1,0.1,21.9,56
2016-04-20,29.7,20.8,41.0,25.2,0.0,22.1,57
2016-04-21,38.3,,,25.2,0.0,22.1,57
2016-04-22,46.0,,,25.2,0.0,21.9,54
2016-04-23,37.0,23.5,52.7,25.2,0.4,21.6,52
2016-04-24,28.8,22.3,38.8,25.6,0.1,21.8,54
2016-04-25,34.7,22.1,,25.7,0.3,21.9,54
2016-04-26,23.7,19.2,34.2,26.0,0.2,22.1,55
2016-04-27,25.3,19.9,,26.2,0.1,22.1,54
2016-04-28,27.9,,,26.3,0.2,22.3,54
2016-04-29,24.8,,,26.5,0.6,22.5,54
2016-04-30,21.0,,27.3,27.1,0.5,23.2,59
2016-05-01,23.5,,,27.6,0.0,23.7,62
2016-05-02,30.9,,,27.6,0.0,23.7,60
2016-05-03,36.7,25.0,,27.6,0.0,23.7,58
2016-05-04,45.7,28.8,,27.6,0.0,23.6,55
2016-05-05,49.1,,,27.6,0.0,23.3,52
2016-05-06,46.4,,,27.6,0.1,22.8,51
2016-05-07,32.0,,,27.7,0.1,22.7,50
2016-05-08,29.5,,,27.8,0.6,22.9,51
2016-05-09,31.6,,,28.4,0.8,23.2,55
2016-05-10,31.3,,,29.2,0.5,23.9,57
2016-05-11,28.8,18.3,,29.7,0.0,24.3,57
2016-05-12,38.8,,,29.7,0.0,24.2,57
2016-05-13,46.2,,56.7,29.7,0.0,24.0,54
2016-05-14,47.8,,,29.7,0.1,23.5,52
2016-05-15,38.7,,,29.8,0.3,23.3,51
2016-05-16,32.7,,,30.1,0.6,23.6,52
2016-05-17,32.9,,,30.7,0.0,24.0,51
2016-05-18,36.5,,47.7,30.7,0.0,23.5,51
2016-05-19,41.0,31.8,,30.7,0.0,23.2,50
2016-05-20,47.1,,57.0,30.7,0.0,22.8,49
2016-05-21,49.1,,,30.7,0.0,22.3,47
2016-05-22,42.1,28.8,,30.7,0.0,22.3,44
2016-05-23,38.8,26.4,48.4,30.7,0.0,21.4,42
2016-05-24,44.2,33.8,,30.7,0.0,21.0,41
2016-05-25,40.1,30.2,50.2,30.7,0.0,19.9,39
2016-05-26,36.5,29.8,,30.7,0.1,18.8,37
2016-05-27,32.7,29.1,,30.8,0.3,18.5,36
2016-05-28,38.5,29.5,,31.1,0.0,17.9,35
2016-05-29,43.7,35.8,,31.1,0.0,16.9,35
2016-05-30,43.5,37.0,55.2,31.1,0.0,15.9,32
2016-05-31,43.9,34.9,,31.1,0.0,15.6,31
2016-06-01,46.0,,,31.1,0.0,14.3,29
2016-06-02,49.8,,,31.1,0.0,12.9,26
2016-06-03,50.0,42.1,,31.1,0.0,11.2,22
2016-06-04,52.5,42.6,,31.1,0.0,9.4,19
2016-06-05,55.0,45.9,,31.1,0.0,7.2,16
2016-06-06,53.4,,64.8,31.1,0.0,5.0,12
2016-06-07,54.0,45.5,,31.1,0.0,3.2,5
2016-06-08,52.9,,,31.1,0.1,1.2,3
2016-06-09,55.2,,,31.2,0.0,0.0,0
2016-06-10,60.6,50.7,70.0,31.2,0.0,0.0,0
2016-06-11,56.8,,,31.2,0.0,0.0,0
2016-06-12,52.7,,,31.2,0.0,0.0,0
2016-06-13,45.9,,,31.2,0.3,0.0,0
2016-06-14,46.0,33.8,,31.5,0.0,0.0,0
2016-06-15,56.8,,,31.5,0.0,0.0,0
2016-06-16,55.4,,,31.5,0.0,0.0,0
2016-06-17,58.8,47.8,,31.5,0.0,0.0,0
2016-06-18,61.7,,,31.5,0.0,0.0,0
2016-06-19,63.3,,,31.5,0.0,0.0,0
2016-06-20,65.8,56.1,,31.5,0.0,0.0,0
2016-06-21,64.4,55.0,,31.5,0.1,0.0,0
2016-06-22,57.4,44.6,,31.6,0.1,0.0,0
2016-06-23,55.9,,,31.7,0.1,0.0,0
2016-06-24,58.5,,,31.8,0.0,0.0,0
2016-06-25,55.4,,,31.8,0.4,0.0,0
2016-06-26,58.6,48.6,,32.2,0.0,0.0,0
2016-06-27,60.6,51.4,,32.2,0.0,0.0,0
2016-06-28,61.5,,,32.2,0.0,0.0,0
2016-06-29,56.8,,,32.2,0.0,0.0,0
2016-06-30,50.7,,,32.2,0.1,0.0,0
2016-07-01,47.5,44.1,,32.3,0.2,0.0,0
2016-07-02,47.5,,,32.5,0.1,0.0,0
2016-07-03,51.3,44.2,,32.6,0.0,0.0,0
2016-07-04,55.4,,,32.6,0.0,0.0,0
2016-07-05,57.4,,,32.6,0.0,0.0,0
2016-07-06,58.5,,,32.6,0.0,0.0,0
2016-07-07,57.4,50.7,,32.6,0.0,0.0,0
2016-07-08,60.1,,70.5,32.6,0.0,0.0,0
2016-07-09,61.7,,,32.6,0.0,0.0,0
2016-07-10,61.5,,,32.6,0.0,0.0,0
2016-07-11,52.9,,,32.6,0.0,0.0,0
2016-07-12,56.5,,,32.6,0.0,0.0,0
2016-07-13,57.4,45.7,69.4,32.6,0.0,0.0,0
2016-07-14,57.0,,,32.6,0.0,0.0,0
2016-07-15,58.5,,,32.6,0.0,0.0,0
2016-07-16,60.6,54.0,,32.6,0.0,0.0,0
2016-07-17,62.1,,71.6,32.6,0.0,0.0,0
2016-07-18,56.8,46.4,,32.6,0.3,0.0,0
2016-07-19,56.5,,,32.9,0.1,0.0,0
2016-07-20,55.8,,,33.0,0.2,0.0,0
2016-07-21,54.3,48.0,64.9,33.2,0.0,0.0,0
2016-07-22,57.0,,,33.2,0.1,0.0,0
2016-07-23,58.5,,,33.3,0.2,0.0,0
2016-07-24,57.9,47.3,,33.5,0.0,0.0,0
2016-07-25,61.7,,,33.5,0.0,0.0,0
2016-07-26,57.7,,,33.5,0.0,0.0,0
2016-07-27,61.9,,,33.5,0.0,0.0,0
2016-07-28,62.1,,,33.5,0.0,0.0,0
2016-07-29,61.0,52.5,,33.5,0.0,0.0,0
2016-07-30,61.5,,,33.5,0.0,0.0,0
2016-07-31,54.3,,,33.5,0.3,0.0,0
2016-08-01,57.7,,,33.8,0.0,0.0,0
2016-08-02,60.1,,,33.8,0.1,0.0,0
2016-08-03,60.4,,,33.9,0.0,0.0,0
2016-08-04,49.1,,56.8,33.9,0.4,0.0,0
2016-08-05,49.8,,,34.3,0.1,0.0,0
2016-08-06,49.3,,,34.4,0.4,0.0,0
2016-08-07,56.5,,,34.8,0.0,0.0,0
2016-08-08,53.2,,,34.8,0.0,0.0,0
2016-08-09,56.7,,67.6,34.8,0.2,0.0,0
2016-08-10,55.6,,,35.0,0.0,0.0,0
2016-08-11,51.8,,,35.0,0.0,0.0,0
2016-08-12,52.0,,,35.0,0.0,0.0,0
2016-08-13,53.6,,,35.0,0.0,0.0,0
2016-08-14,56.5,,66.4,35.0,0.0,0.0,0
2016-08-15,57.7,,,35.0,0.0,0.0,0
2016-08-16,55.0,,,35.0,0.1,0.0,0
2016-08-17,54.1,,,35.1,0.0,0.0,0
2016-08-18,49.5,,,35.1,0.1,0.0,0
2016-08-19,49.5,,,35.2,0.0,0.0,0
2016-08-20,51.3,43.2,62.6,35.2,0.0,0.0,0
2016-08-21,56.1,,,35.2,0.0,0.0,0
2016-08-22,52.5,,,35.2,0.0,0.0,0
2016-08-23,49.1,40.1,60.8,35.2,0.0,0.0,0
2016-08-24,46.0,,,35.2,0.1,0.0,0
2016-08-25,44.8,36.3,,35.3,0.1,0.0,0
2016-08-26,43.2,36.9,55.4,35.4,0.0,0.0,0
2016-08-27,47.8,,58.5,35.4,0.0,0.0,0
2016-08-28,46.8,,56.1,35.4,0.1,0.0,0
2016-08-29,47.5,41.2,,35.5,0.0,0.0,0
2016-08-30,49.6,,,35.5,0.0,0.0,0
2016-08-31,55.4,,66.2,35.5,0.0,0.0,0
2016-09-01,56.5,,,35.5,0.0,0.0,0
2016-09-02,50.2,42.3,,35.5,0.1,0.0,0
2016-09-03,52.0,45.7,,35.6,0.0,0.0,0
2016-09-04,50.7,,,35.6,0.2,0.0,0
2016-09-05,52.9,,,35.8,0.0,0.0,0
2016-09-06,54.7,,,35.8,0.0,0.0,0
2016-09-07,52.2,,62.8,35.8,0.0,0.0,0
2016-09-08,52.9,,,35.8,0.0,0.0,0
2016-09-09,46.4,,,35.8,0.0,0.0,0
2016-09-10,51.3,,,35.8,0.0,0.0,0
2016-09-11,53.6,,,35.8,0.0,0.0,0
2016-09-12,49.6,,,35.8,0.0,0.0,0
2016-09-13,47.3,,,35.8,0.0,0.0,0
2016-09-14,45.3,31.8,,35.8,0.0,0.0,0
2016-09-15,40.3,33.1,,35.8,0.0,0.0,0
2016-09-16,41.9,32.0,,35.8,0.1,0.0,0
2016-09-17,44.8,,,35.9,0.0,0.0,0
2016-09-18,49.8,,62.6,35.9,0.0,0.0,0
2016-09-19,55.2,,66.4,35.9,0.0,0.0,0
2016-09-20,53.4,,,35.9,0.0,0.0,0
2016-09-21,48.2,41.4,,35.9,0.0,0.0,0
2016-09-22,54.3,,,35.9,0.0,0.0,0
2016-09-23,36.9,26.2,,35.9,0.0,0.0,0
2016-09-24,29.1,24.8,,35.9,0.2,0.0,0
2016-09-25,36.3,,,36.1,0.0,0.0,0
2016-09-26,45.3,,,36.1,0.0,0.0,0
2016-09-27,50.2,,,36.1,0.0,0.0,0
2016-09-28,51.6,,60.8,36.1,0.0,0.0,0
2016-09-29,49.5,,,36.1,0.0,0.0,0
2016-09-30,41.9,,,36.1,0.2,0.0,0
