Date,Echo Lake (936) Air Temperature Average (degF),Echo Lake (936) Air Temperature Minimum (degF),Echo Lake (936) Air Temperature Maximum (degF),Echo Lake (936) Precipitation Accumulation (in) Start of Day Values,Echo Lake (936) Precipitation Increment (in),Echo Lake (936) Snow Water Equivalent (in) Start of Day Values,Echo Lake (936) Snow Depth (in) Start of Day Values
2015-11-18,21.7,18.0,25.3,4.8,0.1,3.2,20
2015-11-19,26.2,19.2,31.5,4.9,0.1,3.2,18
2015-11-20,19.8,3.4,30.6,5.0,0.3,3.2,17
2015-11-21,19.0,3.6,26.2,5.3,0.1,3.4,22
2015-11-22,30.7,22.1,40.3,5.4,0.0,3.4,19
2015-11-23,29.8,20.1,42.1,5.4,0.0,3.4,18
2015-11-24,27.9,20.7,37.9,5.4,0.0,3.4,17
2015-11-25,21.4,11.7,35.2,5.4,0.0,3.4,17
2015-11-26,5.2,-3.1,12.2,5.4,0.0,3.4,17
2015-11-27,9.5,-5.8,20.7,5.4,0.1,3.4,19
2015-11-28,14.7,8.6,22.1,5.5,0.0,3.5,17
2015-11-29,11.5,3.2,21.6,5.5,0.1,3.5,18
2015-11-30,4.6,2.7,8.8,5.6,0.0,3.6,20
2015-12-01,14.2,5.0,19.0,5.6,0.1,3.6,20
2015-12-02,24.4,18.0,32.2,5.7,0.0,3.7,19
2015-12-03,21.9,13.6,30.6,5.7,0.0,3.7,18
2015-12-04,30.6,14.7,42.6,5.7,0.1,3.7,18
2015-12-05,19.0,9.0,27.7,5.8,0.0,3.7,18
2015-12-06,30.9,9.5,41.2,5.8,0.0,3.7,18
2015-12-07,36.0,29.7,41.7,5.8,0.0,3.7,17
2015-12-08,30.4,25.9,35.6,5.8,0.1,3.7,16
2015-12-09,38.7,29.7,45.7,5.9,0.0,3.6,16
2015-12-10,34.3,26.8,40.3,5.9,0.0,3.6,16
2015-12-11,25.0,15.8,33.8,5.9,0.0,3.5,15
2015-12-12,16.3,10.9,20.7,5.9,0.2,3.6,17
2015-12-13,20.5,9.1,30.2,6.1,0.1,3.8,21
2015-12-14,19.2,12.0,26.8,6.2,0.0,3.9,20
2015-12-15,7.2,2.7,15.1,6.2,0.6,4.0,20
2015-12-16,3.2,-6.7,11.7,6.8,0.0,4.4,26
2015-12-17,6.1,-0.6,19.6,6.8,0.0,4.4,25
2015-12-18,25.0,17.2,35.6,6.8,0.2,4.4,23
2015-12-19,33.8,21.0,40.3,7.0,0.0,4.4,20
2015-12-20,23.5,16.0,30.4,7.0,0.0,4.4,20
2015-12-21,20.7,15.3,24.8,7.0,0.0,4.3,20
2015-12-22,22.1,12.4,29.1,7.0,0.1,4.3,19
2015-12-23,8.6,0.3,15.8,7.1,0.0,4.3,20
2015-12-24,3.9,-5.1,10.2,7.1,0.0,4.4,22
2015-12-25,8.2,-2.2,17.2,7.1,0.0,4.4,22
2015-12-26,-2.7,-9.4,4.1,7.1,0.0,4.4,22
2015-12-27,3.6,-9.0,18.0,7.1,0.1,4.4,22
2015-12-28,11.3,0.9,26.2,7.2,0.0,4.5,23
2015-12-29,3.9,-2.2,15.4,7.2,0.0,4.5,22
2015-12-30,0.9,-8.1,13.3,7.2,0.0,4.5,22
2015-12-31,-2.7,-9.0,8.2,7.2,0.0,4.5,22
2016-01-01,2.1,-6.5,19.8,7.2,0.0,4.5,20
2016-01-02,14.2,2.1,25.9,7.2,0.1,4.5,22
2016-01-03,22.3,14.5,34.5,7.3,0.0,4.6,21
2016-01-04,21.9,14.7,36.3,7.3,0.0,4.6,22
2016-01-05,21.7,12.7,31.3,7.3,0.0,4.6,22
2016-01-06,19.0,9.5,32.2,7.3,0.0,4.6,21
2016-01-07,17.2,13.1,24.6,7.3,0.1,4.6,22
2016-01-08,10.0,2.5,14.2,7.4,0.0,4.6,22
2016-01-09,8.6,-0.2,15.3,7.4,0.0,4.7,23
2016-01-10,7.3,-2.0,16.7,7.4,0.0,4.7,24
2016-01-11,19.9,12.0,25.3,7.4,0.1,4.7,23
2016-01-12,23.7,17.2,31.6,7.5,0.1,4.7,22
2016-01-13,29.1,23.5,34.3,7.6,0.0,4.7,22
2016-01-14,16.2,9.9,27.5,7.6,0.0,4.7,21
2016-01-15,11.1,4.1,19.9,7.6,0.0,4.7,23
2016-01-16,11.3,1.9,20.3,7.6,0.1,4.7,23
2016-01-17,17.4,15.3,21.7,7.7,0.0,4.8,23
2016-01-18,25.5,20.1,35.2,7.7,0.0,4.8,23
2016-01-19,21.4,14.0,30.6,7.7,0.0,4.8,22
2016-01-20,16.9,10.2,24.6,7.7,0.0,4.8,22
2016-01-21,18.3,9.5,25.2,7.7,0.0,4.8,22
2016-01-22,31.6,23.4,40.8,7.7,0.0,4.8,22
2016-01-23,29.7,20.3,42.6,7.7,0.0,4.8,22
2016-01-24,21.4,11.1,32.0,7.7,0.0,4.8,22
2016-01-25,10.2,5.0,17.8,7.7,0.0,4.7,22
2016-01-26,16.7,5.9,25.5,7.7,0.0,4.7,22
2016-01-27,27.5,15.3,39.2,7.7,0.0,4.7,22
2016-01-28,31.6,15.4,40.5,7.7,0.2,4.7,22
2016-01-29,29.8,20.7,36.1,7.9,0.0,4.8,21
2016-01-30,30.4,17.4,40.1,7.9,0.1,4.8,21
2016-01-31,13.6,8.4,22.5,8.0,0.1,4.9,23
2016-02-01,7.9,2.8,13.8,8.1,0.4,5.0,25
2016-02-02,0.3,-5.4,5.2,8.5,0.1,5.3,31
2016-02-03,-2.6,-5.8,2.8,8.6,0.0,5.4,31
2016-02-04,12.2,0.3,21.4,8.6,0.2,5.4,30
2016-02-05,10.2,2.3,17.4,8.8,0.0,5.5,29
2016-02-06,24.1,16.2,30.9,8.8,0.0,5.5,28
2016-02-07,22.1,19.6,26.8,8.8,0.0,5.5,27
2016-02-08,28.8,21.7,34.9,8.8,0.1,5.5,26
2016-02-09,32.4,27.3,39.6,8.9,0.0,5.5,25
2016-02-10,35.6,29.8,44.1,8.9,0.0,5.5,25
2016-02-11,34.5,29.7,43.9,8.9,0.0,5.4,24
2016-02-12,36.3,28.0,46.0,8.9,0.0,5.4,24
2016-02-13,34.7,26.6,43.0,8.9,0.0,5.4,24
2016-02-14,24.6,18.0,30.9,8.9,0.0,5.3,24
2016-02-15,26.4,18.3,32.9,8.9,0.0,5.3,24
2016-02-16,30.6,24.4,37.4,8.9,0.0,5.1,22
2016-02-17,40.1,31.5,49.8,8.9,0.1,5.1,22
2016-02-18,36.1,19.9,44.1,9.0,0.0,5.1,22
2016-02-19,31.8,19.8,42.4,9.0,0.1,5.1,22
2016-02-20,33.3,28.4,42.3,9.1,0.0,5.1,22
2016-02-21,23.2,12.0,32.2,9.1,0.0,5.1,22
2016-02-22,19.9,12.0,25.3,9.1,0.3,5.1,23
2016-02-23,11.1,2.3,20.3,9.4,0.2,5.5,31
2016-02-24,18.3,3.4,28.8,9.6,0.1,5.6,34
2016-02-25,25.2,9.7,37.8,9.7,0.1,5.7,31
2016-02-26,32.2,17.4,45.5,9.8,0.0,5.8,30
2016-02-27,36.3,27.1,43.9,9.8,0.0,5.8,28
2016-02-28,29.7,19.4,42.3,9.8,0.0,5.8,28
2016-02-29,27.7,19.2,37.0,9.8,0.0,5.7,27
2016-03-01,26.6,14.4,36.1,9.8,0.1,5.7,26
2016-03-02,26.8,21.9,32.0,9.9,0.2,5.7,26
2016-03-03,31.5,21.6,44.8,10.1,0.0,5.8,27
2016-03-04,30.6,20.3,42.4,10.1,0.0,5.8,26
2016-03-05,34.0,20.3,48.6,10.1,0.0,5.8,26
2016-03-06,33.4,23.5,43.7,10.1,0.0,5.8,25
2016-03-07,23.7,16.3,30.4,10.1,0.0,5.7,25
2016-03-08,18.3,7.5,28.2,10.1,0.0,5.7,26
2016-03-09,20.7,6.8,35.1,10.1,0.1,5.8,27
2016-03-10,31.5,21.0,45.5,10.2,0.0,5.8,27
2016-03-11,35.1,22.3,53.6,10.2,0.0,5.8,27
2016-03-12,34.5,26.8,43.7,10.2,0.0,5.8,26
2016-03-13,31.3,25.5,41.9,10.2,0.1,5.9,26
2016-03-14,26.4,16.5,34.0,10.3,0.2,5.9,25
2016-03-15,12.9,7.2,17.2,10.5,0.1,6.0,28
2016-03-16,13.1,7.0,19.8,10.6,0.2,6.1,29
2016-03-17,18.3,11.5,28.2,10.8,0.2,6.2,29
2016-03-18,7.2,-1.3,12.4,11.0,0.1,6.4,31
2016-03-19,8.2,-1.8,21.2,11.1,0.1,6.6,33
2016-03-20,27.1,7.3,40.5,11.2,0.2,6.7,33
2016-03-21,38.5,32.0,47.7,11.4,0.0,6.8,32
2016-03-22,35.1,24.8,46.2,11.4,0.0,6.8,30
2016-03-23,16.9,14.2,25.0,11.4,0.5,6.8,29
2016-03-24,19.9,11.5,30.6,11.9,0.0,7.2,34
2016-03-25,19.0,5.5,30.7,11.9,0.0,7.2,33
2016-03-26,9.3,0.3,19.2,11.9,0.1,7.2,34
2016-03-27,21.9,4.6,35.8,12.0,0.1,7.3,35
2016-03-28,33.1,22.6,46.0,12.1,0.1,7.4,34
2016-03-29,31.3,17.2,44.1,12.2,0.1,7.4,32
2016-03-30,17.8,11.8,27.7,12.3,0.0,7.6,33
2016-03-31,14.7,3.6,23.0,12.3,0.0,7.6,33
2016-04-01,18.0,6.3,29.8,12.3,0.1,7.6,35
2016-04-02,29.5,12.4,45.9,12.4,0.1,7.6,34
2016-04-03,34.9,27.5,47.3,12.5,0.0,7.7,33
2016-04-04,38.1,26.8,50.9,12.5,0.0,7.7,31
2016-04-05,27.9,17.2,42.8,12.5,0.1,7.7,30
2016-04-06,34.3,19.2,47.8,12.6,0.1,7.7,32
2016-04-07,35.1,24.4,49.5,12.7,0.0,7.7,31
2016-04-08,33.4,23.5,46.2,12.7,0.0,7.7,30
2016-04-09,38.1,31.8,49.3,12.7,0.0,7.7,29
2016-04-10,34.7,25.7,46.0,12.7,0.3,7.7,29
2016-04-11,30.6,22.1,41.4,13.0,0.1,7.9,31
2016-04-12,34.2,26.4,45.7,13.1,0.1,8.0,29
2016-04-13,34.3,24.6,48.2,13.2,0.0,8.0,28
2016-04-14,40.1,30.2,52.2,13.2,0.0,8.0,28
2016-04-15,26.8,20.7,38.1,13.2,0.8,8.0,27
2016-04-16,18.9,16.5,21.6,14.0,1.8,8.7,37
2016-04-17,17.8,14.9,25.2,15.8,0.4,10.3,65
2016-04-18,18.0,6.8,25.5,16.2,0.2,10.7,61
2016-04-19,22.3,13.5,34.3,16.4,0.0,10.8,55
2016-04-20,28.4,19.8,38.5,16.4,0.1,10.9,52
2016-04-21,33.8,25.5,46.4,16.5,0.0,11.0,49
2016-04-22,41.9,25.3,58.6,16.5,0.0,10.9,44
2016-04-23,37.8,26.6,54.1,16.5,0.1,10.8,39
2016-04-24,32.5,23.2,43.0,16.6,0.0,10.8,37
2016-04-25,36.5,23.7,50.0,16.6,0.0,10.7,36
2016-04-26,24.4,18.7,32.9,16.6,0.1,10.6,34
2016-04-27,26.4,19.6,38.1,16.7,0.1,10.7,34
2016-04-28,21.4,19.9,24.4,16.8,0.2,10.8,36
2016-04-29,20.8,18.3,25.0,17.0,0.5,10.9,37
2016-04-30,19.0,15.4,23.7,17.5,0.5,11.4,43
2016-05-01,17.4,10.4,20.8,18.0,0.2,11.8,48
2016-05-02,27.1,8.2,41.7,18.2,0.1,11.9,49
2016-05-03,32.9,18.3,47.3,18.3,0.0,11.9,43
2016-05-04,40.5,25.0,57.0,18.3,0.0,11.8,40
2016-05-05,45.7,33.1,60.4,18.3,0.0,11.6,38
2016-05-06,44.8,34.0,57.9,18.3,0.0,11.4,36
2016-05-07,31.6,25.7,38.5,18.3,0.1,11.2,34
2016-05-08,32.5,25.5,44.6,18.4,0.0,11.4,35
2016-05-09,35.6,25.5,47.3,18.4,0.2,11.3,35
2016-05-10,36.0,27.9,47.7,18.6,0.0,11.2,34
2016-05-11,32.0,23.0,43.0,18.6,0.0,11.2,33
2016-05-12,39.0,26.8,52.5,18.6,0.1,11.1,33
2016-05-13,42.1,29.1,56.7,18.7,0.0,10.7,31
2016-05-14,41.2,27.0,59.4,18.7,0.0,10.3,30
2016-05-15,37.4,30.9,48.4,18.7,0.0,9.9,29
2016-05-16,30.0,24.3,35.6,18.7,0.5,9.7,26
2016-05-17,27.0,23.4,31.6,19.2,0.2,10.1,34
2016-05-18,32.2,22.6,42.4,19.4,0.0,10.3,33
2016-05-19,37.2,28.0,50.9,19.4,0.0,10.3,32
2016-05-20,45.9,34.3,55.6,19.4,0.1,10.2,30
2016-05-21,48.4,33.3,60.4,19.5,0.0,9.9,28
2016-05-22,43.9,30.0,57.2,19.5,0.0,9.3,26
2016-05-23,36.1,27.0,50.4,19.5,0.0,8.8,25
2016-05-24,39.2,27.0,49.6,19.5,0.0,8.8,24
2016-05-25,41.7,28.8,52.9,19.5,0.0,8.4,24
2016-05-26,32.2,27.0,41.0,19.5,0.3,8.0,23
2016-05-27,32.7,28.8,41.9,19.8,0.0,8.2,25
2016-05-28,39.0,29.5,51.3,19.8,0.0,8.2,23
2016-05-29,41.9,29.3,57.6,19.8,0.1,7.9,23
2016-05-30,44.1,30.6,58.3,19.9,0.0,7.4,21
2016-05-31,40.3,29.1,51.6,19.9,0.0,6.8,19
2016-06-01,41.2,30.2,54.7,19.9,0.0,6.4,18
2016-06-02,47.5,32.5,59.4,19.9,0.0,5.8,16
2016-06-03,50.2,38.5,62.1,19.9,0.0,5.0,13
2016-06-04,46.6,35.6,59.4,19.9,0.0,3.7,9
2016-06-05,49.5,34.7,65.7,19.9,0.0,2.5,6
2016-06-06,47.7,35.6,64.0,19.9,0.0,1.1,2
2016-06-07,47.5,34.9,67.1,19.9,0.0,0.0,0
2016-06-08,46.8,35.6,63.5,19.9,0.1,0.0,0
2016-06-09,52.7,37.4,68.2,20.0,0.0,0.0,0
2016-06-10,57.0,41.4,72.7,20.0,0.0,0.0,0
2016-06-11,57.6,42.6,73.0,20.0,0.0,0.0,0
2016-06-12,49.3,37.9,61.3,20.0,0.0,0.0,0
2016-06-13,43.9,35.2,57.7,20.0,0.2,0.0,0
2016-06-14,46.6,36.1,59.2,20.2,0.0,0.0,0
2016-06-15,52.9,34.9,70.7,20.2,0.0,0.0,0
2016-06-16,57.2,40.1,72.5,20.2,0.1,0.0,0
2016-06-17,53.2,39.6,66.2,20.3,0.0,0.0,0
2016-06-18,57.0,41.2,72.0,20.3,0.0,0.0,0
2016-06-19,61.2,47.1,77.9,20.3,0.0,0.0,0
2016-06-20,55.0,47.5,68.0,20.3,0.3,0.0,0
2016-06-21,63.1,45.0,77.2,20.6,0.0,0.0,0
2016-06-22,55.0,42.4,71.1,20.6,0.3,0.0,0
2016-06-23,53.4,41.2,65.7,20.9,0.0,0.0,0
2016-06-24,56.8,44.8,71.1,20.9,0.0,0.0,0
2016-06-25,53.2,40.5,67.5,20.9,0.0,0.0,0
2016-06-26,57.0,40.1,71.6,20.9,0.0,0.0,0
2016-06-27,56.1,39.0,70.9,20.9,0.0,0.0,0
2016-06-28,55.6,40.1,73.6,20.9,0.1,0.0,0
2016-06-29,55.0,40.1,70.3,21.0,0.0,0.0,0
2016-06-30,48.2,43.7,58.8,21.0,0.6,0.0,0
2016-07-01,48.6,41.9,56.7,21.6,0.0,0.0,0
2016-07-02,46.2,41.2,54.9,21.6,0.3,0.0,0
2016-07-03,51.8,41.9,64.8,21.9,0.0,0.0,0
2016-07-04,52.7,40.5,66.4,21.9,0.9,0.0,0
2016-07-05,52.9,42.3,66.4,22.8,0.0,0.0,0
2016-07-06,59.5,42.8,71.1,22.8,0.0,0.0,0
2016-07-07,57.6,44.4,68.7,22.8,0.0,0.0,0
2016-07-08,55.6,42.3,70.2,22.8,0.0,0.0,0
2016-07-09,60.1,46.2,74.5,22.8,0.0,0.0,0
2016-07-10,63.5,47.8,75.2,22.8,0.0,0.0,0
2016-07-11,56.1,40.8,66.2,22.8,0.0,0.0,0
2016-07-12,55.6,37.8,70.0,22.8,0.0,0.0,0
2016-07-13,57.0,42.1,71.8,22.8,0.0,0.0,0
2016-07-14,54.3,39.9,68.0,22.8,0.0,0.0,0
2016-07-15,55.4,43.2,69.4,22.8,0.0,0.0,0
2016-07-16,61.5,47.8,74.7,22.8,0.1,0.0,0
2016-07-17,56.7,44.8,71.6,22.9,0.0,0.0,0
2016-07-18,55.8,44.8,67.5,22.9,0.0,0.0,0
2016-07-19,55.6,45.9,71.8,22.9,0.3,0.0,0
2016-07-20,53.6,43.9,70.2,23.2,0.0,0.0,0
2016-07-21,56.5,48.2,70.2,23.2,0.0,0.0,0
2016-07-22,59.0,49.5,69.8,23.2,0.0,0.0,0
2016-07-23,60.6,48.0,73.2,23.2,0.0,0.0,0
2016-07-24,57.9,45.0,73.2,23.2,0.0,0.0,0
2016-07-25,59.5,44.4,74.5,23.2,0.0,0.0,0
2016-07-26,57.7,46.6,68.9,23.2,0.0,0.0,0
2016-07-27,58.8,44.4,73.9,23.2,0.0,0.0,0
2016-07-28,58.6,43.0,73.0,23.2,0.1,0.0,0
2016-07-29,55.0,41.9,70.2,23.3,0.0,0.0,0
2016-07-30,59.9,46.6,74.8,23.3,0.0,0.0,0
2016-07-31,54.3,45.9,69.8,23.3,0.1,0.0,0
2016-08-01,56.7,44.4,71.1,23.4,0.0,0.0,0
2016-08-02,55.4,43.9,69.8,23.4,0.0,0.0,0
2016-08-03,59.4,44.4,73.9,23.4,0.0,0.0,0
2016-08-04,49.3,43.2,56.7,23.4,0.0,0.0,0
2016-08-05,45.7,42.3,48.2,23.4,0.2,0.0,0
2016-08-06,51.1,43.2,60.8,23.6,0.0,0.0,0
2016-08-07,51.3,42.4,66.0,23.6,0.2,0.0,0
2016-08-08,54.0,44.6,66.4,23.8,0.0,0.0,0
2016-08-09,54.0,41.7,70.2,23.8,0.2,0.0,0
2016-08-10,52.2,42.4,66.9,24.0,0.0,0.0,0
2016-08-11,53.8,40.3,67.8,24.0,0.0,0.0,0
2016-08-12,47.3,35.6,61.2,24.0,0.0,0.0,0
2016-08-13,49.1,35.1,64.9,24.0,0.0,0.0,0
2016-08-14,53.2,36.9,67.1,24.0,0.0,0.0,0
2016-08-15,52.9,42.1,70.2,24.0,0.0,0.0,0
2016-08-16,51.1,40.3,63.1,24.0,0.0,0.0,0
2016-08-17,50.7,39.2,65.8,24.0,0.0,0.0,0
2016-08-18,47.7,37.9,61.5,24.0,0.2,0.0,0
2016-08-19,44.6,33.8,63.1,24.2,0.1,0.0,0
2016-08-20,44.6,33.3,63.3,24.3,0.0,0.0,0
2016-08-21,51.3,34.3,65.5,24.3,0.0,0.0,0
2016-08-22,51.4,41.9,65.3,24.3,0.0,0.0,0
2016-08-23,48.0,39.6,57.0,24.3,0.1,0.0,0
2016-08-24,40.6,34.5,46.6,24.4,0.4,0.0,0
2016-08-25,38.7,32.9,49.5,24.8,0.4,0.0,0
2016-08-26,42.8,34.0,56.5,25.2,0.0,0.0,0
2016-08-27,46.6,38.1,59.4,25.2,0.0,0.0,0
2016-08-28,45.7,38.8,58.5,25.2,0.0,0.0,0
2016-08-29,44.2,36.5,57.7,25.2,0.2,0.0,0
2016-08-30,43.2,33.4,54.7,25.4,0.0,0.0,0
2016-08-31,47.1,35.2,61.2,25.4,0.0,0.0,0
2016-09-01,50.2,38.5,65.8,25.4,0.2,0.0,0
2016-09-02,49.3,38.7,60.1,25.6,0.0,0.0,0
2016-09-03,49.8,39.4,62.1,25.6,0.0,0.0,0
2016-09-04,48.2,36.7,64.2,25.6,0.0,0.0,0
2016-09-05,49.5,33.4,67.5,25.6,0.0,0.0,0
2016-09-06,51.4,38.5,67.6,25.6,0.0,0.0,0
2016-09-07,51.6,38.3,64.9,25.6,0.0,0.0,0
2016-09-08,53.2,37.8,67.5,25.6,0.0,0.0,0
2016-09-09,44.1,29.8,60.6,25.6,0.0,0.0,0
2016-09-10,49.8,29.3,67.3,25.6,0.1,0.0,0
2016-09-11,54.7,47.1,66.4,25.7,0.0,0.0,0
2016-09-12,47.1,36.1,63.1,25.7,0.2,0.0,0
2016-09-13,41.7,34.3,53.4,25.9,0.1,0.0,0
2016-09-14,42.6,31.6,59.0,26.0,0.0,0.0,0
2016-09-15,41.4,28.8,55.8,26.0,0.0,0.0,0
2016-09-16,37.8,27.5,48.9,26.0,0.0,0.0,0
2016-09-17,45.0,30.6,55.9,26.0,0.0,0.0,0
2016-09-18,50.7,40.1,64.8,26.0,0.1,0.0,0
2016-09-19,53.4,42.8,66.9,26.1,0.0,0.0,0
2016-09-20,52.0,41.9,64.4,26.1,0.0,0.0,0
2016-09-21,48.0,39.9,55.8,26.1,0.0,0.0,0
2016-09-22,49.8,38.8,63.0,26.1,0.0,0.0,0
2016-09-23,45.7,28.8,59.7,26.1,0.0,0.0,0
2016-09-24,34.5,28.0,45.7,26.1,0.0,0.0,0
2016-09-25,35.2,25.2,50.4,26.1,0.0,0.0,0
2016-09-26,40.3,27.7,57.4,26.1,0.0,0.0,0
2016-09-27,45.0,32.2,60.6,26.1,0.0,0.0,0
2016-09-28,43.9,32.5,58.5,26.1,0.0,0.0,0
2016-09-29,50.0,35.1,64.0,26.1,0.0,0.0,0
2016-09-30,41.9,32.0,49.1,26.1,0.0,0.0,0
