Date,Grayback (1058) Air Temperature Average (degF),Grayback (1058) Air Temperature Minimum (degF),Grayback (1058) Air Temperature Maximum (degF),Grayback (1058) Precipitation Accumulation (in) Start of Day Values,Grayback (1058) Precipitation Increment (in),Grayback (1058) Snow Water Equivalent (in) Start of Day Values,Grayback (1058) Snow Depth (in) Start of Day Values
2015-12-01,9.7,-3.6,25.5,5.4,0.0,4.3,20
2015-12-02,18.0,6.8,36.3,5.4,0.2,4.3,18
2015-12-03,22.3,12.2,37.0,5.6,0.0,4.3,18
2015-12-04,28.4,20.5,36.0,5.6,0.1,4.3,17
2015-12-05,16.5,7.7,24.6,5.7,0.0,4.3,16
2015-12-06,28.0,12.7,38.8,5.7,0.1,4.3,17
2015-12-07,30.0,18.3,42.8,5.8,0.0,4.4,16
2015-12-08,29.1,19.9,45.7,5.8,0.0,4.4,16
2015-12-09,33.1,21.6,46.0,5.8,0.1,4.3,15
2015-12-10,29.5,19.9,37.0,5.9,0.1,4.4,16
2015-12-11,21.9,18.3,25.9,6.0,0.6,4.4,14
2015-12-12,19.6,15.4,24.3,6.6,1.0,4.9,27
2015-12-13,18.0,7.5,32.7,7.6,0.0,5.9,35
2015-12-14,13.5,1.9,23.2,7.6,0.2,5.9,30
2015-12-15,1.6,-6.9,8.4,7.8,0.0,6.3,34
2015-12-16,2.5,-8.0,19.4,7.8,0.0,6.3,29
2015-12-17,2.8,-9.4,18.3,7.8,0.0,6.3,28
2015-12-18,22.1,6.3,37.8,7.8,0.3,6.3,27
2015-12-19,27.5,23.0,34.0,8.1,0.0,6.4,26
2015-12-20,14.5,6.4,23.2,8.1,0.2,6.3,24
2015-12-21,15.1,9.3,25.2,8.3,0.2,6.6,29
2015-12-22,16.5,13.3,21.0,8.5,0.0,6.7,25
2015-12-23,9.7,0.7,14.5,8.5,0.1,6.7,23
2015-12-24,8.1,-0.2,14.2,8.6,0.4,6.9,26
2015-12-25,7.2,-6.5,15.1,9.0,0.8,7.0,26
2015-12-26,-0.9,-9.8,9.1,9.8,0.1,8.3,32
2015-12-27,11.3,-1.8,27.0,9.9,0.1,8.3,31
2015-12-28,12.2,3.4,23.2,10.0,0.0,8.3,31
2015-12-29,6.1,-2.0,16.2,10.0,0.0,8.4,31
2015-12-30,3.2,-3.5,11.8,10.0,0.0,8.4,30
2015-12-31,3.9,-4.4,14.7,10.0,0.0,8.4,30
2016-01-01,9.5,-2.7,26.6,10.0,0.0,8.4,29
2016-01-02,17.1,5.2,34.7,10.0,0.0,8.4,29
2016-01-03,21.4,12.7,35.8,10.0,0.2,8.4,28
2016-01-04,21.7,14.4,31.5,10.2,0.0,8.5,28
2016-01-05,16.5,9.0,30.6,10.2,0.0,8.6,25
2016-01-06,16.2,10.4,25.2,10.2,0.1,8.6,29
2016-01-07,11.1,3.7,16.9,10.3,0.0,8.7,28
2016-01-08,7.9,2.3,15.6,10.3,0.2,8.7,30
2016-01-09,5.0,-5.3,21.4,10.5,0.0,9.1,29
2016-01-10,2.5,-6.7,21.2,10.5,0.1,9.1,33
2016-01-11,10.9,-1.7,29.8,10.6,0.0,9.1,33
2016-01-12,18.0,4.6,38.1,10.6,0.0,9.1,32
2016-01-13,25.2,12.9,40.1,10.6,0.1,9.1,31
2016-01-14,13.6,0.7,23.9,10.7,0.0,9.1,31
2016-01-15,8.6,-2.9,17.2,10.7,0.0,9.0,28
2016-01-16,9.0,-6.0,26.2,10.7,0.0,9.0,28
2016-01-17,12.9,3.4,29.5,10.7,0.0,9.0,28
2016-01-18,19.0,7.0,32.7,10.7,0.1,9.0,28
2016-01-19,16.5,7.9,34.5,10.8,0.0,9.0,27
2016-01-20,12.2,-1.1,21.0,10.8,0.1,9.0,28
2016-01-21,12.7,-2.9,31.6,10.9,0.1,9.1,31
2016-01-22,27.7,12.4,44.2,11.0,0.0,9.1,30
2016-01-23,28.2,21.2,38.3,11.0,0.0,9.2,29
2016-01-24,13.8,0.3,21.9,11.0,0.0,9.2,29
2016-01-25,3.6,-2.2,16.0,11.0,0.0,9.2,30
2016-01-26,10.0,-5.1,27.5,11.0,0.0,9.2,30
2016-01-27,24.3,10.4,42.3,11.0,0.0,9.2,29
2016-01-28,25.9,12.9,44.2,11.0,0.1,9.2,29
2016-01-29,29.3,21.7,41.9,11.1,0.1,9.3,29
2016-01-30,25.0,19.9,31.3,11.2,0.2,9.4,28
2016-01-31,20.1,18.3,21.7,11.4,0.9,9.6,31
2016-02-01,8.4,1.0,18.9,12.3,0.6,11.0,42
2016-02-02,0.3,-8.5,8.1,12.9,0.0,11.7,47
2016-02-03,-6.3,-15.9,10.4,12.9,0.0,11.8,45
2016-02-04,5.0,-11.2,26.8,12.9,0.1,11.8,44
2016-02-05,5.0,-7.4,21.0,13.0,0.0,11.9,43
2016-02-06,20.3,5.9,39.2,13.0,0.0,11.9,41
2016-02-07,21.6,11.3,40.5,13.0,0.0,11.9,41
2016-02-08,25.5,12.9,41.2,13.0,0.1,11.9,40
2016-02-09,28.8,18.7,45.7,13.1,0.0,12.0,39
2016-02-10,28.0,16.2,47.7,13.1,0.0,12.0,38
2016-02-11,28.4,14.4,49.5,13.1,0.0,12.0,38
2016-02-12,34.2,23.2,48.9,13.1,0.0,11.9,37
2016-02-13,30.0,18.3,40.1,13.1,0.0,11.9,36
2016-02-14,23.0,12.7,38.3,13.1,0.0,11.9,36
2016-02-15,25.9,13.8,43.5,13.1,0.0,11.8,36
2016-02-16,28.8,16.7,47.8,13.1,0.0,11.7,36
2016-02-17,33.1,21.0,42.4,13.1,0.1,11.7,35
2016-02-18,29.8,24.8,34.0,13.2,0.0,11.7,34
2016-02-19,28.4,22.5,36.5,13.2,0.0,11.6,34
2016-02-20,29.7,19.8,39.6,13.2,0.0,11.6,34
2016-02-21,27.0,16.9,39.2,13.2,0.0,11.5,34
2016-02-22,18.7,12.4,30.0,13.2,0.4,11.6,34
2016-02-23,8.2,-0.8,16.2,13.6,0.0,11.9,38
2016-02-24,16.2,-4.4,34.2,13.6,0.2,12.0,43
2016-02-25,25.2,13.3,40.8,13.8,0.0,12.1,40
2016-02-26,28.8,14.0,45.7,13.8,0.0,12.1,38
2016-02-27,30.6,18.3,41.4,13.8,0.0,12.1,36
2016-02-28,29.5,18.0,45.0,13.8,0.0,12.1,36
2016-02-29,28.4,21.7,42.4,13.8,0.0,12.1,35
2016-03-01,29.3,21.6,43.7,13.8,0.0,12.0,35
2016-03-02,29.7,23.5,41.9,13.8,0.0,11.9,34
2016-03-03,31.6,16.7,48.0,13.8,0.0,11.8,34
2016-03-04,32.2,23.2,42.8,13.8,0.0,11.8,33
2016-03-05,31.3,23.5,39.6,13.8,0.1,11.8,33
2016-03-06,25.9,20.5,31.3,13.9,0.1,12.0,33
2016-03-07,15.4,6.8,20.8,14.0,0.0,12.3,34
2016-03-08,17.8,5.2,34.7,14.0,0.0,12.3,35
2016-03-09,18.7,4.6,32.5,14.0,0.0,12.3,35
2016-03-10,30.7,11.1,47.5,14.0,0.2,12.1,35
2016-03-11,35.8,25.7,48.9,14.2,0.0,12.1,32
2016-03-12,26.6,15.4,39.6,14.2,0.0,12.1,31
2016-03-13,25.2,12.9,37.9,14.2,0.0,12.1,31
2016-03-14,25.0,19.9,32.5,14.2,0.0,12.1,30
2016-03-15,19.2,11.5,32.0,14.2,0.0,12.1,30
2016-03-16,21.4,13.1,32.9,14.2,0.0,12.1,30
2016-03-17,24.8,14.2,34.5,14.2,0.0,12.1,30
2016-03-18,27.9,14.7,41.9,14.2,0.0,12.1,29
2016-03-19,23.0,10.4,41.7,14.2,0.0,12.1,29
2016-03-20,28.2,10.4,43.7,14.2,0.1,12.1,29
2016-03-21,34.3,27.5,42.1,14.3,0.1,12.2,28
2016-03-22,27.1,10.9,33.4,14.4,0.0,12.2,27
2016-03-23,15.3,7.7,30.0,14.4,0.0,12.2,27
2016-03-24,19.8,3.6,34.3,14.4,0.0,12.1,27
2016-03-25,17.6,7.9,28.0,14.4,0.0,12.1,27
2016-03-26,11.5,0.3,26.6,14.4,0.5,12.1,26
2016-03-27,19.4,-2.2,34.3,14.9,0.4,12.2,36
2016-03-28,27.1,20.3,34.7,15.3,0.2,12.5,33
2016-03-29,19.0,8.4,25.5,15.5,0.7,12.8,32
2016-03-30,10.4,2.3,20.3,16.2,0.0,13.8,44
2016-03-31,14.0,0.9,27.7,16.2,0.5,13.8,41
2016-04-01,15.6,2.8,35.6,16.7,0.0,14.1,41
2016-04-02,24.3,7.3,37.9,16.7,0.1,14.1,40
2016-04-03,30.9,15.1,48.0,16.8,0.0,14.2,36
2016-04-04,36.0,25.7,47.8,16.8,0.0,14.2,34
2016-04-05,29.1,10.8,44.2,16.8,0.0,14.2,31
2016-04-06,31.6,12.2,51.3,16.8,0.0,14.2,31
2016-04-07,38.1,21.6,55.0,16.8,0.1,13.8,30
2016-04-08,32.4,26.4,42.3,16.9,0.0,13.3,28
2016-04-09,30.2,23.5,37.4,16.9,0.0,12.9,28
2016-04-10,31.5,24.1,40.6,16.9,0.0,12.3,27
2016-04-11,27.9,20.8,39.4,16.9,0.0,11.3,26
2016-04-12,28.4,22.5,39.6,16.9,0.2,10.9,25
2016-04-13,32.7,20.3,49.5,17.1,0.1,11.0,24
2016-04-14,35.2,29.8,42.8,17.2,0.0,11.0,24
2016-04-15,27.7,18.9,40.1,17.2,0.4,10.5,23
2016-04-16,17.6,9.3,23.5,17.6,1.6,10.6,23
2016-04-17,14.9,5.2,22.6,19.2,0.3,12.1,41
2016-04-18,20.5,13.5,37.0,19.5,0.2,12.6,38
2016-04-19,20.3,7.2,37.8,19.7,0.1,12.9,42
2016-04-20,27.7,12.9,41.7,19.8,0.1,13.0,40
2016-04-21,33.4,17.4,51.6,19.9,0.0,13.1,38
2016-04-22,39.0,28.4,48.9,19.9,0.0,13.0,35
2016-04-23,34.2,25.7,45.3,19.9,0.0,12.8,31
2016-04-24,31.5,23.5,40.3,19.9,0.0,12.7,31
2016-04-25,26.8,14.0,40.8,19.9,0.3,12.4,28
2016-04-26,18.7,13.3,25.7,20.2,0.1,12.7,33
2016-04-27,24.3,11.3,36.7,20.3,0.0,12.5,30
2016-04-28,25.0,17.8,36.3,20.3,0.3,12.5,28
2016-04-29,20.8,12.0,29.5,20.6,0.3,12.7,30
2016-04-30,23.9,11.8,41.9,20.9,0.2,13.2,35
2016-05-01,20.3,13.8,33.4,21.1,0.4,13.2,32
2016-05-02,26.6,15.8,41.9,21.5,0.0,13.7,34
2016-05-03,33.3,18.9,48.0,21.5,0.1,13.9,33
2016-05-04,39.6,25.9,52.2,21.6,0.0,13.6,30
2016-05-05,42.8,33.3,54.1,21.6,0.0,13.5,28
2016-05-06,41.7,32.4,54.3,21.6,0.0,12.5,26
2016-05-07,28.4,18.0,36.7,21.6,0.0,11.6,24
2016-05-08,25.7,17.4,34.7,21.6,0.1,11.9,25
2016-05-09,34.3,24.3,47.3,21.7,0.0,11.6,24
2016-05-10,33.8,28.4,42.3,21.7,0.4,10.2,22
2016-05-11,28.2,18.0,36.3,22.1,0.0,9.5,22
2016-05-12,36.3,18.0,48.4,22.1,0.1,9.5,21
2016-05-13,43.5,26.4,56.1,22.2,0.0,8.8,19
2016-05-14,43.0,30.9,55.2,22.2,0.0,7.3,15
2016-05-15,37.0,30.0,45.3,22.2,0.2,5.8,12
2016-05-16,30.4,23.7,40.8,22.4,0.1,5.1,10
2016-05-17,29.8,23.2,38.8,22.5,0.2,5.1,12
2016-05-18,30.4,25.9,39.9,22.7,0.1,5.2,10
2016-05-19,34.0,26.2,48.0,22.8,0.1,5.3,12
2016-05-20,40.3,32.9,48.4,22.9,0.1,5.4,12
2016-05-21,42.4,34.0,51.1,23.0,0.0,3.8,8
2016-05-22,37.9,32.2,45.3,23.0,0.0,1.9,5
2016-05-23,36.7,27.7,44.1,23.0,0.0,1.0,3
2016-05-24,38.1,32.5,45.5,23.0,0.0,0.5,2
2016-05-25,36.3,29.3,45.0,23.0,0.0,0.1,1
2016-05-26,30.0,23.9,47.3,23.0,0.3,0.0,0
2016-05-27,29.1,21.4,45.3,23.3,0.1,0.2,3
2016-05-28,34.5,21.0,46.8,23.4,0.0,0.2,1
2016-05-29,39.9,32.2,51.6,23.4,0.0,0.0,0
2016-05-30,42.3,31.6,52.7,23.4,0.0,0.0,0
2016-05-31,42.1,30.9,55.4,23.4,0.0,0.0,0
2016-06-01,39.4,30.0,50.4,23.4,0.0,0.0,0
2016-06-02,44.6,30.7,60.8,23.4,0.0,0.0,0
2016-06-03,48.0,36.1,62.2,23.4,0.0,0.0,0
2016-06-04,47.5,38.3,62.2,23.4,0.0,0.0,0
2016-06-05,47.8,39.4,61.0,23.4,0.0,0.0,0
2016-06-06,47.3,38.5,62.1,23.4,0.0,0.0,0
2016-06-07,50.9,41.4,60.1,23.4,0.0,0.0,0
2016-06-08,48.2,38.8,61.2,23.4,0.0,0.0,0
2016-06-09,50.0,37.2,66.4,23.4,0.0,0.0,0
2016-06-10,51.6,40.1,67.1,23.4,0.0,0.0,0
2016-06-11,52.2,45.0,64.2,23.4,0.0,0.0,0
2016-06-12,50.4,39.0,63.5,23.4,0.0,0.0,0
2016-06-13,45.5,33.8,59.4,23.4,0.0,0.0,0
2016-06-14,47.1,38.3,54.9,23.4,0.0,0.0,0
2016-06-15,51.3,40.1,59.7,23.4,0.0,0.0,0
2016-06-16,49.8,37.4,59.4,23.4,0.0,0.0,0
2016-06-17,52.5,34.9,66.0,23.4,0.0,0.0,0
2016-06-18,59.2,43.9,73.0,23.4,0.0,0.0,0
2016-06-19,61.0,49.5,74.3,23.4,0.0,0.0,0
2016-06-20,59.0,47.8,77.4,23.4,0.0,0.0,0
2016-06-21,55.2,45.9,70.2,23.4,0.1,0.0,0
2016-06-22,51.3,43.2,67.3,23.5,0.2,0.0,0
2016-06-23,54.1,41.9,66.6,23.7,0.1,0.0,0
2016-06-24,52.0,42.1,65.7,23.8,0.1,0.0,0
2016-06-25,52.0,43.5,65.5,23.9,0.0,0.0,0
2016-06-26,52.7,40.6,66.4,23.9,0.0,0.0,0
2016-06-27,55.0,42.1,72.0,23.9,0.1,0.0,0
2016-06-28,50.2,42.4,61.5,24.0,0.0,0.0,0
2016-06-29,49.5,41.0,64.2,24.0,0.1,0.0,0
2016-06-30,47.7,40.8,62.2,24.1,0.7,0.0,0
2016-07-01,44.1,40.5,58.6,24.8,0.3,0.0,0
2016-07-02,45.3,38.7,57.2,25.1,0.2,0.0,0
2016-07-03,42.8,35.6,55.2,25.3,0.0,0.0,0
2016-07-04,46.4,36.1,61.5,25.3,0.1,0.0,0
2016-07-05,54.1,43.2,61.9,25.4,0.0,0.0,0
2016-07-06,54.1,44.8,61.5,25.4,0.0,0.0,0
2016-07-07,54.3,46.6,63.9,25.4,0.0,0.0,0
2016-07-08,55.2,42.4,65.1,25.4,0.0,0.0,0
2016-07-09,55.9,42.8,68.0,25.4,0.0,0.0,0
2016-07-10,56.5,51.8,63.9,25.4,0.0,0.0,0
2016-07-11,52.0,42.4,60.4,25.4,0.0,0.0,0
2016-07-12,53.6,44.8,61.9,25.4,0.0,0.0,0
2016-07-13,54.7,39.2,65.8,25.4,0.0,0.0,0
2016-07-14,55.0,40.8,68.7,25.4,0.0,0.0,0
2016-07-15,54.3,43.0,65.8,25.4,0.0,0.0,0
2016-07-16,55.6,46.2,65.3,25.4,0.0,0.0,0
2016-07-17,57.4,48.0,67.5,25.4,0.0,0.0,0
2016-07-18,54.1,43.0,67.3,25.4,0.2,0.0,0
2016-07-19,52.9,44.8,66.9,25.6,0.1,0.0,0
2016-07-20,54.3,45.5,65.1,25.7,0.0,0.0,0
2016-07-21,56.7,44.6,68.5,25.7,0.0,0.0,0
2016-07-22,55.2,43.9,68.9,25.7,0.0,0.0,0
2016-07-23,53.8,43.7,69.4,25.7,0.1,0.0,0
2016-07-24,54.7,46.0,66.2,25.8,0.0,0.0,0
2016-07-25,55.8,46.0,70.0,25.8,0.0,0.0,0
2016-07-26,48.6,42.6,63.3,25.8,0.1,0.0,0
2016-07-27,55.8,41.2,70.5,25.9,0.0,0.0,0
2016-07-28,57.2,45.3,72.3,25.9,0.0,0.0,0
2016-07-29,59.5,47.5,74.1,25.9,0.0,0.0,0
2016-07-30,53.2,44.1,66.2,25.9,0.0,0.0,0
2016-07-31,50.7,43.7,63.7,25.9,0.5,0.0,0
2016-08-01,50.0,42.8,65.7,26.4,0.5,0.0,0
2016-08-02,51.3,42.3,65.1,26.9,0.0,0.0,0
2016-08-03,50.2,45.0,59.4,26.9,0.3,0.0,0
2016-08-04,47.8,43.0,57.6,27.2,0.3,0.0,0
2016-08-05,46.4,43.2,53.2,27.5,0.8,0.0,0
2016-08-06,48.4,41.7,60.6,28.3,0.1,0.0,0
2016-08-07,51.6,41.4,65.1,28.4,0.0,0.0,0
2016-08-08,49.6,41.0,64.0,28.4,0.1,0.0,0
2016-08-09,52.7,40.1,65.3,28.5,0.0,0.0,0
2016-08-10,51.1,43.0,61.7,28.5,0.0,0.0,0
2016-08-11,48.9,39.0,62.8,28.5,0.0,0.0,0
2016-08-12,48.6,37.8,64.0,28.5,0.0,0.0,0
2016-08-13,46.4,38.1,57.9,28.5,0.0,0.0,0
2016-08-14,46.6,36.1,60.8,28.5,0.1,0.0,0
2016-08-15,48.9,38.5,63.3,28.6,0.0,0.0,0
2016-08-16,46.4,39.4,59.9,28.6,0.1,0.0,0
2016-08-17,44.6,38.8,57.7,28.7,0.3,0.0,0
2016-08-18,44.2,34.7,56.8,29.0,0.9,0.0,0
2016-08-19,44.2,35.6,57.2,29.9,0.0,0.0,0
2016-08-20,47.1,37.0,60.1,29.9,0.1,0.0,0
2016-08-21,46.0,39.2,57.2,30.0,0.0,0.0,0
2016-08-22,42.4,35.6,58.8,30.0,0.2,0.0,0
2016-08-23,40.5,33.8,54.3,30.2,0.1,0.0,0
2016-08-24,39.0,33.3,49.5,30.3,0.1,0.0,0
2016-08-25,40.8,33.3,53.1,30.4,0.1,0.0,0
2016-08-26,40.3,35.2,50.0,30.5,0.0,0.0,0
2016-08-27,42.1,31.6,57.2,30.5,0.0,0.0,0
2016-08-28,40.6,32.5,55.0,30.5,0.2,0.0,0
2016-08-29,38.8,33.8,51.4,30.7,0.4,0.0,0
2016-08-30,42.1,34.5,53.8,31.1,0.2,0.0,0
2016-08-31,47.5,36.9,59.4,31.3,0.0,0.0,0
2016-09-01,46.6,41.4,57.4,31.3,0.3,0.0,0
2016-09-02,46.8,38.1,58.5,31.6,0.4,0.0,0
2016-09-03,47.1,40.3,57.4,32.0,0.0,0.0,0
2016-09-04,46.8,39.6,55.6,32.0,0.0,0.0,0
2016-09-05,49.6,43.2,57.9,32.0,0.1,0.0,0
2016-09-06,49.3,41.0,57.0,32.1,0.0,0.0,0
2016-09-07,46.2,39.2,54.1,32.1,0.0,0.0,0
2016-09-08,48.6,34.3,65.3,32.1,0.0,0.0,0
2016-09-09,47.3,34.9,64.0,32.1,0.0,0.0,0
2016-09-10,48.2,38.1,57.0,32.1,0.0,0.0,0
2016-09-11,48.4,38.7,59.4,32.1,0.0,0.0,0
2016-09-12,41.9,35.1,51.3,32.1,0.1,0.0,0
2016-09-13,41.7,34.0,52.9,32.2,0.0,0.0,0
2016-09-14,40.1,35.1,48.2,32.2,0.2,0.0,0
2016-09-15,41.2,33.1,50.4,32.4,0.0,0.0,0
2016-09-16,42.3,31.8,53.2,32.4,0.0,0.0,0
2016-09-17,41.9,31.6,52.5,32.4,0.0,0.0,0
2016-09-18,47.3,31.8,63.1,32.4,0.0,0.0,0
2016-09-19,51.4,37.0,66.0,32.4,0.0,0.0,0
2016-09-20,49.1,40.6,60.1,32.4,0.0,0.0,0
2016-09-21,43.0,37.0,48.9,32.4,0.5,0.0,0
2016-09-22,46.0,41.0,58.5,32.9,0.2,0.0,0
2016-09-23,32.4,23.4,46.0,33.1,0.1,0.0,0
2016-09-24,30.7,22.5,46.2,33.2,0.0,0.0,0
2016-09-25,37.0,22.6,53.4,33.2,0.0,0.0,0
2016-09-26,42.4,29.8,58.5,33.2,0.0,0.0,0
2016-09-27,44.1,33.3,61.0,33.2,0.0,0.0,0
2016-09-28,46.6,35.1,61.0,33.2,0.0,0.0,0
2016-09-29,44.1,37.2,56.5,33.2,0.0,0.0,0
2016-09-30,40.8,31.3,51.3,33.2,0.0,0.0,0
