Date,Saint Elmo (1100) Air Temperature Average (degF),Saint Elmo (1100) Air Temperature Minimum (degF),Saint Elmo (1100) Air Temperature Maximum (degF),Saint Elmo (1100) Precipitation Accumulation (in) Start of Day Values,Saint Elmo (1100) Precipitation Increment (in),Saint Elmo (1100) Snow Water Equivalent (in) Start of Day Values,Saint Elmo (1100) Snow Depth (in) Start of Day Values
2015-11-30,6.8,2.8,10.8,3.4,0.0,2.5,16
2015-12-01,9.9,3.2,19.9,3.4,0.0,2.5,15
2015-12-02,15.4,3.2,28.8,3.4,0.0,2.5,15
2015-12-03,19.9,9.3,30.0,3.4,0.0,2.5,14
2015-12-04,24.4,10.0,38.3,3.4,0.1,2.6,15
2015-12-05,17.4,1.8,25.3,3.5,0.1,2.6,14
2015-12-06,19.9,4.3,38.1,3.6,0.0,2.7,15
2015-12-07,31.6,13.8,39.4,3.6,0.0,2.7,15
2015-12-08,30.7,25.0,38.3,3.6,0.0,2.7,14
2015-12-09,34.7,27.7,44.2,3.6,0.0,2.7,14
2015-12-10,33.8,21.4,40.6,3.6,0.0,2.7,14
2015-12-11,30.6,26.6,35.8,3.6,0.0,2.7,14
2015-12-12,22.3,12.7,26.6,3.6,0.4,2.7,14
2015-12-13,14.7,6.3,24.3,4.0,0.0,3.1,19
2015-12-14,18.7,10.8,27.1,4.0,0.1,3.1,17
2015-12-15,8.8,1.6,14.0,4.1,0.1,3.3,18
2015-12-16,5.0,-2.0,11.7,4.2,0.1,3.3,18
2015-12-17,5.9,-0.2,15.3,4.3,0.0,3.3,19
2015-12-18,21.9,13.8,31.3,4.3,0.0,3.4,19
2015-12-19,24.4,13.3,37.4,4.3,0.0,3.4,18
2015-12-20,19.9,10.6,27.1,4.3,0.3,3.4,18
2015-12-21,17.8,14.9,21.0,4.6,0.1,3.6,19
2015-12-22,21.6,14.2,27.7,4.7,0.4,3.8,19
2015-12-23,10.6,-2.0,16.2,5.1,0.1,4.2,25
2015-12-24,2.1,-13.2,12.2,5.2,0.1,4.2,25
2015-12-25,9.1,-6.3,18.3,5.3,0.3,4.3,25
2015-12-26,-5.1,-13.0,6.8,5.6,0.0,4.7,26
2015-12-27,0.7,-13.0,15.6,5.6,0.0,4.7,26
2015-12-28,7.3,-1.7,19.0,5.6,0.1,4.7,25
2015-12-29,4.1,-5.1,19.0,5.7,0.0,4.7,24
2015-12-30,3.0,-3.3,10.6,5.7,0.0,4.7,23
2015-12-31,0.7,-10.1,13.6,5.7,0.0,4.7,24
2016-01-01,-0.6,-10.7,14.0,5.7,0.0,4.7,25
2016-01-02,9.5,-3.5,26.2,5.7,0.0,4.7,25
2016-01-03,15.6,6.1,28.8,5.7,0.1,4.8,25
2016-01-04,17.8,8.4,30.9,5.8,0.0,4.8,24
2016-01-05,17.8,8.8,29.1,5.8,0.0,4.8,24
2016-01-06,20.1,9.3,30.0,5.8,0.0,4.8,23
2016-01-07,14.0,0.3,23.2,5.8,0.0,4.9,23
2016-01-08,7.7,-1.5,15.8,5.8,0.1,4.9,23
2016-01-09,9.9,,16.2,5.9,0.0,5.0,24
2016-01-10,2.3,-5.3,13.3,5.9,0.0,5.0,23
2016-01-11,10.2,,24.6,5.9,0.0,5.0,23
2016-01-12,17.6,0.3,30.2,5.9,0.1,5.0,23
2016-01-13,20.3,9.0,33.1,6.0,0.0,5.0,23
2016-01-14,13.1,3.6,21.2,6.0,0.0,5.1,23
2016-01-15,13.3,8.1,20.7,6.0,0.0,5.1,25
2016-01-16,12.0,6.3,16.5,6.0,0.1,5.1,24
2016-01-17,18.0,14.9,24.3,6.1,0.1,5.1,25
2016-01-18,24.8,17.8,32.2,6.2,0.0,5.2,26
2016-01-19,17.8,5.2,29.5,6.2,0.0,5.2,23
2016-01-20,16.0,0.7,24.1,6.2,0.2,5.2,23
2016-01-21,10.2,-0.2,21.9,6.4,0.0,5.4,26
2016-01-22,21.9,9.3,37.2,6.4,0.0,5.4,27
2016-01-23,27.1,15.4,39.9,6.4,0.0,5.4,26
2016-01-24,17.8,11.7,25.2,6.4,0.1,5.4,26
2016-01-25,7.2,-5.1,18.3,6.5,0.0,5.5,28
2016-01-26,7.9,-8.9,24.3,6.5,0.0,5.5,26
2016-01-27,23.0,10.9,38.5,6.5,0.0,5.5,27
2016-01-28,23.5,11.5,40.6,6.5,0.0,5.5,27
2016-01-29,27.1,17.4,35.1,6.5,0.1,5.5,26
2016-01-30,29.1,21.6,39.2,6.6,0.4,5.5,26
2016-01-31,19.9,14.0,24.6,7.0,0.6,5.9,29
2016-02-01,12.4,6.6,16.5,7.6,0.4,6.6,38
2016-02-02,2.8,-7.6,10.9,8.0,0.0,7.0,42
2016-02-03,-3.8,-18.2,5.0,8.0,0.0,7.0,40
2016-02-04,7.9,-16.1,18.7,8.0,0.1,7.0,38
2016-02-05,5.9,-4.2,17.4,8.1,0.0,7.1,37
2016-02-06,19.8,0.7,31.3,8.1,0.0,7.1,36
2016-02-07,23.9,15.3,32.5,8.1,0.0,7.2,35
2016-02-08,25.9,19.6,39.2,8.1,0.0,7.2,34
2016-02-09,24.3,11.5,43.2,8.1,0.0,7.2,33
2016-02-10,26.4,11.5,45.3,8.1,0.0,7.2,33
2016-02-11,29.5,13.6,44.2,8.1,0.0,7.2,33
2016-02-12,30.7,21.4,47.8,8.1,0.0,7.2,32
2016-02-13,32.0,,45.3,8.1,0.0,7.2,32
2016-02-14,24.1,17.4,33.4,8.1,0.1,7.2,32
2016-02-15,27.0,17.4,35.6,8.2,0.0,7.2,32
2016-02-16,30.0,23.7,42.6,8.2,0.0,7.2,32
2016-02-17,33.8,23.7,49.8,8.2,0.0,7.2,30
2016-02-18,33.8,24.1,40.8,8.2,0.1,7.2,30
2016-02-19,26.4,11.7,42.4,8.3,0.0,7.2,31
2016-02-20,28.4,21.0,42.3,8.3,0.0,7.2,31
2016-02-21,27.1,15.1,42.3,8.3,0.0,7.2,31
2016-02-22,20.3,11.8,29.3,8.3,0.4,7.2,31
2016-02-23,11.5,-5.1,24.8,8.7,0.1,7.6,34
2016-02-24,10.8,-5.4,30.2,8.8,0.1,7.8,35
2016-02-25,21.7,6.1,41.2,8.9,0.0,7.8,36
2016-02-26,25.9,12.6,46.8,8.9,0.0,7.9,35
2016-02-27,28.4,15.3,43.9,8.9,0.0,7.9,35
2016-02-28,27.1,17.4,45.5,8.9,0.0,7.9,34
2016-02-29,28.4,18.9,40.1,8.9,0.1,7.9,33
2016-03-01,27.3,13.3,39.4,9.0,0.0,8.0,34
2016-03-02,30.0,22.5,39.0,9.0,0.0,8.0,34
2016-03-03,34.3,25.9,47.8,9.0,0.0,8.0,33
2016-03-04,32.2,19.2,48.0,9.0,0.0,8.0,33
2016-03-05,31.6,18.0,48.2,9.0,0.0,8.0,33
2016-03-06,30.9,25.5,38.8,9.0,0.1,8.0,32
2016-03-07,22.1,9.0,34.5,9.1,0.1,8.0,31
2016-03-08,19.2,3.0,37.9,9.2,0.0,8.1,33
2016-03-09,19.8,4.5,35.2,9.2,0.0,8.1,33
2016-03-10,27.7,9.9,49.8,9.2,0.0,8.1,32
2016-03-11,34.0,19.0,53.8,9.2,0.0,8.1,32
2016-03-12,32.4,25.0,46.6,9.2,0.0,8.1,31
2016-03-13,31.8,25.0,43.9,9.2,0.0,8.1,31
2016-03-14,28.2,19.2,37.2,9.2,0.4,8.1,31
2016-03-15,17.4,11.1,26.6,9.6,0.2,8.5,35
2016-03-16,17.6,8.1,26.2,9.8,0.1,8.7,37
2016-03-17,27.0,17.4,37.9,9.9,0.1,8.8,37
2016-03-18,25.2,16.2,36.7,10.0,0.0,8.8,35
2016-03-19,23.0,8.4,38.8,10.0,0.0,8.8,35
2016-03-20,26.2,7.0,47.3,10.0,0.0,8.8,34
2016-03-21,36.3,20.3,50.2,10.0,0.0,8.8,33
2016-03-22,33.1,18.9,41.2,10.0,0.3,8.8,32
2016-03-23,18.9,11.3,26.6,10.3,0.1,9.2,38
2016-03-24,23.4,,36.9,10.4,0.1,9.2,37
2016-03-25,21.6,7.9,30.0,10.5,0.1,9.4,36
2016-03-26,11.1,0.1,20.1,10.6,0.1,9.4,36
2016-03-27,19.0,-4.7,37.9,10.7,0.1,9.6,36
2016-03-28,31.6,16.7,48.2,10.8,0.0,9.7,36
2016-03-29,28.8,11.7,44.2,10.8,0.1,9.7,35
2016-03-30,17.1,9.0,25.9,10.9,0.2,9.7,36
2016-03-31,17.2,2.8,28.2,11.1,0.0,9.9,35
2016-04-01,17.2,-0.2,36.9,11.1,0.0,9.9,36
2016-04-02,27.0,6.4,47.1,11.1,0.0,10.1,36
2016-04-03,34.0,22.3,50.2,11.1,0.0,10.1,35
2016-04-04,34.9,19.6,52.0,11.1,0.0,9.8,35
2016-04-05,29.1,19.2,45.0,11.1,0.1,9.8,33
2016-04-06,34.3,21.7,49.5,11.2,0.0,9.7,33
2016-04-07,37.9,22.5,57.2,11.2,0.0,9.5,31
2016-04-08,36.5,22.3,51.6,11.2,0.0,9.1,30
2016-04-09,36.3,29.8,46.2,11.2,0.1,8.9,28
2016-04-10,36.7,27.9,50.4,11.3,0.0,8.8,28
2016-04-11,34.3,25.9,49.3,11.3,0.0,8.5,27
2016-04-12,31.6,23.0,47.5,11.3,0.1,8.3,25
2016-04-13,34.3,21.6,53.1,11.4,0.0,8.3,24
2016-04-14,37.0,27.0,53.2,11.4,0.0,8.2,24
2016-04-15,31.8,22.5,43.0,11.4,0.9,8.0,23
2016-04-16,20.7,14.5,24.4,12.3,0.9,8.7,27
2016-04-17,21.2,12.6,30.6,13.2,0.1,9.8,36
2016-04-18,22.5,18.0,29.1,13.3,0.6,9.9,35
2016-04-19,25.7,16.3,35.8,13.9,0.1,10.5,36
2016-04-20,30.4,20.5,42.4,14.0,0.1,10.6,36
2016-04-21,33.3,18.3,53.4,14.1,0.0,10.6,34
2016-04-22,39.4,21.7,58.6,14.1,0.0,10.4,30
2016-04-23,37.2,22.3,55.0,14.1,0.1,10.0,28
2016-04-24,33.1,23.0,46.2,14.2,0.0,9.8,27
2016-04-25,34.7,20.3,51.3,14.2,0.1,9.5,26
2016-04-26,26.4,17.2,38.5,14.3,0.0,9.4,24
2016-04-27,30.9,23.5,43.9,14.3,0.1,9.5,25
2016-04-28,27.7,23.9,36.9,14.4,0.2,9.4,23
2016-04-29,24.3,21.9,30.0,14.6,0.5,9.6,23
2016-04-30,26.2,17.8,39.0,15.1,0.1,10.3,31
2016-05-01,21.6,16.2,29.3,15.2,0.1,10.3,25
2016-05-02,30.9,18.3,49.8,15.3,0.0,10.4,26
2016-05-03,34.7,19.4,52.7,15.3,0.0,10.1,26
2016-05-04,40.5,23.4,60.8,15.3,0.0,9.7,25
2016-05-05,42.6,27.7,62.2,15.3,0.0,9.1,20
2016-05-06,42.6,28.8,59.0,15.3,0.0,8.3,19
2016-05-07,36.9,25.2,45.7,15.3,0.0,7.5,16
2016-05-08,30.6,21.0,45.7,15.3,0.3,7.3,15
2016-05-09,36.9,28.2,,15.6,0.2,7.3,17
2016-05-10,33.8,21.6,44.1,15.8,0.3,7.1,12
2016-05-11,30.4,18.0,43.0,16.1,0.0,7.0,12
2016-05-12,36.3,17.2,55.8,16.1,0.0,6.8,15
2016-05-13,42.4,25.3,59.9,16.1,0.0,6.2,11
2016-05-14,44.1,28.2,60.8,16.1,0.0,5.2,8
2016-05-15,38.8,29.3,55.2,16.1,0.1,4.1,6
2016-05-16,35.8,29.5,49.5,16.2,0.1,3.4,5
2016-05-17,31.3,28.4,39.4,16.3,0.0,3.0,5
2016-05-18,34.9,27.1,47.8,16.3,0.1,2.9,4
2016-05-19,37.8,25.2,53.4,16.4,0.0,2.6,3
2016-05-20,42.3,28.8,57.0,16.4,0.0,1.9,3
2016-05-21,48.0,32.7,63.1,16.4,0.0,1.5,2
2016-05-22,44.4,28.2,58.6,16.4,0.0,0.9,2
2016-05-23,38.8,26.2,54.9,16.4,0.0,0.5,1
2016-05-24,41.9,27.9,57.7,16.4,0.0,0.3,1
2016-05-25,38.8,27.0,55.2,16.4,0.0,0.0,0
2016-05-26,35.6,27.7,47.8,16.4,0.0,0.0,0
2016-05-27,35.8,27.9,48.9,16.4,0.0,0.0,0
2016-05-28,39.2,26.4,54.3,16.4,0.0,0.0,0
2016-05-29,40.1,27.7,59.5,16.4,0.1,0.0,0
2016-05-30,40.8,28.4,59.0,16.5,0.0,0.0,0
2016-05-31,42.4,27.7,61.9,16.5,0.0,0.0,0
2016-06-01,43.9,31.3,59.0,16.5,0.0,0.0,0
2016-06-02,46.6,29.7,64.9,16.5,0.0,0.0,0
2016-06-03,48.6,34.0,64.8,16.5,0.0,0.0,0
2016-06-04,51.1,32.9,72.7,16.5,0.0,0.0,0
2016-06-05,51.6,34.3,71.1,16.5,0.0,0.0,0
2016-06-06,46.2,34.3,68.0,16.5,0.0,0.0,0
2016-06-07,50.2,32.9,71.4,16.5,0.0,0.0,0
2016-06-08,48.9,33.4,68.0,16.5,0.1,0.0,0
2016-06-09,50.9,35.8,72.7,16.6,0.0,0.0,0
2016-06-10,54.9,36.9,74.7,16.6,0.0,0.0,0
2016-06-11,52.2,38.8,71.1,16.6,0.0,0.0,0
2016-06-12,49.1,36.7,68.4,16.6,0.0,0.0,0
2016-06-13,46.6,32.4,64.8,16.6,0.0,0.0,0
2016-06-14,45.9,31.5,61.5,16.6,0.0,0.0,0
2016-06-15,52.2,32.0,73.4,16.6,0.0,0.0,0
2016-06-16,51.8,33.4,71.4,16.6,0.0,0.0,0
2016-06-17,54.7,33.1,75.6,16.6,0.0,0.0,0
2016-06-18,56.7,34.2,77.7,16.6,0.0,0.0,0
2016-06-19,60.1,39.0,79.5,16.6,0.1,0.0,0
2016-06-20,62.6,43.5,82.8,16.7,0.0,0.0,0
2016-06-21,58.8,44.1,78.6,16.7,0.0,0.0,0
2016-06-22,55.0,41.7,76.6,16.7,0.0,0.0,0
2016-06-23,51.3,39.6,68.2,16.7,0.2,0.0,0
2016-06-24,49.5,38.8,68.9,16.9,0.1,0.0,0
2016-06-25,55.2,39.6,73.2,17.0,0.0,0.0,0
2016-06-26,55.9,36.7,74.7,17.0,0.0,0.0,0
2016-06-27,57.2,39.9,78.1,17.0,0.0,0.0,0
2016-06-28,53.2,40.5,71.4,17.0,0.0,0.0,0
2016-06-29,51.4,38.7,72.3,17.0,0.1,0.0,0
2016-06-30,51.1,39.6,65.7,17.1,0.1,0.0,0
2016-07-01,49.3,45.3,58.5,17.2,0.2,0.0,0
2016-07-02,49.3,43.9,63.9,17.4,0.0,0.0,0
2016-07-03,46.8,36.5,63.0,17.4,0.1,0.0,0
2016-07-04,47.8,34.7,68.9,17.5,0.2,0.0,0
2016-07-05,52.7,36.5,69.4,17.7,0.0,0.0,0
2016-07-06,55.2,39.2,71.2,17.7,0.0,0.0,0
2016-07-07,55.0,39.2,72.3,17.7,0.0,0.0,0
2016-07-08,55.8,38.8,73.9,17.7,0.0,0.0,0
2016-07-09,57.0,39.0,74.5,17.7,0.0,0.0,0
2016-07-10,59.5,41.4,74.8,17.7,0.0,0.0,0
2016-07-11,54.3,37.9,67.3,17.7,0.0,0.0,0
2016-07-12,53.8,34.7,71.2,17.7,0.0,0.0,0
2016-07-13,55.8,35.8,73.6,17.7,0.0,0.0,0
2016-07-14,55.8,37.8,74.3,17.7,0.0,0.0,0
2016-07-15,54.3,37.0,72.9,17.7,0.0,0.0,0
2016-07-16,56.1,36.5,74.7,17.7,0.0,0.0,0
2016-07-17,56.5,39.4,75.2,17.7,0.0,0.0,0
2016-07-18,54.7,41.7,70.0,17.7,0.1,0.0,0
2016-07-19,51.3,41.7,68.7,17.8,0.7,0.0,0
2016-07-20,53.4,40.1,70.7,18.5,0.0,0.0,0
2016-07-21,55.8,42.4,70.3,18.5,0.0,0.0,0
2016-07-22,53.2,42.1,70.7,18.5,0.0,0.0,0
2016-07-23,55.2,41.2,72.5,18.5,0.0,0.0,0
2016-07-24,56.1,40.3,76.1,18.5,0.0,0.0,0
2016-07-25,55.4,40.6,71.6,18.5,0.0,0.0,0
2016-07-26,53.2,41.2,66.2,18.5,0.0,0.0,0
2016-07-27,57.9,38.8,77.2,18.5,0.0,0.0,0
2016-07-28,61.9,,76.3,18.5,0.0,0.0,0
2016-07-29,58.5,41.2,,18.5,0.1,0.0,0
2016-07-30,55.4,33.8,72.0,18.6,0.0,0.0,0
2016-07-31,52.2,40.6,71.4,18.6,0.4,0.0,0
2016-08-01,54.1,34.2,71.4,19.0,0.0,0.0,0
2016-08-02,55.8,41.7,,19.0,0.1,0.0,0
2016-08-03,55.2,,84.2,19.1,0.0,0.0,0
2016-08-04,49.3,,,19.1,0.6,0.0,0
2016-08-05,48.2,,,19.7,0.2,0.0,0
2016-08-06,49.6,40.8,61.7,19.9,0.0,0.0,0
2016-08-07,54.0,38.7,,19.9,0.0,0.0,0
2016-08-08,51.8,40.8,68.2,19.9,0.1,0.0,0
2016-08-09,51.8,32.2,,20.0,0.0,0.0,0
2016-08-10,50.0,39.9,68.5,20.0,0.0,0.0,0
2016-08-11,51.3,37.9,,20.0,0.0,0.0,0
2016-08-12,50.9,26.4,75.6,20.0,0.0,0.0,0
2016-08-13,49.5,34.2,70.9,20.0,0.0,0.0,0
2016-08-14,51.4,25.9,73.0,20.0,0.0,0.0,0
2016-08-15,52.9,37.0,70.3,20.0,0.1,0.0,0
2016-08-16,49.1,,65.7,20.1,0.0,0.0,0
2016-08-17,45.9,34.9,,20.1,0.1,0.0,0
2016-08-18,44.4,33.8,68.2,20.2,0.1,0.0,0
2016-08-19,47.7,35.2,64.2,20.3,0.1,0.0,0
2016-08-20,50.0,34.5,68.0,20.4,0.0,0.0,0
2016-08-21,51.6,34.5,71.2,20.4,0.0,0.0,0
2016-08-22,45.3,35.2,,20.4,0.0,0.0,0
2016-08-23,42.6,33.1,60.6,20.4,0.7,0.0,0
2016-08-24,41.7,25.5,52.9,21.1,0.2,0.0,0
2016-08-25,42.8,31.5,58.3,21.3,0.1,0.0,0
2016-08-26,43.5,25.3,57.6,21.4,0.0,0.0,0
2016-08-27,43.5,32.2,59.4,21.4,0.1,0.0,0
2016-08-28,46.0,35.1,61.7,21.5,0.0,0.0,0
2016-08-29,42.3,32.7,59.4,21.5,0.2,0.0,0
2016-08-30,43.9,30.4,59.4,21.7,0.0,0.0,0
2016-08-31,47.7,35.2,,21.7,0.1,0.0,0
2016-09-01,48.0,37.8,64.2,21.8,0.0,0.0,0
2016-09-02,48.0,39.4,62.6,21.8,0.1,0.0,0
2016-09-03,47.3,,62.8,21.9,0.2,0.0,0
2016-09-04,50.2,37.8,,22.1,0.0,0.0,0
2016-09-05,51.4,38.1,66.2,22.1,0.0,0.0,0
2016-09-06,47.7,26.6,,22.1,0.0,0.0,0
2016-09-07,49.1,26.4,66.2,22.1,0.0,0.0,0
2016-09-08,47.5,30.9,68.0,22.1,0.0,0.0,0
2016-09-09,47.3,23.9,65.3,22.1,0.1,0.0,0
2016-09-10,45.9,27.5,67.1,22.2,0.0,0.0,0
2016-09-11,47.8,25.3,65.1,22.2,0.0,0.0,0
2016-09-12,46.2,29.1,,22.2,0.0,0.0,0
2016-09-13,43.0,23.0,59.4,22.2,0.0,0.0,0
2016-09-14,42.3,25.0,,22.2,0.1,0.0,0
2016-09-15,39.9,28.0,56.5,22.3,0.1,0.0,0
2016-09-16,40.6,26.8,64.9,22.4,0.0,0.0,0
2016-09-17,40.6,27.7,65.1,22.4,0.0,0.0,0
2016-09-18,45.5,27.9,66.9,22.4,0.0,0.0,0
2016-09-19,49.5,33.1,70.7,22.4,0.0,0.0,0
2016-09-20,48.9,36.5,63.5,22.4,0.1,0.0,0
2016-09-21,44.1,38.1,53.6,22.5,0.1,0.0,0
2016-09-22,48.0,38.1,61.9,22.6,0.0,0.0,0
2016-09-23,38.1,23.7,56.7,22.6,0.0,0.0,0
2016-09-24,32.4,19.2,38.3,22.6,0.0,0.0,0
2016-09-25,37.2,23.7,57.9,22.6,0.0,0.0,0
2016-09-26,42.1,23.5,,22.6,0.0,0.0,0
2016-09-27,45.9,30.0,65.8,22.6,0.0,0.0,0
2016-09-28,44.2,31.5,63.7,22.6,0.0,0.0,0
2016-09-29,45.3,32.0,59.5,22.6,0.1,0.0,0
2016-09-30,43.2,32.5,,22.7,0.0,0.0,0
