Date,Idarado (538) Air Temperature Average (degF),Idarado (538) Air Temperature Minimum (degF),Idarado (538) Air Temperature Maximum (degF),Idarado (538) Precipitation Accumulation (in) Start of Day Values,Idarado (538) Precipitation Increment (in),Idarado (538) Snow Water Equivalent (in) Start of Day Values,Idarado (538) Snow Depth (in) Start of Day Values
2016-04-05,32.7,17.8,48.2,20.0,0.0,14.1,37
2016-04-06,31.5,14.5,52.0,20.0,0.0,14.0,37
2016-04-07,37.9,23.5,57.9,20.0,0.1,14.0,35
2016-04-08,38.8,27.7,53.6,20.1,0.0,13.9,34
2016-04-09,36.7,28.2,50.0,20.1,0.0,13.3,33
2016-04-10,37.8,27.5,50.4,20.1,0.0,12.7,32
2016-04-11,36.7,28.2,51.8,20.1,0.0,12.2,30
2016-04-12,35.8,27.7,48.9,20.1,0.1,11.7,28
2016-04-13,37.8,26.6,54.1,20.2,0.0,11.2,27
2016-04-14,39.4,29.5,51.8,20.2,0.0,10.4,26
2016-04-15,30.6,23.2,40.6,20.2,0.8,9.9,24
2016-04-16,26.2,20.8,35.8,21.0,0.5,10.6,32
2016-04-17,25.0,17.1,37.9,21.5,0.0,11.1,35
2016-04-18,23.5,12.6,31.3,21.5,0.3,11.2,32
2016-04-19,26.6,8.4,41.7,21.8,0.1,11.4,35
2016-04-20,34.0,26.2,43.0,21.9,0.1,11.5,31
2016-04-21,36.7,22.6,56.7,22.0,0.0,11.5,31
2016-04-22,44.2,27.7,60.1,22.0,0.0,11.2,28
2016-04-23,37.0,22.6,48.2,22.0,0.1,10.8,26
2016-04-24,36.7,22.3,54.0,22.1,0.0,10.9,26
2016-04-25,31.8,22.6,44.8,22.1,0.3,10.4,25
2016-04-26,27.3,21.6,37.4,22.4,0.2,10.1,25
2016-04-27,32.4,24.1,43.9,22.6,0.1,10.4,29
2016-04-28,32.7,25.9,44.6,22.7,0.4,10.4,25
2016-04-29,29.1,23.5,39.2,23.1,0.1,10.6,27
2016-04-30,30.6,25.0,45.5,23.2,0.1,10.8,28
2016-05-01,30.7,22.5,42.4,23.3,0.1,10.8,27
2016-05-02,33.1,21.6,47.8,23.4,0.0,10.8,27
2016-05-03,37.4,23.5,55.4,23.4,0.0,10.5,25
2016-05-04,42.6,29.5,61.2,23.4,0.0,9.4,22
2016-05-05,45.7,30.0,63.9,23.4,0.0,8.3,19
2016-05-06,44.4,30.4,57.6,23.4,0.0,7.1,18
2016-05-07,33.1,27.1,42.8,23.4,0.1,6.5,16
2016-05-08,32.4,23.5,43.7,23.5,0.2,6.2,16
2016-05-09,35.8,30.6,49.5,23.7,0.5,5.8,13
2016-05-10,36.0,28.8,47.5,24.2,0.5,6.2,16
2016-05-11,31.8,21.9,46.8,24.7,0.0,6.4,17
2016-05-12,38.3,21.9,59.4,24.7,0.0,6.0,15
2016-05-13,43.5,27.3,63.5,24.7,0.1,5.0,13
2016-05-14,47.3,32.7,65.7,24.8,0.0,3.7,10
2016-05-15,42.4,33.3,54.1,24.8,0.1,2.6,7
2016-05-16,35.6,29.5,45.9,24.9,0.4,1.6,5
2016-05-17,37.2,29.5,46.6,25.3,0.0,1.8,7
2016-05-18,39.4,31.3,49.5,25.3,0.0,1.2,5
2016-05-19,41.2,31.5,55.4,25.3,0.0,0.6,3
2016-05-20,45.9,30.7,57.6,25.3,0.0,0.3,1
2016-05-21,49.1,36.9,61.5,25.3,0.0,0.0,0
2016-05-22,42.8,28.2,55.4,25.3,0.0,0.0,0
2016-05-23,40.8,27.9,55.6,25.3,0.0,0.0,0
2016-05-24,42.1,29.3,55.4,25.3,0.0,0.0,0
2016-05-25,41.4,28.8,55.2,25.3,0.0,0.0,0
2016-05-26,36.5,28.8,46.8,25.3,0.3,0.0,0
2016-05-27,36.1,28.4,47.8,25.6,0.0,0.4,2
2016-05-28,40.5,28.2,55.9,25.6,0.0,0.3,1
2016-05-29,43.7,30.4,59.0,25.6,0.0,0.0,0
2016-05-30,43.9,30.9,60.6,25.6,0.0,0.0,0
2016-05-31,45.5,30.4,63.1,25.6,0.0,0.0,0
2016-06-01,48.0,33.8,64.4,25.6,0.0,0.0,0
2016-06-02,49.6,34.0,66.6,25.6,0.0,0.0,0
2016-06-03,50.2,34.9,68.0,25.6,0.0,0.0,0
2016-06-04,53.8,37.2,72.7,25.6,0.0,0.0,0
2016-06-05,56.5,40.5,73.9,25.6,0.0,0.0,0
2016-06-06,52.2,40.1,72.0,25.6,0.1,0.0,0
2016-06-07,54.3,37.9,70.7,25.7,0.0,0.0,0
2016-06-08,50.0,40.1,68.0,25.7,0.1,0.0,0
2016-06-09,52.2,38.8,71.6,25.8,0.1,0.0,0
2016-06-10,58.5,39.6,75.9,25.9,0.0,0.0,0
2016-06-11,54.9,39.6,69.4,25.9,0.0,0.0,0
2016-06-12,50.7,38.8,66.6,25.9,0.0,0.0,0
2016-06-13,44.8,32.5,58.3,25.9,0.0,0.0,0
2016-06-14,47.8,30.4,66.2,25.9,0.0,0.0,0
2016-06-15,53.8,36.5,71.1,25.9,0.0,0.0,0
2016-06-16,52.9,36.0,70.3,25.9,0.0,0.0,0
2016-06-17,55.0,37.2,74.8,25.9,0.0,0.0,0
2016-06-18,57.6,35.6,80.6,25.9,0.0,0.0,0
2016-06-19,60.1,40.6,80.2,25.9,0.0,0.0,0
2016-06-20,63.1,45.0,83.5,25.9,0.0,0.0,0
2016-06-21,59.4,47.3,79.9,25.9,0.1,0.0,0
2016-06-22,55.0,44.8,74.5,26.0,0.1,0.0,0
2016-06-23,57.6,48.0,72.9,26.1,0.0,0.0,0
2016-06-24,56.1,44.4,69.8,26.1,0.0,0.0,0
2016-06-25,57.4,43.5,74.5,26.1,0.0,0.0,0
2016-06-26,57.6,42.3,76.6,26.1,0.0,0.0,0
2016-06-27,59.0,40.8,77.9,26.1,0.0,0.0,0
2016-06-28,55.9,43.9,71.1,26.1,0.0,0.0,0
2016-06-29,51.3,41.4,68.5,26.1,0.6,0.0,0
2016-06-30,49.5,43.9,65.1,26.7,0.6,0.0,0
2016-07-01,49.1,46.4,54.1,27.3,0.5,0.0,0
2016-07-02,48.4,42.6,55.8,27.8,0.1,0.0,0
2016-07-03,50.0,40.1,63.9,27.9,0.0,0.0,0
2016-07-04,51.1,38.8,68.4,27.9,0.0,0.0,0
2016-07-05,55.4,40.5,72.0,27.9,0.0,0.0,0
2016-07-06,55.2,41.0,72.7,27.9,0.0,0.0,0
2016-07-07,55.8,39.6,73.6,27.9,0.0,0.0,0
2016-07-08,57.6,40.6,75.2,27.9,0.0,0.0,0
2016-07-09,58.8,41.0,76.8,27.9,0.0,0.0,0
2016-07-10,61.9,47.7,74.1,27.9,0.0,0.0,0
2016-07-11,54.7,39.4,70.9,27.9,0.0,0.0,0
2016-07-12,55.0,38.1,73.0,27.9,0.0,0.0,0
2016-07-13,55.6,37.8,74.7,27.9,0.0,0.0,0
2016-07-14,60.1,,76.3,27.9,0.0,0.0,0
2016-07-15,57.9,41.7,75.2,27.9,0.0,0.0,0
2016-07-16,58.6,42.3,76.3,27.9,0.0,0.0,0
2016-07-17,58.3,41.9,76.5,27.9,0.0,0.0,0
2016-07-18,58.6,47.7,72.3,27.9,0.1,0.0,0
2016-07-19,54.0,45.0,67.3,28.0,0.2,0.0,0
2016-07-20,54.3,44.1,68.5,28.2,0.0,0.0,0
2016-07-21,56.5,45.7,70.3,28.2,0.0,0.0,0
2016-07-22,56.5,44.4,68.2,28.2,0.0,0.0,0
2016-07-23,59.0,42.8,77.0,28.2,0.0,0.0,0
2016-07-24,57.6,46.4,74.3,28.2,0.0,0.0,0
2016-07-25,58.6,45.7,73.2,28.2,0.0,0.0,0
2016-07-26,57.6,46.4,72.5,28.2,0.0,0.0,0
2016-07-27,58.6,42.6,77.4,28.2,0.0,0.0,0
2016-07-28,59.7,44.8,77.5,28.2,0.0,0.0,0
2016-07-29,59.9,43.5,77.9,28.2,0.0,0.0,0
2016-07-30,57.6,48.2,73.9,28.2,0.0,0.0,0
2016-07-31,54.3,46.6,68.9,28.2,0.0,0.0,0
2016-08-01,59.2,45.7,74.7,28.2,0.0,0.0,0
2016-08-02,57.9,46.4,71.4,28.2,0.1,0.0,0
2016-08-03,54.7,45.7,72.3,28.3,0.3,0.0,0
2016-08-04,52.0,46.2,59.4,28.6,0.1,0.0,0
2016-08-05,51.4,47.1,57.0,28.7,0.5,0.0,0
2016-08-06,50.9,43.9,61.9,29.2,0.0,0.0,0
2016-08-07,52.2,40.8,70.3,29.2,0.0,0.0,0
2016-08-08,51.1,42.1,66.0,29.2,0.3,0.0,0
2016-08-09,54.0,42.6,69.4,29.5,0.0,0.0,0
2016-08-10,51.4,43.7,64.9,29.5,0.1,0.0,0
2016-08-11,52.7,40.8,67.8,29.6,0.0,0.0,0
2016-08-12,49.8,37.4,67.8,29.6,0.0,0.0,0
2016-08-13,49.5,38.1,67.1,29.6,0.0,0.0,0
2016-08-14,51.4,36.7,70.3,29.6,0.0,0.0,0
2016-08-15,53.8,40.6,72.0,29.6,0.1,0.0,0
2016-08-16,48.2,40.6,62.8,29.7,0.0,0.0,0
2016-08-17,49.8,40.5,69.1,29.7,0.1,0.0,0
2016-08-18,47.8,39.2,60.1,29.8,0.0,0.0,0
2016-08-19,48.9,36.1,64.9,29.8,0.0,0.0,0
2016-08-20,52.5,40.6,69.1,29.8,0.0,0.0,0
2016-08-21,52.5,38.1,70.2,29.8,0.0,0.0,0
2016-08-22,47.7,39.2,59.9,29.8,0.2,0.0,0
2016-08-23,43.2,37.4,54.7,30.0,0.7,0.0,0
2016-08-24,46.4,38.3,59.9,30.7,0.0,0.0,0
2016-08-25,44.6,35.8,59.2,30.7,0.5,0.0,0
2016-08-26,45.9,36.7,57.9,31.2,0.0,0.0,0
2016-08-27,44.1,36.0,55.2,31.2,0.1,0.0,0
2016-08-28,44.4,37.4,60.8,31.3,0.5,0.0,0
2016-08-29,47.1,37.9,62.2,31.8,0.0,0.0,0
2016-08-30,48.6,38.3,66.6,31.8,0.2,0.0,0
2016-08-31,49.3,39.2,66.4,32.0,0.0,0.0,0
2016-09-01,52.2,43.0,66.0,32.0,0.1,0.0,0
2016-09-02,50.9,45.7,64.2,32.1,0.2,0.0,0
2016-09-03,50.0,43.0,61.3,32.3,0.1,0.0,0
2016-09-04,51.6,40.1,62.8,32.4,0.1,0.0,0
2016-09-05,50.4,37.2,66.9,32.5,0.0,0.0,0
2016-09-06,49.1,39.4,61.0,32.5,0.0,0.0,0
2016-09-07,48.9,36.1,67.3,32.5,0.0,0.0,0
2016-09-08,47.7,32.7,68.5,32.5,0.0,0.0,0
2016-09-09,47.5,33.3,67.5,32.5,0.0,0.0,0
2016-09-10,49.1,32.7,69.1,32.5,0.0,0.0,0
2016-09-11,49.8,38.1,64.4,32.5,0.1,0.0,0
2016-09-12,44.2,35.1,61.5,32.6,0.0,0.0,0
2016-09-13,43.7,33.8,57.9,32.6,0.2,0.0,0
2016-09-14,43.9,37.0,53.2,32.8,0.1,0.0,0
2016-09-15,42.6,28.8,60.6,32.9,0.0,0.0,0
2016-09-16,41.7,27.3,61.7,32.9,0.0,0.0,0
2016-09-17,42.3,29.1,61.5,32.9,0.0,0.0,0
2016-09-18,44.8,29.5,67.1,32.9,0.0,0.0,0
2016-09-19,49.3,34.5,73.4,32.9,0.0,0.0,0
2016-09-20,48.0,40.1,62.1,32.9,0.2,0.0,0
2016-09-21,47.7,41.7,55.9,33.1,0.2,0.0,0
2016-09-22,51.8,44.6,60.8,33.3,0.1,0.0,0
2016-09-23,34.9,23.4,50.9,33.4,0.8,0.0,0
2016-09-24,32.5,25.2,42.1,34.2,0.0,0.4,3
2016-09-25,37.0,27.1,55.2,34.2,0.0,0.2,1
2016-09-26,43.0,31.3,62.2,34.2,0.0,0.0,0
2016-09-27,45.5,32.9,65.8,34.2,0.0,0.0,0
2016-09-28,48.9,35.6,67.6,34.2,0.0,0.0,0
2016-09-29,45.7,41.9,52.0,34.2,0.1,0.0,0
2016-09-30,44.1,34.2,58.6,34.3,0.0,0.0,0
