Date,Park Cone (680) Air Temperature Average (degF),Park Cone (680) Air Temperature Minimum (degF),Park Cone (680) Air Temperature Maximum (degF),Park Cone (680) Precipitation Accumulation (in) Start of Day Values,Park Cone (680) Precipitation Increment (in),Park Cone (680) Snow Water Equivalent (in) Start of Day Values,Park Cone (680) Snow Depth (in) Start of Day Values
2016-01-06,23.2,14.5,31.6,6.0,0.0,4.6,21
2016-01-07,19.9,0.3,29.3,6.0,0.0,4.6,21
2016-01-08,8.1,-5.3,25.2,6.0,0.0,4.6,21
2016-01-09,9.7,-8.5,26.4,6.0,0.0,4.6,20
2016-01-10,-3.1,-20.9,21.0,6.0,0.0,4.6,20
2016-01-11,-2.4,-24.3,27.0,6.0,0.0,4.6,21
2016-01-12,2.1,-21.6,28.9,6.0,0.0,4.7,21
2016-01-13,7.5,-10.5,31.5,6.0,0.1,4.7,21
2016-01-14,8.1,-13.5,26.4,6.1,0.0,4.7,21
2016-01-15,13.6,2.3,24.8,6.1,0.1,4.8,21
2016-01-16,17.1,10.9,23.9,6.2,0.1,4.9,21
2016-01-17,20.3,2.5,31.6,6.3,0.0,4.9,22
2016-01-18,17.2,-4.2,35.8,6.3,0.2,5.0,23
2016-01-19,19.4,3.9,33.4,6.5,0.0,5.1,23
2016-01-20,14.7,3.0,28.0,6.5,0.1,5.1,22
2016-01-21,9.1,-8.3,30.0,6.6,0.0,5.2,25
2016-01-22,12.2,-8.5,36.7,6.6,0.1,5.2,24
2016-01-23,17.2,-1.8,39.9,6.7,0.0,5.3,25
2016-01-24,16.7,3.6,30.0,6.7,0.0,5.3,24
2016-01-25,7.5,-9.0,25.0,6.7,0.0,5.3,23
2016-01-26,1.9,-20.0,27.0,6.7,0.0,5.3,22
2016-01-27,10.9,-9.8,34.7,6.7,0.1,5.3,20
2016-01-28,17.1,-4.4,41.7,6.8,0.0,5.4,23
2016-01-29,24.4,3.9,38.5,6.8,0.0,5.4,20
2016-01-30,29.7,19.6,42.8,6.8,0.3,5.4,22
2016-01-31,23.9,20.5,26.1,7.1,0.6,5.7,23
2016-02-01,21.7,12.7,31.6,7.7,0.4,6.4,30
2016-02-02,9.1,-2.7,16.9,8.1,0.0,6.7,36
2016-02-03,-4.5,-20.0,11.7,8.1,0.0,6.7,35
2016-02-04,-2.7,,20.5,8.1,0.0,6.7,34
2016-02-05,10.2,-8.0,23.7,8.1,0.0,6.7,32
2016-02-06,8.4,-16.8,34.9,8.1,0.0,6.7,33
2016-02-07,16.0,-5.1,35.1,8.1,0.1,6.7,32
2016-02-08,22.6,1.0,41.5,8.2,0.0,6.8,29
2016-02-09,19.4,-2.2,43.9,8.2,0.0,6.8,31
2016-02-10,20.5,-2.9,47.5,8.2,0.0,6.8,31
2016-02-11,22.1,-0.6,46.6,8.2,0.0,6.8,31
2016-02-12,26.2,7.2,49.5,8.2,0.0,6.8,30
2016-02-13,26.2,7.3,47.5,8.2,0.0,6.8,30
2016-02-14,22.1,3.4,37.8,8.2,0.0,6.8,30
2016-02-15,29.8,18.3,39.4,8.2,0.0,6.8,29
2016-02-16,28.8,13.6,44.4,8.2,0.0,6.8,29
2016-02-17,27.0,5.7,51.6,8.2,0.0,6.8,29
2016-02-18,33.4,14.7,44.8,8.2,0.2,6.8,29
2016-02-19,28.0,10.6,44.8,8.4,0.0,7.0,27
2016-02-20,26.2,8.6,45.1,8.4,0.0,7.0,30
2016-02-21,24.4,5.0,43.3,8.4,0.0,7.0,30
2016-02-22,21.9,5.9,34.3,8.4,0.0,7.0,30
2016-02-23,20.3,-1.5,30.7,8.4,0.0,7.0,30
2016-02-24,11.8,-13.7,35.2,8.4,0.0,7.0,30
2016-02-25,19.0,-6.0,42.4,8.4,0.0,7.0,30
2016-02-26,24.8,3.0,46.8,8.4,0.0,7.0,30
2016-02-27,27.9,5.7,46.4,8.4,0.0,7.0,29
2016-02-28,29.1,13.3,45.1,8.4,0.0,7.0,29
2016-02-29,26.4,6.4,41.7,8.4,0.1,7.0,28
2016-03-01,33.6,18.5,43.7,8.5,0.0,7.0,28
2016-03-02,33.4,21.0,43.2,8.5,0.0,7.0,29
2016-03-03,30.4,11.3,48.9,8.5,0.0,7.0,29
2016-03-04,29.7,11.8,48.9,8.5,0.0,7.0,29
2016-03-05,32.9,14.7,49.3,8.5,0.0,7.0,29
2016-03-06,33.1,22.3,41.4,8.5,0.0,7.1,28
2016-03-07,28.6,16.9,35.1,8.5,0.1,7.1,27
2016-03-08,23.9,6.6,39.7,8.6,0.0,7.1,26
2016-03-09,21.7,3.7,39.2,8.6,0.0,7.1,29
2016-03-10,27.7,5.2,50.4,8.6,0.0,7.1,29
2016-03-11,33.1,14.7,53.2,8.6,0.0,7.1,29
2016-03-12,33.8,22.5,48.2,8.6,0.0,7.2,28
2016-03-13,35.1,26.1,45.9,8.6,0.0,7.2,28
2016-03-14,32.5,25.3,41.5,8.6,0.1,7.2,28
2016-03-15,24.3,18.1,31.5,8.7,0.4,7.3,28
2016-03-16,24.4,16.3,31.8,9.1,0.0,7.6,30
2016-03-17,31.1,17.2,41.9,9.1,0.0,7.6,32
2016-03-18,29.7,12.0,39.9,9.1,0.0,7.6,32
2016-03-19,22.5,2.7,42.6,9.1,0.0,7.6,32
2016-03-20,24.6,-1.7,48.4,9.1,0.1,7.6,31
2016-03-21,34.7,10.9,52.9,9.2,0.0,7.6,31
2016-03-22,38.8,25.7,45.9,9.2,0.1,7.7,30
2016-03-23,26.2,21.6,34.3,9.3,0.0,7.8,31
2016-03-24,29.1,17.8,41.0,9.3,0.1,7.8,32
2016-03-25,26.2,12.0,35.8,9.4,0.2,7.9,31
2016-03-26,16.2,-0.6,30.7,9.6,0.0,8.1,35
2016-03-27,18.1,-11.6,42.1,9.6,0.1,8.1,35
2016-03-28,31.6,10.8,49.5,9.7,0.0,8.3,34
2016-03-29,33.3,15.8,46.8,9.7,0.1,8.3,33
2016-03-30,20.1,8.1,32.4,9.8,0.0,8.3,33
2016-03-31,20.1,4.1,36.9,9.8,0.0,8.4,33
2016-04-01,21.4,-1.7,38.3,9.8,0.0,8.4,34
2016-04-02,28.0,5.2,48.6,9.8,0.1,8.4,33
2016-04-03,33.3,14.0,52.3,9.9,0.0,8.4,33
2016-04-04,36.3,18.7,54.3,9.9,0.0,8.4,31
2016-04-05,29.8,17.1,46.8,9.9,0.0,8.6,31
2016-04-06,34.2,16.0,52.0,9.9,0.0,8.6,31
2016-04-07,38.3,18.5,58.5,9.9,0.0,8.6,31
2016-04-08,40.6,23.7,57.6,9.9,0.0,8.4,29
2016-04-09,39.2,34.5,51.1,9.9,0.1,8.2,28
2016-04-10,39.7,31.1,50.4,10.0,0.0,8.3,26
2016-04-11,37.0,27.3,48.9,10.0,0.0,8.0,24
2016-04-12,36.1,23.9,50.4,10.0,0.0,7.9,25
2016-04-13,39.2,26.2,53.4,10.0,0.0,7.7,23
2016-04-14,38.5,28.6,55.2,10.0,0.0,7.3,21
2016-04-15,34.5,29.7,45.5,10.0,0.5,6.9,19
2016-04-16,28.6,21.6,32.9,10.5,0.2,7.2,21
2016-04-17,27.1,18.5,37.0,10.7,0.1,7.3,22
2016-04-18,29.7,23.2,41.0,10.8,0.5,7.4,23
2016-04-19,31.8,24.6,40.3,11.3,0.1,7.8,21
2016-04-20,34.7,24.4,48.6,11.4,0.1,7.9,21
2016-04-21,38.1,20.5,57.0,11.5,0.0,8.0,24
2016-04-22,41.7,22.3,60.4,11.5,0.0,7.7,21
2016-04-23,38.8,28.8,57.2,11.5,0.1,7.3,18
2016-04-24,37.8,29.7,48.4,11.6,0.0,6.9,18
2016-04-25,37.4,24.1,53.1,11.6,0.2,6.6,17
2016-04-26,30.7,19.0,39.7,11.8,0.1,6.2,13
2016-04-27,35.6,26.8,45.9,11.9,0.0,6.2,13
2016-04-28,36.5,30.7,50.5,11.9,0.1,5.9,14
2016-04-29,31.8,29.1,38.5,12.0,0.3,5.9,15
2016-04-30,33.6,26.8,43.2,12.3,0.0,6.1,15
2016-05-01,30.7,22.3,40.1,12.3,0.0,6.0,14
2016-05-02,37.2,25.0,49.1,12.3,0.0,6.0,14
2016-05-03,39.9,22.8,56.5,12.3,0.0,5.6,13
2016-05-04,43.2,23.0,61.7,12.3,0.0,4.6,10
2016-05-05,46.0,26.8,64.8,12.3,0.0,3.4,8
2016-05-06,44.2,30.0,61.3,12.3,0.0,2.3,6
2016-05-07,37.6,29.8,48.2,12.3,0.0,1.8,3
2016-05-08,35.4,26.8,46.4,12.3,0.2,1.4,3
2016-05-09,39.6,31.3,51.8,12.5,0.2,1.3,2
2016-05-10,37.4,28.9,45.5,12.7,0.4,1.0,2
2016-05-11,35.2,24.8,46.9,13.1,0.0,0.8,2
2016-05-12,40.1,21.6,58.6,13.1,0.0,0.4,1
2016-05-13,44.6,24.4,62.8,13.1,0.0,0.1,1
2016-05-14,47.3,27.3,64.8,13.1,0.0,0.0,0
2016-05-15,40.8,32.9,52.5,13.1,0.1,0.0,0
2016-05-16,38.7,32.0,53.6,13.2,0.3,0.0,0
2016-05-17,36.9,29.8,47.1,13.5,0.2,0.0,0
2016-05-18,40.6,32.2,52.7,13.7,0.0,0.0,0
2016-05-19,43.7,32.9,56.5,13.7,0.0,0.0,0
2016-05-20,46.2,31.8,61.3,13.7,0.0,0.0,0
2016-05-21,50.9,30.7,66.4,13.7,0.0,0.0,0
2016-05-22,46.6,31.1,60.4,13.7,0.0,0.0,0
2016-05-23,42.3,28.4,56.8,13.7,0.0,0.0,0
2016-05-24,45.1,25.9,61.0,13.7,0.0,0.0,0
2016-05-25,43.2,29.8,58.3,13.7,0.0,0.0,0
2016-05-26,38.7,26.8,52.9,13.7,0.0,0.0,0
2016-05-27,40.1,30.2,53.8,13.7,0.0,0.0,0
2016-05-28,43.0,27.7,57.7,13.7,0.0,0.0,0
2016-05-29,43.2,29.7,61.7,13.7,0.0,0.0,0
2016-05-30,43.9,29.3,61.9,13.7,0.0,0.0,0
2016-05-31,46.4,29.7,62.8,13.7,0.0,0.0,0
2016-06-01,48.9,31.5,66.6,13.7,0.1,0.0,0
2016-06-02,50.7,31.1,68.2,13.8,0.0,0.0,0
2016-06-03,51.6,33.1,66.7,13.8,0.0,0.0,0
2016-06-04,54.7,34.7,73.2,13.8,0.0,0.0,0
2016-06-05,55.9,36.5,73.0,13.8,0.0,0.0,0
2016-06-06,52.3,38.8,70.5,13.8,0.0,0.0,0
2016-06-07,53.4,36.1,72.1,13.8,0.0,0.0,0
2016-06-08,52.7,33.8,70.9,13.8,0.0,0.0,0
2016-06-09,54.9,36.7,74.7,13.8,0.1,0.0,0
2016-06-10,57.7,37.4,76.5,13.9,0.0,0.0,0
2016-06-11,52.5,39.6,72.7,13.9,0.0,0.0,0
2016-06-12,50.4,39.4,68.2,13.9,0.0,0.0,0
2016-06-13,47.1,37.4,66.7,13.9,0.0,0.0,0
2016-06-14,,,62.6,13.9,0.0,0.0,0
2016-06-15,,31.5,72.7,13.9,0.0,0.0,0
2016-06-16,52.9,31.6,71.2,13.9,0.0,0.0,0
2016-06-17,55.2,32.7,75.0,13.9,0.0,0.0,0
2016-06-18,57.2,33.4,77.4,13.9,0.0,0.0,0
2016-06-19,59.4,36.5,78.1,13.9,0.0,0.0,0
2016-06-20,61.3,42.1,82.6,13.9,0.0,0.0,0
2016-06-21,59.9,44.8,79.2,13.9,0.0,0.0,0
2016-06-22,55.4,41.4,75.4,13.9,0.0,0.0,0
2016-06-23,52.5,42.1,72.0,13.9,0.1,0.0,0
2016-06-24,53.6,40.5,72.0,14.0,0.0,0.0,0
2016-06-25,57.7,41.5,74.1,14.0,0.0,0.0,0
2016-06-26,57.4,39.2,76.1,14.0,0.0,0.0,0
2016-06-27,58.1,36.3,76.5,14.0,0.0,0.0,0
2016-06-28,57.2,41.0,75.6,14.0,0.0,0.0,0
2016-06-29,55.0,40.8,72.1,14.0,0.0,0.0,0
2016-06-30,52.7,43.5,67.5,14.0,0.0,0.0,0
2016-07-01,51.6,48.7,59.0,14.0,0.2,0.0,0
2016-07-02,52.5,48.0,62.1,14.2,0.1,0.0,0
2016-07-03,50.5,40.5,66.0,14.3,0.4,0.0,0
2016-07-04,52.2,38.5,66.2,14.7,0.0,0.0,0
2016-07-05,56.1,39.4,71.6,14.7,0.0,0.0,0
2016-07-06,56.5,39.0,73.2,14.7,0.0,0.0,0
2016-07-07,55.0,35.2,71.8,14.7,0.0,0.0,0
2016-07-08,56.7,36.9,74.1,14.7,0.0,0.0,0
2016-07-09,57.2,37.6,74.5,14.7,0.0,0.0,0
2016-07-10,59.5,39.0,74.8,14.7,0.0,0.0,0
2016-07-11,55.9,38.8,68.5,14.7,0.0,0.0,0
2016-07-12,54.5,32.9,72.3,14.7,0.0,0.0,0
2016-07-13,55.8,34.2,73.6,14.7,0.0,0.0,0
2016-07-14,55.8,34.5,74.3,14.7,0.0,0.0,0
2016-07-15,55.8,35.6,73.6,14.7,0.0,0.0,0
2016-07-16,57.4,35.8,75.9,14.7,0.0,0.0,0
2016-07-17,58.6,39.2,76.3,14.7,0.0,0.0,0
2016-07-18,56.8,41.7,72.7,14.7,0.0,0.0,0
2016-07-19,55.4,45.9,72.1,14.7,0.0,0.0,0
2016-07-20,56.8,43.9,73.8,14.7,0.0,0.0,0
2016-07-21,56.8,44.2,74.7,14.7,0.0,0.0,0
2016-07-22,54.5,45.7,74.5,14.7,0.0,0.0,0
2016-07-23,57.7,43.2,76.5,14.7,0.0,0.0,0
2016-07-24,59.5,43.3,78.1,14.7,0.0,0.0,0
2016-07-25,56.1,40.8,75.9,14.7,0.0,0.0,0
2016-07-26,55.8,42.1,70.5,14.7,0.0,0.0,0
2016-07-27,58.6,37.4,77.2,14.7,0.0,0.0,0
2016-07-28,57.7,37.9,79.7,14.7,0.0,0.0,0
2016-07-29,59.2,38.5,76.8,14.7,0.0,0.0,0
2016-07-30,58.1,39.7,77.0,14.7,0.0,0.0,0
2016-07-31,55.0,42.6,72.0,14.7,0.0,0.0,0
2016-08-01,57.7,47.7,73.4,14.7,0.0,0.0,0
2016-08-02,58.3,43.5,75.4,14.7,0.0,0.0,0
2016-08-03,59.2,45.9,74.8,14.7,0.0,0.0,0
2016-08-04,52.7,49.1,59.2,14.7,0.3,0.0,0
2016-08-05,52.5,49.1,61.2,15.0,0.0,0.0,0
2016-08-06,54.9,46.0,68.5,15.0,0.1,0.0,0
2016-08-07,56.7,44.4,72.9,15.1,0.0,0.0,0
2016-08-08,54.3,43.3,68.7,15.1,0.0,0.0,0
2016-08-09,52.2,39.7,72.7,15.1,0.1,0.0,0
2016-08-10,53.2,39.7,71.2,15.2,0.0,0.0,0
2016-08-11,54.9,42.4,68.2,15.2,0.0,0.0,0
2016-08-12,53.1,36.5,70.2,15.2,0.0,0.0,0
2016-08-13,49.5,32.5,67.3,15.2,0.0,0.0,0
2016-08-14,52.5,33.4,70.9,15.2,0.0,0.0,0
2016-08-15,51.6,33.3,73.2,15.2,0.0,0.0,0
2016-08-16,49.3,36.0,68.7,15.2,0.0,0.0,0
2016-08-17,50.2,37.8,68.7,15.2,0.0,0.0,0
2016-08-18,49.1,36.9,65.8,15.2,0.0,0.0,0
2016-08-19,51.4,39.4,69.1,15.2,0.0,0.0,0
2016-08-20,53.4,38.3,70.9,15.2,0.0,0.0,0
2016-08-21,54.0,34.7,72.1,15.2,0.0,0.0,0
2016-08-22,48.6,38.5,70.7,15.2,0.0,0.0,0
2016-08-23,46.6,41.5,64.6,15.2,0.3,0.0,0
2016-08-24,47.1,36.7,61.2,15.5,0.1,0.0,0
2016-08-25,45.0,34.2,61.0,15.6,0.2,0.0,0
2016-08-26,45.3,37.0,55.0,15.8,0.1,0.0,0
2016-08-27,46.8,33.6,61.9,15.9,0.2,0.0,0
2016-08-28,47.5,38.3,64.8,16.1,0.0,0.0,0
2016-08-29,45.9,40.5,60.1,16.1,0.0,0.0,0
2016-08-30,46.2,37.8,63.3,16.1,0.0,0.0,0
2016-08-31,51.3,38.1,69.8,16.1,0.1,0.0,0
2016-09-01,51.1,40.1,68.5,16.2,0.0,0.0,0
2016-09-02,50.7,42.1,64.8,16.2,0.1,0.0,0
2016-09-03,49.5,40.6,65.8,16.3,0.1,0.0,0
2016-09-04,50.9,38.5,65.7,16.4,0.0,0.0,0
2016-09-05,49.6,31.1,68.7,16.4,0.2,0.0,0
2016-09-06,49.6,33.4,66.0,16.6,0.0,0.0,0
2016-09-07,50.4,35.8,68.0,16.6,0.0,0.0,0
2016-09-08,50.0,30.6,69.3,16.6,0.0,0.0,0
2016-09-09,48.2,30.7,66.6,16.6,0.0,0.0,0
2016-09-10,48.0,29.3,68.5,16.6,0.0,0.0,0
2016-09-11,48.4,30.0,66.9,16.6,0.0,0.0,0
2016-09-12,48.7,38.1,63.7,16.6,0.0,0.0,0
2016-09-13,46.6,36.0,61.0,16.6,0.0,0.0,0
2016-09-14,48.0,38.7,62.2,16.6,0.0,0.0,0
2016-09-15,44.1,30.6,59.7,16.6,0.0,0.0,0
2016-09-16,43.5,26.4,60.8,16.6,0.1,0.0,0
2016-09-17,44.2,29.1,61.0,16.7,0.0,0.0,0
2016-09-18,46.6,27.3,67.8,16.7,0.0,0.0,0
2016-09-19,50.0,30.0,71.4,16.7,0.1,0.0,0
2016-09-20,49.1,34.5,64.8,16.8,0.0,0.0,0
2016-09-21,47.1,41.4,57.6,16.8,0.0,0.0,0
2016-09-22,52.0,41.5,66.9,16.8,0.0,0.0,0
2016-09-23,41.2,28.6,56.7,16.8,0.0,0.0,0
2016-09-24,36.5,28.9,42.3,16.8,0.0,0.0,0
2016-09-25,41.5,28.9,59.7,16.8,0.0,0.0,0
2016-09-26,44.6,27.0,66.2,16.8,0.1,0.0,0
2016-09-27,48.0,29.3,67.6,16.9,0.1,0.0,0
2016-09-28,48.2,30.7,67.5,17.0,0.0,0.0,0
2016-09-29,48.0,32.4,61.3,17.0,0.0,0.0,0
2016-09-30,46.9,38.8,56.5,17.0,0.0,0.0,0
