Date,Schofield Pass (737) Air Temperature Average (degF),Schofield Pass (737) Air Temperature Minimum (degF),Schofield Pass (737) Air Temperature Maximum (degF),Schofield Pass (737) Precipitation Accumulation (in) Start of Day Values,Schofield Pass (737) Precipitation Increment (in),Schofield Pass (737) Snow Water Equivalent (in) Start of Day Values,Schofield Pass (737) Snow Depth (in) Start of Day Values
2015-11-27,21.6,12.7,26.8,5.4,0.4,5.2,22
2015-11-28,16.3,11.1,27.0,5.8,0.0,5.6,24
2015-11-29,14.2,8.1,20.7,5.8,0.0,5.6,24
2015-11-30,5.0,2.5,11.1,5.8,0.0,5.7,25
2015-12-01,6.8,-2.9,17.2,5.8,0.0,5.9,25
2015-12-02,13.6,0.7,30.9,5.8,0.0,5.9,25
2015-12-03,19.6,11.1,36.3,5.8,0.1,5.9,25
2015-12-04,27.3,19.0,39.9,5.9,0.3,6.0,24
2015-12-05,15.1,0.9,25.3,6.2,0.0,6.1,24
2015-12-06,19.0,2.3,37.2,6.2,0.1,6.5,30
2015-12-07,27.3,14.0,38.8,6.3,0.3,6.6,29
2015-12-08,27.5,19.0,36.7,6.6,0.0,6.6,27
2015-12-09,30.2,18.0,43.5,6.6,0.1,6.6,27
2015-12-10,30.4,19.2,37.2,6.7,0.0,6.6,26
2015-12-11,26.8,22.6,30.7,6.7,0.0,6.6,25
2015-12-12,19.0,12.0,24.8,6.7,0.0,6.6,27
2015-12-13,14.5,1.2,34.3,6.7,0.1,6.9,29
2015-12-14,17.4,8.8,23.4,6.8,0.3,6.9,27
2015-12-15,6.8,-0.2,14.0,7.1,0.0,7.4,37
2015-12-16,3.2,-3.3,14.7,7.1,0.2,7.6,35
2015-12-17,1.6,-7.1,9.1,7.3,0.0,7.7,34
2015-12-18,15.8,6.1,34.3,7.3,0.2,7.7,33
2015-12-19,23.2,14.4,33.1,7.5,0.3,7.8,31
2015-12-20,19.0,15.4,26.6,7.8,0.6,7.9,31
2015-12-21,16.5,13.6,26.2,8.4,0.9,8.8,43
2015-12-22,19.6,14.5,23.4,9.3,0.7,9.5,56
2015-12-23,9.1,-2.0,15.6,10.0,0.4,10.7,61
2015-12-24,1.4,-12.1,10.2,10.4,0.4,11.1,60
2015-12-25,9.7,3.0,16.2,10.8,0.9,11.5,59
2015-12-26,-2.2,-11.2,14.5,11.7,0.0,12.6,65
2015-12-27,7.7,-1.1,27.3,11.7,0.0,12.6,61
2015-12-28,9.7,0.9,22.1,11.7,0.0,12.6,58
2015-12-29,8.6,2.7,18.0,11.7,0.1,12.6,53
2015-12-30,3.0,-5.1,9.1,11.8,0.2,12.7,54
2015-12-31,0.0,-8.9,19.6,12.0,0.0,12.9,54
2016-01-01,3.7,-6.2,19.9,12.0,0.1,12.9,54
2016-01-02,12.0,-0.2,28.8,12.1,0.3,12.9,53
2016-01-03,18.3,9.9,33.4,12.4,0.1,12.9,51
2016-01-04,20.5,12.9,34.0,12.5,0.1,12.9,50
2016-01-05,19.6,12.4,28.0,12.6,0.1,12.9,49
2016-01-06,20.5,17.4,25.3,12.7,0.0,13.0,49
2016-01-07,14.7,1.6,24.4,12.7,0.0,13.1,50
2016-01-08,10.2,1.8,23.4,12.7,0.0,13.3,51
2016-01-09,8.8,-2.6,18.3,12.7,0.0,13.3,51
2016-01-10,1.2,-7.1,16.7,12.7,0.0,13.4,52
2016-01-11,5.5,-5.8,23.2,12.7,0.0,13.4,51
2016-01-12,11.8,1.4,32.4,12.7,0.0,13.4,51
2016-01-13,18.9,9.7,35.1,12.7,0.2,13.4,50
2016-01-14,13.5,9.7,17.6,12.9,0.1,13.5,49
2016-01-15,12.0,7.9,18.3,13.0,0.1,13.6,50
2016-01-16,10.2,5.9,17.8,13.1,0.4,13.8,52
2016-01-17,14.2,3.9,24.8,13.5,0.1,14.2,59
2016-01-18,18.7,7.5,30.7,13.6,0.3,14.5,63
2016-01-19,18.0,9.7,34.5,13.9,0.1,14.7,60
2016-01-20,14.4,5.9,19.9,14.0,0.1,14.8,58
2016-01-21,8.1,-2.2,24.3,14.1,0.1,15.1,64
2016-01-22,19.9,7.5,40.5,14.2,0.2,15.2,62
2016-01-23,25.2,14.4,42.1,14.4,0.0,15.2,59
2016-01-24,17.1,7.3,24.6,14.4,0.2,15.2,58
2016-01-25,6.8,-5.4,21.4,14.6,0.0,15.6,61
2016-01-26,4.3,-7.2,22.6,14.6,0.0,15.6,59
2016-01-27,18.0,4.6,35.8,14.6,0.1,15.6,59
2016-01-28,21.2,10.8,41.4,14.7,0.2,15.6,58
2016-01-29,24.6,19.0,33.4,14.9,0.2,15.7,56
2016-01-30,26.2,15.8,34.0,15.1,0.8,15.9,58
2016-01-31,16.5,12.9,21.2,15.9,1.3,16.8,68
2016-02-01,14.9,4.5,25.2,17.2,0.8,18.5,85
2016-02-02,3.2,-4.4,12.7,18.0,0.0,19.3,86
2016-02-03,-5.1,-16.6,5.0,18.0,0.1,19.3,81
2016-02-04,2.1,-14.3,15.8,18.1,0.1,19.4,79
2016-02-05,6.1,-1.1,19.0,18.2,0.0,19.6,77
2016-02-06,13.6,0.3,29.7,18.2,0.1,19.6,76
2016-02-07,15.6,7.5,30.6,18.3,0.0,19.7,73
2016-02-08,18.7,6.6,35.1,18.3,0.0,19.7,72
2016-02-09,20.7,9.5,41.9,18.3,0.0,19.7,71
2016-02-10,24.6,14.0,46.2,18.3,0.0,19.7,70
2016-02-11,26.8,15.6,43.7,18.3,0.0,19.7,68
2016-02-12,29.7,19.6,49.1,18.3,0.1,19.7,67
2016-02-13,29.3,15.1,44.8,18.4,0.0,19.9,65
2016-02-14,20.5,11.5,29.8,18.4,0.1,19.9,65
2016-02-15,24.4,18.3,37.0,18.5,0.1,20.1,68
2016-02-16,24.1,14.2,40.1,18.6,0.0,20.2,65
2016-02-17,32.0,17.6,50.2,18.6,0.1,20.3,66
2016-02-18,30.4,18.3,39.0,18.7,0.4,20.4,64
2016-02-19,25.7,7.2,38.8,19.1,0.0,20.8,65
2016-02-20,28.0,16.7,41.2,19.1,0.0,20.8,66
2016-02-21,24.1,12.9,39.9,19.1,0.0,20.8,66
2016-02-22,18.9,11.3,29.3,19.1,0.0,20.9,64
2016-02-23,11.8,-1.3,26.6,19.1,0.0,21.0,64
2016-02-24,12.6,-2.6,32.7,19.1,0.0,21.0,63
2016-02-25,21.0,7.9,39.4,19.1,0.1,21.0,65
2016-02-26,25.3,14.5,45.5,19.2,0.0,21.0,64
2016-02-27,28.2,16.2,40.6,19.2,0.0,21.1,63
2016-02-28,24.8,12.6,42.4,19.2,0.0,21.1,62
2016-02-29,25.9,15.1,36.3,19.2,0.1,21.1,62
2016-03-01,27.3,13.1,37.9,19.3,0.1,21.1,62
2016-03-02,29.5,19.9,38.7,19.4,0.0,21.1,61
2016-03-03,28.2,12.6,45.3,19.4,0.0,21.1,61
2016-03-04,32.0,22.6,44.6,19.4,0.0,21.1,61
2016-03-05,32.7,21.0,47.3,19.4,0.0,21.1,60
2016-03-06,28.8,25.5,31.8,19.4,0.4,21.1,58
2016-03-07,19.8,5.7,29.8,19.8,0.4,21.5,65
2016-03-08,14.9,1.2,32.9,20.2,0.1,21.9,68
2016-03-09,16.0,5.9,29.8,20.3,0.0,22.0,67
2016-03-10,25.9,8.1,48.6,20.3,0.1,21.6,66
2016-03-11,34.0,21.0,49.3,20.4,0.1,21.7,65
2016-03-12,31.3,24.8,43.2,20.5,0.0,21.8,62
2016-03-13,28.8,18.3,41.7,20.5,0.1,21.5,62
2016-03-14,25.0,15.4,30.2,20.6,0.4,21.8,61
2016-03-15,14.7,9.3,21.0,21.0,0.2,22.7,70
2016-03-16,16.5,8.4,23.4,21.2,0.5,23.4,74
2016-03-17,25.0,17.6,34.9,21.7,0.0,23.7,72
2016-03-18,20.8,9.3,32.9,21.7,0.0,23.7,71
2016-03-19,18.3,5.5,37.4,21.7,0.0,23.7,69
2016-03-20,25.3,8.2,43.0,21.7,0.0,23.7,68
2016-03-21,37.2,27.1,47.3,21.7,0.2,23.6,67
2016-03-22,30.7,17.1,40.6,21.9,0.0,23.6,65
2016-03-23,17.1,11.5,25.7,21.9,0.1,23.6,65
2016-03-24,20.5,8.4,34.7,22.0,0.2,23.9,71
2016-03-25,18.3,4.3,25.2,22.2,0.3,24.1,67
2016-03-26,10.6,-0.2,27.0,22.5,0.1,25.0,82
2016-03-27,16.5,-2.6,36.5,22.6,0.4,25.0,77
2016-03-28,29.8,16.5,43.5,23.0,0.1,25.2,75
2016-03-29,24.4,11.8,39.0,23.1,0.0,25.2,72
2016-03-30,15.4,5.2,26.8,23.1,0.1,25.2,74
2016-03-31,15.6,3.4,31.5,23.2,0.0,25.3,73
2016-04-01,15.3,0.7,33.3,23.2,0.0,25.3,74
2016-04-02,24.1,7.2,41.9,23.2,0.1,25.3,73
2016-04-03,30.4,16.7,45.7,23.3,0.1,25.3,70
2016-04-04,34.2,20.5,50.4,23.4,0.1,25.1,69
2016-04-05,26.4,11.3,40.5,23.5,0.0,25.1,67
2016-04-06,27.5,9.9,46.0,23.5,0.0,25.3,70
2016-04-07,35.6,20.3,52.9,23.5,0.1,25.3,67
2016-04-08,39.2,25.9,54.1,23.6,0.1,25.3,66
2016-04-09,33.1,29.8,43.7,23.7,0.3,25.3,63
2016-04-10,34.0,24.4,47.7,24.0,0.0,25.6,64
2016-04-11,31.5,22.6,49.8,24.0,0.0,25.6,64
2016-04-12,32.4,23.5,46.6,24.0,0.1,25.5,64
2016-04-13,36.1,23.5,50.2,24.1,0.1,25.4,63
2016-04-14,36.1,29.5,47.8,24.2,0.1,25.1,61
2016-04-15,29.5,22.5,38.8,24.3,0.4,24.9,60
2016-04-16,23.4,17.1,31.8,24.7,0.1,25.4,67
2016-04-17,22.6,16.0,41.4,24.8,0.1,25.4,67
2016-04-18,23.5,17.2,34.0,24.9,0.2,25.4,66
2016-04-19,24.4,14.5,34.7,25.1,0.2,25.6,67
2016-04-20,29.3,21.0,42.6,25.3,0.2,25.7,67
2016-04-21,33.3,18.0,51.4,25.5,0.1,25.9,66
2016-04-22,41.9,27.9,57.4,25.6,0.1,25.7,63
2016-04-23,33.8,20.7,50.2,25.7,0.2,25.3,62
2016-04-24,30.7,23.5,43.7,25.9,0.2,25.6,64
2016-04-25,30.9,19.6,48.4,26.1,0.3,25.7,63
2016-04-26,24.6,19.2,36.5,26.4,0.4,25.9,67
2016-04-27,27.1,21.0,41.0,26.8,0.2,26.2,68
2016-04-28,30.0,25.2,43.0,27.0,0.4,26.2,64
2016-04-29,26.8,23.0,31.8,27.4,0.4,26.6,66
2016-04-30,26.2,18.7,36.1,27.8,0.1,27.1,70
2016-05-01,25.3,16.2,38.3,27.9,0.1,27.2,69
2016-05-02,30.4,19.6,45.7,28.0,0.0,27.4,70
2016-05-03,34.2,18.0,54.7,28.0,0.1,27.6,68
2016-05-04,40.1,26.2,55.6,28.1,0.0,27.3,65
2016-05-05,45.3,30.4,60.6,28.1,0.1,26.9,63
2016-05-06,42.8,34.3,54.9,28.2,0.1,26.2,61
2016-05-07,33.1,26.6,41.9,28.3,0.0,25.7,60
2016-05-08,29.8,24.8,41.2,28.3,0.5,25.6,59
2016-05-09,33.1,27.1,42.3,28.8,0.5,26.1,64
2016-05-10,30.9,21.6,43.5,29.3,0.7,26.4,64
2016-05-11,28.4,19.0,41.0,30.0,0.0,27.3,67
2016-05-12,34.0,16.9,51.4,30.0,0.1,27.3,66
2016-05-13,41.9,27.1,57.4,30.1,0.1,27.1,63
2016-05-14,45.5,30.6,60.8,30.2,0.1,26.6,61
2016-05-15,36.9,30.7,47.7,30.3,0.4,25.5,59
2016-05-16,33.4,26.6,51.3,30.7,0.6,25.6,58
2016-05-17,34.0,28.2,49.5,31.3,0.2,25.8,59
2016-05-18,36.5,26.8,53.2,31.5,0.0,25.8,60
2016-05-19,38.5,27.0,51.3,31.5,0.0,25.5,57
2016-05-20,43.5,33.4,58.5,31.5,0.1,24.6,55
2016-05-21,46.0,34.9,59.5,31.6,0.0,23.6,53
2016-05-22,39.2,27.1,48.9,31.6,0.0,22.3,49
2016-05-23,37.0,25.7,49.8,31.6,0.0,21.6,47
2016-05-24,40.3,27.3,53.2,31.6,0.0,20.4,44
2016-05-25,38.1,27.5,50.2,31.6,0.0,19.2,41
2016-05-26,34.9,27.1,48.9,31.6,0.0,18.2,38
2016-05-27,32.4,23.7,45.5,31.6,0.2,18.0,37
2016-05-28,35.8,22.5,52.5,31.8,0.2,18.1,40
2016-05-29,40.5,29.5,56.7,32.0,0.0,17.6,35
2016-05-30,40.8,30.6,57.4,32.0,0.0,17.1,32
2016-05-31,40.5,29.1,56.8,32.0,0.1,15.8,32
2016-06-01,43.5,32.0,58.6,32.1,0.0,14.6,28
2016-06-02,44.6,31.5,60.6,32.1,0.0,13.0,27
2016-06-03,46.2,36.5,60.8,32.1,0.0,11.7,24
2016-06-04,48.0,34.5,65.1,32.1,0.0,10.3,21
2016-06-05,49.3,37.2,65.5,32.1,0.0,8.7,18
2016-06-06,48.2,37.9,65.7,32.1,0.0,7.3,15
2016-06-07,50.4,38.8,65.7,32.1,0.0,6.0,13
2016-06-08,48.0,37.8,62.2,32.1,0.0,4.3,8
2016-06-09,49.6,37.4,66.4,32.1,0.0,2.6,4
2016-06-10,53.4,40.6,68.5,32.1,0.0,1.0,2
2016-06-11,48.0,38.1,65.5,32.1,0.0,0.0,0
2016-06-12,45.9,37.4,60.6,32.1,0.0,0.0,0
2016-06-13,41.9,31.5,55.0,32.1,0.0,0.0,0
2016-06-14,42.4,30.0,56.8,32.1,0.0,0.0,0
2016-06-15,50.7,34.2,65.7,32.1,0.0,0.0,0
2016-06-16,49.5,36.0,62.6,32.1,0.0,0.0,0
2016-06-17,51.8,36.5,68.7,32.1,0.0,0.0,0
2016-06-18,54.1,37.2,73.0,32.1,0.0,0.0,0
2016-06-19,56.8,41.9,72.7,32.1,0.0,0.0,0
2016-06-20,60.4,45.0,76.5,32.1,0.0,0.0,0
2016-06-21,58.5,45.0,75.7,32.1,0.0,0.0,0
2016-06-22,53.6,42.8,73.8,32.1,0.0,0.0,0
2016-06-23,53.1,44.4,67.6,32.1,0.1,0.0,0
2016-06-24,52.9,42.6,66.2,32.2,0.0,0.0,0
2016-06-25,54.3,41.7,69.4,32.2,0.0,0.0,0
2016-06-26,54.7,41.7,70.3,32.2,0.0,0.0,0
2016-06-27,56.5,41.2,72.0,32.2,0.0,0.0,0
2016-06-28,49.1,,68.7,32.2,0.0,0.0,0
2016-06-29,52.7,42.3,70.0,32.2,0.0,0.0,0
2016-06-30,50.2,40.6,63.9,32.2,0.0,0.0,0
2016-07-01,46.6,43.9,49.6,32.2,0.3,0.0,0
2016-07-02,46.6,42.4,58.3,32.5,0.1,0.0,0
2016-07-03,47.3,38.8,61.0,32.6,0.1,0.0,0
2016-07-04,51.3,37.0,67.1,32.7,0.0,0.0,0
2016-07-05,54.0,41.9,67.1,32.7,0.0,0.0,0
2016-07-06,54.1,42.1,66.9,32.7,0.0,0.0,0
2016-07-07,54.3,43.0,67.8,32.7,0.0,0.0,0
2016-07-08,55.0,40.1,68.9,32.7,0.0,0.0,0
2016-07-09,56.1,44.1,70.7,32.7,0.0,0.0,0
2016-07-10,57.9,42.8,69.1,32.7,0.0,0.0,0
2016-07-11,51.6,38.8,63.1,32.7,0.0,0.0,0
2016-07-12,52.7,39.0,68.2,32.7,0.0,0.0,0
2016-07-13,55.0,41.9,69.8,32.7,0.0,0.0,0
2016-07-14,53.4,39.0,69.8,32.7,0.0,0.0,0
2016-07-15,55.9,40.3,73.0,32.7,0.0,0.0,0
2016-07-16,57.6,44.4,72.3,32.7,0.0,0.0,0
2016-07-17,57.0,44.1,72.9,32.7,0.0,0.0,0
2016-07-18,54.0,45.0,68.7,32.7,0.0,0.0,0
2016-07-19,51.8,43.0,66.2,32.7,0.0,0.0,0
2016-07-20,53.4,41.7,69.1,32.7,0.0,0.0,0
2016-07-21,53.8,44.6,67.6,32.7,0.0,0.0,0
2016-07-22,53.2,43.7,69.1,32.7,0.0,0.0,0
2016-07-23,55.8,42.1,71.6,32.7,0.0,0.0,0
2016-07-24,56.7,43.7,73.4,32.7,0.0,0.0,0
2016-07-25,54.3,44.2,71.1,32.7,0.0,0.0,0
2016-07-26,53.8,43.7,68.5,32.7,0.0,0.0,0
2016-07-27,56.8,41.0,73.6,32.7,0.0,0.0,0
2016-07-28,58.6,43.5,74.8,32.7,0.0,0.0,0
2016-07-29,57.0,43.0,73.4,32.7,0.0,0.0,0
2016-07-30,55.6,45.3,69.6,32.7,0.0,0.0,0
2016-07-31,53.6,44.1,69.8,32.7,0.0,0.0,0
2016-08-01,54.9,40.6,71.6,32.7,0.0,0.0,0
2016-08-02,56.5,43.9,71.4,32.7,0.0,0.0,0
2016-08-03,54.9,44.4,70.3,32.7,0.0,0.0,0
2016-08-04,49.3,46.0,55.0,32.7,0.0,0.0,0
2016-08-05,48.6,46.2,52.9,32.7,0.1,0.0,0
2016-08-06,49.3,42.3,58.8,32.8,0.3,0.0,0
2016-08-07,52.2,40.1,68.4,33.1,0.4,0.0,0
2016-08-08,50.4,42.8,64.2,33.5,0.0,0.0,0
2016-08-09,50.4,41.7,66.2,33.5,0.0,0.0,0
2016-08-10,50.4,41.9,64.2,33.5,0.0,0.0,0
2016-08-11,49.1,38.5,63.9,33.5,0.0,0.0,0
2016-08-12,47.8,35.6,63.5,33.5,0.0,0.0,0
2016-08-13,47.5,36.5,64.2,33.5,0.0,0.0,0
2016-08-14,51.3,37.8,68.2,33.5,0.2,0.0,0
2016-08-15,51.3,39.2,67.3,33.7,0.0,0.0,0
2016-08-16,50.0,40.5,64.9,33.7,0.0,0.0,0
2016-08-17,47.1,38.1,65.5,33.7,0.0,0.0,0
2016-08-18,46.8,38.3,57.9,33.7,0.0,0.0,0
2016-08-19,46.6,36.0,62.6,33.7,0.0,0.0,0
2016-08-20,48.0,36.3,65.5,33.7,0.0,0.0,0
2016-08-21,51.8,37.8,68.9,33.7,0.0,0.0,0
2016-08-22,46.8,36.7,63.0,33.7,0.0,0.0,0
2016-08-23,44.2,36.3,58.8,33.7,0.0,0.0,0
2016-08-24,44.1,37.8,58.5,33.7,0.0,0.0,0
2016-08-25,40.8,32.7,58.8,33.7,0.2,0.0,0
2016-08-26,41.9,34.3,55.4,33.9,0.2,0.0,0
2016-08-27,42.8,32.9,56.8,34.1,0.1,0.0,0
2016-08-28,43.0,35.6,58.5,34.2,0.0,0.0,0
2016-08-29,40.8,34.3,57.6,34.2,1.0,0.0,0
2016-08-30,43.0,33.8,61.3,35.2,0.4,0.0,0
2016-08-31,49.5,37.9,64.9,35.6,0.4,0.0,0
2016-09-01,50.2,40.6,64.9,36.0,0.1,0.0,0
2016-09-02,47.1,38.5,59.4,36.1,0.1,0.0,0
2016-09-03,45.7,38.7,56.8,36.2,0.1,0.0,0
2016-09-04,46.4,36.5,58.6,36.3,0.0,0.0,0
2016-09-05,49.3,38.1,62.6,36.3,0.1,0.0,0
2016-09-06,51.3,38.7,61.9,36.4,0.0,0.0,0
2016-09-07,47.5,35.8,61.2,36.4,0.0,0.0,0
2016-09-08,47.3,33.4,63.3,36.4,0.0,0.0,0
2016-09-09,44.8,34.0,61.2,36.4,0.0,0.0,0
2016-09-10,46.2,31.6,63.3,36.4,0.0,0.0,0
2016-09-11,47.8,35.8,63.5,36.4,0.0,0.0,0
2016-09-12,43.5,34.9,60.6,36.4,0.0,0.0,0
2016-09-13,41.4,36.5,53.6,36.4,0.0,0.0,0
2016-09-14,42.3,35.8,55.6,36.4,0.0,0.0,0
2016-09-15,38.8,29.7,52.2,36.4,0.1,0.0,0
2016-09-16,39.2,27.9,55.0,36.5,0.1,0.0,0
2016-09-17,40.3,28.8,55.9,36.6,0.0,0.0,0
2016-09-18,44.2,30.0,62.8,36.6,0.1,0.0,0
2016-09-19,49.3,35.1,67.3,36.7,0.2,0.0,0
2016-09-20,47.8,38.7,59.7,36.9,0.1,0.0,0
2016-09-21,42.8,38.5,50.9,37.0,0.0,0.0,0
2016-09-22,48.9,42.1,61.5,37.0,0.0,0.0,0
2016-09-23,32.5,24.1,47.1,37.0,0.0,0.0,0
2016-09-24,29.5,24.1,36.5,37.0,0.3,0.2,2
2016-09-25,33.4,20.7,48.6,37.3,0.1,0.5,3
2016-09-26,41.4,28.0,59.0,37.4,0.4,0.0,0
2016-09-27,45.7,33.1,63.0,37.8,0.1,0.0,0
2016-09-28,48.9,36.3,63.3,37.9,0.2,0.0,0
2016-09-29,45.0,37.4,54.1,38.1,0.0,0.0,0
2016-09-30,41.9,34.2,53.6,38.1,0.0,0.0,0
