Date,Porphyry Creek (701) Air Temperature Average (degF),Porphyry Creek (701) Air Temperature Minimum (degF),Porphyry Creek (701) Air Temperature Maximum (degF),Porphyry Creek (701) Precipitation Accumulation (in) Start of Day Values,Porphyry Creek (701) Precipitation Increment (in),Porphyry Creek (701) Snow Water Equivalent (in) Start of Day Values,Porphyry Creek (701) Snow Depth (in) Start of Day Values
2016-01-11,1.0,-9.4,,8.0,0.0,9.1,38
2016-01-12,6.6,-4.2,23.9,8.0,0.0,9.1,37
2016-01-13,13.3,1.2,27.9,8.0,0.0,9.1,37
2016-01-14,9.7,3.9,,8.0,0.0,9.2,36
2016-01-15,10.4,6.1,14.0,8.0,0.1,9.2,34
2016-01-16,8.8,2.8,12.9,8.1,0.0,9.3,37
2016-01-17,14.5,11.3,17.1,8.1,0.3,9.5,41
2016-01-18,16.7,6.6,25.7,8.4,0.0,9.6,41
2016-01-19,15.1,5.2,23.0,8.4,0.0,9.7,41
2016-01-20,13.6,3.7,17.2,8.4,0.2,9.8,41
2016-01-21,5.7,1.6,13.8,8.6,0.0,9.9,42
2016-01-22,15.6,2.3,32.7,8.6,0.1,10.0,40
2016-01-23,19.2,10.4,33.1,8.7,0.0,10.0,40
2016-01-24,14.0,7.5,23.2,8.7,0.1,10.1,40
2016-01-25,7.9,-1.7,14.5,8.8,0.0,10.2,42
2016-01-26,4.6,-2.0,,8.8,0.0,10.2,42
2016-01-27,13.3,-1.5,32.0,8.8,0.1,10.2,40
2016-01-28,16.7,6.6,31.6,8.9,0.0,10.3,40
2016-01-29,19.8,,26.8,8.9,0.0,10.3,40
2016-01-30,25.5,20.8,33.1,8.9,0.2,10.4,40
2016-01-31,18.9,13.8,23.2,9.1,0.6,10.8,43
2016-02-01,15.3,6.6,23.2,9.7,0.4,11.6,51
2016-02-02,1.9,-2.9,9.3,10.1,0.1,12.0,55
2016-02-03,-3.8,-13.2,2.1,10.2,0.0,12.1,55
2016-02-04,1.0,-13.0,14.5,10.2,0.1,12.1,55
2016-02-05,1.6,-10.3,,10.3,0.1,12.2,53
2016-02-06,8.4,-3.8,28.8,10.4,0.1,12.2,51
2016-02-07,15.3,,27.9,10.5,0.1,12.3,50
2016-02-08,15.8,2.8,34.5,10.6,0.0,12.4,49
2016-02-09,17.1,5.7,33.8,10.6,0.0,12.4,49
2016-02-10,20.1,8.1,36.5,10.6,0.0,12.4,48
2016-02-11,20.5,8.4,36.3,10.6,0.0,12.4,48
2016-02-12,24.4,11.8,41.2,10.6,0.0,12.4,47
2016-02-13,27.1,19.2,37.2,10.6,0.0,12.4,46
2016-02-14,19.9,11.3,27.7,10.6,0.0,12.4,46
2016-02-15,22.5,17.4,28.8,10.6,0.0,12.4,46
2016-02-16,26.6,18.3,34.3,10.6,0.0,12.4,45
2016-02-17,27.1,12.4,45.0,10.6,0.0,12.4,45
2016-02-18,31.6,20.5,41.2,10.6,0.0,12.4,44
2016-02-19,25.2,9.9,36.3,10.6,0.1,12.4,44
2016-02-20,23.7,13.5,36.3,10.7,0.0,12.4,43
2016-02-21,23.0,11.5,37.2,10.7,0.0,12.4,43
2016-02-22,17.1,7.2,28.4,10.7,0.4,12.5,43
2016-02-23,10.6,-3.1,21.0,11.1,0.5,13.2,56
2016-02-24,8.4,-4.5,23.5,11.6,0.1,13.8,61
2016-02-25,15.1,0.3,32.4,11.7,0.0,13.8,58
2016-02-26,20.8,7.9,36.5,11.7,0.1,13.9,56
2016-02-27,24.1,10.4,37.9,11.8,0.0,13.9,54
2016-02-28,23.9,13.6,37.4,11.8,0.0,13.9,53
2016-02-29,24.6,15.6,34.0,11.8,0.0,13.9,51
2016-03-01,26.2,17.1,32.7,11.8,0.0,13.9,50
2016-03-02,27.5,21.6,35.2,11.8,0.0,13.9,50
2016-03-03,27.5,14.2,40.1,11.8,0.0,13.9,49
2016-03-04,29.3,16.7,41.0,11.8,0.0,13.9,49
2016-03-05,30.7,17.6,45.0,11.8,0.0,13.9,48
2016-03-06,27.0,22.3,29.8,11.8,0.1,13.9,47
2016-03-07,19.4,12.2,25.9,11.9,0.0,13.9,47
2016-03-08,18.0,5.5,33.1,11.9,0.0,14.0,48
2016-03-09,17.6,5.0,30.4,11.9,0.0,14.0,47
2016-03-10,23.5,6.4,41.9,11.9,0.0,14.0,47
2016-03-11,31.6,17.6,48.9,11.9,0.0,14.0,46
2016-03-12,30.0,21.6,43.2,11.9,0.0,14.0,45
2016-03-13,27.1,18.0,36.7,11.9,0.0,14.0,45
2016-03-14,25.5,18.7,34.5,11.9,0.1,14.1,44
2016-03-15,14.7,9.1,19.0,12.0,0.0,14.1,44
2016-03-16,16.0,9.5,23.2,12.0,0.2,14.3,48
2016-03-17,22.1,5.0,33.8,12.2,0.0,14.6,49
2016-03-18,22.3,11.7,32.4,12.2,0.0,14.6,48
2016-03-19,22.5,,34.2,12.2,0.0,14.6,47
2016-03-20,23.9,4.1,38.3,12.2,0.1,14.6,47
2016-03-21,32.9,19.2,46.4,12.3,0.0,14.6,46
2016-03-22,31.8,16.2,41.0,12.3,0.1,14.7,44
2016-03-23,16.2,8.4,23.9,12.4,0.0,15.0,44
2016-03-24,18.7,12.2,27.5,12.4,0.1,15.0,49
2016-03-25,19.6,11.3,26.6,12.5,0.0,15.1,47
2016-03-26,12.7,2.8,19.9,12.5,0.1,15.1,47
2016-03-27,16.2,-0.8,30.9,12.6,0.2,15.1,48
2016-03-28,28.4,11.3,44.4,12.8,0.1,15.2,47
2016-03-29,26.8,10.2,42.8,12.9,0.0,15.2,45
2016-03-30,14.9,9.5,20.7,12.9,0.0,15.2,46
2016-03-31,15.4,3.6,22.1,12.9,0.0,15.2,44
2016-04-01,13.8,-0.2,32.5,12.9,0.1,15.3,50
2016-04-02,23.9,5.0,40.5,13.0,0.2,15.3,48
2016-04-03,29.7,17.4,44.1,13.2,0.0,15.4,45
2016-04-04,32.2,18.9,46.0,13.2,0.0,15.1,44
2016-04-05,27.7,18.0,40.3,13.2,0.0,14.6,42
2016-04-06,29.3,15.1,45.5,13.2,0.0,14.5,42
2016-04-07,33.8,17.8,50.9,13.2,0.0,14.1,39
2016-04-08,37.2,26.2,50.7,13.2,0.0,13.6,37
2016-04-09,33.4,29.3,41.4,13.2,0.0,13.4,34
2016-04-10,34.0,27.7,45.5,13.2,0.0,13.3,34
2016-04-11,31.8,24.3,42.8,13.2,0.0,13.0,32
2016-04-12,29.8,22.1,43.5,13.2,0.0,13.0,31
2016-04-13,35.1,21.2,48.4,13.2,0.0,13.0,29
2016-04-14,35.6,24.8,48.0,13.2,0.0,12.7,29
2016-04-15,32.4,22.1,39.6,13.2,0.4,12.5,29
2016-04-16,19.4,15.6,23.2,13.6,1.2,12.9,36
2016-04-17,21.0,14.7,31.6,14.8,0.3,14.3,46
2016-04-18,21.6,16.2,30.4,15.1,0.4,14.4,42
2016-04-19,23.0,19.4,30.0,15.5,0.4,15.1,50
2016-04-20,26.4,17.4,36.3,15.9,0.2,15.4,48
2016-04-21,30.0,14.4,48.0,16.1,0.2,15.6,46
2016-04-22,38.1,23.0,53.2,16.3,0.0,15.4,42
2016-04-23,36.0,22.5,52.0,16.3,0.0,15.3,39
2016-04-24,30.9,21.4,43.0,16.3,0.1,15.3,38
2016-04-25,32.5,17.8,51.1,16.4,0.0,15.2,36
2016-04-26,22.3,14.5,,16.4,0.0,15.1,36
2016-04-27,27.5,20.8,38.1,16.4,0.2,15.1,37
2016-04-28,29.7,21.9,45.0,16.6,0.0,15.1,35
2016-04-29,23.5,21.4,29.5,16.6,1.0,15.1,35
2016-04-30,24.3,16.9,34.9,17.6,0.3,16.2,50
2016-05-01,20.1,15.1,26.8,17.9,0.2,16.4,46
2016-05-02,28.2,19.4,,18.1,0.2,16.8,46
2016-05-03,32.2,16.0,50.4,18.3,0.1,16.8,43
2016-05-04,38.1,22.1,57.0,18.4,0.0,16.4,39
2016-05-05,40.5,27.3,,18.4,0.0,16.0,36
2016-05-06,42.4,30.4,59.2,18.4,0.0,15.5,35
2016-05-07,33.8,23.0,42.6,18.4,0.0,14.9,33
2016-05-08,27.7,17.4,,18.4,0.0,14.7,33
2016-05-09,31.8,27.1,39.0,18.4,0.1,14.8,33
2016-05-10,31.6,26.2,36.3,18.5,0.6,14.9,34
2016-05-11,27.0,16.3,36.3,19.1,0.1,15.7,40
2016-05-12,31.5,13.8,49.8,19.2,0.2,15.7,40
2016-05-13,38.5,21.6,57.4,19.4,0.0,15.5,35
2016-05-14,42.3,28.8,58.6,19.4,0.0,15.0,33
2016-05-15,37.9,30.9,52.5,19.4,0.1,14.0,30
2016-05-16,32.5,28.2,43.9,19.5,0.0,13.8,29
2016-05-17,29.3,26.4,36.9,19.5,0.1,13.7,30
2016-05-18,34.0,27.3,48.0,19.6,0.1,13.9,30
2016-05-19,36.3,30.0,48.9,19.7,0.1,13.8,29
2016-05-20,40.8,27.7,55.8,19.8,0.0,13.3,28
2016-05-21,46.8,34.7,59.7,19.8,0.0,12.7,26
2016-05-22,42.1,27.5,57.0,19.8,0.0,11.2,22
2016-05-23,37.0,24.4,51.1,19.8,0.0,10.0,20
2016-05-24,41.0,27.9,56.1,19.8,0.0,9.4,18
2016-05-25,37.8,27.0,51.8,19.8,0.0,8.2,15
2016-05-26,33.4,29.1,42.8,19.8,0.1,6.8,13
2016-05-27,31.8,24.1,45.7,19.9,0.1,6.9,15
2016-05-28,36.3,23.5,51.4,20.0,0.0,6.8,13
2016-05-29,39.4,28.2,53.4,20.0,0.0,6.1,11
2016-05-30,38.1,28.8,53.2,20.0,0.0,5.3,9
2016-05-31,42.3,29.1,57.0,20.0,0.0,4.9,8
2016-06-01,43.0,34.3,57.4,20.0,0.1,3.0,5
2016-06-02,43.0,32.0,58.6,20.1,0.0,2.0,3
2016-06-03,44.4,32.0,59.4,20.1,0.0,0.9,2
2016-06-04,43.7,34.0,66.0,20.1,0.1,0.4,1
2016-06-05,46.6,35.2,64.2,20.2,0.0,0.2,1
2016-06-06,46.2,35.8,62.2,20.2,0.0,0.0,0
2016-06-07,47.1,34.5,62.8,20.2,0.1,0.0,0
2016-06-08,46.0,35.1,63.3,20.3,0.1,0.0,0
2016-06-09,48.9,34.7,68.4,20.4,0.0,0.0,0
2016-06-10,53.2,37.8,70.5,20.4,0.1,0.0,0
2016-06-11,49.5,37.9,67.5,20.5,0.0,0.0,0
2016-06-12,46.4,36.7,62.6,20.5,0.0,0.0,0
2016-06-13,44.4,33.1,60.6,20.5,0.0,0.0,0
2016-06-14,42.8,30.0,58.3,20.5,0.0,0.0,0
2016-06-15,50.9,32.5,69.8,20.5,0.0,0.0,0
2016-06-16,50.0,34.2,66.0,20.5,0.0,0.0,0
2016-06-17,52.5,35.8,72.0,20.5,0.0,0.0,0
2016-06-18,54.9,36.0,73.9,20.5,0.1,0.0,0
2016-06-19,58.6,40.1,74.3,20.6,0.1,0.0,0
2016-06-20,62.1,48.9,79.7,20.7,0.0,0.0,0
2016-06-21,56.7,44.8,72.7,20.7,0.0,0.0,0
2016-06-22,53.8,41.4,70.2,20.7,0.0,0.0,0
2016-06-23,52.7,43.0,67.3,20.7,0.0,0.0,0
2016-06-24,51.4,41.4,66.6,20.7,0.0,0.0,0
2016-06-25,54.3,41.7,70.0,20.7,0.0,0.0,0
2016-06-26,55.6,40.3,70.0,20.7,0.0,0.0,0
2016-06-27,57.0,42.1,72.7,20.7,0.0,0.0,0
2016-06-28,51.4,40.6,66.0,20.7,0.0,0.0,0
2016-06-29,48.2,39.2,65.3,20.7,0.0,0.0,0
2016-06-30,48.6,38.8,59.9,20.7,0.0,0.0,0
2016-07-01,46.4,42.6,52.0,20.7,0.0,0.0,0
2016-07-02,46.8,,56.1,20.7,0.0,0.0,0
2016-07-03,44.6,37.0,53.6,20.7,0.0,0.0,0
2016-07-04,48.4,36.1,64.4,20.7,0.1,0.0,0
2016-07-05,52.2,38.1,66.0,20.8,0.1,0.0,0
2016-07-06,54.0,39.4,68.4,20.9,0.0,0.0,0
2016-07-07,53.2,38.8,67.6,20.9,0.0,0.0,0
2016-07-08,53.8,39.0,68.9,20.9,0.0,0.0,0
2016-07-09,55.4,41.0,70.3,20.9,0.0,0.0,0
2016-07-10,57.2,42.8,71.1,20.9,0.0,0.0,0
2016-07-11,53.4,39.4,63.9,20.9,0.0,0.0,0
2016-07-12,53.1,36.9,67.5,20.9,0.0,0.0,0
2016-07-13,54.7,41.2,,20.9,0.0,0.0,0
2016-07-14,54.7,37.8,69.6,20.9,0.0,0.0,0
2016-07-15,54.3,41.0,70.0,20.9,0.0,0.0,0
2016-07-16,55.9,,,20.9,0.0,0.0,0
2016-07-17,54.9,41.9,70.9,20.9,0.1,0.0,0
2016-07-18,53.4,44.1,,21.0,0.0,0.0,0
2016-07-19,50.2,,64.2,21.0,0.0,0.0,0
2016-07-20,51.3,40.5,,21.0,0.0,0.0,0
2016-07-21,54.0,40.1,69.4,21.0,0.0,0.0,0
2016-07-22,53.1,42.8,68.5,21.0,0.0,0.0,0
2016-07-23,56.1,41.0,73.6,21.0,0.0,0.0,0
2016-07-24,58.5,46.4,,21.0,0.0,0.0,0
2016-07-25,56.7,42.8,71.6,21.0,0.0,0.0,0
2016-07-26,53.1,42.6,66.4,21.0,0.0,0.0,0
2016-07-27,56.5,,74.8,21.0,0.0,0.0,0
2016-07-28,62.6,,,21.0,0.0,0.0,0
2016-07-29,57.0,,,21.0,0.0,0.0,0
2016-07-30,55.4,,,21.0,0.0,0.0,0
2016-07-31,52.0,40.5,,21.0,0.1,0.0,0
2016-08-01,53.2,41.0,,21.1,0.0,0.0,0
2016-08-02,58.5,,,21.1,0.0,0.0,0
2016-08-03,54.3,,,21.1,0.0,0.0,0
2016-08-04,49.6,,,21.1,0.3,0.0,0
2016-08-05,48.6,,,21.4,0.1,0.0,0
2016-08-06,50.0,,,21.5,0.0,0.0,0
2016-08-07,51.4,,,21.5,0.0,0.0,0
2016-08-08,51.1,,,21.5,0.0,0.0,0
2016-08-09,49.1,,,21.5,0.1,0.0,0
2016-08-10,48.9,,,21.6,0.0,0.0,0
2016-08-11,50.0,,,21.6,0.0,0.0,0
2016-08-12,49.3,,,21.6,0.0,0.0,0
2016-08-13,51.1,,,21.6,0.0,0.0,0
2016-08-14,49.5,,,21.6,0.0,0.0,0
2016-08-15,51.8,,,21.6,0.0,0.0,0
2016-08-16,47.5,,,21.6,0.3,0.0,0
2016-08-17,45.5,36.3,60.1,21.9,0.0,0.0,0
2016-08-18,45.5,,,21.9,0.0,0.0,0
2016-08-19,46.8,34.7,62.2,21.9,0.0,0.0,0
2016-08-20,48.4,,,21.9,0.0,0.0,0
2016-08-21,49.8,35.8,,21.9,0.0,0.0,0
2016-08-22,46.2,,60.1,21.9,0.0,0.0,0
2016-08-23,42.8,37.4,,21.9,0.5,0.0,0
2016-08-24,41.2,,52.5,22.4,0.1,0.0,0
2016-08-25,42.1,,,22.5,0.1,0.0,0
2016-08-26,42.1,,,22.6,0.0,0.0,0
2016-08-27,41.0,,,22.6,0.0,0.0,0
2016-08-28,42.8,,58.3,22.6,0.3,0.0,0
2016-08-29,42.3,37.2,,22.9,0.2,0.0,0
2016-08-30,45.5,36.1,,23.1,0.1,0.0,0
2016-08-31,48.2,,,23.2,0.0,0.0,0
2016-09-01,49.5,,,23.2,0.0,0.0,0
2016-09-02,48.4,,,23.2,0.0,0.0,0
2016-09-03,46.4,,,23.2,0.1,0.0,0
2016-09-04,48.4,35.6,,23.3,0.0,0.0,0
2016-09-05,49.3,,64.4,23.3,0.0,0.0,0
2016-09-06,48.6,37.0,,23.3,0.0,0.0,0
2016-09-07,48.0,35.2,,23.3,0.0,0.0,0
2016-09-08,47.3,30.0,,23.3,0.0,0.0,0
2016-09-09,46.2,32.2,,23.3,0.0,0.0,0
2016-09-10,46.0,,,23.3,0.0,0.0,0
2016-09-11,46.4,33.3,,23.3,0.0,0.0,0
2016-09-12,42.3,32.5,58.8,23.3,0.1,0.0,0
2016-09-13,43.5,27.7,,23.4,0.0,0.0,0
2016-09-14,42.8,29.5,,23.4,0.1,0.0,0
2016-09-15,39.4,,,23.5,0.0,0.0,0
2016-09-16,40.5,,,23.5,0.0,0.0,0
2016-09-17,41.4,,,23.5,0.0,0.0,0
2016-09-18,44.1,28.2,61.7,23.5,0.0,0.0,0
2016-09-19,48.2,,,23.5,0.0,0.0,0
2016-09-20,47.1,,,23.5,0.2,0.0,0
2016-09-21,43.2,37.9,,23.7,0.1,0.0,0
2016-09-22,48.6,38.8,,23.8,0.0,0.0,0
2016-09-23,34.9,,52.9,23.8,0.1,0.0,0
2016-09-24,28.0,,,23.9,0.0,0.0,0
2016-09-25,36.1,,,23.9,0.0,0.0,0
2016-09-26,41.9,28.2,,23.9,0.0,0.0,0
2016-09-27,44.8,,63.0,23.9,0.0,0.0,0
2016-09-28,47.7,,,23.9,0.0,0.0,0
2016-09-29,45.3,,,23.9,0.0,0.0,0
2016-09-30,43.5,27.1,,23.9,0.0,0.0,0
