Date,University Camp (838) Air Temperature Average (degF),University Camp (838) Air Temperature Minimum (degF),University Camp (838) Air Temperature Maximum (degF),University Camp (838) Precipitation Accumulation (in) Start of Day Values,University Camp (838) Precipitation Increment (in),University Camp (838) Snow Water Equivalent (in) Start of Day Values,University Camp (838) Snow Depth (in) Start of Day Values
2015-12-29,9.7,-5.4,23.2,9.5,0.0,6.9,32
2015-12-30,9.1,3.6,15.1,9.5,0.0,7.0,32
2015-12-31,3.4,-10.5,14.0,9.5,0.0,7.0,31
2016-01-01,6.1,-9.2,26.8,9.5,0.0,7.0,31
2016-01-02,20.3,1.8,33.6,9.5,0.2,7.0,31
2016-01-03,26.8,16.2,37.0,9.7,0.0,7.1,31
2016-01-04,23.7,13.3,38.3,9.7,0.0,7.1,31
2016-01-05,24.4,15.3,37.8,9.7,0.0,7.1,31
2016-01-06,23.7,14.7,34.7,9.7,0.0,7.1,31
2016-01-07,21.0,16.5,28.8,9.7,0.0,7.1,30
2016-01-08,13.1,2.7,18.5,9.7,0.0,7.1,31
2016-01-09,12.2,8.8,17.4,9.7,0.0,7.1,31
2016-01-10,12.2,7.7,19.9,9.7,0.0,7.1,32
2016-01-11,18.5,13.5,26.4,9.7,0.1,7.1,32
2016-01-12,21.2,16.0,28.2,9.8,0.0,7.2,31
2016-01-13,28.2,20.1,35.4,9.8,0.1,7.2,31
2016-01-14,17.6,12.6,26.6,9.9,0.0,7.3,31
2016-01-15,13.6,8.6,20.3,9.9,0.1,7.3,33
2016-01-16,10.8,4.6,16.5,10.0,0.3,7.4,33
2016-01-17,17.8,16.2,21.4,10.3,0.4,7.7,35
2016-01-18,22.6,17.2,27.0,10.7,0.1,7.9,38
2016-01-19,21.0,13.1,29.1,10.8,0.0,8.1,35
2016-01-20,18.3,11.7,24.3,10.8,0.0,8.1,37
2016-01-21,18.7,11.1,29.7,10.8,0.2,8.2,37
2016-01-22,31.8,21.9,41.4,11.0,0.0,8.2,36
2016-01-23,32.9,27.7,39.9,11.0,0.0,8.2,36
2016-01-24,23.9,14.2,32.2,11.0,0.0,8.2,35
2016-01-25,13.1,7.7,21.2,11.0,0.0,8.2,37
2016-01-26,17.8,7.0,30.4,11.0,0.1,8.2,37
2016-01-27,31.1,25.0,41.0,11.1,0.1,8.4,36
2016-01-28,31.6,23.7,38.8,11.2,0.0,8.4,36
2016-01-29,27.9,22.6,31.8,11.2,0.0,8.4,35
2016-01-30,29.5,17.2,38.7,11.2,0.4,8.4,35
2016-01-31,14.0,8.4,21.2,11.6,0.4,8.7,39
2016-02-01,10.6,2.5,19.0,12.0,0.3,9.1,43
2016-02-02,4.1,-3.8,9.7,12.3,0.0,9.4,47
2016-02-03,0.1,-2.7,6.4,12.3,0.1,9.5,47
2016-02-04,9.7,-0.6,21.7,12.4,0.2,9.7,46
2016-02-05,11.3,6.6,16.9,12.6,0.0,10.0,45
2016-02-06,23.2,11.8,27.7,12.6,0.3,10.0,44
2016-02-07,20.7,18.5,25.9,12.9,0.0,10.1,44
2016-02-08,25.9,18.3,31.8,12.9,0.0,10.1,43
2016-02-09,33.4,25.3,40.5,12.9,0.0,10.2,43
2016-02-10,34.2,29.3,41.4,12.9,0.1,10.2,42
2016-02-11,32.9,29.5,39.2,13.0,0.0,10.2,41
2016-02-12,36.3,31.3,43.0,13.0,0.0,10.2,41
2016-02-13,34.3,25.2,41.5,13.0,0.0,10.2,41
2016-02-14,23.7,20.3,29.1,13.0,0.1,10.2,41
2016-02-15,25.3,20.5,28.4,13.1,0.9,10.3,42
2016-02-16,27.7,25.7,31.6,14.0,0.1,11.1,47
2016-02-17,38.8,29.1,48.7,14.1,0.1,11.1,46
2016-02-18,34.5,18.3,45.7,14.2,0.1,11.2,45
2016-02-19,28.9,17.4,38.1,14.3,0.1,11.3,47
2016-02-20,32.5,26.2,41.2,14.4,0.0,11.4,46
2016-02-21,29.8,23.0,41.0,14.4,0.0,11.4,45
2016-02-22,22.3,14.9,28.0,14.4,0.2,11.4,45
2016-02-23,14.0,0.7,26.8,14.6,0.2,11.7,53
2016-02-24,20.3,12.0,27.5,14.8,0.1,11.8,55
2016-02-25,27.7,19.4,37.4,14.9,0.2,12.0,53
2016-02-26,33.4,25.5,44.1,15.1,0.0,12.1,51
2016-02-27,34.7,24.8,43.7,15.1,0.0,12.1,50
2016-02-28,30.2,22.8,39.9,15.1,0.0,12.1,49
2016-02-29,26.2,15.3,36.3,15.1,0.1,12.1,48
2016-03-01,24.8,14.4,32.2,15.2,0.2,12.2,51
2016-03-02,28.0,22.5,33.4,15.4,0.1,12.3,50
2016-03-03,32.7,22.5,41.2,15.5,0.1,12.4,50
2016-03-04,32.4,19.6,42.4,15.6,0.0,12.5,49
2016-03-05,34.3,18.3,46.9,15.6,0.0,12.5,49
2016-03-06,35.1,29.3,46.2,15.6,0.0,12.5,47
2016-03-07,23.5,18.9,30.0,15.6,0.3,12.5,47
2016-03-08,20.7,11.1,27.1,15.9,0.1,12.7,50
2016-03-09,23.7,15.3,33.1,16.0,0.1,12.8,50
2016-03-10,31.3,21.7,42.6,16.1,0.1,12.9,51
2016-03-11,38.1,23.4,53.8,16.2,0.0,12.9,50
2016-03-12,35.2,27.1,48.9,16.2,0.0,13.0,48
2016-03-13,32.9,28.2,41.5,16.2,0.0,13.0,47
2016-03-14,26.8,16.3,34.5,16.2,0.4,13.0,48
2016-03-15,14.2,10.0,19.2,16.6,0.3,13.3,53
2016-03-16,15.3,10.2,18.7,16.9,0.6,13.6,55
2016-03-17,18.5,14.2,25.2,17.5,0.7,14.1,59
2016-03-18,12.7,6.6,19.4,18.2,0.3,14.9,67
2016-03-19,15.4,5.5,25.0,18.5,0.0,15.2,65
2016-03-20,30.7,11.7,40.3,18.5,0.1,15.3,62
2016-03-21,39.7,33.3,51.1,18.6,0.1,15.5,60
2016-03-22,37.2,25.0,48.9,18.7,0.1,15.6,58
2016-03-23,20.1,17.6,24.8,18.8,0.6,15.7,58
2016-03-24,21.4,15.6,29.1,19.4,0.1,16.3,63
2016-03-25,19.4,6.6,30.9,19.5,0.2,16.5,62
2016-03-26,12.2,-2.9,26.1,19.7,0.1,16.6,63
2016-03-27,23.9,12.6,32.4,19.8,0.2,16.7,65
2016-03-28,34.7,27.7,47.5,20.0,0.0,16.8,62
2016-03-29,32.0,18.3,46.2,20.0,0.1,16.8,61
2016-03-30,20.5,15.4,28.9,20.1,0.1,17.0,61
2016-03-31,16.9,2.7,25.3,20.2,0.1,17.2,62
2016-04-01,22.3,10.6,32.7,20.3,0.2,17.3,63
2016-04-02,32.4,16.7,46.0,20.5,0.0,17.4,62
2016-04-03,36.3,29.7,45.5,20.5,0.0,17.4,60
2016-04-04,40.5,29.3,50.9,20.5,0.1,17.4,59
2016-04-05,28.2,20.7,42.8,20.6,0.1,17.4,57
2016-04-06,32.7,20.5,43.2,20.7,0.2,17.7,60
2016-04-07,36.1,23.9,50.0,20.9,0.0,17.7,59
2016-04-08,34.5,21.0,49.5,20.9,0.0,17.7,57
2016-04-09,39.4,34.0,49.1,20.9,0.0,17.6,56
2016-04-10,35.1,28.9,47.3,20.9,0.0,17.5,56
2016-04-11,35.8,28.6,46.6,20.9,0.0,17.5,55
2016-04-12,37.8,28.9,52.5,20.9,0.1,17.4,55
2016-04-13,39.0,28.4,52.9,21.0,0.0,17.3,53
2016-04-14,42.8,32.4,54.1,21.0,0.1,17.1,53
2016-04-15,29.3,23.4,36.7,21.1,0.6,17.0,52
2016-04-16,21.9,19.6,24.8,21.7,1.1,17.8,61
2016-04-17,21.6,14.2,29.1,22.8,0.3,19.0,80
2016-04-18,22.1,9.7,35.6,23.1,0.1,19.4,77
2016-04-19,24.8,12.6,34.7,23.2,0.2,19.6,72
2016-04-20,32.2,24.8,39.9,23.4,0.3,19.9,72
2016-04-21,36.1,24.3,50.4,23.7,0.0,20.1,69
2016-04-22,42.6,24.8,58.3,23.7,0.0,20.1,66
2016-04-23,41.4,28.2,58.3,23.7,0.1,20.1,61
2016-04-24,32.0,25.9,38.1,23.8,0.1,20.1,61
2016-04-25,37.8,27.5,48.9,23.9,0.1,20.1,61
2016-04-26,27.9,23.0,40.6,24.0,0.4,20.1,59
2016-04-27,27.9,21.7,38.8,24.4,0.2,20.5,61
2016-04-28,24.6,22.1,30.2,24.6,0.0,20.6,62
2016-04-29,24.4,20.7,31.5,24.6,0.4,20.6,61
2016-04-30,22.3,19.2,28.2,25.0,0.4,21.1,64
2016-05-01,20.1,9.1,31.3,25.4,0.1,21.5,70
2016-05-02,29.8,8.2,43.7,25.5,0.2,21.5,70
2016-05-03,35.6,20.8,51.1,25.7,0.0,21.6,66
2016-05-04,42.1,23.9,57.7,25.7,0.1,21.6,63
2016-05-05,46.2,31.1,61.2,25.8,0.0,21.4,60
2016-05-06,44.1,32.7,61.3,25.8,0.0,21.0,58
2016-05-07,32.9,27.7,43.9,25.8,0.1,20.8,57
2016-05-08,33.1,27.9,45.1,25.9,0.3,20.9,56
2016-05-09,34.7,28.4,46.0,26.2,0.5,21.0,58
2016-05-10,34.2,25.3,41.9,26.7,0.4,21.3,57
2016-05-11,32.7,24.4,44.2,27.1,0.0,21.4,58
2016-05-12,40.5,29.7,51.3,27.1,0.1,21.3,57
2016-05-13,42.4,32.7,57.4,27.2,0.0,21.0,56
2016-05-14,42.6,30.0,59.9,27.2,0.0,20.5,54
2016-05-15,38.8,32.0,52.0,27.2,0.1,19.9,52
2016-05-16,31.8,26.4,38.3,27.3,0.3,19.9,51
2016-05-17,30.2,26.6,34.7,27.6,0.2,20.1,53
2016-05-18,35.1,24.6,46.0,27.8,0.1,20.3,54
2016-05-19,42.3,31.3,54.1,27.9,0.1,20.2,52
2016-05-20,45.9,34.7,57.4,28.0,0.0,19.7,51
2016-05-21,49.3,34.9,61.5,28.0,0.0,19.2,49
2016-05-22,43.3,33.4,53.8,28.0,0.0,18.5,47
2016-05-23,39.0,29.7,50.4,28.0,0.0,18.0,47
2016-05-24,41.4,28.4,52.9,28.0,0.0,17.7,45
2016-05-25,41.9,29.7,52.9,28.0,0.0,17.4,44
2016-05-26,35.4,27.7,48.2,28.0,0.0,17.0,44
2016-05-27,36.3,31.6,45.0,28.0,0.1,16.9,43
2016-05-28,41.0,31.3,53.1,28.1,0.2,16.8,43
2016-05-29,42.1,30.4,57.0,28.3,0.0,16.1,42
2016-05-30,43.2,30.2,59.0,28.3,0.0,15.6,40
2016-05-31,41.5,32.2,55.6,28.3,0.0,14.9,39
2016-06-01,43.0,32.2,58.5,28.3,0.0,14.1,37
2016-06-02,48.2,31.3,60.8,28.3,0.0,13.1,35
2016-06-03,50.0,36.7,61.9,28.3,0.0,11.9,32
2016-06-04,46.6,34.0,59.4,28.3,0.0,10.2,27
2016-06-05,47.5,34.0,64.0,28.3,0.0,8.5,26
2016-06-06,47.5,34.5,64.2,28.3,0.0,7.4,24
2016-06-07,48.7,34.5,68.5,28.3,0.0,6.2,19
2016-06-08,47.5,36.3,65.3,28.3,0.0,4.8,18
2016-06-09,52.7,36.5,67.3,28.3,0.0,4.0,19
2016-06-10,53.8,38.8,70.2,28.3,0.0,2.9,11
2016-06-11,51.8,38.5,67.1,28.3,0.0,1.9,8
2016-06-12,49.6,37.6,62.6,28.3,0.4,1.3,3
2016-06-13,43.5,36.5,57.7,28.7,0.4,0.7,2
2016-06-14,46.6,37.2,57.2,29.1,0.1,0.7,2
2016-06-15,54.5,43.0,66.2,29.2,0.0,0.4,1
2016-06-16,57.0,43.5,68.4,29.2,0.0,0.0,0
2016-06-17,52.7,39.7,65.8,29.2,0.0,0.0,0
2016-06-18,54.9,36.9,71.6,29.2,0.0,0.0,0
2016-06-19,59.2,42.3,74.3,29.2,0.0,0.0,0
2016-06-20,55.4,43.9,68.9,29.2,0.0,0.0,0
2016-06-21,60.3,43.9,75.0,29.2,0.0,0.0,0
2016-06-22,48.7,44.1,54.0,29.2,0.2,0.0,0
2016-06-23,54.0,41.9,68.9,29.4,0.1,0.0,0
2016-06-24,56.5,42.3,72.5,29.5,0.1,0.0,0
2016-06-25,54.7,40.3,71.1,29.6,0.0,0.0,0
2016-06-26,54.3,36.9,69.8,29.6,0.0,0.0,0
2016-06-27,54.9,36.9,71.4,29.6,0.0,0.0,0
2016-06-28,55.2,41.2,72.3,29.6,0.0,0.0,0
2016-06-29,55.4,42.1,70.3,29.6,0.0,0.0,0
2016-06-30,49.1,44.1,59.7,29.6,0.5,0.0,0
2016-07-01,48.6,44.1,56.1,30.1,0.0,0.0,0
2016-07-02,48.0,42.4,56.3,30.1,0.1,0.0,0
2016-07-03,52.9,46.4,63.5,30.2,0.0,0.0,0
2016-07-04,58.1,48.6,68.7,30.2,0.0,0.0,0
2016-07-05,53.8,41.7,64.2,30.2,0.0,0.0,0
2016-07-06,57.6,40.8,70.3,30.2,0.0,0.0,0
2016-07-07,55.9,41.4,67.8,30.2,0.0,0.0,0
2016-07-08,54.9,40.1,72.5,30.2,0.0,0.0,0
2016-07-09,59.0,39.2,72.5,30.2,0.0,0.0,0
2016-07-10,63.0,52.2,73.9,30.2,0.0,0.0,0
2016-07-11,54.1,38.3,63.7,30.2,0.0,0.0,0
2016-07-12,55.4,36.7,67.8,30.2,0.0,0.0,0
2016-07-13,56.5,42.4,69.1,30.2,0.0,0.0,0
2016-07-14,52.9,37.4,68.9,30.2,0.0,0.0,0
2016-07-15,53.6,41.0,69.1,30.2,0.0,0.0,0
2016-07-16,56.7,40.1,72.1,30.2,0.0,0.0,0
2016-07-17,55.6,42.6,70.9,30.2,0.0,0.0,0
2016-07-18,56.5,46.0,68.4,30.2,0.0,0.0,0
2016-07-19,59.5,52.2,70.7,30.2,0.0,0.0,0
2016-07-20,57.4,50.2,73.0,30.2,0.0,0.0,0
2016-07-21,55.6,46.0,69.8,30.2,0.1,0.0,0
2016-07-22,60.1,45.9,71.1,30.3,0.0,0.0,0
2016-07-23,59.5,44.8,73.8,30.3,0.0,0.0,0
2016-07-24,56.5,42.6,73.0,30.3,0.0,0.0,0
2016-07-25,56.3,41.9,72.5,30.3,0.0,0.0,0
2016-07-26,57.6,45.0,67.3,30.3,0.0,0.0,0
2016-07-27,58.1,42.3,72.0,30.3,0.0,0.0,0
2016-07-28,55.9,41.2,72.1,30.3,0.0,0.0,0
2016-07-29,53.6,42.1,67.5,30.3,0.0,0.0,0
2016-07-30,57.9,43.0,72.3,30.3,0.0,0.0,0
2016-07-31,54.3,43.9,71.8,30.3,0.3,0.0,0
2016-08-01,56.1,42.8,70.9,30.6,0.0,0.0,0
2016-08-02,53.8,43.0,69.6,30.6,0.0,0.0,0
2016-08-03,58.1,42.4,72.0,30.6,0.0,0.0,0
2016-08-04,47.7,43.3,55.6,30.6,0.1,0.0,0
2016-08-05,46.0,43.0,50.0,30.7,0.2,0.0,0
2016-08-06,51.6,43.0,60.6,30.9,0.1,0.0,0
2016-08-07,54.3,45.0,66.9,31.0,0.0,0.0,0
2016-08-08,54.3,44.2,65.8,31.0,0.0,0.0,0
2016-08-09,54.0,41.9,70.2,31.0,0.0,0.0,0
2016-08-10,54.7,41.7,67.1,31.0,0.0,0.0,0
2016-08-11,53.8,39.9,66.0,31.0,0.0,0.0,0
2016-08-12,48.4,34.9,62.6,31.0,0.1,0.0,0
2016-08-13,49.5,34.3,66.9,31.1,0.0,0.0,0
2016-08-14,51.1,34.7,68.0,31.1,0.0,0.0,0
2016-08-15,51.6,39.2,69.1,31.1,0.0,0.0,0
2016-08-16,50.2,37.8,67.5,31.1,0.0,0.0,0
2016-08-17,50.9,36.9,67.1,31.1,0.0,0.0,0
2016-08-18,48.2,39.7,62.8,31.1,0.4,0.0,0
2016-08-19,45.5,36.1,62.6,31.5,0.4,0.0,0
2016-08-20,44.6,32.9,60.8,31.9,0.1,0.0,0
2016-08-21,50.7,33.6,67.3,32.0,0.1,0.0,0
2016-08-22,52.0,40.5,63.3,32.1,0.0,0.0,0
2016-08-23,49.5,40.6,58.8,32.1,0.0,0.0,0
2016-08-24,41.7,33.8,48.7,32.1,0.2,0.0,0
2016-08-25,42.3,34.2,48.9,32.3,0.1,0.0,0
2016-08-26,45.7,36.9,56.7,32.4,0.0,0.0,0
2016-08-27,49.3,39.7,60.8,32.4,0.0,0.0,0
2016-08-28,46.6,37.8,60.4,32.4,0.0,0.0,0
2016-08-29,46.0,39.0,60.8,32.4,0.3,0.0,0
2016-08-30,44.8,36.3,54.9,32.7,0.7,0.0,0
2016-08-31,46.9,34.9,60.6,33.4,0.1,0.0,0
2016-09-01,50.2,38.3,66.7,33.5,0.0,0.0,0
2016-09-02,48.9,39.4,59.7,33.5,0.0,0.0,0
2016-09-03,51.3,40.5,64.8,33.5,0.1,0.0,0
2016-09-04,47.3,37.2,61.0,33.6,0.0,0.0,0
2016-09-05,51.1,36.3,64.9,33.6,0.0,0.0,0
2016-09-06,50.4,34.9,65.8,33.6,0.0,0.0,0
2016-09-07,52.5,38.1,61.9,33.6,0.0,0.0,0
2016-09-08,53.6,39.4,63.9,33.6,0.0,0.0,0
2016-09-09,45.0,30.7,59.2,33.6,0.0,0.0,0
2016-09-10,49.1,28.4,62.6,33.6,0.1,0.0,0
2016-09-11,53.4,46.4,64.8,33.7,0.0,0.0,0
2016-09-12,46.8,37.9,62.6,33.7,0.0,0.0,0
2016-09-13,43.2,35.8,57.0,33.7,0.0,0.0,0
2016-09-14,44.6,34.5,59.7,33.7,0.0,0.0,0
2016-09-15,42.8,31.1,53.6,33.7,0.0,0.0,0
2016-09-16,38.3,29.5,50.4,33.7,0.1,0.0,0
2016-09-17,45.0,30.0,54.7,33.8,0.1,0.0,0
2016-09-18,51.1,43.7,61.0,33.9,0.0,0.0,0
2016-09-19,53.4,42.4,66.2,33.9,0.0,0.0,0
2016-09-20,52.2,42.6,62.1,33.9,0.0,0.0,0
2016-09-21,48.9,39.0,57.9,33.9,0.0,0.0,0
2016-09-22,49.5,37.6,64.4,33.9,0.0,0.0,0
2016-09-23,45.0,30.7,64.0,33.9,0.0,0.0,0
2016-09-24,34.9,30.6,43.2,33.9,0.0,0.0,0
2016-09-25,38.3,30.0,51.8,33.9,0.0,0.0,0
2016-09-26,41.4,28.4,58.8,33.9,0.0,0.0,0
2016-09-27,45.7,31.3,63.7,33.9,0.0,0.0,0
2016-09-28,44.4,32.4,58.8,33.9,0.0,0.0,0
2016-09-29,49.3,34.7,62.2,33.9,0.0,0.0,0
2016-09-30,44.4,34.2,52.7,33.9,0.0,0.0,0
