Date,Ripple Creek (717) Air Temperature Average (degF),Ripple Creek (717) Air Temperature Minimum (degF),Ripple Creek (717) Air Temperature Maximum (degF),Ripple Creek (717) Precipitation Accumulation (in) Start of Day Values,Ripple Creek (717) Precipitation Increment (in),Ripple Creek (717) Snow Water Equivalent (in) Start of Day Values,Ripple Creek (717) Snow Depth (in) Start of Day Values
2015-11-05,16.7,14.4,20.5,1.7,0.2,2.2,14
2015-11-06,15.1,7.2,22.5,1.9,0.4,2.4,18
2015-11-07,18.0,7.2,32.4,2.3,0.2,2.9,25
2015-11-08,22.3,13.3,35.1,2.5,0.0,2.9,21
2015-11-09,27.5,17.8,38.5,2.5,0.2,2.9,19
2015-11-10,27.5,18.9,36.7,2.7,0.0,2.9,16
2015-11-11,13.6,10.2,19.0,2.7,0.3,3.3,20
2015-11-12,14.5,7.5,25.0,3.0,0.1,3.9,25
2015-11-13,19.9,9.9,35.1,3.1,0.1,3.9,24
2015-11-14,26.4,18.9,41.7,3.2,0.0,3.9,22
2015-11-15,27.9,21.7,38.5,3.2,0.0,3.9,20
2015-11-16,22.5,17.4,26.6,3.2,0.3,3.9,20
2015-11-17,14.2,11.3,17.6,3.5,0.1,4.7,28
2015-11-18,17.4,14.5,23.7,3.6,0.0,4.7,25
2015-11-19,21.2,16.7,25.0,3.6,0.2,4.8,25
2015-11-20,16.3,-1.7,26.8,3.8,0.1,5.0,25
2015-11-21,8.6,-2.9,23.0,3.9,0.2,5.0,27
2015-11-22,21.2,8.2,37.9,4.1,0.1,5.1,26
2015-11-23,27.0,17.2,38.3,4.2,0.0,5.1,25
2015-11-24,28.4,23.7,36.5,4.2,0.0,5.2,24
2015-11-25,30.2,24.3,35.8,4.2,0.0,5.2,23
2015-11-26,18.0,10.8,24.3,4.2,0.0,5.2,23
2015-11-27,18.7,12.2,30.7,4.2,0.1,5.2,24
2015-11-28,12.2,5.9,23.5,4.3,0.0,5.5,27
2015-11-29,8.1,-1.5,17.2,4.3,0.1,5.7,28
2015-11-30,1.2,-5.6,7.7,4.4,0.1,5.7,29
2015-12-01,5.9,0.9,18.0,4.5,0.0,5.8,29
2015-12-02,13.8,2.5,27.7,4.5,0.2,5.8,28
2015-12-03,20.7,11.7,34.3,4.7,0.1,5.9,28
2015-12-04,28.2,23.4,36.1,4.8,0.0,6.0,27
2015-12-05,14.5,6.6,23.5,4.8,0.0,6.0,26
2015-12-06,22.5,6.4,37.9,4.8,0.0,6.0,28
2015-12-07,26.6,19.6,35.6,4.8,0.1,6.1,28
2015-12-08,25.5,21.6,33.4,4.9,0.0,6.2,27
2015-12-09,29.1,20.8,39.0,4.9,0.0,6.2,27
2015-12-10,28.8,21.9,37.0,4.9,0.1,6.2,27
2015-12-11,20.1,16.5,25.7,5.0,0.2,6.2,26
2015-12-12,14.4,5.2,18.0,5.2,0.1,7.1,40
2015-12-13,15.8,3.7,34.9,5.3,0.2,7.2,35
2015-12-14,17.8,11.1,22.6,5.5,0.2,7.3,35
2015-12-15,5.9,0.7,11.3,5.7,0.5,7.7,38
2015-12-16,3.7,1.4,10.2,6.2,0.2,8.1,42
2015-12-17,2.3,-0.9,7.3,6.4,0.3,8.3,43
2015-12-18,16.0,4.6,22.1,6.7,0.2,8.6,44
2015-12-19,23.7,14.9,30.0,6.9,0.0,8.7,42
2015-12-20,19.8,15.1,25.0,6.9,0.1,8.8,40
2015-12-21,16.3,13.8,18.9,7.0,1.0,9.1,44
2015-12-22,18.7,12.0,21.9,8.0,1.5,10.1,56
2015-12-23,7.9,0.7,16.7,9.5,0.4,11.9,67
2015-12-24,2.7,-1.5,10.6,9.9,0.0,12.3,69
2015-12-25,8.1,-1.8,16.9,9.9,0.5,12.3,63
2015-12-26,-0.9,-5.4,5.9,10.4,0.1,12.8,67
2015-12-27,8.8,-4.0,25.0,10.5,0.1,12.8,64
2015-12-28,10.4,5.4,19.9,10.6,0.0,12.9,61
2015-12-29,8.6,5.0,14.4,10.6,0.0,12.9,57
2015-12-30,1.9,-4.4,5.9,10.6,0.0,13.0,58
2015-12-31,-0.9,-6.9,8.6,10.6,0.0,13.0,59
2016-01-01,7.0,-2.2,25.9,10.6,0.1,13.0,55
2016-01-02,14.0,4.6,29.1,10.7,0.1,13.1,55
2016-01-03,21.6,12.9,35.6,10.8,0.0,13.1,53
2016-01-04,23.2,17.2,33.1,10.8,0.1,13.1,52
2016-01-05,20.1,14.7,27.0,10.9,0.0,13.2,52
2016-01-06,21.9,15.6,29.3,10.9,0.0,13.2,51
2016-01-07,17.8,13.5,21.6,10.9,0.0,13.3,53
2016-01-08,13.6,10.2,19.8,10.9,0.0,13.6,56
2016-01-09,8.2,2.1,13.8,10.9,0.0,13.6,55
2016-01-10,5.2,-1.7,12.4,10.9,0.0,13.7,55
2016-01-11,5.9,-1.8,20.5,10.9,0.0,13.7,56
2016-01-12,12.2,3.2,27.3,10.9,0.0,13.7,55
2016-01-13,18.0,9.5,30.7,10.9,0.1,13.8,53
2016-01-14,12.7,8.4,16.9,11.0,0.1,13.8,53
2016-01-15,10.4,6.4,15.3,11.1,0.4,14.1,53
2016-01-16,9.3,3.4,14.9,11.5,0.5,14.5,61
2016-01-17,15.1,10.0,20.3,12.0,0.6,15.1,69
2016-01-18,18.9,14.5,27.5,12.6,0.2,15.7,73
2016-01-19,16.9,11.3,26.2,12.8,0.1,16.0,73
2016-01-20,13.1,6.6,20.5,12.9,0.7,16.2,73
2016-01-21,11.3,7.3,23.5,13.6,0.1,17.1,77
2016-01-22,21.4,11.3,33.8,13.7,0.1,17.1,77
2016-01-23,23.5,15.4,34.2,13.8,0.1,17.2,73
2016-01-24,16.9,10.6,23.5,13.9,0.2,17.2,70
2016-01-25,8.6,0.7,19.9,14.1,0.1,17.8,83
2016-01-26,8.2,-0.6,23.0,14.2,0.1,18.0,80
2016-01-27,18.9,8.8,34.9,14.3,0.1,18.0,76
2016-01-28,22.6,15.6,36.0,14.4,0.1,18.0,73
2016-01-29,22.3,18.3,28.2,14.5,0.1,18.1,71
2016-01-30,21.9,7.3,29.1,14.6,0.7,18.4,72
2016-01-31,10.9,1.0,20.3,15.3,0.4,19.3,80
2016-02-01,13.5,0.9,23.0,15.7,0.2,19.7,81
2016-02-02,2.1,-6.9,12.9,15.9,0.2,20.0,83
2016-02-03,-2.7,-7.4,5.7,16.1,0.1,20.1,82
2016-02-04,3.7,-5.1,11.7,16.2,0.2,20.3,81
2016-02-05,6.3,-0.6,17.1,16.4,0.2,20.6,82
2016-02-06,15.1,3.6,29.5,16.6,0.1,20.7,80
2016-02-07,16.0,10.0,27.1,16.7,0.0,20.7,78
2016-02-08,19.4,9.7,33.1,16.7,0.0,20.7,76
2016-02-09,23.7,13.8,41.4,16.7,0.1,20.7,75
2016-02-10,27.1,19.2,43.0,16.8,0.0,20.8,74
2016-02-11,27.7,19.4,42.1,16.8,0.0,20.8,73
2016-02-12,31.5,23.7,44.6,16.8,0.0,20.8,72
2016-02-13,27.7,15.4,38.7,16.8,0.0,20.8,71
2016-02-14,19.9,14.4,25.9,16.8,0.1,20.8,70
2016-02-15,22.6,19.4,26.2,16.9,0.0,21.0,73
2016-02-16,25.2,19.8,34.5,16.9,0.0,21.0,71
2016-02-17,32.5,19.9,48.4,16.9,0.1,21.0,71
2016-02-18,27.0,11.7,37.8,17.0,0.0,21.0,69
2016-02-19,23.0,10.4,37.9,17.0,0.3,21.5,74
2016-02-20,26.2,15.1,36.9,17.3,0.0,21.5,73
2016-02-21,23.0,14.4,36.1,17.3,0.0,21.5,72
2016-02-22,16.7,12.9,25.0,17.3,0.0,21.5,71
2016-02-23,12.9,4.5,25.3,17.3,0.0,21.6,72
2016-02-24,14.5,1.0,29.8,17.3,0.0,21.6,73
2016-02-25,22.3,11.1,38.7,17.3,0.0,21.6,71
2016-02-26,27.1,14.7,43.2,17.3,0.0,21.6,70
2016-02-27,30.2,18.0,43.9,17.3,0.0,21.6,69
2016-02-28,24.6,14.4,40.6,17.3,0.0,21.6,68
2016-02-29,22.3,13.6,30.4,17.3,0.0,21.6,68
2016-03-01,23.5,10.8,37.0,17.3,0.1,21.6,68
2016-03-02,26.2,17.6,36.5,17.4,0.0,21.7,68
2016-03-03,28.8,15.4,42.4,17.4,0.0,21.7,68
2016-03-04,30.7,25.0,44.4,17.4,0.0,21.8,68
2016-03-05,34.3,25.0,46.4,17.4,0.0,21.8,67
2016-03-06,28.8,25.5,34.2,17.4,0.1,21.8,66
2016-03-07,20.1,12.7,25.7,17.5,0.3,22.2,69
2016-03-08,18.7,10.4,34.7,17.8,0.1,22.6,74
2016-03-09,17.6,9.5,23.5,17.9,0.2,22.6,72
2016-03-10,26.4,14.5,43.0,18.1,0.2,22.8,74
2016-03-11,36.1,25.3,50.2,18.3,0.1,22.9,72
2016-03-12,33.8,25.7,42.8,18.4,0.0,22.9,70
2016-03-13,29.7,20.8,40.8,18.4,0.0,22.9,69
2016-03-14,21.6,10.6,27.1,18.4,0.3,22.9,69
2016-03-15,12.4,6.6,18.9,18.7,0.3,23.6,75
2016-03-16,13.5,3.4,21.2,19.0,0.2,24.1,82
2016-03-17,17.2,10.6,27.1,19.2,0.1,24.2,81
2016-03-18,12.4,6.1,23.2,19.3,0.1,24.3,82
2016-03-19,14.0,2.5,31.6,19.4,0.1,24.3,79
2016-03-20,26.4,9.7,42.8,19.5,0.1,24.3,77
2016-03-21,36.1,26.2,47.8,19.6,0.1,24.3,75
2016-03-22,28.8,15.6,39.0,19.7,0.0,24.2,73
2016-03-23,16.3,12.7,24.4,19.7,0.7,24.6,76
2016-03-24,19.4,12.7,27.7,20.4,0.1,25.4,88
2016-03-25,14.7,5.2,24.4,20.5,0.3,25.6,84
2016-03-26,11.1,2.5,24.8,20.8,0.0,26.2,89
2016-03-27,18.9,3.7,33.8,20.8,0.2,26.2,86
2016-03-28,30.2,20.5,44.4,21.0,0.0,26.3,83
2016-03-29,24.4,14.4,39.6,21.0,0.2,26.3,80
2016-03-30,15.3,5.5,23.7,21.2,0.4,26.5,81
2016-03-31,16.2,7.0,31.6,21.6,0.3,27.1,90
2016-04-01,16.3,5.0,34.2,21.9,0.1,27.3,90
2016-04-02,26.6,12.9,41.9,22.0,0.1,27.4,87
2016-04-03,31.5,19.9,47.5,22.1,0.1,27.4,82
2016-04-04,36.9,26.8,50.7,22.2,0.0,27.3,80
2016-04-05,24.1,14.0,32.9,22.2,0.0,27.0,77
2016-04-06,29.1,11.5,46.8,22.2,0.2,27.3,80
2016-04-07,35.2,23.7,50.9,22.4,0.0,27.3,76
2016-04-08,40.1,27.1,55.4,22.4,0.0,27.2,74
2016-04-09,34.2,30.6,46.0,22.4,0.0,26.8,73
2016-04-10,32.0,25.7,47.7,22.4,0.1,26.8,71
2016-04-11,32.7,27.1,47.8,22.5,0.1,26.8,71
2016-04-12,32.7,27.3,45.9,22.6,0.0,26.8,71
2016-04-13,38.3,27.7,53.1,22.6,0.1,26.8,71
2016-04-14,35.6,21.2,51.6,22.7,0.1,26.3,69
2016-04-15,23.2,20.1,33.4,22.8,0.9,26.1,69
2016-04-16,19.2,16.9,21.9,23.7,1.0,27.4,80
2016-04-17,20.3,14.9,30.6,24.7,0.3,28.3,88
2016-04-18,21.4,16.0,31.3,25.0,0.2,28.4,82
2016-04-19,23.2,12.4,34.3,25.2,0.0,28.6,82
2016-04-20,30.6,22.6,43.7,25.2,0.1,28.7,79
2016-04-21,36.0,26.4,51.3,25.3,0.1,28.7,76
2016-04-22,43.9,30.4,56.8,25.4,0.0,28.4,74
2016-04-23,34.7,24.1,50.7,25.4,0.1,28.0,71
2016-04-24,27.9,23.0,38.7,25.5,0.3,28.2,73
2016-04-25,30.7,20.8,45.5,25.8,0.3,28.5,74
2016-04-26,23.2,18.3,31.6,26.1,0.4,28.9,76
2016-04-27,25.9,19.6,38.7,26.5,0.4,29.3,79
2016-04-28,27.5,21.2,41.2,26.9,0.6,29.7,81
2016-04-29,26.2,21.4,32.5,27.5,0.6,30.4,82
2016-04-30,23.0,17.2,32.4,28.1,0.3,30.9,86
2016-05-01,27.9,16.2,44.4,28.4,0.1,31.3,87
2016-05-02,30.0,20.7,44.6,28.5,0.0,31.2,83
2016-05-03,35.6,20.8,52.2,28.5,0.1,31.2,81
2016-05-04,43.9,30.7,60.4,28.6,0.1,30.8,78
2016-05-05,46.8,34.2,61.2,28.7,0.0,30.1,75
2016-05-06,42.8,32.4,58.8,28.7,0.0,29.5,73
2016-05-07,30.4,25.3,37.2,28.7,0.1,29.0,71
2016-05-08,28.4,25.9,33.8,28.8,0.8,29.3,75
2016-05-09,32.2,27.5,42.1,29.6,0.9,30.1,81
2016-05-10,29.5,21.0,40.1,30.5,0.5,31.0,81
2016-05-11,27.1,16.2,40.3,31.0,0.0,31.4,81
2016-05-12,36.3,19.9,51.8,31.0,0.2,31.4,79
2016-05-13,44.1,28.2,59.0,31.2,0.0,30.9,76
2016-05-14,46.4,38.1,62.1,31.2,0.0,30.3,73
2016-05-15,38.5,30.6,52.2,31.2,0.1,29.5,72
2016-05-16,32.7,28.2,43.7,31.3,0.2,29.1,70
2016-05-17,33.3,27.7,47.5,31.5,0.2,29.5,71
2016-05-18,34.0,27.5,47.3,31.7,0.2,29.4,71
2016-05-19,39.4,30.4,52.7,31.9,0.0,29.5,71
2016-05-20,44.8,36.5,56.1,31.9,0.0,28.9,70
2016-05-21,46.0,34.7,56.1,31.9,0.0,28.3,68
2016-05-22,37.0,25.7,50.2,31.9,0.0,27.5,66
2016-05-23,36.0,23.5,48.4,31.9,0.0,27.1,64
2016-05-24,41.2,29.8,54.3,31.9,0.0,26.6,64
2016-05-25,36.9,28.4,50.2,31.9,0.0,25.8,62
2016-05-26,36.1,29.3,49.8,31.9,0.0,25.5,61
2016-05-27,33.4,27.9,45.0,31.9,0.1,25.0,59
2016-05-28,37.2,27.3,52.9,32.0,0.1,24.9,58
2016-05-29,40.6,31.5,55.2,32.1,0.0,24.5,58
2016-05-30,41.4,33.1,57.0,32.1,0.0,24.0,57
2016-05-31,42.4,32.4,55.4,32.1,0.0,23.4,56
2016-06-01,44.6,34.5,58.8,32.1,0.0,22.4,53
2016-06-02,48.6,36.9,62.6,32.1,0.0,21.5,50
2016-06-03,49.5,40.8,60.6,32.1,0.0,20.3,46
2016-06-04,51.4,38.8,67.1,32.1,0.0,19.2,44
2016-06-05,53.6,42.4,66.2,32.1,0.0,17.8,39
2016-06-06,50.2,40.6,67.3,32.1,0.0,16.5,35
2016-06-07,52.0,40.8,67.3,32.1,0.0,15.9,35
2016-06-08,49.3,42.6,61.3,32.1,0.0,14.8,31
2016-06-09,52.5,43.7,69.6,32.1,0.0,14.0,30
2016-06-10,56.5,46.0,69.8,32.1,0.0,13.0,27
2016-06-11,53.4,41.2,68.7,32.1,0.0,11.5,23
2016-06-12,49.6,40.8,64.0,32.1,0.0,10.5,22
2016-06-13,43.7,34.2,55.9,32.1,0.0,9.6,19
2016-06-14,44.4,31.5,56.1,32.1,0.0,8.7,18
2016-06-15,53.6,42.6,64.2,32.1,0.0,7.5,14
2016-06-16,52.0,42.3,63.3,32.1,0.0,6.0,9
2016-06-17,55.2,42.8,69.1,32.1,0.0,4.3,8
2016-06-18,57.9,43.9,73.0,32.1,0.0,2.6,5
2016-06-19,59.5,46.8,73.0,32.1,0.0,0.7,2
2016-06-20,63.3,52.0,77.0,32.1,0.0,0.1,1
2016-06-21,63.0,52.5,76.8,32.1,0.0,0.0,0
2016-06-22,55.8,46.6,74.7,32.1,0.0,0.0,0
2016-06-23,54.3,46.8,67.6,32.1,0.0,0.0,0
2016-06-24,58.6,44.4,71.4,32.1,0.0,0.0,0
2016-06-25,52.7,40.6,66.6,32.1,0.0,0.0,0
2016-06-26,55.9,43.7,69.1,32.1,0.0,0.0,0
2016-06-27,58.6,47.8,71.1,32.1,0.0,0.0,0
2016-06-28,60.1,49.5,73.9,32.1,0.0,0.0,0
2016-06-29,55.8,46.6,71.8,32.1,0.0,0.0,0
2016-06-30,51.6,44.1,63.3,32.1,0.0,0.0,0
2016-07-01,47.5,43.7,57.0,32.1,0.0,0.0,0
2016-07-02,47.8,39.4,59.5,32.1,0.4,0.0,0
2016-07-03,47.8,40.6,63.0,32.5,0.1,0.0,0
2016-07-04,53.2,42.1,67.5,32.6,0.1,0.0,0
2016-07-05,55.6,44.1,67.6,32.7,0.0,0.0,0
2016-07-06,56.8,46.6,68.4,32.7,0.0,0.0,0
2016-07-07,54.9,43.5,67.5,32.7,0.0,0.0,0
2016-07-08,57.7,47.5,71.6,32.7,0.0,0.0,0
2016-07-09,59.5,48.9,70.9,32.7,0.0,0.0,0
2016-07-10,59.4,44.6,71.1,32.7,0.0,0.0,0
2016-07-11,47.5,36.1,60.4,32.7,0.0,0.0,0
2016-07-12,53.2,39.4,66.9,32.7,0.0,0.0,0
2016-07-13,55.8,43.9,68.7,32.7,0.0,0.0,0
2016-07-14,56.1,42.6,69.8,32.7,0.0,0.0,0
2016-07-15,58.3,46.6,71.4,32.7,0.0,0.0,0
2016-07-16,59.2,50.7,71.6,32.7,0.0,0.0,0
2016-07-17,60.4,48.9,73.2,32.7,0.0,0.0,0
2016-07-18,54.0,46.2,62.6,32.7,0.0,0.0,0
2016-07-19,53.6,46.0,67.1,32.7,0.0,0.0,0
2016-07-20,54.1,46.2,67.5,32.7,0.0,0.0,0
2016-07-21,52.5,46.4,63.1,32.7,0.0,0.0,0
2016-07-22,55.9,47.5,70.9,32.7,0.3,0.0,0
2016-07-23,57.0,48.0,72.7,33.0,0.0,0.0,0
2016-07-24,58.3,46.8,73.0,33.0,0.0,0.0,0
2016-07-25,59.2,51.1,71.6,33.0,0.0,0.0,0
2016-07-26,54.9,44.1,71.2,33.0,0.0,0.0,0
2016-07-27,60.6,48.6,73.8,33.0,0.0,0.0,0
2016-07-28,61.7,50.0,74.5,33.0,0.0,0.0,0
2016-07-29,60.1,49.8,72.3,33.0,0.0,0.0,0
2016-07-30,59.7,49.1,73.2,33.0,0.0,0.0,0
2016-07-31,54.9,47.3,66.0,33.0,0.0,0.0,0
2016-08-01,57.7,45.5,71.1,33.0,0.0,0.0,0
2016-08-02,53.8,46.6,69.6,33.0,0.0,0.0,0
2016-08-03,57.4,49.1,72.5,33.0,0.2,0.0,0
2016-08-04,49.8,47.5,53.1,33.2,0.0,0.0,0
2016-08-05,52.9,46.4,64.9,33.2,0.0,0.0,0
2016-08-06,50.9,44.1,65.1,33.2,0.0,0.0,0
2016-08-07,54.9,43.7,70.3,33.2,0.1,0.0,0
2016-08-08,52.2,41.9,65.8,33.3,0.0,0.0,0
2016-08-09,57.4,48.9,70.9,33.3,0.0,0.0,0
2016-08-10,54.3,47.1,66.4,33.3,0.0,0.0,0
2016-08-11,48.4,39.6,66.9,33.3,0.0,0.0,0
2016-08-12,50.0,39.2,64.2,33.3,0.0,0.0,0
2016-08-13,53.6,44.1,68.2,33.3,0.0,0.0,0
2016-08-14,56.5,46.2,70.0,33.3,0.0,0.0,0
2016-08-15,56.1,48.0,70.3,33.3,0.0,0.0,0
2016-08-16,53.8,46.8,67.5,33.3,0.0,0.0,0
2016-08-17,50.9,45.0,62.8,33.3,0.0,0.0,0
2016-08-18,48.9,40.6,65.3,33.3,0.0,0.0,0
2016-08-19,49.5,39.9,65.1,33.3,0.0,0.0,0
2016-08-20,50.0,42.1,63.3,33.3,0.0,0.0,0
2016-08-21,55.6,43.0,70.7,33.3,0.0,0.0,0
2016-08-22,51.3,41.9,68.0,33.3,0.0,0.0,0
2016-08-23,46.4,39.6,60.8,33.3,0.0,0.0,0
2016-08-24,46.6,,61.0,33.3,0.0,0.0,0
2016-08-25,44.6,36.9,56.8,33.3,0.0,0.0,0
2016-08-26,42.3,34.5,57.4,33.3,0.0,0.0,0
2016-08-27,46.6,34.7,62.1,33.3,0.0,0.0,0
2016-08-28,47.3,40.5,59.4,33.3,0.0,0.0,0
2016-08-29,50.7,41.9,62.6,33.3,0.0,0.0,0
2016-08-30,51.3,40.1,67.8,33.3,0.0,0.0,0
2016-08-31,55.0,45.9,70.2,33.3,0.0,0.0,0
2016-09-01,55.2,44.2,70.0,33.3,0.1,0.0,0
2016-09-02,48.6,43.0,63.7,33.4,0.1,0.0,0
2016-09-03,49.6,43.9,65.3,33.5,0.1,0.0,0
2016-09-04,51.3,42.4,62.1,33.6,0.0,0.0,0
2016-09-05,51.1,42.3,63.9,33.6,0.0,0.0,0
2016-09-06,50.4,40.1,65.1,33.6,0.0,0.0,0
2016-09-07,49.8,40.1,64.9,33.6,0.0,0.0,0
2016-09-08,50.9,38.1,67.5,33.6,0.0,0.0,0
2016-09-09,44.8,36.7,57.9,33.6,0.0,0.0,0
2016-09-10,50.2,36.9,67.1,33.6,0.0,0.0,0
2016-09-11,52.7,40.8,67.8,33.6,0.0,0.0,0
2016-09-12,48.9,39.0,65.3,33.6,0.0,0.0,0
2016-09-13,45.7,36.5,61.7,33.6,0.0,0.0,0
2016-09-14,43.5,32.5,57.2,33.6,0.0,0.0,0
2016-09-15,36.5,28.8,46.4,33.6,0.0,0.0,0
2016-09-16,40.5,29.8,57.9,33.6,0.0,0.0,0
2016-09-17,43.0,32.5,57.9,33.6,0.0,0.0,0
2016-09-18,48.4,34.2,64.2,33.6,0.0,0.0,0
2016-09-19,53.6,40.5,69.6,33.6,0.0,0.0,0
2016-09-20,51.8,42.4,63.7,33.6,0.0,0.0,0
2016-09-21,45.7,39.9,54.7,33.6,0.1,0.0,0
2016-09-22,50.9,43.0,61.5,33.7,0.0,0.0,0
2016-09-23,31.6,24.8,48.2,33.7,0.2,0.0,0
2016-09-24,29.1,26.6,33.1,33.9,0.6,0.0,0
2016-09-25,33.1,24.1,47.5,34.5,0.0,0.7,3
2016-09-26,42.1,28.8,57.4,34.5,0.2,0.5,1
2016-09-27,47.5,38.7,62.6,34.7,0.0,0.0,0
2016-09-28,50.9,41.4,66.9,34.7,0.0,0.0,0
2016-09-29,45.7,40.6,55.8,34.7,0.0,0.0,0
2016-09-30,42.1,37.0,52.9,34.7,0.0,0.0,0
