Date,Niwot (663) Air Temperature Average (degF),Niwot (663) Air Temperature Minimum (degF),Niwot (663) Air Temperature Maximum (degF),Niwot (663) Precipitation Accumulation (in) Start of Day Values,Niwot (663) Precipitation Increment (in),Niwot (663) Snow Water Equivalent (in) Start of Day Values,Niwot (663) Snow Depth (in) Start of Day Values
2015-11-04,34.5,26.4,41.7,3.3,0.4,1.0,3
2015-11-05,24.4,21.6,28.4,3.7,0.1,1.2,6
2015-11-06,21.9,17.8,25.9,3.8,0.1,1.3,8
2015-11-07,27.9,8.2,45.1,3.9,0.1,1.4,8
2015-11-08,33.6,21.4,53.4,4.0,0.0,1.4,7
2015-11-09,36.1,24.3,48.6,4.0,0.0,1.5,7
2015-11-10,34.9,25.0,45.9,4.0,0.3,1.5,7
2015-11-11,21.4,18.9,26.6,4.3,0.2,1.7,10
2015-11-12,25.0,18.9,33.3,4.5,0.0,1.9,12
2015-11-13,33.1,21.4,42.4,4.5,0.0,1.9,11
2015-11-14,36.5,26.2,51.1,4.5,0.0,1.9,10
2015-11-15,34.7,25.5,45.1,4.5,0.0,1.9,9
2015-11-16,30.0,23.0,37.8,4.5,0.3,1.9,9
2015-11-17,23.4,20.1,27.1,4.8,0.0,2.2,12
2015-11-18,23.4,20.5,26.6,4.8,0.2,2.2,12
2015-11-19,28.0,21.2,32.5,5.0,0.1,2.4,13
2015-11-20,23.2,9.0,31.1,5.1,0.4,2.6,13
2015-11-21,19.4,8.6,24.8,5.5,0.1,2.9,17
2015-11-22,32.7,24.4,41.7,5.6,0.0,3.0,15
2015-11-23,35.8,27.9,43.3,5.6,0.0,3.0,14
2015-11-24,33.8,22.5,40.5,5.6,0.0,3.0,14
2015-11-25,24.6,13.8,38.8,5.6,0.0,3.0,14
2015-11-26,8.6,-1.7,15.1,5.6,0.0,3.0,14
2015-11-27,8.2,-6.0,21.0,5.6,0.1,3.0,14
2015-11-28,16.0,5.2,27.7,5.7,0.0,3.0,13
2015-11-29,14.2,2.5,27.0,5.7,0.1,3.0,14
2015-11-30,9.1,6.6,13.5,5.8,0.1,3.1,17
2015-12-01,18.9,8.1,27.0,5.9,0.0,3.2,17
2015-12-02,28.4,25.5,32.5,5.9,0.1,3.3,16
2015-12-03,27.5,17.8,40.5,6.0,0.0,3.3,16
2015-12-04,33.3,17.8,45.1,6.0,0.0,3.3,15
2015-12-05,26.1,19.2,35.6,6.0,0.0,3.3,15
2015-12-06,32.2,15.3,43.0,6.0,0.0,3.3,15
2015-12-07,35.2,30.6,40.8,6.0,0.0,3.3,15
2015-12-08,33.1,29.8,37.0,6.0,0.0,3.3,14
2015-12-09,38.8,32.9,43.7,6.0,0.0,3.3,14
2015-12-10,35.4,29.7,40.3,6.0,0.0,3.3,14
2015-12-11,27.9,21.4,36.7,6.0,0.1,3.3,14
2015-12-12,20.3,12.7,24.6,6.1,0.3,3.4,16
2015-12-13,24.3,9.5,38.1,6.4,0.1,3.6,20
2015-12-14,24.4,13.5,37.9,6.5,0.0,3.6,18
2015-12-15,12.2,7.5,19.0,6.5,0.6,3.7,18
2015-12-16,10.0,6.6,17.6,7.1,0.0,4.2,25
2015-12-17,7.9,6.3,15.3,7.1,0.0,4.3,23
2015-12-18,23.7,15.1,30.7,7.1,0.1,4.4,23
2015-12-19,36.9,26.8,43.0,7.2,0.1,4.6,22
2015-12-20,28.2,21.0,36.0,7.3,0.0,4.6,21
2015-12-21,22.6,19.2,26.8,7.3,0.2,4.6,23
2015-12-22,24.6,17.4,27.9,7.5,0.3,4.8,24
2015-12-23,13.3,5.7,18.7,7.8,0.2,5.1,27
2015-12-24,7.0,2.5,14.7,8.0,0.1,5.3,30
2015-12-25,13.1,4.3,22.3,8.1,0.1,5.3,27
2015-12-26,2.5,-12.6,10.4,8.2,0.0,5.4,27
2015-12-27,5.2,-12.5,28.0,8.2,0.1,5.4,26
2015-12-28,17.8,0.7,30.6,8.3,0.0,5.5,27
2015-12-29,8.2,-6.9,23.9,8.3,0.0,5.5,26
2015-12-30,12.0,3.6,19.6,8.3,0.0,5.5,26
2015-12-31,1.2,-11.6,15.6,8.3,0.0,5.5,26
2016-01-01,5.2,-11.6,27.9,8.3,0.0,5.5,25
2016-01-02,18.3,-2.0,37.0,8.3,0.1,5.5,25
2016-01-03,28.0,17.6,41.5,8.4,0.0,5.7,24
2016-01-04,24.8,12.6,42.3,8.4,0.0,5.7,25
2016-01-05,26.4,16.2,41.4,8.4,0.0,5.7,25
2016-01-06,25.5,15.6,36.5,8.4,0.0,5.7,25
2016-01-07,22.5,17.2,30.7,8.4,0.0,5.7,25
2016-01-08,13.6,0.9,24.8,8.4,0.0,5.7,24
2016-01-09,13.5,3.7,19.8,8.4,0.1,5.7,27
2016-01-10,16.0,10.2,24.1,8.5,0.0,5.8,27
2016-01-11,24.1,18.3,28.6,8.5,0.0,5.8,26
2016-01-12,24.4,17.2,30.7,8.5,0.0,5.8,25
2016-01-13,31.6,23.0,38.1,8.5,0.1,5.8,25
2016-01-14,20.1,14.7,29.7,8.6,0.0,5.8,25
2016-01-15,16.0,11.1,23.7,8.6,0.1,5.9,27
2016-01-16,13.1,7.3,19.4,8.7,0.1,5.9,27
2016-01-17,19.9,18.1,25.7,8.8,0.2,6.2,28
2016-01-18,27.3,20.5,34.7,9.0,0.0,6.3,30
2016-01-19,23.4,12.6,35.1,9.0,0.0,6.4,29
2016-01-20,21.2,15.8,28.2,9.0,0.0,6.4,27
2016-01-21,21.9,13.8,29.3,9.0,0.0,6.5,30
2016-01-22,34.3,27.7,45.0,9.0,0.0,6.5,29
2016-01-23,32.9,24.1,43.7,9.0,0.0,6.5,28
2016-01-24,25.7,17.2,37.0,9.0,0.0,6.5,28
2016-01-25,16.3,11.1,25.5,9.0,0.0,6.5,28
2016-01-26,22.5,11.1,30.0,9.0,0.1,6.5,29
2016-01-27,33.6,28.6,42.8,9.1,0.1,6.5,27
2016-01-28,35.4,28.2,43.3,9.2,0.0,6.6,28
2016-01-29,30.9,25.2,34.9,9.2,0.0,6.6,27
2016-01-30,31.6,20.1,41.2,9.2,0.3,6.7,28
2016-01-31,15.8,11.1,22.6,9.5,0.4,6.9,32
2016-02-01,12.4,6.3,18.1,9.9,0.4,7.2,36
2016-02-02,5.7,-3.3,12.6,10.3,0.1,7.7,44
2016-02-03,2.7,-0.2,9.5,10.4,0.2,7.8,43
2016-02-04,14.2,2.3,25.3,10.6,0.1,8.0,42
2016-02-05,17.4,9.1,27.5,10.7,0.0,8.2,40
2016-02-06,28.0,19.6,33.4,10.7,0.1,8.2,39
2016-02-07,23.4,21.0,27.9,10.8,0.0,8.3,38
2016-02-08,30.4,22.3,36.1,10.8,0.0,8.3,37
2016-02-09,34.9,30.9,39.9,10.8,0.0,8.3,36
2016-02-10,37.4,29.7,46.4,10.8,0.0,8.3,35
2016-02-11,35.4,31.6,41.9,10.8,0.0,8.3,35
2016-02-12,38.3,34.0,45.0,10.8,0.0,8.3,34
2016-02-13,36.7,27.9,43.5,10.8,0.0,8.3,34
2016-02-14,26.2,23.0,31.6,10.8,0.1,8.3,34
2016-02-15,27.3,22.8,29.8,10.9,0.3,8.3,34
2016-02-16,31.5,27.7,37.2,11.2,0.1,8.7,38
2016-02-17,41.2,32.7,50.0,11.3,0.1,8.9,37
2016-02-18,37.0,21.0,47.1,11.4,0.0,8.9,36
2016-02-19,32.4,20.7,47.1,11.4,0.0,9.0,38
2016-02-20,34.9,29.3,43.7,11.4,0.0,9.0,37
2016-02-21,27.9,17.6,35.8,11.4,0.0,9.0,37
2016-02-22,24.4,17.1,30.4,11.4,0.6,9.0,37
2016-02-23,17.1,9.3,28.9,12.0,0.2,9.4,45
2016-02-24,22.8,14.2,33.4,12.2,0.0,9.6,47
2016-02-25,30.2,21.0,39.2,12.2,0.1,9.8,47
2016-02-26,35.8,28.4,46.9,12.3,0.0,9.8,44
2016-02-27,37.2,27.9,45.3,12.3,0.0,9.8,43
2016-02-28,32.9,25.3,43.3,12.3,0.0,9.8,42
2016-02-29,28.9,18.5,40.8,12.3,0.2,9.8,41
2016-03-01,27.7,17.8,33.8,12.5,0.0,9.9,43
2016-03-02,30.7,25.2,35.8,12.5,0.1,10.0,42
2016-03-03,34.2,25.0,44.4,12.6,0.0,10.1,42
2016-03-04,34.3,23.5,42.4,12.6,0.0,10.1,40
2016-03-05,35.4,20.3,47.3,12.6,0.1,10.1,40
2016-03-06,37.4,28.9,48.0,12.7,0.0,10.1,39
2016-03-07,26.4,22.8,30.7,12.7,0.1,10.1,39
2016-03-08,21.9,11.7,30.9,12.8,0.1,10.2,40
2016-03-09,25.5,8.1,37.0,12.9,0.1,10.3,41
2016-03-10,34.7,24.3,46.6,13.0,0.1,10.3,41
2016-03-11,39.7,24.1,55.8,13.1,0.0,10.4,39
2016-03-12,36.9,29.1,49.1,13.1,0.0,10.3,37
2016-03-13,35.2,31.1,45.0,13.1,0.0,10.2,37
2016-03-14,29.1,19.0,38.1,13.1,0.3,10.2,37
2016-03-15,16.9,12.9,22.3,13.4,0.2,10.5,41
2016-03-16,17.4,12.4,20.3,13.6,0.3,10.6,42
2016-03-17,19.8,15.4,27.3,13.9,0.6,10.9,46
2016-03-18,12.0,7.7,17.6,14.5,0.4,11.5,53
2016-03-19,12.4,2.1,26.4,14.9,0.0,11.9,51
2016-03-20,32.4,15.1,43.9,14.9,0.2,11.9,51
2016-03-21,41.5,33.3,51.3,15.1,0.1,12.1,47
2016-03-22,39.2,27.7,49.8,15.2,0.1,12.1,45
2016-03-23,22.3,19.8,27.7,15.3,0.9,12.2,46
2016-03-24,24.3,18.1,32.9,16.2,0.1,13.0,51
2016-03-25,22.1,6.6,33.4,16.3,0.1,13.1,51
2016-03-26,12.7,-3.5,24.3,16.4,0.1,13.2,51
2016-03-27,25.9,8.6,35.8,16.5,0.1,13.3,52
2016-03-28,34.7,22.8,48.9,16.6,0.0,13.4,50
2016-03-29,32.7,21.0,46.0,16.6,0.1,13.4,48
2016-03-30,23.0,18.3,31.6,16.7,0.1,13.5,47
2016-03-31,19.2,7.3,27.0,16.8,0.2,13.7,51
2016-04-01,24.1,7.0,35.4,17.0,0.1,13.9,52
2016-04-02,34.7,21.0,47.5,17.1,0.1,13.9,50
2016-04-03,38.3,31.8,48.0,17.2,0.0,13.9,48
2016-04-04,40.8,30.4,51.8,17.2,0.0,13.9,46
2016-04-05,30.9,22.5,44.4,17.2,0.1,13.7,45
2016-04-06,35.8,23.2,47.1,17.3,0.1,13.8,47
2016-04-07,37.6,28.8,51.1,17.4,0.0,13.8,44
2016-04-08,36.3,23.4,49.5,17.4,0.0,13.6,42
2016-04-09,41.7,36.1,51.8,17.4,0.0,13.4,42
2016-04-10,36.9,30.0,47.8,17.4,0.0,13.2,40
2016-04-11,34.0,29.3,40.3,17.4,0.0,13.2,40
2016-04-12,39.0,32.2,53.1,17.4,0.1,13.2,40
2016-04-13,39.9,31.5,54.3,17.5,0.0,13.2,39
2016-04-14,43.5,32.2,56.1,17.5,0.0,13.0,38
2016-04-15,30.9,25.3,37.2,17.5,0.9,12.5,35
2016-04-16,24.3,21.7,28.8,18.4,1.6,13.3,44
2016-04-17,22.6,18.1,28.6,20.0,0.4,14.8,69
2016-04-18,22.8,12.4,36.0,20.4,0.1,15.2,65
2016-04-19,27.0,16.7,38.3,20.5,0.1,15.3,60
2016-04-20,33.8,26.2,42.1,20.6,0.1,15.4,58
2016-04-21,37.2,24.6,51.1,20.7,0.0,15.6,54
2016-04-22,42.3,25.9,60.1,20.7,0.0,15.6,50
2016-04-23,41.9,30.9,60.1,20.7,0.1,15.5,45
2016-04-24,34.3,27.7,43.0,20.8,0.0,15.4,44
2016-04-25,39.2,28.9,50.7,20.8,0.1,15.4,43
2016-04-26,30.0,25.2,42.4,20.9,0.4,15.3,41
2016-04-27,29.8,24.1,39.7,21.3,0.0,15.6,44
2016-04-28,25.5,23.5,28.6,21.3,0.1,15.6,43
2016-04-29,25.9,22.1,33.1,21.4,0.4,15.6,44
2016-04-30,23.5,20.8,32.5,21.8,0.5,16.0,46
2016-05-01,21.7,10.2,28.9,22.3,0.0,16.4,50
2016-05-02,31.1,9.0,45.3,22.3,0.2,16.5,52
2016-05-03,37.6,26.2,50.0,22.5,0.0,16.5,47
2016-05-04,41.7,25.5,59.2,22.5,0.0,16.2,43
2016-05-05,46.6,31.3,61.7,22.5,0.0,15.9,42
2016-05-06,45.0,33.8,61.7,22.5,0.0,15.4,40
2016-05-07,34.2,29.8,42.3,22.5,0.1,15.0,39
2016-05-08,35.2,29.7,47.1,22.6,0.2,15.0,38
2016-05-09,36.9,30.0,47.7,22.8,0.4,14.8,39
2016-05-10,36.0,26.8,44.8,23.2,0.2,14.8,38
2016-05-11,34.7,27.1,43.2,23.4,0.0,14.4,37
2016-05-12,41.9,31.8,52.0,23.4,0.0,14.3,37
2016-05-13,43.5,33.4,58.6,23.4,0.0,13.7,35
2016-05-14,42.4,31.1,61.2,23.4,0.0,13.1,33
2016-05-15,39.9,33.4,54.7,23.4,0.1,12.3,32
2016-05-16,32.9,28.2,36.7,23.5,0.4,12.2,30
2016-05-17,31.3,28.0,34.2,23.9,0.3,12.5,32
2016-05-18,35.6,25.3,46.9,24.2,0.3,12.7,35
2016-05-19,43.3,33.8,55.0,24.5,0.0,12.9,33
2016-05-20,46.8,37.2,56.3,24.5,0.0,12.3,31
2016-05-21,47.3,32.7,62.6,24.5,0.0,11.8,29
2016-05-22,44.8,31.1,54.3,24.5,0.0,11.0,27
2016-05-23,38.8,30.0,50.2,24.5,0.0,10.4,26
2016-05-24,41.9,28.9,51.8,24.5,0.0,10.0,24
2016-05-25,41.4,30.4,52.7,24.5,0.0,9.4,23
2016-05-26,36.9,30.0,47.5,24.5,0.2,8.8,22
2016-05-27,36.9,32.9,46.0,24.7,0.2,8.7,19
2016-05-28,41.9,31.6,53.2,24.9,0.0,8.8,22
2016-05-29,43.2,30.7,58.1,24.9,0.0,7.7,20
2016-05-30,44.4,31.8,60.1,24.9,0.0,6.9,18
2016-05-31,41.9,34.2,55.9,24.9,0.0,5.9,17
2016-06-01,43.9,34.0,57.0,24.9,0.0,4.6,12
2016-06-02,48.9,32.0,61.5,24.9,0.0,3.6,10
2016-06-03,51.1,38.8,63.0,24.9,0.0,2.5,6
2016-06-04,47.8,35.6,60.4,24.9,0.0,1.5,3
2016-06-05,48.6,34.3,64.8,24.9,0.1,0.9,2
2016-06-06,49.6,34.7,65.5,25.0,0.0,0.3,1
2016-06-07,51.3,35.6,69.6,25.0,0.0,0.0,0
2016-06-08,50.0,38.1,67.3,25.0,0.0,0.0,0
2016-06-09,56.5,41.9,70.5,25.0,0.0,0.0,0
2016-06-10,57.0,40.8,73.6,25.0,0.0,0.0,0
2016-06-11,54.3,40.3,70.5,25.0,0.0,0.0,0
2016-06-12,50.5,39.9,64.4,25.0,0.2,0.0,0
2016-06-13,45.3,36.3,57.6,25.2,0.2,0.0,0
2016-06-14,47.7,36.0,59.2,25.4,0.0,0.0,0
2016-06-15,56.3,39.4,69.8,25.4,0.0,0.0,0
2016-06-16,59.2,39.4,72.3,25.4,0.0,0.0,0
2016-06-17,56.5,42.8,70.5,25.4,0.0,0.0,0
2016-06-18,56.8,40.1,72.1,25.4,0.0,0.0,0
2016-06-19,60.1,45.9,76.1,25.4,0.0,0.0,0
2016-06-20,56.8,45.1,69.4,25.4,0.0,0.0,0
2016-06-21,63.1,46.4,78.4,25.4,0.0,0.0,0
2016-06-22,57.6,45.9,69.1,25.4,0.3,0.0,0
2016-06-23,55.2,42.6,70.2,25.7,0.1,0.0,0
2016-06-24,58.3,44.4,74.7,25.8,0.0,0.0,0
2016-06-25,56.5,43.2,72.3,25.8,0.0,0.0,0
2016-06-26,56.1,38.1,72.5,25.8,0.0,0.0,0
2016-06-27,56.7,38.3,73.8,25.8,0.0,0.0,0
2016-06-28,57.0,42.6,73.6,25.8,0.0,0.0,0
2016-06-29,57.4,42.8,73.2,25.8,0.0,0.0,0
2016-06-30,50.7,44.2,63.0,25.8,0.7,0.0,0
2016-07-01,50.4,45.7,57.7,26.5,0.1,0.0,0
2016-07-02,49.5,44.2,54.7,26.6,0.1,0.0,0
2016-07-03,55.0,48.4,66.2,26.7,0.0,0.0,0
2016-07-04,60.1,51.4,71.1,26.7,0.0,0.0,0
2016-07-05,56.5,42.4,67.3,26.7,0.0,0.0,0
2016-07-06,58.1,39.2,72.3,26.7,0.0,0.0,0
2016-07-07,57.0,42.8,69.8,26.7,0.0,0.0,0
2016-07-08,56.1,40.1,73.8,26.7,0.0,0.0,0
2016-07-09,60.3,39.6,75.0,26.7,0.0,0.0,0
2016-07-10,64.6,48.7,77.0,26.7,0.0,0.0,0
2016-07-11,56.5,40.5,66.9,26.7,0.0,0.0,0
2016-07-12,56.1,36.9,69.8,26.7,0.0,0.0,0
2016-07-13,56.8,41.4,71.4,26.7,0.0,0.0,0
2016-07-14,54.1,37.9,71.4,26.7,0.0,0.0,0
2016-07-15,52.9,37.9,72.9,26.7,0.0,0.0,0
2016-07-16,58.1,39.9,75.0,26.7,0.0,0.0,0
2016-07-17,56.8,43.2,71.1,26.7,0.0,0.0,0
2016-07-18,56.8,46.8,70.3,26.7,0.0,0.0,0
2016-07-19,61.3,53.8,72.3,26.7,0.0,0.0,0
2016-07-20,59.5,51.8,74.7,26.7,0.1,0.0,0
2016-07-21,57.6,48.7,71.1,26.8,0.0,0.0,0
2016-07-22,63.0,49.5,74.1,26.8,0.0,0.0,0
2016-07-23,62.4,46.4,76.3,26.8,0.0,0.0,0
2016-07-24,58.8,45.3,75.2,26.8,0.0,0.0,0
2016-07-25,58.8,44.1,77.2,26.8,0.0,0.0,0
2016-07-26,60.3,51.1,70.3,26.8,0.0,0.0,0
2016-07-27,61.3,47.3,75.0,26.8,0.0,0.0,0
2016-07-28,56.8,43.2,74.3,26.8,0.0,0.0,0
2016-07-29,55.9,44.6,67.5,26.8,0.0,0.0,0
2016-07-30,58.8,41.5,76.1,26.8,0.0,0.0,0
2016-07-31,54.9,45.5,74.1,26.8,0.3,0.0,0
2016-08-01,57.4,43.2,73.0,27.1,0.0,0.0,0
2016-08-02,55.2,42.6,73.2,27.1,0.0,0.0,0
2016-08-03,60.1,44.8,73.9,27.1,0.0,0.0,0
2016-08-04,49.8,44.8,56.5,27.1,0.1,0.0,0
2016-08-05,47.1,44.6,50.5,27.2,0.2,0.0,0
2016-08-06,52.7,44.2,62.6,27.4,0.0,0.0,0
2016-08-07,56.1,45.7,67.6,27.4,0.0,0.0,0
2016-08-08,55.9,45.0,68.0,27.4,0.0,0.0,0
2016-08-09,55.4,43.2,73.6,27.4,0.1,0.0,0
2016-08-10,55.6,41.2,68.5,27.5,0.0,0.0,0
2016-08-11,56.3,41.9,68.4,27.5,0.1,0.0,0
2016-08-12,50.4,36.1,64.8,27.6,0.0,0.0,0
2016-08-13,51.6,35.4,68.5,27.6,0.0,0.0,0
2016-08-14,53.4,36.9,71.1,27.6,0.0,0.0,0
2016-08-15,54.1,40.8,72.3,27.6,0.0,0.0,0
2016-08-16,52.5,39.4,68.7,27.6,0.0,0.0,0
2016-08-17,53.8,37.0,70.5,27.6,0.0,0.0,0
2016-08-18,50.4,42.6,65.8,27.6,0.8,0.0,0
2016-08-19,46.0,37.2,63.0,28.4,0.5,0.0,0
2016-08-20,45.1,34.3,60.8,28.9,0.0,0.0,0
2016-08-21,52.0,34.9,67.3,28.9,0.0,0.0,0
2016-08-22,54.1,45.3,64.6,28.9,0.1,0.0,0
2016-08-23,52.0,42.6,60.8,29.0,0.1,0.0,0
2016-08-24,43.3,35.2,49.6,29.1,0.3,0.0,0
2016-08-25,42.8,35.1,48.4,29.4,0.1,0.0,0
2016-08-26,47.1,37.8,58.6,29.5,0.0,0.0,0
2016-08-27,51.3,41.0,63.0,29.5,0.0,0.0,0
2016-08-28,49.6,39.9,64.0,29.5,0.0,0.0,0
2016-08-29,48.2,40.8,63.1,29.5,0.2,0.0,0
2016-08-30,46.4,36.7,56.5,29.7,0.3,0.0,0
2016-08-31,48.2,35.4,60.8,30.0,0.0,0.0,0
2016-09-01,52.2,38.8,68.2,30.0,0.1,0.0,0
2016-09-02,51.1,39.9,60.8,30.1,0.0,0.0,0
2016-09-03,52.9,42.6,67.5,30.1,0.1,0.0,0
2016-09-04,47.7,37.9,62.6,30.2,0.0,0.0,0
2016-09-05,51.3,35.1,65.3,30.2,0.0,0.0,0
2016-09-06,50.0,35.6,66.2,30.2,0.0,0.0,0
2016-09-07,54.0,40.1,63.5,30.2,0.0,0.0,0
2016-09-08,54.0,37.6,66.0,30.2,0.0,0.0,0
2016-09-09,45.7,30.4,61.9,30.2,0.0,0.0,0
2016-09-10,49.8,27.9,64.9,30.2,0.1,0.0,0
2016-09-11,55.6,46.4,67.3,30.3,0.0,0.0,0
2016-09-12,48.6,39.2,62.1,30.3,0.0,0.0,0
2016-09-13,44.6,38.7,58.6,30.3,0.1,0.0,0
2016-09-14,45.7,35.6,59.5,30.4,0.0,0.0,0
2016-09-15,43.0,31.6,56.1,30.4,0.0,0.0,0
2016-09-16,39.4,30.0,50.0,30.4,0.0,0.0,0
2016-09-17,46.0,30.7,56.3,30.4,0.0,0.0,0
2016-09-18,53.4,45.3,64.0,30.4,0.0,0.0,0
2016-09-19,55.0,43.5,68.7,30.4,0.0,0.0,0
2016-09-20,54.9,47.3,65.3,30.4,0.1,0.0,0
2016-09-21,50.9,40.1,59.2,30.5,0.0,0.0,0
2016-09-22,50.5,37.6,66.2,30.5,0.0,0.0,0
2016-09-23,46.9,33.1,66.2,30.5,0.0,0.0,0
2016-09-24,37.0,32.4,45.1,30.5,0.0,0.0,0
2016-09-25,39.7,31.1,53.1,30.5,0.0,0.0,0
2016-09-26,41.9,29.5,58.3,30.5,0.0,0.0,0
2016-09-27,46.6,30.7,63.3,30.5,0.0,0.0,0
2016-09-28,45.3,31.3,61.3,30.5,0.0,0.0,0
2016-09-29,51.6,35.8,66.6,30.5,0.0,0.0,0
2016-09-30,46.6,37.0,54.3,30.5,0.0,0.0,0
