Date,Wild Basin (1042) Air Temperature Average (degF),Wild Basin (1042) Air Temperature Minimum (degF),Wild Basin (1042) Air Temperature Maximum (degF),Wild Basin (1042) Precipitation Accumulation (in) Start of Day Values,Wild Basin (1042) Precipitation Increment (in),Wild Basin (1042) Snow Water Equivalent (in) Start of Day Values,Wild Basin (1042) Snow Depth (in) Start of Day Values
2016-07-15,55.6,44.1,74.3,27.6,0.0,0.0,0
2016-07-16,61.0,44.1,79.7,27.6,0.0,0.0,0
2016-07-17,61.3,46.6,78.4,27.6,0.0,0.0,0
2016-07-18,61.0,48.6,77.5,27.6,0.1,0.0,0
2016-07-19,64.4,54.7,75.9,27.7,0.0,0.0,0
2016-07-20,63.0,54.5,81.1,27.7,0.1,0.0,0
2016-07-21,59.2,50.0,71.8,27.8,0.0,0.0,0
2016-07-22,63.3,50.2,76.6,27.8,0.0,0.0,0
2016-07-23,63.9,50.0,79.2,27.8,0.0,0.0,0
2016-07-24,61.0,46.2,77.4,27.8,0.0,0.0,0
2016-07-25,61.9,46.9,79.5,27.8,0.0,0.0,0
2016-07-26,62.6,52.9,75.6,27.8,0.0,0.0,0
2016-07-27,64.8,49.8,80.4,27.8,0.0,0.0,0
2016-07-28,59.4,46.0,77.0,27.8,0.0,0.0,0
2016-07-29,58.8,46.6,72.9,27.8,0.0,0.0,0
2016-07-30,63.0,46.0,81.0,27.8,0.0,0.0,0
2016-07-31,60.4,51.4,76.5,27.8,0.0,0.0,0
2016-08-01,62.2,48.6,79.9,27.8,0.0,0.0,0
2016-08-02,58.8,47.5,76.3,27.8,0.0,0.0,0
2016-08-03,63.5,46.2,78.8,27.8,0.0,0.0,0
2016-08-04,52.3,45.3,59.2,27.8,0.0,0.0,0
2016-08-05,48.4,45.3,51.3,27.8,0.5,0.0,0
2016-08-06,55.4,46.9,66.4,28.3,0.0,0.0,0
2016-08-07,59.5,48.9,71.6,28.3,0.0,0.0,0
2016-08-08,59.7,50.4,71.8,28.3,0.0,0.0,0
2016-08-09,58.3,45.9,76.6,28.3,0.0,0.0,0
2016-08-10,56.8,46.2,73.0,28.3,0.1,0.0,0
2016-08-11,57.7,45.0,71.6,28.4,0.0,0.0,0
2016-08-12,52.5,40.6,69.6,28.4,0.0,0.0,0
2016-08-13,54.0,39.7,71.6,28.4,0.0,0.0,0
2016-08-14,56.8,40.8,73.9,28.4,0.0,0.0,0
2016-08-15,56.8,44.2,73.8,28.4,0.0,0.0,0
2016-08-16,58.5,46.4,72.1,28.4,0.0,0.0,0
2016-08-17,57.6,43.5,74.3,28.4,0.1,0.0,0
2016-08-18,52.7,41.2,66.9,28.5,0.4,0.0,0
2016-08-19,48.2,39.9,65.5,28.9,0.2,0.0,0
2016-08-20,48.4,36.9,64.8,29.1,0.0,0.0,0
2016-08-21,55.8,39.9,73.8,29.1,0.0,0.0,0
2016-08-22,56.1,46.2,69.1,29.1,0.1,0.0,0
2016-08-23,53.8,46.6,65.8,29.2,0.0,0.0,0
2016-08-24,46.8,37.9,55.0,29.2,0.2,0.0,0
2016-08-25,44.6,37.6,50.9,29.4,0.2,0.0,0
2016-08-26,48.7,41.5,60.1,29.6,0.0,0.0,0
2016-08-27,53.1,41.2,66.9,29.6,0.0,0.0,0
2016-08-28,51.3,43.3,64.4,29.6,0.0,0.0,0
2016-08-29,50.5,42.3,65.8,29.6,0.0,0.0,0
2016-08-30,50.5,40.8,62.4,29.6,0.1,0.0,0
2016-08-31,51.3,38.7,65.7,29.7,0.0,0.0,0
2016-09-01,57.2,42.3,73.0,29.7,0.1,0.0,0
2016-09-02,54.5,46.8,66.9,29.8,0.0,0.0,0
2016-09-03,54.7,45.5,70.5,29.8,0.1,0.0,0
2016-09-04,52.3,43.7,65.1,29.9,0.0,0.0,0
2016-09-05,55.0,42.1,69.8,29.9,0.0,0.0,0
2016-09-06,53.8,39.6,70.9,29.9,0.0,0.0,0
2016-09-07,56.3,42.8,68.2,29.9,0.0,0.0,0
2016-09-08,57.7,45.0,70.5,29.9,0.0,0.0,0
2016-09-09,48.9,32.9,63.1,29.9,0.0,0.0,0
2016-09-10,53.1,31.8,69.3,29.9,0.0,0.0,0
2016-09-11,57.0,47.8,71.4,29.9,0.0,0.0,0
2016-09-12,50.9,40.3,67.1,29.9,0.2,0.0,0
2016-09-13,44.1,38.5,56.5,30.1,0.1,0.0,0
2016-09-14,48.6,38.1,63.7,30.2,0.0,0.0,0
2016-09-15,46.2,35.1,56.7,30.2,0.0,0.0,0
2016-09-16,43.2,31.6,56.8,30.2,0.0,0.0,0
2016-09-17,48.7,33.4,60.4,30.2,0.0,0.0,0
2016-09-18,55.2,43.7,66.0,30.2,0.0,0.0,0
2016-09-19,56.8,44.8,71.8,30.2,0.0,0.0,0
2016-09-20,55.6,44.6,67.5,30.2,0.0,0.0,0
2016-09-21,54.5,45.1,65.7,30.2,0.0,0.0,0
2016-09-22,52.0,42.8,68.2,30.2,0.0,0.0,0
2016-09-23,47.3,32.7,66.2,30.2,0.0,0.0,0
2016-09-24,38.8,33.3,46.9,30.2,0.0,0.0,0
2016-09-25,41.2,32.2,55.0,30.2,0.0,0.0,0
2016-09-26,44.4,31.8,60.6,30.2,0.0,0.0,0
2016-09-27,51.8,36.7,65.3,30.2,0.0,0.0,0
2016-09-28,48.4,36.3,63.1,30.2,0.0,0.0,0
2016-09-29,53.8,39.6,67.5,30.2,0.1,0.0,0
2016-09-30,48.2,40.3,54.9,30.3,0.1,0.0,0
