Date,Cascade (386) Air Temperature Average (degF),Cascade (386) Air Temperature Minimum (degF),Cascade (386) Air Temperature Maximum (degF),Cascade (386) Precipitation Accumulation (in) Start of Day Values,Cascade (386) Precipitation Increment (in),Cascade (386) Snow Water Equivalent (in) Start of Day Values,Cascade (386) Snow Depth (in) Start of Day Values
2016-05-11,39.2,30.7,53.1,23.4,0.1,0.0,0
2016-05-12,45.0,29.3,62.1,23.5,0.1,0.0,0
2016-05-13,51.1,32.9,69.8,23.6,0.0,0.0,0
2016-05-14,52.7,37.0,66.0,23.6,0.0,0.0,0
2016-05-15,48.9,41.5,58.6,23.6,0.0,0.0,0
2016-05-16,45.1,36.1,,23.6,0.2,0.0,0
2016-05-17,40.6,35.2,53.4,23.8,0.3,0.0,0
2016-05-18,39.2,33.3,50.5,24.1,0.2,0.0,0
2016-05-19,43.3,33.3,,24.3,0.2,0.0,0
2016-05-20,50.0,42.6,61.0,24.5,0.0,0.0,0
2016-05-21,69.1,40.3,,24.5,0.0,0.0,0
2016-05-22,,39.7,,24.5,0.0,0.0,0
2016-05-23,,,,24.5,0.0,0.0,0
2016-05-24,,34.5,,24.5,0.0,0.0,0
2016-05-25,,34.5,59.7,24.5,0.0,0.0,0
2016-05-26,43.3,37.0,54.9,24.5,0.0,0.0,0
2016-05-27,45.1,35.6,61.0,24.5,0.0,0.0,0
2016-05-28,45.5,32.4,,24.5,0.0,0.0,0
2016-05-29,50.5,38.3,64.4,24.5,0.0,0.0,0
2016-05-30,50.4,37.0,64.6,24.5,0.0,0.0,0
2016-05-31,52.2,36.5,67.6,24.5,0.0,0.0,0
2016-06-01,51.4,37.2,64.4,24.5,0.0,0.0,0
2016-06-02,56.5,38.8,74.1,24.5,0.0,0.0,0
2016-06-03,57.6,41.7,75.9,24.5,0.0,0.0,0
2016-06-04,60.1,46.4,76.5,24.5,0.0,0.0,0
2016-06-05,60.4,45.7,77.9,24.5,0.0,0.0,0
2016-06-06,55.8,45.9,74.5,24.5,0.0,0.0,0
2016-06-07,58.6,44.6,73.8,24.5,0.0,0.0,0
2016-06-08,54.3,44.4,71.1,24.5,0.0,0.0,0
2016-06-09,59.9,43.2,80.4,24.5,0.0,0.0,0
2016-06-10,62.4,45.3,80.4,24.5,0.0,0.0,0
2016-06-11,57.2,45.9,72.0,24.5,0.0,0.0,0
2016-06-12,55.0,43.9,69.8,24.5,0.0,0.0,0
2016-06-13,50.0,38.1,65.8,24.5,0.1,0.0,0
2016-06-14,52.0,35.4,67.5,24.6,0.2,0.0,0
2016-06-15,55.2,39.6,71.1,24.8,0.0,0.0,0
2016-06-16,54.5,38.1,69.6,24.8,0.0,0.0,0
2016-06-17,57.7,39.9,73.9,24.8,0.0,0.0,0
2016-06-18,61.0,40.5,79.2,24.8,0.0,0.0,0
2016-06-19,64.2,44.2,81.3,24.8,0.0,0.0,0
2016-06-20,65.5,50.2,84.9,24.8,0.0,0.0,0
2016-06-21,63.0,50.0,81.7,24.8,0.0,0.0,0
2016-06-22,59.2,48.6,77.2,24.8,0.0,0.0,0
2016-06-23,61.7,50.5,75.7,24.8,0.0,0.0,0
2016-06-24,59.2,48.2,73.8,24.8,0.0,0.0,0
2016-06-25,57.2,48.0,72.1,24.8,0.0,0.0,0
2016-06-26,60.8,45.3,77.7,24.8,0.0,0.0,0
2016-06-27,63.1,46.2,80.8,24.8,0.0,0.0,0
2016-06-28,56.8,47.3,73.4,24.8,0.0,0.0,0
2016-06-29,56.3,45.0,74.3,24.8,0.0,0.0,0
2016-06-30,54.3,46.6,69.8,24.8,0.1,0.0,0
2016-07-01,51.4,49.1,54.7,24.9,0.8,0.0,0
2016-07-02,51.6,46.6,60.6,25.7,0.2,0.0,0
2016-07-03,57.6,43.2,,25.9,0.1,0.0,0
2016-07-04,56.8,43.0,,26.0,0.0,0.0,0
2016-07-05,62.8,49.3,74.1,26.0,0.0,0.0,0
2016-07-06,59.5,46.0,74.5,26.0,0.0,0.0,0
2016-07-07,59.7,46.2,73.8,26.0,0.0,0.0,0
2016-07-08,61.7,45.0,79.2,26.0,0.0,0.0,0
2016-07-09,62.8,46.9,79.9,26.0,0.0,0.0,0
2016-07-10,63.3,50.0,78.3,26.0,0.0,0.0,0
2016-07-11,58.8,44.6,74.8,26.0,0.0,0.0,0
2016-07-12,,43.3,,26.0,0.0,0.0,0
2016-07-13,61.0,45.1,77.2,26.0,0.0,0.0,0
2016-07-14,63.7,45.3,83.5,26.0,0.0,0.0,0
2016-07-15,63.0,46.4,80.1,26.0,0.0,0.0,0
2016-07-16,63.5,48.0,81.7,26.0,0.0,0.0,0
2016-07-17,63.5,48.4,82.4,26.0,0.0,0.0,0
2016-07-18,63.7,51.8,79.2,26.0,0.0,0.0,0
2016-07-19,56.7,48.7,73.4,26.0,0.3,0.0,0
2016-07-20,56.8,47.5,73.6,26.3,0.2,0.0,0
2016-07-21,58.3,47.1,74.3,26.5,0.2,0.0,0
2016-07-22,60.1,47.8,73.8,26.7,0.0,0.0,0
2016-07-23,62.1,47.1,81.9,26.7,0.0,0.0,0
2016-07-24,58.3,48.9,78.8,26.7,0.0,0.0,0
2016-07-25,60.1,48.0,75.6,26.7,0.1,0.0,0
2016-07-26,61.7,49.5,76.1,26.8,0.0,0.0,0
2016-07-27,63.7,46.0,82.4,26.8,0.0,0.0,0
2016-07-28,64.4,48.7,86.4,26.8,0.0,0.0,0
2016-07-29,65.1,48.6,85.5,26.8,0.0,0.0,0
2016-07-30,57.9,49.3,73.6,26.8,0.0,0.0,0
2016-07-31,57.6,49.8,75.4,26.8,0.0,0.0,0
2016-08-01,61.2,50.4,82.0,26.8,0.2,0.0,0
2016-08-02,59.0,51.1,73.9,27.0,0.0,0.0,0
2016-08-03,57.9,49.1,73.8,27.0,0.2,0.0,0
2016-08-04,56.1,49.8,66.6,27.2,0.2,0.0,0
2016-08-05,53.8,50.5,61.3,27.4,1.3,0.0,0
2016-08-06,54.1,46.6,65.1,28.7,0.2,0.0,0
2016-08-07,55.4,45.7,71.6,28.9,0.0,0.0,0
2016-08-08,55.0,46.4,,28.9,0.2,0.0,0
2016-08-09,55.6,46.6,,29.1,0.3,0.0,0
2016-08-10,57.6,47.8,,29.4,0.2,0.0,0
2016-08-11,,46.4,,29.6,0.1,0.0,0
2016-08-12,,42.4,,29.7,0.0,0.0,0
2016-08-13,,46.2,73.8,29.7,0.0,0.0,0
2016-08-14,56.3,41.2,72.5,29.7,0.0,0.0,0
2016-08-15,56.1,43.3,75.0,29.7,0.0,0.0,0
2016-08-16,55.8,46.8,69.4,29.7,0.0,0.0,0
2016-08-17,53.1,44.8,70.9,29.7,0.0,0.0,0
2016-08-18,50.2,42.6,64.0,29.7,0.2,0.0,0
2016-08-19,53.4,40.6,70.9,29.9,0.1,0.0,0
2016-08-20,54.7,42.1,69.8,30.0,0.0,0.0,0
2016-08-21,54.5,42.1,71.6,30.0,0.0,0.0,0
2016-08-22,50.2,43.3,63.9,30.0,0.0,0.0,0
2016-08-23,46.9,41.9,60.8,30.0,1.0,0.0,0
2016-08-24,,42.8,,31.0,0.0,0.0,0
2016-08-25,,39.2,,31.0,0.0,0.0,0
2016-08-26,50.7,42.3,63.1,31.0,0.1,0.0,0
2016-08-27,,,,31.1,0.3,0.0,0
2016-08-28,,,,31.4,0.2,0.0,0
2016-08-29,,,,31.6,0.0,0.0,0
2016-08-30,,,,31.6,0.1,0.0,0
2016-08-31,,,,31.7,0.0,0.0,0
2016-09-01,,,,31.7,0.1,0.0,0
2016-09-02,,,,31.8,0.1,0.0,0
2016-09-03,,,,31.9,0.1,0.0,0
2016-09-04,,,,32.0,0.1,0.0,0
2016-09-05,,,,32.1,0.2,0.0,0
2016-09-06,,,,32.3,0.0,0.0,0
2016-09-07,,,,32.3,0.0,0.0,0
2016-09-08,,,,32.3,0.0,0.0,0
2016-09-09,,,,32.3,0.0,0.0,0
2016-09-10,,,,32.3,0.0,0.0,0
2016-09-11,54.0,41.7,70.7,32.3,0.0,0.0,0
2016-09-12,48.2,41.0,64.9,32.3,0.0,0.0,0
2016-09-13,47.5,39.0,59.2,32.3,0.1,0.0,0
2016-09-14,48.2,41.0,72.9,32.4,0.0,0.0,0
2016-09-15,34.0,,62.6,32.4,0.0,0.0,0
2016-09-16,47.8,32.9,65.3,32.4,0.1,0.0,0
2016-09-17,48.9,34.7,66.6,32.5,0.0,0.0,0
2016-09-18,52.0,34.7,71.8,32.5,0.0,0.0,0
2016-09-19,55.6,40.3,75.2,32.5,0.0,0.0,0
2016-09-20,51.4,44.1,64.6,32.5,0.0,0.0,0
2016-09-21,50.4,45.5,58.1,32.5,0.3,0.0,0
2016-09-22,52.3,48.2,61.9,32.8,0.2,0.0,0
2016-09-23,38.8,29.7,51.8,33.0,0.6,0.0,0
2016-09-24,37.6,31.1,48.9,33.6,0.1,0.0,0
2016-09-25,45.9,32.0,64.6,33.7,0.0,0.0,0
2016-09-26,48.6,33.8,65.8,33.7,0.0,0.0,0
2016-09-27,50.0,36.7,66.9,33.7,0.0,0.0,0
2016-09-28,52.9,38.5,68.2,33.7,0.0,0.0,0
2016-09-29,46.9,45.1,53.2,33.7,0.2,0.0,0
2016-09-30,47.5,38.5,60.6,33.9,0.6,0.0,0
