Date,Rough And Tumble (939) Air Temperature Average (degF),Rough And Tumble (939) Air Temperature Minimum (degF),Rough And Tumble (939) Air Temperature Maximum (degF),Rough And Tumble (939) Precipitation Accumulation (in) Start of Day Values,Rough And Tumble (939) Precipitation Increment (in),Rough And Tumble (939) Snow Water Equivalent (in) Start of Day Values,Rough And Tumble (939) Snow Depth (in) Start of Day Values
2015-12-15,9.1,2.3,14.9,4.5,0.0,3.3,18
2015-12-16,4.6,-4.0,13.5,4.5,0.0,3.3,16
2015-12-17,7.2,0.3,17.8,4.5,0.1,3.3,16
2015-12-18,25.7,17.2,34.7,4.6,0.0,3.3,16
2015-12-19,31.6,21.6,39.6,4.6,0.0,3.3,15
2015-12-20,22.1,12.9,30.4,4.6,0.0,3.3,15
2015-12-21,19.9,14.0,26.6,4.6,0.1,3.3,14
2015-12-22,23.2,15.3,30.4,4.7,0.1,3.3,15
2015-12-23,11.3,0.3,19.4,4.8,0.1,3.4,16
2015-12-24,5.4,-2.9,13.6,4.9,0.0,3.5,17
2015-12-25,8.8,-1.7,17.6,4.9,0.2,3.5,17
2015-12-26,-2.6,-9.8,7.2,5.1,0.0,3.8,18
2015-12-27,3.4,-10.3,19.9,5.1,0.0,3.8,18
2015-12-28,14.5,2.3,26.2,5.1,0.0,3.8,18
2015-12-29,6.3,-2.2,17.6,5.1,0.0,3.8,18
2015-12-30,3.0,-5.1,15.1,5.1,0.0,3.8,18
2015-12-31,1.0,-10.5,14.7,5.1,0.0,3.8,18
2016-01-01,1.2,-10.8,21.0,5.1,0.0,3.8,17
2016-01-02,15.3,-2.2,32.0,5.1,0.0,3.8,17
2016-01-03,22.5,13.5,34.5,5.1,0.0,3.8,17
2016-01-04,20.1,9.7,33.4,5.1,0.0,3.8,17
2016-01-05,21.7,12.6,33.8,5.1,0.0,3.8,17
2016-01-06,20.7,12.9,29.3,5.1,0.0,3.8,17
2016-01-07,18.0,3.9,25.2,5.1,0.0,3.8,16
2016-01-08,9.0,0.3,17.4,5.1,0.0,3.8,16
2016-01-09,11.1,5.7,18.3,5.1,0.0,3.8,18
2016-01-10,8.6,1.0,18.3,5.1,0.0,3.8,18
2016-01-11,17.4,7.9,27.3,5.1,0.1,3.8,19
2016-01-12,22.3,10.2,34.5,5.2,0.0,3.8,17
2016-01-13,27.3,18.7,36.5,5.2,0.0,3.8,17
2016-01-14,16.3,9.0,25.5,5.2,0.0,3.8,17
2016-01-15,14.2,8.6,21.6,5.2,0.0,3.8,17
2016-01-16,13.3,5.5,19.2,5.2,0.0,3.8,17
2016-01-17,18.7,15.8,24.3,5.2,0.0,3.8,17
2016-01-18,26.2,14.9,35.8,5.2,0.0,3.8,17
2016-01-19,21.0,9.9,31.5,5.2,0.0,3.8,17
2016-01-20,17.2,8.4,25.2,5.2,0.0,3.8,17
2016-01-21,18.0,8.4,26.2,5.2,0.0,3.8,17
2016-01-22,29.1,19.4,41.4,5.2,0.0,3.8,17
2016-01-23,30.6,19.6,41.9,5.2,0.0,3.8,17
2016-01-24,21.7,11.1,29.5,5.2,0.0,3.8,17
2016-01-25,11.1,4.6,19.6,5.2,0.0,3.8,17
2016-01-26,16.2,4.6,25.0,5.2,0.0,3.8,17
2016-01-27,29.3,19.4,39.0,5.2,0.1,3.8,17
2016-01-28,32.0,23.4,41.7,5.3,0.0,3.8,17
2016-01-29,29.3,22.5,33.4,5.3,0.1,3.8,16
2016-01-30,31.3,18.0,39.0,5.4,0.2,3.8,17
2016-01-31,17.6,12.4,23.9,5.6,0.3,3.9,18
2016-02-01,12.4,4.6,18.0,5.9,0.3,4.4,22
2016-02-02,2.1,-4.7,9.7,6.2,0.1,4.7,24
2016-02-03,-1.8,-6.5,3.6,6.3,0.1,4.8,24
2016-02-04,12.2,0.3,21.6,6.4,0.0,4.9,25
2016-02-05,11.1,0.3,17.8,6.4,0.0,4.9,24
2016-02-06,23.9,15.3,31.6,6.4,0.0,4.9,23
2016-02-07,25.5,22.3,30.6,6.4,0.0,4.8,23
2016-02-08,28.8,19.9,35.8,6.4,0.0,4.8,22
2016-02-09,32.5,25.9,42.3,6.4,0.0,4.8,22
2016-02-10,34.3,25.2,45.9,6.4,0.0,4.8,21
2016-02-11,34.3,25.3,44.1,6.4,0.0,4.8,21
2016-02-12,33.3,22.5,46.2,6.4,0.0,4.8,21
2016-02-13,34.3,27.1,44.6,6.4,0.0,4.7,21
2016-02-14,25.9,20.8,33.4,6.4,0.0,4.7,21
2016-02-15,28.0,20.7,35.6,6.4,0.1,4.7,21
2016-02-16,32.5,27.1,41.0,6.5,0.0,4.7,20
2016-02-17,39.0,30.0,49.5,6.5,0.0,4.7,20
2016-02-18,35.1,24.1,42.1,6.5,0.0,4.7,19
2016-02-19,30.6,14.2,42.1,6.5,0.0,4.7,19
2016-02-20,33.1,25.2,42.4,6.5,0.0,4.7,20
2016-02-21,28.8,18.0,41.7,6.5,0.0,4.7,20
2016-02-22,21.4,13.5,27.1,6.5,0.7,4.7,20
2016-02-23,12.6,4.3,21.6,7.2,0.1,5.3,28
2016-02-24,19.4,4.6,31.3,7.3,0.0,5.5,30
2016-02-25,27.7,15.3,38.1,7.3,0.0,5.5,29
2016-02-26,31.3,22.5,44.4,7.3,0.0,5.5,28
2016-02-27,35.6,28.4,44.2,7.3,0.0,5.5,26
2016-02-28,30.6,21.2,42.3,7.3,0.0,5.5,26
2016-02-29,29.1,21.9,38.1,7.3,0.0,5.5,25
2016-03-01,29.7,21.9,38.3,7.3,0.1,5.5,25
2016-03-02,30.4,25.9,36.7,7.4,0.1,5.4,24
2016-03-03,33.8,25.7,46.0,7.5,0.0,5.4,24
2016-03-04,33.1,19.9,44.4,7.5,0.0,5.4,24
2016-03-05,31.8,16.9,45.5,7.5,0.0,5.4,24
2016-03-06,33.3,26.4,44.1,7.5,0.0,5.4,23
2016-03-07,25.3,15.6,32.9,7.5,0.0,5.4,23
2016-03-08,23.0,10.2,35.8,7.5,0.0,5.4,23
2016-03-09,22.1,7.5,34.5,7.5,0.0,5.4,23
2016-03-10,31.6,21.2,46.0,7.5,0.0,5.4,23
2016-03-11,37.4,21.6,53.2,7.5,0.0,5.4,23
2016-03-12,33.8,28.8,44.1,7.5,0.0,5.3,22
2016-03-13,32.4,25.3,44.4,7.5,0.0,5.3,22
2016-03-14,28.8,17.2,36.9,7.5,0.1,5.3,22
2016-03-15,16.9,10.9,23.5,7.6,0.1,5.5,24
2016-03-16,17.6,9.3,25.3,7.7,0.1,5.6,24
2016-03-17,26.2,17.4,34.7,7.8,0.1,5.6,24
2016-03-18,21.7,13.5,33.4,7.9,0.0,5.6,24
2016-03-19,21.2,7.5,34.2,7.9,0.0,5.6,24
2016-03-20,30.7,15.8,43.5,7.9,0.0,5.6,24
2016-03-21,39.6,27.1,49.5,7.9,0.0,5.6,24
2016-03-22,33.4,20.8,43.0,7.9,0.1,5.6,23
2016-03-23,20.3,15.1,28.2,8.0,0.0,5.7,23
2016-03-24,23.5,16.0,34.2,8.0,0.0,5.7,24
2016-03-25,20.7,5.0,30.7,8.0,0.0,5.7,24
2016-03-26,11.5,2.7,20.5,8.0,0.2,5.7,24
2016-03-27,21.7,-0.8,35.2,8.2,0.1,5.9,26
2016-03-28,34.9,24.4,44.8,8.3,0.0,5.9,26
2016-03-29,30.4,14.7,40.8,8.3,0.0,5.9,26
2016-03-30,19.0,10.2,27.7,8.3,0.0,5.9,26
2016-03-31,17.8,6.3,27.0,8.3,0.0,5.9,26
2016-04-01,20.3,3.7,32.9,8.3,0.0,5.9,25
2016-04-02,28.8,9.1,44.8,8.3,0.1,5.9,25
2016-04-03,35.6,27.1,46.6,8.4,0.0,5.9,25
2016-04-04,37.4,23.5,50.0,8.4,0.0,5.9,24
2016-04-05,28.8,19.6,42.6,8.4,0.1,5.9,23
2016-04-06,34.2,17.6,46.0,8.5,0.0,6.1,25
2016-04-07,38.7,26.6,53.1,8.5,0.0,6.1,24
2016-04-08,36.3,23.5,49.3,8.5,0.1,6.1,23
2016-04-09,37.0,27.3,49.6,8.6,0.0,6.0,22
2016-04-10,36.5,29.1,49.5,8.6,0.0,5.9,21
2016-04-11,35.1,27.0,46.2,8.6,0.0,5.9,19
2016-04-12,34.2,27.1,44.4,8.6,0.2,5.9,21
2016-04-13,37.2,25.7,51.3,8.8,0.0,6.0,21
2016-04-14,39.0,28.0,51.4,8.8,0.0,6.0,19
2016-04-15,32.2,23.0,39.2,8.8,1.3,6.0,17
2016-04-16,21.0,17.4,25.7,10.1,0.8,7.2,32
2016-04-17,21.2,16.0,29.7,10.9,0.1,8.0,40
2016-04-18,23.2,17.6,30.0,11.0,0.3,8.0,35
2016-04-19,26.6,19.9,35.6,11.3,0.0,8.3,34
2016-04-20,31.5,18.3,42.6,11.3,0.0,8.3,34
2016-04-21,36.3,26.2,48.9,11.3,0.0,8.3,32
2016-04-22,41.9,23.4,56.5,11.3,0.0,8.3,29
2016-04-23,39.9,28.8,54.0,11.3,0.1,8.2,28
2016-04-24,34.0,25.5,44.8,11.4,0.0,8.1,27
2016-04-25,36.1,25.0,49.1,11.4,0.0,8.0,26
2016-04-26,28.2,20.7,38.8,11.4,0.0,7.9,25
2016-04-27,30.6,23.5,40.6,11.4,0.1,7.9,25
2016-04-28,27.3,23.2,34.0,11.5,0.4,7.9,25
2016-04-29,23.7,18.7,29.1,11.9,0.6,8.5,28
2016-04-30,23.5,17.1,33.4,12.5,0.2,9.2,35
2016-05-01,21.0,14.9,29.8,12.7,0.1,9.4,37
2016-05-02,30.9,12.0,44.6,12.8,0.0,9.5,36
2016-05-03,36.1,24.8,48.9,12.8,0.0,9.5,32
2016-05-04,42.1,25.0,59.2,12.8,0.0,9.4,30
2016-05-05,46.2,29.1,61.3,12.8,0.0,9.1,28
2016-05-06,45.5,32.4,59.0,12.8,0.0,8.9,27
2016-05-07,38.1,28.2,49.3,12.8,0.0,8.6,25
2016-05-08,32.7,25.7,43.9,12.8,0.1,8.4,24
2016-05-09,37.2,28.0,47.8,12.9,0.0,8.3,24
2016-05-10,36.1,29.5,45.9,12.9,0.1,8.2,21
2016-05-11,33.8,21.7,44.4,13.0,0.0,8.1,22
2016-05-12,39.4,23.9,54.0,13.0,0.0,8.1,21
2016-05-13,43.7,28.8,58.8,13.0,0.0,7.8,21
2016-05-14,44.6,26.8,61.7,13.0,0.0,7.3,19
2016-05-15,37.8,29.8,53.1,13.0,0.2,6.5,17
2016-05-16,35.1,27.1,48.0,13.2,0.5,6.1,16
2016-05-17,30.6,26.2,37.4,13.7,0.2,6.2,20
2016-05-18,34.3,21.6,48.0,13.9,0.1,6.3,17
2016-05-19,41.4,28.4,55.2,14.0,0.0,6.3,16
2016-05-20,46.8,30.9,59.0,14.0,0.0,5.9,15
2016-05-21,51.4,41.9,62.8,14.0,0.3,5.3,12
2016-05-22,46.2,30.0,61.2,14.3,0.0,4.2,9
2016-05-23,40.6,28.8,54.3,14.3,0.1,3.3,7
2016-05-24,45.7,30.7,59.7,14.4,0.0,2.8,5
2016-05-25,42.4,28.8,56.1,14.4,0.0,1.9,4
2016-05-26,35.6,27.1,51.3,14.4,0.1,1.1,3
2016-05-27,36.0,30.6,48.9,14.5,0.0,1.0,2
2016-05-28,40.8,29.7,55.0,14.5,0.0,0.6,1
2016-05-29,43.0,29.1,61.0,14.5,0.0,0.0,0
2016-05-30,44.2,29.5,59.7,14.5,0.0,0.0,0
2016-05-31,44.6,28.8,61.2,14.5,0.0,0.0,0
2016-06-01,46.4,33.4,62.6,14.5,0.0,0.0,0
2016-06-02,48.9,30.7,64.2,14.5,0.0,0.0,0
2016-06-03,50.9,35.8,64.8,14.5,0.0,0.0,0
2016-06-04,51.6,37.9,70.0,14.5,0.0,0.0,0
2016-06-05,53.6,35.1,71.8,14.5,0.0,0.0,0
2016-06-06,50.0,38.1,67.8,14.5,0.1,0.0,0
2016-06-07,51.4,34.5,71.8,14.6,0.0,0.0,0
2016-06-08,,,68.4,14.6,0.0,0.0,0
2016-06-09,55.2,40.1,72.7,14.6,0.2,0.0,0
2016-06-10,57.9,41.7,75.2,14.8,0.0,0.0,0
2016-06-11,55.9,41.2,73.4,14.8,0.0,0.0,0
2016-06-12,53.4,39.4,64.4,14.8,0.0,0.0,0
2016-06-13,48.0,33.3,65.7,14.8,0.0,0.0,0
2016-06-14,48.0,30.9,63.1,14.8,0.0,0.0,0
2016-06-15,55.9,34.9,73.4,14.8,0.0,0.0,0
2016-06-16,57.2,40.3,72.0,14.8,0.0,0.0,0
2016-06-17,57.4,43.5,72.0,14.8,0.0,0.0,0
2016-06-18,59.7,37.2,78.3,14.8,0.0,0.0,0
2016-06-19,62.8,42.8,79.9,14.8,0.0,0.0,0
2016-06-20,59.9,45.5,81.0,14.8,0.4,0.0,0
2016-06-21,59.2,43.7,76.5,15.2,0.1,0.0,0
2016-06-22,55.2,41.0,72.0,15.3,0.1,0.0,0
2016-06-23,54.1,41.2,67.6,15.4,0.0,0.0,0
2016-06-24,53.6,39.6,72.9,15.4,0.1,0.0,0
2016-06-25,56.1,42.8,72.5,15.5,0.0,0.0,0
2016-06-26,56.7,38.5,73.0,15.5,0.0,0.0,0
2016-06-27,57.9,38.7,74.1,15.5,0.0,0.0,0
2016-06-28,57.0,40.3,73.6,15.5,0.0,0.0,0
2016-06-29,56.8,45.7,69.4,15.5,0.1,0.0,0
2016-06-30,50.7,43.9,59.9,15.6,0.4,0.0,0
2016-07-01,50.7,46.2,58.6,16.0,0.1,0.0,0
2016-07-02,48.2,43.0,58.6,16.1,0.4,0.0,0
2016-07-03,52.5,44.1,64.9,16.5,0.0,0.0,0
2016-07-04,55.0,43.9,66.0,16.5,0.0,0.0,0
2016-07-05,57.6,43.9,71.4,16.5,0.1,0.0,0
2016-07-06,59.5,45.5,70.3,16.6,0.0,0.0,0
2016-07-07,59.2,43.9,71.8,16.6,0.0,0.0,0
2016-07-08,54.1,41.4,69.4,16.6,0.0,0.0,0
2016-07-09,59.2,40.1,75.6,16.6,0.0,0.0,0
2016-07-10,63.7,49.3,75.2,16.6,0.0,0.0,0
2016-07-11,57.0,40.6,67.6,16.6,0.0,0.0,0
2016-07-12,56.7,36.5,72.3,16.6,0.0,0.0,0
2016-07-13,58.5,39.6,73.9,16.6,0.0,0.0,0
2016-07-14,56.5,41.0,72.5,16.6,0.0,0.0,0
2016-07-15,55.2,37.0,71.6,16.6,0.0,0.0,0
2016-07-16,58.6,39.2,74.7,16.6,0.0,0.0,0
2016-07-17,60.1,45.9,77.9,16.6,0.0,0.0,0
2016-07-18,55.6,43.0,75.7,16.6,0.0,0.0,0
2016-07-19,56.8,45.9,73.4,16.6,0.0,0.0,0
2016-07-20,59.4,46.4,73.9,16.6,0.0,0.0,0
2016-07-21,55.4,47.5,68.2,16.6,0.3,0.0,0
2016-07-22,57.0,44.1,72.0,16.9,0.0,0.0,0
2016-07-23,59.7,45.0,74.7,16.9,0.0,0.0,0
2016-07-24,57.7,42.8,74.7,16.9,0.0,0.0,0
2016-07-25,56.8,41.4,71.8,16.9,0.0,0.0,0
2016-07-26,52.7,41.4,68.9,16.9,0.1,0.0,0
2016-07-27,59.0,42.1,75.2,17.0,0.0,0.0,0
2016-07-28,59.5,41.4,75.7,17.0,0.0,0.0,0
2016-07-29,58.8,42.6,74.5,17.0,0.0,0.0,0
2016-07-30,58.3,41.4,74.8,17.0,0.0,0.0,0
2016-07-31,53.8,44.4,68.4,17.0,0.2,0.0,0
2016-08-01,58.3,45.7,70.7,17.2,0.0,0.0,0
2016-08-02,57.2,44.6,71.8,17.2,0.0,0.0,0
2016-08-03,57.9,44.6,73.2,17.2,0.0,0.0,0
2016-08-04,50.4,44.6,55.8,17.2,0.6,0.0,0
2016-08-05,49.3,44.4,54.9,17.8,0.0,0.0,0
2016-08-06,53.4,44.2,66.2,17.8,0.0,0.0,0
2016-08-07,53.8,41.4,70.0,17.8,0.2,0.0,0
2016-08-08,53.2,40.3,65.5,18.0,0.0,0.0,0
2016-08-09,53.4,41.2,70.3,18.0,0.0,0.0,0
2016-08-10,54.9,42.3,70.2,18.0,0.1,0.0,0
2016-08-11,54.7,42.4,68.0,18.1,0.0,0.0,0
2016-08-12,51.8,36.1,66.6,18.1,0.0,0.0,0
2016-08-13,49.8,34.9,65.5,18.1,0.0,0.0,0
2016-08-14,52.2,35.2,69.8,18.1,0.1,0.0,0
2016-08-15,54.0,39.6,71.1,18.2,0.0,0.0,0
2016-08-16,49.3,38.1,64.9,18.2,0.1,0.0,0
2016-08-17,49.3,38.7,65.3,18.3,0.0,0.0,0
2016-08-18,48.2,39.9,61.3,18.3,0.1,0.0,0
2016-08-19,48.6,36.0,65.3,18.4,0.0,0.0,0
2016-08-20,50.9,34.3,67.5,18.4,0.0,0.0,0
2016-08-21,51.4,35.1,68.7,18.4,0.0,0.0,0
2016-08-22,51.1,40.6,65.7,18.4,0.0,0.0,0
2016-08-23,47.5,37.8,62.6,18.4,0.7,0.0,0
2016-08-24,41.7,32.9,49.3,19.1,0.1,0.0,0
2016-08-25,42.1,31.8,55.4,19.2,0.2,0.0,0
2016-08-26,44.8,35.6,59.7,19.4,0.0,0.0,0
2016-08-27,46.8,35.2,57.7,19.4,0.0,0.0,0
2016-08-28,45.9,37.4,58.5,19.4,0.1,0.0,0
2016-08-29,41.9,34.3,54.7,19.5,0.2,0.0,0
2016-08-30,43.9,32.9,57.7,19.7,0.0,0.0,0
2016-08-31,48.4,35.2,64.2,19.7,0.0,0.0,0
2016-09-01,49.8,38.5,64.9,19.7,0.4,0.0,0
2016-09-02,48.2,39.2,61.2,20.1,0.0,0.0,0
2016-09-03,49.8,38.8,65.3,20.1,0.2,0.0,0
2016-09-04,50.7,38.5,59.9,20.3,0.1,0.0,0
2016-09-05,55.2,45.7,67.3,20.4,0.0,0.0,0
2016-09-06,54.1,43.7,63.0,20.4,0.0,0.0,0
2016-09-07,53.8,39.4,66.4,20.4,0.0,0.0,0
2016-09-08,53.2,40.3,67.3,20.4,0.0,0.0,0
2016-09-09,48.0,32.5,64.9,20.4,0.0,0.0,0
2016-09-10,46.6,27.0,67.3,20.4,0.0,0.0,0
2016-09-11,51.3,37.0,67.1,20.4,0.0,0.0,0
2016-09-12,49.1,35.8,63.7,20.4,0.0,0.0,0
2016-09-13,42.6,30.7,58.5,20.4,0.2,0.0,0
2016-09-14,45.5,37.0,58.5,20.6,0.0,0.0,0
2016-09-15,43.2,28.8,57.4,20.6,0.0,0.0,0
2016-09-16,41.4,26.8,58.5,20.6,0.0,0.0,0
2016-09-17,43.2,27.5,58.3,20.6,0.0,0.0,0
2016-09-18,51.4,38.7,65.3,20.6,0.0,0.0,0
2016-09-19,53.2,37.4,67.5,20.6,0.0,0.0,0
2016-09-20,52.2,40.1,63.9,20.6,0.0,0.0,0
2016-09-21,48.6,40.1,60.6,20.6,0.0,0.0,0
2016-09-22,50.4,37.4,63.0,20.6,0.1,0.0,0
2016-09-23,41.4,25.3,56.8,20.7,0.0,0.0,0
2016-09-24,34.3,25.2,44.8,20.7,0.0,0.0,0
2016-09-25,37.4,24.1,54.1,20.7,0.0,0.0,0
2016-09-26,42.3,26.4,61.3,20.7,0.0,0.0,0
2016-09-27,46.8,30.9,64.0,20.7,0.0,0.0,0
2016-09-28,47.3,32.5,63.0,20.7,0.0,0.0,0
2016-09-29,48.4,33.1,63.0,20.7,0.0,0.0,0
2016-09-30,46.4,34.9,59.0,20.7,0.1,0.0,0
