Date,Independence Pass (542) Air Temperature Average (degF),Independence Pass (542) Air Temperature Minimum (degF),Independence Pass (542) Air Temperature Maximum (degF),Independence Pass (542) Precipitation Accumulation (in) Start of Day Values,Independence Pass (542) Precipitation Increment (in),Independence Pass (542) Snow Water Equivalent (in) Start of Day Values,Independence Pass (542) Snow Depth (in) Start of Day Values
2015-11-09,21.0,7.0,40.6,2.7,0.0,2.1,11
2015-11-10,24.6,14.4,36.7,2.7,0.4,2.1,11
2015-11-11,11.7,-0.4,19.9,3.1,0.2,2.5,15
2015-11-12,11.3,1.2,33.8,3.3,0.0,2.6,17
2015-11-13,14.4,1.9,43.2,3.3,0.0,2.7,17
2015-11-14,18.3,7.9,46.0,3.3,0.0,2.7,16
2015-11-15,20.8,8.6,38.8,3.3,0.1,2.7,15
2015-11-16,21.7,16.0,30.6,3.4,0.5,2.8,14
2015-11-17,14.9,11.5,21.6,3.9,0.3,3.4,20
2015-11-18,19.4,14.9,29.3,4.2,0.2,3.7,24
2015-11-19,21.6,9.9,32.7,4.4,0.0,3.9,24
2015-11-20,20.3,-3.5,30.2,4.4,0.0,3.9,22
2015-11-21,3.6,-9.6,28.8,4.4,0.0,3.9,22
2015-11-22,14.5,1.6,40.3,4.4,0.0,3.9,21
2015-11-23,18.0,7.9,42.3,4.4,0.0,3.9,20
2015-11-24,22.3,10.9,36.0,4.4,0.1,3.9,20
2015-11-25,26.2,11.8,36.5,4.5,0.0,4.0,19
2015-11-26,23.5,13.5,29.3,4.5,0.0,4.0,18
2015-11-27,22.1,16.3,27.9,4.5,0.2,4.0,18
2015-11-28,19.2,12.2,25.3,4.7,0.1,4.2,21
2015-11-29,13.3,7.0,21.7,4.8,0.0,4.3,21
2015-11-30,4.5,1.2,9.7,4.8,0.2,4.3,21
2015-12-01,2.7,-5.4,17.4,5.0,0.0,4.4,22
2015-12-02,8.6,-4.4,33.8,5.0,0.0,4.4,22
2015-12-03,16.0,7.2,32.5,5.0,0.0,4.4,22
2015-12-04,23.0,9.9,40.8,5.0,0.1,4.4,21
2015-12-05,14.0,-3.3,23.5,5.1,0.0,4.6,21
2015-12-06,14.9,-2.6,39.0,5.1,0.0,4.6,21
2015-12-07,22.1,6.8,40.1,5.1,0.1,4.6,22
2015-12-08,24.6,16.3,34.7,5.2,0.0,4.7,20
2015-12-09,27.5,13.1,44.8,5.2,0.0,4.7,21
2015-12-10,29.8,14.2,38.7,5.2,0.0,4.7,21
2015-12-11,27.5,23.7,31.6,5.2,0.0,4.7,20
2015-12-12,18.7,10.0,25.5,5.2,0.4,4.7,20
2015-12-13,10.6,-4.0,33.4,5.6,0.0,5.1,26
2015-12-14,17.1,6.6,24.6,5.6,0.3,5.1,25
2015-12-15,6.1,-3.1,11.7,5.9,0.3,5.3,28
2015-12-16,1.4,-7.6,13.5,6.2,0.0,5.5,30
2015-12-17,-0.2,-8.3,9.5,6.2,0.1,5.6,29
2015-12-18,9.5,-1.8,29.3,6.3,0.1,5.7,29
2015-12-19,19.0,6.8,35.2,6.4,0.0,5.8,29
2015-12-20,16.2,3.4,25.3,6.4,0.1,5.9,28
2015-12-21,15.3,6.6,22.6,6.5,0.1,6.0,29
2015-12-22,19.8,13.8,26.6,6.6,0.4,6.2,30
2015-12-23,7.7,-4.2,16.9,7.0,0.1,6.5,33
2015-12-24,-0.4,-17.0,10.0,7.1,0.2,6.6,35
2015-12-25,8.2,-5.1,18.0,7.3,0.2,6.7,35
2015-12-26,-4.7,-15.0,14.7,7.5,0.0,6.9,35
2015-12-27,7.7,-2.0,30.6,7.5,0.0,6.9,34
2015-12-28,6.1,-3.3,22.6,7.5,0.0,6.9,33
2015-12-29,0.3,-8.5,18.0,7.5,0.0,6.9,33
2015-12-30,-2.6,-10.5,11.1,7.5,0.0,6.9,33
2015-12-31,-2.9,-14.3,15.1,7.5,0.0,6.9,32
2016-01-01,-1.8,-14.3,25.2,7.5,0.1,6.9,33
2016-01-02,9.1,-5.1,31.8,7.6,0.0,6.9,32
2016-01-03,15.3,5.0,36.3,7.6,0.1,7.0,32
2016-01-04,19.0,8.6,34.3,7.7,0.0,7.1,32
2016-01-05,16.3,7.0,31.5,7.7,0.0,7.2,31
2016-01-06,16.5,5.0,27.1,7.7,0.0,7.2,31
2016-01-07,12.7,-2.9,22.6,7.7,0.0,7.2,31
2016-01-08,8.8,-2.9,20.5,7.7,0.0,7.2,32
2016-01-09,8.4,-3.1,14.0,7.7,0.1,7.2,31
2016-01-10,-1.8,-11.7,15.3,7.8,0.0,7.2,33
2016-01-11,0.7,-9.9,25.2,7.8,0.0,7.2,34
2016-01-12,7.7,-4.5,32.2,7.8,0.1,7.2,33
2016-01-13,12.9,3.0,32.5,7.9,0.0,7.2,33
2016-01-14,7.2,-4.7,15.6,7.9,0.1,7.3,32
2016-01-15,7.9,-5.6,19.2,8.0,0.2,7.3,34
2016-01-16,9.1,4.5,15.4,8.2,0.4,7.6,36
2016-01-17,12.7,2.7,18.9,8.6,0.3,8.0,40
2016-01-18,18.0,2.7,32.7,8.9,0.1,8.3,44
2016-01-19,15.3,3.9,31.8,9.0,0.0,8.5,42
2016-01-20,12.9,6.1,21.2,9.0,0.4,8.5,42
2016-01-21,7.3,-0.4,23.5,9.4,0.0,8.8,45
2016-01-22,15.8,2.5,40.1,9.4,0.1,8.8,44
2016-01-23,19.0,9.1,38.8,9.5,0.0,8.9,42
2016-01-24,14.4,6.1,25.9,9.5,0.2,8.9,41
2016-01-25,9.9,0.0,20.7,9.7,0.1,9.2,45
2016-01-26,1.2,-11.2,22.6,9.8,0.0,9.2,45
2016-01-27,13.6,0.1,36.7,9.8,0.1,9.2,44
2016-01-28,16.7,5.2,40.1,9.9,0.0,9.3,42
2016-01-29,19.2,9.1,34.5,9.9,0.2,9.3,41
2016-01-30,24.3,14.0,35.2,10.1,0.5,9.5,42
2016-01-31,16.2,9.3,23.4,10.6,0.7,9.9,48
2016-02-01,15.3,3.0,26.4,11.3,0.3,10.7,51
2016-02-02,2.1,-5.8,14.5,11.6,0.0,11.0,55
2016-02-03,-4.7,-17.5,1.8,11.6,0.1,11.1,53
2016-02-04,0.3,-17.3,19.0,11.7,0.0,11.1,52
2016-02-05,1.6,-9.6,15.3,11.7,0.1,11.2,51
2016-02-06,9.7,-6.7,30.6,11.8,0.1,11.2,51
2016-02-07,12.9,2.8,27.9,11.9,0.0,11.3,49
2016-02-08,13.6,0.7,34.0,11.9,0.0,11.3,49
2016-02-09,16.2,3.2,41.9,11.9,0.1,11.3,48
2016-02-10,19.9,8.2,44.2,12.0,0.0,11.3,48
2016-02-11,20.7,7.0,41.9,12.0,0.1,11.3,47
2016-02-12,25.3,13.6,45.7,12.1,0.0,11.3,46
2016-02-13,24.1,10.2,42.4,12.1,0.0,11.4,46
2016-02-14,17.6,6.3,28.8,12.1,0.3,11.4,45
2016-02-15,23.5,17.8,31.6,12.4,0.1,11.7,50
2016-02-16,23.2,12.6,39.4,12.5,0.0,11.8,50
2016-02-17,27.5,12.2,47.8,12.5,0.0,11.8,50
2016-02-18,27.5,14.0,36.5,12.5,0.3,11.8,48
2016-02-19,19.6,1.9,39.4,12.8,0.0,12.1,50
2016-02-20,23.0,9.7,40.6,12.8,0.0,12.1,49
2016-02-21,20.1,7.9,42.6,12.8,0.0,12.1,49
2016-02-22,16.5,6.4,27.9,12.8,0.1,12.1,48
2016-02-23,10.9,-5.4,24.6,12.9,0.0,12.2,50
2016-02-24,7.3,-8.3,29.1,12.9,0.0,12.2,50
2016-02-25,15.4,0.7,37.4,12.9,0.1,12.2,49
2016-02-26,20.5,6.6,43.5,13.0,0.0,12.2,49
2016-02-27,25.2,11.5,42.4,13.0,0.0,12.2,48
2016-02-28,21.2,8.2,40.1,13.0,0.0,12.2,47
2016-02-29,22.3,8.8,37.4,13.0,0.0,12.2,47
2016-03-01,24.8,9.5,38.5,13.0,0.0,12.2,46
2016-03-02,24.3,14.9,34.9,13.0,0.0,12.2,46
2016-03-03,23.7,6.8,45.5,13.0,0.1,12.2,46
2016-03-04,25.3,15.1,42.8,13.1,0.0,12.2,46
2016-03-05,30.7,14.9,46.4,13.1,0.0,12.3,45
2016-03-06,28.8,19.4,36.7,13.1,0.1,12.3,44
2016-03-07,21.6,6.4,30.9,13.2,0.0,12.3,44
2016-03-08,12.6,-1.1,34.5,13.2,0.0,12.4,47
2016-03-09,14.4,0.9,30.6,13.2,0.0,12.3,46
2016-03-10,22.5,5.5,45.0,13.2,0.0,12.2,46
2016-03-11,30.9,15.8,50.2,13.2,0.1,12.2,45
2016-03-12,29.1,22.1,40.8,13.3,0.0,12.4,44
2016-03-13,28.4,16.7,41.0,13.3,0.1,12.4,44
2016-03-14,24.3,14.5,30.6,13.4,0.6,12.4,43
2016-03-15,14.7,8.4,22.5,14.0,0.4,12.8,54
2016-03-16,15.8,8.8,25.7,14.4,0.1,13.2,56
2016-03-17,22.6,13.8,33.4,14.5,0.0,13.3,55
2016-03-18,17.2,3.0,31.6,14.5,0.1,13.3,53
2016-03-19,13.1,-1.8,30.6,14.6,0.0,13.3,53
2016-03-20,19.6,-0.2,43.9,14.6,0.0,13.2,52
2016-03-21,30.6,14.4,47.3,14.6,0.1,13.2,50
2016-03-22,30.4,16.9,39.6,14.7,0.1,13.2,49
2016-03-23,16.2,12.9,21.6,14.8,0.5,13.4,50
2016-03-24,18.3,10.0,28.8,15.3,0.1,13.9,60
2016-03-25,16.7,5.0,26.2,15.4,0.8,14.0,56
2016-03-26,9.1,-3.6,24.6,16.2,0.1,14.6,66
2016-03-27,13.6,-7.2,34.9,16.3,0.0,14.6,64
2016-03-28,27.3,10.6,40.6,16.3,0.1,14.6,60
2016-03-29,25.3,0.9,37.0,16.4,0.3,14.7,58
2016-03-30,12.4,-2.7,25.9,16.7,0.1,14.9,61
2016-03-31,13.5,-2.6,29.8,16.8,0.1,15.0,61
2016-04-01,10.4,-4.7,29.7,16.9,0.0,15.0,60
2016-04-02,20.1,0.7,44.4,16.9,0.1,14.9,60
2016-04-03,28.8,11.7,44.4,17.0,0.0,15.2,57
2016-04-04,30.7,16.0,47.7,17.0,0.0,15.2,54
2016-04-05,22.1,5.2,36.9,17.0,0.3,15.2,52
2016-04-06,23.4,4.1,45.7,17.3,0.1,15.4,57
2016-04-07,31.6,16.0,51.4,17.4,0.0,15.5,53
2016-04-08,35.6,19.4,53.2,17.4,0.0,15.5,51
2016-04-09,33.4,25.0,44.1,17.4,0.0,15.3,50
2016-04-10,32.9,22.3,46.4,17.4,0.0,15.2,49
2016-04-11,31.3,20.8,45.0,17.4,0.1,15.1,48
2016-04-12,30.6,21.6,42.6,17.5,0.1,15.0,47
2016-04-13,33.4,20.7,52.9,17.6,0.0,15.1,47
2016-04-14,33.4,24.6,46.4,17.6,0.1,14.8,46
2016-04-15,29.3,23.0,38.7,17.7,1.0,14.8,44
2016-04-16,23.4,18.0,29.7,18.7,0.3,15.7,54
2016-04-17,21.0,15.4,33.1,19.0,0.2,16.1,56
2016-04-18,22.6,14.7,35.1,19.2,0.5,16.4,57
2016-04-19,24.1,14.9,34.0,19.7,0.1,16.8,60
2016-04-20,29.1,19.9,41.4,19.8,0.2,16.9,55
2016-04-21,30.0,15.4,50.0,20.0,0.0,17.1,54
2016-04-22,36.5,20.5,54.0,20.0,0.0,16.9,51
2016-04-23,34.2,18.9,48.6,20.0,0.1,16.4,48
2016-04-24,30.0,21.6,41.0,20.1,0.0,16.3,47
2016-04-25,31.5,19.9,47.1,20.1,0.2,16.3,47
2016-04-26,23.4,14.9,31.5,20.3,0.1,16.2,48
2016-04-27,25.2,18.3,38.7,20.4,0.2,16.3,50
2016-04-28,30.4,20.8,43.5,20.6,0.1,16.5,49
2016-04-29,25.9,22.1,36.0,20.7,0.4,16.5,48
2016-04-30,25.7,18.9,34.3,21.1,0.1,16.9,52
2016-05-01,23.0,16.0,33.1,21.2,0.0,17.0,50
2016-05-02,30.6,19.8,44.2,21.2,0.0,17.0,49
2016-05-03,32.4,15.3,50.9,21.2,0.0,16.9,47
2016-05-04,36.7,22.1,58.5,21.2,0.0,16.5,45
2016-05-05,40.1,25.9,57.7,21.2,0.0,15.7,43
2016-05-06,40.6,30.0,51.4,21.2,0.0,14.7,41
2016-05-07,32.7,22.3,41.9,21.2,0.1,14.0,39
2016-05-08,28.8,18.7,40.1,21.3,0.0,14.0,39
2016-05-09,32.2,25.7,44.2,21.3,0.4,13.7,35
2016-05-10,30.6,16.5,41.2,21.7,0.5,13.9,39
2016-05-11,27.1,12.9,39.4,22.2,0.0,14.4,42
2016-05-12,32.2,14.9,53.8,22.2,0.0,14.4,40
2016-05-13,38.1,22.1,57.0,22.2,0.0,13.9,37
2016-05-14,41.2,26.8,55.6,22.2,0.0,12.5,35
2016-05-15,35.8,26.8,49.6,22.2,0.3,11.5,32
2016-05-16,33.4,25.9,45.5,22.5,0.2,11.2,31
2016-05-17,32.9,25.0,44.6,22.7,0.0,10.8,29
2016-05-18,34.5,21.2,50.7,22.7,0.4,10.5,28
2016-05-19,36.7,27.7,51.1,23.1,0.0,9.8,27
2016-05-20,42.8,27.7,55.9,23.1,0.0,9.4,26
2016-05-21,47.5,36.3,58.8,23.1,0.0,8.4,23
2016-05-22,37.9,25.0,51.6,23.1,0.0,6.9,20
2016-05-23,35.1,24.3,50.2,23.1,0.0,5.6,17
2016-05-24,37.8,23.0,52.9,23.1,0.0,5.0,15
2016-05-25,36.3,25.0,50.2,23.1,0.0,3.8,11
2016-05-26,32.7,22.3,46.8,23.1,0.2,2.4,7
2016-05-27,32.5,25.2,44.2,23.3,0.1,2.0,7
2016-05-28,34.3,22.1,48.0,23.4,0.0,1.7,6
2016-05-29,37.2,25.3,53.6,23.4,0.0,0.7,2
2016-05-30,37.4,26.4,54.7,23.4,0.1,0.0,0
2016-05-31,38.1,25.0,56.8,23.5,0.0,0.0,0
2016-06-01,41.9,27.5,58.6,23.5,0.0,0.0,0
2016-06-02,43.5,28.0,61.5,23.5,0.0,0.0,0
2016-06-03,45.9,30.9,59.7,23.5,0.0,0.0,0
2016-06-04,47.7,32.2,67.3,23.5,0.0,0.0,0
2016-06-05,49.6,33.3,67.5,23.5,0.0,0.0,0
2016-06-06,48.2,34.5,66.9,23.5,0.0,0.0,0
2016-06-07,49.3,33.4,67.8,23.5,0.0,0.0,0
2016-06-08,46.2,33.1,65.3,23.5,0.0,0.0,0
2016-06-09,48.0,33.3,67.8,23.5,0.0,0.0,0
2016-06-10,52.7,37.2,72.0,23.5,0.0,0.0,0
2016-06-11,49.5,36.9,66.4,23.5,0.0,0.0,0
2016-06-12,43.2,34.2,62.2,23.5,0.4,0.0,0
2016-06-13,35.8,,51.4,23.9,0.0,0.0,0
2016-06-14,42.1,29.1,60.4,23.9,0.0,0.0,0
2016-06-15,49.1,30.4,69.1,23.9,0.0,0.0,0
2016-06-16,48.6,30.6,69.4,23.9,0.0,0.0,0
2016-06-17,51.3,32.4,71.8,23.9,0.0,0.0,0
2016-06-18,53.1,32.4,75.2,23.9,0.0,0.0,0
2016-06-19,55.9,37.2,75.9,23.9,0.0,0.0,0
2016-06-20,58.8,41.9,79.7,23.9,0.0,0.0,0
2016-06-21,57.2,42.3,78.3,23.9,0.0,0.0,0
2016-06-22,51.3,38.8,72.0,23.9,0.1,0.0,0
2016-06-23,50.2,38.7,70.5,24.0,0.0,0.0,0
2016-06-24,51.6,37.9,71.8,24.0,0.0,0.0,0
2016-06-25,53.2,39.0,71.1,24.0,0.0,0.0,0
2016-06-26,53.1,35.2,71.4,24.0,0.0,0.0,0
2016-06-27,54.1,35.2,73.0,24.0,0.0,0.0,0
2016-06-28,55.4,38.8,73.9,24.0,0.0,0.0,0
2016-06-29,51.1,39.0,70.5,24.0,0.1,0.0,0
2016-06-30,50.0,38.5,65.1,24.1,0.0,0.0,0
2016-07-01,48.4,45.7,57.6,24.1,0.2,0.0,0
2016-07-02,47.5,41.4,57.9,24.3,0.1,0.0,0
2016-07-03,45.7,36.1,59.4,24.4,0.1,0.0,0
2016-07-04,49.1,34.5,66.4,24.5,0.0,0.0,0
2016-07-05,51.6,37.2,69.1,24.5,0.0,0.0,0
2016-07-06,52.0,37.0,68.9,24.5,0.0,0.0,0
2016-07-07,52.9,37.8,70.0,24.5,0.0,0.0,0
2016-07-08,53.8,37.4,74.1,24.5,0.0,0.0,0
2016-07-09,54.0,38.1,71.8,24.5,0.0,0.0,0
2016-07-10,55.6,38.5,71.6,24.5,0.0,0.0,0
2016-07-11,50.0,35.2,67.5,24.5,0.0,0.0,0
2016-07-12,50.7,32.9,72.0,24.5,0.0,0.0,0
2016-07-13,52.9,35.8,73.6,24.5,0.0,0.0,0
2016-07-14,51.6,34.5,72.5,24.5,0.0,0.0,0
2016-07-15,53.1,36.0,73.6,24.5,0.0,0.0,0
2016-07-16,55.2,36.9,72.3,24.5,0.0,0.0,0
2016-07-17,55.2,38.7,73.2,24.5,0.0,0.0,0
2016-07-18,54.9,42.1,69.6,24.5,0.0,0.0,0
2016-07-19,52.2,39.6,66.9,24.5,0.1,0.0,0
2016-07-20,50.7,40.6,65.8,24.6,0.1,0.0,0
2016-07-21,49.8,40.1,65.5,24.7,0.2,0.0,0
2016-07-22,50.7,40.5,68.5,24.9,0.0,0.0,0
2016-07-23,54.9,39.6,73.4,24.9,0.0,0.0,0
2016-07-24,55.8,40.6,73.6,24.9,0.0,0.0,0
2016-07-25,52.9,39.4,69.1,24.9,0.0,0.0,0
2016-07-26,51.6,38.7,64.2,24.9,0.0,0.0,0
2016-07-27,54.7,36.9,74.1,24.9,0.0,0.0,0
2016-07-28,56.1,40.1,74.5,24.9,0.0,0.0,0
2016-07-29,55.4,39.0,73.0,24.9,0.0,0.0,0
2016-07-30,56.1,40.6,73.9,24.9,0.0,0.0,0
2016-07-31,51.8,40.8,69.6,24.9,0.4,0.0,0
2016-08-01,53.6,38.1,72.0,25.3,0.0,0.0,0
2016-08-02,54.7,41.7,70.2,25.3,0.0,0.0,0
2016-08-03,53.6,42.4,74.3,25.3,0.2,0.0,0
2016-08-04,48.6,43.7,54.3,25.5,0.8,0.0,0
2016-08-05,49.5,43.2,59.5,26.3,0.2,0.0,0
2016-08-06,50.0,40.1,64.0,26.5,0.0,0.0,0
2016-08-07,51.3,37.2,68.5,26.5,0.0,0.0,0
2016-08-08,48.2,39.6,63.7,26.5,0.1,0.0,0
2016-08-09,48.6,37.9,68.7,26.6,0.0,0.0,0
2016-08-10,49.5,37.4,65.5,26.6,0.0,0.0,0
2016-08-11,48.9,36.3,66.2,26.6,0.0,0.0,0
2016-08-12,46.0,32.7,64.2,26.6,0.0,0.0,0
2016-08-13,46.2,30.9,67.8,26.6,0.0,0.0,0
2016-08-14,48.6,33.1,68.4,26.6,0.0,0.0,0
2016-08-15,50.0,34.3,70.2,26.6,0.0,0.0,0
2016-08-16,47.5,36.0,65.3,26.6,0.0,0.0,0
2016-08-17,46.2,35.1,65.3,26.6,0.1,0.0,0
2016-08-18,45.9,33.8,61.0,26.7,0.0,0.0,0
2016-08-19,46.4,33.1,62.8,26.7,0.0,0.0,0
2016-08-20,48.0,33.3,67.5,26.7,0.0,0.0,0
2016-08-21,51.4,33.8,67.5,26.7,0.0,0.0,0
2016-08-22,43.9,34.3,66.0,26.7,0.6,0.0,0
2016-08-23,41.4,32.5,59.9,27.3,0.6,0.0,0
2016-08-24,42.8,32.4,59.7,27.9,0.0,0.0,0
2016-08-25,39.2,29.8,55.4,27.9,0.3,0.0,0
2016-08-26,41.9,31.8,56.8,28.2,0.0,0.0,0
2016-08-27,41.0,29.5,53.8,28.2,0.1,0.0,0
2016-08-28,41.4,34.0,61.5,28.3,0.1,0.0,0
2016-08-29,42.6,33.4,58.8,28.4,0.1,0.0,0
2016-08-30,42.3,31.8,61.3,28.5,0.0,0.0,0
2016-08-31,48.0,34.0,66.9,28.5,0.0,0.0,0
2016-09-01,48.2,37.4,66.2,28.5,0.2,0.0,0
2016-09-02,45.9,36.5,59.7,28.7,0.1,0.0,0
2016-09-03,44.6,35.8,61.5,28.8,0.2,0.0,0
2016-09-04,44.2,32.2,58.3,29.0,0.1,0.0,0
2016-09-05,44.1,28.4,64.8,29.1,0.0,0.0,0
2016-09-06,46.4,32.9,62.2,29.1,0.0,0.0,0
2016-09-07,46.2,32.5,65.1,29.1,0.0,0.0,0
2016-09-08,44.8,28.8,66.2,29.1,0.0,0.0,0
2016-09-09,42.6,28.4,62.8,29.1,0.0,0.0,0
2016-09-10,44.1,27.7,66.6,29.1,0.0,0.0,0
2016-09-11,45.9,30.9,64.9,29.1,0.0,0.0,0
2016-09-12,43.9,31.5,61.5,29.1,0.0,0.0,0
2016-09-13,41.2,29.7,55.2,29.1,0.1,0.0,0
2016-09-14,42.8,33.3,58.6,29.2,0.0,0.0,0
2016-09-15,37.8,26.2,55.0,29.2,0.0,0.0,0
2016-09-16,37.4,24.6,58.5,29.2,0.0,0.0,0
2016-09-17,38.5,25.9,57.7,29.2,0.0,0.0,0
2016-09-18,41.9,26.4,64.8,29.2,0.0,0.0,0
2016-09-19,46.6,30.4,69.4,29.2,0.0,0.0,0
2016-09-20,47.5,36.3,61.0,29.2,0.0,0.0,0
2016-09-21,45.7,37.8,57.2,29.2,0.0,0.0,0
2016-09-22,50.2,39.6,62.6,29.2,0.0,0.0,0
2016-09-23,35.1,19.2,49.8,29.2,0.3,0.0,0
2016-09-24,30.2,18.3,37.8,29.5,0.0,0.0,0
2016-09-25,36.0,25.3,56.1,29.5,0.0,0.0,0
2016-09-26,39.9,25.2,62.8,29.5,0.0,0.0,0
2016-09-27,42.6,28.8,64.9,29.5,0.0,0.0,0
2016-09-28,43.9,30.9,64.0,29.5,0.0,0.0,0
2016-09-29,44.4,32.0,55.9,29.5,0.0,0.0,0
2016-09-30,41.9,31.5,53.8,29.5,0.1,0.0,0
