Date,Whiskey Ck (857) Air Temperature Average (degF),Whiskey Ck (857) Air Temperature Minimum (degF),Whiskey Ck (857) Air Temperature Maximum (degF),Whiskey Ck (857) Precipitation Accumulation (in) Start of Day Values,Whiskey Ck (857) Precipitation Increment (in),Whiskey Ck (857) Snow Water Equivalent (in) Start of Day Values,Whiskey Ck (857) Snow Depth (in) Start of Day Values
2016-01-26,14.2,-1.3,27.7,10.2,0.1,5.5,24
2016-01-27,25.3,9.5,43.0,10.3,0.0,5.6,25
2016-01-28,32.9,21.9,44.4,10.3,0.0,5.6,23
2016-01-29,31.8,27.5,39.0,10.3,0.0,5.7,22
2016-01-30,32.7,28.2,40.3,10.3,0.0,5.7,22
2016-01-31,27.1,23.2,29.3,10.3,0.2,5.7,22
2016-02-01,14.7,7.5,25.2,10.5,0.3,5.9,24
2016-02-02,5.0,-8.5,11.3,10.8,0.1,6.1,28
2016-02-03,0.7,-8.5,10.4,10.9,0.1,6.1,29
2016-02-04,13.1,-0.4,30.2,11.0,0.1,6.2,28
2016-02-05,13.3,6.1,22.1,11.1,0.0,6.4,27
2016-02-06,27.5,16.0,37.8,11.1,0.0,6.4,27
2016-02-07,29.1,23.9,39.4,11.1,0.0,6.4,26
2016-02-08,32.0,24.1,45.3,11.1,0.0,6.4,26
2016-02-09,32.4,23.5,47.5,11.1,0.0,6.4,25
2016-02-10,37.9,29.1,49.5,11.1,0.0,6.4,25
2016-02-11,37.8,29.8,49.1,11.1,0.0,6.4,24
2016-02-12,40.5,32.9,53.1,11.1,0.0,6.4,24
2016-02-13,36.9,28.2,47.3,11.1,0.0,6.4,23
2016-02-14,31.8,24.4,41.4,11.1,0.0,6.2,23
2016-02-15,30.0,23.2,40.3,11.1,0.0,6.2,23
2016-02-16,35.6,28.8,45.7,11.1,0.0,6.2,23
2016-02-17,40.1,30.0,50.7,11.1,0.0,6.2,22
2016-02-18,39.9,34.9,46.4,11.1,0.0,6.2,22
2016-02-19,36.3,31.3,44.4,11.1,0.0,6.2,21
2016-02-20,36.9,26.8,48.2,11.1,0.0,6.2,21
2016-02-21,30.0,18.9,39.2,11.1,0.0,6.2,20
2016-02-22,25.7,18.3,36.9,11.1,0.1,6.1,20
2016-02-23,13.3,2.7,20.3,11.2,0.3,6.3,26
2016-02-24,23.2,10.9,35.6,11.5,0.1,6.4,27
2016-02-25,30.4,22.6,42.3,11.6,0.0,6.5,24
2016-02-26,33.4,25.0,47.5,11.6,0.0,6.5,23
2016-02-27,37.9,32.2,48.4,11.6,0.0,6.5,22
2016-02-28,35.2,27.9,45.3,11.6,0.0,6.5,21
2016-02-29,35.1,29.1,44.4,11.6,0.0,6.5,21
2016-03-01,34.3,25.5,44.1,11.6,0.0,6.5,21
2016-03-02,35.6,28.8,45.7,11.6,0.0,6.4,20
2016-03-03,37.4,28.8,49.3,11.6,0.0,6.4,19
2016-03-04,36.5,22.3,52.7,11.6,0.0,6.3,18
2016-03-05,34.2,18.7,47.5,11.6,0.0,6.1,18
2016-03-06,34.9,29.8,41.7,11.6,0.0,6.1,17
2016-03-07,27.1,20.7,34.3,11.6,0.0,6.0,16
2016-03-08,23.5,14.4,34.0,11.6,0.0,5.9,17
2016-03-09,27.3,12.9,42.3,11.6,0.1,5.9,19
2016-03-10,33.1,21.7,51.6,11.7,0.1,6.0,17
2016-03-11,38.1,26.2,55.9,11.8,0.0,5.9,16
2016-03-12,36.0,28.8,47.5,11.8,0.0,5.4,15
2016-03-13,32.5,24.8,43.7,11.8,0.1,5.2,15
2016-03-14,34.5,28.8,45.3,11.9,0.0,5.1,14
2016-03-15,27.0,20.1,35.8,11.9,0.0,4.8,13
2016-03-16,28.0,21.9,39.2,11.9,0.0,4.6,13
2016-03-17,29.5,16.7,45.3,11.9,0.0,4.4,13
2016-03-18,24.3,10.2,43.9,11.9,0.0,4.2,12
2016-03-19,20.8,8.2,30.6,11.9,0.0,4.0,10
2016-03-20,32.5,22.6,45.0,11.9,0.0,4.1,11
2016-03-21,40.8,33.8,51.3,11.9,0.0,4.0,10
2016-03-22,38.1,21.4,47.8,11.9,0.0,3.6,8
2016-03-23,19.0,14.9,23.9,11.9,0.2,3.1,9
2016-03-24,26.6,16.2,37.8,12.1,0.1,3.3,11
2016-03-25,27.9,21.4,40.3,12.2,0.1,3.6,9
2016-03-26,15.3,7.3,21.6,12.3,0.5,3.6,8
2016-03-27,24.6,6.8,37.0,12.8,0.3,4.7,20
2016-03-28,36.3,28.8,48.0,13.1,0.0,4.3,15
2016-03-29,34.3,16.9,48.9,13.1,0.0,4.3,13
2016-03-30,19.6,15.6,27.1,13.1,0.0,4.3,13
2016-03-31,19.8,11.3,32.0,13.1,0.4,4.3,13
2016-04-01,15.8,1.9,26.4,13.5,0.2,4.8,19
2016-04-02,28.8,10.4,43.7,13.7,0.1,4.8,18
2016-04-03,35.1,27.1,50.2,13.8,0.0,4.8,15
2016-04-04,38.5,22.5,53.6,13.8,0.0,4.7,12
2016-04-05,38.1,24.8,51.1,13.8,0.0,4.4,12
2016-04-06,37.4,24.3,49.1,13.8,0.0,4.0,12
2016-04-07,39.2,27.9,54.0,13.8,0.0,3.6,10
2016-04-08,37.8,27.1,46.2,13.8,0.0,2.7,9
2016-04-09,38.5,32.4,48.6,13.8,0.0,2.3,8
2016-04-10,38.7,29.7,49.5,13.8,0.0,1.9,6
2016-04-11,30.9,24.1,38.5,13.8,0.3,1.8,5
2016-04-12,32.7,27.1,43.0,14.1,0.2,1.9,6
2016-04-13,34.3,23.9,50.0,14.3,0.0,2.0,7
2016-04-14,44.2,36.0,53.8,14.3,0.0,2.0,7
2016-04-15,37.4,26.2,48.0,14.3,0.1,1.6,5
2016-04-16,21.4,14.2,26.4,14.4,1.0,1.4,6
2016-04-17,20.1,14.7,26.6,15.4,0.1,1.9,8
2016-04-18,22.6,17.1,27.1,15.5,0.5,2.1,9
2016-04-19,27.1,20.5,37.0,16.0,0.6,3.2,22
2016-04-20,31.6,24.8,38.8,16.6,0.1,3.3,19
2016-04-21,34.9,19.9,51.3,16.7,0.1,3.4,18
2016-04-22,40.5,25.2,58.8,16.8,0.0,3.2,15
2016-04-23,43.2,34.9,55.4,16.8,0.0,2.7,10
2016-04-24,39.0,29.5,51.1,16.8,0.0,2.3,10
2016-04-25,38.3,22.1,51.4,16.8,0.0,1.8,7
2016-04-26,25.7,19.9,37.4,16.8,0.1,1.4,4
2016-04-27,32.9,23.5,46.2,16.9,0.1,1.5,6
2016-04-28,28.8,25.7,32.5,17.0,0.4,1.1,5
2016-04-29,25.2,22.1,31.5,17.4,1.6,1.7,6
2016-04-30,25.3,18.7,41.2,19.0,0.4,3.1,20
2016-05-01,21.4,17.8,27.0,19.4,0.4,3.6,22
2016-05-02,,,43.0,19.8,0.1,3.9,26
2016-05-03,,,,19.9,0.0,3.8,15
2016-05-04,,,,19.9,0.0,3.4,10
2016-05-05,,,,19.9,0.0,3.1,7
2016-05-06,,,,19.9,0.0,2.5,5
2016-05-07,,,,19.9,0.0,1.1,2
2016-05-08,,,,19.9,0.0,0.4,1
2016-05-09,,,,19.9,0.3,0.0,0
2016-05-10,,,,20.2,0.0,0.3,5
2016-05-11,,,,20.2,0.2,0.0,0
2016-05-12,,,,20.4,0.0,0.0,0
2016-05-13,,,,20.4,0.0,0.0,0
2016-05-14,,,,20.4,0.0,0.0,0
2016-05-15,,,,20.4,0.2,0.0,0
2016-05-16,,,,20.6,0.0,0.0,0
2016-05-17,,,,20.6,0.5,0.0,0
2016-05-18,,,,21.1,0.2,0.0,0
2016-05-19,,,,21.3,0.4,0.0,0
2016-05-20,,,,21.7,0.3,0.0,0
2016-05-21,,,,22.0,0.0,0.0,0
2016-05-22,,,,22.0,0.0,0.0,0
2016-05-23,,,,22.0,0.0,0.0,0
2016-05-24,,,,22.0,0.0,0.0,0
2016-05-25,,,,22.0,0.0,0.0,0
2016-05-26,,,,22.0,0.0,0.0,0
2016-05-27,,,,22.0,0.0,0.0,0
2016-05-28,,,,22.0,0.1,0.0,0
2016-05-29,,,,22.1,0.0,0.0,0
2016-05-30,,,,22.1,0.0,0.0,0
2016-05-31,,,,22.1,0.0,0.0,0
2016-06-01,,,,22.1,0.2,0.0,0
2016-06-02,,,,22.3,0.2,0.0,0
2016-06-03,53.4,36.5,67.3,22.5,0.1,0.0,0
2016-06-04,48.0,34.3,62.2,22.6,0.0,0.0,0
2016-06-05,49.6,36.7,70.7,22.6,0.2,0.0,0
2016-06-06,48.0,35.6,67.3,22.8,0.0,0.0,0
2016-06-07,49.8,36.0,69.4,22.8,0.0,0.0,0
2016-06-08,48.9,36.0,65.5,22.8,0.0,0.0,0
2016-06-09,53.1,40.6,68.4,22.8,0.1,0.0,0
2016-06-10,49.6,38.7,72.3,22.9,0.2,0.0,0
2016-06-11,52.7,36.7,70.0,23.1,0.0,0.0,0
2016-06-12,54.7,41.9,68.0,23.1,0.0,0.0,0
2016-06-13,51.3,39.2,68.0,23.1,0.0,0.0,0
2016-06-14,51.6,37.2,64.2,23.1,0.0,0.0,0
2016-06-15,57.0,41.9,71.4,23.1,0.0,0.0,0
2016-06-16,57.0,39.0,68.7,23.1,0.0,0.0,0
2016-06-17,58.5,42.3,74.7,23.1,0.0,0.0,0
2016-06-18,56.8,40.1,74.1,23.1,0.0,0.0,0
2016-06-19,62.8,43.7,81.1,23.1,0.0,0.0,0
2016-06-20,60.4,45.7,76.5,23.1,0.0,0.0,0
2016-06-21,54.0,44.1,76.3,23.1,0.1,0.0,0
2016-06-22,55.2,44.8,71.4,23.2,0.0,0.0,0
2016-06-23,55.2,41.4,73.4,23.2,0.2,0.0,0
2016-06-24,57.0,46.8,74.1,23.4,0.0,0.0,0
2016-06-25,55.2,42.6,69.6,23.4,0.0,0.0,0
2016-06-26,52.0,40.1,66.2,23.4,0.0,0.0,0
2016-06-27,52.9,41.9,68.0,23.4,0.1,0.0,0
2016-06-28,50.0,41.0,63.9,23.5,0.1,0.0,0
2016-06-29,52.9,37.9,65.7,23.6,0.0,0.0,0
2016-06-30,52.7,42.1,67.6,23.6,0.0,0.0,0
2016-07-01,51.3,45.0,64.2,23.6,0.2,0.0,0
2016-07-02,50.7,45.5,61.7,23.8,0.2,0.0,0
2016-07-03,51.8,43.2,67.1,24.0,0.1,0.0,0
2016-07-04,56.8,46.4,68.4,24.1,0.0,0.0,0
2016-07-05,59.9,51.8,70.5,24.1,0.0,0.0,0
2016-07-06,59.5,44.4,71.2,24.1,0.0,0.0,0
2016-07-07,60.6,51.1,72.5,24.1,0.0,0.0,0
2016-07-08,55.2,44.2,73.0,24.1,0.0,0.0,0
2016-07-09,58.8,43.2,74.5,24.1,0.0,0.0,0
2016-07-10,61.0,46.6,73.2,24.1,0.0,0.0,0
2016-07-11,60.1,48.0,72.0,24.1,0.0,0.0,0
2016-07-12,58.8,38.7,73.0,24.1,0.0,0.0,0
2016-07-13,60.8,48.4,74.5,24.1,0.0,0.0,0
2016-07-14,57.4,42.1,75.2,24.1,0.0,0.0,0
2016-07-15,56.8,39.9,74.7,24.1,0.0,0.0,0
2016-07-16,59.2,41.4,74.5,24.1,0.0,0.0,0
2016-07-17,59.7,47.8,76.1,24.1,0.1,0.0,0
2016-07-18,52.0,46.2,69.6,24.2,0.4,0.0,0
2016-07-19,55.2,47.3,69.1,24.6,0.1,0.0,0
2016-07-20,59.2,45.3,75.6,24.7,0.2,0.0,0
2016-07-21,61.2,48.6,76.6,24.9,0.0,0.0,0
2016-07-22,58.3,43.9,76.6,24.9,0.0,0.0,0
2016-07-23,62.8,49.3,78.1,24.9,0.0,0.0,0
2016-07-24,52.9,43.2,68.0,24.9,0.2,0.0,0
2016-07-25,52.2,41.9,65.5,25.1,0.1,0.0,0
2016-07-26,55.0,41.0,72.0,25.2,0.1,0.0,0
2016-07-27,57.6,45.9,70.9,25.3,0.0,0.0,0
2016-07-28,59.5,45.0,76.8,25.3,0.1,0.0,0
2016-07-29,56.5,41.9,77.0,25.4,0.0,0.0,0
2016-07-30,58.8,44.1,75.7,25.4,0.0,0.0,0
2016-07-31,56.5,48.6,70.5,25.4,0.1,0.0,0
2016-08-01,54.0,47.3,62.6,25.5,0.1,0.0,0
2016-08-02,53.2,42.8,68.0,25.6,0.2,0.0,0
2016-08-03,55.4,45.9,66.0,25.8,0.1,0.0,0
2016-08-04,52.5,46.0,66.6,25.9,0.5,0.0,0
2016-08-05,49.8,44.2,55.8,26.4,0.5,0.0,0
2016-08-06,54.0,47.1,63.3,26.9,0.2,0.0,0
2016-08-07,56.8,48.2,70.3,27.1,0.1,0.0,0
2016-08-08,53.8,43.0,68.0,27.2,0.0,0.0,0
2016-08-09,52.5,42.8,66.6,27.2,0.0,0.0,0
2016-08-10,57.4,49.5,67.3,27.2,0.1,0.0,0
2016-08-11,57.7,45.9,68.9,27.3,0.0,0.0,0
2016-08-12,51.1,40.6,62.6,27.3,0.0,0.0,0
2016-08-13,46.8,39.9,59.5,27.3,0.2,0.0,0
2016-08-14,47.1,40.1,59.7,27.5,0.1,0.0,0
2016-08-15,52.9,41.0,69.6,27.6,0.1,0.0,0
2016-08-16,48.6,40.3,65.5,27.7,0.0,0.0,0
2016-08-17,50.2,42.3,64.2,27.7,0.0,0.0,0
2016-08-18,53.1,44.6,67.3,27.7,0.2,0.0,0
2016-08-19,48.6,39.4,63.1,27.9,0.0,0.0,0
2016-08-20,46.8,36.0,66.9,27.9,1.9,0.0,0
2016-08-21,41.7,34.2,62.6,29.8,0.9,0.0,0
2016-08-22,47.8,34.2,62.8,30.7,0.4,0.0,0
2016-08-23,48.4,36.7,62.1,31.1,0.3,0.0,0
2016-08-24,41.7,36.1,54.1,31.4,0.1,0.0,0
2016-08-25,43.5,32.9,53.6,31.5,0.2,0.0,0
2016-08-26,43.0,37.4,54.0,31.7,0.0,0.0,0
2016-08-27,49.5,36.3,62.1,31.7,0.1,0.0,0
2016-08-28,47.7,36.7,63.9,31.8,0.1,0.0,0
2016-08-29,43.9,38.5,53.1,31.9,0.7,0.0,0
2016-08-30,44.2,36.3,53.1,32.6,0.2,0.0,0
2016-08-31,45.5,36.0,57.2,32.8,0.2,0.0,0
2016-09-01,47.8,38.1,57.7,33.0,0.1,0.0,0
2016-09-02,52.7,45.5,64.0,33.1,0.1,0.0,0
2016-09-03,55.0,42.1,65.3,33.2,0.0,0.0,0
2016-09-04,54.1,46.4,62.8,33.2,0.0,0.0,0
2016-09-05,56.7,47.1,67.5,33.2,0.0,0.0,0
2016-09-06,55.8,49.5,66.0,33.2,0.0,0.0,0
2016-09-07,54.9,47.3,63.7,33.2,0.0,0.0,0
2016-09-08,53.1,40.1,70.2,33.2,0.0,0.0,0
2016-09-09,54.0,37.2,69.6,33.2,0.0,0.0,0
2016-09-10,49.1,31.8,62.8,33.2,0.0,0.0,0
2016-09-11,54.3,45.5,67.6,33.2,0.0,0.0,0
2016-09-12,49.5,34.9,65.1,33.2,0.0,0.0,0
2016-09-13,47.5,34.7,60.8,33.2,0.0,0.0,0
2016-09-14,45.7,38.7,54.7,33.2,0.6,0.0,0
2016-09-15,46.4,32.0,59.9,33.8,0.0,0.0,0
2016-09-16,40.6,29.8,55.0,33.8,0.1,0.0,0
2016-09-17,43.9,31.5,57.0,33.9,0.0,0.0,0
2016-09-18,52.0,44.2,66.2,33.9,0.2,0.0,0
2016-09-19,51.1,36.9,70.3,34.1,0.0,0.0,0
2016-09-20,54.7,37.8,67.6,34.1,0.1,0.0,0
2016-09-21,51.1,45.9,60.4,34.2,0.0,0.0,0
2016-09-22,52.7,45.3,65.5,34.2,0.1,0.0,0
2016-09-23,46.4,32.4,62.6,34.3,0.0,0.0,0
2016-09-24,37.8,29.3,50.9,34.3,0.0,0.0,0
2016-09-25,36.9,27.9,51.4,34.3,0.2,0.0,0
2016-09-26,41.9,28.8,59.0,34.5,0.1,0.0,0
2016-09-27,44.2,30.6,64.4,34.6,0.0,0.0,0
2016-09-28,44.4,31.6,62.2,34.6,0.0,0.0,0
2016-09-29,46.8,32.0,64.9,34.6,0.0,0.0,0
2016-09-30,50.4,38.7,63.3,34.6,0.1,0.0,0
