Date,Chapman Tunnel (1101) Air Temperature Average (degF),Chapman Tunnel (1101) Air Temperature Minimum (degF),Chapman Tunnel (1101) Air Temperature Maximum (degF),Chapman Tunnel (1101) Precipitation Accumulation (in) Start of Day Values,Chapman Tunnel (1101) Precipitation Increment (in),Chapman Tunnel (1101) Snow Water Equivalent (in) Start of Day Values,Chapman Tunnel (1101) Snow Depth (in) Start of Day Values
2015-12-31,0.3,-12.1,13.8,7.9,0.0,6.9,29
2016-01-01,-1.8,-12.5,20.3,7.9,0.0,7.0,30
2016-01-02,8.2,-5.4,29.5,7.9,0.1,7.0,30
2016-01-03,15.8,6.1,30.9,8.0,0.0,7.0,29
2016-01-04,19.2,8.6,36.1,8.0,0.0,7.0,29
2016-01-05,18.3,10.9,28.8,8.0,0.0,7.0,29
2016-01-06,19.0,8.1,30.7,8.0,0.1,7.0,27
2016-01-07,17.1,3.9,23.2,8.1,0.1,7.1,28
2016-01-08,9.1,-1.5,19.4,8.2,0.0,7.2,29
2016-01-09,9.3,-2.9,17.8,8.2,0.0,7.2,29
2016-01-10,2.3,-8.7,14.4,8.2,0.0,7.2,29
2016-01-11,1.8,-9.2,20.8,8.2,0.0,7.2,29
2016-01-12,8.2,-3.1,30.6,8.2,0.0,7.2,29
2016-01-13,14.2,3.9,33.3,8.2,0.1,7.2,29
2016-01-14,12.0,1.6,19.0,8.3,0.1,7.3,28
2016-01-15,11.7,5.0,17.6,8.4,0.2,7.3,29
2016-01-16,10.9,6.4,15.8,8.6,0.3,7.5,30
2016-01-17,15.8,7.0,21.7,8.9,0.2,7.8,37
2016-01-18,20.5,11.5,31.3,9.1,0.1,8.0,40
2016-01-19,16.0,4.6,27.0,9.2,0.0,8.1,40
2016-01-20,14.5,6.8,23.2,9.2,0.4,8.1,38
2016-01-21,7.7,-0.6,23.0,9.6,0.0,8.5,40
2016-01-22,15.8,4.3,36.1,9.6,0.0,8.5,40
2016-01-23,19.4,9.1,37.2,9.6,0.0,8.5,38
2016-01-24,15.8,7.7,28.2,9.6,0.3,8.5,37
2016-01-25,8.8,-1.5,19.8,9.9,0.0,8.8,41
2016-01-26,2.7,-8.0,21.7,9.9,0.0,8.8,41
2016-01-27,13.6,0.9,32.5,9.9,0.1,8.8,39
2016-01-28,16.5,5.5,38.5,10.0,0.0,8.8,38
2016-01-29,21.9,11.5,32.9,10.0,0.0,8.9,37
2016-01-30,27.3,16.3,36.3,10.0,0.5,8.9,36
2016-01-31,16.7,11.7,22.5,10.5,0.7,9.3,42
2016-02-01,15.3,5.0,24.4,11.2,0.4,10.0,48
2016-02-02,4.3,-4.0,12.4,11.6,0.0,10.4,51
2016-02-03,-2.7,-13.5,3.6,11.6,0.0,10.5,49
2016-02-04,1.6,-14.8,16.2,11.6,0.1,10.5,47
2016-02-05,3.6,-5.6,14.7,11.7,0.0,10.5,47
2016-02-06,11.1,-6.0,32.2,11.7,0.0,10.5,46
2016-02-07,16.5,5.5,30.0,11.7,0.0,10.5,45
2016-02-08,16.0,3.4,36.5,11.7,0.0,10.5,44
2016-02-09,16.5,3.6,40.1,11.7,0.0,10.5,43
2016-02-10,23.2,9.0,46.4,11.7,0.0,10.5,43
2016-02-11,24.1,10.8,45.7,11.7,0.0,10.5,42
2016-02-12,27.7,16.0,48.9,11.7,0.0,10.5,42
2016-02-13,27.3,14.7,46.2,11.7,0.0,10.5,41
2016-02-14,20.7,10.0,30.7,11.7,0.2,10.5,41
2016-02-15,26.6,20.7,35.2,11.9,0.0,10.7,43
2016-02-16,26.8,15.1,40.1,11.9,0.0,10.7,42
2016-02-17,30.0,13.6,53.1,11.9,0.1,10.7,42
2016-02-18,33.1,19.2,43.9,12.0,0.2,10.7,41
2016-02-19,20.7,7.2,41.2,12.2,0.0,10.9,41
2016-02-20,24.6,12.6,43.0,12.2,0.0,10.9,40
2016-02-21,23.5,8.8,42.1,12.2,0.0,10.9,42
2016-02-22,19.4,10.2,26.6,12.2,0.1,10.9,42
2016-02-23,12.7,-2.0,27.3,12.3,0.0,11.1,43
2016-02-24,10.8,-4.7,33.1,12.3,0.0,11.1,42
2016-02-25,19.4,2.5,40.6,12.3,0.1,11.1,42
2016-02-26,23.7,8.1,45.7,12.4,0.0,11.2,41
2016-02-27,27.1,10.2,46.4,12.4,0.1,11.2,41
2016-02-28,24.6,11.1,43.9,12.5,0.0,11.2,40
2016-02-29,24.6,12.0,39.4,12.5,0.1,11.2,40
2016-03-01,27.9,17.4,42.6,12.6,0.0,11.3,39
2016-03-02,28.8,22.1,39.2,12.6,0.0,11.3,40
2016-03-03,27.7,11.7,48.0,12.6,0.0,11.3,40
2016-03-04,28.8,17.8,45.3,12.6,0.0,11.3,40
2016-03-05,33.1,18.3,50.2,12.6,0.1,11.3,39
2016-03-06,30.6,21.9,40.1,12.7,0.2,11.3,39
2016-03-07,24.1,18.7,32.7,12.9,0.2,11.4,42
2016-03-08,17.2,5.7,34.3,13.1,0.0,11.6,46
2016-03-09,17.1,2.3,34.2,13.1,0.0,11.6,44
2016-03-10,24.4,7.0,48.0,13.1,0.0,11.6,43
2016-03-11,32.5,15.1,55.6,13.1,0.1,11.6,41
2016-03-12,30.4,23.9,42.3,13.2,0.0,11.7,40
2016-03-13,29.3,20.5,42.4,13.2,0.1,11.7,40
2016-03-14,27.0,17.8,33.4,13.3,0.6,11.7,40
2016-03-15,16.5,10.9,26.4,13.9,0.5,12.3,47
2016-03-16,17.4,11.1,25.0,14.4,0.2,12.8,50
2016-03-17,25.2,16.3,38.8,14.6,0.0,13.0,50
2016-03-18,21.0,7.7,36.0,14.6,0.0,13.0,48
2016-03-19,17.2,2.3,36.1,14.6,0.0,13.0,47
2016-03-20,23.0,2.7,45.9,14.6,0.0,13.0,46
2016-03-21,34.3,18.0,51.3,14.6,0.0,13.0,44
2016-03-22,33.3,21.2,46.8,14.6,0.1,13.0,43
2016-03-23,19.0,13.3,24.8,14.7,0.1,13.0,43
2016-03-24,20.8,12.6,30.6,14.8,0.1,13.1,44
2016-03-25,19.0,4.1,25.3,14.9,0.6,13.2,44
2016-03-26,10.8,-1.5,25.2,15.5,0.0,13.8,52
2016-03-27,16.3,-4.2,37.0,15.5,0.0,13.8,49
2016-03-28,30.0,12.0,47.3,15.5,0.0,13.8,48
2016-03-29,28.4,9.3,42.3,15.5,0.3,13.8,46
2016-03-30,16.3,5.7,25.7,15.8,0.1,14.0,50
2016-03-31,15.8,1.0,30.6,15.9,0.0,14.2,48
2016-04-01,14.9,-1.7,34.7,15.9,0.0,14.2,46
2016-04-02,24.6,5.2,45.9,15.9,0.1,14.2,46
2016-04-03,30.7,15.6,48.9,16.0,0.0,14.1,46
2016-04-04,34.5,20.7,52.0,16.0,0.0,13.9,45
2016-04-05,25.9,12.9,39.6,16.0,0.3,13.9,43
2016-04-06,29.1,10.6,49.3,16.3,0.0,14.2,44
2016-04-07,35.2,20.3,54.3,16.3,0.0,14.0,44
2016-04-08,37.0,21.6,57.2,16.3,0.0,13.7,42
2016-04-09,33.1,26.6,49.1,16.3,0.1,13.3,40
2016-04-10,33.3,24.4,46.8,16.4,0.0,13.2,39
2016-04-11,32.0,24.3,46.0,16.4,0.1,13.1,39
2016-04-12,32.9,25.0,48.6,16.5,0.2,13.0,38
2016-04-13,34.3,22.5,49.6,16.7,0.0,13.1,39
2016-04-14,36.1,26.6,52.2,16.7,0.1,13.0,38
2016-04-15,28.8,25.2,36.3,16.8,0.9,12.8,37
2016-04-16,23.5,19.2,28.4,17.7,0.5,13.7,46
2016-04-17,22.1,17.4,30.7,18.2,0.3,14.1,48
2016-04-18,24.3,19.6,31.5,18.5,0.6,14.5,49
2016-04-19,25.9,20.1,34.2,19.1,0.1,15.1,53
2016-04-20,30.7,23.5,43.7,19.2,0.0,15.2,50
2016-04-21,34.3,20.7,53.8,19.2,0.0,15.1,47
2016-04-22,39.9,25.3,59.0,19.2,0.0,14.8,44
2016-04-23,37.2,25.3,56.1,19.2,0.2,14.5,42
2016-04-24,31.6,24.8,46.8,19.4,0.1,14.5,40
2016-04-25,34.0,21.0,52.2,19.5,0.1,14.4,40
2016-04-26,25.9,16.9,37.8,19.6,0.1,14.3,38
2016-04-27,28.4,22.6,41.9,19.7,0.0,14.3,37
2016-04-28,30.6,22.1,43.9,19.7,0.1,14.5,38
2016-04-29,27.9,22.1,35.8,19.8,0.2,14.5,39
2016-04-30,26.4,16.3,32.4,20.0,0.1,14.6,39
2016-05-01,26.4,11.8,41.0,20.1,0.0,14.7,39
2016-05-02,33.3,23.7,49.8,20.1,0.0,14.7,39
2016-05-03,35.6,20.3,55.0,20.1,0.0,14.6,39
2016-05-04,40.3,24.1,61.2,20.1,0.0,14.3,38
2016-05-05,43.7,27.7,63.7,20.1,0.0,13.9,35
2016-05-06,42.8,30.4,59.0,20.1,0.0,12.9,34
2016-05-07,31.5,20.8,44.6,20.1,0.1,12.1,32
2016-05-08,31.3,19.9,47.1,20.2,0.2,12.1,28
2016-05-09,34.2,28.8,45.0,20.4,0.2,12.2,32
2016-05-10,31.3,20.8,38.8,20.6,0.9,12.2,32
2016-05-11,29.1,17.1,44.8,21.5,0.0,13.1,36
2016-05-12,35.2,18.0,54.3,21.5,0.0,13.0,35
2016-05-13,41.9,26.2,61.0,21.5,0.0,12.7,32
2016-05-14,44.4,30.6,60.8,21.5,0.0,11.7,30
2016-05-15,38.1,28.8,52.2,21.5,0.1,11.1,28
2016-05-16,34.7,27.5,47.3,21.6,0.4,10.7,26
2016-05-17,34.3,25.9,48.6,22.0,0.0,10.8,26
2016-05-18,36.3,23.5,52.9,22.0,0.3,10.6,25
2016-05-19,38.7,30.9,53.4,22.3,0.0,10.3,23
2016-05-20,43.2,31.6,59.4,22.3,0.0,9.8,23
2016-05-21,45.3,30.2,63.1,22.3,0.0,9.1,21
2016-05-22,40.1,26.8,58.5,22.3,0.0,8.1,19
2016-05-23,38.1,26.2,54.1,22.3,0.0,7.4,17
2016-05-24,41.2,27.7,59.0,22.3,0.0,6.8,16
2016-05-25,39.0,27.1,53.4,22.3,0.0,5.8,14
2016-05-26,36.7,26.6,50.2,22.3,0.1,5.2,11
2016-05-27,34.3,27.5,46.8,22.4,0.2,4.9,10
2016-05-28,36.3,25.5,53.4,22.6,0.0,4.8,10
2016-05-29,39.6,27.7,57.7,22.6,0.0,4.1,8
2016-05-30,40.8,29.3,59.0,22.6,0.0,3.5,6
2016-05-31,40.6,27.9,57.4,22.6,0.0,2.7,5
2016-06-01,42.1,28.8,62.2,22.6,0.0,1.9,3
2016-06-02,45.0,29.7,64.2,22.6,0.0,1.0,2
2016-06-03,46.6,33.1,63.9,22.6,0.0,0.4,1
2016-06-04,48.9,32.9,69.6,22.6,0.0,0.0,0
2016-06-05,50.0,34.3,70.7,22.6,0.0,0.0,0
2016-06-06,48.6,34.7,68.4,22.6,0.0,0.0,0
2016-06-07,50.9,34.2,69.4,22.6,0.0,0.0,0
2016-06-08,47.5,33.8,67.5,22.6,0.0,0.0,0
2016-06-09,47.7,35.6,72.0,22.6,0.1,0.0,0
2016-06-10,54.1,37.2,74.8,22.7,0.0,0.0,0
2016-06-11,51.1,38.1,73.6,22.7,0.0,0.0,0
2016-06-12,46.6,36.0,64.9,22.7,0.2,0.0,0
2016-06-13,43.0,32.2,59.2,22.9,0.0,0.0,0
2016-06-14,43.5,31.3,59.7,22.9,0.0,0.0,0
2016-06-15,51.8,33.4,72.0,22.9,0.0,0.0,0
2016-06-16,50.7,34.3,70.0,22.9,0.0,0.0,0
2016-06-17,54.0,34.2,74.8,22.9,0.0,0.0,0
2016-06-18,55.6,34.7,77.0,22.9,0.0,0.0,0
2016-06-19,58.8,38.8,77.7,22.9,0.0,0.0,0
2016-06-20,61.7,42.8,80.6,22.9,0.0,0.0,0
2016-06-21,59.9,44.8,77.9,22.9,0.1,0.0,0
2016-06-22,55.6,42.4,73.2,23.0,0.9,0.0,0
2016-06-23,53.2,43.7,70.2,23.9,0.2,0.0,0
2016-06-24,54.1,40.5,72.5,24.1,0.0,0.0,0
2016-06-25,55.0,40.1,72.0,24.1,0.0,0.0,0
2016-06-26,55.0,38.5,72.3,24.1,0.0,0.0,0
2016-06-27,55.6,37.4,73.9,24.1,0.0,0.0,0
2016-06-28,56.1,40.1,76.3,24.1,0.0,0.0,0
2016-06-29,51.1,41.0,68.0,24.1,0.1,0.0,0
2016-06-30,51.1,40.8,60.8,24.2,0.1,0.0,0
2016-07-01,49.3,46.0,55.2,24.3,0.3,0.0,0
2016-07-02,47.7,43.0,53.6,24.6,1.0,0.0,0
2016-07-03,46.6,38.8,60.8,25.6,0.3,0.0,0
2016-07-04,51.3,37.0,68.4,25.9,0.0,0.0,0
2016-07-05,54.3,41.0,70.9,25.9,0.0,0.0,0
2016-07-06,54.7,40.3,71.6,25.9,0.0,0.0,0
2016-07-07,54.0,40.5,71.2,25.9,0.0,0.0,0
2016-07-08,56.5,40.1,73.0,25.9,0.0,0.0,0
2016-07-09,57.4,42.1,73.6,25.9,0.0,0.0,0
2016-07-10,59.4,43.0,73.9,25.9,0.0,0.0,0
2016-07-11,52.5,38.8,66.4,25.9,0.0,0.0,0
2016-07-12,52.7,36.5,70.3,25.9,0.0,0.0,0
2016-07-13,54.3,38.5,72.9,25.9,0.0,0.0,0
2016-07-14,54.0,37.0,72.0,25.9,0.0,0.0,0
2016-07-15,55.2,40.1,73.4,25.9,0.0,0.0,0
2016-07-16,58.3,42.3,74.5,25.9,0.0,0.0,0
2016-07-17,58.3,41.9,76.1,25.9,0.0,0.0,0
2016-07-18,54.7,45.5,70.0,25.9,0.0,0.0,0
2016-07-19,54.7,44.4,69.4,25.9,0.1,0.0,0
2016-07-20,52.9,41.9,70.9,26.0,0.1,0.0,0
2016-07-21,50.4,43.7,65.7,26.1,0.6,0.0,0
2016-07-22,51.8,42.1,66.9,26.7,0.0,0.0,0
2016-07-23,55.4,40.8,74.3,26.7,0.0,0.0,0
2016-07-24,54.3,41.7,73.6,26.7,0.1,0.0,0
2016-07-25,51.8,40.1,69.4,26.8,0.1,0.0,0
2016-07-26,51.6,40.8,67.5,26.9,0.0,0.0,0
2016-07-27,56.1,39.2,75.6,26.9,0.0,0.0,0
2016-07-28,57.4,42.8,75.6,26.9,0.0,0.0,0
2016-07-29,56.5,41.4,73.6,26.9,0.0,0.0,0
2016-07-30,57.0,42.3,74.5,26.9,0.0,0.0,0
2016-07-31,52.5,42.6,66.2,26.9,0.4,0.0,0
2016-08-01,55.2,40.8,73.0,27.3,0.0,0.0,0
2016-08-02,57.2,43.7,73.2,27.3,0.0,0.0,0
2016-08-03,55.2,43.2,73.8,27.3,0.0,0.0,0
2016-08-04,50.2,47.5,54.0,27.3,0.7,0.0,0
2016-08-05,50.0,45.7,55.0,28.0,0.2,0.0,0
2016-08-06,50.4,41.7,64.8,28.2,0.0,0.0,0
2016-08-07,52.0,39.6,68.2,28.2,0.0,0.0,0
2016-08-08,50.0,42.8,63.1,28.2,0.2,0.0,0
2016-08-09,50.0,39.2,68.0,28.4,0.3,0.0,0
2016-08-10,51.3,40.8,66.6,28.7,0.0,0.0,0
2016-08-11,48.9,37.8,63.7,28.7,0.0,0.0,0
2016-08-12,47.8,35.6,66.4,28.7,0.0,0.0,0
2016-08-13,47.7,33.3,67.3,28.7,0.0,0.0,0
2016-08-14,50.7,33.8,70.7,28.7,0.0,0.0,0
2016-08-15,50.9,36.9,71.2,28.7,0.0,0.0,0
2016-08-16,49.5,37.9,66.4,28.7,0.0,0.0,0
2016-08-17,48.4,37.0,66.2,28.7,0.0,0.0,0
2016-08-18,45.9,36.7,57.7,28.7,0.1,0.0,0
2016-08-19,46.6,35.6,62.1,28.8,0.0,0.0,0
2016-08-20,48.4,36.0,65.5,28.8,0.0,0.0,0
2016-08-21,51.3,35.1,69.1,28.8,0.0,0.0,0
2016-08-22,47.8,36.7,61.7,28.8,0.0,0.0,0
2016-08-23,45.7,36.5,63.0,28.8,0.1,0.0,0
2016-08-24,45.5,35.2,63.0,28.9,0.1,0.0,0
2016-08-25,41.0,32.9,58.8,29.0,0.5,0.0,0
2016-08-26,42.3,33.8,56.5,29.5,0.0,0.0,0
2016-08-27,43.2,31.8,55.4,29.5,0.0,0.0,0
2016-08-28,44.4,35.6,62.2,29.5,0.0,0.0,0
2016-08-29,43.9,34.5,61.9,29.5,0.0,0.0,0
2016-08-30,44.4,32.9,64.8,29.5,0.0,0.0,0
2016-08-31,48.6,35.6,68.5,29.5,0.0,0.0,0
2016-09-01,48.9,38.5,64.2,29.5,0.2,0.0,0
2016-09-02,46.4,38.1,58.8,29.7,0.3,0.0,0
2016-09-03,51.8,38.1,66.0,30.0,0.1,0.0,0
2016-09-04,54.1,41.0,68.2,30.1,0.2,0.0,0
2016-09-05,53.6,42.1,68.2,30.3,0.0,0.0,0
2016-09-06,53.4,42.3,65.7,30.3,0.0,0.0,0
2016-09-07,53.6,35.6,67.1,30.3,0.0,0.0,0
2016-09-08,47.5,32.5,67.5,30.3,0.0,0.0,0
2016-09-09,44.4,31.8,62.8,30.3,0.0,0.0,0
2016-09-10,46.0,28.8,68.0,30.3,0.0,0.0,0
2016-09-11,48.2,34.9,66.2,30.3,0.0,0.0,0
2016-09-12,46.2,33.3,63.5,30.3,0.0,0.0,0
2016-09-13,43.9,33.4,58.5,30.3,0.0,0.0,0
2016-09-14,43.0,33.4,60.6,30.3,0.3,0.0,0
2016-09-15,38.7,27.7,55.6,30.6,0.0,0.0,0
2016-09-16,39.0,27.1,58.8,30.6,0.0,0.0,0
2016-09-17,40.6,29.1,59.0,30.6,0.0,0.0,0
2016-09-18,44.2,29.7,65.3,30.6,0.0,0.0,0
2016-09-19,48.0,32.2,70.5,30.6,0.0,0.0,0
2016-09-20,50.0,36.9,64.0,30.6,0.0,0.0,0
2016-09-21,46.2,39.0,57.2,30.6,0.0,0.0,0
2016-09-22,51.6,39.9,66.6,30.6,0.0,0.0,0
2016-09-23,36.7,23.9,52.2,30.6,0.3,0.0,0
2016-09-24,31.3,23.7,37.0,30.9,0.0,0.0,0
2016-09-25,36.5,28.0,54.7,30.9,0.0,0.0,0
2016-09-26,40.6,27.0,62.6,30.9,0.0,0.0,0
2016-09-27,43.9,30.4,65.8,30.9,0.0,0.0,0
2016-09-28,45.0,32.2,66.2,30.9,0.0,0.0,0
2016-09-29,45.7,33.8,60.1,30.9,0.0,0.0,0
2016-09-30,42.4,33.1,53.1,30.9,0.1,0.0,0
