Date,Vallecito (843) Air Temperature Average (degF),Vallecito (843) Air Temperature Minimum (degF),Vallecito (843) Air Temperature Maximum (degF),Vallecito (843) Precipitation Accumulation (in) Start of Day Values,Vallecito (843) Precipitation Increment (in),Vallecito (843) Snow Water Equivalent (in) Start of Day Values,Vallecito (843) Snow Depth (in) Start of Day Values
2015-10-30,30.6,25.5,43.0,4.0,0.0,0.4,2
2015-10-31,36.9,24.8,47.3,4.0,0.2,0.1,1
2015-11-01,41.2,33.3,53.2,4.2,0.0,0.1,1
2015-11-02,39.4,32.0,48.2,4.2,0.1,0.0,0
2015-11-03,35.6,29.8,42.6,4.3,0.0,0.0,0
2015-11-04,23.4,15.6,31.3,4.3,1.0,0.0,0
2015-11-05,18.3,11.8,28.0,5.3,0.1,1.3,8
2015-11-06,20.3,12.6,29.3,5.4,0.0,1.3,5
2015-11-07,24.6,16.9,36.7,5.4,0.0,1.3,5
2015-11-08,26.8,19.4,38.1,5.4,0.1,1.3,5
2015-11-09,29.7,23.0,37.9,5.5,0.1,1.4,3
2015-11-10,24.3,13.8,33.1,5.6,0.0,1.4,6
2015-11-11,19.4,12.7,30.0,5.6,0.0,1.6,6
2015-11-12,27.0,17.8,36.9,5.6,0.2,1.7,8
2015-11-13,32.2,24.8,42.4,5.8,0.0,1.7,7
2015-11-14,33.4,27.1,44.2,5.8,0.1,1.7,7
2015-11-15,27.9,22.3,35.1,5.9,0.3,1.7,6
2015-11-16,19.8,13.8,27.9,6.2,0.2,2.1,10
2015-11-17,20.3,15.3,27.9,6.4,0.0,2.6,13
2015-11-18,25.7,17.8,39.6,6.4,0.0,2.7,12
2015-11-19,27.9,20.8,35.8,6.4,0.0,2.7,12
2015-11-20,28.8,20.8,42.6,6.4,0.0,2.7,12
2015-11-21,25.9,17.1,37.2,6.4,0.1,2.7,11
2015-11-22,33.1,24.1,46.0,6.5,0.1,2.7,10
2015-11-23,31.8,27.0,43.2,6.6,0.0,2.7,10
2015-11-24,28.8,23.7,35.1,6.6,0.0,2.7,10
2015-11-25,28.0,24.3,32.2,6.6,0.0,2.7,9
2015-11-26,23.0,20.8,27.7,6.6,0.1,2.7,9
2015-11-27,21.6,16.2,27.0,6.7,0.0,2.9,12
2015-11-28,16.7,11.1,22.5,6.7,0.1,2.9,13
2015-11-29,13.6,7.2,19.0,6.8,0.0,3.0,13
2015-11-30,7.7,-1.1,18.9,6.8,0.1,3.1,15
2015-12-01,16.5,2.3,31.5,6.9,0.2,3.1,15
2015-12-02,25.7,18.0,40.1,7.1,0.1,3.1,15
2015-12-03,30.2,23.7,40.1,7.2,0.0,3.1,14
2015-12-04,29.5,22.1,38.1,7.2,0.0,3.1,13
2015-12-05,23.4,17.6,34.3,7.2,0.0,3.1,13
2015-12-06,32.2,23.0,49.6,7.2,0.1,3.2,15
2015-12-07,34.9,28.8,46.2,7.3,0.0,3.2,14
2015-12-08,35.8,28.0,49.6,7.3,0.0,3.2,14
2015-12-09,35.2,29.5,42.3,7.3,0.0,3.2,13
2015-12-10,31.3,27.1,39.9,7.3,0.0,3.2,13
2015-12-11,26.4,21.0,30.7,7.3,0.0,3.2,13
2015-12-12,21.6,17.1,25.7,7.3,0.3,3.3,14
2015-12-13,25.2,16.5,41.4,7.6,0.1,4.0,20
2015-12-14,14.4,7.0,22.6,7.7,0.6,4.0,19
2015-12-15,5.9,-0.9,15.8,8.3,0.1,4.9,30
2015-12-16,7.9,0.7,30.6,8.4,0.1,5.0,31
2015-12-17,7.7,-1.5,18.3,8.5,0.2,5.0,27
2015-12-18,26.8,16.7,42.8,8.7,0.1,5.0,23
2015-12-19,30.0,23.2,43.7,8.8,0.1,5.0,24
2015-12-20,17.8,11.5,23.2,8.9,0.1,5.1,25
2015-12-21,15.6,10.8,21.0,9.0,0.3,5.5,28
2015-12-22,17.4,15.8,20.3,9.3,0.7,5.8,29
2015-12-23,12.0,0.0,20.8,10.0,0.3,6.5,37
2015-12-24,7.2,-2.9,16.0,10.3,0.5,6.9,41
2015-12-25,10.2,0.1,17.8,10.8,0.7,7.2,42
2015-12-26,7.2,-3.3,15.6,11.5,0.1,8.0,43
2015-12-27,22.3,12.9,38.7,11.6,0.0,8.0,40
2015-12-28,15.6,8.4,29.1,11.6,0.0,8.0,39
2015-12-29,9.7,2.8,19.9,11.6,0.0,8.0,37
2015-12-30,6.6,1.8,15.8,11.6,0.0,8.0,35
2015-12-31,9.5,4.3,28.0,11.6,0.1,8.0,36
2016-01-01,14.5,5.7,28.0,11.7,0.1,8.1,33
2016-01-02,25.0,12.9,36.1,11.8,0.1,8.1,33
2016-01-03,28.4,22.5,40.1,11.9,0.1,8.1,34
2016-01-04,24.6,18.3,32.5,12.0,0.0,8.2,33
2016-01-05,19.4,15.1,32.7,12.0,0.1,8.2,35
2016-01-06,19.0,15.6,22.5,12.1,0.4,8.4,35
2016-01-07,15.3,12.9,21.4,12.5,0.0,8.8,38
2016-01-08,13.1,7.3,21.6,12.5,0.3,9.0,39
2016-01-09,11.7,2.8,32.7,12.8,0.1,9.3,40
2016-01-10,9.9,0.7,32.4,12.9,0.0,9.3,41
2016-01-11,19.8,8.1,33.4,12.9,0.0,9.3,39
2016-01-12,28.8,19.6,44.8,12.9,0.1,9.3,40
2016-01-13,27.5,18.0,45.0,13.0,0.0,9.3,38
2016-01-14,17.6,7.5,30.4,13.0,0.0,9.3,38
2016-01-15,10.9,3.9,14.7,13.0,0.0,9.3,38
2016-01-16,12.2,3.7,21.6,13.0,0.0,9.3,38
2016-01-17,20.1,11.5,32.9,13.0,0.0,9.3,37
2016-01-18,24.1,18.0,37.8,13.0,0.1,9.3,38
2016-01-19,19.9,14.2,31.6,13.1,0.0,9.4,36
2016-01-20,16.3,8.6,28.0,13.1,0.0,9.4,36
2016-01-21,20.8,8.2,33.3,13.1,0.1,9.4,38
2016-01-22,32.9,24.6,50.9,13.2,0.1,9.5,37
2016-01-23,30.0,23.9,43.5,13.3,0.0,9.5,36
2016-01-24,16.9,7.9,25.7,13.3,0.0,9.5,36
2016-01-25,11.3,6.4,25.3,13.3,0.0,9.8,38
2016-01-26,16.5,6.8,28.2,13.3,0.1,9.8,40
2016-01-27,32.7,20.1,47.5,13.4,0.2,9.8,39
2016-01-28,32.7,24.3,46.2,13.6,0.0,9.8,38
2016-01-29,30.2,20.5,45.5,13.6,0.0,9.8,37
2016-01-30,27.5,24.1,35.6,13.6,0.1,9.8,36
2016-01-31,23.0,21.9,25.0,13.7,0.7,9.9,37
2016-02-01,11.5,1.2,22.5,14.4,0.7,11.0,45
2016-02-02,5.4,-2.0,20.3,15.1,0.1,11.7,50
2016-02-03,3.0,-6.3,22.5,15.2,0.1,11.8,54
2016-02-04,7.3,-2.6,29.8,15.3,0.1,11.8,51
2016-02-05,12.2,1.8,27.3,15.4,0.1,11.8,49
2016-02-06,25.3,13.6,39.2,15.5,0.1,11.8,48
2016-02-07,30.6,23.5,45.3,15.6,0.1,11.8,47
2016-02-08,33.4,24.4,47.5,15.7,0.0,11.9,45
2016-02-09,37.8,27.1,52.5,15.7,0.0,11.9,44
2016-02-10,38.1,30.7,51.6,15.7,0.0,11.9,42
2016-02-11,38.1,28.4,52.2,15.7,0.0,11.9,41
2016-02-12,39.9,33.3,55.9,15.7,0.0,11.8,41
2016-02-13,36.0,29.3,47.5,15.7,0.0,11.8,40
2016-02-14,30.0,23.7,40.8,15.7,0.0,11.7,39
2016-02-15,30.6,21.0,43.9,15.7,0.0,11.7,39
2016-02-16,35.1,28.8,45.0,15.7,0.0,11.7,38
2016-02-17,37.2,30.2,47.1,15.7,0.0,11.7,38
2016-02-18,32.2,26.4,34.7,15.7,0.0,11.7,38
2016-02-19,28.8,20.3,36.5,15.7,0.0,11.6,38
2016-02-20,33.3,26.8,42.3,15.7,0.0,11.6,38
2016-02-21,31.8,24.3,45.7,15.7,0.0,11.6,36
2016-02-22,23.5,15.4,34.5,15.7,0.0,11.6,36
2016-02-23,15.4,9.0,20.3,15.7,0.0,11.6,33
2016-02-24,19.9,9.7,28.2,15.7,0.0,11.6,41
2016-02-25,29.8,21.2,42.8,15.7,0.1,11.5,39
2016-02-26,32.9,23.7,44.1,15.8,0.0,11.5,37
2016-02-27,32.9,25.9,44.2,15.8,0.0,11.5,37
2016-02-28,33.4,23.5,46.2,15.8,0.0,11.5,37
2016-02-29,31.8,23.5,47.1,15.8,0.0,11.4,36
2016-03-01,32.4,25.2,43.2,15.8,0.0,11.4,35
2016-03-02,32.7,26.4,44.6,15.8,0.0,11.4,34
2016-03-03,35.8,29.1,46.0,15.8,0.0,11.3,34
2016-03-04,35.8,26.8,45.0,15.8,0.0,11.3,32
2016-03-05,34.5,30.6,40.5,15.8,0.0,11.3,31
2016-03-06,28.2,23.5,33.4,15.8,0.0,10.9,31
2016-03-07,18.7,13.3,26.2,15.8,0.1,11.1,31
2016-03-08,23.9,12.7,36.1,15.9,0.2,11.4,35
2016-03-09,25.7,16.7,36.7,16.1,0.0,11.4,34
2016-03-10,36.0,23.0,48.9,16.1,0.0,11.4,33
2016-03-11,39.0,30.2,47.3,16.1,0.0,11.4,30
2016-03-12,28.8,23.4,34.5,16.1,0.0,11.2,29
2016-03-13,29.1,22.3,38.3,16.1,0.0,11.2,29
2016-03-14,29.3,17.6,41.0,16.1,0.0,10.8,28
2016-03-15,23.5,14.7,35.8,16.1,0.0,10.8,28
2016-03-16,24.4,14.5,42.6,16.1,0.0,10.8,28
2016-03-17,28.2,18.0,41.4,16.1,0.0,10.8,28
2016-03-18,31.3,22.3,47.3,16.1,0.0,10.8,27
2016-03-19,31.8,23.7,48.0,16.1,0.0,10.8,26
2016-03-20,32.9,23.4,44.2,16.1,0.0,10.6,25
2016-03-21,38.1,28.4,48.2,16.1,0.0,10.0,24
2016-03-22,30.9,14.9,40.6,16.1,0.0,9.9,22
2016-03-23,20.1,11.5,34.7,16.1,0.0,9.8,22
2016-03-24,24.4,14.4,34.3,16.1,0.0,9.8,22
2016-03-25,24.8,17.2,36.0,16.1,0.0,9.6,22
2016-03-26,17.2,10.0,30.7,16.1,0.1,9.1,21
2016-03-27,23.2,9.7,33.4,16.2,0.4,9.2,26
2016-03-28,30.9,25.5,39.0,16.6,0.0,9.1,24
2016-03-29,21.2,11.1,30.0,16.6,0.0,8.6,23
2016-03-30,15.8,8.1,30.7,16.6,0.2,8.9,26
2016-03-31,20.3,11.8,30.6,16.8,0.1,8.9,25
2016-04-01,24.1,13.5,36.0,16.9,0.0,8.7,24
2016-04-02,30.0,19.8,39.9,16.9,0.1,9.1,24
2016-04-03,36.9,24.8,51.6,17.0,0.1,9.1,24
2016-04-04,39.9,30.4,50.0,17.1,0.0,9.1,22
2016-04-05,33.8,21.2,46.2,17.1,0.0,8.2,19
2016-04-06,37.0,22.5,49.3,17.1,0.0,7.2,16
2016-04-07,43.7,35.1,53.2,17.1,0.0,7.2,16
2016-04-08,34.7,30.6,40.3,17.1,0.1,7.0,16
2016-04-09,32.2,29.1,38.7,17.2,0.1,7.0,16
2016-04-10,33.8,27.1,43.9,17.3,0.0,7.0,16
2016-04-11,32.7,25.7,41.7,17.3,0.1,7.0,15
2016-04-12,32.2,27.9,42.8,17.4,0.0,7.0,15
2016-04-13,36.1,28.8,50.2,17.4,0.2,7.0,15
2016-04-14,38.5,32.2,45.9,17.6,0.1,6.4,14
2016-04-15,28.4,23.2,35.2,17.7,0.3,6.1,13
2016-04-16,23.4,18.7,30.6,18.0,0.6,6.5,16
2016-04-17,21.7,15.3,30.9,18.6,0.2,7.0,19
2016-04-18,22.1,17.6,31.8,18.8,0.1,7.0,19
2016-04-19,25.7,14.9,40.6,18.9,0.2,6.9,18
2016-04-20,34.3,24.8,50.0,19.1,0.0,6.9,18
2016-04-21,42.1,30.6,57.7,19.1,0.0,6.9,17
2016-04-22,43.7,37.2,52.5,19.1,0.0,6.7,14
2016-04-23,36.1,25.7,45.9,19.1,0.0,6.2,14
2016-04-24,34.7,23.5,46.4,19.1,0.0,6.1,13
2016-04-25,29.7,18.0,41.9,19.1,0.0,5.9,12
2016-04-26,21.9,15.6,29.8,19.1,0.0,5.5,11
2016-04-27,28.8,19.8,39.2,19.1,0.2,5.5,11
2016-04-28,28.8,23.0,40.6,19.3,0.1,4.7,9
2016-04-29,25.3,20.8,36.7,19.4,0.2,5.1,13
2016-04-30,27.7,18.3,40.5,19.6,0.2,5.3,14
2016-05-01,25.3,23.9,29.7,19.8,0.8,5.2,13
2016-05-02,29.5,,39.9,20.6,0.1,6.3,22
2016-05-03,38.7,26.6,49.3,20.7,0.1,6.3,18
2016-05-04,44.1,36.1,53.2,20.8,0.0,6.0,15
2016-05-05,47.7,39.2,59.5,20.8,0.0,5.8,13
2016-05-06,43.2,35.2,50.4,20.8,0.0,5.3,9
2016-05-07,29.1,21.7,38.3,20.8,0.0,5.2,6
2016-05-08,27.3,21.7,35.1,20.8,0.2,5.1,12
2016-05-09,35.2,27.0,47.7,21.0,0.2,5.1,10
2016-05-10,36.9,30.0,50.4,21.2,0.2,5.2,7
2016-05-11,33.3,26.8,43.5,21.4,0.1,4.8,9
2016-05-12,41.2,29.3,51.3,21.5,0.1,5.9,8
2016-05-13,46.6,34.3,58.8,21.6,0.1,5.0,7
2016-05-14,48.4,38.5,58.8,21.7,0.0,2.7,5
2016-05-15,41.4,34.3,50.9,21.7,0.0,0.9,2
2016-05-16,32.7,27.0,41.4,21.7,0.3,0.0,0
2016-05-17,33.3,28.8,48.2,22.0,0.3,0.0,0
2016-05-18,32.4,29.1,40.1,22.3,0.4,0.0,0
2016-05-19,37.4,28.4,49.5,22.7,0.1,0.0,0
2016-05-20,43.7,36.1,51.1,22.8,0.0,0.0,0
2016-05-21,45.3,38.5,53.2,22.8,0.0,0.0,0
2016-05-22,40.6,34.3,51.3,22.8,0.0,0.0,0
2016-05-23,40.1,32.5,48.4,22.8,0.0,0.0,0
2016-05-24,41.7,34.0,51.4,22.8,0.0,0.0,0
2016-05-25,40.5,30.4,49.5,22.8,0.2,0.0,0
2016-05-26,36.5,29.7,48.9,23.0,0.0,0.0,0
2016-05-27,37.2,28.8,51.3,23.0,0.0,0.0,0
2016-05-28,40.8,29.7,49.5,23.0,0.0,0.0,0
2016-05-29,48.4,40.1,57.7,23.0,0.1,0.0,0
2016-05-30,47.5,41.2,56.8,23.1,0.0,0.0,0
2016-05-31,49.8,42.1,61.7,23.1,0.1,0.0,0
2016-06-01,48.4,41.0,58.8,23.2,0.0,0.0,0
2016-06-02,53.2,40.1,67.6,23.2,0.1,0.0,0
2016-06-03,55.6,48.0,68.4,23.3,0.0,0.0,0
2016-06-04,57.0,49.5,68.0,23.3,0.0,0.0,0
2016-06-05,57.4,48.6,67.8,23.3,0.0,0.0,0
2016-06-06,55.2,48.0,67.1,23.3,0.0,0.0,0
2016-06-07,55.0,47.3,66.9,23.3,0.0,0.0,0
2016-06-08,52.9,43.5,62.1,23.3,0.0,0.0,0
2016-06-09,57.9,49.1,75.6,23.3,0.0,0.0,0
2016-06-10,59.9,49.5,71.6,23.3,0.0,0.0,0
2016-06-11,54.9,47.3,63.0,23.3,0.0,0.0,0
2016-06-12,54.3,47.5,64.0,23.3,0.0,0.0,0
2016-06-13,49.3,37.0,60.6,23.3,0.0,0.0,0
2016-06-14,48.6,37.0,58.6,23.3,0.0,0.0,0
2016-06-15,54.1,46.8,62.6,23.3,0.0,0.0,0
2016-06-16,50.9,42.4,59.2,23.3,0.0,0.0,0
2016-06-17,55.8,44.1,64.8,23.3,0.0,0.0,0
2016-06-18,61.0,48.9,70.7,23.3,0.0,0.0,0
2016-06-19,64.8,54.1,76.3,23.3,0.0,0.0,0
2016-06-20,66.2,56.8,75.7,23.3,0.0,0.0,0
2016-06-21,61.2,53.4,73.9,23.3,0.0,0.0,0
2016-06-22,60.8,54.3,70.9,23.3,0.0,0.0,0
2016-06-23,60.1,52.7,70.0,23.3,0.0,0.0,0
2016-06-24,57.6,51.6,68.4,23.3,0.0,0.0,0
2016-06-25,57.9,47.8,68.7,23.3,0.0,0.0,0
2016-06-26,59.0,51.4,73.4,23.3,0.0,0.0,0
2016-06-27,60.8,49.5,71.6,23.3,0.0,0.0,0
2016-06-28,55.6,50.9,62.6,23.3,0.0,0.0,0
2016-06-29,54.9,44.1,68.5,23.3,0.0,0.0,0
2016-06-30,53.8,45.7,66.0,23.3,0.0,0.0,0
2016-07-01,46.0,43.2,52.0,23.3,0.2,0.0,0
2016-07-02,46.6,42.8,52.7,23.5,0.2,0.0,0
2016-07-03,52.9,41.7,66.6,23.7,0.2,0.0,0
2016-07-04,52.2,42.8,63.7,23.9,0.0,0.0,0
2016-07-05,56.8,47.5,67.6,23.9,0.1,0.0,0
2016-07-06,57.2,46.4,68.5,24.0,0.0,0.0,0
2016-07-07,56.8,46.4,68.9,24.0,0.0,0.0,0
2016-07-08,57.6,46.6,68.9,24.0,0.0,0.0,0
2016-07-09,59.7,49.6,71.1,24.0,0.0,0.0,0
2016-07-10,59.9,49.3,71.4,24.0,0.0,0.0,0
2016-07-11,55.2,42.4,68.7,24.0,0.0,0.0,0
2016-07-12,56.1,48.2,63.1,24.0,0.0,0.0,0
2016-07-13,58.8,46.6,72.5,24.0,0.0,0.0,0
2016-07-14,62.1,52.0,74.5,24.0,0.0,0.0,0
2016-07-15,58.8,49.6,72.5,24.0,0.0,0.0,0
2016-07-16,60.1,49.5,72.0,24.0,0.0,0.0,0
2016-07-17,59.5,48.2,70.5,24.0,0.0,0.0,0
2016-07-18,58.5,47.3,71.1,24.0,0.3,0.0,0
2016-07-19,55.8,45.9,69.6,24.3,0.2,0.0,0
2016-07-20,55.6,45.9,66.4,24.5,0.1,0.0,0
2016-07-21,58.6,50.9,67.5,24.6,0.0,0.0,0
2016-07-22,59.2,52.7,67.6,24.6,0.0,0.0,0
2016-07-23,60.6,51.3,72.0,24.6,0.0,0.0,0
2016-07-24,59.9,51.6,70.3,24.6,0.0,0.0,0
2016-07-25,59.5,51.6,72.3,24.6,0.0,0.0,0
2016-07-26,56.5,49.3,68.0,24.6,0.0,0.0,0
2016-07-27,63.7,51.4,78.8,24.6,0.0,0.0,0
2016-07-28,62.2,53.2,72.0,24.6,0.0,0.0,0
2016-07-29,63.5,52.9,77.0,24.6,0.0,0.0,0
2016-07-30,57.0,51.4,64.9,24.6,0.0,0.0,0
2016-07-31,57.6,46.6,68.0,24.6,0.1,0.0,0
2016-08-01,54.3,48.4,63.0,24.7,0.0,0.0,0
2016-08-02,55.9,48.2,67.6,24.7,0.2,0.0,0
2016-08-03,54.7,47.3,63.7,24.9,0.1,0.0,0
2016-08-04,51.4,46.8,57.0,25.0,0.0,0.0,0
2016-08-05,48.6,44.1,52.5,25.0,1.6,0.0,0
2016-08-06,50.7,44.4,57.6,26.6,0.2,0.0,0
2016-08-07,55.0,46.8,65.3,26.8,0.1,0.0,0
2016-08-08,53.6,43.9,62.6,26.9,0.4,0.0,0
2016-08-09,57.0,50.9,66.2,27.3,0.2,0.0,0
2016-08-10,54.3,45.7,64.8,27.5,0.0,0.0,0
2016-08-11,54.9,44.1,66.6,27.5,0.0,0.0,0
2016-08-12,56.1,49.6,65.1,27.5,0.0,0.0,0
2016-08-13,52.7,47.5,57.0,27.5,0.0,0.0,0
2016-08-14,53.4,44.1,62.6,27.5,0.0,0.0,0
2016-08-15,54.1,45.9,63.1,27.5,0.0,0.0,0
2016-08-16,53.1,47.5,60.6,27.5,0.0,0.0,0
2016-08-17,51.3,46.8,59.2,27.5,0.0,0.0,0
2016-08-18,50.0,42.8,58.8,27.5,0.0,0.0,0
2016-08-19,50.7,44.1,59.9,27.5,0.0,0.0,0
2016-08-20,52.0,43.0,64.0,27.5,0.0,0.0,0
2016-08-21,50.0,42.6,62.6,27.5,0.0,0.0,0
2016-08-22,47.5,42.4,56.1,27.5,0.0,0.0,0
2016-08-23,43.2,39.0,54.9,27.5,0.0,0.0,0
2016-08-24,45.3,40.3,52.7,27.5,0.0,0.0,0
2016-08-25,45.3,38.1,55.8,27.5,0.1,0.0,0
2016-08-26,43.7,38.3,50.0,27.6,0.0,0.0,0
2016-08-27,45.9,38.8,57.6,27.6,0.0,0.0,0
2016-08-28,46.8,39.9,55.4,27.6,0.3,0.0,0
2016-08-29,46.6,40.8,56.7,27.9,0.2,0.0,0
2016-08-30,49.6,42.1,56.7,28.1,0.2,0.0,0
2016-08-31,51.4,43.0,58.8,28.3,0.1,0.0,0
2016-09-01,52.0,44.6,61.5,28.4,0.1,0.0,0
2016-09-02,49.8,43.9,61.2,28.5,0.0,0.0,0
2016-09-03,49.5,45.0,57.6,28.5,0.0,0.0,0
2016-09-04,50.4,43.9,57.2,28.5,0.0,0.0,0
2016-09-05,52.5,43.5,60.1,28.5,0.1,0.0,0
2016-09-06,51.3,41.9,60.1,28.6,0.0,0.0,0
2016-09-07,50.9,43.0,59.0,28.6,0.0,0.0,0
2016-09-08,54.1,44.8,63.9,28.6,0.0,0.0,0
2016-09-09,57.0,45.7,69.1,28.6,0.0,0.0,0
2016-09-10,51.8,44.8,61.7,28.6,0.0,0.0,0
2016-09-11,52.7,45.3,64.0,28.6,0.0,0.0,0
2016-09-12,45.7,39.2,59.0,28.6,0.0,0.0,0
2016-09-13,45.3,38.8,55.8,28.6,0.0,0.0,0
2016-09-14,,,,28.6,0.3,0.0,0
2016-09-15,44.1,36.3,53.2,28.9,0.1,0.0,0
2016-09-16,45.7,37.8,57.0,29.0,0.0,0.0,0
2016-09-17,47.3,38.8,59.7,29.0,0.1,0.0,0
2016-09-18,51.8,41.0,61.9,29.1,0.1,0.0,0
2016-09-19,55.8,46.4,64.9,29.2,0.1,0.0,0
2016-09-20,50.0,40.6,62.6,29.3,0.0,0.0,0
2016-09-21,45.7,40.5,51.3,29.3,0.1,0.0,0
2016-09-22,47.1,43.0,53.6,29.4,0.0,0.0,0
2016-09-23,30.9,21.4,43.9,29.4,1.0,0.0,0
2016-09-24,31.3,21.9,38.5,30.4,0.2,0.0,0
2016-09-25,43.5,30.2,53.6,30.6,0.1,0.0,0
2016-09-26,46.2,35.2,57.4,30.7,0.1,0.0,0
2016-09-27,49.3,39.6,57.4,30.8,0.1,0.0,0
2016-09-28,51.1,44.6,58.3,30.9,0.0,0.0,0
2016-09-29,42.4,38.1,47.5,30.9,0.0,0.0,0
2016-09-30,42.6,36.0,52.5,30.9,0.0,0.0,0
