Date,Kiln (556) Air Temperature Average (degF),Kiln (556) Air Temperature Minimum (degF),Kiln (556) Air Temperature Maximum (degF),Kiln (556) Precipitation Accumulation (in) Start of Day Values,Kiln (556) Precipitation Increment (in),Kiln (556) Snow Water Equivalent (in) Start of Day Values,Kiln (556) Snow Depth (in) Start of Day Values
2015-12-25,11.1,-0.2,21.2,6.1,0.0,5.1,27
2015-12-26,-1.1,-12.8,12.2,6.1,0.0,5.2,28
2015-12-27,0.9,-14.1,24.3,6.1,0.0,5.2,27
2015-12-28,5.4,-5.1,23.4,6.1,0.1,5.2,27
2015-12-29,4.6,-8.1,20.7,6.2,0.0,5.3,26
2015-12-30,3.0,-5.3,12.6,6.2,0.0,5.4,26
2015-12-31,0.7,-14.3,13.6,6.2,0.0,5.4,26
2016-01-01,-2.9,-16.2,19.6,6.2,0.0,5.4,26
2016-01-02,6.1,-10.7,29.3,6.2,0.1,5.4,26
2016-01-03,15.4,2.8,36.5,6.3,0.1,5.5,26
2016-01-04,19.2,6.3,38.3,6.4,0.1,5.6,26
2016-01-05,20.1,10.4,30.7,6.5,0.0,5.6,25
2016-01-06,20.7,9.7,32.5,6.5,0.0,5.6,25
2016-01-07,18.3,3.9,23.9,6.5,0.1,5.7,25
2016-01-08,7.7,-2.6,19.9,6.6,0.0,5.8,27
2016-01-09,12.4,0.3,19.2,6.6,0.0,5.8,26
2016-01-10,3.6,-9.8,16.9,6.6,0.0,5.8,27
2016-01-11,1.4,-11.2,20.8,6.6,0.0,5.8,27
2016-01-12,7.9,-7.4,30.9,6.6,0.0,5.8,27
2016-01-13,13.8,0.3,37.0,6.6,0.0,5.8,27
2016-01-14,14.4,2.8,20.8,6.6,0.1,5.8,26
2016-01-15,13.6,9.5,18.7,6.7,0.2,5.9,26
2016-01-16,12.4,8.1,17.2,6.9,0.3,6.2,28
2016-01-17,16.7,7.0,22.6,7.2,0.1,6.4,30
2016-01-18,21.4,10.9,31.8,7.3,0.2,6.6,32
2016-01-19,18.0,4.5,28.8,7.5,0.0,6.7,34
2016-01-20,16.3,5.9,23.9,7.5,0.3,6.7,34
2016-01-21,9.7,-1.3,21.7,7.8,0.0,7.1,36
2016-01-22,15.1,-0.8,37.4,7.8,0.0,7.1,36
2016-01-23,20.1,7.0,40.5,7.8,0.1,7.1,35
2016-01-24,16.9,6.3,28.8,7.9,0.2,7.2,33
2016-01-25,12.6,5.0,19.8,8.1,0.0,7.4,35
2016-01-26,5.0,-7.4,21.4,8.1,0.0,7.4,35
2016-01-27,12.4,-2.9,32.9,8.1,0.0,7.4,35
2016-01-28,17.6,3.6,38.1,8.1,0.0,7.4,34
2016-01-29,24.1,10.4,33.1,8.1,0.2,7.4,34
2016-01-30,28.4,17.2,36.7,8.3,0.4,7.6,33
2016-01-31,17.6,12.9,22.1,8.7,0.6,8.0,38
2016-02-01,16.9,5.7,26.2,9.3,0.5,8.6,42
2016-02-02,5.9,-0.9,14.0,9.8,0.0,9.1,47
2016-02-03,-0.2,-13.2,9.1,9.8,0.0,9.1,45
2016-02-04,0.9,-17.9,16.7,9.8,0.1,9.2,43
2016-02-05,5.0,-8.0,17.2,9.9,0.0,9.2,43
2016-02-06,9.7,-8.5,31.5,9.9,0.2,9.2,43
2016-02-07,15.8,4.3,30.6,10.1,0.0,9.4,41
2016-02-08,16.7,0.7,35.6,10.1,0.0,9.4,41
2016-02-09,17.8,2.7,40.1,10.1,0.0,9.4,40
2016-02-10,21.6,5.2,44.8,10.1,0.0,9.5,40
2016-02-11,23.0,7.5,43.7,10.1,0.0,9.5,40
2016-02-12,27.1,11.3,47.3,10.1,0.1,9.5,39
2016-02-13,27.0,14.5,46.0,10.2,0.0,9.6,39
2016-02-14,21.2,10.9,30.2,10.2,0.2,9.6,38
2016-02-15,26.6,21.9,31.3,10.4,0.0,9.9,37
2016-02-16,27.1,13.5,38.5,10.4,0.0,9.9,39
2016-02-17,28.4,11.3,52.2,10.4,0.1,9.9,39
2016-02-18,33.8,20.5,43.9,10.5,0.2,9.9,39
2016-02-19,22.1,5.2,40.8,10.7,0.0,10.1,39
2016-02-20,24.8,11.7,41.4,10.7,0.0,10.1,39
2016-02-21,23.7,8.8,41.0,10.7,0.0,10.1,39
2016-02-22,19.9,9.9,28.8,10.7,0.0,10.1,39
2016-02-23,15.3,-4.0,26.8,10.7,0.0,10.1,39
2016-02-24,11.8,-6.9,32.4,10.7,0.0,10.1,39
2016-02-25,18.9,0.1,39.6,10.7,0.0,10.1,39
2016-02-26,24.1,8.4,44.4,10.7,0.0,10.1,39
2016-02-27,29.5,10.0,46.0,10.7,0.1,10.2,38
2016-02-28,26.2,12.9,40.6,10.8,0.0,10.3,37
2016-02-29,25.3,10.6,37.0,10.8,0.1,10.3,38
2016-03-01,28.8,19.9,37.2,10.9,0.0,10.4,38
2016-03-02,29.5,20.3,38.1,10.9,0.0,10.4,37
2016-03-03,27.7,9.7,45.9,10.9,0.0,10.4,37
2016-03-04,28.8,16.2,43.9,10.9,0.0,10.4,37
2016-03-05,32.9,16.2,49.6,10.9,0.1,10.4,37
2016-03-06,30.4,18.7,39.4,11.0,0.1,10.4,37
2016-03-07,24.4,20.3,29.8,11.1,0.1,10.5,38
2016-03-08,20.7,6.1,34.3,11.2,0.0,10.7,40
2016-03-09,18.3,3.4,34.0,11.2,0.0,10.7,40
2016-03-10,25.2,6.3,47.5,11.2,0.1,10.6,39
2016-03-11,32.7,15.1,53.6,11.3,0.0,10.6,38
2016-03-12,31.5,21.2,43.5,11.3,0.1,10.6,37
2016-03-13,30.2,21.6,42.3,11.4,0.0,10.6,37
2016-03-14,27.7,19.0,36.7,11.4,0.4,10.6,37
2016-03-15,18.0,12.6,24.4,11.8,0.3,11.1,42
2016-03-16,19.4,12.7,25.7,12.1,0.2,11.5,45
2016-03-17,27.9,19.9,37.8,12.3,0.0,11.8,43
2016-03-18,21.6,6.1,32.9,12.3,0.0,11.8,42
2016-03-19,18.3,1.2,35.2,12.3,0.0,11.8,42
2016-03-20,22.5,-0.2,44.8,12.3,0.0,11.8,41
2016-03-21,35.6,15.4,50.7,12.3,0.1,11.8,40
2016-03-22,34.3,22.1,45.9,12.4,0.1,11.8,38
2016-03-23,19.8,17.1,23.5,12.5,0.2,12.1,40
2016-03-24,23.0,16.7,32.7,12.7,0.1,12.5,42
2016-03-25,20.5,5.0,27.0,12.8,0.3,12.6,40
2016-03-26,10.4,-3.5,25.9,13.1,0.0,12.8,45
2016-03-27,17.2,-5.6,37.0,13.1,0.0,12.8,44
2016-03-28,30.6,10.4,46.4,13.1,0.1,12.9,42
2016-03-29,28.8,8.8,44.6,13.2,0.2,12.9,40
2016-03-30,18.9,7.0,28.4,13.4,0.1,13.0,43
2016-03-31,17.2,0.3,30.2,13.5,0.0,13.0,41
2016-04-01,14.9,-3.5,34.0,13.5,0.0,13.1,42
2016-04-02,24.8,2.5,45.7,13.5,0.0,13.2,42
2016-04-03,31.3,14.5,47.7,13.5,0.0,13.2,40
2016-04-04,34.5,18.9,50.4,13.5,0.1,13.2,39
2016-04-05,25.2,8.4,40.5,13.6,0.0,13.2,38
2016-04-06,29.1,7.2,47.8,13.6,0.1,13.2,39
2016-04-07,34.7,19.0,53.2,13.7,0.0,13.2,37
2016-04-08,39.2,20.7,56.1,13.7,0.1,12.5,35
2016-04-09,34.3,26.6,45.0,13.8,0.0,12.3,33
2016-04-10,34.2,23.4,45.9,13.8,0.1,12.1,33
2016-04-11,33.3,23.4,46.6,13.9,0.0,11.9,32
2016-04-12,33.1,23.5,47.5,13.9,0.2,11.6,31
2016-04-13,34.3,20.1,51.8,14.1,0.0,11.4,28
2016-04-14,36.7,24.4,52.7,14.1,0.1,10.8,26
2016-04-15,29.7,25.9,35.1,14.2,0.7,10.5,26
2016-04-16,25.0,20.3,32.2,14.9,0.3,11.2,35
2016-04-17,23.0,17.2,30.6,15.2,0.1,11.6,37
2016-04-18,25.9,20.7,33.4,15.3,0.4,11.7,36
2016-04-19,27.7,21.6,35.8,15.7,0.1,12.1,37
2016-04-20,31.6,22.6,42.8,15.8,0.0,12.1,34
2016-04-21,34.5,18.3,54.1,15.8,0.0,12.1,32
2016-04-22,39.4,21.0,59.2,15.8,0.0,11.6,29
2016-04-23,37.2,27.0,55.9,15.8,0.2,11.1,28
2016-04-24,32.5,25.2,44.8,16.0,0.0,10.7,25
2016-04-25,34.5,21.7,51.4,16.0,0.1,10.2,25
2016-04-26,27.1,20.1,36.5,16.1,0.1,9.7,25
2016-04-27,29.7,23.7,38.7,16.2,0.0,9.7,25
2016-04-28,32.7,23.9,45.0,16.2,0.1,9.6,24
2016-04-29,30.0,27.3,36.7,16.3,0.2,9.5,23
2016-04-30,27.9,20.7,33.4,16.5,0.0,9.6,24
2016-05-01,29.5,19.9,39.6,16.5,0.0,9.6,22
2016-05-02,34.2,24.3,47.1,16.5,0.0,9.2,22
2016-05-03,36.0,19.6,54.1,16.5,0.0,8.5,20
2016-05-04,40.3,22.3,60.4,16.5,0.0,7.5,18
2016-05-05,43.5,26.4,63.9,16.5,0.0,6.4,15
2016-05-06,45.3,32.2,61.3,16.5,0.0,5.4,11
2016-05-07,32.5,23.0,40.3,16.5,0.0,4.4,9
2016-05-08,32.2,21.0,44.6,16.5,0.2,4.3,9
2016-05-09,34.5,29.7,45.9,16.7,0.3,3.7,6
2016-05-10,32.2,21.6,40.5,17.0,0.7,3.9,8
2016-05-11,31.3,18.3,43.7,17.7,0.0,4.5,10
2016-05-12,37.0,19.9,54.3,17.7,0.1,4.2,9
2016-05-13,42.6,25.2,59.9,17.8,0.0,3.1,6
2016-05-14,45.3,27.1,61.5,17.8,0.0,1.8,5
2016-05-15,40.5,29.3,54.3,17.8,0.1,1.2,4
2016-05-16,34.9,28.8,47.1,17.9,0.3,0.6,3
2016-05-17,37.2,27.3,48.9,18.2,0.0,0.6,3
2016-05-18,38.1,25.3,52.2,18.2,0.2,0.2,2
2016-05-19,40.5,31.5,54.1,18.4,0.0,0.3,2
2016-05-20,45.9,31.5,61.0,18.4,0.0,0.0,0
2016-05-21,49.5,33.4,65.5,18.4,0.0,0.0,0
2016-05-22,43.2,28.0,61.0,18.4,0.0,0.0,0
2016-05-23,40.3,26.8,55.0,18.4,0.0,0.0,0
2016-05-24,43.7,27.5,59.4,18.4,0.0,0.0,0
2016-05-25,41.7,27.5,55.9,18.4,0.0,0.0,0
2016-05-26,37.9,25.9,50.7,18.4,0.1,0.0,0
2016-05-27,36.0,28.8,50.0,18.5,0.1,0.0,0
2016-05-28,37.8,26.8,53.1,18.6,0.0,0.0,0
2016-05-29,41.7,27.1,59.5,18.6,0.0,0.0,0
2016-05-30,42.3,28.4,59.7,18.6,0.0,0.0,0
2016-05-31,43.9,27.1,59.7,18.6,0.0,0.0,0
2016-06-01,47.1,29.7,63.1,18.6,0.0,0.0,0
2016-06-02,49.1,30.2,66.0,18.6,0.0,0.0,0
2016-06-03,51.8,34.7,66.9,18.6,0.0,0.0,0
2016-06-04,54.3,35.1,71.6,18.6,0.0,0.0,0
2016-06-05,55.6,36.3,70.5,18.6,0.0,0.0,0
2016-06-06,53.2,38.3,71.1,18.6,0.0,0.0,0
2016-06-07,54.9,36.1,72.3,18.6,0.0,0.0,0
2016-06-08,49.8,34.9,66.4,18.6,0.0,0.0,0
2016-06-09,50.2,35.1,72.7,18.6,0.1,0.0,0
2016-06-10,58.5,37.2,74.3,18.7,0.0,0.0,0
2016-06-11,55.2,40.8,73.8,18.7,0.0,0.0,0
2016-06-12,49.8,37.2,67.6,18.7,0.1,0.0,0
2016-06-13,44.4,31.6,61.0,18.8,0.0,0.0,0
2016-06-14,45.0,30.2,61.0,18.8,0.0,0.0,0
2016-06-15,54.0,32.0,73.6,18.8,0.0,0.0,0
2016-06-16,52.5,33.4,69.8,18.8,0.0,0.0,0
2016-06-17,55.9,34.0,75.2,18.8,0.0,0.0,0
2016-06-18,57.7,34.3,77.9,18.8,0.0,0.0,0
2016-06-19,59.9,38.1,77.7,18.8,0.0,0.0,0
2016-06-20,,,81.5,18.8,0.0,0.0,0
2016-06-21,,,80.2,18.8,0.0,0.0,0
2016-06-22,55.8,42.4,78.3,18.8,0.4,0.0,0
2016-06-23,54.9,43.9,71.6,19.2,0.0,0.0,0
2016-06-24,55.0,41.4,73.9,19.2,0.0,0.0,0
2016-06-25,57.0,40.1,72.5,19.2,0.0,0.0,0
2016-06-26,56.7,37.9,75.2,19.2,0.0,0.0,0
2016-06-27,57.2,36.0,77.0,19.2,0.0,0.0,0
2016-06-28,57.9,39.9,77.4,19.2,0.0,0.0,0
2016-06-29,54.9,40.1,72.5,19.2,0.1,0.0,0
2016-06-30,54.1,41.2,66.6,19.3,0.0,0.0,0
2016-07-01,50.9,47.5,56.5,19.3,0.2,0.0,0
2016-07-02,50.0,44.4,58.5,19.5,0.4,0.0,0
2016-07-03,48.4,37.8,64.0,19.9,0.0,0.0,0
2016-07-04,53.6,36.3,70.0,19.9,0.0,0.0,0
2016-07-05,55.4,40.3,72.5,19.9,0.0,0.0,0
2016-07-06,55.9,39.6,72.3,19.9,0.0,0.0,0
2016-07-07,55.4,39.0,71.2,19.9,0.0,0.0,0
2016-07-08,57.7,38.5,75.2,19.9,0.0,0.0,0
2016-07-09,58.6,39.6,76.3,19.9,0.0,0.0,0
2016-07-10,60.6,42.4,76.1,19.9,0.0,0.0,0
2016-07-11,53.1,36.1,67.1,19.9,0.0,0.0,0
2016-07-12,54.0,33.3,72.5,19.9,0.0,0.0,0
2016-07-13,55.4,35.6,74.1,19.9,0.0,0.0,0
2016-07-14,55.6,34.9,73.8,19.9,0.0,0.0,0
2016-07-15,56.7,37.0,74.5,19.9,0.0,0.0,0
2016-07-16,59.2,38.8,76.6,19.9,0.0,0.0,0
2016-07-17,59.7,40.6,77.9,19.9,0.0,0.0,0
2016-07-18,56.5,44.2,73.0,19.9,0.2,0.0,0
2016-07-19,56.7,43.9,71.1,20.1,0.0,0.0,0
2016-07-20,54.0,40.8,70.3,20.1,0.2,0.0,0
2016-07-21,51.6,42.4,68.9,20.3,0.4,0.0,0
2016-07-22,55.4,40.6,73.2,20.7,0.0,0.0,0
2016-07-23,58.5,40.6,76.3,20.7,0.0,0.0,0
2016-07-24,57.2,41.4,76.1,20.7,0.0,0.0,0
2016-07-25,56.1,38.8,73.8,20.7,0.0,0.0,0
2016-07-26,54.3,40.1,71.2,20.7,0.0,0.0,0
2016-07-27,57.2,36.9,77.4,20.7,0.0,0.0,0
2016-07-28,59.4,38.5,78.6,20.7,0.0,0.0,0
2016-07-29,57.6,39.6,75.7,20.7,0.0,0.0,0
2016-07-30,59.4,40.1,77.5,20.7,0.0,0.0,0
2016-07-31,55.0,42.6,68.4,20.7,0.0,0.0,0
2016-08-01,58.3,38.5,76.5,20.7,0.0,0.0,0
2016-08-02,61.3,44.2,78.8,20.7,0.0,0.0,0
2016-08-03,60.4,43.5,78.3,20.7,0.0,0.0,0
2016-08-04,51.6,47.5,56.8,20.7,0.5,0.0,0
2016-08-05,51.3,46.2,56.8,21.2,0.3,0.0,0
2016-08-06,53.1,42.1,66.0,21.5,0.0,0.0,0
2016-08-07,54.1,39.0,72.3,21.5,0.0,0.0,0
2016-08-08,51.4,41.0,65.1,21.5,0.0,0.0,0
2016-08-09,51.1,39.0,72.3,21.5,0.1,0.0,0
2016-08-10,52.0,38.1,70.0,21.6,0.0,0.0,0
2016-08-11,50.7,37.0,67.3,21.6,0.0,0.0,0
2016-08-12,49.5,32.9,67.3,21.6,0.0,0.0,0
2016-08-13,50.4,31.6,71.4,21.6,0.0,0.0,0
2016-08-14,53.4,33.3,72.7,21.6,0.1,0.0,0
2016-08-15,52.7,35.1,73.6,21.7,0.0,0.0,0
2016-08-16,51.8,36.3,72.7,21.7,0.0,0.0,0
2016-08-17,48.9,36.0,69.4,21.7,0.0,0.0,0
2016-08-18,47.5,34.7,63.5,21.7,0.2,0.0,0
2016-08-19,47.1,34.2,65.8,21.9,0.2,0.0,0
2016-08-20,51.3,34.3,68.7,22.1,0.1,0.0,0
2016-08-21,54.1,33.4,72.5,22.2,0.0,0.0,0
2016-08-22,50.2,37.0,66.6,22.2,0.0,0.0,0
2016-08-23,47.7,36.1,64.2,22.2,0.0,0.0,0
2016-08-24,47.1,34.2,63.1,22.2,0.0,0.0,0
2016-08-25,42.3,30.6,62.6,22.2,0.4,0.0,0
2016-08-26,44.6,33.4,59.9,22.6,0.2,0.0,0
2016-08-27,44.4,31.5,57.9,22.8,0.0,0.0,0
2016-08-28,46.0,36.1,62.8,22.8,0.1,0.0,0
2016-08-29,45.7,37.4,61.5,22.9,0.0,0.0,0
2016-08-30,47.3,32.9,66.2,22.9,0.1,0.0,0
2016-08-31,52.9,33.8,71.1,23.0,0.1,0.0,0
2016-09-01,52.0,38.3,67.5,23.1,0.0,0.0,0
2016-09-02,48.9,38.7,63.0,23.1,0.1,0.0,0
2016-09-03,48.6,36.7,66.0,23.2,0.1,0.0,0
2016-09-04,48.4,34.7,63.7,23.3,0.0,0.0,0
2016-09-05,49.5,31.5,70.2,23.3,0.2,0.0,0
2016-09-06,51.1,35.6,69.4,23.5,0.0,0.0,0
2016-09-07,50.0,34.3,66.6,23.5,0.0,0.0,0
2016-09-08,48.9,30.0,68.4,23.5,0.0,0.0,0
2016-09-09,46.0,30.2,65.1,23.5,0.0,0.0,0
2016-09-10,47.5,27.1,69.1,23.5,0.0,0.0,0
2016-09-11,48.9,30.2,69.4,23.5,0.0,0.0,0
2016-09-12,47.7,32.2,66.0,23.5,0.0,0.0,0
2016-09-13,46.2,34.3,61.9,23.5,0.0,0.0,0
2016-09-14,46.0,36.3,64.2,23.5,0.0,0.0,0
2016-09-15,40.8,27.5,57.0,23.5,0.0,0.0,0
2016-09-16,40.1,25.2,59.0,23.5,0.1,0.0,0
2016-09-17,42.1,27.5,60.4,23.6,0.0,0.0,0
2016-09-18,45.9,26.8,66.6,23.6,0.1,0.0,0
2016-09-19,50.0,30.6,72.5,23.7,0.0,0.0,0
2016-09-20,51.6,35.2,66.4,23.7,0.1,0.0,0
2016-09-21,48.9,40.1,60.4,23.8,0.0,0.0,0
2016-09-22,54.1,41.7,70.0,23.8,0.0,0.0,0
2016-09-23,38.5,25.2,57.0,23.8,0.0,0.0,0
2016-09-24,32.9,24.6,40.1,23.8,0.0,0.0,0
2016-09-25,39.4,27.5,57.6,23.8,0.0,0.0,0
2016-09-26,42.4,25.0,64.2,23.8,0.1,0.0,0
2016-09-27,46.4,28.4,68.4,23.9,0.0,0.0,0
2016-09-28,49.6,30.4,69.8,23.9,0.1,0.0,0
2016-09-29,49.1,34.7,65.8,24.0,0.0,0.0,0
2016-09-30,45.3,33.8,57.0,24.0,0.0,0.0,0
