Date,Ivanhoe (547) Air Temperature Average (degF),Ivanhoe (547) Air Temperature Minimum (degF),Ivanhoe (547) Air Temperature Maximum (degF),Ivanhoe (547) Precipitation Accumulation (in) Start of Day Values,Ivanhoe (547) Precipitation Increment (in),Ivanhoe (547) Snow Water Equivalent (in) Start of Day Values,Ivanhoe (547) Snow Depth (in) Start of Day Values
2015-11-16,22.1,18.0,29.3,4.2,0.8,2.1,13
2015-11-17,15.4,12.2,22.5,5.0,0.2,2.7,19
2015-11-18,18.0,12.7,21.7,5.2,0.4,2.8,20
2015-11-19,22.3,16.7,30.6,5.6,0.0,3.1,21
2015-11-20,20.3,-2.6,30.0,5.6,0.0,3.1,19
2015-11-21,8.1,-8.7,27.1,5.6,0.0,3.1,19
2015-11-22,18.3,0.3,40.1,5.6,0.0,3.1,19
2015-11-23,23.5,10.6,41.4,5.6,0.0,3.1,18
2015-11-24,23.5,12.9,39.9,5.6,0.0,3.1,18
2015-11-25,30.4,13.6,42.1,5.6,0.1,3.1,17
2015-11-26,21.7,12.2,31.6,5.7,0.0,3.2,16
2015-11-27,15.6,8.4,23.2,5.7,0.1,3.2,17
2015-11-28,17.2,8.2,24.8,5.8,0.1,3.3,17
2015-11-29,14.0,7.9,23.5,5.9,0.2,3.4,19
2015-11-30,5.0,2.5,9.7,6.1,0.2,3.6,19
2015-12-01,5.4,-2.9,18.3,6.3,0.0,3.8,23
2015-12-02,12.2,-2.0,30.0,6.3,0.1,3.8,21
2015-12-03,18.9,9.3,32.9,6.4,0.0,3.9,20
2015-12-04,25.2,11.3,43.5,6.4,0.1,3.9,19
2015-12-05,15.8,0.9,24.6,6.5,0.1,4.0,19
2015-12-06,18.3,2.3,41.7,6.6,0.0,4.1,19
2015-12-07,23.9,5.5,39.2,6.6,0.2,4.1,21
2015-12-08,27.3,23.0,35.6,6.8,0.0,4.3,19
2015-12-09,28.4,12.9,43.9,6.8,0.0,4.3,20
2015-12-10,31.3,17.2,39.4,6.8,0.0,4.3,19
2015-12-11,28.8,24.1,34.0,6.8,0.0,4.3,19
2015-12-12,19.6,10.8,25.2,6.8,0.3,4.3,18
2015-12-13,12.9,-0.9,32.0,7.1,0.0,4.6,21
2015-12-14,19.4,9.9,30.9,7.1,0.1,4.6,21
2015-12-15,7.2,0.0,13.8,7.2,0.3,4.7,22
2015-12-16,4.3,-0.8,13.1,7.5,0.1,5.0,24
2015-12-17,1.6,-6.9,9.0,7.6,0.1,5.1,24
2015-12-18,16.3,3.7,27.5,7.7,0.1,5.2,25
2015-12-19,25.9,12.9,37.9,7.8,0.1,5.3,23
2015-12-20,19.2,14.4,27.3,7.9,0.2,5.4,22
2015-12-21,16.9,13.3,23.0,8.1,0.3,5.6,26
2015-12-22,20.1,13.6,29.1,8.4,0.6,5.9,26
2015-12-23,9.0,0.1,18.3,9.0,0.3,6.4,32
2015-12-24,3.7,-8.5,13.1,9.3,0.2,6.7,34
2015-12-25,8.8,-3.3,18.9,9.5,0.1,6.9,32
2015-12-26,0.7,-8.9,8.8,9.6,0.0,7.0,33
2015-12-27,12.4,1.8,31.3,9.6,0.0,7.0,32
2015-12-28,8.4,-2.6,25.0,9.6,0.0,7.0,30
2015-12-29,4.1,-6.0,20.8,9.6,0.0,7.0,30
2015-12-30,0.9,-8.0,13.5,9.6,0.1,7.0,29
2015-12-31,0.7,-8.0,14.5,9.7,0.0,7.1,29
2016-01-01,4.3,-8.9,25.5,9.7,0.1,7.1,29
2016-01-02,13.1,-1.3,32.4,9.8,0.0,7.2,29
2016-01-03,19.4,6.1,36.7,9.8,0.1,7.2,28
2016-01-04,22.3,12.7,38.1,9.9,0.0,7.3,28
2016-01-05,19.4,11.3,32.4,9.9,0.0,7.3,27
2016-01-06,18.9,7.7,31.6,9.9,0.0,7.3,27
2016-01-07,16.3,5.0,24.6,9.9,0.2,7.3,27
2016-01-08,9.9,0.7,19.0,10.1,0.1,7.5,27
2016-01-09,10.4,5.9,18.0,10.2,0.0,7.6,27
2016-01-10,4.5,-6.3,18.0,10.2,0.0,7.6,31
2016-01-11,2.7,-9.4,21.4,10.2,0.0,7.6,28
2016-01-12,9.1,-5.6,29.8,10.2,0.0,7.6,29
2016-01-13,14.5,0.7,37.9,10.2,0.0,7.6,28
2016-01-14,11.5,5.4,15.3,10.2,0.2,7.6,28
2016-01-15,11.1,7.3,17.8,10.4,0.2,7.8,27
2016-01-16,9.3,4.5,16.0,10.6,0.4,8.1,31
2016-01-17,14.4,8.4,19.0,11.0,0.3,8.3,32
2016-01-18,19.9,10.8,32.7,11.3,0.2,8.9,38
2016-01-19,16.3,2.3,29.7,11.5,0.0,9.0,38
2016-01-20,13.1,1.0,20.8,11.5,0.4,9.0,37
2016-01-21,9.7,1.8,25.9,11.9,0.1,9.4,41
2016-01-22,19.2,6.8,38.5,12.0,0.1,9.4,38
2016-01-23,21.0,7.3,40.6,12.1,0.0,9.5,35
2016-01-24,16.2,8.2,29.7,12.1,0.2,9.5,34
2016-01-25,10.6,3.4,20.8,12.3,0.0,9.8,37
2016-01-26,6.6,-5.1,20.1,12.3,0.0,9.8,36
2016-01-27,17.1,5.0,36.3,12.3,0.0,9.8,36
2016-01-28,19.2,5.9,39.6,12.3,0.1,9.8,35
2016-01-29,22.5,11.5,33.1,12.4,0.1,9.8,33
2016-01-30,25.5,14.2,33.4,12.5,0.7,10.0,34
2016-01-31,16.3,9.9,22.6,13.2,0.6,10.7,40
2016-02-01,14.2,3.0,24.4,13.8,0.5,11.3,41
2016-02-02,3.4,-5.6,14.0,14.3,0.2,12.0,49
2016-02-03,-2.0,-8.9,8.1,14.5,0.0,12.2,47
2016-02-04,2.3,-14.4,19.2,14.5,0.0,12.2,44
2016-02-05,4.5,-7.2,19.4,14.5,0.1,12.2,41
2016-02-06,10.9,-6.3,30.6,14.6,0.2,12.4,45
2016-02-07,15.6,4.5,31.3,14.8,0.0,12.6,43
2016-02-08,16.9,1.8,35.6,14.8,0.0,12.6,42
2016-02-09,20.1,3.4,41.9,14.8,0.0,12.6,41
2016-02-10,24.1,8.4,45.0,14.8,0.0,12.6,40
2016-02-11,24.6,7.7,45.5,14.8,0.0,12.6,40
2016-02-12,27.5,12.9,47.1,14.8,0.0,12.6,39
2016-02-13,27.0,14.5,45.3,14.8,0.0,12.6,39
2016-02-14,19.6,10.8,27.7,14.8,0.3,12.6,39
2016-02-15,22.5,18.7,25.7,15.1,0.2,12.9,41
2016-02-16,24.8,12.9,37.0,15.3,0.0,13.1,39
2016-02-17,31.8,11.7,52.9,15.3,0.0,13.1,39
2016-02-18,32.4,15.8,44.1,15.3,0.2,13.1,39
2016-02-19,21.2,3.6,39.6,15.5,0.0,13.4,38
2016-02-20,25.0,9.5,43.2,15.5,0.0,13.4,41
2016-02-21,24.4,9.5,41.9,15.5,0.1,13.4,40
2016-02-22,17.6,7.3,27.7,15.6,0.0,13.5,39
2016-02-23,12.0,-2.9,24.3,15.6,0.0,13.5,40
2016-02-24,11.3,-8.5,30.9,15.6,0.0,13.5,40
2016-02-25,19.9,0.7,40.1,15.6,0.1,13.5,39
2016-02-26,25.5,7.5,46.6,15.7,0.0,13.6,39
2016-02-27,28.4,9.5,45.9,15.7,0.0,13.6,39
2016-02-28,25.0,9.7,45.0,15.7,0.0,13.6,38
2016-02-29,24.1,12.6,36.9,15.7,0.1,13.6,38
2016-03-01,26.2,16.2,38.8,15.8,0.1,13.7,37
2016-03-02,26.6,21.0,37.2,15.9,0.0,13.8,38
2016-03-03,27.1,7.9,46.4,15.9,0.0,13.8,38
2016-03-04,29.3,16.0,45.7,15.9,0.0,13.8,38
2016-03-05,33.8,19.9,50.0,15.9,0.1,13.8,37
2016-03-06,29.1,17.1,42.6,16.0,0.2,13.8,37
2016-03-07,21.9,16.3,30.6,16.2,0.2,14.0,39
2016-03-08,17.8,5.7,34.9,16.4,0.0,14.3,38
2016-03-09,18.3,2.3,37.0,16.4,0.1,14.3,42
2016-03-10,26.6,6.4,47.7,16.5,0.1,14.4,41
2016-03-11,36.0,19.2,56.5,16.6,0.0,14.5,40
2016-03-12,30.2,21.4,43.9,16.6,0.2,14.5,38
2016-03-13,29.3,19.4,44.4,16.8,0.0,14.7,39
2016-03-14,24.8,15.8,34.9,16.8,0.7,14.7,39
2016-03-15,14.5,9.0,23.5,17.5,0.4,15.4,46
2016-03-16,15.8,8.8,23.5,17.9,0.3,15.8,49
2016-03-17,23.2,15.1,34.3,18.2,0.0,16.1,47
2016-03-18,19.2,9.1,31.6,18.2,0.0,16.1,47
2016-03-19,18.0,2.3,34.5,18.2,0.0,16.1,47
2016-03-20,23.7,1.2,44.4,18.2,0.1,16.1,46
2016-03-21,35.2,14.5,52.2,18.3,0.1,16.2,44
2016-03-22,32.5,19.8,46.2,18.4,0.1,16.3,42
2016-03-23,16.7,14.0,21.2,18.5,0.3,16.4,44
2016-03-24,19.9,13.5,32.0,18.8,0.2,16.7,47
2016-03-25,17.6,3.9,26.4,19.0,0.5,16.9,46
2016-03-26,10.2,-1.3,25.9,19.5,0.0,17.5,52
2016-03-27,17.1,-5.3,35.2,19.5,0.1,17.5,47
2016-03-28,30.6,12.9,45.5,19.6,0.1,17.6,48
2016-03-29,27.5,5.7,43.9,19.7,0.2,17.6,46
2016-03-30,16.0,3.9,28.0,19.9,0.1,17.8,47
2016-03-31,15.8,0.7,30.6,20.0,0.0,17.9,48
2016-04-01,13.6,-0.9,30.6,20.0,0.1,18.1,49
2016-04-02,25.5,4.1,46.4,20.1,0.0,18.1,48
2016-04-03,31.3,11.8,48.0,20.1,0.1,18.1,46
2016-04-04,36.1,21.9,52.0,20.2,0.1,18.1,44
2016-04-05,24.1,6.1,43.5,20.3,0.1,18.1,42
2016-04-06,26.8,5.0,43.7,20.4,0.2,18.5,46
2016-04-07,36.0,16.7,53.8,20.6,0.0,18.5,43
2016-04-08,37.9,23.4,50.7,20.6,0.1,18.2,42
2016-04-09,32.7,27.0,47.1,20.7,0.1,17.8,41
2016-04-10,33.8,23.5,49.1,20.8,0.1,17.8,41
2016-04-11,32.7,24.4,48.4,20.9,0.0,17.8,41
2016-04-12,32.2,23.7,50.7,20.9,0.3,17.8,39
2016-04-13,35.1,22.1,52.0,21.2,0.1,18.1,43
2016-04-14,37.2,27.1,53.2,21.3,0.1,18.2,40
2016-04-15,28.8,23.5,39.2,21.4,1.0,18.2,39
2016-04-16,22.3,17.2,29.3,22.4,0.3,19.4,51
2016-04-17,21.4,12.2,32.7,22.7,0.3,19.7,51
2016-04-18,23.7,13.6,35.8,23.0,0.6,20.0,50
2016-04-19,25.3,19.6,41.2,23.6,0.3,20.6,55
2016-04-20,29.7,23.0,45.7,23.9,0.1,20.9,53
2016-04-21,34.5,18.3,53.6,24.0,0.0,20.9,50
2016-04-22,41.4,26.2,60.6,24.0,0.1,20.6,45
2016-04-23,37.0,23.2,55.6,24.1,0.1,20.2,43
2016-04-24,29.5,22.6,42.8,24.2,0.1,20.1,42
2016-04-25,34.5,20.3,52.2,24.3,0.3,20.0,42
2016-04-26,25.3,17.4,40.3,24.6,0.2,19.9,42
2016-04-27,27.1,20.3,38.8,24.8,0.2,19.9,42
2016-04-28,29.7,22.3,41.7,25.0,0.1,20.0,41
2016-04-29,26.8,23.4,36.3,25.1,0.4,20.1,42
2016-04-30,25.2,19.2,35.8,25.5,0.1,20.3,44
2016-05-01,23.5,16.9,30.9,25.6,0.1,20.4,45
2016-05-02,32.0,19.2,50.0,25.7,0.0,20.5,44
2016-05-03,35.6,17.2,51.8,25.7,0.0,20.4,42
2016-05-04,42.4,27.0,59.9,25.7,0.0,20.2,39
2016-05-05,45.9,29.5,64.9,25.7,0.0,19.2,37
2016-05-06,44.8,32.5,54.7,25.7,0.0,18.4,35
2016-05-07,32.9,19.2,49.1,25.7,0.1,17.5,33
2016-05-08,30.6,18.0,47.8,25.8,0.2,17.6,34
2016-05-09,31.3,27.1,37.2,26.0,0.4,17.8,34
2016-05-10,30.4,17.2,43.9,26.4,0.9,18.0,35
2016-05-11,28.8,15.4,42.8,27.3,0.0,18.5,40
2016-05-12,35.2,14.9,53.8,27.3,0.0,18.1,38
2016-05-13,42.3,22.6,58.8,27.3,0.0,17.2,35
2016-05-14,45.5,30.7,61.9,27.3,0.1,16.6,33
2016-05-15,38.7,28.8,52.9,27.4,0.1,16.2,31
2016-05-16,34.5,28.8,49.5,27.5,0.5,16.0,30
2016-05-17,34.0,28.0,43.9,28.0,0.0,16.1,31
2016-05-18,36.7,24.4,53.2,28.0,0.1,15.9,30
2016-05-19,39.4,29.3,53.1,28.1,0.1,15.6,28
2016-05-20,43.7,32.4,57.0,28.2,0.0,15.0,27
2016-05-21,47.5,30.9,59.9,28.2,0.0,14.4,26
2016-05-22,41.2,26.8,57.6,28.2,0.0,13.4,24
2016-05-23,38.7,27.1,52.9,28.2,0.0,12.0,21
2016-05-24,42.1,28.8,58.3,28.2,0.0,11.0,19
2016-05-25,40.3,29.3,51.6,28.2,0.0,9.8,17
2016-05-26,36.0,27.5,49.3,28.2,0.0,8.8,15
2016-05-27,32.7,25.3,47.7,28.2,0.6,7.6,13
2016-05-28,36.3,23.5,52.9,28.8,0.0,7.9,16
2016-05-29,41.4,29.7,61.2,28.8,0.0,7.4,14
2016-05-30,42.3,30.6,60.6,28.8,0.0,6.4,12
2016-05-31,42.6,29.8,58.3,28.8,0.0,5.3,10
2016-06-01,45.3,30.6,59.7,28.8,0.0,3.8,7
2016-06-02,46.6,32.5,63.0,28.8,0.0,1.7,4
2016-06-03,48.2,31.6,63.3,28.8,0.0,0.9,1
2016-06-04,50.9,35.6,68.2,28.8,0.0,0.0,0
2016-06-05,52.2,36.5,68.0,28.8,0.0,0.0,0
2016-06-06,49.5,38.8,68.7,28.8,0.0,0.0,0
2016-06-07,51.8,37.2,67.5,28.8,0.0,0.0,0
2016-06-08,48.9,37.2,64.2,28.8,0.0,0.0,0
2016-06-09,49.5,37.0,67.1,28.8,0.0,0.0,0
2016-06-10,56.5,39.9,71.6,28.8,0.0,0.0,0
2016-06-11,53.1,40.6,71.2,28.8,0.1,0.0,0
2016-06-12,48.2,38.5,68.2,28.9,0.1,0.0,0
2016-06-13,43.2,31.6,60.1,29.0,0.3,0.0,0
2016-06-14,43.0,29.7,57.0,29.3,0.0,0.0,0
2016-06-15,52.5,34.0,69.4,29.3,0.0,0.0,0
2016-06-16,52.0,35.2,69.1,29.3,0.0,0.0,0
2016-06-17,54.3,38.1,72.7,29.3,0.0,0.0,0
2016-06-18,57.0,38.1,76.3,29.3,0.0,0.0,0
2016-06-19,59.7,42.4,76.6,29.3,0.0,0.0,0
2016-06-20,63.0,45.3,79.9,29.3,0.0,0.0,0
2016-06-21,54.0,47.5,61.0,29.3,0.0,0.0,0
2016-06-22,53.2,42.6,74.7,29.3,0.2,0.0,0
2016-06-23,52.2,43.2,68.2,29.5,0.1,0.0,0
2016-06-24,55.2,42.3,71.4,29.6,0.0,0.0,0
2016-06-25,55.6,41.2,70.3,29.6,0.0,0.0,0
2016-06-26,56.7,40.8,70.9,29.6,0.0,0.0,0
2016-06-27,57.0,40.8,74.1,29.6,0.0,0.0,0
2016-06-28,57.4,43.2,73.0,29.6,0.0,0.0,0
2016-06-29,52.5,43.5,70.5,29.6,0.1,0.0,0
2016-06-30,51.8,42.1,64.2,29.7,0.1,0.0,0
2016-07-01,48.0,45.0,55.8,29.8,0.2,0.0,0
2016-07-02,46.6,41.9,53.8,30.0,0.4,0.0,0
2016-07-03,46.2,39.2,59.5,30.4,0.1,0.0,0
2016-07-04,53.2,38.7,67.8,30.5,0.0,0.0,0
2016-07-05,54.9,42.1,68.5,30.5,0.0,0.0,0
2016-07-06,55.4,41.2,68.0,30.5,0.0,0.0,0
2016-07-07,55.6,40.8,67.8,30.5,0.0,0.0,0
2016-07-08,57.6,42.6,72.5,30.5,0.0,0.0,0
2016-07-09,58.8,44.6,72.7,30.5,0.0,0.0,0
2016-07-10,60.6,43.2,72.9,30.5,0.0,0.0,0
2016-07-11,53.2,39.9,63.9,30.5,0.0,0.0,0
2016-07-12,54.0,35.8,68.5,30.5,0.0,0.0,0
2016-07-13,55.2,37.2,70.3,30.5,0.0,0.0,0
2016-07-14,55.8,38.8,71.4,30.5,0.0,0.0,0
2016-07-15,56.5,41.9,70.3,30.5,0.0,0.0,0
2016-07-16,59.0,42.6,72.9,30.5,0.0,0.0,0
2016-07-17,59.2,42.4,73.6,30.5,0.0,0.0,0
2016-07-18,55.4,46.6,71.2,30.5,0.2,0.0,0
2016-07-19,54.3,44.6,67.5,30.7,0.0,0.0,0
2016-07-20,53.4,43.7,69.8,30.7,0.1,0.0,0
2016-07-21,51.3,44.4,65.1,30.8,0.4,0.0,0
2016-07-22,55.4,43.9,71.6,31.2,0.0,0.0,0
2016-07-23,58.3,43.7,74.1,31.2,0.0,0.0,0
2016-07-24,55.9,41.7,73.2,31.2,0.0,0.0,0
2016-07-25,56.7,43.9,72.5,31.2,0.0,0.0,0
2016-07-26,54.0,43.9,69.6,31.2,0.0,0.0,0
2016-07-27,58.5,42.3,74.3,31.2,0.0,0.0,0
2016-07-28,60.6,42.1,75.9,31.2,0.0,0.0,0
2016-07-29,58.5,41.9,74.5,31.2,0.0,0.0,0
2016-07-30,59.5,45.0,75.6,31.2,0.1,0.0,0
2016-07-31,54.0,41.9,68.0,31.3,0.1,0.0,0
2016-08-01,57.0,41.7,72.0,31.4,0.0,0.0,0
2016-08-02,58.5,46.2,71.2,31.4,0.0,0.0,0
2016-08-03,58.8,46.2,76.3,31.4,0.0,0.0,0
2016-08-04,49.8,45.0,55.9,31.4,0.5,0.0,0
2016-08-05,49.1,44.6,53.6,31.9,0.4,0.0,0
2016-08-06,50.4,43.7,62.6,32.3,0.0,0.0,0
2016-08-07,52.7,41.4,70.7,32.3,0.0,0.0,0
2016-08-08,49.8,43.7,61.9,32.3,0.1,0.0,0
2016-08-09,50.9,42.1,70.0,32.4,0.3,0.0,0
2016-08-10,51.4,41.2,67.1,32.7,0.0,0.0,0
2016-08-11,50.9,40.5,65.8,32.7,0.0,0.0,0
2016-08-12,49.8,37.2,64.8,32.7,0.0,0.0,0
2016-08-13,50.4,36.0,66.4,32.7,0.0,0.0,0
2016-08-14,53.6,36.9,69.4,32.7,0.0,0.0,0
2016-08-15,53.8,40.1,71.6,32.7,0.0,0.0,0
2016-08-16,51.1,41.4,70.7,32.7,0.0,0.0,0
2016-08-17,48.2,39.0,66.9,32.7,0.1,0.0,0
2016-08-18,46.4,38.1,61.7,32.8,0.0,0.0,0
2016-08-19,47.5,37.4,64.2,32.8,0.1,0.0,0
2016-08-20,51.1,37.9,64.9,32.9,0.0,0.0,0
2016-08-21,54.7,38.1,70.2,32.9,0.0,0.0,0
2016-08-22,48.6,38.3,65.7,32.9,0.0,0.0,0
2016-08-23,45.7,36.5,62.6,32.9,0.1,0.0,0
2016-08-24,44.6,35.6,59.0,33.0,0.0,0.0,0
2016-08-25,41.9,32.5,59.9,33.0,0.4,0.0,0
2016-08-26,42.6,33.8,56.8,33.4,0.0,0.0,0
2016-08-27,44.1,34.0,58.5,33.4,0.0,0.0,0
2016-08-28,43.9,37.8,57.7,33.4,0.3,0.0,0
2016-08-29,43.0,35.2,57.4,33.7,0.0,0.0,0
2016-08-30,45.5,34.3,63.0,33.7,0.1,0.0,0
2016-08-31,52.5,37.9,67.5,33.8,0.0,0.0,0
2016-09-01,51.4,41.4,65.5,33.8,0.1,0.0,0
2016-09-02,47.1,40.5,59.4,33.9,0.3,0.0,0
2016-09-03,47.7,39.4,63.9,34.2,0.1,0.0,0
2016-09-04,47.8,38.1,60.8,34.3,0.1,0.0,0
2016-09-05,49.5,34.5,64.8,34.4,0.0,0.0,0
2016-09-06,51.4,38.8,64.8,34.4,0.0,0.0,0
2016-09-07,49.1,34.9,64.0,34.4,0.0,0.0,0
2016-09-08,48.6,32.7,65.8,34.4,0.0,0.0,0
2016-09-09,46.8,30.2,62.6,34.4,0.0,0.0,0
2016-09-10,48.2,32.9,67.8,34.4,0.0,0.0,0
2016-09-11,48.2,33.1,65.1,34.4,0.0,0.0,0
2016-09-12,46.6,34.0,63.0,34.4,0.0,0.0,0
2016-09-13,45.3,34.9,57.6,34.4,0.1,0.0,0
2016-09-14,44.1,34.3,59.4,34.5,0.1,0.0,0
2016-09-15,40.1,30.4,53.2,34.6,0.0,0.0,0
2016-09-16,40.8,28.8,57.6,34.6,0.0,0.0,0
2016-09-17,42.1,29.1,57.7,34.6,0.0,0.0,0
2016-09-18,45.0,26.2,63.9,34.6,0.0,0.0,0
2016-09-19,50.9,34.0,69.4,34.6,0.0,0.0,0
2016-09-20,51.1,41.4,63.7,34.6,0.2,0.0,0
2016-09-21,46.6,40.6,57.7,34.8,0.0,0.0,0
2016-09-22,51.6,41.2,63.7,34.8,0.0,0.0,0
2016-09-23,36.7,23.7,53.1,34.8,0.0,0.0,0
2016-09-24,30.2,23.5,34.9,34.8,0.0,0.0,0
2016-09-25,38.1,27.1,54.7,34.8,0.0,0.0,0
2016-09-26,43.9,29.7,63.7,34.8,0.0,0.0,0
2016-09-27,47.8,34.2,65.8,34.8,0.0,0.0,0
2016-09-28,49.5,36.5,62.6,34.8,0.2,0.0,0
2016-09-29,46.8,36.3,61.2,35.0,0.0,0.0,0
2016-09-30,42.4,34.9,53.4,35.0,0.0,0.0,0
