Date,Mancos (905) Air Temperature Average (degF),Mancos (905) Air Temperature Minimum (degF),Mancos (905) Air Temperature Maximum (degF),Mancos (905) Precipitation Accumulation (in) Start of Day Values,Mancos (905) Precipitation Increment (in),Mancos (905) Snow Water Equivalent (in) Start of Day Values,Mancos (905) Snow Depth (in) Start of Day Values
2015-10-30,34.2,28.8,46.2,3.1,0.0,0.1,1
2015-10-31,38.8,29.3,53.2,3.1,0.0,0.0,0
2015-11-01,41.9,35.2,53.6,3.1,0.1,0.0,0
2015-11-02,43.2,36.3,52.9,3.2,0.0,0.0,0
2015-11-03,38.8,30.0,44.4,3.2,0.0,0.0,0
2015-11-04,23.5,17.2,30.0,3.2,0.9,0.1,1
2015-11-05,20.1,16.2,27.9,4.1,0.1,1.2,7
2015-11-06,21.7,17.4,29.8,4.2,0.0,1.2,7
2015-11-07,27.0,19.9,37.9,4.2,0.0,1.1,5
2015-11-08,30.2,23.0,40.1,4.2,0.1,1.1,3
2015-11-09,33.3,27.0,41.4,4.3,0.1,1.2,4
2015-11-10,26.8,15.6,35.8,4.4,0.8,1.2,4
2015-11-11,19.9,14.0,29.3,5.2,0.3,2.3,15
2015-11-12,29.1,19.9,41.2,5.5,0.1,2.5,16
2015-11-13,34.2,26.8,43.2,5.6,0.0,2.5,11
2015-11-14,36.1,31.5,43.9,5.6,0.1,2.5,12
2015-11-15,32.2,27.0,41.0,5.7,0.3,2.5,10
2015-11-16,19.8,14.4,29.1,6.0,1.4,2.9,13
2015-11-17,19.6,14.9,25.9,7.4,0.0,4.4,24
2015-11-18,23.2,18.3,31.5,7.4,0.0,4.4,22
2015-11-19,30.4,19.6,42.1,7.4,0.0,4.4,20
2015-11-20,28.4,19.0,39.0,7.4,0.0,4.4,19
2015-11-21,27.7,21.7,38.8,7.4,0.0,4.4,18
2015-11-22,33.1,23.9,44.8,7.4,0.0,4.4,17
2015-11-23,35.1,29.8,44.6,7.4,0.0,4.4,17
2015-11-24,32.0,26.6,38.5,7.4,0.0,4.4,17
2015-11-25,31.6,25.7,34.7,7.4,0.1,4.4,16
2015-11-26,25.2,22.3,30.9,7.5,0.0,4.4,15
2015-11-27,24.3,17.4,34.2,7.5,0.0,4.4,17
2015-11-28,20.1,10.0,28.0,7.5,0.0,4.4,17
2015-11-29,15.1,8.1,21.2,7.5,0.1,4.4,17
2015-11-30,9.1,0.7,19.6,7.6,0.0,4.5,21
2015-12-01,17.1,5.7,30.9,7.6,0.1,4.5,16
2015-12-02,27.1,21.7,37.2,7.7,0.0,4.5,19
2015-12-03,31.5,23.4,41.9,7.7,0.1,4.6,19
2015-12-04,32.7,23.4,39.0,7.8,0.1,4.6,18
2015-12-05,24.8,17.2,29.8,7.9,0.0,4.7,17
2015-12-06,35.8,28.4,45.0,7.9,0.1,4.7,20
2015-12-07,36.3,30.7,45.5,8.0,0.0,4.8,20
2015-12-08,36.0,30.7,48.2,8.0,0.0,4.9,19
2015-12-09,36.9,29.8,46.8,8.0,0.0,4.9,19
2015-12-10,36.1,30.2,40.6,8.0,0.0,4.9,18
2015-12-11,28.8,22.5,32.9,8.0,0.1,4.9,18
2015-12-12,21.0,16.0,25.3,8.1,0.4,4.9,18
2015-12-13,25.0,16.3,38.5,8.5,0.1,5.4,22
2015-12-14,16.9,8.6,25.9,8.6,0.4,5.5,22
2015-12-15,7.5,0.9,15.3,9.0,0.3,6.3,30
2015-12-16,8.2,2.8,23.5,9.3,0.2,6.6,34
2015-12-17,9.1,2.8,18.0,9.5,0.0,6.7,35
2015-12-18,26.8,15.6,37.2,9.5,0.1,6.7,32
2015-12-19,32.5,26.2,39.0,9.6,0.1,6.8,29
2015-12-20,19.9,16.3,27.5,9.7,0.3,6.9,28
2015-12-21,19.2,13.3,25.2,10.0,0.4,7.3,31
2015-12-22,21.0,19.4,22.5,10.4,1.3,7.7,35
2015-12-23,12.9,1.8,19.4,11.7,0.3,9.3,41
2015-12-24,11.7,1.0,19.9,12.0,0.2,9.6,43
2015-12-25,11.7,1.8,19.0,12.2,0.5,9.9,45
2015-12-26,9.1,-1.3,21.0,12.7,0.2,10.7,48
2015-12-27,20.5,10.9,33.3,12.9,0.0,10.8,48
2015-12-28,16.9,10.9,22.3,12.9,0.0,10.8,43
2015-12-29,11.5,7.2,18.3,12.9,0.1,10.8,41
2015-12-30,10.0,7.2,20.3,13.0,0.0,10.8,40
2015-12-31,10.9,6.1,19.9,13.0,0.0,10.8,40
2016-01-01,17.6,10.0,26.4,13.0,0.1,10.8,41
2016-01-02,25.2,14.5,36.0,13.1,0.1,10.9,41
2016-01-03,30.6,25.2,37.9,13.2,0.0,10.9,40
2016-01-04,29.5,22.1,36.5,13.2,0.1,11.0,40
2016-01-05,22.1,20.7,30.4,13.3,0.1,11.1,38
2016-01-06,22.3,18.3,25.2,13.4,0.6,11.2,40
2016-01-07,17.6,15.1,24.6,14.0,0.5,12.1,47
2016-01-08,14.4,8.2,18.7,14.5,0.3,12.6,50
2016-01-09,11.3,6.3,20.5,14.8,0.0,12.8,52
2016-01-10,10.8,4.5,20.5,14.8,0.0,12.8,49
2016-01-11,19.8,10.8,28.4,14.8,0.0,12.8,47
2016-01-12,25.7,16.9,39.6,14.8,0.0,12.8,45
2016-01-13,28.8,22.3,43.9,14.8,0.0,12.8,46
2016-01-14,17.1,9.9,26.8,14.8,0.0,12.8,45
2016-01-15,14.4,8.2,19.0,14.8,0.0,12.8,45
2016-01-16,15.1,5.0,26.2,14.8,0.1,12.8,44
2016-01-17,20.8,16.2,29.8,14.9,0.0,12.9,38
2016-01-18,25.3,19.9,33.4,14.9,0.2,13.0,43
2016-01-19,21.4,15.8,27.0,15.1,0.1,13.0,43
2016-01-20,16.5,7.2,24.8,15.2,0.1,13.2,45
2016-01-21,20.3,8.1,30.0,15.3,0.1,13.2,45
2016-01-22,33.4,27.3,44.4,15.4,0.0,13.3,45
2016-01-23,33.1,28.8,39.9,15.4,0.0,13.5,44
2016-01-24,19.9,12.6,29.8,15.4,0.4,13.5,43
2016-01-25,12.0,5.9,22.5,15.8,0.0,13.8,47
2016-01-26,18.9,10.4,27.7,15.8,0.1,13.8,48
2016-01-27,32.0,24.1,43.0,15.9,0.0,13.9,47
2016-01-28,34.0,26.6,45.7,15.9,0.0,14.0,46
2016-01-29,31.5,24.4,42.3,15.9,0.0,14.0,45
2016-01-30,30.6,25.0,37.8,15.9,0.2,14.0,44
2016-01-31,24.4,23.4,25.7,16.1,0.7,14.2,45
2016-02-01,13.3,7.3,24.1,16.8,0.7,15.3,50
2016-02-02,5.0,-3.6,18.0,17.5,0.0,16.2,58
2016-02-03,3.2,-5.1,16.0,17.5,0.0,16.2,58
2016-02-04,8.4,1.4,17.4,17.5,0.1,16.2,54
2016-02-05,13.8,2.8,23.9,17.6,0.1,16.3,54
2016-02-06,25.0,15.4,36.1,17.7,0.0,16.3,54
2016-02-07,31.6,23.2,45.9,17.7,0.0,16.3,52
2016-02-08,35.8,28.8,48.2,17.7,0.0,16.3,51
2016-02-09,40.3,34.0,51.6,17.7,0.0,16.3,49
2016-02-10,38.8,31.5,49.8,17.7,0.0,16.3,48
2016-02-11,38.1,31.3,50.2,17.7,0.0,16.3,47
2016-02-12,41.2,33.3,51.8,17.7,0.0,16.3,46
2016-02-13,37.4,27.5,48.6,17.7,0.0,16.3,45
2016-02-14,30.0,23.5,37.9,17.7,0.0,16.3,44
2016-02-15,31.3,24.4,43.5,17.7,0.0,16.3,44
2016-02-16,36.5,25.3,48.6,17.7,0.0,16.3,44
2016-02-17,41.2,32.4,48.0,17.7,0.0,16.2,42
2016-02-18,35.2,26.8,38.8,17.7,0.0,16.2,41
2016-02-19,33.4,26.6,41.2,17.7,0.0,16.2,41
2016-02-20,36.0,30.0,45.5,17.7,0.0,16.1,41
2016-02-21,34.5,26.4,42.4,17.7,0.0,15.9,41
2016-02-22,25.5,17.1,36.3,17.7,0.0,15.9,39
2016-02-23,17.6,14.5,22.5,17.7,0.0,16.1,40
2016-02-24,22.3,9.7,36.3,17.7,0.1,16.1,41
2016-02-25,31.5,24.3,42.1,17.8,0.1,16.4,42
2016-02-26,34.9,26.8,43.7,17.9,0.0,16.4,41
2016-02-27,36.5,32.0,44.4,17.9,0.0,16.4,39
2016-02-28,35.6,29.7,45.9,17.9,0.0,16.4,38
2016-02-29,33.4,28.2,44.1,17.9,0.0,15.8,38
2016-03-01,34.3,28.4,44.2,17.9,0.0,15.2,37
2016-03-02,35.1,27.5,44.2,17.9,0.0,15.0,36
2016-03-03,37.9,28.4,49.1,17.9,0.0,14.9,35
2016-03-04,39.9,34.9,49.1,17.9,0.0,14.6,33
2016-03-05,38.7,34.9,43.2,17.9,0.0,14.3,33
2016-03-06,30.7,23.2,35.6,17.9,0.2,13.9,32
2016-03-07,21.9,16.9,34.5,18.1,0.3,14.1,32
2016-03-08,27.1,20.1,36.9,18.4,0.0,14.5,35
2016-03-09,27.0,19.9,38.3,18.4,0.0,14.5,35
2016-03-10,37.8,24.8,52.2,18.4,0.0,14.5,33
2016-03-11,41.7,34.0,49.5,18.4,0.0,14.5,32
2016-03-12,29.5,21.6,38.1,18.4,0.0,14.5,30
2016-03-13,30.6,22.6,38.8,18.4,0.0,14.5,30
2016-03-14,30.4,23.5,39.0,18.4,0.0,14.5,30
2016-03-15,24.1,15.1,33.4,18.4,0.0,14.3,30
2016-03-16,25.5,16.3,36.3,18.4,0.0,14.2,30
2016-03-17,31.5,23.5,42.3,18.4,0.0,14.0,29
2016-03-18,31.8,25.2,42.3,18.4,0.0,13.7,28
2016-03-19,32.2,24.3,43.9,18.4,0.0,13.5,27
2016-03-20,36.5,27.1,47.5,18.4,0.0,13.2,25
2016-03-21,41.4,33.4,48.4,18.4,0.0,12.7,24
2016-03-22,32.4,16.3,43.0,18.4,0.0,12.4,23
2016-03-23,18.0,12.9,25.7,18.4,0.0,12.4,23
2016-03-24,25.7,14.7,39.2,18.4,0.1,12.4,23
2016-03-25,25.7,17.8,33.3,18.5,0.1,12.4,23
2016-03-26,20.5,12.4,30.6,18.6,0.3,12.3,23
2016-03-27,28.2,15.1,38.7,18.9,0.3,12.9,26
2016-03-28,34.3,30.2,41.4,19.2,0.0,12.9,27
2016-03-29,23.2,15.4,32.0,19.2,0.4,12.9,27
2016-03-30,16.7,12.6,31.5,19.6,0.0,13.3,28
2016-03-31,22.3,11.1,36.7,19.6,0.0,12.7,28
2016-04-01,27.0,19.4,40.5,19.6,0.0,12.2,26
2016-04-02,32.4,25.7,43.0,19.6,0.0,12.1,26
2016-04-03,37.2,26.6,49.6,19.6,0.0,11.8,25
2016-04-04,41.7,33.4,50.9,19.6,0.0,11.3,24
2016-04-05,36.7,24.4,48.0,19.6,0.0,10.8,23
2016-04-06,38.5,24.4,53.4,19.6,0.0,10.0,21
2016-04-07,44.6,34.3,55.2,19.6,0.0,9.4,20
2016-04-08,38.3,31.8,44.6,19.6,0.3,9.2,20
2016-04-09,34.9,30.2,44.2,19.9,0.1,9.1,19
2016-04-10,36.3,28.8,46.2,20.0,0.0,8.9,19
2016-04-11,32.9,27.7,40.3,20.0,0.1,8.4,18
2016-04-12,35.1,31.3,45.7,20.1,0.0,8.2,17
2016-04-13,39.6,30.2,50.2,20.1,0.1,8.2,17
2016-04-14,41.2,35.2,46.6,20.2,0.0,7.6,16
2016-04-15,30.7,23.9,37.9,20.2,0.3,6.8,14
2016-04-16,24.8,20.7,30.4,20.5,0.6,7.0,17
2016-04-17,25.2,21.6,37.2,21.1,0.3,7.6,20
2016-04-18,23.9,18.3,33.4,21.4,0.2,7.9,20
2016-04-19,27.0,17.2,38.1,21.6,0.0,8.1,20
2016-04-20,36.3,27.5,49.6,21.6,0.0,8.1,21
2016-04-21,44.2,32.9,55.4,21.6,0.0,8.1,18
2016-04-22,47.8,40.8,54.3,21.6,0.0,8.1,18
2016-04-23,38.8,28.8,46.0,21.6,0.0,7.5,16
2016-04-24,36.5,26.8,45.7,21.6,0.0,7.4,15
2016-04-25,31.5,20.5,38.8,21.6,0.0,6.3,12
2016-04-26,24.1,19.8,29.5,21.6,0.2,6.0,12
2016-04-27,30.4,21.6,40.8,21.8,0.1,5.4,12
2016-04-28,31.5,26.6,38.3,21.9,0.3,5.5,11
2016-04-29,27.3,23.9,35.1,22.2,0.2,6.1,12
2016-04-30,30.6,21.6,41.0,22.4,0.0,6.3,12
2016-05-01,30.6,26.8,35.6,22.4,0.2,6.5,11
2016-05-02,30.6,23.5,40.1,22.6,0.0,6.5,11
2016-05-03,41.0,30.7,50.7,22.6,0.1,6.5,11
2016-05-04,46.2,39.2,53.6,22.7,0.0,5.8,10
2016-05-05,50.7,41.7,59.0,22.7,0.0,3.7,6
2016-05-06,44.4,34.0,53.1,22.7,0.0,2.2,4
2016-05-07,30.7,23.5,35.8,22.7,0.2,0.9,2
2016-05-08,30.7,25.5,35.2,22.9,0.4,0.8,2
2016-05-09,36.9,28.4,48.2,23.3,0.9,0.9,2
2016-05-10,38.1,28.8,46.2,24.2,0.0,1.7,4
2016-05-11,36.5,28.8,45.7,24.2,0.0,1.3,2
2016-05-12,43.9,32.4,54.0,24.2,0.1,0.3,1
2016-05-13,51.1,41.7,60.4,24.3,0.0,0.0,0
2016-05-14,52.5,39.4,60.4,24.3,0.1,0.0,0
2016-05-15,45.7,38.3,53.2,24.4,0.1,0.0,0
2016-05-16,36.0,29.8,43.2,24.5,0.1,0.0,0
2016-05-17,36.3,30.6,46.4,24.6,0.1,0.0,0
2016-05-18,34.0,30.7,43.0,24.7,0.3,0.0,0
2016-05-19,39.0,30.2,49.5,25.0,0.4,0.0,0
2016-05-20,46.8,39.0,55.2,25.4,0.0,0.0,0
2016-05-21,47.5,40.5,55.9,25.4,0.0,0.0,0
2016-05-22,43.2,36.5,51.4,25.4,0.0,0.0,0
2016-05-23,43.0,33.4,52.5,25.4,0.0,0.0,0
2016-05-24,43.9,35.2,53.8,25.4,0.0,0.0,0
2016-05-25,42.4,34.2,51.3,25.4,0.0,0.0,0
2016-05-26,37.2,31.8,44.1,25.4,0.0,0.0,0
2016-05-27,38.3,29.7,51.4,25.4,0.0,0.0,0
2016-05-28,45.0,37.9,55.6,25.4,0.0,0.0,0
2016-05-29,51.3,44.1,58.8,25.4,0.0,0.0,0
2016-05-30,49.8,42.8,60.1,25.4,0.0,0.0,0
2016-05-31,51.8,44.1,63.1,25.4,0.0,0.0,0
2016-06-01,52.2,45.9,62.2,25.4,0.0,0.0,0
2016-06-02,55.4,47.5,67.3,25.4,0.1,0.0,0
2016-06-03,57.0,48.6,68.5,25.5,0.0,0.0,0
2016-06-04,59.5,49.8,68.9,25.5,0.0,0.0,0
2016-06-05,61.2,51.6,71.8,25.5,0.0,0.0,0
2016-06-06,62.2,54.1,70.7,25.5,0.0,0.0,0
2016-06-07,60.6,54.3,68.7,25.5,0.0,0.0,0
2016-06-08,57.9,52.9,65.5,25.5,0.0,0.0,0
2016-06-09,60.1,53.4,72.5,25.5,0.0,0.0,0
2016-06-10,62.6,55.2,73.6,25.5,0.0,0.0,0
2016-06-11,55.9,49.6,63.5,25.5,0.0,0.0,0
2016-06-12,55.6,49.8,63.7,25.5,0.0,0.0,0
2016-06-13,48.6,40.1,57.7,25.5,0.0,0.0,0
2016-06-14,51.8,43.2,60.1,25.5,0.1,0.0,0
2016-06-15,56.1,46.6,65.1,25.6,0.0,0.0,0
2016-06-16,53.8,43.0,63.5,25.6,0.0,0.0,0
2016-06-17,57.9,49.6,67.3,25.6,0.0,0.0,0
2016-06-18,63.5,55.0,73.4,25.6,0.0,0.0,0
2016-06-19,65.7,57.2,77.2,25.6,0.0,0.0,0
2016-06-20,68.7,61.3,78.6,25.6,0.0,0.0,0
2016-06-21,65.7,59.5,77.0,25.6,0.0,0.0,0
2016-06-22,64.0,58.5,73.6,25.6,0.0,0.0,0
2016-06-23,63.0,53.4,71.4,25.6,0.0,0.0,0
2016-06-24,59.7,55.9,66.6,25.6,0.0,0.0,0
2016-06-25,60.6,52.7,71.6,25.6,0.0,0.0,0
2016-06-26,62.2,54.0,74.1,25.6,0.0,0.0,0
2016-06-27,62.8,54.0,75.2,25.6,0.0,0.0,0
2016-06-28,57.9,53.4,67.5,25.6,0.1,0.0,0
2016-06-29,58.5,49.5,70.7,25.7,0.0,0.0,0
2016-06-30,55.0,50.0,64.0,25.7,0.1,0.0,0
2016-07-01,48.6,46.0,52.2,25.8,0.5,0.0,0
2016-07-02,48.6,43.5,57.0,26.3,0.2,0.0,0
2016-07-03,52.5,42.6,65.5,26.5,0.0,0.0,0
2016-07-04,57.0,48.4,67.3,26.5,0.0,0.0,0
2016-07-05,59.9,52.9,67.8,26.5,0.0,0.0,0
2016-07-06,59.5,52.7,67.8,26.5,0.0,0.0,0
2016-07-07,59.0,51.3,67.6,26.5,0.0,0.0,0
2016-07-08,61.3,53.2,69.6,26.5,0.1,0.0,0
2016-07-09,62.8,55.0,70.5,26.6,0.0,0.0,0
2016-07-10,61.0,53.4,70.0,26.6,0.0,0.0,0
2016-07-11,57.9,50.7,68.7,26.6,0.0,0.0,0
2016-07-12,62.8,56.8,69.6,26.6,0.0,0.0,0
2016-07-13,61.7,53.4,71.6,26.6,0.0,0.0,0
2016-07-14,63.3,54.7,75.2,26.6,0.0,0.0,0
2016-07-15,64.2,57.0,74.8,26.6,0.0,0.0,0
2016-07-16,64.2,57.0,72.7,26.6,0.0,0.0,0
2016-07-17,63.1,55.2,75.2,26.6,0.0,0.0,0
2016-07-18,60.4,48.6,71.8,26.6,0.3,0.0,0
2016-07-19,57.0,48.4,69.4,26.9,0.7,0.0,0
2016-07-20,56.5,47.7,67.8,27.6,0.3,0.0,0
2016-07-21,59.9,47.7,71.1,27.9,0.0,0.0,0
2016-07-22,60.4,54.0,71.4,27.9,0.0,0.0,0
2016-07-23,61.9,54.7,76.6,27.9,0.1,0.0,0
2016-07-24,61.9,53.6,74.3,28.0,0.0,0.0,0
2016-07-25,62.2,53.2,74.3,28.0,0.0,0.0,0
2016-07-26,61.0,51.1,74.5,28.0,0.1,0.0,0
2016-07-27,64.8,54.3,79.7,28.1,0.0,0.0,0
2016-07-28,66.2,55.0,76.8,28.1,0.0,0.0,0
2016-07-29,66.9,58.8,80.6,28.1,0.1,0.0,0
2016-07-30,63.0,50.9,75.6,28.2,0.0,0.0,0
2016-07-31,57.9,48.9,68.0,28.2,0.1,0.0,0
2016-08-01,58.8,50.7,77.0,28.3,0.2,0.0,0
2016-08-02,58.5,53.1,72.7,28.5,0.0,0.0,0
2016-08-03,55.8,49.5,68.0,28.5,0.3,0.0,0
2016-08-04,53.4,48.6,61.5,28.8,0.4,0.0,0
2016-08-05,51.8,47.1,60.4,29.2,0.9,0.0,0
2016-08-06,53.8,46.8,65.8,30.1,0.0,0.0,0
2016-08-07,56.5,50.4,68.7,30.1,0.1,0.0,0
2016-08-08,59.4,51.3,69.4,30.2,0.0,0.0,0
2016-08-09,59.7,52.9,67.8,30.2,0.0,0.0,0
2016-08-10,55.9,48.4,68.4,30.2,0.0,0.0,0
2016-08-11,55.4,48.2,67.6,30.2,0.0,0.0,0
2016-08-12,56.8,47.3,70.5,30.2,0.0,0.0,0
2016-08-13,57.6,49.8,72.0,30.2,0.1,0.0,0
2016-08-14,57.9,50.0,71.8,30.3,0.0,0.0,0
2016-08-15,58.8,53.2,71.1,30.3,0.1,0.0,0
2016-08-16,55.0,50.0,66.4,30.4,0.0,0.0,0
2016-08-17,55.0,46.0,67.1,30.4,0.0,0.0,0
2016-08-18,52.5,47.3,61.5,30.4,0.1,0.0,0
2016-08-19,54.9,46.4,70.0,30.5,0.0,0.0,0
2016-08-20,57.4,50.7,71.8,30.5,0.0,0.0,0
2016-08-21,52.5,44.8,65.5,30.5,0.1,0.0,0
2016-08-22,50.2,45.7,62.1,30.6,0.0,0.0,0
2016-08-23,45.3,40.1,57.4,30.6,1.4,0.0,0
2016-08-24,48.4,39.9,63.0,32.0,0.1,0.0,0
2016-08-25,48.4,38.5,61.3,32.1,0.3,0.0,0
2016-08-26,46.6,40.3,57.0,32.4,0.1,0.0,0
2016-08-27,46.8,41.0,55.0,32.5,0.3,0.0,0
2016-08-28,45.7,40.3,56.8,32.8,0.1,0.0,0
2016-08-29,49.8,43.7,62.8,32.9,0.1,0.0,0
2016-08-30,51.6,46.2,61.9,33.0,0.0,0.0,0
2016-08-31,53.4,47.7,65.7,33.0,0.0,0.0,0
2016-09-01,54.7,47.1,66.0,33.0,0.1,0.0,0
2016-09-02,52.9,46.8,63.3,33.1,0.0,0.0,0
2016-09-03,53.2,48.0,61.3,33.1,0.1,0.0,0
2016-09-04,53.4,47.5,61.7,33.2,0.0,0.0,0
2016-09-05,54.7,47.5,63.9,33.2,0.0,0.0,0
2016-09-06,53.8,45.5,63.7,33.2,0.0,0.0,0
2016-09-07,53.2,47.5,62.1,33.2,0.0,0.0,0
2016-09-08,55.4,43.9,70.5,33.2,0.0,0.0,0
2016-09-09,55.8,46.0,70.0,33.2,0.0,0.0,0
2016-09-10,56.7,49.5,67.1,33.2,0.0,0.0,0
2016-09-11,56.1,50.2,68.0,33.2,0.1,0.0,0
2016-09-12,49.3,42.8,58.5,33.3,0.0,0.0,0
2016-09-13,47.7,41.9,57.7,33.3,0.1,0.0,0
2016-09-14,48.0,43.0,57.7,33.4,0.0,0.0,0
2016-09-15,47.5,41.2,58.3,33.4,0.0,0.0,0
2016-09-16,49.6,42.6,61.5,33.4,0.0,0.0,0
2016-09-17,50.4,44.2,64.2,33.4,0.0,0.0,0
2016-09-18,53.1,43.9,68.4,33.4,0.0,0.0,0
2016-09-19,57.0,48.4,69.4,33.4,0.1,0.0,0
2016-09-20,52.9,43.7,63.9,33.5,0.0,0.0,0
2016-09-21,48.9,44.6,57.4,33.5,0.5,0.0,0
2016-09-22,53.2,47.3,62.8,34.0,0.0,0.0,0
2016-09-23,34.0,26.8,47.3,34.0,1.1,0.0,0
2016-09-24,33.1,28.8,42.1,35.1,0.0,0.0,0
2016-09-25,45.0,32.4,58.5,35.1,0.1,0.0,0
2016-09-26,48.4,40.3,59.4,35.2,0.0,0.0,0
2016-09-27,49.6,40.6,59.9,35.2,0.0,0.0,0
2016-09-28,53.4,45.9,64.4,35.2,0.0,0.0,0
2016-09-29,44.8,40.1,50.0,35.2,0.2,0.0,0
2016-09-30,46.4,42.1,55.9,35.4,0.0,0.0,0
