Date,Lizard Head Pass (586) Air Temperature Average (degF),Lizard Head Pass (586) Air Temperature Minimum (degF),Lizard Head Pass (586) Air Temperature Maximum (degF),Lizard Head Pass (586) Precipitation Accumulation (in) Start of Day Values,Lizard Head Pass (586) Precipitation Increment (in),Lizard Head Pass (586) Snow Water Equivalent (in) Start of Day Values,Lizard Head Pass (586) Snow Depth (in) Start of Day Values
2015-11-17,19.0,14.0,26.8,5.5,0.1,3.3,24
2015-11-18,19.4,6.6,32.4,5.6,0.0,3.4,22
2015-11-19,20.1,4.6,41.7,5.6,0.0,3.4,21
2015-11-20,24.8,12.9,40.3,5.6,0.0,3.4,19
2015-11-21,18.0,4.6,37.9,5.6,0.0,3.4,18
2015-11-22,23.4,9.0,44.2,5.6,0.0,3.4,17
2015-11-23,23.0,8.4,47.8,5.6,0.0,3.4,18
2015-11-24,26.6,14.7,41.9,5.6,0.0,3.4,17
2015-11-25,31.3,25.7,38.3,5.6,0.1,3.4,16
2015-11-26,25.3,20.7,31.6,5.7,0.0,3.4,16
2015-11-27,24.4,19.2,31.5,5.7,0.2,3.5,16
2015-11-28,19.9,11.3,29.1,5.9,0.0,3.7,18
2015-11-29,16.3,9.1,25.7,5.9,0.1,3.7,18
2015-11-30,4.3,-7.2,21.6,6.0,0.0,3.8,19
2015-12-01,11.1,-7.6,28.8,6.0,0.0,3.8,20
2015-12-02,17.8,1.9,37.9,6.0,0.1,3.8,19
2015-12-03,21.6,7.3,42.3,6.1,0.0,3.8,19
2015-12-04,27.9,15.6,41.7,6.1,0.1,3.8,18
2015-12-05,19.4,5.5,27.9,6.2,0.2,4.0,18
2015-12-06,19.6,7.0,43.5,6.4,0.0,4.0,21
2015-12-07,24.4,9.9,45.3,6.4,0.0,4.1,21
2015-12-08,32.9,23.9,43.7,6.4,0.0,4.1,22
2015-12-09,34.5,23.2,49.1,6.4,0.0,4.1,20
2015-12-10,32.4,19.9,44.6,6.4,0.0,4.1,20
2015-12-11,30.4,23.9,34.5,6.4,0.0,4.2,19
2015-12-12,20.3,12.2,31.6,6.4,0.4,4.2,19
2015-12-13,21.4,11.1,38.7,6.8,0.0,4.6,25
2015-12-14,16.7,8.8,25.9,6.8,0.0,4.6,23
2015-12-15,8.1,3.0,16.7,6.8,0.2,4.9,27
2015-12-16,6.1,-6.9,20.1,7.0,0.0,4.9,26
2015-12-17,7.3,-0.2,19.2,7.0,0.1,5.0,24
2015-12-18,18.3,0.7,37.4,7.1,0.0,5.0,25
2015-12-19,27.0,13.1,39.9,7.1,0.1,5.1,25
2015-12-20,19.9,12.6,25.2,7.2,0.2,5.2,24
2015-12-21,19.4,14.5,26.4,7.4,0.5,5.4,28
2015-12-22,21.6,18.9,24.6,7.9,1.6,6.1,35
2015-12-23,13.5,-4.7,19.6,9.5,0.2,7.9,57
2015-12-24,7.2,-13.5,19.9,9.7,0.3,8.1,54
2015-12-25,12.2,-4.0,19.0,10.0,0.4,8.5,52
2015-12-26,1.8,-9.4,14.9,10.4,0.0,9.1,56
2015-12-27,9.1,-2.6,33.4,10.4,0.0,9.1,51
2015-12-28,8.1,-1.5,23.4,10.4,0.0,9.1,48
2015-12-29,6.1,-5.3,20.8,10.4,0.1,9.1,45
2015-12-30,9.7,2.1,22.5,10.5,0.2,9.3,46
2015-12-31,7.5,-4.7,24.8,10.7,0.0,9.5,44
2016-01-01,6.1,-6.2,29.8,10.7,0.0,9.5,44
2016-01-02,12.6,-2.6,37.4,10.7,0.1,9.5,43
2016-01-03,19.8,8.1,44.8,10.8,0.0,9.5,41
2016-01-04,22.6,11.3,36.7,10.8,0.1,9.5,38
2016-01-05,23.0,18.9,29.7,10.9,0.0,9.6,39
2016-01-06,22.3,18.0,28.4,10.9,0.2,9.7,37
2016-01-07,17.2,9.9,27.5,11.1,0.1,9.9,42
2016-01-08,13.3,4.5,24.6,11.2,0.1,10.1,44
2016-01-09,9.9,-7.1,24.4,11.3,0.0,10.3,45
2016-01-10,2.1,-11.0,21.9,11.3,0.0,10.3,43
2016-01-11,13.1,-8.3,29.3,11.3,0.1,10.3,43
2016-01-12,15.8,-0.2,39.9,11.4,0.0,10.3,42
2016-01-13,19.0,5.9,42.8,11.4,0.0,10.3,42
2016-01-14,9.5,-2.2,23.9,11.4,0.0,10.3,41
2016-01-15,14.4,0.7,20.3,11.4,0.3,10.3,41
2016-01-16,15.6,9.7,23.2,11.7,0.1,10.5,43
2016-01-17,19.0,9.9,28.2,11.8,0.1,10.6,44
2016-01-18,21.0,4.6,36.3,11.9,0.1,10.6,44
2016-01-19,22.6,16.0,35.2,12.0,0.1,10.8,42
2016-01-20,16.7,5.9,28.2,12.1,0.2,10.9,43
2016-01-21,16.5,3.7,31.8,12.3,0.0,11.2,48
2016-01-22,24.1,10.8,46.8,12.3,0.0,11.2,45
2016-01-23,24.4,8.4,44.1,12.3,0.0,11.2,45
2016-01-24,20.5,14.0,25.3,12.3,0.3,11.3,43
2016-01-25,10.9,-6.3,21.7,12.6,0.0,11.6,47
2016-01-26,9.9,-9.6,27.1,12.6,0.1,11.6,49
2016-01-27,24.1,8.2,41.9,12.7,0.0,11.6,46
2016-01-28,25.7,10.8,48.0,12.7,0.0,11.7,46
2016-01-29,25.0,16.9,38.8,12.7,0.0,11.7,45
2016-01-30,29.8,19.9,40.5,12.7,0.4,11.7,44
2016-01-31,25.0,22.6,27.9,13.1,0.8,12.1,45
2016-02-01,14.7,5.7,24.3,13.9,0.4,13.3,60
2016-02-02,4.6,-2.0,13.8,14.3,0.0,14.0,64
2016-02-03,-0.9,-14.8,10.0,14.3,0.0,14.0,61
2016-02-04,5.0,-14.6,21.0,14.3,0.0,14.0,58
2016-02-05,13.5,4.6,24.1,14.3,0.1,14.0,56
2016-02-06,21.7,12.0,36.3,14.4,0.1,14.0,54
2016-02-07,27.0,14.5,38.7,14.5,0.0,14.1,53
2016-02-08,32.7,24.4,42.8,14.5,0.0,14.1,52
2016-02-09,30.7,14.5,50.2,14.5,0.0,14.1,51
2016-02-10,26.6,11.3,51.3,14.5,0.0,14.1,50
2016-02-11,29.1,10.2,50.0,14.5,0.0,14.1,50
2016-02-12,31.3,16.9,53.4,14.5,0.0,14.1,49
2016-02-13,29.8,15.3,47.5,14.5,0.0,14.1,48
2016-02-14,26.2,10.6,36.9,14.5,0.0,14.1,47
2016-02-15,28.8,21.6,39.2,14.5,0.0,14.1,47
2016-02-16,28.8,16.3,49.5,14.5,0.0,14.1,46
2016-02-17,32.2,14.0,53.2,14.5,0.0,14.0,46
2016-02-18,36.3,27.9,45.7,14.5,0.0,14.0,45
2016-02-19,29.8,19.0,44.4,14.5,0.0,14.0,44
2016-02-20,29.5,14.7,46.4,14.5,0.0,13.9,44
2016-02-21,25.9,12.0,45.3,14.5,0.0,13.9,44
2016-02-22,20.5,7.7,34.3,14.5,0.1,13.9,43
2016-02-23,16.5,-0.6,28.8,14.6,0.0,13.9,43
2016-02-24,15.8,-4.5,36.3,14.6,0.0,14.0,44
2016-02-25,26.2,10.8,43.9,14.6,0.0,14.1,44
2016-02-26,28.4,11.5,48.9,14.6,0.0,14.2,43
2016-02-27,27.5,14.4,44.8,14.6,0.0,14.2,42
2016-02-28,29.8,17.8,46.0,14.6,0.0,14.0,42
2016-02-29,30.0,16.3,43.2,14.6,0.0,13.9,42
2016-03-01,28.4,14.9,43.7,14.6,0.0,13.7,41
2016-03-02,29.1,17.6,43.5,14.6,0.0,13.5,40
2016-03-03,31.8,14.5,55.0,14.6,0.0,13.4,40
2016-03-04,30.9,19.9,49.1,14.6,0.0,13.4,39
2016-03-05,34.5,21.6,48.6,14.6,0.0,13.5,38
2016-03-06,30.6,25.7,38.7,14.6,0.2,13.5,37
2016-03-07,20.1,4.3,34.2,14.8,0.0,13.9,40
2016-03-08,17.2,-0.8,41.7,14.8,0.1,14.0,40
2016-03-09,20.3,0.1,39.0,14.9,0.0,14.1,39
2016-03-10,32.2,13.6,51.4,14.9,0.0,14.1,38
2016-03-11,36.5,20.7,54.9,14.9,0.0,14.1,37
2016-03-12,30.4,24.1,39.4,14.9,0.0,13.9,36
2016-03-13,30.9,19.6,42.3,14.9,0.1,13.9,36
2016-03-14,30.9,20.1,41.2,15.0,0.0,14.0,36
2016-03-15,22.6,13.3,32.5,15.0,0.0,14.0,36
2016-03-16,23.0,10.4,38.5,15.0,0.0,14.0,36
2016-03-17,24.6,7.2,42.8,15.0,0.0,14.0,35
2016-03-18,26.4,8.2,42.1,15.0,0.0,14.0,34
2016-03-19,28.8,15.8,41.4,15.0,0.0,13.9,33
2016-03-20,28.0,10.0,46.4,15.0,0.0,13.7,33
2016-03-21,36.7,19.0,51.4,15.0,0.0,13.6,32
2016-03-22,33.1,16.3,45.0,15.0,0.0,13.4,30
2016-03-23,18.3,14.2,24.6,15.0,0.2,13.2,30
2016-03-24,23.9,11.3,38.8,15.2,0.0,13.5,34
2016-03-25,23.2,13.8,32.9,15.2,0.2,13.7,34
2016-03-26,17.6,0.0,32.0,15.4,0.2,13.8,34
2016-03-27,21.9,-2.7,41.4,15.6,0.0,13.9,35
2016-03-28,33.4,25.3,47.1,15.6,0.1,14.2,36
2016-03-29,23.2,12.9,32.5,15.7,0.4,14.3,37
2016-03-30,16.0,3.7,31.5,16.1,0.0,14.9,39
2016-03-31,19.9,10.2,34.2,16.1,0.0,15.1,36
2016-04-01,20.1,5.7,36.7,16.1,0.0,15.1,36
2016-04-02,25.7,4.6,46.4,16.1,0.0,15.1,35
2016-04-03,32.5,16.0,49.8,16.1,0.0,15.1,33
2016-04-04,34.5,17.8,53.4,16.1,0.0,15.1,32
2016-04-05,32.4,21.9,46.4,16.1,0.0,14.9,31
2016-04-06,36.5,23.5,51.6,16.1,0.0,14.7,29
2016-04-07,39.9,23.7,56.5,16.1,0.0,14.1,27
2016-04-08,37.8,28.8,49.5,16.1,0.2,13.0,26
2016-04-09,34.2,29.3,43.7,16.3,0.1,12.6,26
2016-04-10,34.5,25.2,49.8,16.4,0.0,12.6,25
2016-04-11,32.5,23.9,48.6,16.4,0.0,12.0,24
2016-04-12,32.5,23.2,46.2,16.4,0.2,11.6,24
2016-04-13,36.3,19.8,54.0,16.6,0.0,11.5,24
2016-04-14,40.1,31.3,50.9,16.6,0.1,10.7,22
2016-04-15,31.6,23.7,40.1,16.7,0.3,10.2,21
2016-04-16,27.0,21.0,41.2,17.0,0.3,10.4,24
2016-04-17,24.1,14.2,36.0,17.3,0.1,10.7,27
2016-04-18,23.2,11.5,37.0,17.4,0.1,10.7,27
2016-04-19,24.8,6.1,40.3,17.5,0.1,11.1,27
2016-04-20,32.9,23.7,47.5,17.6,0.0,11.1,25
2016-04-21,36.3,19.2,56.7,17.6,0.0,11.2,25
2016-04-22,44.1,26.8,58.3,17.6,0.0,11.0,23
2016-04-23,36.9,21.2,49.5,17.6,0.0,10.4,21
2016-04-24,33.4,18.3,47.8,17.6,0.0,9.8,20
2016-04-25,30.2,20.8,44.1,17.6,0.2,8.8,18
2016-04-26,26.2,20.5,37.8,17.8,0.2,8.8,19
2016-04-27,31.5,22.5,44.6,18.0,0.1,9.1,21
2016-04-28,31.6,25.0,41.7,18.1,0.3,8.8,19
2016-04-29,27.0,20.7,36.3,18.4,0.4,9.1,20
2016-04-30,30.2,20.8,46.2,18.8,0.0,9.6,21
2016-05-01,28.4,18.0,37.9,18.8,0.1,9.6,22
2016-05-02,30.9,19.9,50.0,18.9,0.0,9.6,22
2016-05-03,36.1,16.5,55.9,18.9,0.0,9.6,21
2016-05-04,40.1,23.7,59.0,18.9,0.0,9.2,20
2016-05-05,45.7,27.0,62.8,18.9,0.1,8.6,18
2016-05-06,42.4,29.8,55.6,19.0,0.0,7.3,16
2016-05-07,31.5,24.6,43.7,19.0,0.0,6.3,13
2016-05-08,30.0,19.9,43.9,19.0,0.4,6.1,13
2016-05-09,35.1,29.5,47.1,19.4,0.6,6.2,14
2016-05-10,36.0,29.3,46.6,20.0,0.3,6.8,15
2016-05-11,30.6,19.9,44.1,20.3,0.0,6.8,15
2016-05-12,37.2,15.1,57.7,20.3,0.0,6.6,14
2016-05-13,42.3,23.0,61.7,20.3,0.0,6.1,13
2016-05-14,45.3,27.3,62.1,20.3,0.0,4.8,10
2016-05-15,42.4,32.7,54.9,20.3,0.1,3.5,7
2016-05-16,34.5,29.3,46.2,20.4,0.3,2.5,5
2016-05-17,35.6,27.9,47.3,20.7,0.0,2.7,6
2016-05-18,34.3,27.0,42.8,20.7,0.3,2.1,5
2016-05-19,37.9,29.8,50.2,21.0,0.0,1.9,4
2016-05-20,44.8,32.2,54.3,21.0,0.0,1.1,3
2016-05-21,47.5,36.7,56.7,21.0,0.0,0.3,2
2016-05-22,42.1,29.3,53.1,21.0,0.0,0.1,1
2016-05-23,39.6,27.1,53.1,21.0,0.0,0.0,0
2016-05-24,42.1,27.7,55.4,21.0,0.0,0.0,0
2016-05-25,40.3,28.2,53.8,21.0,0.0,0.0,0
2016-05-26,34.3,29.5,44.4,21.0,0.2,0.0,0
2016-05-27,36.0,27.1,48.2,21.2,0.0,0.0,0
2016-05-28,37.9,24.8,52.2,21.2,0.0,0.0,0
2016-05-29,40.5,28.8,56.5,21.2,0.0,0.0,0
2016-05-30,42.1,27.5,60.8,21.2,0.0,0.0,0
2016-05-31,43.9,26.8,62.1,21.2,0.0,0.0,0
2016-06-01,45.5,29.3,61.0,21.2,0.0,0.0,0
2016-06-02,47.7,30.6,64.4,21.2,0.0,0.0,0
2016-06-03,49.6,31.6,67.1,21.2,0.0,0.0,0
2016-06-04,52.7,34.2,70.9,21.2,0.0,0.0,0
2016-06-05,53.8,37.4,71.6,21.2,0.0,0.0,0
2016-06-06,49.5,36.5,67.3,21.2,0.1,0.0,0
2016-06-07,53.2,35.2,69.4,21.3,0.0,0.0,0
2016-06-08,49.8,35.6,67.6,21.3,0.1,0.0,0
2016-06-09,52.0,36.0,72.3,21.4,0.0,0.0,0
2016-06-10,55.0,34.9,73.2,21.4,0.0,0.0,0
2016-06-11,50.0,36.5,66.4,21.4,0.2,0.0,0
2016-06-12,47.8,34.2,61.5,21.6,0.0,0.0,0
2016-06-13,42.4,31.5,59.4,21.6,0.2,0.0,0
2016-06-14,45.9,29.8,61.7,21.8,0.0,0.0,0
2016-06-15,52.5,34.9,67.8,21.8,0.0,0.0,0
2016-06-16,50.0,35.2,65.7,21.8,0.0,0.0,0
2016-06-17,52.0,32.2,70.5,21.8,0.0,0.0,0
2016-06-18,55.6,31.6,76.3,21.8,0.0,0.0,0
2016-06-19,58.6,36.9,76.6,21.8,0.0,0.0,0
2016-06-20,60.8,41.9,80.6,21.8,0.0,0.0,0
2016-06-21,59.7,46.0,76.1,21.8,0.0,0.0,0
2016-06-22,53.8,41.2,72.5,21.8,0.1,0.0,0
2016-06-23,55.6,42.8,70.7,21.9,0.2,0.0,0
2016-06-24,55.0,42.1,69.6,22.1,0.0,0.0,0
2016-06-25,56.5,40.6,72.0,22.1,0.0,0.0,0
2016-06-26,56.8,38.7,71.4,22.1,0.0,0.0,0
2016-06-27,58.5,38.8,74.3,22.1,0.0,0.0,0
2016-06-28,52.9,39.6,66.2,22.1,0.0,0.0,0
2016-06-29,50.9,37.9,68.9,22.1,0.2,0.0,0
2016-06-30,49.3,42.8,63.0,22.3,1.0,0.0,0
2016-07-01,48.0,46.2,52.2,23.3,0.7,0.0,0
2016-07-02,48.0,43.7,54.1,24.0,0.2,0.0,0
2016-07-03,49.1,36.7,59.7,24.2,0.0,0.0,0
2016-07-04,48.2,35.8,64.4,24.2,0.0,0.0,0
2016-07-05,53.8,39.4,68.0,24.2,0.0,0.0,0
2016-07-06,53.4,37.4,68.7,24.2,0.0,0.0,0
2016-07-07,53.2,37.4,69.1,24.2,0.0,0.0,0
2016-07-08,54.1,35.2,70.7,24.2,0.0,0.0,0
2016-07-09,55.9,37.9,71.6,24.2,0.0,0.0,0
2016-07-10,58.8,44.6,70.7,24.2,0.0,0.0,0
2016-07-11,52.0,36.0,67.3,24.2,0.0,0.0,0
2016-07-12,52.7,35.8,68.9,24.2,0.0,0.0,0
2016-07-13,53.8,35.1,70.9,24.2,0.0,0.0,0
2016-07-14,57.6,,75.9,24.2,0.0,0.0,0
2016-07-15,55.2,36.7,73.2,24.2,0.0,0.0,0
2016-07-16,55.6,38.7,71.4,24.2,0.0,0.0,0
2016-07-17,56.8,38.7,73.0,24.2,0.0,0.0,0
2016-07-18,54.7,46.0,69.4,24.2,0.4,0.0,0
2016-07-19,52.7,42.8,66.2,24.6,0.5,0.0,0
2016-07-20,51.8,44.8,64.2,25.1,0.1,0.0,0
2016-07-21,54.0,42.4,69.8,25.2,0.0,0.0,0
2016-07-22,55.0,41.7,68.7,25.2,0.0,0.0,0
2016-07-23,55.9,39.6,73.0,25.2,0.0,0.0,0
2016-07-24,55.0,42.3,73.9,25.2,0.0,0.0,0
2016-07-25,55.2,40.8,70.7,25.2,0.0,0.0,0
2016-07-26,56.1,43.0,68.9,25.2,0.0,0.0,0
2016-07-27,56.8,38.5,73.6,25.2,0.0,0.0,0
2016-07-28,57.9,41.9,76.3,25.2,0.0,0.0,0
2016-07-29,58.5,40.8,75.2,25.2,0.1,0.0,0
2016-07-30,55.0,46.0,71.6,25.3,0.1,0.0,0
2016-07-31,53.4,46.0,66.9,25.4,0.2,0.0,0
2016-08-01,56.7,45.5,72.9,25.6,0.0,0.0,0
2016-08-02,52.5,44.4,69.8,25.6,0.1,0.0,0
2016-08-03,52.5,41.4,68.9,25.7,0.4,0.0,0
2016-08-04,51.4,45.0,59.0,26.1,0.5,0.0,0
2016-08-05,50.7,46.2,56.5,26.6,0.8,0.0,0
2016-08-06,49.5,40.5,61.5,27.4,0.5,0.0,0
2016-08-07,50.0,39.2,66.2,27.9,0.0,0.0,0
2016-08-08,52.9,40.6,68.5,27.9,0.0,0.0,0
2016-08-09,53.6,40.6,69.1,27.9,0.0,0.0,0
2016-08-10,52.7,41.2,66.9,27.9,0.0,0.0,0
2016-08-11,51.4,37.8,66.2,27.9,0.0,0.0,0
2016-08-12,50.7,34.7,66.0,27.9,0.0,0.0,0
2016-08-13,49.8,35.1,66.6,27.9,0.0,0.0,0
2016-08-14,50.0,33.8,68.4,27.9,0.0,0.0,0
2016-08-15,50.4,34.3,68.9,27.9,0.1,0.0,0
2016-08-16,51.3,37.0,64.8,28.0,0.0,0.0,0
2016-08-17,48.0,38.3,65.1,28.0,0.1,0.0,0
2016-08-18,45.3,36.1,59.7,28.1,0.1,0.0,0
2016-08-19,47.1,33.8,62.6,28.2,0.0,0.0,0
2016-08-20,50.2,36.1,66.6,28.2,0.0,0.0,0
2016-08-21,49.8,37.0,67.3,28.2,0.0,0.0,0
2016-08-22,44.6,36.1,59.9,28.2,0.1,0.0,0
2016-08-23,41.7,34.7,57.7,28.3,0.6,0.0,0
2016-08-24,45.7,35.2,59.2,28.9,0.0,0.0,0
2016-08-25,44.1,32.4,61.7,28.9,0.5,0.0,0
2016-08-26,43.5,35.6,57.0,29.4,0.0,0.0,0
2016-08-27,42.1,34.2,53.8,29.4,0.4,0.0,0
2016-08-28,41.7,33.4,59.2,29.8,0.6,0.0,0
2016-08-29,44.1,32.5,61.2,30.4,0.0,0.0,0
2016-08-30,47.5,35.2,63.3,30.4,0.2,0.0,0
2016-08-31,49.6,37.2,65.5,30.6,0.0,0.0,0
2016-09-01,51.3,43.2,64.0,30.6,0.2,0.0,0
2016-09-02,50.7,45.0,63.5,30.8,0.2,0.0,0
2016-09-03,49.6,43.9,64.0,31.0,0.0,0.0,0
2016-09-04,50.2,38.7,62.6,31.0,0.0,0.0,0
2016-09-05,49.5,36.0,64.9,31.0,0.0,0.0,0
2016-09-06,50.4,40.8,63.1,31.0,0.0,0.0,0
2016-09-07,47.5,32.7,64.4,31.0,0.0,0.0,0
2016-09-08,47.5,29.8,66.6,31.0,0.0,0.0,0
2016-09-09,49.5,34.2,65.3,31.0,0.0,0.0,0
2016-09-10,47.7,31.6,66.2,31.0,0.0,0.0,0
2016-09-11,47.8,34.7,64.0,31.0,0.0,0.0,0
2016-09-12,42.1,33.3,60.6,31.0,0.2,0.0,0
2016-09-13,44.8,36.1,57.7,31.2,0.1,0.0,0
2016-09-14,44.4,37.2,53.2,31.3,0.0,0.0,0
2016-09-15,41.0,26.6,58.6,31.3,0.0,0.0,0
2016-09-16,39.9,24.3,59.5,31.3,0.0,0.0,0
2016-09-17,41.2,25.7,60.8,31.3,0.0,0.0,0
2016-09-18,44.2,26.4,65.1,31.3,0.0,0.0,0
2016-09-19,49.3,30.2,72.0,31.3,0.0,0.0,0
2016-09-20,45.7,36.9,60.6,31.3,0.1,0.0,0
2016-09-21,46.8,42.1,53.6,31.4,0.3,0.0,0
2016-09-22,50.9,45.9,62.1,31.7,0.1,0.0,0
2016-09-23,33.1,22.1,47.3,31.8,0.5,0.0,0
2016-09-24,32.4,25.2,41.2,32.3,0.0,0.0,0
2016-09-25,38.7,23.9,56.8,32.3,0.0,0.0,0
2016-09-26,42.4,27.9,63.0,32.3,0.0,0.0,0
2016-09-27,45.0,29.7,66.2,32.3,0.0,0.0,0
2016-09-28,47.5,30.7,65.8,32.3,0.0,0.0,0
2016-09-29,43.7,40.5,49.1,32.3,0.2,0.0,0
2016-09-30,43.5,31.3,58.6,32.5,0.0,0.0,0
