Date,Nast Lake (658) Air Temperature Average (degF),Nast Lake (658) Air Temperature Minimum (degF),Nast Lake (658) Air Temperature Maximum (degF),Nast Lake (658) Precipitation Accumulation (in) Start of Day Values,Nast Lake (658) Precipitation Increment (in),Nast Lake (658) Snow Water Equivalent (in) Start of Day Values,Nast Lake (658) Snow Depth (in) Start of Day Values
2015-11-11,17.4,1.2,27.1,2.5,0.0,1.0,3
2015-11-12,15.1,-1.3,37.4,2.5,0.1,1.1,5
2015-11-13,19.2,2.7,44.4,2.6,0.0,1.1,4
2015-11-14,20.5,4.6,48.2,2.6,0.0,1.2,7
2015-11-15,23.2,7.2,50.7,2.6,0.1,1.2,7
2015-11-16,25.2,18.3,32.4,2.7,0.3,1.2,6
2015-11-17,22.5,18.3,31.8,3.0,0.1,1.7,10
2015-11-18,23.5,18.0,31.3,3.1,0.1,1.8,9
2015-11-19,27.5,20.8,41.9,3.2,0.0,1.8,8
2015-11-20,27.1,3.0,39.6,3.2,0.0,1.8,10
2015-11-21,9.0,-8.1,34.9,3.2,0.1,1.8,10
2015-11-22,16.7,-1.8,45.0,3.3,0.1,1.8,10
2015-11-23,20.8,5.0,49.1,3.4,0.0,1.8,10
2015-11-24,22.6,9.5,47.5,3.4,0.0,1.8,10
2015-11-25,28.8,9.0,52.5,3.4,0.1,1.8,9
2015-11-26,27.7,19.0,37.2,3.5,0.0,1.9,8
2015-11-27,25.2,18.3,32.9,3.5,0.0,1.9,8
2015-11-28,18.9,4.6,34.2,3.5,0.0,2.0,8
2015-11-29,19.2,9.5,30.7,3.5,0.0,2.0,10
2015-11-30,11.8,9.0,15.6,3.5,0.0,2.1,11
2015-12-01,8.6,-5.6,26.6,3.5,0.0,2.1,11
2015-12-02,11.5,-7.8,37.9,3.5,0.2,2.1,11
2015-12-03,20.5,6.6,41.4,3.7,0.0,2.1,11
2015-12-04,23.7,6.4,51.4,3.7,0.0,2.1,11
2015-12-05,19.2,0.0,30.6,3.7,0.0,2.2,11
2015-12-06,13.3,-4.7,43.5,3.7,0.0,2.2,11
2015-12-07,22.3,5.9,46.2,3.7,0.1,2.2,11
2015-12-08,29.1,18.7,46.0,3.8,0.0,2.3,11
2015-12-09,27.5,13.8,50.2,3.8,0.1,2.3,11
2015-12-10,31.6,17.6,44.6,3.9,0.0,2.3,10
2015-12-11,34.3,25.3,43.7,3.9,0.0,2.3,10
2015-12-12,24.4,15.4,29.1,3.9,0.0,2.3,11
2015-12-13,13.6,-1.3,34.3,3.9,0.0,2.5,12
2015-12-14,20.5,3.7,39.2,3.9,0.1,2.5,12
2015-12-15,13.6,4.3,21.4,4.0,0.0,2.5,12
2015-12-16,7.5,-2.6,18.3,4.0,0.1,2.7,14
2015-12-17,6.3,-5.1,16.0,4.1,0.1,2.7,14
2015-12-18,17.6,4.6,34.3,4.2,0.1,2.7,15
2015-12-19,21.0,3.2,44.4,4.3,0.1,2.8,15
2015-12-20,23.9,18.3,32.9,4.4,0.1,2.8,14
2015-12-21,22.1,18.3,30.6,4.5,0.1,3.0,17
2015-12-22,24.4,19.4,32.7,4.6,0.4,3.2,18
2015-12-23,15.6,4.6,25.2,5.0,0.3,3.6,23
2015-12-24,6.1,-10.8,17.6,5.3,0.1,3.8,23
2015-12-25,11.3,0.1,24.6,5.4,0.1,3.9,22
2015-12-26,0.3,-15.3,19.2,5.5,0.0,3.9,23
2015-12-27,-1.8,-17.7,27.0,5.5,0.1,3.9,22
2015-12-28,4.6,-9.4,30.6,5.6,0.0,3.9,22
2015-12-29,4.6,-10.1,25.9,5.6,0.0,3.9,21
2015-12-30,3.7,-5.3,16.9,5.6,0.0,4.0,20
2015-12-31,2.3,-16.2,18.7,5.6,0.0,4.0,19
2016-01-01,-4.7,-20.6,22.5,5.6,0.1,4.0,21
2016-01-02,3.9,-16.6,31.5,5.7,0.1,4.0,21
2016-01-03,14.5,-2.0,39.6,5.8,0.1,4.1,21
2016-01-04,19.2,2.8,41.4,5.9,0.1,4.1,21
2016-01-05,21.6,8.6,37.2,6.0,0.0,4.2,20
2016-01-06,22.6,9.9,36.3,6.0,0.0,4.2,20
2016-01-07,20.7,3.9,28.8,6.0,0.0,4.2,18
2016-01-08,8.6,-4.0,22.1,6.0,0.0,4.3,18
2016-01-09,13.3,0.9,26.2,6.0,0.0,4.3,21
2016-01-10,5.4,-11.4,25.2,6.0,0.0,4.3,23
2016-01-11,1.4,-13.9,28.2,6.0,0.0,4.3,23
2016-01-12,7.2,-11.6,36.9,6.0,0.0,4.3,22
2016-01-13,12.4,-2.6,41.9,6.0,0.0,4.3,22
2016-01-14,12.0,-3.8,25.3,6.0,0.1,4.4,22
2016-01-15,15.8,9.3,23.2,6.1,0.1,4.4,21
2016-01-16,15.6,9.5,22.6,6.2,0.1,4.6,21
2016-01-17,17.6,5.5,28.2,6.3,0.2,4.8,25
2016-01-18,23.5,10.0,39.9,6.5,0.0,4.9,28
2016-01-19,20.7,5.0,35.2,6.5,0.0,5.1,28
2016-01-20,17.2,8.6,30.4,6.5,0.4,5.1,28
2016-01-21,11.5,-2.7,30.4,6.9,0.0,5.3,29
2016-01-22,14.7,-4.0,42.1,6.9,0.1,5.3,29
2016-01-23,20.8,5.5,46.8,7.0,0.1,5.3,28
2016-01-24,18.0,3.6,36.0,7.1,0.0,5.3,27
2016-01-25,12.7,3.6,27.9,7.1,0.0,5.5,28
2016-01-26,6.3,-7.4,28.2,7.1,0.0,5.5,26
2016-01-27,12.6,-5.4,38.8,7.1,0.1,5.5,25
2016-01-28,18.0,0.3,44.1,7.2,0.1,5.5,28
2016-01-29,24.6,7.7,41.0,7.3,0.1,5.5,27
2016-01-30,29.7,20.8,39.4,7.4,0.2,5.6,26
2016-01-31,20.1,15.8,25.3,7.6,0.5,5.9,27
2016-02-01,18.3,9.5,30.0,8.1,0.4,6.5,34
2016-02-02,9.3,0.7,20.1,8.5,0.0,6.8,37
2016-02-03,1.6,-14.1,13.8,8.5,0.0,6.9,34
2016-02-04,3.6,-19.1,25.2,8.5,0.2,6.9,34
2016-02-05,6.8,-9.0,25.9,8.7,0.0,6.9,34
2016-02-06,10.4,-10.1,37.4,8.7,0.2,6.9,34
2016-02-07,15.8,0.9,38.8,8.9,0.0,6.9,34
2016-02-08,18.0,0.3,43.0,8.9,0.0,6.9,33
2016-02-09,18.7,0.3,45.7,8.9,0.1,6.9,32
2016-02-10,21.7,1.8,53.4,9.0,0.0,6.9,32
2016-02-11,23.9,5.4,52.5,9.0,0.0,6.9,31
2016-02-12,28.0,10.2,55.4,9.0,0.0,6.9,31
2016-02-13,28.8,13.8,53.8,9.0,0.1,6.9,29
2016-02-14,23.2,11.1,34.7,9.1,0.0,7.0,30
2016-02-15,29.7,23.4,36.3,9.1,0.0,7.0,29
2016-02-16,30.0,15.6,46.2,9.1,0.0,7.0,29
2016-02-17,30.6,13.5,61.2,9.1,0.0,7.0,29
2016-02-18,34.5,19.2,51.8,9.1,0.1,7.1,29
2016-02-19,24.4,8.4,47.1,9.2,0.0,7.1,29
2016-02-20,27.0,11.3,50.2,9.2,0.0,7.2,28
2016-02-21,27.9,11.1,49.5,9.2,0.0,7.2,28
2016-02-22,23.9,12.6,35.6,9.2,0.0,7.2,27
2016-02-23,19.0,-1.8,34.9,9.2,0.0,7.2,27
2016-02-24,14.4,-7.2,40.1,9.2,0.0,7.2,28
2016-02-25,20.7,-0.2,47.7,9.2,0.0,7.2,28
2016-02-26,26.4,8.6,52.5,9.2,0.0,7.2,27
2016-02-27,29.7,10.8,53.1,9.2,0.1,7.2,27
2016-02-28,28.8,14.2,49.6,9.3,0.0,7.3,25
2016-02-29,28.0,11.7,46.6,9.3,0.0,7.3,26
2016-03-01,31.3,20.1,44.1,9.3,0.0,7.3,26
2016-03-02,30.4,21.2,45.9,9.3,0.0,7.3,26
2016-03-03,30.4,11.7,53.2,9.3,0.0,7.3,26
2016-03-04,30.7,16.7,51.3,9.3,0.0,7.3,24
2016-03-05,34.3,16.2,57.0,9.3,0.1,7.3,24
2016-03-06,32.4,19.9,45.0,9.4,0.0,7.2,23
2016-03-07,27.7,22.6,34.7,9.4,0.1,7.3,24
2016-03-08,23.9,9.5,40.1,9.5,0.0,7.5,26
2016-03-09,22.3,5.4,41.9,9.5,0.0,7.8,25
2016-03-10,27.9,7.7,53.2,9.5,0.1,8.0,25
2016-03-11,34.7,14.5,60.6,9.6,0.0,7.9,23
2016-03-12,32.9,24.8,49.3,9.6,0.0,7.4,21
2016-03-13,32.7,23.4,49.1,9.6,0.0,7.3,20
2016-03-14,30.4,22.3,44.2,9.6,0.3,7.3,20
2016-03-15,21.9,15.8,33.3,9.9,0.3,7.5,25
2016-03-16,22.5,16.3,31.6,10.2,0.2,7.8,25
2016-03-17,30.4,19.4,44.4,10.4,0.0,7.9,25
2016-03-18,25.3,7.9,40.3,10.4,0.0,7.9,24
2016-03-19,21.0,2.5,42.1,10.4,0.0,7.9,24
2016-03-20,25.9,0.7,50.9,10.4,0.1,7.9,23
2016-03-21,36.3,15.3,59.0,10.5,0.1,7.7,21
2016-03-22,37.9,25.7,52.5,10.6,0.0,7.5,20
2016-03-23,23.9,19.9,31.8,10.6,0.0,7.4,20
2016-03-24,26.8,17.4,36.0,10.6,0.1,7.5,20
2016-03-25,23.7,8.2,30.6,10.7,0.2,7.6,19
2016-03-26,14.4,-1.7,32.9,10.9,0.0,7.9,22
2016-03-27,21.0,-4.0,44.1,10.9,0.2,8.0,23
2016-03-28,33.4,11.7,53.2,11.1,0.1,8.0,20
2016-03-29,30.7,11.1,51.3,11.2,0.0,8.0,18
2016-03-30,22.5,10.6,34.3,11.2,0.0,8.0,20
2016-03-31,21.6,5.5,39.2,11.2,0.0,8.0,20
2016-04-01,19.9,0.3,41.0,11.2,0.1,8.4,19
2016-04-02,28.4,5.7,51.8,11.3,0.1,8.8,20
2016-04-03,34.2,16.3,54.7,11.4,0.0,7.9,17
2016-04-04,37.2,19.2,58.8,11.4,0.0,7.2,16
2016-04-05,27.0,10.2,47.5,11.4,0.0,6.3,13
2016-04-06,29.7,7.5,54.1,11.4,0.1,6.3,15
2016-04-07,37.0,18.3,60.4,11.5,0.0,6.1,13
2016-04-08,40.8,21.0,62.2,11.5,0.0,5.1,10
2016-04-09,35.8,26.2,51.8,11.5,0.0,4.1,8
2016-04-10,36.5,24.3,53.2,11.5,0.1,3.7,8
2016-04-11,35.8,24.4,51.8,11.6,0.0,3.2,7
2016-04-12,36.1,25.2,54.9,11.6,0.1,2.7,6
2016-04-13,37.4,23.4,57.6,11.7,0.0,2.3,5
2016-04-14,38.8,24.4,59.7,11.7,0.0,1.6,4
2016-04-15,31.8,27.5,42.3,11.7,0.7,1.0,3
2016-04-16,28.0,23.5,36.0,12.4,0.3,1.7,10
2016-04-17,27.1,20.1,37.4,12.7,0.1,1.9,12
2016-04-18,29.3,21.9,38.1,12.8,0.3,2.0,13
2016-04-19,30.9,25.2,40.1,13.1,0.1,2.3,9
2016-04-20,34.3,24.6,50.9,13.2,0.0,2.4,7
2016-04-21,37.9,19.9,59.9,13.2,0.0,2.2,5
2016-04-22,42.3,21.4,66.2,13.2,0.0,1.5,3
2016-04-23,40.1,28.8,61.9,13.2,0.1,0.6,1
2016-04-24,35.2,25.3,50.2,13.3,0.0,0.2,1
2016-04-25,38.1,21.9,57.0,13.3,0.1,0.0,0
2016-04-26,30.7,23.7,41.4,13.4,0.1,0.0,0
2016-04-27,32.9,25.7,46.2,13.5,0.0,0.0,0
2016-04-28,35.6,25.5,48.6,13.5,0.0,0.0,0
2016-04-29,33.3,28.4,44.2,13.5,0.1,0.0,0
2016-04-30,32.2,28.0,38.1,13.6,0.0,0.0,0
2016-05-01,33.3,24.6,44.2,13.6,0.1,0.0,0
2016-05-02,38.1,25.2,55.8,13.7,0.0,0.0,0
2016-05-03,39.9,21.0,61.3,13.7,0.0,0.0,0
2016-05-04,43.9,22.6,68.2,13.7,0.1,0.0,0
2016-05-05,47.1,25.5,70.0,13.8,0.1,0.0,0
2016-05-06,47.1,30.4,66.6,13.9,0.1,0.0,0
2016-05-07,34.2,23.7,46.2,14.0,0.0,0.0,0
2016-05-08,35.2,21.0,52.2,14.0,0.0,0.0,0
2016-05-09,37.0,31.3,49.1,14.0,0.1,0.0,0
2016-05-10,34.2,23.4,45.7,14.1,0.4,0.0,0
2016-05-11,34.0,19.9,48.4,14.5,0.2,0.0,0
2016-05-12,40.3,21.0,61.0,14.7,0.1,0.0,0
2016-05-13,,,,14.8,0.1,0.0,0
2016-05-14,48.6,25.5,69.8,14.9,0.1,0.0,0
2016-05-15,43.5,29.5,57.9,15.0,0.0,0.0,0
2016-05-16,37.8,27.9,52.0,15.0,0.0,0.0,0
2016-05-17,40.3,26.6,55.0,15.0,0.0,0.0,0
2016-05-18,41.4,24.8,62.2,15.0,0.3,0.0,0
2016-05-19,43.7,30.7,60.6,15.3,0.0,0.0,0
2016-05-20,48.0,30.6,67.5,15.3,0.0,0.0,0
2016-05-21,50.2,30.6,72.9,15.3,0.0,0.0,0
2016-05-22,45.5,27.0,67.1,15.3,0.0,0.0,0
2016-05-23,42.4,25.2,63.1,15.3,0.0,0.0,0
2016-05-24,46.4,25.5,67.5,15.3,0.0,0.0,0
2016-05-25,44.8,25.9,63.3,15.3,0.0,0.0,0
2016-05-26,40.6,23.5,57.9,15.3,0.0,0.0,0
2016-05-27,39.0,27.3,57.4,15.3,0.0,0.0,0
2016-05-28,39.9,25.2,60.6,15.3,0.0,0.0,0
2016-05-29,43.9,25.3,66.2,15.3,0.0,0.0,0
2016-05-30,44.4,26.8,66.9,15.3,0.0,0.0,0
2016-05-31,46.6,27.0,67.8,15.3,0.1,0.0,0
2016-06-01,49.6,28.2,70.5,15.4,0.1,0.0,0
2016-06-02,52.0,28.4,73.8,15.5,0.0,0.0,0
2016-06-03,54.9,32.0,73.8,15.5,0.2,0.0,0
2016-06-04,57.0,34.7,78.3,15.7,0.0,0.0,0
2016-06-05,57.2,35.1,79.2,15.7,0.0,0.0,0
2016-06-06,55.8,36.3,78.6,15.7,0.0,0.0,0
2016-06-07,57.6,34.7,79.0,15.7,0.0,0.0,0
2016-06-08,52.7,32.9,77.5,15.7,0.0,0.0,0
2016-06-09,52.7,33.1,80.2,15.7,0.0,0.0,0
2016-06-10,60.8,36.5,82.0,15.7,0.0,0.0,0
2016-06-11,57.7,39.4,81.9,15.7,0.0,0.0,0
2016-06-12,51.8,36.0,76.1,15.7,0.0,0.0,0
2016-06-13,47.1,32.5,67.3,15.7,0.0,0.0,0
2016-06-14,47.5,29.1,68.5,15.7,0.0,0.0,0
2016-06-15,56.1,30.7,79.5,15.7,0.0,0.0,0
2016-06-16,54.7,29.8,77.5,15.7,0.0,0.0,0
2016-06-17,58.3,30.7,82.4,15.7,0.1,0.0,0
2016-06-18,60.1,31.3,86.0,15.8,0.0,0.0,0
2016-06-19,62.8,34.7,86.0,15.8,0.1,0.0,0
2016-06-20,67.8,41.7,89.8,15.9,0.2,0.0,0
2016-06-21,65.1,42.8,89.2,16.1,0.0,0.0,0
2016-06-22,62.6,45.5,82.6,16.1,0.3,0.0,0
2016-06-23,57.2,43.2,75.7,16.4,0.0,0.0,0
2016-06-24,57.7,40.5,81.1,16.4,0.0,0.0,0
2016-06-25,59.2,40.1,79.0,16.4,0.0,0.0,0
2016-06-26,59.0,36.0,82.0,16.4,0.0,0.0,0
2016-06-27,59.4,32.5,82.4,16.4,0.0,0.0,0
2016-06-28,59.7,37.2,83.1,16.4,0.0,0.0,0
2016-06-29,55.6,38.5,81.1,16.4,0.3,0.0,0
2016-06-30,56.7,42.1,70.0,16.7,0.0,0.0,0
2016-07-01,54.0,49.5,62.1,16.7,0.1,0.0,0
2016-07-02,53.2,46.6,64.4,16.8,0.2,0.0,0
2016-07-03,51.3,37.4,69.4,17.0,0.0,0.0,0
2016-07-04,55.6,34.9,76.1,17.0,0.0,0.0,0
2016-07-05,57.7,39.0,78.1,17.0,0.0,0.0,0
2016-07-06,58.5,37.0,80.2,17.0,0.0,0.0,0
2016-07-07,57.0,34.2,77.4,17.0,0.0,0.0,0
2016-07-08,60.1,36.3,82.0,17.0,0.0,0.0,0
2016-07-09,61.2,37.0,83.3,17.0,0.0,0.0,0
2016-07-10,62.8,40.1,84.0,17.0,0.0,0.0,0
2016-07-11,55.8,35.6,74.3,17.0,0.0,0.0,0
2016-07-12,56.5,30.7,78.8,17.0,0.0,0.0,0
2016-07-13,57.7,32.4,80.8,17.0,0.0,0.0,0
2016-07-14,58.5,33.3,81.9,17.0,0.0,0.0,0
2016-07-15,58.8,34.7,81.0,17.0,0.0,0.0,0
2016-07-16,61.5,36.3,84.4,17.0,0.0,0.0,0
2016-07-17,62.2,37.2,85.5,17.0,0.0,0.0,0
2016-07-18,59.2,43.2,78.8,17.0,0.0,0.0,0
2016-07-19,60.4,44.1,77.9,17.0,0.0,0.0,0
2016-07-20,57.4,40.5,77.0,17.0,0.0,0.0,0
2016-07-21,53.8,43.2,75.2,17.0,0.0,0.0,0
2016-07-22,58.6,41.4,79.7,17.0,0.2,0.0,0
2016-07-23,60.8,40.6,84.9,17.2,0.0,0.0,0
2016-07-24,59.7,40.5,83.1,17.2,0.0,0.0,0
2016-07-25,58.5,37.8,78.6,17.2,0.0,0.0,0
2016-07-26,56.5,39.2,76.6,17.2,0.0,0.0,0
2016-07-27,60.4,35.8,84.2,17.2,0.0,0.0,0
2016-07-28,61.9,36.0,88.3,17.2,0.0,0.0,0
2016-07-29,60.6,37.8,84.0,17.2,0.0,0.0,0
2016-07-30,62.2,38.5,84.0,17.2,0.1,0.0,0
2016-07-31,57.7,41.2,75.7,17.3,0.0,0.0,0
2016-08-01,61.3,40.1,81.9,17.3,0.1,0.0,0
2016-08-02,63.3,43.9,82.6,17.4,0.0,0.0,0
2016-08-03,63.7,43.5,83.3,17.4,0.0,0.0,0
2016-08-04,54.0,49.6,61.5,17.4,0.0,0.0,0
2016-08-05,53.6,48.0,61.0,17.4,0.0,0.0,0
2016-08-06,55.4,43.7,69.8,17.4,0.0,0.0,0
2016-08-07,57.2,38.8,79.7,17.4,0.2,0.0,0
2016-08-08,53.6,40.6,69.1,17.6,0.0,0.0,0
2016-08-09,53.1,38.8,77.2,17.6,0.0,0.0,0
2016-08-10,55.0,37.2,75.2,17.6,0.2,0.0,0
2016-08-11,53.6,37.0,73.6,17.8,0.0,0.0,0
2016-08-12,52.2,33.1,73.8,17.8,0.0,0.0,0
2016-08-13,53.4,30.2,78.3,17.8,0.0,0.0,0
2016-08-14,55.9,32.2,78.3,17.8,0.1,0.0,0
2016-08-15,55.0,32.5,80.4,17.9,0.0,0.0,0
2016-08-16,54.3,35.1,77.5,17.9,0.0,0.0,0
2016-08-17,52.7,35.8,75.7,17.9,0.0,0.0,0
2016-08-18,49.6,34.3,68.7,17.9,0.0,0.0,0
2016-08-19,51.3,34.3,70.5,17.9,0.0,0.0,0
2016-08-20,55.0,35.8,75.6,17.9,0.0,0.0,0
2016-08-21,57.0,32.4,79.5,17.9,0.0,0.0,0
2016-08-22,52.7,37.0,72.0,17.9,0.0,0.0,0
2016-08-23,50.7,36.1,72.3,17.9,0.0,0.0,0
2016-08-24,50.7,34.0,72.5,17.9,0.0,0.0,0
2016-08-25,45.0,30.7,68.9,17.9,0.0,0.0,0
2016-08-26,47.1,35.2,64.4,17.9,0.1,0.0,0
2016-08-27,47.5,30.9,66.6,18.0,0.1,0.0,0
2016-08-28,48.6,36.5,69.1,18.1,0.1,0.0,0
2016-08-29,47.3,36.1,66.4,18.2,0.0,0.0,0
2016-08-30,48.9,32.2,71.8,18.2,0.1,0.0,0
2016-08-31,55.0,34.0,76.6,18.3,0.2,0.0,0
2016-09-01,54.0,37.4,75.2,18.5,0.0,0.0,0
2016-09-02,50.9,39.4,66.2,18.5,0.0,0.0,0
2016-09-03,50.2,36.7,71.4,18.5,0.0,0.0,0
2016-09-04,49.6,34.7,68.9,18.5,0.0,0.0,0
2016-09-05,50.9,30.0,75.2,18.5,0.2,0.0,0
2016-09-06,51.8,33.3,74.7,18.7,0.0,0.0,0
2016-09-07,51.4,31.6,73.0,18.7,0.0,0.0,0
2016-09-08,49.8,27.5,74.8,18.7,0.0,0.0,0
2016-09-09,47.7,28.2,71.6,18.7,0.0,0.0,0
2016-09-10,48.2,25.5,75.7,18.7,0.0,0.0,0
2016-09-11,50.7,28.2,74.3,18.7,0.1,0.0,0
2016-09-12,50.2,31.5,71.6,18.8,0.0,0.0,0
2016-09-13,47.5,34.2,65.7,18.8,0.0,0.0,0
2016-09-14,47.7,34.9,69.8,18.8,0.0,0.0,0
2016-09-15,43.2,26.8,63.5,18.8,0.0,0.0,0
2016-09-16,41.9,24.1,65.8,18.8,0.0,0.0,0
2016-09-17,43.2,26.6,67.3,18.8,0.0,0.0,0
2016-09-18,46.8,25.2,73.2,18.8,0.1,0.0,0
2016-09-19,50.9,28.2,78.1,18.9,0.1,0.0,0
2016-09-20,53.4,32.7,73.4,19.0,0.3,0.0,0
2016-09-21,51.4,41.7,66.0,19.3,0.0,0.0,0
2016-09-22,56.5,40.8,75.2,19.3,0.0,0.0,0
2016-09-23,41.7,27.9,64.2,19.3,0.0,0.0,0
2016-09-24,36.0,27.9,45.5,19.3,0.0,0.0,0
2016-09-25,41.7,27.0,63.1,19.3,0.0,0.0,0
2016-09-26,43.7,24.8,70.9,19.3,0.0,0.0,0
2016-09-27,47.1,27.1,75.2,19.3,0.0,0.0,0
2016-09-28,49.3,28.4,74.3,19.3,0.0,0.0,0
2016-09-29,49.8,31.8,70.9,19.3,0.0,0.0,0
2016-09-30,47.3,33.1,62.6,19.3,0.0,0.0,0
