Date,Copeland Lake (412) Air Temperature Average (degF),Copeland Lake (412) Air Temperature Minimum (degF),Copeland Lake (412) Air Temperature Maximum (degF),Copeland Lake (412) Precipitation Accumulation (in) Start of Day Values,Copeland Lake (412) Precipitation Increment (in),Copeland Lake (412) Snow Water Equivalent (in) Start of Day Values,Copeland Lake (412) Snow Depth (in) Start of Day Values
2015-12-09,42.8,37.8,48.6,5.8,0.0,1.1,5
2015-12-10,38.8,33.6,44.8,5.8,0.0,1.1,4
2015-12-11,31.5,25.3,41.2,5.8,0.1,1.1,4
2015-12-12,23.9,16.2,28.2,5.9,0.2,1.2,6
2015-12-13,27.3,14.7,39.9,6.1,0.1,1.5,8
2015-12-14,25.9,19.2,41.0,6.2,0.0,1.6,7
2015-12-15,17.6,13.1,22.8,6.2,0.4,1.6,7
2015-12-16,16.0,13.5,22.8,6.6,0.0,1.9,12
2015-12-17,14.5,12.6,19.2,6.6,0.0,1.9,11
2015-12-18,29.7,19.0,36.3,6.6,0.1,1.9,10
2015-12-19,41.2,34.3,49.5,6.7,0.0,2.0,9
2015-12-20,33.3,27.7,40.6,6.7,0.0,1.9,9
2015-12-21,28.6,26.1,32.7,6.7,0.2,1.9,9
2015-12-22,28.4,22.5,32.7,6.9,0.5,2.0,10
2015-12-23,19.0,12.6,25.0,7.4,0.0,2.3,16
2015-12-24,13.5,8.2,19.8,7.4,0.0,2.3,15
2015-12-25,19.8,12.9,29.3,7.4,0.2,2.4,14
2015-12-26,8.8,-0.8,17.1,7.6,0.0,2.6,15
2015-12-27,8.4,-0.4,27.9,7.6,0.0,2.6,16
2015-12-28,24.3,4.8,35.8,7.6,0.0,2.6,15
2015-12-29,14.4,3.6,30.0,7.6,0.0,2.8,15
2015-12-30,18.1,11.5,24.8,7.6,0.0,2.8,14
2015-12-31,9.3,-2.0,22.8,7.6,0.0,2.8,14
2016-01-01,10.9,0.0,28.4,7.6,0.0,2.8,14
2016-01-02,21.2,7.3,36.9,7.6,0.1,2.8,14
2016-01-03,32.5,25.0,46.4,7.7,0.0,2.9,13
2016-01-04,30.2,22.1,46.9,7.7,0.0,2.9,14
2016-01-05,32.0,24.6,45.3,7.7,0.0,2.9,13
2016-01-06,30.6,22.8,41.0,7.7,0.0,2.9,13
2016-01-07,28.0,24.4,36.7,7.7,0.0,2.9,13
2016-01-08,18.5,8.1,24.4,7.7,0.1,2.9,13
2016-01-09,18.3,10.0,29.8,7.8,0.0,2.9,15
2016-01-10,19.6,16.9,26.2,7.8,0.0,2.9,15
2016-01-11,24.8,19.0,32.7,7.8,0.0,2.9,14
2016-01-12,29.1,23.7,36.3,7.8,0.0,3.0,14
2016-01-13,35.1,27.7,42.8,7.8,0.1,3.0,14
2016-01-14,26.6,20.7,33.1,7.9,0.0,3.0,13
2016-01-15,22.3,16.2,30.6,7.9,0.0,3.0,14
2016-01-16,19.4,13.8,25.0,7.9,0.2,3.0,15
2016-01-17,26.1,22.6,32.0,8.1,0.2,3.1,15
2016-01-18,32.7,27.0,40.6,8.3,0.0,3.2,16
2016-01-19,29.5,22.5,36.9,8.3,0.0,3.2,15
2016-01-20,26.8,21.0,34.5,8.3,0.0,3.1,15
2016-01-21,25.5,21.0,31.3,8.3,0.1,3.1,16
2016-01-22,37.6,29.7,48.0,8.4,0.0,3.1,15
2016-01-23,37.4,28.4,48.4,8.4,0.0,3.1,14
2016-01-24,30.9,23.9,40.8,8.4,0.0,3.0,13
2016-01-25,22.8,18.1,32.9,8.4,0.0,2.9,14
2016-01-26,25.2,16.5,32.5,8.4,0.0,2.9,14
2016-01-27,36.9,30.7,46.6,8.4,0.0,2.9,14
2016-01-28,37.4,30.0,45.0,8.4,0.0,2.9,13
2016-01-29,35.8,29.5,38.7,8.4,0.0,2.9,13
2016-01-30,35.1,25.3,44.6,8.4,0.4,2.7,12
2016-01-31,21.6,17.4,29.1,8.8,0.3,3.0,15
2016-02-01,17.8,14.0,21.6,9.1,0.5,3.2,20
2016-02-02,11.7,2.7,18.7,9.6,0.0,3.7,26
2016-02-03,9.1,4.5,15.8,9.6,0.1,3.8,25
2016-02-04,18.0,9.0,27.9,9.7,0.0,4.0,23
2016-02-05,20.5,15.4,27.0,9.7,0.1,4.2,22
2016-02-06,30.4,20.5,38.5,9.8,0.0,4.3,21
2016-02-07,30.9,27.9,38.1,9.8,0.0,4.3,20
2016-02-08,34.9,28.8,41.7,9.8,0.1,4.3,20
2016-02-09,38.5,31.8,45.0,9.9,0.0,4.4,19
2016-02-10,41.9,36.5,51.3,9.9,0.0,4.4,18
2016-02-11,41.2,34.0,49.5,9.9,0.0,4.4,17
2016-02-12,44.4,38.1,53.1,9.9,0.0,4.3,16
2016-02-13,42.1,34.5,50.5,9.9,0.0,4.3,15
2016-02-14,31.6,28.4,39.4,9.9,0.0,4.0,14
2016-02-15,33.6,29.7,37.2,9.9,0.5,4.0,15
2016-02-16,38.1,35.1,44.6,10.4,0.0,4.4,17
2016-02-17,45.9,37.4,54.7,10.4,0.0,4.4,15
2016-02-18,41.0,24.6,51.3,10.4,0.2,4.4,13
2016-02-19,36.3,23.2,46.4,10.6,0.0,4.2,14
2016-02-20,39.7,33.6,48.7,10.6,0.0,4.2,13
2016-02-21,31.5,21.4,41.4,10.6,0.0,4.0,12
2016-02-22,29.3,22.5,35.6,10.6,0.5,3.8,12
2016-02-23,23.5,17.8,34.7,11.1,0.1,4.2,16
2016-02-24,27.9,15.4,38.5,11.2,0.1,4.4,18
2016-02-25,32.5,14.4,45.7,11.3,0.0,4.5,17
2016-02-26,40.5,32.7,50.9,11.3,0.0,4.5,14
2016-02-27,41.9,33.6,52.0,11.3,0.0,4.5,13
2016-02-28,38.1,31.1,48.0,11.3,0.0,4.5,12
2016-02-29,34.3,25.0,43.5,11.3,0.1,4.5,11
2016-03-01,33.6,23.9,40.3,11.4,0.0,4.3,11
2016-03-02,36.3,31.8,42.6,11.4,0.1,4.3,11
2016-03-03,39.4,30.4,50.2,11.5,0.0,4.5,11
2016-03-04,38.8,28.0,50.7,11.5,0.0,4.3,10
2016-03-05,41.4,27.9,55.2,11.5,0.1,4.0,10
2016-03-06,41.9,35.6,50.0,11.6,0.0,3.7,8
2016-03-07,32.5,28.2,37.4,11.6,0.3,3.1,7
2016-03-08,28.0,19.8,36.0,11.9,0.0,3.5,9
2016-03-09,31.3,19.2,40.8,11.9,0.1,3.4,10
2016-03-10,39.2,31.3,50.7,12.0,0.0,3.3,9
2016-03-11,45.5,31.3,60.1,12.0,0.0,3.0,7
2016-03-12,41.4,34.0,55.9,12.0,0.0,2.2,5
2016-03-13,39.7,34.3,49.6,12.0,0.0,1.7,4
2016-03-14,33.3,23.7,38.8,12.0,0.4,1.2,3
2016-03-15,23.0,18.9,27.3,12.4,0.1,1.4,6
2016-03-16,24.1,19.4,28.9,12.5,0.0,1.5,5
2016-03-17,23.4,20.1,26.8,12.5,0.6,1.7,6
2016-03-18,16.0,9.3,22.5,13.1,0.3,2.2,13
2016-03-19,16.7,5.7,30.2,13.4,0.0,2.3,13
2016-03-20,31.5,5.2,49.1,13.4,0.1,2.3,12
2016-03-21,46.6,38.5,55.9,13.5,0.0,2.4,7
2016-03-22,43.9,30.6,54.3,13.5,0.2,1.9,5
2016-03-23,27.1,25.0,31.5,13.7,0.5,1.6,4
2016-03-24,30.7,24.3,36.5,14.2,0.1,2.1,9
2016-03-25,27.7,14.9,37.0,14.3,0.1,2.2,8
2016-03-26,20.1,10.4,32.0,14.4,0.0,2.2,8
2016-03-27,31.3,16.0,42.4,14.4,0.0,2.2,8
2016-03-28,38.8,26.4,54.1,14.4,0.1,2.1,5
2016-03-29,35.2,26.4,49.5,14.5,0.1,1.8,4
2016-03-30,28.4,24.3,35.1,14.6,0.0,1.7,3
2016-03-31,24.3,14.4,30.9,14.6,0.2,1.7,4
2016-04-01,29.8,16.7,40.3,14.8,0.0,1.9,7
2016-04-02,40.1,29.3,51.1,14.8,0.0,1.9,4
2016-04-03,43.3,36.7,53.4,14.8,0.0,1.3,2
2016-04-04,44.2,31.3,57.2,14.8,0.1,0.5,1
2016-04-05,36.1,29.7,46.4,14.9,0.1,0.0,0
2016-04-06,41.2,30.0,51.1,15.0,0.0,0.0,0
2016-04-07,42.6,31.3,55.8,15.0,0.0,0.0,0
2016-04-08,40.6,29.7,54.1,15.0,0.0,0.0,0
2016-04-09,45.3,33.3,56.3,15.0,0.0,0.0,0
2016-04-10,41.2,33.6,49.8,15.0,0.1,0.0,0
2016-04-11,37.6,32.4,49.3,15.1,0.0,0.0,0
2016-04-12,42.3,32.7,55.9,15.1,0.0,0.0,0
2016-04-13,46.0,36.9,59.4,15.1,0.0,0.0,0
2016-04-14,48.9,36.9,60.6,15.1,0.0,0.0,0
2016-04-15,35.1,29.3,43.2,15.1,0.8,0.0,0
2016-04-16,28.2,26.1,33.3,15.9,0.9,0.6,7
2016-04-17,27.9,24.4,33.3,16.8,0.2,1.1,18
2016-04-18,27.7,19.0,36.3,17.0,0.1,1.3,14
2016-04-19,31.3,19.6,43.7,17.1,0.1,1.3,11
2016-04-20,37.9,30.0,49.3,17.2,0.0,1.2,8
2016-04-21,41.2,28.8,55.8,17.2,0.0,1.0,6
2016-04-22,47.1,30.7,64.4,17.2,0.0,0.3,3
2016-04-23,45.0,35.2,65.3,17.2,0.0,0.0,0
2016-04-24,38.3,32.0,47.5,17.2,0.1,0.0,0
2016-04-25,41.5,30.0,52.5,17.3,0.1,0.0,0
2016-04-26,34.3,29.8,45.5,17.4,0.2,0.0,0
2016-04-27,34.7,28.9,45.0,17.6,0.1,0.0,0
2016-04-28,29.1,27.1,32.2,17.7,0.2,0.0,0
2016-04-29,29.7,27.0,33.6,17.9,0.5,0.2,3
2016-04-30,28.8,26.2,34.7,18.4,0.2,0.6,7
2016-05-01,26.4,17.1,31.5,18.6,0.0,0.7,6
2016-05-02,34.9,15.6,50.2,18.6,0.0,0.7,8
2016-05-03,41.2,27.9,56.1,18.6,0.0,0.6,2
2016-05-04,47.1,31.3,63.3,18.6,0.0,0.0,0
2016-05-05,51.4,35.8,67.8,18.6,0.0,0.0,0
2016-05-06,49.6,39.2,65.8,18.6,0.0,0.0,0
2016-05-07,37.9,34.0,47.3,18.6,0.5,0.0,0
2016-05-08,38.8,33.6,48.4,19.1,0.3,0.0,0
2016-05-09,41.4,32.9,52.5,19.4,0.2,0.0,0
2016-05-10,41.0,30.7,50.0,19.6,0.1,0.0,0
2016-05-11,40.1,30.6,50.2,19.7,0.0,0.0,0
2016-05-12,45.5,30.2,59.2,19.7,0.0,0.0,0
2016-05-13,49.1,36.9,65.8,19.7,0.0,0.0,0
2016-05-14,39.6,34.0,52.5,19.7,0.1,0.0,0
2016-05-15,43.2,33.4,59.4,19.8,0.3,0.0,0
2016-05-16,36.1,31.8,43.3,20.1,0.3,0.0,0
2016-05-17,34.2,31.6,36.0,20.4,0.2,0.0,0
2016-05-18,40.6,30.9,53.8,20.6,0.0,0.0,0
2016-05-19,48.2,36.7,60.8,20.6,0.0,0.0,0
2016-05-20,52.7,39.9,65.1,20.6,0.0,0.0,0
2016-05-21,53.1,39.0,68.7,20.6,0.0,0.0,0
2016-05-22,48.9,35.8,59.2,20.6,0.0,0.0,0
2016-05-23,43.5,31.3,56.8,20.6,0.0,0.0,0
2016-05-24,44.2,31.5,56.3,20.6,0.0,0.0,0
2016-05-25,46.4,32.0,60.6,20.6,0.0,0.0,0
2016-05-26,39.7,34.5,52.2,20.6,0.7,0.0,0
2016-05-27,41.0,34.7,52.0,21.3,0.1,0.0,0
2016-05-28,45.9,37.2,57.7,21.4,0.0,0.0,0
2016-05-29,50.0,35.8,66.9,21.4,0.0,0.0,0
2016-05-30,50.0,38.1,66.6,21.4,0.0,0.0,0
2016-05-31,46.6,37.9,59.5,21.4,0.0,0.0,0
2016-06-01,49.1,41.0,62.2,21.4,0.0,0.0,0
2016-06-02,55.0,39.4,70.5,21.4,0.0,0.0,0
2016-06-03,57.4,45.5,71.8,21.4,0.0,0.0,0
2016-06-04,54.5,42.1,66.7,21.4,0.0,0.0,0
2016-06-05,55.0,41.2,70.3,21.4,0.1,0.0,0
2016-06-06,56.1,43.3,71.2,21.5,0.0,0.0,0
2016-06-07,57.2,43.9,75.2,21.5,0.0,0.0,0
2016-06-08,58.3,46.8,73.2,21.5,0.0,0.0,0
2016-06-09,61.3,50.0,78.6,21.5,0.1,0.0,0
2016-06-10,,,,21.6,0.0,0.0,0
2016-06-11,,,,21.6,0.0,0.0,0
2016-06-12,,,,21.6,0.0,0.0,0
2016-06-13,,,,21.6,0.0,0.0,0
2016-06-14,,,,21.6,0.1,0.0,0
2016-06-15,,,,21.7,0.0,0.0,0
2016-06-16,,,,21.7,0.0,0.0,0
2016-06-17,,,,21.7,0.0,0.0,0
2016-06-18,,,,21.7,0.0,0.0,0
2016-06-19,,,,21.7,0.0,0.0,0
2016-06-20,,,,21.7,0.1,0.0,0
2016-06-21,,,,21.8,0.0,0.0,0
2016-06-22,,,,21.8,0.0,0.0,0
2016-06-23,,,,21.8,0.1,0.0,0
2016-06-24,,,,21.9,0.0,0.0,0
2016-06-25,,,,21.9,0.0,0.0,0
2016-06-26,,,,21.9,0.0,0.0,0
2016-06-27,,,,21.9,0.0,0.0,0
2016-06-28,63.0,50.0,77.5,21.9,0.2,0.0,0
2016-06-29,58.8,47.8,78.6,22.1,0.4,0.0,0
2016-06-30,53.4,46.4,63.9,22.5,0.2,0.0,0
2016-07-01,54.3,48.9,62.8,22.7,0.0,0.0,0
2016-07-02,54.0,49.1,62.8,22.7,0.1,0.0,0
2016-07-03,59.7,51.8,72.7,22.8,0.0,0.0,0
2016-07-04,63.7,53.8,75.4,22.8,0.0,0.0,0
2016-07-05,58.6,47.1,72.7,22.8,0.0,0.0,0
2016-07-06,61.0,43.9,76.1,22.8,0.0,0.0,0
2016-07-07,59.7,46.0,75.2,22.8,0.0,0.0,0
2016-07-08,61.9,46.0,79.0,22.8,0.0,0.0,0
2016-07-09,65.7,48.6,79.9,22.8,0.0,0.0,0
2016-07-10,67.6,53.2,80.8,22.8,0.0,0.0,0
2016-07-11,61.2,47.1,70.9,22.8,0.0,0.0,0
2016-07-12,59.4,41.5,75.7,22.8,0.0,0.0,0
2016-07-13,60.6,43.7,77.5,22.8,0.0,0.0,0
2016-07-14,58.3,45.5,74.8,22.8,0.0,0.0,0
2016-07-15,57.2,45.9,77.0,22.8,0.0,0.0,0
2016-07-16,63.9,46.4,81.1,22.8,0.0,0.0,0
2016-07-17,63.5,51.1,78.8,22.8,0.0,0.0,0
2016-07-18,63.0,52.3,80.4,22.8,0.0,0.0,0
2016-07-19,67.3,57.0,77.4,22.8,0.0,0.0,0
2016-07-20,65.5,57.7,81.9,22.8,0.0,0.0,0
2016-07-21,62.4,53.1,77.4,22.8,0.0,0.0,0
2016-07-22,66.7,54.3,79.7,22.8,0.0,0.0,0
2016-07-23,67.5,54.7,81.9,22.8,0.0,0.0,0
2016-07-24,63.9,50.2,78.8,22.8,0.0,0.0,0
2016-07-25,64.6,51.1,83.3,22.8,0.0,0.0,0
2016-07-26,64.2,53.8,79.3,22.8,0.0,0.0,0
2016-07-27,66.9,54.0,82.6,22.8,0.0,0.0,0
2016-07-28,61.5,49.3,79.5,22.8,0.0,0.0,0
2016-07-29,60.6,50.0,72.1,22.8,0.0,0.0,0
2016-07-30,64.4,49.6,84.6,22.8,0.0,0.0,0
2016-07-31,61.7,50.9,77.7,22.8,0.1,0.0,0
2016-08-01,65.3,53.1,81.7,22.9,0.0,0.0,0
2016-08-02,61.5,51.1,77.2,22.9,0.0,0.0,0
2016-08-03,65.8,50.2,81.5,22.9,0.0,0.0,0
2016-08-04,54.9,48.4,60.8,22.9,0.1,0.0,0
2016-08-05,50.7,47.5,53.6,23.0,0.3,0.0,0
2016-08-06,56.8,48.2,68.7,23.3,0.0,0.0,0
2016-08-07,61.9,53.1,72.7,23.3,0.0,0.0,0
2016-08-08,61.7,51.1,75.2,23.3,0.0,0.0,0
2016-08-09,61.2,49.1,80.2,23.3,0.0,0.0,0
2016-08-10,59.5,49.1,75.7,23.3,0.0,0.0,0
2016-08-11,61.3,46.2,74.5,23.3,0.0,0.0,0
2016-08-12,55.2,42.1,70.5,23.3,0.0,0.0,0
2016-08-13,57.2,43.2,72.9,23.3,0.0,0.0,0
2016-08-14,59.7,44.6,75.6,23.3,0.0,0.0,0
2016-08-15,59.2,47.7,76.1,23.3,0.0,0.0,0
2016-08-16,62.1,50.5,72.0,23.3,0.2,0.0,0
2016-08-17,61.0,46.9,75.7,23.5,0.0,0.0,0
2016-08-18,55.0,44.1,69.8,23.5,0.6,0.0,0
2016-08-19,49.5,41.7,69.1,24.1,0.0,0.0,0
2016-08-20,50.7,38.7,65.5,24.1,0.0,0.0,0
2016-08-21,58.5,42.6,76.1,24.1,0.0,0.0,0
2016-08-22,59.0,50.2,72.3,24.1,0.0,0.0,0
2016-08-23,57.7,49.3,70.0,24.1,0.1,0.0,0
2016-08-24,49.5,40.5,58.8,24.2,0.3,0.0,0
2016-08-25,46.4,38.5,53.4,24.5,0.1,0.0,0
2016-08-26,52.0,45.0,64.6,24.6,0.0,0.0,0
2016-08-27,56.3,46.4,69.3,24.6,0.0,0.0,0
2016-08-28,53.8,46.2,66.4,24.6,0.0,0.0,0
2016-08-29,53.2,45.1,68.9,24.6,0.1,0.0,0
2016-08-30,52.9,43.9,66.9,24.7,0.1,0.0,0
2016-08-31,53.4,41.0,67.5,24.8,0.0,0.0,0
2016-09-01,59.2,42.6,76.3,24.8,0.0,0.0,0
2016-09-02,57.4,49.1,68.7,24.8,0.0,0.0,0
2016-09-03,57.7,46.6,73.8,24.8,0.0,0.0,0
2016-09-04,53.8,41.7,70.5,24.8,0.0,0.0,0
2016-09-05,56.5,39.0,73.4,24.8,0.0,0.0,0
2016-09-06,55.0,42.4,73.8,24.8,0.0,0.0,0
2016-09-07,56.8,42.1,72.1,24.8,0.0,0.0,0
2016-09-08,58.1,42.1,73.8,24.8,0.0,0.0,0
2016-09-09,51.6,32.7,68.2,24.8,0.0,0.0,0
2016-09-10,54.3,32.0,72.7,24.8,0.0,0.0,0
2016-09-11,59.0,47.3,75.0,24.8,0.0,0.0,0
2016-09-12,53.4,41.9,72.0,24.8,0.2,0.0,0
2016-09-13,45.5,40.6,55.4,25.0,0.0,0.0,0
2016-09-14,50.4,39.2,66.7,25.0,0.0,0.0,0
2016-09-15,47.3,34.0,61.9,25.0,0.0,0.0,0
2016-09-16,45.5,34.7,58.3,25.0,0.0,0.0,0
2016-09-17,51.4,34.5,64.6,25.0,0.0,0.0,0
2016-09-18,59.5,50.7,70.9,25.0,0.0,0.0,0
2016-09-19,61.3,50.2,75.7,25.0,0.0,0.0,0
2016-09-20,58.5,48.7,70.5,25.0,0.0,0.0,0
2016-09-21,57.6,49.1,68.2,25.0,0.0,0.0,0
2016-09-22,54.7,44.1,70.0,25.0,0.0,0.0,0
2016-09-23,50.5,36.0,69.1,25.0,0.1,0.0,0
2016-09-24,42.6,37.8,50.5,25.1,0.0,0.0,0
2016-09-25,45.3,36.5,61.0,25.1,0.0,0.0,0
2016-09-26,48.2,35.2,65.3,25.1,0.0,0.0,0
2016-09-27,54.1,37.0,70.9,25.1,0.0,0.0,0
2016-09-28,52.5,40.8,68.0,25.1,0.0,0.0,0
2016-09-29,55.4,42.3,72.1,25.1,0.0,0.0,0
2016-09-30,50.9,42.8,58.8,25.1,0.0,0.0,0
