Date,Jones Pass (970) Air Temperature Average (degF),Jones Pass (970) Air Temperature Minimum (degF),Jones Pass (970) Air Temperature Maximum (degF),Jones Pass (970) Precipitation Accumulation (in) Start of Day Values,Jones Pass (970) Precipitation Increment (in),Jones Pass (970) Snow Water Equivalent (in) Start of Day Values,Jones Pass (970) Snow Depth (in) Start of Day Values
2016-01-07,20.3,15.3,26.6,11.3,0.1,8.6,34
2016-01-08,16.0,8.1,24.8,11.4,0.0,8.7,36
2016-01-09,12.2,5.2,19.8,11.4,0.0,8.7,34
2016-01-10,6.6,-4.7,15.8,11.4,0.0,8.7,37
2016-01-11,8.4,-2.9,21.6,11.4,0.0,8.7,37
2016-01-12,15.3,3.9,30.4,11.4,0.1,8.7,37
2016-01-13,22.6,12.7,36.7,11.5,0.1,8.7,37
2016-01-14,18.1,13.1,27.3,11.6,0.0,8.7,36
2016-01-15,13.5,9.3,19.8,11.6,0.2,8.7,38
2016-01-16,11.5,5.4,19.0,11.8,0.1,8.8,40
2016-01-17,18.1,14.4,21.6,11.9,0.3,8.8,40
2016-01-18,23.2,16.3,31.6,12.2,0.1,8.9,43
2016-01-19,19.2,10.4,28.0,12.3,0.0,8.9,40
2016-01-20,16.9,10.8,24.4,12.3,0.2,9.1,41
2016-01-21,12.6,6.6,20.3,12.5,0.0,9.6,46
2016-01-22,22.5,13.3,34.2,12.5,0.2,9.6,45
2016-01-23,23.9,16.2,36.7,12.7,0.1,9.6,44
2016-01-24,19.6,14.2,30.2,12.8,0.1,9.6,42
2016-01-25,13.1,7.7,20.1,12.9,0.0,9.7,43
2016-01-26,8.2,-1.8,22.1,12.9,0.0,9.8,44
2016-01-27,18.5,5.9,33.6,12.9,0.1,9.8,43
2016-01-28,22.6,11.3,38.1,13.0,0.0,9.8,43
2016-01-29,23.9,18.1,31.8,13.0,0.3,9.8,42
2016-01-30,28.2,17.1,37.4,13.3,0.5,9.8,42
2016-01-31,16.5,9.0,24.4,13.8,0.3,10.3,49
2016-02-01,18.0,6.6,27.7,14.1,0.0,10.5,49
2016-02-02,4.6,-2.2,12.7,14.1,0.0,10.9,50
2016-02-03,-0.4,-10.3,7.0,14.1,0.0,11.1,50
2016-02-04,6.1,-10.1,20.1,14.1,0.2,11.1,50
2016-02-05,8.2,0.0,16.5,14.3,0.0,11.1,49
2016-02-06,17.6,4.8,29.1,14.3,0.3,11.1,49
2016-02-07,20.3,15.8,24.4,14.6,0.0,11.1,49
2016-02-08,23.5,13.1,35.2,14.6,0.0,11.1,48
2016-02-09,22.8,11.8,39.7,14.6,0.0,11.1,47
2016-02-10,27.9,16.3,44.8,14.6,0.0,11.1,47
2016-02-11,29.5,19.4,43.2,14.6,0.0,11.1,46
2016-02-12,32.2,24.1,45.7,14.6,0.0,11.1,46
2016-02-13,30.9,20.5,45.1,14.6,0.0,11.1,46
2016-02-14,22.8,14.9,30.2,14.6,0.4,11.1,46
2016-02-15,26.2,21.4,29.5,15.0,0.2,11.4,48
2016-02-16,27.9,19.9,34.5,15.2,0.1,11.5,49
2016-02-17,31.8,17.8,48.6,15.3,0.2,11.6,49
2016-02-18,33.1,16.9,45.1,15.5,0.0,11.6,48
2016-02-19,23.4,11.3,36.5,15.5,0.0,11.9,50
2016-02-20,27.0,17.1,41.2,15.5,0.0,11.9,49
2016-02-21,25.9,14.7,40.8,15.5,0.0,11.9,49
2016-02-22,21.0,14.7,28.2,15.5,0.2,11.9,48
2016-02-23,14.4,1.0,27.9,15.7,0.0,12.2,51
2016-02-24,14.9,-0.2,31.3,15.7,0.0,12.2,50
2016-02-25,23.7,9.1,39.0,15.7,0.0,12.1,49
2016-02-26,27.7,14.5,43.7,15.7,0.0,12.0,48
2016-02-27,31.1,18.1,45.9,15.7,0.0,12.0,48
2016-02-28,28.2,19.6,42.1,15.7,0.0,12.0,47
2016-02-29,25.7,15.8,39.0,15.7,0.2,12.0,47
2016-03-01,25.0,10.0,35.2,15.9,0.4,12.1,48
2016-03-02,26.1,18.9,34.0,16.3,0.0,12.4,48
2016-03-03,27.9,13.6,44.8,16.3,0.1,12.4,51
2016-03-04,30.0,20.8,43.7,16.4,0.0,12.3,49
2016-03-05,34.0,21.6,47.5,16.4,0.3,12.3,48
2016-03-06,32.5,25.3,42.4,16.7,0.0,12.5,48
2016-03-07,23.5,19.6,27.5,16.7,0.0,12.5,48
2016-03-08,19.8,7.2,34.0,16.7,0.0,12.5,49
2016-03-09,21.2,9.0,36.5,16.7,0.0,12.5,49
2016-03-10,28.0,14.4,44.1,16.7,0.0,12.5,48
2016-03-11,35.8,22.5,53.2,16.7,0.2,12.5,48
2016-03-12,32.9,23.9,43.5,16.9,0.0,12.6,47
2016-03-13,32.0,25.7,41.5,16.9,0.1,12.6,47
2016-03-14,26.8,17.1,34.7,17.0,0.7,12.7,47
2016-03-15,15.1,10.2,19.2,17.7,0.1,13.5,58
2016-03-16,16.3,10.4,22.1,17.8,0.4,13.9,60
2016-03-17,21.4,15.6,27.9,18.2,0.3,14.1,58
2016-03-18,15.1,4.1,22.6,18.5,0.0,14.4,64
2016-03-19,14.4,3.7,26.1,18.5,0.1,14.4,60
2016-03-20,21.9,4.1,39.0,18.6,0.3,14.4,60
2016-03-21,34.7,21.0,48.6,18.9,0.5,14.4,58
2016-03-22,34.3,22.3,42.4,19.4,0.0,14.3,56
2016-03-23,19.9,18.0,23.0,19.4,0.5,14.6,55
2016-03-24,21.6,16.0,29.1,19.9,0.1,15.6,64
2016-03-25,18.7,4.1,27.9,20.0,0.3,15.6,64
2016-03-26,14.2,0.0,25.3,20.3,0.1,16.2,70
2016-03-27,19.4,0.9,34.9,20.4,0.2,16.3,68
2016-03-28,32.0,19.2,44.2,20.6,0.5,16.3,65
2016-03-29,30.9,19.0,43.9,21.1,0.0,16.3,62
2016-03-30,19.6,14.7,27.9,21.1,0.0,16.3,65
2016-03-31,16.7,2.8,29.7,21.1,0.0,16.7,66
2016-04-01,19.0,3.4,31.3,21.1,0.2,17.1,70
2016-04-02,28.0,14.9,42.1,21.3,0.2,16.8,63
2016-04-03,33.4,21.7,45.3,21.5,0.2,16.8,63
2016-04-04,36.3,24.3,50.2,21.7,0.1,16.8,60
2016-04-05,27.1,20.8,39.4,21.8,0.0,16.7,59
2016-04-06,31.5,15.3,45.0,21.8,0.3,17.1,63
2016-04-07,36.3,27.1,49.5,22.1,0.0,17.1,60
2016-04-08,36.5,23.7,50.9,22.1,0.0,17.1,58
2016-04-09,35.2,28.4,46.6,22.1,0.0,16.9,57
2016-04-10,35.4,27.7,46.6,22.1,0.2,16.6,56
2016-04-11,35.1,28.0,43.2,22.3,0.1,16.8,57
2016-04-12,36.0,30.4,49.5,22.4,0.0,16.8,57
2016-04-13,38.1,30.0,52.0,22.4,0.0,16.8,56
2016-04-14,38.5,29.7,50.0,22.4,0.0,16.7,56
2016-04-15,29.1,24.4,40.3,22.4,0.7,16.5,55
2016-04-16,23.2,20.8,27.1,23.1,0.4,17.2,63
2016-04-17,23.9,15.6,34.7,23.5,0.2,17.6,66
2016-04-18,24.4,14.9,33.6,23.7,0.0,17.9,65
2016-04-19,27.3,21.2,35.2,23.7,0.3,17.9,65
2016-04-20,31.5,25.3,40.1,24.0,0.1,17.9,62
2016-04-21,36.7,26.8,48.9,24.1,0.0,18.0,63
2016-04-22,40.6,26.6,57.4,24.1,0.0,17.8,59
2016-04-23,38.8,27.9,53.6,24.1,0.0,17.5,58
2016-04-24,32.2,26.4,43.2,24.1,0.0,17.4,57
2016-04-25,36.5,26.1,49.8,24.1,0.3,17.4,56
2016-04-26,28.4,23.5,36.3,24.4,0.0,17.4,56
2016-04-27,27.9,22.8,36.7,24.4,0.1,17.7,58
2016-04-28,32.0,24.4,43.2,24.5,0.2,17.9,57
2016-04-29,27.9,25.0,32.9,24.7,0.1,17.9,55
2016-04-30,24.6,19.6,31.1,24.8,0.2,18.1,59
2016-05-01,23.5,14.9,34.0,25.0,0.0,18.6,65
2016-05-02,29.7,13.3,45.3,25.0,0.3,18.8,62
2016-05-03,34.7,20.1,50.7,25.3,0.1,18.4,60
2016-05-04,40.6,27.7,57.2,25.4,0.2,18.5,57
2016-05-05,45.1,31.6,59.4,25.6,0.1,18.2,55
2016-05-06,43.7,35.6,56.8,25.7,0.1,17.6,53
2016-05-07,35.2,26.6,48.4,25.8,0.0,17.2,52
2016-05-08,32.2,25.0,43.0,25.8,0.2,17.2,50
2016-05-09,34.2,29.3,39.4,26.0,0.5,17.4,54
2016-05-10,33.8,26.4,40.1,26.5,0.2,17.7,54
2016-05-11,31.8,22.8,41.9,26.7,0.0,18.2,54
2016-05-12,36.5,22.8,51.6,26.7,0.0,18.4,56
2016-05-13,43.2,31.5,58.1,26.7,0.2,18.1,54
2016-05-14,44.4,32.5,59.0,26.9,0.1,17.7,53
2016-05-15,39.6,31.8,49.1,27.0,0.1,17.0,51
2016-05-16,34.2,28.9,42.8,27.1,0.2,16.8,49
2016-05-17,35.2,28.6,44.6,27.3,0.0,17.2,52
2016-05-18,37.4,27.1,53.1,27.3,0.0,17.0,50
2016-05-19,39.7,32.2,51.6,27.3,0.0,16.5,49
2016-05-20,43.9,34.0,55.4,27.3,0.0,16.1,48
2016-05-21,45.9,34.9,58.3,27.3,0.0,15.5,46
2016-05-22,42.4,30.4,57.0,27.3,0.0,14.9,43
2016-05-23,38.1,28.6,49.5,27.3,0.0,14.6,42
2016-05-24,41.4,30.4,56.3,27.3,0.0,14.4,41
2016-05-25,39.7,30.0,52.0,27.3,0.0,14.0,40
2016-05-26,36.7,29.1,48.7,27.3,0.1,13.7,38
2016-05-27,35.6,32.9,44.1,27.4,0.2,12.9,37
2016-05-28,37.9,31.3,50.7,27.6,0.0,12.9,37
2016-05-29,41.4,30.6,56.1,27.6,0.0,12.9,37
2016-05-30,40.6,31.6,56.3,27.6,0.0,12.4,36
2016-05-31,40.6,32.5,56.7,27.6,0.1,11.9,34
2016-06-01,43.2,32.2,57.9,27.7,0.1,11.3,32
2016-06-02,44.8,32.9,60.4,27.8,0.0,10.6,30
2016-06-03,46.6,37.4,60.6,27.8,0.1,9.9,28
2016-06-04,47.5,36.5,64.8,27.9,0.1,9.1,26
2016-06-05,48.2,36.9,64.2,28.0,0.0,8.3,23
2016-06-06,48.4,37.4,65.5,28.0,0.0,7.3,20
2016-06-07,47.7,36.9,67.3,28.0,0.0,6.2,16
2016-06-08,47.5,37.4,62.8,28.0,0.1,5.1,13
2016-06-09,48.9,37.4,67.5,28.1,0.1,4.1,10
2016-06-10,53.1,39.7,70.0,28.2,0.1,2.9,6
2016-06-11,52.5,40.3,69.1,28.3,0.0,1.2,2
2016-06-12,48.7,39.4,65.1,28.3,0.0,0.0,0
2016-06-13,44.4,34.3,60.3,28.3,0.0,0.0,0
2016-06-14,43.2,33.8,57.7,28.3,0.1,0.0,0
2016-06-15,51.3,35.2,68.7,28.4,0.3,0.0,0
2016-06-16,51.6,37.6,69.3,28.7,0.0,0.0,0
2016-06-17,51.1,38.8,65.7,28.7,0.1,0.0,0
2016-06-18,55.4,39.6,74.7,28.8,0.3,0.0,0
2016-06-19,58.3,43.9,75.4,29.1,0.2,0.0,0
2016-06-20,57.7,46.8,72.1,29.3,0.0,0.0,0
2016-06-21,59.0,45.0,75.9,29.3,0.0,0.0,0
2016-06-22,53.2,42.8,69.6,29.3,0.4,0.0,0
2016-06-23,51.4,42.1,63.7,29.7,0.0,0.0,0
2016-06-24,53.2,43.7,70.3,29.7,0.0,0.0,0
2016-06-25,53.6,41.9,68.5,29.7,0.0,0.0,0
2016-06-26,54.0,41.7,70.9,29.7,0.0,0.0,0
2016-06-27,55.0,39.0,71.1,29.7,0.2,0.0,0
2016-06-28,56.3,41.0,,29.9,0.0,0.0,0
2016-06-29,55.0,44.2,70.0,29.9,0.0,0.0,0
2016-06-30,50.4,43.2,61.9,29.9,0.0,0.0,0
2016-07-01,48.4,45.1,53.2,29.9,0.3,0.0,0
2016-07-02,47.5,43.0,54.9,30.2,0.0,0.0,0
2016-07-03,49.3,40.5,63.1,30.2,0.0,0.0,0
2016-07-04,51.4,39.7,66.6,30.2,0.1,0.0,0
2016-07-05,53.1,43.0,64.2,30.3,0.0,0.0,0
2016-07-06,54.9,42.8,68.5,30.3,0.0,0.0,0
2016-07-07,54.9,43.5,69.3,30.3,0.0,0.0,0
2016-07-08,55.8,42.8,70.7,30.3,0.0,0.0,0
2016-07-09,56.3,43.7,71.2,30.3,0.0,0.0,0
2016-07-10,59.4,47.5,73.0,30.3,0.0,0.0,0
2016-07-11,52.5,41.2,62.8,30.3,0.0,0.0,0
2016-07-12,52.5,39.2,67.3,30.3,0.0,0.0,0
2016-07-13,53.8,41.0,69.8,30.3,0.0,0.0,0
2016-07-14,52.5,39.6,69.8,30.3,0.0,0.0,0
2016-07-15,52.5,41.4,69.3,30.3,0.0,0.0,0
2016-07-16,56.3,43.0,72.1,30.3,0.0,0.0,0
2016-07-17,57.9,45.1,72.0,30.3,0.0,0.0,0
2016-07-18,53.8,45.0,65.3,30.3,0.0,0.0,0
2016-07-19,55.2,46.2,69.3,30.3,0.3,0.0,0
2016-07-20,52.7,44.1,69.3,30.6,0.0,0.0,0
2016-07-21,50.0,44.2,65.3,30.6,0.2,0.0,0
2016-07-22,54.1,44.4,70.0,30.8,0.0,0.0,0
2016-07-23,55.6,44.6,72.1,30.8,0.0,0.0,0
2016-07-24,54.3,43.9,68.7,30.8,0.0,0.0,0
2016-07-25,56.5,42.6,73.9,30.8,0.1,0.0,0
2016-07-26,53.8,43.2,69.4,30.9,0.0,0.0,0
2016-07-27,56.3,42.6,72.7,30.9,0.0,0.0,0
2016-07-28,56.3,45.5,73.6,30.9,0.0,0.0,0
2016-07-29,56.7,43.7,70.3,30.9,0.1,0.0,0
2016-07-30,57.2,45.0,73.9,31.0,0.0,0.0,0
2016-07-31,51.8,44.1,68.9,31.0,0.0,0.0,0
2016-08-01,53.8,41.7,70.0,31.0,0.1,0.0,0
2016-08-02,55.8,46.6,68.7,31.1,0.1,0.0,0
2016-08-03,57.0,44.4,73.9,31.2,0.0,0.0,0
2016-08-04,50.0,45.5,58.5,31.2,0.0,0.0,0
2016-08-05,49.8,45.9,57.7,31.2,0.4,0.0,0
2016-08-06,49.1,42.4,60.1,31.6,0.0,0.0,0
2016-08-07,50.9,41.5,67.6,31.6,0.4,0.0,0
2016-08-08,51.3,42.8,64.0,32.0,0.0,0.0,0
2016-08-09,50.2,41.9,69.1,32.0,0.0,0.0,0
2016-08-10,49.8,41.5,63.5,32.0,0.0,0.0,0
2016-08-11,50.4,39.7,64.4,32.0,0.0,0.0,0
2016-08-12,47.8,37.6,62.4,32.0,0.0,0.0,0
2016-08-13,49.6,36.1,65.3,32.0,0.0,0.0,0
2016-08-14,50.7,37.9,67.3,32.0,0.0,0.0,0
2016-08-15,51.3,40.6,69.3,32.0,0.0,0.0,0
2016-08-16,50.0,40.6,65.7,32.0,0.1,0.0,0
2016-08-17,47.8,39.6,65.8,32.1,0.0,0.0,0
2016-08-18,46.4,39.0,57.4,32.1,0.1,0.0,0
2016-08-19,46.8,37.9,59.5,32.2,0.2,0.0,0
2016-08-20,48.0,38.1,62.6,32.4,0.0,0.0,0
2016-08-21,51.4,37.0,67.5,32.4,0.0,0.0,0
2016-08-22,49.3,39.9,62.4,32.4,0.0,0.0,0
2016-08-23,46.4,37.9,59.2,32.4,0.1,0.0,0
2016-08-24,43.7,37.0,52.5,32.5,0.0,0.0,0
2016-08-25,42.8,35.4,56.8,32.5,0.0,0.0,0
2016-08-26,43.7,36.3,55.0,32.5,0.0,0.0,0
2016-08-27,45.5,34.2,59.7,32.5,0.1,0.0,0
2016-08-28,43.7,39.0,55.0,32.6,0.3,0.0,0
2016-08-29,46.6,39.2,58.1,32.9,0.2,0.0,0
2016-08-30,46.8,38.3,59.9,33.1,0.0,0.0,0
2016-08-31,50.4,38.1,65.1,33.1,0.1,0.0,0
2016-09-01,50.0,40.1,65.1,33.2,0.1,0.0,0
2016-09-02,47.3,39.9,58.3,33.3,0.0,0.0,0
2016-09-03,47.8,40.3,60.8,33.3,0.1,0.0,0
2016-09-04,46.6,39.6,59.0,33.4,0.0,0.0,0
2016-09-05,48.7,37.0,63.9,33.4,0.0,0.0,0
2016-09-06,50.2,39.7,63.9,33.4,0.1,0.0,0
2016-09-07,49.3,38.7,62.1,33.5,0.0,0.0,0
2016-09-08,48.7,35.8,64.2,33.5,0.0,0.0,0
2016-09-09,45.0,32.4,60.4,33.5,0.0,0.0,0
2016-09-10,46.9,31.5,63.5,33.5,0.0,0.0,0
2016-09-11,50.4,37.8,65.1,33.5,0.0,0.0,0
2016-09-12,46.6,37.6,60.1,33.5,0.0,0.0,0
2016-09-13,44.4,35.6,55.4,33.5,0.0,0.0,0
2016-09-14,44.8,35.1,59.2,33.5,0.0,0.0,0
2016-09-15,39.9,31.5,53.2,33.5,0.0,0.0,0
2016-09-16,40.8,30.0,54.3,33.5,0.0,0.0,0
2016-09-17,42.6,31.8,55.0,33.5,0.0,0.0,0
2016-09-18,46.8,34.2,62.1,33.5,0.2,0.0,0
2016-09-19,49.5,37.0,65.5,33.7,0.1,0.0,0
2016-09-20,50.0,41.0,60.3,33.8,0.1,0.0,0
2016-09-21,46.6,40.5,56.5,33.9,0.0,0.0,0
2016-09-22,52.3,39.9,62.2,33.9,0.0,0.0,0
2016-09-23,42.6,29.3,59.9,33.9,0.0,0.0,0
2016-09-24,32.2,25.7,37.9,33.9,0.0,0.0,0
2016-09-25,37.2,31.3,49.8,33.9,0.0,0.0,0
2016-09-26,48.4,35.4,58.8,33.9,0.0,0.0,0
2016-09-27,45.9,33.8,63.1,33.9,0.2,0.0,0
2016-09-28,48.7,36.9,61.7,34.1,0.0,0.0,0
2016-09-29,46.9,38.3,63.9,34.1,0.0,0.0,0
2016-09-30,41.7,35.1,48.0,34.1,0.0,0.0,0
