Date,Fool Creek (1186) Air Temperature Average (degF),Fool Creek (1186) Air Temperature Minimum (degF),Fool Creek (1186) Air Temperature Maximum (degF),Fool Creek (1186) Precipitation Accumulation (in) Start of Day Values,Fool Creek (1186) Precipitation Increment (in),Fool Creek (1186) Snow Water Equivalent (in) Start of Day Values,Fool Creek (1186) Snow Depth (in) Start of Day Values
2016-04-08,36.3,25.2,50.0,20.1,0.0,21.6,63
2016-04-09,34.7,29.5,44.6,20.1,0.0,21.6,62
2016-04-10,33.4,25.5,45.3,20.1,0.1,21.6,60
2016-04-11,33.1,26.4,44.4,20.2,0.0,21.8,62
2016-04-12,34.5,27.0,45.9,20.2,0.0,21.8,60
2016-04-13,36.5,29.5,47.1,20.2,0.0,21.8,60
2016-04-14,38.8,31.8,52.2,20.2,0.1,21.8,60
2016-04-15,28.4,22.3,41.2,20.3,0.8,21.8,60
2016-04-16,21.6,18.0,29.7,21.1,0.7,22.5,67
2016-04-17,21.2,16.3,28.6,21.8,0.4,23.2,75
2016-04-18,21.9,14.0,32.7,22.2,0.0,23.8,76
2016-04-19,24.6,17.6,35.8,22.2,0.2,23.9,72
2016-04-20,29.5,22.5,36.5,22.4,0.0,24.1,71
2016-04-21,35.2,27.0,47.7,22.4,0.0,24.1,71
2016-04-22,42.8,31.1,56.8,22.4,0.0,23.9,67
2016-04-23,39.0,25.5,55.8,22.4,0.1,23.8,64
2016-04-24,31.1,24.1,41.4,22.5,0.1,23.6,63
2016-04-25,36.3,25.9,51.3,22.6,0.1,23.6,62
2016-04-26,26.4,21.2,36.9,22.7,0.3,23.5,61
2016-04-27,25.5,20.5,35.4,23.0,0.1,23.8,63
2016-04-28,28.8,21.9,43.5,23.1,0.2,24.1,63
2016-04-29,25.9,22.1,30.7,23.3,0.3,24.2,64
2016-04-30,22.5,16.3,29.1,23.6,0.4,24.6,68
2016-05-01,22.5,16.0,34.9,24.0,0.1,25.0,71
2016-05-02,29.7,14.7,44.4,24.1,0.1,25.0,68
2016-05-03,35.1,22.8,49.5,24.2,0.0,25.0,65
2016-05-04,42.3,29.7,57.7,24.2,0.0,24.8,62
2016-05-05,46.0,35.6,59.2,24.2,0.0,24.4,59
2016-05-06,45.0,38.1,58.6,24.2,0.0,24.0,58
2016-05-07,33.3,25.3,44.8,24.2,0.3,23.6,58
2016-05-08,30.4,24.1,41.4,24.5,0.2,23.9,58
2016-05-09,32.4,26.8,38.8,24.7,0.6,24.0,60
2016-05-10,31.8,22.1,39.7,25.3,0.4,24.6,63
2016-05-11,29.1,21.7,40.8,25.7,0.0,25.2,62
2016-05-12,37.2,23.7,50.0,25.7,0.0,25.1,63
2016-05-13,45.0,37.0,55.2,25.7,0.1,24.9,60
2016-05-14,45.3,36.9,59.0,25.8,0.0,24.4,58
2016-05-15,39.4,32.0,48.4,25.8,0.2,23.8,57
2016-05-16,32.4,27.3,37.4,26.0,0.4,23.8,57
2016-05-17,34.2,27.3,46.2,26.4,0.0,24.1,58
2016-05-18,35.6,26.8,48.4,26.4,0.0,23.8,57
2016-05-19,39.7,30.6,53.4,26.4,0.0,23.6,55
2016-05-20,45.1,34.9,57.0,26.4,0.0,22.8,55
2016-05-21,47.7,37.8,59.0,26.4,0.0,21.8,52
2016-05-22,41.5,29.3,56.5,26.4,0.0,20.9,49
2016-05-23,37.8,27.7,50.5,26.4,0.0,20.1,48
2016-05-24,42.8,33.3,56.3,26.4,0.0,19.7,46
2016-05-25,39.4,30.0,52.7,26.4,0.0,19.2,45
2016-05-26,35.2,30.2,46.9,26.4,0.1,18.6,44
2016-05-27,33.8,29.5,46.6,26.5,0.1,18.6,43
2016-05-28,36.5,28.4,50.0,26.6,0.0,18.7,44
2016-05-29,42.3,32.0,57.2,26.6,0.1,18.4,43
2016-05-30,41.4,33.6,55.0,26.7,0.0,18.3,42
2016-05-31,41.2,33.4,53.8,26.7,0.0,18.1,41
2016-06-01,43.5,32.4,57.6,26.7,0.0,17.5,41
2016-06-02,47.3,35.4,60.1,26.7,0.0,17.1,39
2016-06-03,48.7,41.7,59.7,26.7,0.0,16.2,36
2016-06-04,49.8,39.6,63.0,26.7,0.0,15.2,34
2016-06-05,50.0,41.0,63.3,26.7,0.0,14.4,30
2016-06-06,49.3,41.4,65.8,26.7,0.0,13.4,26
2016-06-07,49.5,39.4,65.8,26.7,0.0,12.3,23
2016-06-08,48.2,40.6,63.0,26.7,0.0,11.2,21
2016-06-09,50.7,39.7,66.0,26.7,0.0,10.0,18
2016-06-10,55.9,45.3,68.7,26.7,0.0,8.6,15
2016-06-11,53.8,44.8,68.2,26.7,0.0,7.0,11
2016-06-12,46.9,39.9,60.6,26.7,0.6,5.2,8
2016-06-13,43.0,33.4,55.2,27.3,0.4,4.7,7
2016-06-14,43.2,32.9,55.0,27.7,0.0,4.3,7
2016-06-15,52.9,41.2,66.2,27.7,0.0,2.8,5
2016-06-16,51.4,41.0,64.0,27.7,0.0,1.0,3
2016-06-17,51.1,41.4,64.2,27.7,0.1,0.5,2
2016-06-18,55.6,42.4,69.3,27.8,0.0,0.2,1
2016-06-19,59.0,48.9,71.6,27.8,0.0,0.0,0
2016-06-20,57.9,49.3,69.3,27.8,0.0,0.0,0
2016-06-21,59.9,48.2,73.2,27.8,0.0,0.0,0
2016-06-22,52.2,41.0,68.0,27.8,0.4,0.0,0
2016-06-23,51.3,41.0,63.0,28.2,0.0,0.0,0
2016-06-24,55.0,45.5,66.6,28.2,0.0,0.0,0
2016-06-25,53.6,42.8,67.1,28.2,0.0,0.0,0
2016-06-26,54.3,43.0,68.7,28.2,0.0,0.0,0
2016-06-27,55.6,43.3,69.6,28.2,0.0,0.0,0
2016-06-28,56.3,46.0,70.5,28.2,0.0,0.0,0
2016-06-29,53.4,44.4,69.1,28.2,0.0,0.0,0
2016-06-30,47.3,41.7,55.4,28.2,0.3,0.0,0
2016-07-01,46.4,42.3,51.6,28.5,0.2,0.0,0
2016-07-02,45.5,41.7,53.4,28.7,0.1,0.0,0
2016-07-03,48.2,41.4,61.9,28.8,0.0,0.0,0
2016-07-04,51.8,41.4,66.4,28.8,0.0,0.0,0
2016-07-05,53.4,43.9,63.7,28.8,0.0,0.0,0
2016-07-06,56.8,51.3,66.0,28.8,0.0,0.0,0
2016-07-07,54.5,46.8,65.5,28.8,0.0,0.0,0
2016-07-08,57.0,45.0,70.2,28.8,0.0,0.0,0
2016-07-09,58.1,47.8,71.1,28.8,0.0,0.0,0
2016-07-10,59.9,50.0,72.5,28.8,0.0,0.0,0
2016-07-11,51.8,41.7,60.4,28.8,0.0,0.0,0
2016-07-12,54.9,44.6,66.6,28.8,0.0,0.0,0
2016-07-13,54.3,45.0,68.5,28.8,0.0,0.0,0
2016-07-14,53.1,41.5,67.3,28.8,0.0,0.0,0
2016-07-15,54.7,48.0,66.7,28.8,0.0,0.0,0
2016-07-16,57.4,48.4,70.5,28.8,0.0,0.0,0
2016-07-17,58.3,46.9,70.7,28.8,0.0,0.0,0
2016-07-18,54.0,47.3,65.8,28.8,0.0,0.0,0
2016-07-19,55.0,46.6,69.6,28.8,0.0,0.0,0
2016-07-20,51.3,44.2,65.5,28.8,0.2,0.0,0
2016-07-21,50.4,43.5,66.2,29.0,0.1,0.0,0
2016-07-22,54.7,46.8,68.5,29.1,0.0,0.0,0
2016-07-23,55.4,46.4,69.6,29.1,0.0,0.0,0
2016-07-24,54.5,45.0,70.0,29.1,0.0,0.0,0
2016-07-25,57.9,48.4,70.3,29.1,0.0,0.0,0
2016-07-26,53.6,45.3,67.8,29.1,0.0,0.0,0
2016-07-27,57.2,45.0,70.3,29.1,0.0,0.0,0
2016-07-28,58.6,50.0,71.4,29.1,0.0,0.0,0
2016-07-29,57.7,47.3,69.1,29.1,0.0,0.0,0
2016-07-30,58.3,49.5,71.6,29.1,0.0,0.0,0
2016-07-31,51.1,42.4,65.3,29.1,0.4,0.0,0
2016-08-01,52.9,41.5,66.9,29.5,0.0,0.0,0
2016-08-02,55.4,48.2,65.3,29.5,0.0,0.0,0
2016-08-03,55.8,47.3,69.3,29.5,0.0,0.0,0
2016-08-04,48.4,42.6,55.9,29.5,0.1,0.0,0
2016-08-05,48.2,43.5,55.8,29.6,0.5,0.0,0
2016-08-06,47.1,41.4,57.7,30.1,0.1,0.0,0
2016-08-07,48.6,40.6,61.9,30.2,0.6,0.0,0
2016-08-08,50.0,42.1,63.1,30.8,0.0,0.0,0
2016-08-09,50.7,41.9,65.8,30.8,0.2,0.0,0
2016-08-10,50.9,44.1,63.5,31.0,0.0,0.0,0
2016-08-11,49.3,38.8,63.9,31.0,0.0,0.0,0
2016-08-12,47.3,37.9,59.5,31.0,0.0,0.0,0
2016-08-13,50.0,40.1,63.5,31.0,0.1,0.0,0
2016-08-14,52.7,41.9,65.3,31.1,0.0,0.0,0
2016-08-15,51.4,44.6,67.1,31.1,0.0,0.0,0
2016-08-16,50.5,42.8,63.1,31.1,0.0,0.0,0
2016-08-17,47.8,41.0,64.6,31.1,0.1,0.0,0
2016-08-18,46.2,38.3,58.6,31.2,0.1,0.0,0
2016-08-19,45.9,37.2,59.0,31.3,0.1,0.0,0
2016-08-20,46.6,37.0,59.7,31.4,0.0,0.0,0
2016-08-21,51.8,38.7,65.7,31.4,0.0,0.0,0
2016-08-22,47.8,39.2,59.2,31.4,0.0,0.0,0
2016-08-23,45.1,38.3,58.3,31.4,0.1,0.0,0
2016-08-24,42.3,37.9,50.9,31.5,0.1,0.0,0
2016-08-25,42.6,36.3,53.2,31.6,0.1,0.0,0
2016-08-26,41.9,36.3,54.1,31.7,0.0,0.0,0
2016-08-27,44.8,33.8,57.9,31.7,0.0,0.0,0
2016-08-28,42.4,37.2,54.1,31.7,0.5,0.0,0
2016-08-29,43.7,37.6,54.1,32.2,0.1,0.0,0
2016-08-30,45.5,38.3,59.5,32.3,0.2,0.0,0
2016-08-31,49.8,39.4,62.8,32.5,0.0,0.0,0
2016-09-01,49.8,42.6,64.0,32.5,0.2,0.0,0
2016-09-02,46.8,41.5,57.4,32.7,0.1,0.0,0
2016-09-03,47.3,41.2,57.9,32.8,0.1,0.0,0
2016-09-04,46.6,40.5,58.5,32.9,0.0,0.0,0
2016-09-05,49.3,39.2,63.5,32.9,0.0,0.0,0
2016-09-06,51.6,43.0,63.1,32.9,0.0,0.0,0
2016-09-07,49.6,39.2,60.1,32.9,0.0,0.0,0
2016-09-08,50.2,39.7,61.7,32.9,0.0,0.0,0
2016-09-09,43.5,33.3,57.6,32.9,0.0,0.0,0
2016-09-10,48.6,32.9,62.6,32.9,0.0,0.0,0
2016-09-11,52.2,43.3,62.8,32.9,0.0,0.0,0
2016-09-12,45.7,36.7,59.9,32.9,0.1,0.0,0
2016-09-13,44.8,37.8,57.7,33.0,0.0,0.0,0
2016-09-14,43.5,35.1,58.5,33.0,0.1,0.0,0
2016-09-15,39.2,30.9,51.1,33.1,0.0,0.0,0
2016-09-16,39.4,29.7,52.0,33.1,0.0,0.0,0
2016-09-17,42.1,32.4,53.2,33.1,0.0,0.0,0
2016-09-18,48.2,38.1,60.1,33.1,0.1,0.0,0
2016-09-19,51.6,42.4,64.8,33.2,0.0,0.0,0
2016-09-20,50.0,42.3,59.9,33.2,0.0,0.0,0
2016-09-21,45.5,40.1,53.4,33.2,0.0,0.0,0
2016-09-22,52.0,44.1,63.1,33.2,0.0,0.0,0
2016-09-23,40.1,26.2,60.6,33.2,0.0,0.0,0
2016-09-24,30.4,24.4,36.5,33.2,0.1,0.0,0
2016-09-25,35.4,26.2,47.3,33.3,0.0,0.0,0
2016-09-26,41.5,31.1,54.7,33.3,0.1,0.0,0
2016-09-27,51.3,41.5,59.0,33.4,0.0,0.0,0
2016-09-28,46.9,39.4,57.4,33.4,0.0,0.0,0
2016-09-29,46.0,38.1,56.5,33.4,0.0,0.0,0
2016-09-30,40.1,35.1,47.1,33.4,0.1,0.0,0
