Date,Summit Ranch (802) Air Temperature Average (degF),Summit Ranch (802) Air Temperature Minimum (degF),Summit Ranch (802) Air Temperature Maximum (degF),Summit Ranch (802) Precipitation Accumulation (in) Start of Day Values,Summit Ranch (802) Precipitation Increment (in),Summit Ranch (802) Snow Water Equivalent (in) Start of Day Values,Summit Ranch (802) Snow Depth (in) Start of Day Values
2016-01-25,11.7,-2.0,22.3,7.1,0.0,6.5,30
2016-01-26,6.6,-3.8,20.7,7.1,0.1,6.5,30
2016-01-27,13.3,-2.6,34.0,7.2,0.0,6.5,30
2016-01-28,19.4,3.7,36.3,7.2,0.1,6.5,30
2016-01-29,28.8,20.7,35.8,7.3,0.0,6.6,29
2016-01-30,31.8,15.8,41.9,7.3,0.3,6.7,30
2016-01-31,14.9,9.9,21.2,7.6,0.4,7.2,37
2016-02-01,19.0,7.5,29.1,8.0,0.4,7.6,38
2016-02-02,6.1,-3.1,15.3,8.4,0.1,7.9,41
2016-02-03,-2.6,-17.0,9.0,8.5,0.0,7.9,40
2016-02-04,2.5,-16.6,15.8,8.5,0.2,8.0,40
2016-02-05,7.0,-6.0,18.9,8.7,0.0,8.0,39
2016-02-06,12.6,-5.6,30.4,8.7,0.1,8.0,39
2016-02-07,18.3,5.2,30.6,8.8,0.0,8.1,38
2016-02-08,22.1,11.1,34.9,8.8,0.0,8.1,37
2016-02-09,19.9,4.3,40.1,8.8,0.0,8.1,36
2016-02-10,24.3,6.1,50.2,8.8,0.0,8.1,36
2016-02-11,27.7,10.2,46.0,8.8,0.0,8.1,36
2016-02-12,30.4,16.2,46.8,8.8,0.0,8.1,35
2016-02-13,32.7,18.3,48.9,8.8,0.1,8.2,34
2016-02-14,23.7,12.7,32.7,8.9,0.0,8.3,34
2016-02-15,30.2,21.7,40.5,8.9,0.0,8.3,34
2016-02-16,31.3,20.1,43.0,8.9,0.0,8.3,34
2016-02-17,34.2,15.3,55.9,8.9,0.0,8.3,34
2016-02-18,35.8,22.3,47.8,8.9,0.2,8.4,33
2016-02-19,31.6,17.4,45.5,9.1,0.1,8.5,36
2016-02-20,31.8,13.3,47.1,9.2,0.0,8.6,34
2016-02-21,25.5,10.0,42.4,9.2,0.0,8.7,33
2016-02-22,22.3,14.7,29.7,9.2,0.0,8.7,33
2016-02-23,15.6,-1.7,27.7,9.2,0.0,8.7,33
2016-02-24,12.9,-6.7,31.5,9.2,0.1,8.8,34
2016-02-25,21.2,4.6,38.5,9.3,0.0,8.8,34
2016-02-26,25.7,11.7,43.2,9.3,0.0,8.8,34
2016-02-27,32.0,11.3,50.9,9.3,0.0,8.8,33
2016-02-28,26.8,13.8,42.8,9.3,0.0,8.8,33
2016-02-29,26.6,12.6,41.0,9.3,0.0,8.8,33
2016-03-01,28.0,8.6,42.8,9.3,0.1,8.8,33
2016-03-02,32.5,25.3,41.2,9.4,0.0,8.8,33
2016-03-03,29.7,12.7,48.2,9.4,0.1,8.8,33
2016-03-04,30.0,18.3,43.9,9.5,0.0,8.9,34
2016-03-05,33.1,15.3,53.1,9.5,0.0,8.9,33
2016-03-06,33.4,25.2,43.9,9.5,0.0,8.9,33
2016-03-07,25.3,17.4,34.3,9.5,0.1,8.9,33
2016-03-08,19.8,7.7,36.0,9.6,0.0,8.9,36
2016-03-09,21.2,3.2,36.9,9.6,0.0,9.1,34
2016-03-10,27.5,9.5,45.5,9.6,0.1,9.1,34
2016-03-11,36.0,16.3,52.9,9.7,0.0,9.1,33
2016-03-12,34.7,23.7,47.1,9.7,0.0,9.1,32
2016-03-13,34.2,22.3,46.0,9.7,0.0,8.9,33
2016-03-14,28.2,16.7,38.3,9.7,0.6,8.9,32
2016-03-15,17.8,11.8,24.1,10.3,0.3,9.8,43
2016-03-16,18.7,12.4,25.5,10.6,0.3,10.2,43
2016-03-17,24.6,17.2,36.9,10.9,0.2,10.4,43
2016-03-18,15.4,1.2,26.2,11.1,0.2,10.6,44
2016-03-19,13.3,-0.8,30.4,11.3,0.1,10.6,44
2016-03-20,23.0,-1.8,43.0,11.4,0.2,10.7,42
2016-03-21,42.6,27.3,54.0,11.6,0.0,10.7,39
2016-03-22,37.8,22.3,48.6,11.6,0.0,10.6,37
2016-03-23,20.5,17.1,24.6,11.6,0.3,10.5,39
2016-03-24,23.4,9.0,34.2,11.9,0.2,10.9,42
2016-03-25,18.3,1.8,25.0,12.1,0.4,11.0,41
2016-03-26,11.7,-6.0,27.5,12.5,0.1,11.4,47
2016-03-27,19.4,-4.7,41.2,12.6,0.2,11.4,45
2016-03-28,37.2,14.0,51.3,12.8,0.0,11.4,43
2016-03-29,34.0,16.5,52.5,12.8,0.0,11.4,41
2016-03-30,19.8,9.9,28.8,12.8,0.0,11.2,41
2016-03-31,17.2,2.1,32.5,12.8,0.0,11.3,42
2016-04-01,17.8,-0.8,34.3,12.8,0.2,11.4,43
2016-04-02,29.5,16.7,45.7,13.0,0.0,11.5,42
2016-04-03,34.0,17.1,48.0,13.0,0.0,11.5,40
2016-04-04,38.1,21.6,56.7,13.0,0.0,11.4,38
2016-04-05,28.4,14.0,44.8,13.0,0.0,11.3,37
2016-04-06,34.3,11.3,50.4,13.0,0.2,11.0,37
2016-04-07,37.9,23.5,52.7,13.2,0.0,10.8,36
2016-04-08,39.9,19.2,56.7,13.2,0.0,10.6,35
2016-04-09,36.3,26.2,48.6,13.2,0.0,10.6,33
2016-04-10,36.3,25.3,50.2,13.2,0.1,10.6,33
2016-04-11,35.1,25.7,47.7,13.3,0.0,10.7,33
2016-04-12,37.4,24.1,51.4,13.3,0.0,10.6,32
2016-04-13,39.2,24.8,55.4,13.3,0.0,10.1,30
2016-04-14,40.5,25.7,57.4,13.3,0.0,9.0,29
2016-04-15,27.3,23.2,38.7,13.3,1.2,8.6,27
2016-04-16,25.5,20.8,32.5,14.5,0.2,9.9,39
2016-04-17,23.9,17.8,34.3,14.7,0.3,10.1,40
2016-04-18,27.1,18.0,36.1,15.0,0.0,10.2,37
2016-04-19,28.2,16.2,37.9,15.0,0.0,10.2,36
2016-04-20,32.5,22.5,44.4,15.0,0.0,10.2,35
2016-04-21,37.8,20.1,53.8,15.0,0.1,10.3,33
2016-04-22,44.2,23.5,64.4,15.1,0.0,9.8,30
2016-04-23,41.2,27.0,62.1,15.1,0.0,9.5,27
2016-04-24,34.5,27.1,47.1,15.1,0.0,8.8,26
2016-04-25,38.7,20.7,57.2,15.1,0.1,8.6,26
2016-04-26,30.6,24.1,42.1,15.2,0.0,8.0,24
2016-04-27,30.0,23.7,42.4,15.2,0.1,7.8,24
2016-04-28,34.2,24.8,44.2,15.3,0.0,7.6,23
2016-04-29,30.0,26.2,34.7,15.3,0.2,7.4,22
2016-04-30,27.0,19.0,34.3,15.5,0.3,7.6,25
2016-05-01,28.2,14.2,39.9,15.8,0.0,7.8,24
2016-05-02,32.5,13.3,48.4,15.8,0.1,7.9,23
2016-05-03,38.1,19.6,54.1,15.9,0.0,7.3,20
2016-05-04,43.9,23.5,62.6,15.9,0.0,6.5,18
2016-05-05,48.9,28.0,66.2,15.9,0.0,5.3,15
2016-05-06,50.0,34.9,64.2,15.9,0.0,4.2,11
2016-05-07,37.2,28.8,47.8,15.9,0.0,3.2,9
2016-05-08,34.7,28.8,47.3,15.9,0.1,3.1,8
2016-05-09,37.0,29.8,49.3,16.0,0.1,2.8,11
2016-05-10,35.6,25.7,47.1,16.1,0.6,2.8,8
2016-05-11,33.4,21.9,46.2,16.7,0.2,2.7,8
2016-05-12,39.6,19.9,57.0,16.9,0.0,1.3,6
2016-05-13,46.2,29.1,62.1,16.9,0.1,0.6,2
2016-05-14,48.4,28.2,65.3,17.0,0.1,0.0,0
2016-05-15,41.9,32.5,55.6,17.1,0.0,0.0,0
2016-05-16,35.8,30.2,45.0,17.1,0.0,0.0,0
2016-05-17,39.9,31.8,52.5,17.1,0.0,0.0,0
2016-05-18,39.4,26.2,54.7,17.1,0.1,0.0,0
2016-05-19,41.4,29.3,59.2,17.2,0.1,0.0,0
2016-05-20,49.3,33.1,65.8,17.3,0.0,0.0,0
2016-05-21,51.8,31.6,69.1,17.3,0.0,0.0,0
2016-05-22,46.8,27.7,65.5,17.3,0.0,0.0,0
2016-05-23,39.9,25.2,54.9,17.3,0.0,0.0,0
2016-05-24,46.6,25.7,65.7,17.3,0.0,0.0,0
2016-05-25,43.0,27.9,59.0,17.3,0.0,0.0,0
2016-05-26,39.9,23.5,57.6,17.3,0.0,0.0,0
2016-05-27,36.5,30.4,49.5,17.3,0.0,0.0,0
2016-05-28,39.4,27.5,55.4,17.3,0.3,0.0,0
2016-05-29,43.7,27.0,62.6,17.6,0.0,0.0,0
2016-05-30,43.7,27.7,64.2,17.6,0.0,0.0,0
2016-05-31,44.8,28.8,61.7,17.6,0.0,0.0,0
2016-06-01,49.5,32.5,65.8,17.6,0.1,0.0,0
2016-06-02,50.0,30.4,70.0,17.7,0.1,0.0,0
2016-06-03,51.8,34.9,67.8,17.8,0.0,0.0,0
2016-06-04,54.3,34.9,71.8,17.8,0.0,0.0,0
2016-06-05,55.9,36.0,71.6,17.8,0.0,0.0,0
2016-06-06,57.0,37.9,73.6,17.8,0.0,0.0,0
2016-06-07,42.6,33.1,59.7,17.8,0.0,0.0,0
2016-06-08,41.9,25.2,58.8,17.8,0.2,0.0,0
2016-06-09,52.2,30.0,68.4,18.0,0.1,0.0,0
2016-06-10,53.4,36.0,64.9,18.1,0.0,0.0,0
2016-06-11,51.6,30.9,68.5,18.1,0.0,0.0,0
2016-06-12,55.4,34.5,73.6,18.1,0.0,0.0,0
2016-06-13,49.5,29.7,65.7,18.1,0.0,0.0,0
2016-06-14,46.0,26.4,63.5,18.1,0.2,0.0,0
2016-06-15,55.8,39.4,68.9,18.3,0.0,0.0,0
2016-06-16,54.7,,70.7,18.3,0.0,0.0,0
2016-06-17,57.0,33.3,78.8,18.3,0.0,0.0,0
2016-06-18,60.8,34.2,81.1,18.3,0.0,0.0,0
2016-06-19,63.3,40.5,81.5,18.3,0.1,0.0,0
2016-06-20,64.9,44.4,81.0,18.4,0.0,0.0,0
2016-06-21,65.5,44.2,82.0,18.4,0.0,0.0,0
2016-06-22,58.5,42.8,78.6,18.4,0.4,0.0,0
2016-06-23,56.1,40.6,71.6,18.8,0.0,0.0,0
2016-06-24,59.5,42.8,75.7,18.8,0.0,0.0,0
2016-06-25,57.7,39.0,75.2,18.8,0.0,0.0,0
2016-06-26,59.9,39.0,77.5,18.8,0.0,0.0,0
2016-06-27,57.2,34.3,75.2,18.8,0.0,0.0,0
2016-06-28,59.7,36.5,79.2,18.8,0.0,0.0,0
2016-06-29,56.7,39.6,73.9,18.8,0.0,0.0,0
2016-06-30,52.0,40.6,63.9,18.8,0.1,0.0,0
2016-07-01,52.5,46.8,59.7,18.9,0.3,0.0,0
2016-07-02,50.7,44.8,59.9,19.2,0.2,0.0,0
2016-07-03,52.2,38.1,66.4,19.4,0.0,0.0,0
2016-07-04,54.9,36.1,71.4,19.4,0.0,0.0,0
2016-07-05,56.7,40.8,73.6,19.4,0.0,0.0,0
2016-07-06,58.6,39.9,74.3,19.4,0.0,0.0,0
2016-07-07,58.6,40.5,72.7,19.4,0.0,0.0,0
2016-07-08,59.0,39.0,76.8,19.4,0.0,0.0,0
2016-07-09,60.8,37.2,78.6,19.4,0.0,0.0,0
2016-07-10,63.0,43.5,78.8,19.4,0.0,0.0,0
2016-07-11,56.7,37.2,69.6,19.4,0.0,0.0,0
2016-07-12,55.6,34.2,73.6,19.4,0.0,0.0,0
2016-07-13,57.2,35.6,75.9,19.4,0.0,0.0,0
2016-07-14,55.6,36.5,75.9,19.4,0.0,0.0,0
2016-07-15,57.2,36.3,77.2,19.4,0.0,0.0,0
2016-07-16,63.3,47.3,78.4,19.4,0.0,0.0,0
2016-07-17,62.6,39.9,80.6,19.4,0.0,0.0,0
2016-07-18,58.5,47.7,73.0,19.4,0.0,0.0,0
2016-07-19,59.9,46.2,75.9,19.4,0.0,0.0,0
2016-07-20,55.9,41.4,73.9,19.4,0.1,0.0,0
2016-07-21,54.3,40.8,72.5,19.5,0.1,0.0,0
2016-07-22,57.0,42.6,72.9,19.6,0.0,0.0,0
2016-07-23,58.3,41.0,79.2,19.6,0.0,0.0,0
2016-07-24,58.8,42.3,77.5,19.6,0.0,0.0,0
2016-07-25,61.9,42.6,78.8,19.6,0.0,0.0,0
2016-07-26,56.7,38.3,74.8,19.6,0.0,0.0,0
2016-07-27,58.3,36.0,78.4,19.6,0.0,0.0,0
2016-07-28,60.4,38.1,79.5,19.6,0.0,0.0,0
2016-07-29,59.9,39.0,77.4,19.6,0.0,0.0,0
2016-07-30,60.6,40.3,78.8,19.6,0.0,0.0,0
2016-07-31,55.0,40.3,72.5,19.6,0.0,0.0,0
2016-08-01,58.8,38.7,75.9,19.6,0.0,0.0,0
2016-08-02,61.3,44.2,78.1,19.6,0.0,0.0,0
2016-08-03,62.6,45.3,80.1,19.6,0.0,0.0,0
2016-08-04,52.0,47.8,64.9,19.6,0.5,0.0,0
2016-08-05,53.1,46.6,60.8,20.1,0.0,0.0,0
2016-08-06,52.2,41.7,66.2,20.1,0.0,0.0,0
2016-08-07,56.1,36.9,72.5,20.1,0.0,0.0,0
2016-08-08,54.9,41.0,72.3,20.1,0.0,0.0,0
2016-08-09,53.4,39.4,75.2,20.1,0.3,0.0,0
2016-08-10,53.4,38.8,71.6,20.4,0.0,0.0,0
2016-08-11,53.8,36.5,71.4,20.4,0.0,0.0,0
2016-08-12,49.8,32.5,66.0,20.4,0.0,0.0,0
2016-08-13,51.1,30.7,69.4,20.4,0.0,0.0,0
2016-08-14,54.7,35.6,73.0,20.4,0.0,0.0,0
2016-08-15,54.9,34.0,73.6,20.4,0.0,0.0,0
2016-08-16,55.0,36.9,71.2,20.4,0.1,0.0,0
2016-08-17,51.1,35.2,72.7,20.5,0.1,0.0,0
2016-08-18,48.4,34.7,63.3,20.6,0.3,0.0,0
2016-08-19,50.7,34.3,66.6,20.9,0.0,0.0,0
2016-08-20,50.2,35.8,66.6,20.9,0.0,0.0,0
2016-08-21,54.9,32.0,72.3,20.9,0.0,0.0,0
2016-08-22,51.3,37.2,70.9,20.9,0.0,0.0,0
2016-08-23,49.1,34.5,65.1,20.9,0.1,0.0,0
2016-08-24,45.9,39.0,55.9,21.0,0.2,0.0,0
2016-08-25,46.0,31.5,63.5,21.2,0.1,0.0,0
2016-08-26,45.7,37.0,57.6,21.3,0.0,0.0,0
2016-08-27,47.8,31.5,62.6,21.3,0.0,0.0,0
2016-08-28,45.9,38.3,62.6,21.3,0.1,0.0,0
2016-08-29,47.8,37.0,61.7,21.4,0.0,0.0,0
2016-08-30,52.0,36.5,65.8,21.4,0.0,0.0,0
2016-08-31,55.4,34.5,71.1,21.4,0.0,0.0,0
2016-09-01,55.2,38.1,71.2,21.4,0.0,0.0,0
2016-09-02,51.3,38.1,66.0,21.4,0.1,0.0,0
2016-09-03,50.2,38.1,68.7,21.5,0.2,0.0,0
2016-09-04,49.3,36.7,66.2,21.7,0.0,0.0,0
2016-09-05,51.4,30.7,71.4,21.7,0.0,0.0,0
2016-09-06,52.9,34.7,71.4,21.7,0.0,0.0,0
2016-09-07,51.6,33.4,69.4,21.7,0.0,0.0,0
2016-09-08,51.4,30.2,70.9,21.7,0.0,0.0,0
2016-09-09,46.6,27.0,66.2,21.7,0.0,0.0,0
2016-09-10,50.9,23.5,71.4,21.7,0.0,0.0,0
2016-09-11,53.8,34.9,71.4,21.7,0.0,0.0,0
2016-09-12,51.4,34.3,67.8,21.7,0.0,0.0,0
2016-09-13,50.4,34.2,63.3,21.7,0.0,0.0,0
2016-09-14,49.5,34.3,68.5,21.7,0.1,0.0,0
2016-09-15,43.0,28.8,61.2,21.8,0.1,0.0,0
2016-09-16,42.1,25.7,61.0,21.9,0.0,0.0,0
2016-09-17,44.4,27.7,62.8,21.9,0.0,0.0,0
2016-09-18,48.6,27.5,70.0,21.9,0.0,0.0,0
2016-09-19,52.0,32.2,74.3,21.9,0.0,0.0,0
2016-09-20,53.4,35.6,70.2,21.9,0.0,0.0,0
2016-09-21,50.9,40.8,64.2,21.9,0.0,0.0,0
2016-09-22,57.2,38.5,73.2,21.9,0.0,0.0,0
2016-09-23,43.7,28.2,63.0,21.9,0.0,0.0,0
2016-09-24,34.7,27.0,43.2,21.9,0.2,0.0,0
2016-09-25,39.2,27.0,55.0,22.1,0.0,0.0,0
2016-09-26,42.8,23.2,63.0,22.1,0.0,0.0,0
2016-09-27,47.5,27.3,67.6,22.1,0.0,0.0,0
2016-09-28,52.9,30.7,74.1,22.1,0.0,0.0,0
2016-09-29,50.2,35.1,68.9,22.1,0.0,0.0,0
2016-09-30,43.5,32.9,54.3,22.1,0.0,0.0,0
