Date,Lone Cone (589) Air Temperature Average (degF),Lone Cone (589) Air Temperature Minimum (degF),Lone Cone (589) Air Temperature Maximum (degF),Lone Cone (589) Precipitation Accumulation (in) Start of Day Values,Lone Cone (589) Precipitation Increment (in),Lone Cone (589) Snow Water Equivalent (in) Start of Day Values,Lone Cone (589) Snow Depth (in) Start of Day Values
2015-11-26,26.2,22.3,31.6,6.4,0.0,3.8,17
2015-11-27,27.0,19.9,33.3,6.4,0.1,3.8,18
2015-11-28,20.5,11.1,26.4,6.5,0.1,3.9,19
2015-11-29,18.0,10.2,25.3,6.6,0.1,3.9,19
2015-11-30,6.3,-4.7,16.2,6.7,0.1,4.0,21
2015-12-01,6.3,-5.6,24.8,6.8,0.0,4.0,21
2015-12-02,16.2,0.1,34.7,6.8,0.0,4.0,20
2015-12-03,21.4,8.8,40.1,6.8,0.0,4.1,19
2015-12-04,32.7,14.5,40.8,6.8,0.1,4.1,19
2015-12-05,19.4,5.4,26.8,6.9,0.0,4.2,18
2015-12-06,24.6,10.4,44.8,6.9,0.0,4.2,20
2015-12-07,28.2,14.4,44.6,6.9,0.0,4.2,20
2015-12-08,28.4,18.3,41.0,6.9,0.0,4.2,19
2015-12-09,33.1,19.6,47.1,6.9,0.0,4.2,19
2015-12-10,34.5,22.5,44.6,6.9,0.0,4.3,19
2015-12-11,31.5,25.2,36.1,6.9,0.1,4.3,18
2015-12-12,20.3,13.3,25.7,7.0,0.3,4.3,19
2015-12-13,19.6,5.2,34.3,7.3,0.0,4.7,23
2015-12-14,19.6,10.8,27.1,7.3,0.6,4.7,22
2015-12-15,9.7,4.1,15.3,7.9,0.2,5.2,29
2015-12-16,4.6,-6.0,14.4,8.1,0.1,5.4,30
2015-12-17,7.3,2.3,12.6,8.2,0.0,5.4,28
2015-12-18,17.2,3.9,32.2,8.2,0.0,5.4,27
2015-12-19,30.2,14.2,39.2,8.2,0.0,5.4,26
2015-12-20,21.9,15.8,27.7,8.2,0.3,5.5,24
2015-12-21,20.5,10.8,25.9,8.5,0.5,5.9,32
2015-12-22,23.0,21.0,25.7,9.0,1.9,6.3,35
2015-12-23,13.6,-4.7,21.4,10.9,0.2,8.3,48
2015-12-24,9.3,-11.6,21.4,11.1,0.3,8.5,49
2015-12-25,13.5,1.4,20.3,11.4,0.9,8.8,50
2015-12-26,1.8,-4.5,5.7,12.3,0.0,9.7,56
2015-12-27,10.4,-0.9,31.5,12.3,0.0,9.7,52
2015-12-28,10.0,-3.5,27.0,12.3,0.0,9.7,49
2015-12-29,11.3,2.3,21.6,12.3,0.1,9.7,46
2015-12-30,10.6,3.4,18.3,12.4,0.3,9.7,46
2015-12-31,6.4,-8.0,17.1,12.7,0.0,9.9,47
2016-01-01,4.6,-8.1,24.4,12.7,0.1,9.9,47
2016-01-02,14.4,-2.2,35.6,12.8,0.0,10.0,45
2016-01-03,21.6,12.2,38.1,12.8,0.0,10.0,43
2016-01-04,26.8,14.9,36.9,12.8,0.0,10.0,42
2016-01-05,25.3,21.0,32.0,12.8,0.1,10.0,40
2016-01-06,24.6,20.7,30.9,12.9,0.3,10.1,42
2016-01-07,18.9,12.6,25.9,13.2,0.2,10.5,47
2016-01-08,16.0,11.1,21.4,13.4,0.2,10.6,48
2016-01-09,11.1,-4.5,20.3,13.6,0.0,10.7,50
2016-01-10,1.8,-8.7,18.9,13.6,0.0,10.7,48
2016-01-11,5.5,-6.3,23.9,13.6,0.0,10.7,46
2016-01-12,12.7,1.2,32.2,13.6,0.0,10.7,46
2016-01-13,19.8,7.3,39.0,13.6,0.1,10.7,47
2016-01-14,13.6,-2.0,25.0,13.7,0.0,10.7,43
2016-01-15,16.0,6.1,21.4,13.7,0.2,10.7,43
2016-01-16,16.7,8.4,24.3,13.9,0.0,11.0,45
2016-01-17,17.1,6.1,25.7,13.9,0.0,11.0,44
2016-01-18,21.6,7.0,35.6,13.9,0.1,11.0,44
2016-01-19,24.1,19.9,34.2,14.0,0.2,11.1,45
2016-01-20,18.3,8.2,28.8,14.2,0.1,11.3,45
2016-01-21,10.2,-6.5,27.9,14.3,0.1,11.5,48
2016-01-22,25.2,10.0,44.1,14.4,0.0,11.5,46
2016-01-23,29.7,15.8,42.6,14.4,0.0,11.5,45
2016-01-24,22.5,16.0,31.6,14.4,0.3,11.5,44
2016-01-25,11.7,-6.0,19.9,14.7,0.1,11.8,50
2016-01-26,6.1,-6.7,23.5,14.8,0.0,11.9,51
2016-01-27,21.2,4.1,41.7,14.8,0.0,11.9,49
2016-01-28,24.1,13.3,44.6,14.8,0.1,11.9,47
2016-01-29,27.5,19.2,38.5,14.9,0.0,12.0,46
2016-01-30,32.0,25.2,41.2,14.9,0.2,12.0,45
2016-01-31,25.7,21.6,28.0,15.1,1.0,12.2,46
2016-02-01,16.3,7.5,26.4,16.1,0.6,13.3,55
2016-02-02,5.9,2.3,12.6,16.7,0.0,14.0,60
2016-02-03,-2.0,-13.0,10.9,16.7,0.1,14.0,59
2016-02-04,3.9,-10.5,22.6,16.8,0.0,14.0,58
2016-02-05,8.6,-2.9,22.6,16.8,0.1,14.1,56
2016-02-06,14.9,-1.8,35.2,16.9,0.1,14.1,55
2016-02-07,19.2,7.2,36.3,17.0,0.0,14.2,53
2016-02-08,23.4,7.0,40.5,17.0,0.0,14.2,53
2016-02-09,24.3,8.2,46.8,17.0,0.0,14.2,51
2016-02-10,27.9,15.4,51.6,17.0,0.0,14.2,51
2016-02-11,28.2,13.8,48.0,17.0,0.0,14.2,50
2016-02-12,32.2,19.6,51.3,17.0,0.0,14.2,49
2016-02-13,30.6,16.2,47.8,17.0,0.0,14.2,48
2016-02-14,25.5,11.1,38.5,17.0,0.0,14.2,48
2016-02-15,23.4,10.0,36.7,17.0,0.0,14.2,47
2016-02-16,27.5,13.8,45.3,17.0,0.0,14.2,47
2016-02-17,35.6,15.8,50.7,17.0,0.0,14.1,47
2016-02-18,36.9,27.0,45.7,17.0,0.0,14.0,46
2016-02-19,33.3,24.1,44.2,17.0,0.0,14.0,46
2016-02-20,32.5,19.9,46.8,17.0,0.0,13.9,46
2016-02-21,27.9,13.8,45.9,17.0,0.0,13.9,45
2016-02-22,22.3,12.6,34.0,17.0,0.1,13.9,45
2016-02-23,16.0,2.1,24.6,17.1,0.0,13.9,46
2016-02-24,15.4,-1.8,34.9,17.1,0.1,14.1,48
2016-02-25,23.9,6.6,43.9,17.2,0.0,14.2,47
2016-02-26,27.1,13.5,46.6,17.2,0.0,14.4,46
2016-02-27,29.3,14.0,46.8,17.2,0.0,14.4,45
2016-02-28,30.4,19.8,43.9,17.2,0.0,14.5,45
2016-02-29,30.4,18.9,43.2,17.2,0.0,14.5,44
2016-03-01,29.8,16.5,43.9,17.2,0.0,14.3,44
2016-03-02,32.5,21.2,44.2,17.2,0.0,14.2,43
2016-03-03,32.0,15.6,50.9,17.2,0.0,14.0,43
2016-03-04,33.4,21.4,49.3,17.2,0.0,13.8,42
2016-03-05,37.4,22.6,48.4,17.2,0.0,13.8,42
2016-03-06,33.1,27.1,40.1,17.2,0.3,13.5,41
2016-03-07,21.2,9.0,32.5,17.5,0.2,13.9,44
2016-03-08,19.2,4.1,36.7,17.7,0.0,14.3,45
2016-03-09,21.0,5.4,37.9,17.7,0.0,14.3,44
2016-03-10,29.3,11.3,49.5,17.7,0.0,14.3,43
2016-03-11,38.7,19.0,53.6,17.7,0.0,14.3,42
2016-03-12,31.6,18.7,40.5,17.7,0.0,14.3,41
2016-03-13,30.6,16.3,43.9,17.7,0.1,14.3,41
2016-03-14,32.5,23.4,43.5,17.8,0.0,14.3,41
2016-03-15,24.8,14.7,34.5,17.8,0.0,14.3,41
2016-03-16,25.7,13.6,37.4,17.8,0.0,14.3,40
2016-03-17,28.8,12.0,44.6,17.8,0.0,14.3,40
2016-03-18,29.7,16.5,42.6,17.8,0.0,14.2,39
2016-03-19,26.4,10.8,43.2,17.8,0.0,14.1,38
2016-03-20,30.2,12.7,49.3,17.8,0.0,14.1,37
2016-03-21,40.1,23.2,51.1,17.8,0.0,13.8,35
2016-03-22,34.3,17.6,46.2,17.8,0.2,13.4,34
2016-03-23,18.0,8.6,24.1,18.0,0.4,13.6,37
2016-03-24,22.3,7.9,39.4,18.4,0.1,13.9,43
2016-03-25,25.2,12.9,37.2,18.5,0.0,14.0,43
2016-03-26,18.9,2.8,30.7,18.5,0.2,14.1,43
2016-03-27,25.5,1.8,45.3,18.7,0.1,14.3,43
2016-03-28,37.2,30.7,46.2,18.8,0.0,14.4,43
2016-03-29,24.1,14.2,35.6,18.8,0.7,14.4,43
2016-03-30,17.2,1.9,32.9,19.5,0.2,15.1,46
2016-03-31,19.2,3.4,35.2,19.7,0.0,15.1,41
2016-04-01,21.2,5.0,36.3,19.7,0.0,15.1,40
2016-04-02,28.4,9.7,48.2,19.7,0.0,15.1,38
2016-04-03,33.3,16.5,49.8,19.7,0.0,15.1,36
2016-04-04,37.2,22.6,54.3,19.7,0.0,14.8,34
2016-04-05,33.4,16.0,50.2,19.7,0.0,14.4,33
2016-04-06,32.4,11.8,52.0,19.7,0.0,14.2,31
2016-04-07,39.0,20.1,57.9,19.7,0.0,12.9,29
2016-04-08,41.4,30.9,53.6,19.7,0.1,12.1,27
2016-04-09,36.0,30.2,46.0,19.8,0.0,11.1,24
2016-04-10,38.5,28.8,51.4,19.8,0.0,10.7,23
2016-04-11,34.5,24.1,49.5,19.8,0.0,9.9,22
2016-04-12,35.6,28.0,48.0,19.8,0.4,9.3,20
2016-04-13,38.7,25.5,53.6,20.2,0.0,9.6,22
2016-04-14,42.6,33.4,53.6,20.2,0.0,8.8,20
2016-04-15,33.1,23.7,44.8,20.2,0.8,8.1,18
2016-04-16,25.5,22.1,30.2,21.0,0.5,8.6,26
2016-04-17,24.8,15.8,38.5,21.5,0.0,9.0,28
2016-04-18,23.4,11.5,32.9,21.5,0.2,9.0,28
2016-04-19,26.6,10.9,39.9,21.7,0.0,9.2,27
2016-04-20,35.1,23.2,50.7,21.7,0.0,9.3,25
2016-04-21,39.6,25.2,58.8,21.7,0.0,9.1,23
2016-04-22,47.3,29.3,59.4,21.7,0.0,8.6,20
2016-04-23,39.4,26.2,49.8,21.7,0.0,7.8,18
2016-04-24,36.9,23.4,51.4,21.7,0.0,7.7,17
2016-04-25,32.7,22.5,45.5,21.7,0.4,6.5,14
2016-04-26,27.3,20.8,37.9,22.1,0.1,6.4,16
2016-04-27,32.5,25.2,42.4,22.2,0.0,6.5,16
2016-04-28,33.8,29.3,45.5,22.2,0.3,6.2,14
2016-04-29,29.1,23.7,38.1,22.5,0.4,6.1,13
2016-04-30,31.8,23.9,44.1,22.9,0.0,6.3,18
2016-05-01,28.8,21.4,37.0,22.9,0.3,6.3,15
2016-05-02,31.6,19.6,46.0,23.2,0.0,6.5,16
2016-05-03,38.3,21.9,54.9,23.2,0.0,6.5,15
2016-05-04,43.5,28.8,59.7,23.2,0.0,5.4,11
2016-05-05,48.0,29.7,64.4,23.2,0.0,3.7,8
2016-05-06,44.4,33.8,57.7,23.2,0.0,2.3,5
2016-05-07,33.1,26.4,42.3,23.2,0.1,1.0,2
2016-05-08,33.3,23.4,44.8,23.3,0.4,0.5,2
2016-05-09,36.5,30.6,49.6,23.7,0.8,0.7,4
2016-05-10,37.9,28.8,53.1,24.5,0.3,1.3,5
2016-05-11,33.1,23.2,47.5,24.8,0.0,0.9,2
2016-05-12,40.1,21.7,57.6,24.8,0.0,0.4,2
2016-05-13,45.7,29.1,62.8,24.8,0.0,0.4,1
2016-05-14,48.4,34.7,63.5,24.8,0.0,0.0,0
2016-05-15,43.5,35.6,53.2,24.8,0.2,0.0,0
2016-05-16,35.2,30.4,42.3,25.0,0.5,0.0,0
2016-05-17,37.4,28.2,51.6,25.5,0.1,0.0,0
2016-05-18,35.6,30.7,47.1,25.6,0.1,0.0,0
2016-05-19,40.6,31.8,54.3,25.7,0.0,0.0,0
2016-05-20,47.5,32.5,55.9,25.7,0.0,0.0,0
2016-05-21,50.2,41.9,60.6,25.7,0.0,0.0,0
2016-05-22,43.0,29.5,54.9,25.7,0.0,0.0,0
2016-05-23,41.4,28.4,55.2,25.7,0.0,0.0,0
2016-05-24,44.4,30.7,57.2,25.7,0.0,0.0,0
2016-05-25,43.2,30.6,55.9,25.7,0.0,0.0,0
2016-05-26,37.0,30.4,49.6,25.7,0.1,0.0,0
2016-05-27,36.5,29.3,47.5,25.8,0.0,0.0,0
2016-05-28,41.4,29.3,54.1,25.8,0.0,0.0,0
2016-05-29,43.9,31.6,59.7,25.8,0.0,0.0,0
2016-05-30,46.2,31.3,64.2,25.8,0.0,0.0,0
2016-05-31,47.5,32.0,64.0,25.8,0.0,0.0,0
2016-06-01,49.1,34.5,65.7,25.8,0.0,0.0,0
2016-06-02,50.9,35.6,67.5,25.8,0.0,0.0,0
2016-06-03,51.6,36.9,68.0,25.8,0.0,0.0,0
2016-06-04,54.7,36.1,72.0,25.8,0.0,0.0,0
2016-06-05,57.0,41.0,73.9,25.8,0.0,0.0,0
2016-06-06,57.0,40.8,75.2,25.8,0.0,0.0,0
2016-06-07,58.6,42.6,72.5,25.8,0.0,0.0,0
2016-06-08,55.0,41.9,70.3,25.8,0.0,0.0,0
2016-06-09,56.8,40.8,75.7,25.8,0.0,0.0,0
2016-06-10,57.7,38.3,75.2,25.8,0.0,0.0,0
2016-06-11,57.0,43.5,69.8,25.8,0.0,0.0,0
2016-06-12,51.6,39.0,67.1,25.8,0.2,0.0,0
2016-06-13,45.5,34.5,62.2,26.0,0.1,0.0,0
2016-06-14,48.6,32.9,63.1,26.1,0.0,0.0,0
2016-06-15,57.4,45.7,69.6,26.1,0.0,0.0,0
2016-06-16,52.7,38.7,66.9,26.1,0.0,0.0,0
2016-06-17,54.1,36.3,72.5,26.1,0.0,0.0,0
2016-06-18,57.4,35.6,77.5,26.1,0.0,0.0,0
2016-06-19,60.6,39.2,78.6,26.1,0.0,0.0,0
2016-06-20,64.0,45.7,82.9,26.1,0.0,0.0,0
2016-06-21,66.6,52.7,80.6,26.1,0.0,0.0,0
2016-06-22,63.0,49.5,79.0,26.1,0.0,0.0,0
2016-06-23,60.8,48.9,76.8,26.1,0.0,0.0,0
2016-06-24,58.8,46.8,72.3,26.1,0.0,0.0,0
2016-06-25,58.3,44.1,73.4,26.1,0.0,0.0,0
2016-06-26,57.9,41.9,73.8,26.1,0.0,0.0,0
2016-06-27,59.5,41.9,76.1,26.1,0.0,0.0,0
2016-06-28,57.0,44.4,74.3,26.1,0.1,0.0,0
2016-06-29,54.7,43.9,70.7,26.2,0.1,0.0,0
2016-06-30,52.5,46.8,68.2,26.3,0.5,0.0,0
2016-07-01,49.8,47.7,53.6,26.8,0.6,0.0,0
2016-07-02,49.8,43.2,55.6,27.4,0.6,0.0,0
2016-07-03,49.8,40.1,62.1,28.0,0.2,0.0,0
2016-07-04,52.2,40.1,70.2,28.2,0.0,0.0,0
2016-07-05,55.8,41.9,70.7,28.2,0.0,0.0,0
2016-07-06,55.0,39.6,70.3,28.2,0.0,0.0,0
2016-07-07,55.4,40.1,71.4,28.2,0.0,0.0,0
2016-07-08,57.0,40.3,72.0,28.2,0.0,0.0,0
2016-07-09,58.3,42.3,73.9,28.2,0.0,0.0,0
2016-07-10,60.1,46.4,73.0,28.2,0.0,0.0,0
2016-07-11,55.2,41.9,70.0,28.2,0.0,0.0,0
2016-07-12,54.7,36.3,71.4,28.2,0.0,0.0,0
2016-07-13,62.2,,73.6,28.2,0.0,0.0,0
2016-07-14,57.7,39.4,77.4,28.2,0.0,0.0,0
2016-07-15,58.8,40.5,77.0,28.2,0.0,0.0,0
2016-07-16,58.6,42.3,76.1,28.2,0.0,0.0,0
2016-07-17,59.0,41.2,75.6,28.2,0.0,0.0,0
2016-07-18,59.0,49.5,71.8,28.2,0.3,0.0,0
2016-07-19,55.0,45.3,66.6,28.5,0.1,0.0,0
2016-07-20,56.8,46.6,73.0,28.6,0.0,0.0,0
2016-07-21,58.3,49.6,73.0,28.6,0.0,0.0,0
2016-07-22,57.0,46.6,70.7,28.6,0.0,0.0,0
2016-07-23,59.4,44.8,76.3,28.6,0.0,0.0,0
2016-07-24,59.4,48.4,74.5,28.6,0.0,0.0,0
2016-07-25,57.6,46.4,73.0,28.6,0.0,0.0,0
2016-07-26,58.8,47.3,71.6,28.6,0.0,0.0,0
2016-07-27,59.9,44.2,77.0,28.6,0.0,0.0,0
2016-07-28,61.3,43.7,81.0,28.6,0.0,0.0,0
2016-07-29,61.9,46.2,79.2,28.6,0.0,0.0,0
2016-07-30,59.0,47.8,76.3,28.6,0.0,0.0,0
2016-07-31,57.0,48.0,71.4,28.6,0.0,0.0,0
2016-08-01,59.7,45.5,74.7,28.6,0.0,0.0,0
2016-08-02,57.4,49.8,72.5,28.6,0.0,0.0,0
2016-08-03,55.2,45.3,69.6,28.6,1.0,0.0,0
2016-08-04,52.5,47.5,57.4,29.6,0.6,0.0,0
2016-08-05,52.2,47.7,59.7,30.2,0.7,0.0,0
2016-08-06,51.1,43.5,63.5,30.9,0.3,0.0,0
2016-08-07,54.0,40.5,71.4,31.2,0.0,0.0,0
2016-08-08,57.0,45.3,71.6,31.2,0.0,0.0,0
2016-08-09,56.7,45.0,70.7,31.2,0.0,0.0,0
2016-08-10,55.9,44.4,69.1,31.2,0.0,0.0,0
2016-08-11,52.7,42.1,67.8,31.2,0.0,0.0,0
2016-08-12,51.8,39.0,66.9,31.2,0.0,0.0,0
2016-08-13,51.8,38.3,68.5,31.2,0.0,0.0,0
2016-08-14,52.9,38.1,68.9,31.2,0.0,0.0,0
2016-08-15,55.0,38.5,73.0,31.2,0.1,0.0,0
2016-08-16,54.0,42.3,67.3,31.3,0.0,0.0,0
2016-08-17,52.7,42.1,68.0,31.3,0.0,0.0,0
2016-08-18,47.5,40.1,62.2,31.3,0.2,0.0,0
2016-08-19,49.6,37.4,64.0,31.5,0.2,0.0,0
2016-08-20,53.4,40.6,68.9,31.7,0.0,0.0,0
2016-08-21,53.4,41.0,68.5,31.7,0.0,0.0,0
2016-08-22,46.4,38.1,59.7,31.7,0.1,0.0,0
2016-08-23,43.9,38.1,57.0,31.8,0.9,0.0,0
2016-08-24,47.5,37.9,62.2,32.7,0.2,0.0,0
2016-08-25,47.3,34.2,65.1,32.9,0.4,0.0,0
2016-08-26,46.8,36.3,61.0,33.3,0.2,0.0,0
2016-08-27,45.3,37.4,58.8,33.5,0.0,0.0,0
2016-08-28,44.4,38.7,57.9,33.5,0.3,0.0,0
2016-08-29,47.1,35.8,62.6,33.8,0.3,0.0,0
2016-08-30,49.3,38.1,63.7,34.1,0.0,0.0,0
2016-08-31,52.5,41.0,64.2,34.1,0.0,0.0,0
2016-09-01,54.0,45.7,68.5,34.1,0.1,0.0,0
2016-09-02,52.9,46.6,66.4,34.2,0.1,0.0,0
2016-09-03,52.9,46.2,65.3,34.3,0.0,0.0,0
2016-09-04,54.7,45.3,63.9,34.3,0.0,0.0,0
2016-09-05,53.1,40.1,65.1,34.3,0.0,0.0,0
2016-09-06,53.1,43.9,65.3,34.3,0.0,0.0,0
2016-09-07,49.6,37.2,66.4,34.3,0.0,0.0,0
2016-09-08,49.5,34.7,66.6,34.3,0.0,0.0,0
2016-09-09,48.9,36.0,65.7,34.3,0.0,0.0,0
2016-09-10,49.8,34.7,68.4,34.3,0.0,0.0,0
2016-09-11,50.2,37.4,68.2,34.3,0.0,0.0,0
2016-09-12,46.2,36.3,62.1,34.3,0.0,0.0,0
2016-09-13,47.3,38.3,58.8,34.3,0.0,0.0,0
2016-09-14,47.8,36.7,57.6,34.3,0.0,0.0,0
2016-09-15,42.1,29.1,58.8,34.3,0.1,0.0,0
2016-09-16,43.5,30.2,62.6,34.4,0.1,0.0,0
2016-09-17,44.2,30.7,61.7,34.5,0.0,0.0,0
2016-09-18,47.1,30.6,66.2,34.5,0.0,0.0,0
2016-09-19,51.3,34.5,70.9,34.5,0.0,0.0,0
2016-09-20,47.1,36.3,61.9,34.5,0.0,0.0,0
2016-09-21,48.0,43.9,56.7,34.5,0.3,0.0,0
2016-09-22,55.6,47.3,63.9,34.8,0.2,0.0,0
2016-09-23,34.3,25.3,51.1,35.0,1.1,0.0,0
2016-09-24,33.3,28.8,41.4,36.1,0.0,0.0,0
2016-09-25,39.0,27.1,55.0,36.1,0.2,0.0,0
2016-09-26,44.1,31.5,60.6,36.3,0.1,0.0,0
2016-09-27,46.8,34.5,63.7,36.4,0.0,0.0,0
2016-09-28,50.2,35.2,66.0,36.4,0.1,0.0,0
2016-09-29,47.3,42.8,55.6,36.5,0.0,0.0,0
2016-09-30,44.1,34.9,54.7,36.5,0.0,0.0,0
