Date,Grizzly Peak (505) Air Temperature Average (degF),Grizzly Peak (505) Air Temperature Minimum (degF),Grizzly Peak (505) Air Temperature Maximum (degF),Grizzly Peak (505) Precipitation Accumulation (in) Start of Day Values,Grizzly Peak (505) Precipitation Increment (in),Grizzly Peak (505) Snow Water Equivalent (in) Start of Day Values,Grizzly Peak (505) Snow Depth (in) Start of Day Values
2016-09-16,41.7,32.4,52.9,25.7,0.1,0.0,0
2016-09-17,43.0,34.2,53.4,25.8,0.0,0.0,0
2016-09-18,48.2,37.2,61.5,25.8,0.0,0.0,0
2016-09-19,51.6,41.0,64.9,25.8,0.1,0.0,0
2016-09-20,50.5,41.9,59.5,25.9,0.0,0.0,0
2016-09-21,45.5,39.9,52.7,25.9,0.0,0.0,0
2016-09-22,50.9,42.8,60.8,25.9,0.1,0.0,0
2016-09-23,41.5,27.1,58.3,26.0,0.0,0.0,0
2016-09-24,31.5,24.6,37.2,26.0,0.0,0.0,0
2016-09-25,36.7,30.9,47.8,26.0,0.1,0.0,0
2016-09-26,43.5,32.4,59.4,26.1,0.1,0.0,0
2016-09-27,47.8,38.1,61.5,26.2,0.0,0.0,0
2016-09-28,49.3,40.3,61.9,26.2,0.0,0.0,0
2016-09-29,48.2,41.2,61.9,26.2,0.0,0.0,0
2016-09-30,42.3,37.2,47.3,26.2,0.0,0.0,0
