Date,Upper Rio Grande (839) Air Temperature Average (degF),Upper Rio Grande (839) Air Temperature Minimum (degF),Upper Rio Grande (839) Air Temperature Maximum (degF),Upper Rio Grande (839) Precipitation Accumulation (in) Start of Day Values,Upper Rio Grande (839) Precipitation Increment (in),Upper Rio Grande (839) Snow Water Equivalent (in) Start of Day Values,Upper Rio Grande (839) Snow Depth (in) Start of Day Values
2015-11-08,18.7,2.1,39.0,3.2,0.0,0.8,6
2015-11-09,23.4,6.3,43.5,3.2,0.1,0.8,6
2015-11-10,25.9,12.4,38.7,3.3,0.1,0.9,5
2015-11-11,19.4,6.8,34.3,3.4,0.0,0.9,7
2015-11-12,18.9,1.6,39.6,3.4,0.0,0.9,7
2015-11-13,21.2,5.5,41.9,3.4,0.0,0.9,7
2015-11-14,21.0,4.6,43.5,3.4,0.0,0.9,7
2015-11-15,21.9,6.6,41.0,3.4,0.2,0.9,7
2015-11-16,24.6,19.6,32.5,3.6,0.4,1.2,9
2015-11-17,21.7,8.8,31.3,4.0,0.1,1.8,14
2015-11-18,20.7,7.9,40.1,4.1,0.0,1.8,13
2015-11-19,21.0,1.2,45.7,4.1,0.0,1.8,13
2015-11-20,27.1,10.4,42.4,4.1,0.0,1.8,13
2015-11-21,16.7,1.6,38.3,4.1,0.0,1.8,13
2015-11-22,21.6,6.1,43.9,4.1,0.1,1.8,12
2015-11-23,21.2,6.3,40.8,4.2,0.0,1.8,11
2015-11-24,21.9,5.7,43.9,4.2,0.0,1.8,11
2015-11-25,32.7,14.5,40.5,4.2,0.2,1.8,11
2015-11-26,28.4,24.8,34.2,4.4,0.0,1.9,10
2015-11-27,27.1,22.3,33.3,4.4,0.2,2.2,15
2015-11-28,19.4,9.0,28.8,4.6,0.1,2.5,17
2015-11-29,19.2,10.0,27.3,4.7,0.1,2.5,15
2015-11-30,9.0,-5.4,21.4,4.8,0.1,2.6,17
2015-12-01,9.9,-3.6,32.2,4.9,0.0,2.6,16
2015-12-02,13.1,-2.2,32.4,4.9,0.1,2.6,16
2015-12-03,16.2,0.3,37.8,5.0,0.0,2.6,16
2015-12-04,23.2,5.4,42.1,5.0,0.0,2.6,16
2015-12-05,19.2,-1.5,33.4,5.0,0.0,2.7,14
2015-12-06,12.4,-4.2,33.1,5.0,0.1,2.7,17
2015-12-07,20.8,1.6,47.8,5.1,0.0,2.7,16
2015-12-08,28.0,16.5,49.3,5.1,0.0,2.7,15
2015-12-09,28.0,11.7,47.3,5.1,0.1,2.7,15
2015-12-10,32.9,17.6,46.4,5.2,0.1,2.8,15
2015-12-11,31.5,25.5,37.2,5.3,0.0,2.9,15
2015-12-12,25.0,18.3,29.5,5.3,0.3,3.0,15
2015-12-13,15.8,0.3,34.7,5.6,0.1,3.6,24
2015-12-14,12.7,0.1,23.2,5.7,0.5,3.6,23
2015-12-15,4.3,-13.0,23.7,6.2,0.1,4.0,29
2015-12-16,0.0,-18.8,22.1,6.3,0.1,4.0,27
2015-12-17,7.3,-2.0,19.2,6.4,0.0,4.0,25
2015-12-18,11.3,-3.1,32.0,6.4,0.0,4.0,24
2015-12-19,17.6,-3.1,35.6,6.4,0.1,4.0,23
2015-12-20,21.0,8.2,34.3,6.5,0.0,4.2,22
2015-12-21,18.0,-0.2,34.0,6.5,0.1,4.4,26
2015-12-22,22.3,18.3,28.4,6.6,0.0,4.5,24
2015-12-23,16.9,-4.0,26.4,6.6,0.0,4.6,24
2015-12-24,4.6,-15.9,21.0,6.6,0.3,4.6,25
2015-12-25,14.0,-5.4,23.2,6.9,0.3,4.8,28
2015-12-26,-3.3,-18.2,14.7,7.2,0.1,5.1,31
2015-12-27,-1.7,-17.5,20.8,7.3,0.1,5.1,29
2015-12-28,2.7,-13.7,23.0,7.4,0.0,5.1,28
2015-12-29,2.5,-12.5,21.9,7.4,0.0,5.1,27
2015-12-30,3.7,-10.7,22.6,7.4,0.0,5.1,27
2015-12-31,5.4,-10.8,21.9,7.4,0.0,5.2,26
2016-01-01,-4.2,-20.9,16.9,7.4,0.1,5.2,27
2016-01-02,1.6,-17.3,23.4,7.5,0.0,5.2,26
2016-01-03,10.8,-6.3,31.5,7.5,0.1,5.2,26
2016-01-04,13.3,-5.1,32.0,7.6,0.0,5.3,26
2016-01-05,19.9,9.1,34.2,7.6,0.0,5.4,25
2016-01-06,15.8,5.0,27.9,7.6,0.0,5.4,27
2016-01-07,14.7,4.6,29.7,7.6,0.0,5.4,26
2016-01-08,13.1,7.5,25.3,7.6,0.0,5.4,27
2016-01-09,3.2,-12.8,26.6,7.6,0.0,5.5,27
2016-01-10,-6.0,-22.7,16.0,7.6,0.0,5.5,27
2016-01-11,0.7,-22.4,30.4,7.6,0.2,5.5,27
2016-01-12,5.2,-15.5,31.3,7.8,0.0,5.5,27
2016-01-13,10.9,-7.1,33.8,7.8,0.0,5.5,27
2016-01-14,8.4,-9.4,29.8,7.8,0.0,5.5,26
2016-01-15,8.2,-5.1,27.9,7.8,0.0,5.5,27
2016-01-16,11.7,-6.7,29.8,7.8,0.0,5.5,27
2016-01-17,18.3,-0.2,33.1,7.8,0.0,5.6,26
2016-01-18,18.9,-0.9,41.9,7.8,0.0,5.6,28
2016-01-19,20.7,5.9,40.1,7.8,0.0,5.6,27
2016-01-20,17.4,-2.6,32.9,7.8,0.0,5.6,26
2016-01-21,9.7,-11.4,34.3,7.8,0.0,5.6,27
2016-01-22,19.0,-2.0,42.3,7.8,0.0,5.6,27
2016-01-23,20.7,1.0,41.9,7.8,0.0,5.6,27
2016-01-24,16.9,1.8,30.9,7.8,0.0,5.6,27
2016-01-25,5.2,-8.3,23.7,7.8,0.0,5.6,27
2016-01-26,4.5,-17.3,29.8,7.8,0.0,5.6,28
2016-01-27,16.3,-2.9,43.2,7.8,0.0,5.6,27
2016-01-28,20.5,-1.3,44.4,7.8,0.0,5.6,27
2016-01-29,23.7,8.1,44.6,7.8,0.0,5.7,27
2016-01-30,30.6,12.7,46.2,7.8,0.1,5.7,27
2016-01-31,28.0,25.3,32.7,7.9,0.2,5.9,27
2016-02-01,13.1,-9.6,26.8,8.1,0.5,6.4,33
2016-02-02,1.4,-10.5,15.4,8.6,0.0,7.0,42
2016-02-03,-8.1,-25.4,16.3,8.6,0.2,7.0,38
2016-02-04,-3.6,-26.7,20.5,8.8,0.2,7.0,38
2016-02-05,5.9,-9.6,25.2,9.0,0.0,7.0,36
2016-02-06,10.0,-12.3,40.8,9.0,0.0,7.0,36
2016-02-07,19.6,-1.3,44.1,9.0,0.0,7.0,35
2016-02-08,25.5,9.0,45.9,9.0,0.0,7.0,33
2016-02-09,22.3,1.2,51.6,9.0,0.0,7.0,33
2016-02-10,21.4,-3.1,51.3,9.0,0.0,7.0,33
2016-02-11,23.5,1.2,51.3,9.0,0.0,7.0,33
2016-02-12,26.6,4.6,51.4,9.0,0.0,7.0,33
2016-02-13,25.7,6.8,51.8,9.0,0.0,7.0,32
2016-02-14,20.8,2.3,42.4,9.0,0.0,7.0,32
2016-02-15,24.8,7.9,48.4,9.0,0.0,7.0,32
2016-02-16,26.2,10.0,50.9,9.0,0.0,7.0,32
2016-02-17,27.0,4.3,51.8,9.0,0.0,7.0,31
2016-02-18,38.1,27.9,46.4,9.0,0.0,7.0,31
2016-02-19,31.8,18.0,49.5,9.0,0.0,7.0,30
2016-02-20,27.5,12.6,50.4,9.0,0.0,7.0,30
2016-02-21,25.0,5.4,48.2,9.0,0.0,6.9,30
2016-02-22,20.8,6.4,33.3,9.0,0.0,6.9,30
2016-02-23,16.2,0.0,27.7,9.0,0.0,6.9,30
2016-02-24,14.5,-11.7,41.0,9.0,0.0,6.9,30
2016-02-25,23.2,2.8,46.0,9.0,0.0,6.9,30
2016-02-26,26.6,4.6,52.2,9.0,0.0,6.9,30
2016-02-27,29.1,7.9,50.4,9.0,0.0,6.9,30
2016-02-28,32.0,18.3,49.8,9.0,0.0,6.9,30
2016-02-29,30.7,15.4,46.4,9.0,0.0,6.9,29
2016-03-01,32.5,17.2,47.5,9.0,0.0,6.9,28
2016-03-02,32.4,20.5,45.0,9.0,0.0,6.8,28
2016-03-03,33.3,14.5,54.7,9.0,0.0,6.8,27
2016-03-04,34.2,19.6,53.8,9.0,0.0,6.8,26
2016-03-05,32.2,14.7,49.8,9.0,0.0,6.8,26
2016-03-06,34.2,25.3,45.7,9.0,0.0,6.8,25
2016-03-07,25.7,10.0,37.9,9.0,0.0,6.8,24
2016-03-08,20.1,2.3,40.6,9.0,0.0,6.8,24
2016-03-09,21.2,3.0,39.4,9.0,0.0,6.8,24
2016-03-10,29.7,7.5,53.2,9.0,0.0,6.8,24
2016-03-11,34.5,16.2,54.7,9.0,0.0,6.8,22
2016-03-12,30.2,19.9,43.7,9.0,0.0,6.8,22
2016-03-13,31.6,16.0,50.4,9.0,0.0,6.8,21
2016-03-14,34.0,21.0,45.3,9.0,0.0,6.8,21
2016-03-15,27.1,17.6,34.9,9.0,0.0,6.8,20
2016-03-16,29.3,18.3,39.4,9.0,0.0,6.8,20
2016-03-17,28.8,9.3,45.7,9.0,0.0,6.8,20
2016-03-18,30.6,15.3,45.5,9.0,0.0,6.8,20
2016-03-19,28.4,13.3,44.8,9.0,0.0,6.7,20
2016-03-20,29.8,11.3,50.4,9.0,0.0,6.6,19
2016-03-21,38.3,16.2,54.1,9.0,0.0,6.5,18
2016-03-22,37.9,21.6,45.5,9.0,0.0,6.2,17
2016-03-23,24.1,13.5,32.7,9.0,0.0,6.2,17
2016-03-24,26.6,8.4,44.2,9.0,0.0,6.2,17
2016-03-25,25.2,14.5,38.3,9.0,0.0,6.1,15
2016-03-26,20.3,1.9,37.4,9.0,0.1,6.0,15
2016-03-27,20.7,-2.9,45.7,9.1,0.2,6.1,19
2016-03-28,30.0,12.0,46.2,9.3,0.1,6.1,17
2016-03-29,24.4,0.7,34.2,9.4,0.4,6.2,15
2016-03-30,14.2,-5.1,34.2,9.8,0.1,6.4,25
2016-03-31,16.7,-2.6,34.7,9.9,0.1,6.6,21
2016-04-01,21.6,1.6,40.5,10.0,0.0,6.7,20
2016-04-02,27.5,5.4,49.1,10.0,0.0,6.8,19
2016-04-03,33.4,14.9,51.8,10.0,0.0,6.8,17
2016-04-04,37.4,19.0,55.8,10.0,0.0,6.8,16
2016-04-05,32.0,16.3,49.6,10.0,0.0,5.9,14
2016-04-06,33.3,11.1,55.0,10.0,0.0,5.5,13
2016-04-07,39.6,19.2,61.5,10.0,0.1,5.0,11
2016-04-08,36.3,24.6,50.0,10.1,0.1,3.9,9
2016-04-09,37.4,28.2,48.9,10.2,0.0,3.4,8
2016-04-10,37.4,27.0,53.1,10.2,0.0,2.7,6
2016-04-11,35.6,24.4,49.8,10.2,0.0,1.9,4
2016-04-12,35.1,25.5,48.2,10.2,0.1,1.3,2
2016-04-13,38.3,23.0,55.9,10.3,0.0,0.5,2
2016-04-14,41.7,28.8,55.4,10.3,0.0,0.0,0
2016-04-15,34.0,25.7,40.5,10.3,0.0,0.0,0
2016-04-16,27.3,21.6,36.5,10.3,0.3,0.0,0
2016-04-17,24.8,15.4,34.2,10.6,0.2,0.6,7
2016-04-18,25.0,12.9,36.3,10.8,0.2,0.8,5
2016-04-19,27.0,6.8,43.2,11.0,0.2,0.9,7
2016-04-20,34.5,22.3,48.2,11.2,0.1,0.8,4
2016-04-21,38.7,19.8,56.7,11.3,0.0,0.3,2
2016-04-22,42.3,24.1,59.2,11.3,0.0,0.0,0
2016-04-23,39.9,25.3,51.8,11.3,0.0,0.0,0
2016-04-24,38.3,22.6,54.9,11.3,0.0,0.0,0
2016-04-25,32.2,22.1,44.4,11.3,0.0,0.0,0
2016-04-26,28.8,17.1,37.4,11.3,0.0,0.0,0
2016-04-27,34.3,22.3,49.6,11.3,0.2,0.0,0
2016-04-28,33.4,27.5,44.1,11.5,0.0,0.0,0
2016-04-29,31.3,23.0,41.4,11.5,0.0,0.0,0
2016-04-30,33.1,18.9,46.4,11.5,0.1,0.0,0
2016-05-01,28.2,24.1,33.1,11.6,0.2,0.0,0
2016-05-02,34.3,23.0,48.9,11.8,0.1,0.4,3
2016-05-03,38.3,20.1,55.8,11.9,0.1,0.1,1
2016-05-04,42.4,25.9,59.4,12.0,0.1,0.0,0
2016-05-05,45.0,27.0,64.8,12.1,0.0,0.0,0
2016-05-06,46.6,33.1,59.0,12.1,0.0,0.0,0
2016-05-07,35.1,24.8,43.2,12.1,0.0,0.0,0
2016-05-08,32.4,22.3,46.0,12.1,0.0,0.0,0
2016-05-09,41.2,30.6,54.9,12.1,0.2,0.0,0
2016-05-10,39.9,31.3,52.2,12.3,0.0,0.0,0
2016-05-11,36.0,24.8,48.0,12.3,0.0,0.0,0
2016-05-12,41.0,19.9,60.6,12.3,0.0,0.0,0
2016-05-13,46.0,25.0,65.3,12.3,0.2,0.0,0
2016-05-14,48.4,28.4,65.8,12.5,0.0,0.0,0
2016-05-15,43.9,32.4,56.5,12.5,0.0,0.0,0
2016-05-16,36.3,28.8,50.0,12.5,0.0,0.0,0
2016-05-17,35.8,27.3,49.8,12.5,0.0,0.0,0
2016-05-18,37.9,32.0,49.1,12.5,0.0,0.0,0
2016-05-19,42.4,30.7,58.6,12.5,0.0,0.0,0
2016-05-20,44.8,29.7,58.8,12.5,0.1,0.0,0
2016-05-21,49.3,32.0,62.1,12.6,0.0,0.0,0
2016-05-22,46.6,32.2,58.6,12.6,0.0,0.0,0
2016-05-23,42.6,26.6,57.6,12.6,0.0,0.0,0
2016-05-24,44.1,24.6,58.8,12.6,0.0,0.0,0
2016-05-25,44.2,29.1,57.9,12.6,0.0,0.0,0
2016-05-26,40.1,29.7,50.4,12.6,0.0,0.0,0
2016-05-27,41.7,28.8,55.2,12.6,0.0,0.0,0
2016-05-28,42.8,26.6,56.8,12.6,0.0,0.0,0
2016-05-29,45.9,30.9,60.1,12.6,0.0,0.0,0
2016-05-30,46.8,28.8,64.9,12.6,0.0,0.0,0
2016-05-31,48.6,28.2,66.9,12.6,0.1,0.0,0
2016-06-01,49.5,31.8,66.2,12.7,0.0,0.0,0
2016-06-02,52.5,33.8,68.7,12.7,0.0,0.0,0
2016-06-03,52.5,35.1,69.8,12.7,0.0,0.0,0
2016-06-04,56.5,35.1,73.9,12.7,0.0,0.0,0
2016-06-05,58.6,38.5,75.7,12.7,0.0,0.0,0
2016-06-06,53.2,37.4,74.3,12.7,0.0,0.0,0
2016-06-07,55.4,35.1,73.8,12.7,0.0,0.0,0
2016-06-08,50.9,34.0,70.5,12.7,0.0,0.0,0
2016-06-09,56.7,37.4,77.0,12.7,0.0,0.0,0
2016-06-10,57.7,36.9,79.9,12.7,0.0,0.0,0
2016-06-11,56.5,39.9,70.2,12.7,0.0,0.0,0
2016-06-12,55.6,38.7,72.9,12.7,0.0,0.0,0
2016-06-13,50.2,34.9,65.1,12.7,0.0,0.0,0
2016-06-14,51.3,30.2,68.9,12.7,0.0,0.0,0
2016-06-15,53.1,28.8,71.2,12.7,0.0,0.0,0
2016-06-16,53.6,31.8,71.4,12.7,0.0,0.0,0
2016-06-17,56.5,32.5,76.1,12.7,0.0,0.0,0
2016-06-18,58.8,32.4,81.1,12.7,0.0,0.0,0
2016-06-19,63.5,36.1,84.4,12.7,0.0,0.0,0
2016-06-20,62.1,42.4,82.8,12.7,0.0,0.0,0
2016-06-21,57.0,42.1,82.4,12.7,0.0,0.0,0
2016-06-22,56.5,39.9,73.6,12.7,0.0,0.0,0
2016-06-23,61.0,45.3,78.8,12.7,0.0,0.0,0
2016-06-24,53.8,43.2,69.6,12.7,0.0,0.0,0
2016-06-25,53.4,41.0,71.6,12.7,0.0,0.0,0
2016-06-26,58.6,36.5,77.2,12.7,0.4,0.0,0
2016-06-27,59.9,38.5,79.5,13.1,0.0,0.0,0
2016-06-28,55.8,40.8,75.9,13.1,0.0,0.0,0
2016-06-29,54.7,38.5,73.9,13.1,0.0,0.0,0
2016-06-30,52.7,44.4,65.3,13.1,0.0,0.0,0
2016-07-01,48.9,45.3,55.2,13.1,0.1,0.0,0
2016-07-02,49.8,42.6,59.5,13.2,0.5,0.0,0
2016-07-03,52.2,40.6,65.7,13.7,0.1,0.0,0
2016-07-04,49.8,36.5,70.5,13.8,0.2,0.0,0
2016-07-05,56.7,37.4,74.7,14.0,0.2,0.0,0
2016-07-06,58.3,39.6,75.2,14.2,0.0,0.0,0
2016-07-07,58.8,39.4,76.3,14.2,0.0,0.0,0
2016-07-08,57.9,37.0,77.4,14.2,0.0,0.0,0
2016-07-09,59.9,38.1,79.2,14.2,0.0,0.0,0
2016-07-10,60.6,39.4,75.9,14.2,0.0,0.0,0
2016-07-11,57.9,39.9,73.0,14.2,0.0,0.0,0
2016-07-12,56.1,33.1,75.9,14.2,0.0,0.0,0
2016-07-13,58.3,34.9,77.5,14.2,0.0,0.0,0
2016-07-14,58.8,36.7,77.0,14.2,0.0,0.0,0
2016-07-15,58.5,36.5,77.0,14.2,0.0,0.0,0
2016-07-16,58.8,34.9,78.1,14.2,0.0,0.0,0
2016-07-17,59.9,39.2,78.6,14.2,0.0,0.0,0
2016-07-18,60.6,46.8,78.8,14.2,0.0,0.0,0
2016-07-19,56.7,46.6,72.3,14.2,0.1,0.0,0
2016-07-20,56.5,42.8,71.8,14.3,0.2,0.0,0
2016-07-21,59.4,41.9,73.6,14.5,0.0,0.0,0
2016-07-22,57.9,46.0,71.2,14.5,0.0,0.0,0
2016-07-23,58.3,42.4,77.7,14.5,0.0,0.0,0
2016-07-24,56.8,41.4,76.3,14.5,0.0,0.0,0
2016-07-25,59.0,40.8,77.4,14.5,0.2,0.0,0
2016-07-26,54.1,,63.9,14.7,0.0,0.0,0
2016-07-27,60.8,40.8,80.6,14.7,0.0,0.0,0
2016-07-28,62.8,42.1,82.6,14.7,0.0,0.0,0
2016-07-29,63.7,43.0,82.0,14.7,0.0,0.0,0
2016-07-30,55.8,45.5,78.8,14.7,0.0,0.0,0
2016-07-31,55.9,43.5,70.7,14.7,0.2,0.0,0
2016-08-01,62.2,51.1,77.9,14.9,0.0,0.0,0
2016-08-02,59.5,46.4,78.8,14.9,0.1,0.0,0
2016-08-03,55.9,48.2,75.2,15.0,0.3,0.0,0
2016-08-04,54.9,49.8,68.2,15.3,0.3,0.0,0
2016-08-05,54.1,49.6,61.9,15.6,0.8,0.0,0
2016-08-06,55.0,45.3,69.8,16.4,0.3,0.0,0
2016-08-07,54.3,41.4,73.2,16.7,0.0,0.0,0
2016-08-08,53.2,42.6,71.1,16.7,0.0,0.0,0
2016-08-09,55.9,39.9,73.6,16.7,0.0,0.0,0
2016-08-10,57.7,46.0,72.9,16.7,0.0,0.0,0
2016-08-11,57.4,42.4,73.9,16.7,0.0,0.0,0
2016-08-12,55.4,37.8,73.2,16.7,0.0,0.0,0
2016-08-13,53.8,38.1,73.9,16.7,0.0,0.0,0
2016-08-14,54.1,34.9,75.7,16.7,0.0,0.0,0
2016-08-15,55.9,37.2,74.5,16.7,0.1,0.0,0
2016-08-16,49.3,39.4,71.8,16.8,0.0,0.0,0
2016-08-17,50.2,40.5,69.8,16.8,0.1,0.0,0
2016-08-18,48.9,36.7,63.9,16.9,0.0,0.0,0
2016-08-19,50.7,36.9,66.4,16.9,0.0,0.0,0
2016-08-20,53.2,35.2,71.4,16.9,0.0,0.0,0
2016-08-21,53.6,38.1,71.4,16.9,0.0,0.0,0
2016-08-22,49.5,40.5,63.5,16.9,0.0,0.0,0
2016-08-23,46.0,38.8,57.2,16.9,0.0,0.0,0
2016-08-24,52.0,36.9,65.7,16.9,0.0,0.0,0
2016-08-25,47.5,33.3,62.1,16.9,0.0,0.0,0
2016-08-26,48.0,39.2,57.7,16.9,0.0,0.0,0
2016-08-27,47.3,36.7,61.2,16.9,0.4,0.0,0
2016-08-28,,,,17.3,0.0,0.0,0
2016-08-29,,,,17.3,0.0,0.0,0
2016-08-30,,,,17.3,0.1,0.0,0
2016-08-31,,,,17.4,0.0,0.0,0
2016-09-01,,,,17.4,0.3,0.0,0
2016-09-02,,,,17.7,0.3,0.0,0
2016-09-03,,,,18.0,0.0,0.0,0
2016-09-04,,,,18.0,0.0,0.0,0
2016-09-05,,,,18.0,0.1,0.0,0
2016-09-06,,,,18.1,0.0,0.0,0
2016-09-07,,,,18.1,0.0,0.0,0
2016-09-08,,,,18.1,0.0,0.0,0
2016-09-09,,,,18.1,0.0,0.0,0
2016-09-10,,,,18.1,0.0,0.0,0
2016-09-11,,,,18.1,0.0,0.0,0
2016-09-12,,,,18.1,0.0,0.0,0
2016-09-13,,,,18.1,0.1,0.0,0
2016-09-14,49.6,36.7,62.6,18.2,0.3,0.0,0
2016-09-15,45.0,30.4,63.5,18.5,0.0,0.0,0
2016-09-16,44.6,26.4,66.6,18.5,0.2,0.0,0
2016-09-17,45.9,28.8,66.2,18.7,0.0,0.0,0
2016-09-18,50.2,28.8,74.1,18.7,0.1,0.0,0
2016-09-19,53.4,32.7,76.1,18.8,0.1,0.0,0
2016-09-20,49.1,38.7,66.0,18.9,0.1,0.0,0
2016-09-21,50.4,43.5,62.8,19.0,0.1,0.0,0
2016-09-22,51.4,45.7,66.2,19.1,0.0,0.0,0
2016-09-23,37.2,23.2,51.1,19.1,0.4,0.0,0
2016-09-24,36.0,22.3,49.8,19.5,0.4,0.0,0
2016-09-25,43.2,29.1,62.6,19.9,0.0,0.0,0
2016-09-26,47.1,29.5,67.1,19.9,0.0,0.0,0
2016-09-27,47.5,32.0,68.0,19.9,0.0,0.0,0
2016-09-28,50.2,32.2,68.0,19.9,0.2,0.0,0
2016-09-29,47.8,40.5,60.8,20.1,0.0,0.0,0
2016-09-30,48.6,36.1,65.3,20.1,0.0,0.0,0
