Date,El Diente Peak (465) Air Temperature Average (degF),El Diente Peak (465) Air Temperature Minimum (degF),El Diente Peak (465) Air Temperature Maximum (degF),El Diente Peak (465) Precipitation Accumulation (in) Start of Day Values,El Diente Peak (465) Precipitation Increment (in),El Diente Peak (465) Snow Water Equivalent (in) Start of Day Values,El Diente Peak (465) Snow Depth (in) Start of Day Values
2015-11-17,18.9,11.5,25.3,6.5,0.3,3.4,25
2015-11-18,19.4,7.9,30.9,6.8,0.0,3.6,24
2015-11-19,21.9,7.2,41.0,6.8,0.1,3.6,23
2015-11-20,24.8,7.2,41.2,6.9,0.0,3.6,19
2015-11-21,17.4,,40.1,6.9,0.0,3.4,18
2015-11-22,23.5,7.3,48.6,6.9,0.0,3.2,17
2015-11-23,25.0,12.2,46.8,6.9,0.0,3.2,16
2015-11-24,27.7,14.7,43.0,6.9,0.1,3.2,16
2015-11-25,30.6,21.9,37.8,7.0,0.0,3.3,15
2015-11-26,25.0,20.7,29.3,7.0,0.0,3.3,14
2015-11-27,25.2,18.3,32.2,7.0,0.0,3.2,14
2015-11-28,19.8,7.9,27.1,7.0,0.0,3.1,13
2015-11-29,15.1,6.8,21.7,7.0,0.0,3.1,13
2015-11-30,5.7,-4.5,19.4,7.0,0.0,3.1,14
2015-12-01,9.0,,28.8,7.0,0.0,3.1,15
2015-12-02,18.0,0.3,38.3,7.0,0.1,2.9,15
2015-12-03,23.7,10.2,44.4,7.1,0.0,2.9,14
2015-12-04,28.4,14.5,39.9,7.1,0.2,2.9,13
2015-12-05,18.3,4.6,30.2,7.3,0.0,3.1,14
2015-12-06,23.0,10.0,47.5,7.3,0.0,3.1,17
2015-12-07,,,,7.3,0.0,3.1,16
2015-12-08,31.8,21.2,47.1,7.3,0.0,3.1,16
2015-12-09,32.4,20.7,47.1,7.3,0.0,3.1,15
2015-12-10,31.6,18.9,45.7,7.3,0.1,3.1,15
2015-12-11,29.1,23.4,34.5,7.4,0.0,3.2,14
2015-12-12,19.6,6.6,29.3,7.4,0.0,3.2,16
2015-12-13,23.7,4.6,42.3,7.4,0.2,3.3,19
2015-12-14,16.3,8.4,26.4,7.6,0.5,3.3,19
2015-12-15,7.3,-3.3,15.4,8.1,0.2,4.1,27
2015-12-16,5.4,-8.3,24.1,8.3,0.3,4.2,27
2015-12-17,7.9,1.0,19.4,8.6,0.0,4.3,24
2015-12-18,19.8,4.6,37.8,8.6,0.0,4.3,24
2015-12-19,27.3,12.0,39.6,8.6,0.1,4.3,23
2015-12-20,19.8,13.1,25.5,8.7,0.3,4.4,22
2015-12-21,19.8,15.1,30.6,9.0,0.6,4.9,29
2015-12-22,20.8,18.9,24.6,9.6,1.6,5.5,36
2015-12-23,12.7,-5.1,20.8,11.2,0.3,7.2,48
2015-12-24,7.3,-12.5,19.9,11.5,0.4,7.4,48
2015-12-25,12.0,-2.6,19.6,11.9,0.8,7.8,49
2015-12-26,1.6,-12.8,16.0,12.7,0.1,8.3,52
2015-12-27,12.2,-2.6,35.6,12.8,0.1,8.4,48
2015-12-28,10.2,-0.9,23.9,12.9,0.0,8.4,44
2015-12-29,8.4,-1.8,24.6,12.9,0.0,8.4,41
2015-12-30,9.1,4.6,18.3,12.9,0.2,8.4,41
2015-12-31,7.9,-3.6,24.3,13.1,0.0,8.5,42
2016-01-01,8.4,-5.1,27.5,13.1,0.1,8.5,41
2016-01-02,15.3,0.1,40.1,13.2,0.1,8.5,40
2016-01-03,22.5,9.1,43.7,13.3,0.0,8.5,38
2016-01-04,25.2,17.6,34.3,13.3,0.1,8.6,37
2016-01-05,22.5,19.6,30.7,13.4,0.0,8.7,36
2016-01-06,21.7,18.9,27.3,13.4,0.2,8.8,37
2016-01-07,16.7,10.4,27.0,13.6,0.3,9.2,41
2016-01-08,12.6,-0.8,26.4,13.9,0.1,9.4,46
2016-01-09,6.3,-5.1,26.8,14.0,0.0,9.4,44
2016-01-10,3.0,-9.0,23.9,14.0,0.1,9.3,43
2016-01-11,10.8,-6.5,32.9,14.1,0.0,9.2,39
2016-01-12,16.7,0.7,41.4,14.1,0.0,9.2,41
2016-01-13,20.1,8.1,43.5,14.1,0.0,9.2,39
2016-01-14,11.8,-0.4,27.3,14.1,0.0,9.2,38
2016-01-15,13.6,2.8,21.7,14.1,0.2,9.2,37
2016-01-16,16.5,9.0,28.2,14.3,0.1,9.5,40
2016-01-17,19.2,8.8,31.5,14.4,0.0,9.6,40
2016-01-18,21.6,9.0,37.8,14.4,0.2,9.6,41
2016-01-19,22.3,10.6,34.2,14.6,0.1,9.8,41
2016-01-20,17.2,0.3,33.1,14.7,0.3,9.9,41
2016-01-21,17.6,-3.1,36.7,15.0,0.1,10.2,45
2016-01-22,25.2,9.5,47.1,15.1,0.0,10.2,43
2016-01-23,26.2,12.4,46.8,15.1,0.0,10.2,41
2016-01-24,19.8,12.6,27.3,15.1,0.3,10.2,40
2016-01-25,8.6,-7.1,28.0,15.4,0.0,10.4,45
2016-01-26,9.3,-9.4,31.6,15.4,0.2,10.4,45
2016-01-27,23.7,8.4,44.4,15.6,0.1,10.5,43
2016-01-28,27.0,11.8,48.6,15.7,0.0,10.5,41
2016-01-29,25.9,15.3,42.1,15.7,0.0,10.5,39
2016-01-30,29.3,22.3,39.2,15.7,0.1,10.5,39
2016-01-31,24.4,21.7,27.9,15.8,1.1,10.9,40
2016-02-01,14.2,6.8,24.4,16.9,0.7,12.2,52
2016-02-02,2.8,-11.2,15.4,17.6,0.1,12.6,58
2016-02-03,-5.1,-16.6,13.1,17.7,0.0,12.6,55
2016-02-04,5.2,-12.3,24.1,17.7,0.0,12.6,53
2016-02-05,11.5,0.7,27.5,17.7,0.0,12.6,51
2016-02-06,17.8,0.1,38.1,17.7,0.0,12.6,50
2016-02-07,29.3,10.6,41.7,17.7,0.0,12.6,50
2016-02-08,33.4,15.6,46.6,17.7,0.0,12.6,48
2016-02-09,28.0,9.5,48.9,17.7,0.0,12.6,46
2016-02-10,29.7,14.2,51.6,17.7,0.0,12.5,45
2016-02-11,30.0,12.7,50.9,17.7,0.0,12.4,44
2016-02-12,33.3,17.2,54.0,17.7,0.0,12.4,43
2016-02-13,31.8,17.8,48.6,17.7,0.0,12.3,41
2016-02-14,25.3,9.0,38.8,17.7,0.0,12.3,40
2016-02-15,28.8,18.3,42.1,17.7,0.0,12.3,38
2016-02-16,28.8,14.9,49.3,17.7,0.0,12.3,38
2016-02-17,33.4,18.3,49.8,17.7,0.0,12.2,38
2016-02-18,35.1,25.2,43.5,17.7,0.0,12.2,37
2016-02-19,29.5,18.3,45.5,17.7,0.0,12.2,37
2016-02-20,30.0,15.6,45.5,17.7,0.0,12.1,37
2016-02-21,27.7,13.8,46.0,17.7,0.0,11.8,36
2016-02-22,20.1,9.0,34.9,17.7,0.0,11.8,36
2016-02-23,13.8,-0.2,29.5,17.7,0.0,11.8,36
2016-02-24,17.1,-1.3,37.9,17.7,0.0,11.5,36
2016-02-25,27.1,9.5,43.7,17.7,0.0,11.5,35
2016-02-26,28.8,9.3,50.7,17.7,0.0,11.5,35
2016-02-27,29.5,17.1,46.2,17.7,0.0,11.5,33
2016-02-28,31.3,19.6,46.8,17.7,0.0,11.5,33
2016-02-29,30.6,19.0,42.8,17.7,0.0,11.5,32
2016-03-01,30.2,17.4,44.4,17.7,0.0,11.5,31
2016-03-02,29.8,20.5,44.1,17.7,0.0,11.5,30
2016-03-03,31.8,14.4,51.6,17.7,0.0,11.5,29
2016-03-04,32.5,20.8,49.5,17.7,0.0,11.5,29
2016-03-05,35.1,21.6,46.2,17.7,0.0,11.5,28
2016-03-06,30.6,25.3,40.1,17.7,0.1,11.5,26
2016-03-07,19.6,6.3,31.8,17.8,0.0,11.4,30
2016-03-08,19.6,2.3,39.9,17.8,0.0,11.4,30
2016-03-09,20.1,3.7,37.8,17.8,0.0,11.4,28
2016-03-10,30.6,9.7,53.2,17.8,0.0,11.4,28
2016-03-11,36.5,20.5,53.2,17.8,0.0,11.4,28
2016-03-12,29.1,18.9,39.2,17.8,0.0,11.2,26
2016-03-13,28.8,15.1,42.8,17.8,0.0,10.5,26
2016-03-14,30.7,19.9,41.2,17.8,0.0,10.2,26
2016-03-15,23.2,13.5,32.7,17.8,0.0,10.0,26
2016-03-16,23.9,11.8,36.1,17.8,0.0,10.0,26
2016-03-17,26.8,7.9,41.7,17.8,0.0,10.0,26
2016-03-18,29.1,14.4,42.1,17.8,0.0,10.0,25
2016-03-19,28.4,15.8,41.9,17.8,0.0,10.0,25
2016-03-20,30.0,12.7,46.6,17.8,0.0,10.0,23
2016-03-21,38.1,21.0,51.1,17.8,0.1,9.9,22
2016-03-22,32.2,16.0,42.1,17.9,0.0,9.7,21
2016-03-23,17.1,9.3,23.7,17.9,0.3,9.2,21
2016-03-24,23.5,7.0,40.3,18.2,0.1,9.5,26
2016-03-25,23.4,13.3,36.0,18.3,0.0,9.6,25
2016-03-26,16.9,1.6,33.4,18.3,0.3,9.6,25
2016-03-27,22.5,-1.8,41.2,18.6,0.3,9.9,24
2016-03-28,33.1,24.4,42.4,18.9,0.1,10.2,25
2016-03-29,22.5,12.9,32.7,19.0,0.2,10.3,23
2016-03-30,16.0,2.3,30.4,19.2,0.1,10.5,32
2016-03-31,17.2,1.8,34.9,19.3,0.0,10.6,29
2016-04-01,19.9,2.7,38.3,19.3,0.0,10.6,28
2016-04-02,27.3,6.3,45.9,19.3,0.1,10.6,26
2016-04-03,32.5,16.3,47.8,19.4,0.0,10.6,25
2016-04-04,36.0,20.8,53.2,19.4,0.0,10.6,24
2016-04-05,33.8,23.9,47.7,19.4,0.0,10.2,22
2016-04-06,34.0,15.6,51.3,19.4,0.0,10.0,21
2016-04-07,40.1,21.6,57.0,19.4,0.0,9.7,20
2016-04-08,38.1,32.2,47.8,19.4,0.2,8.9,19
2016-04-09,34.0,27.7,41.7,19.6,0.0,8.2,17
2016-04-10,34.9,25.3,46.8,19.6,0.0,8.2,17
2016-04-11,32.0,21.0,46.8,19.6,0.0,7.9,17
2016-04-12,32.7,23.9,43.5,19.6,0.1,7.7,16
2016-04-13,36.3,21.7,51.6,19.7,0.2,7.4,15
2016-04-14,39.9,31.6,47.3,19.9,0.1,6.8,14
2016-04-15,30.6,21.4,40.3,20.0,0.3,6.4,13
2016-04-16,26.6,22.1,38.3,20.3,0.3,6.7,18
2016-04-17,23.2,12.4,37.0,20.6,0.2,6.9,18
2016-04-18,22.5,10.8,34.0,20.8,0.2,7.0,18
2016-04-19,25.0,7.3,38.1,21.0,0.3,7.2,19
2016-04-20,33.4,23.9,47.1,21.3,0.0,7.3,19
2016-04-21,37.9,21.9,54.7,21.3,0.0,7.2,18
2016-04-22,44.4,27.5,55.4,21.3,0.0,7.1,16
2016-04-23,36.3,23.0,46.8,21.3,0.0,6.6,14
2016-04-24,34.0,19.9,46.6,21.3,0.0,6.6,14
2016-04-25,29.7,20.5,40.1,21.3,0.2,5.3,11
2016-04-26,25.0,18.7,37.2,21.5,0.2,5.5,16
2016-04-27,30.0,16.9,43.7,21.7,0.2,5.7,14
2016-04-28,30.6,24.8,39.9,21.9,0.2,5.8,12
2016-04-29,27.7,19.8,37.4,22.1,0.4,6.0,14
2016-04-30,30.4,22.6,42.3,22.5,0.0,6.3,18
2016-05-01,28.8,21.9,34.9,22.5,0.3,6.3,15
2016-05-02,30.6,21.0,46.4,22.8,0.1,6.5,17
2016-05-03,36.5,18.0,52.5,22.9,0.2,6.6,16
2016-05-04,40.8,25.2,56.1,23.1,0.0,6.4,14
2016-05-05,47.3,28.8,60.6,23.1,0.1,5.9,13
2016-05-06,42.1,29.5,54.9,23.2,0.0,4.7,10
2016-05-07,30.4,23.7,40.1,23.2,0.0,3.6,8
2016-05-08,29.5,19.8,40.8,23.2,0.3,3.5,8
2016-05-09,35.2,28.8,47.3,23.5,0.8,3.6,10
2016-05-10,36.0,28.8,46.8,24.3,0.4,4.3,12
2016-05-11,31.8,21.6,43.7,24.7,0.1,4.6,10
2016-05-12,38.7,18.0,56.1,24.8,0.1,4.5,10
2016-05-13,43.7,25.5,59.4,24.9,0.1,4.1,9
2016-05-14,47.1,30.6,61.3,25.0,0.1,3.1,7
2016-05-15,41.7,32.5,52.9,25.1,0.1,1.6,3
2016-05-16,34.3,29.1,49.3,25.2,0.2,0.6,2
2016-05-17,34.7,25.2,48.6,25.4,0.2,0.7,1
2016-05-18,33.4,28.0,43.2,25.6,0.2,0.0,0
2016-05-19,37.2,27.5,49.8,25.8,0.1,0.0,0
2016-05-20,43.7,30.9,52.0,25.9,0.1,0.0,0
2016-05-21,46.6,32.9,54.3,26.0,0.1,0.0,0
2016-05-22,40.8,28.0,50.0,26.1,0.0,0.0,0
2016-05-23,39.0,26.2,51.3,26.1,0.1,0.0,0
2016-05-24,41.9,27.0,52.2,26.2,0.0,0.0,0
2016-05-25,40.1,27.3,52.2,26.2,0.0,0.0,0
2016-05-26,34.9,30.2,46.2,26.2,0.0,0.0,0
2016-05-27,35.6,27.5,49.3,26.2,0.0,0.0,0
2016-05-28,38.7,25.9,52.5,26.2,0.1,0.0,0
2016-05-29,41.2,29.3,59.0,26.3,0.0,0.0,0
2016-05-30,42.4,29.1,59.5,26.3,0.0,0.0,0
2016-05-31,44.6,28.4,61.0,26.3,0.1,0.0,0
2016-06-01,46.0,30.4,60.8,26.4,0.1,0.0,0
2016-06-02,48.9,32.5,64.9,26.5,0.2,0.0,0
2016-06-03,50.4,34.9,65.7,26.7,0.0,0.0,0
2016-06-04,53.4,35.8,70.2,26.7,0.1,0.0,0
2016-06-05,54.3,38.3,70.3,26.8,0.0,0.0,0
2016-06-06,53.2,39.2,68.9,26.8,0.0,0.0,0
2016-06-07,55.0,38.1,68.5,26.8,0.0,0.0,0
2016-06-08,51.6,37.9,66.0,26.8,0.0,0.0,0
2016-06-09,53.2,37.4,73.6,26.8,0.0,0.0,0
2016-06-10,56.1,37.9,71.4,26.8,0.0,0.0,0
2016-06-11,52.0,37.9,65.3,26.8,0.0,0.0,0
2016-06-12,50.9,37.2,65.5,26.8,0.0,0.0,0
2016-06-13,44.1,32.0,60.6,26.8,0.0,0.0,0
2016-06-14,46.6,30.0,61.9,26.8,0.0,0.0,0
2016-06-15,51.8,34.3,65.5,26.8,0.1,0.0,0
2016-06-16,49.8,32.9,64.9,26.9,0.0,0.0,0
2016-06-17,53.1,34.5,69.4,26.9,0.0,0.0,0
2016-06-18,57.0,36.0,75.2,26.9,0.1,0.0,0
2016-06-19,60.1,40.1,75.7,27.0,0.1,0.0,0
2016-06-20,63.5,44.4,80.8,27.1,0.0,0.0,0
2016-06-21,61.5,47.3,77.9,27.1,0.0,0.0,0
2016-06-22,56.1,44.4,74.3,27.1,0.0,0.0,0
2016-06-23,56.7,44.1,73.0,27.1,0.0,0.0,0
2016-06-24,56.1,42.1,69.1,27.1,0.0,0.0,0
2016-06-25,57.0,42.4,71.4,27.1,0.0,0.0,0
2016-06-26,57.4,39.9,73.0,27.1,0.0,0.0,0
2016-06-27,59.5,41.7,73.4,27.1,0.0,0.0,0
2016-06-28,54.9,40.8,67.5,27.1,0.0,0.0,0
2016-06-29,52.7,39.4,69.8,27.1,0.0,0.0,0
2016-06-30,48.6,43.5,58.8,27.1,0.0,0.0,0
2016-07-01,47.7,46.0,51.1,27.1,0.5,0.0,0
2016-07-02,48.2,40.5,55.2,27.6,0.1,0.0,0
2016-07-03,49.8,36.3,63.1,27.7,0.1,0.0,0
2016-07-04,51.3,36.7,66.0,27.8,0.0,0.0,0
2016-07-05,55.4,42.3,67.8,27.8,0.1,0.0,0
2016-07-06,55.0,40.6,68.2,27.9,0.0,0.0,0
2016-07-07,54.7,40.1,68.0,27.9,0.0,0.0,0
2016-07-08,55.8,37.2,70.7,27.9,0.0,0.0,0
2016-07-09,56.8,39.6,71.2,27.9,0.0,0.0,0
2016-07-10,58.8,43.5,70.0,27.9,0.0,0.0,0
2016-07-11,53.4,38.1,66.2,27.9,0.0,0.0,0
2016-07-12,53.8,38.5,68.2,27.9,0.0,0.0,0
2016-07-13,55.0,37.2,70.2,27.9,0.0,0.0,0
2016-07-14,63.1,43.9,74.1,27.9,0.0,0.0,0
2016-07-15,57.4,40.1,73.9,27.9,0.0,0.0,0
2016-07-16,57.6,42.1,71.8,27.9,0.0,0.0,0
2016-07-17,57.7,42.6,73.0,27.9,0.0,0.0,0
2016-07-18,56.5,47.3,67.5,27.9,0.2,0.0,0
2016-07-19,52.0,43.7,61.3,28.1,0.8,0.0,0
2016-07-20,51.8,43.9,66.4,28.9,0.5,0.0,0
2016-07-21,52.2,43.2,64.9,29.4,0.4,0.0,0
2016-07-22,54.7,42.1,66.6,29.8,0.0,0.0,0
2016-07-23,57.7,41.4,73.6,29.8,0.0,0.0,0
2016-07-24,55.9,43.0,74.3,29.8,0.0,0.0,0
2016-07-25,56.7,42.3,71.4,29.8,0.0,0.0,0
2016-07-26,57.6,43.9,68.0,29.8,0.0,0.0,0
2016-07-27,58.5,41.9,74.1,29.8,0.0,0.0,0
2016-07-28,59.7,43.0,76.5,29.8,0.0,0.0,0
2016-07-29,59.7,44.1,75.7,29.8,0.0,0.0,0
2016-07-30,55.4,46.0,72.9,29.8,0.1,0.0,0
2016-07-31,55.0,45.7,67.8,29.9,0.0,0.0,0
2016-08-01,57.2,46.0,71.6,29.9,0.1,0.0,0
2016-08-02,53.1,44.8,70.7,30.0,0.2,0.0,0
2016-08-03,52.7,42.3,67.6,30.2,0.6,0.0,0
2016-08-04,51.3,45.5,58.6,30.8,0.5,0.0,0
2016-08-05,50.4,46.6,55.0,31.3,0.7,0.0,0
2016-08-06,50.2,40.3,62.2,32.0,0.0,0.0,0
2016-08-07,50.4,39.2,64.2,32.0,0.3,0.0,0
2016-08-08,54.0,41.0,68.4,32.3,0.0,0.0,0
2016-08-09,54.7,41.9,66.9,32.3,0.0,0.0,0
2016-08-10,53.4,41.2,66.0,32.3,0.0,0.0,0
2016-08-11,51.8,39.2,65.5,32.3,0.0,0.0,0
2016-08-12,50.9,35.2,64.2,32.3,0.0,0.0,0
2016-08-13,50.9,36.9,67.1,32.3,0.0,0.0,0
2016-08-14,51.4,36.3,68.0,32.3,0.0,0.0,0
2016-08-15,52.5,36.9,70.9,32.3,0.1,0.0,0
2016-08-16,51.4,39.2,65.3,32.4,0.0,0.0,0
2016-08-17,49.1,39.0,65.3,32.4,0.0,0.0,0
2016-08-18,45.3,37.4,61.0,32.4,0.1,0.0,0
2016-08-19,48.4,34.5,63.3,32.5,0.0,0.0,0
2016-08-20,52.0,37.8,66.6,32.5,0.1,0.0,0
2016-08-21,50.7,38.3,65.1,32.6,0.0,0.0,0
2016-08-22,44.4,35.2,58.6,32.6,0.1,0.0,0
2016-08-23,41.9,34.9,56.8,32.7,0.5,0.0,0
2016-08-24,46.2,35.1,59.9,33.2,0.0,0.0,0
2016-08-25,45.7,33.1,61.5,33.2,0.5,0.0,0
2016-08-26,44.2,34.9,57.2,33.7,0.1,0.0,0
2016-08-27,42.3,34.7,53.1,33.8,0.6,0.0,0
2016-08-28,42.6,34.5,56.7,34.4,0.1,0.0,0
2016-08-29,44.2,34.0,59.4,34.5,0.0,0.0,0
2016-08-30,48.0,35.1,60.1,34.5,0.4,0.0,0
2016-08-31,50.2,37.4,62.6,34.9,0.0,0.0,0
2016-09-01,51.6,42.4,62.6,34.9,0.0,0.0,0
2016-09-02,49.8,44.1,61.5,34.9,0.2,0.0,0
2016-09-03,49.1,42.4,62.6,35.1,0.1,0.0,0
2016-09-04,49.3,37.9,59.5,35.2,0.0,0.0,0
2016-09-05,48.4,33.4,62.1,35.2,0.0,0.0,0
2016-09-06,49.5,36.7,60.4,35.2,0.0,0.0,0
2016-09-07,48.4,35.1,63.0,35.2,0.0,0.0,0
2016-09-08,48.6,30.4,64.9,35.2,0.0,0.0,0
2016-09-09,50.2,36.1,63.0,35.2,0.0,0.0,0
2016-09-10,49.1,34.3,64.8,35.2,0.0,0.0,0
2016-09-11,49.3,37.2,65.5,35.2,0.0,0.0,0
2016-09-12,43.5,34.5,59.2,35.2,0.1,0.0,0
2016-09-13,44.2,34.5,55.8,35.3,0.1,0.0,0
2016-09-14,43.2,34.9,53.1,35.4,0.2,0.0,0
2016-09-15,40.6,27.3,56.5,35.6,0.0,0.0,0
2016-09-16,41.4,26.6,59.0,35.6,0.0,0.0,0
2016-09-17,42.6,28.8,59.0,35.6,0.0,0.0,0
2016-09-18,46.0,28.4,64.2,35.6,0.0,0.0,0
2016-09-19,50.4,33.8,69.6,35.6,0.0,0.0,0
2016-09-20,46.0,38.3,61.0,35.6,0.1,0.0,0
2016-09-21,46.6,41.7,52.9,35.7,0.4,0.0,0
2016-09-22,51.1,45.3,60.6,36.1,0.0,0.0,0
2016-09-23,32.4,21.0,48.2,36.1,0.7,0.0,0
2016-09-24,30.4,25.2,38.1,36.8,0.0,0.0,0
2016-09-25,38.7,23.2,56.5,36.8,0.0,0.0,0
2016-09-26,43.9,29.1,62.6,36.8,0.0,0.0,0
2016-09-27,46.0,32.2,63.1,36.8,0.0,0.0,0
2016-09-28,48.6,32.5,61.5,36.8,0.0,0.0,0
2016-09-29,42.6,39.2,46.2,36.8,0.2,0.0,0
2016-09-30,43.2,32.4,55.6,37.0,0.0,0.0,0
