Date,Beaver Ck Village (1041) Air Temperature Average (degF),Beaver Ck Village (1041) Air Temperature Minimum (degF),Beaver Ck Village (1041) Air Temperature Maximum (degF),Beaver Ck Village (1041) Precipitation Accumulation (in) Start of Day Values,Beaver Ck Village (1041) Precipitation Increment (in),Beaver Ck Village (1041) Snow Water Equivalent (in) Start of Day Values,Beaver Ck Village (1041) Snow Depth (in) Start of Day Values
2015-12-20,25.7,20.5,32.4,7.2,0.1,3.4,16
2015-12-21,23.4,18.7,28.4,7.3,0.0,3.6,16
2015-12-22,25.9,20.1,31.8,7.3,0.4,3.7,19
2015-12-23,16.7,9.1,26.8,7.7,0.3,4.0,21
2015-12-24,10.6,2.7,18.3,8.0,0.1,4.3,24
2015-12-25,16.2,10.0,23.0,8.1,0.1,4.4,23
2015-12-26,4.6,-3.5,14.2,8.2,0.0,4.4,23
2015-12-27,2.8,-6.0,13.1,8.2,0.0,4.4,23
2015-12-28,9.9,2.3,24.4,8.2,0.0,4.4,22
2015-12-29,11.5,3.7,20.1,8.2,0.1,4.5,21
2015-12-30,10.9,5.0,15.4,8.3,0.1,4.6,21
2015-12-31,4.5,-2.2,14.5,8.4,0.0,4.7,25
2016-01-01,1.2,-6.5,11.5,8.4,0.0,4.7,24
2016-01-02,6.3,-2.7,17.1,8.4,0.0,4.7,24
2016-01-03,15.6,4.6,25.0,8.4,0.1,4.8,23
2016-01-04,21.4,11.5,32.2,8.5,0.1,4.8,22
2016-01-05,23.9,16.3,33.4,8.6,0.0,4.8,21
2016-01-06,26.8,21.0,35.6,8.6,0.1,4.8,21
2016-01-07,23.9,17.4,27.7,8.7,0.1,4.9,21
2016-01-08,17.4,8.6,25.0,8.8,0.0,5.0,23
2016-01-09,16.2,9.3,23.2,8.8,0.1,5.0,22
2016-01-10,11.3,1.8,20.5,8.9,0.0,5.1,24
2016-01-11,8.8,1.4,20.5,8.9,0.0,5.1,25
2016-01-12,12.9,3.2,25.2,8.9,0.1,5.1,24
2016-01-13,18.9,10.4,29.1,9.0,0.0,5.2,24
2016-01-14,19.4,12.6,26.4,9.0,0.0,5.2,23
2016-01-15,17.8,12.2,24.4,9.0,0.1,5.2,23
2016-01-16,16.2,9.3,21.7,9.1,0.1,5.3,23
2016-01-17,21.0,14.4,27.7,9.2,0.1,5.5,26
2016-01-18,25.3,16.9,36.7,9.3,0.1,5.6,28
2016-01-19,22.3,16.2,29.7,9.4,0.0,5.7,26
2016-01-20,19.6,9.7,27.7,9.4,0.2,5.7,26
2016-01-21,15.1,10.0,25.3,9.6,0.0,5.9,28
2016-01-22,19.0,7.5,30.4,9.6,0.1,5.9,28
2016-01-23,25.7,17.2,36.0,9.7,0.0,6.0,27
2016-01-24,23.7,18.3,31.3,9.7,0.1,6.0,27
2016-01-25,16.2,9.5,25.9,9.8,0.0,6.0,26
2016-01-26,11.3,3.9,23.5,9.8,0.0,6.0,26
2016-01-27,15.8,6.1,29.3,9.8,0.0,6.0,27
2016-01-28,21.6,10.8,34.0,9.8,0.0,6.1,27
2016-01-29,27.3,19.4,36.3,9.8,0.1,6.1,25
2016-01-30,31.8,21.4,42.4,9.9,0.5,6.2,24
2016-01-31,18.7,11.8,23.2,10.4,0.4,6.8,33
2016-02-01,19.4,10.6,30.0,10.8,0.4,7.1,35
2016-02-02,10.9,5.0,19.0,11.2,0.1,7.7,40
2016-02-03,,,,11.3,0.0,7.9,39
2016-02-04,,,,11.3,0.1,7.9,37
2016-02-05,,,,11.4,0.1,8.0,38
2016-02-06,,,,11.5,0.1,8.0,37
2016-02-07,,,,11.6,0.1,8.1,36
2016-02-08,,,,11.7,0.0,8.1,35
2016-02-09,,,,11.7,0.0,8.1,35
2016-02-10,,,,11.7,0.0,8.1,34
2016-02-11,,,,11.7,0.0,8.1,33
2016-02-12,,,,11.7,0.0,8.1,33
2016-02-13,,,,11.7,0.0,8.1,32
2016-02-14,,,,11.7,0.1,8.1,32
2016-02-15,,,,11.8,0.0,8.1,32
2016-02-16,,,,11.8,0.0,8.2,33
2016-02-17,,,,11.8,0.0,8.2,31
2016-02-18,,,,11.8,0.2,8.2,31
2016-02-19,,,,12.0,0.0,8.4,32
2016-02-20,,,,12.0,0.0,8.4,31
2016-02-21,,,,12.0,0.0,8.4,31
2016-02-22,,,,12.0,0.1,8.4,30
2016-02-23,,,,12.1,0.0,8.4,30
2016-02-24,,,,12.1,0.0,8.4,30
2016-02-25,,,,12.1,0.0,8.4,30
2016-02-26,,,,12.1,0.0,8.3,30
2016-02-27,,,,12.1,0.0,8.3,30
2016-02-28,,,,12.1,0.0,8.3,30
2016-02-29,,,,12.1,0.0,8.3,29
2016-03-01,,,,12.1,0.0,8.4,29
2016-03-02,,,,12.1,0.1,8.4,29
2016-03-03,,,,12.2,0.0,8.4,29
2016-03-04,,,,12.2,0.0,8.4,29
2016-03-05,,,,12.2,0.0,8.4,29
2016-03-06,,,,12.2,0.1,8.4,28
2016-03-07,,,,12.3,0.6,8.4,28
2016-03-08,,,,12.9,0.0,9.1,34
2016-03-09,,,,12.9,0.0,9.1,34
2016-03-10,,,,12.9,0.0,9.1,33
2016-03-11,,,,12.9,0.1,9.1,31
2016-03-12,,,,13.0,0.0,9.1,29
2016-03-13,,,,13.0,0.0,9.1,27
2016-03-14,,,,13.0,0.4,9.1,28
2016-03-15,,,,13.4,0.3,9.6,33
2016-03-16,,,,13.7,0.2,9.9,34
2016-03-17,,,,13.9,0.0,10.1,35
2016-03-18,,,,13.9,0.0,10.1,34
2016-03-19,,,,13.9,0.0,10.2,34
2016-03-20,,,,13.9,0.1,10.2,34
2016-03-21,,,,14.0,0.0,10.2,32
2016-03-22,,,,14.0,0.4,10.2,31
2016-03-23,,,,14.4,0.5,10.3,36
2016-03-24,,,,14.9,0.1,10.8,38
2016-03-25,,,,15.0,0.1,10.8,36
2016-03-26,,,,15.1,0.0,11.0,40
2016-03-27,,,,15.1,0.1,11.1,39
2016-03-28,,,,15.2,0.0,11.1,36
2016-03-29,,,,15.2,0.3,11.1,35
2016-03-30,,,,15.5,0.3,11.3,38
2016-03-31,,,,15.8,0.0,11.6,40
2016-04-01,,,,15.8,0.1,11.7,37
2016-04-02,,,,15.9,0.0,11.7,36
2016-04-03,,,,15.9,0.0,11.6,35
2016-04-04,,,,15.9,0.0,11.4,33
2016-04-05,,,,15.9,0.2,11.3,33
2016-04-06,,,,16.1,0.0,11.5,36
2016-04-07,,,,16.1,0.0,11.4,32
2016-04-08,,,,16.1,0.1,11.0,32
2016-04-09,,,,16.2,0.1,10.7,31
2016-04-10,,,,16.3,0.0,10.4,30
2016-04-11,,,,16.3,0.0,9.9,29
2016-04-12,,,,16.3,0.2,9.6,28
2016-04-13,,,,16.5,0.0,9.4,27
2016-04-14,,,,16.5,0.0,8.9,26
2016-04-15,,,,16.5,0.7,8.5,24
2016-04-16,,,,17.2,0.4,9.4,32
2016-04-17,,,,17.6,0.1,9.6,34
2016-04-18,,,,17.7,0.1,9.7,34
2016-04-19,33.3,25.2,43.2,17.8,0.0,9.8,30
2016-04-20,37.2,28.2,49.5,17.8,0.0,9.7,28
2016-04-21,42.8,27.7,65.1,17.8,0.1,9.6,28
2016-04-22,47.3,29.8,66.2,17.9,0.0,9.1,26
2016-04-23,43.5,30.6,63.5,17.9,0.2,8.8,25
2016-04-24,38.3,27.1,52.0,18.1,0.0,8.4,23
2016-04-25,40.1,28.0,60.8,18.1,0.2,7.8,22
2016-04-26,31.5,25.7,40.8,18.3,0.2,7.5,21
2016-04-27,34.5,23.4,46.2,18.5,0.0,7.5,20
2016-04-28,36.0,25.0,52.0,18.5,0.2,7.5,20
2016-04-29,33.4,28.2,39.2,18.7,0.1,7.5,20
2016-04-30,32.0,26.2,39.6,18.8,0.0,7.5,20
2016-05-01,34.3,23.9,47.5,18.8,0.0,7.5,20
2016-05-02,39.6,24.3,56.5,18.8,0.0,7.1,19
2016-05-03,43.2,25.2,61.5,18.8,0.0,6.4,17
2016-05-04,47.5,30.0,67.3,18.8,0.0,5.6,15
2016-05-05,50.9,34.2,69.1,18.8,0.1,4.7,13
2016-05-06,49.5,34.9,68.5,18.9,0.0,3.7,10
2016-05-07,37.9,30.0,46.4,18.9,0.0,2.7,7
2016-05-08,35.2,25.5,46.8,18.9,0.3,2.2,5
2016-05-09,37.9,27.1,47.5,19.2,0.5,2.3,6
2016-05-10,38.3,29.7,49.1,19.7,0.4,2.3,6
2016-05-11,37.0,27.1,50.4,20.1,0.0,1.7,5
2016-05-12,43.5,23.7,59.7,20.1,0.0,0.9,2
2016-05-13,49.5,30.0,67.1,20.1,0.0,0.1,1
2016-05-14,51.8,37.9,68.2,20.1,0.0,0.0,0
2016-05-15,45.0,34.5,56.7,20.1,0.1,0.0,0
2016-05-16,37.9,28.2,47.1,20.2,0.3,0.0,0
2016-05-17,40.6,29.5,55.4,20.5,0.0,0.0,0
2016-05-18,44.2,29.3,59.2,20.5,0.0,0.0,0
2016-05-19,47.1,36.1,60.4,20.5,0.0,0.0,0
2016-05-20,52.7,36.5,67.1,20.5,0.0,0.0,0
2016-05-21,55.0,40.6,71.6,20.5,0.0,0.0,0
2016-05-22,48.9,35.8,67.1,20.5,0.0,0.0,0
2016-05-23,44.2,28.2,56.8,20.5,0.0,0.0,0
2016-05-24,49.5,32.0,67.8,20.5,0.0,0.0,0
2016-05-25,47.7,36.3,61.2,20.5,0.0,0.0,0
2016-05-26,41.7,28.0,55.9,20.5,0.0,0.0,0
2016-05-27,39.4,32.7,53.2,20.5,0.2,0.0,0
2016-05-28,44.2,31.8,59.5,20.7,0.0,0.0,0
2016-05-29,47.8,34.7,65.8,20.7,0.0,0.0,0
2016-05-30,48.0,32.4,63.3,20.7,0.0,0.0,0
2016-05-31,49.1,36.3,62.8,20.7,0.0,0.0,0
2016-06-01,51.8,37.0,66.2,20.7,0.0,0.0,0
2016-06-02,55.0,35.8,70.0,20.7,0.0,0.0,0
2016-06-03,55.8,43.2,70.2,20.7,0.0,0.0,0
2016-06-04,58.5,41.2,73.6,20.7,0.0,0.0,0
2016-06-05,59.5,44.6,74.8,20.7,0.0,0.0,0
2016-06-06,58.8,42.8,76.3,20.7,0.0,0.0,0
2016-06-07,59.0,44.2,76.1,20.7,0.0,0.0,0
2016-06-08,54.1,44.1,72.9,20.7,0.1,0.0,0
2016-06-09,60.6,48.9,74.1,20.8,0.2,0.0,0
2016-06-10,62.1,47.1,76.8,21.0,0.0,0.0,0
2016-06-11,59.9,49.5,78.4,21.0,0.0,0.0,0
2016-06-12,55.8,45.7,69.6,21.0,0.0,0.0,0
2016-06-13,48.4,37.0,63.1,21.0,0.0,0.0,0
2016-06-14,49.5,35.6,62.2,21.0,0.3,0.0,0
2016-06-15,59.2,45.0,75.7,21.3,0.0,0.0,0
2016-06-16,57.6,43.9,70.5,21.3,0.0,0.0,0
2016-06-17,60.6,45.5,76.5,21.3,0.0,0.0,0
2016-06-18,62.6,45.9,78.4,21.3,0.0,0.0,0
2016-06-19,64.8,50.0,79.2,21.3,0.0,0.0,0
2016-06-20,67.3,51.8,82.8,21.3,0.0,0.0,0
2016-06-21,67.5,54.3,82.4,21.3,0.0,0.0,0
2016-06-22,60.1,48.4,79.9,21.3,0.3,0.0,0
2016-06-23,56.7,46.8,69.8,21.6,0.7,0.0,0
2016-06-24,59.7,47.8,75.6,22.3,0.0,0.0,0
2016-06-25,60.4,48.2,74.7,22.3,0.0,0.0,0
2016-06-26,60.4,46.2,75.9,22.3,0.0,0.0,0
2016-06-27,61.9,46.0,77.9,22.3,0.0,0.0,0
2016-06-28,,48.2,79.5,22.3,0.0,0.0,0
2016-06-29,58.8,50.7,65.7,22.3,0.0,0.0,0
2016-06-30,55.4,48.6,67.3,22.3,0.3,0.0,0
2016-07-01,52.7,49.5,58.3,22.6,0.4,0.0,0
2016-07-02,52.7,49.1,59.7,23.0,0.1,0.0,0
2016-07-03,55.0,46.6,69.1,23.1,0.0,0.0,0
2016-07-04,58.8,44.8,72.5,23.1,0.0,0.0,0
2016-07-05,60.6,48.6,73.6,23.1,0.0,0.0,0
2016-07-06,61.7,50.4,74.3,23.1,0.0,0.0,0
2016-07-07,60.8,49.5,73.0,23.1,0.0,0.0,0
2016-07-08,62.2,47.5,77.0,23.1,0.0,0.0,0
2016-07-09,63.5,49.5,78.3,23.1,0.0,0.0,0
2016-07-10,64.8,52.7,79.0,23.1,0.0,0.0,0
2016-07-11,58.3,46.8,70.0,23.1,0.0,0.0,0
2016-07-12,58.8,42.4,73.6,23.1,0.0,0.0,0
2016-07-13,60.4,45.5,75.7,23.1,0.0,0.0,0
2016-07-14,60.4,46.2,75.7,23.1,0.0,0.0,0
2016-07-15,61.0,48.0,77.4,23.1,0.0,0.0,0
2016-07-16,63.7,50.0,78.8,23.1,0.0,0.0,0
2016-07-17,64.9,50.7,79.0,23.1,0.0,0.0,0
2016-07-18,59.5,50.0,72.5,23.1,0.2,0.0,0
2016-07-19,59.7,50.7,71.4,23.3,0.2,0.0,0
2016-07-20,57.0,49.5,73.2,23.5,1.2,0.0,0
2016-07-21,55.6,48.2,71.8,24.7,0.3,0.0,0
2016-07-22,59.7,47.8,77.0,25.0,0.0,0.0,0
2016-07-23,62.1,49.5,78.1,25.0,0.0,0.0,0
2016-07-24,62.2,50.9,79.2,25.0,0.0,0.0,0
2016-07-25,62.1,49.8,80.1,25.0,0.0,0.0,0
2016-07-26,58.8,49.3,76.1,25.0,0.0,0.0,0
2016-07-27,61.9,46.0,78.8,25.0,0.0,0.0,0
2016-07-28,63.1,49.5,79.9,25.0,0.0,0.0,0
2016-07-29,62.6,49.6,77.4,25.0,0.0,0.0,0
2016-07-30,64.4,50.9,80.2,25.0,0.0,0.0,0
2016-07-31,59.2,49.8,71.6,25.0,0.0,0.0,0
2016-08-01,61.3,47.5,77.0,25.0,0.0,0.0,0
2016-08-02,62.8,53.8,73.9,25.0,0.1,0.0,0
2016-08-03,64.4,52.0,81.0,25.1,0.0,0.0,0
2016-08-04,53.6,50.0,61.0,25.1,0.3,0.0,0
2016-08-05,54.0,49.3,59.7,25.4,0.2,0.0,0
2016-08-06,56.1,48.0,69.1,25.6,0.2,0.0,0
2016-08-07,58.3,46.2,73.8,25.8,0.0,0.0,0
2016-08-08,56.7,48.4,68.4,25.8,0.2,0.0,0
2016-08-09,55.8,47.3,73.2,26.0,0.0,0.0,0
2016-08-10,54.1,45.9,71.4,26.0,0.2,0.0,0
2016-08-11,54.3,45.0,69.8,26.2,0.0,0.0,0
2016-08-12,53.6,41.7,69.6,26.2,0.0,0.0,0
2016-08-13,54.9,41.9,72.5,26.2,0.0,0.0,0
2016-08-14,57.2,43.5,74.3,26.2,0.0,0.0,0
2016-08-15,57.7,46.0,76.3,26.2,0.0,0.0,0
2016-08-16,57.4,47.1,73.8,26.2,0.0,0.0,0
2016-08-17,56.1,45.9,74.1,26.2,0.0,0.0,0
2016-08-18,52.0,43.0,65.8,26.2,0.2,0.0,0
2016-08-19,52.5,40.8,68.0,26.4,0.1,0.0,0
2016-08-20,54.1,42.4,70.7,26.5,0.0,0.0,0
2016-08-21,57.0,42.1,75.2,26.5,0.0,0.0,0
2016-08-22,55.4,45.9,68.9,26.5,0.0,0.0,0
2016-08-23,53.6,44.4,69.1,26.5,0.0,0.0,0
2016-08-24,52.7,44.6,65.8,26.5,0.0,0.0,0
2016-08-25,48.6,40.8,62.1,26.5,0.0,0.0,0
2016-08-26,49.3,38.3,63.0,26.5,0.1,0.0,0
2016-08-27,50.9,39.0,64.4,26.6,0.0,0.0,0
2016-08-28,49.6,43.9,66.4,26.6,0.1,0.0,0
2016-08-29,49.3,41.9,62.1,26.7,0.1,0.0,0
2016-08-30,53.1,41.4,69.6,26.8,0.0,0.0,0
2016-08-31,56.8,43.7,74.1,26.8,0.0,0.0,0
2016-09-01,57.6,47.3,70.9,26.8,0.1,0.0,0
2016-09-02,53.2,47.1,65.8,26.9,0.3,0.0,0
2016-09-03,53.2,45.3,67.3,27.2,0.1,0.0,0
2016-09-04,53.6,44.6,68.2,27.3,0.0,0.0,0
2016-09-05,55.0,42.1,72.5,27.3,0.0,0.0,0
2016-09-06,55.9,44.6,72.5,27.3,0.0,0.0,0
2016-09-07,55.4,44.2,70.0,27.3,0.0,0.0,0
2016-09-08,55.2,40.8,71.6,27.3,0.0,0.0,0
2016-09-09,51.1,38.7,67.3,27.3,0.0,0.0,0
2016-09-10,51.3,34.5,71.1,27.3,0.0,0.0,0
2016-09-11,54.9,43.9,72.7,27.3,0.0,0.0,0
2016-09-12,52.5,41.0,69.1,27.3,0.0,0.0,0
2016-09-13,52.5,41.7,65.8,27.3,0.0,0.0,0
2016-09-14,50.7,40.5,68.2,27.3,0.0,0.0,0
2016-09-15,45.5,36.0,59.2,27.3,0.0,0.0,0
2016-09-16,45.5,32.4,60.8,27.3,0.1,0.0,0
2016-09-17,48.4,36.5,62.8,27.4,0.0,0.0,0
2016-09-18,51.8,37.8,68.5,27.4,0.0,0.0,0
2016-09-19,56.1,42.4,72.9,27.4,0.0,0.0,0
2016-09-20,55.9,45.3,68.5,27.4,0.0,0.0,0
2016-09-21,53.6,47.3,61.3,27.4,0.0,0.0,0
2016-09-22,59.4,48.0,72.7,27.4,0.0,0.0,0
2016-09-23,39.9,30.6,55.4,27.4,0.0,0.0,0
2016-09-24,36.5,29.8,44.6,27.4,0.1,0.0,0
2016-09-25,41.4,31.3,57.0,27.5,0.0,0.0,0
2016-09-26,45.9,32.5,63.9,27.5,0.0,0.0,0
2016-09-27,50.7,37.4,68.5,27.5,0.1,0.0,0
2016-09-28,53.8,40.6,69.6,27.6,0.0,0.0,0
2016-09-29,52.0,44.2,65.1,27.6,0.0,0.0,0
2016-09-30,49.1,41.7,60.8,27.6,0.0,0.0,0
