Date,Lake Eldora (564) Air Temperature Average (degF),Lake Eldora (564) Air Temperature Minimum (degF),Lake Eldora (564) Air Temperature Maximum (degF),Lake Eldora (564) Precipitation Accumulation (in) Start of Day Values,Lake Eldora (564) Precipitation Increment (in),Lake Eldora (564) Snow Water Equivalent (in) Start of Day Values,Lake Eldora (564) Snow Depth (in) Start of Day Values
2016-01-28,30.6,22.3,38.7,10.5,0.1,7.0,30
2016-01-29,28.2,21.9,31.8,10.6,0.0,7.1,30
2016-01-30,30.4,15.8,41.7,10.6,0.1,7.1,29
2016-01-31,13.6,8.2,23.2,10.7,0.3,7.2,31
2016-02-01,10.0,5.5,18.9,11.0,0.4,7.5,33
2016-02-02,5.0,-0.2,10.8,11.4,0.1,7.8,39
2016-02-03,0.7,-2.0,7.3,11.5,0.1,7.9,39
2016-02-04,9.7,-0.2,17.2,11.6,0.2,8.0,37
2016-02-05,10.9,4.3,17.1,11.8,0.0,8.1,37
2016-02-06,21.9,11.7,29.8,11.8,0.1,8.1,36
2016-02-07,21.2,18.3,26.8,11.9,0.0,8.2,35
2016-02-08,25.9,18.7,34.9,11.9,0.0,8.2,34
2016-02-09,30.6,20.3,40.1,11.9,0.1,8.2,34
2016-02-10,35.2,26.8,46.0,12.0,0.0,8.2,33
2016-02-11,34.3,28.8,42.8,12.0,0.0,8.2,33
2016-02-12,37.4,30.6,47.1,12.0,0.0,8.2,33
2016-02-13,36.0,24.8,45.3,12.0,0.0,8.2,32
2016-02-14,24.3,20.7,33.3,12.0,0.0,8.2,32
2016-02-15,27.0,21.0,30.6,12.0,0.5,8.2,32
2016-02-16,32.0,27.3,38.5,12.5,0.1,8.7,35
2016-02-17,41.7,30.7,54.0,12.6,0.1,8.8,36
2016-02-18,36.5,18.9,50.4,12.7,0.1,8.8,34
2016-02-19,29.8,16.9,40.1,12.8,0.1,8.8,35
2016-02-20,32.7,24.6,43.7,12.9,0.0,8.8,35
2016-02-21,25.9,12.7,36.7,12.9,0.0,8.8,35
2016-02-22,21.6,14.4,27.0,12.9,0.3,8.9,35
2016-02-23,15.1,7.3,27.1,13.2,0.2,9.2,34
2016-02-24,19.9,10.9,29.5,13.4,0.0,9.4,41
2016-02-25,27.1,15.6,39.4,13.4,0.1,9.6,40
2016-02-26,34.0,23.5,46.2,13.5,0.1,9.6,38
2016-02-27,36.0,25.0,48.0,13.6,0.0,9.6,37
2016-02-28,30.6,22.5,43.5,13.6,0.0,9.6,37
2016-02-29,27.1,15.8,41.9,13.6,0.2,9.6,36
2016-03-01,26.2,13.3,35.2,13.8,0.1,10.0,40
2016-03-02,29.3,23.5,36.0,13.9,0.2,10.0,38
2016-03-03,33.8,23.2,44.8,14.1,0.0,10.1,40
2016-03-04,34.5,27.1,44.1,14.1,0.0,10.1,38
2016-03-05,38.3,27.5,52.5,14.1,0.1,10.1,37
2016-03-06,35.2,28.2,45.7,14.2,0.0,10.1,36
2016-03-07,24.8,17.6,34.5,14.2,0.0,10.1,36
2016-03-08,21.6,14.4,30.6,14.2,0.2,10.3,38
2016-03-09,24.4,14.5,36.0,14.4,0.1,10.5,40
2016-03-10,33.8,23.5,44.1,14.5,0.1,10.5,40
2016-03-11,42.8,32.0,57.7,14.6,0.0,10.6,37
2016-03-12,38.8,30.4,49.3,14.6,0.0,10.5,35
2016-03-13,33.3,27.7,45.9,14.6,0.0,10.3,34
2016-03-14,27.1,15.1,40.3,14.6,0.3,10.4,34
2016-03-15,14.2,10.0,19.2,14.9,0.5,10.7,41
2016-03-16,15.4,10.2,19.8,15.4,0.6,11.3,44
2016-03-17,18.0,13.1,26.2,16.0,0.6,12.0,48
2016-03-18,10.6,5.0,17.8,16.6,0.3,12.7,58
2016-03-19,13.8,5.0,27.9,16.9,0.1,13.0,54
2016-03-20,30.0,10.9,42.3,17.0,0.1,13.0,51
2016-03-21,41.0,29.7,52.5,17.1,0.1,13.0,48
2016-03-22,38.7,24.1,49.8,17.2,0.0,13.0,46
2016-03-23,19.4,17.2,23.9,17.2,0.5,13.0,45
2016-03-24,22.1,15.8,32.5,17.7,0.2,13.8,50
2016-03-25,20.1,9.5,30.2,17.9,0.1,13.9,48
2016-03-26,14.5,6.4,24.3,18.0,0.2,14.0,48
2016-03-27,24.3,10.2,36.3,18.2,0.1,14.2,50
2016-03-28,34.7,23.2,49.6,18.3,0.1,14.2,49
2016-03-29,32.0,18.0,45.7,18.4,0.0,14.2,47
2016-03-30,20.3,15.6,28.4,18.4,0.1,14.2,45
2016-03-31,16.9,9.1,25.5,18.5,0.1,14.4,49
2016-04-01,21.7,9.3,32.9,18.6,0.1,14.5,48
2016-04-02,33.3,19.4,46.4,18.7,0.1,14.5,48
2016-04-03,37.4,29.7,46.4,18.8,0.0,14.3,45
2016-04-04,41.7,30.7,53.4,18.8,0.0,14.0,43
2016-04-05,28.8,20.5,44.6,18.8,0.1,13.7,41
2016-04-06,33.8,20.7,46.6,18.9,0.2,13.7,44
2016-04-07,37.4,27.7,51.6,19.1,0.0,13.5,41
2016-04-08,38.8,29.3,51.1,19.1,0.0,13.0,39
2016-04-09,40.5,34.3,51.3,19.1,0.0,12.5,38
2016-04-10,35.8,28.4,49.1,19.1,0.1,11.7,36
2016-04-11,34.9,27.3,49.6,19.2,0.0,11.6,36
2016-04-12,39.2,31.5,52.9,19.2,0.0,11.2,34
2016-04-13,41.9,30.4,55.0,19.2,0.1,10.6,33
2016-04-14,43.9,34.5,55.6,19.3,0.0,9.9,31
2016-04-15,28.8,22.5,36.9,19.3,0.7,9.1,29
2016-04-16,21.7,19.4,26.8,20.0,1.7,10.2,39
2016-04-17,21.4,16.5,31.3,21.7,0.3,11.8,55
2016-04-18,21.7,13.6,36.1,22.0,0.1,12.2,62
2016-04-19,26.8,18.0,39.6,22.1,0.1,12.3,52
2016-04-20,32.0,24.8,40.1,22.2,0.3,12.4,48
2016-04-21,38.1,27.9,51.3,22.5,0.1,12.6,46
2016-04-22,47.7,34.2,61.5,22.6,0.0,12.2,40
2016-04-23,42.8,28.8,61.7,22.6,0.0,11.6,36
2016-04-24,33.3,26.6,45.0,22.6,0.1,11.2,32
2016-04-25,39.6,28.8,52.5,22.7,0.0,10.9,32
2016-04-26,28.0,23.0,41.4,22.7,0.1,10.3,31
2016-04-27,28.8,21.9,40.1,22.8,0.3,10.3,31
2016-04-28,23.7,21.6,26.4,23.1,0.0,10.3,31
2016-04-29,23.7,19.9,30.4,23.1,0.3,10.4,31
2016-04-30,21.6,19.0,27.3,23.4,0.5,10.9,37
2016-05-01,20.7,14.5,29.5,23.9,0.2,11.2,40
2016-05-02,32.0,14.0,45.0,24.1,0.2,11.3,39
2016-05-03,38.3,26.4,51.3,24.3,0.0,11.1,33
2016-05-04,46.8,35.1,60.1,24.3,0.0,10.6,31
2016-05-05,51.1,39.6,64.4,24.3,0.0,9.3,28
2016-05-06,48.6,36.5,62.6,24.3,0.0,7.9,24
2016-05-07,33.3,27.7,41.7,24.3,0.1,7.0,22
2016-05-08,33.1,25.2,47.7,24.4,0.2,7.3,22
2016-05-09,35.2,28.8,47.1,24.6,0.4,6.8,20
2016-05-10,34.9,25.7,45.5,25.0,0.4,6.5,19
2016-05-11,32.7,23.2,43.0,25.4,0.1,6.2,20
2016-05-12,40.6,27.0,54.0,25.5,0.0,5.7,17
2016-05-13,43.2,32.5,59.0,25.5,0.0,4.5,14
2016-05-14,40.6,29.3,61.3,25.5,0.0,3.3,10
2016-05-15,41.2,32.5,54.1,25.5,0.1,2.3,7
2016-05-16,31.5,25.7,37.4,25.6,0.2,1.9,5
2016-05-17,29.5,25.5,34.2,25.8,0.1,2.0,5
2016-05-18,36.5,24.3,46.2,25.9,0.1,2.1,8
2016-05-19,44.1,32.7,56.7,26.0,0.0,1.6,5
2016-05-20,48.6,40.5,58.6,26.0,0.0,0.4,3
2016-05-21,53.1,41.7,65.3,26.0,0.0,0.1,1
2016-05-22,45.5,32.5,55.0,26.0,0.0,0.0,0
2016-05-23,40.6,32.4,52.0,26.0,0.0,0.0,0
2016-05-24,43.9,35.1,54.1,26.0,0.0,0.0,0
2016-05-25,43.5,31.5,55.9,26.0,0.0,0.0,0
2016-05-26,36.0,30.6,48.2,26.0,0.0,0.0,0
2016-05-27,35.8,31.5,44.2,26.0,0.2,0.0,0
2016-05-28,41.0,32.0,52.7,26.2,0.1,0.0,0
2016-05-29,47.5,36.3,59.2,26.3,0.0,0.0,0
2016-05-30,47.8,37.4,62.6,26.3,0.0,0.0,0
2016-05-31,42.8,33.3,59.4,26.3,0.0,0.0,0
2016-06-01,46.4,32.9,61.9,26.3,0.0,0.0,0
2016-06-02,53.2,40.1,65.5,26.3,0.1,0.0,0
2016-06-03,53.4,43.5,66.2,26.4,0.1,0.0,0
2016-06-04,51.8,41.2,63.3,26.5,0.1,0.0,0
2016-06-05,54.1,42.1,69.1,26.6,0.0,0.0,0
2016-06-06,53.8,44.6,69.1,26.6,0.0,0.0,0
2016-06-07,55.9,46.4,72.7,26.6,0.0,0.0,0
2016-06-08,54.1,45.5,71.8,26.6,0.0,0.0,0
2016-06-09,,,73.4,26.6,0.0,0.0,0
2016-06-10,,53.8,77.0,26.6,0.0,0.0,0
2016-06-11,60.1,48.4,73.6,26.6,0.0,0.0,0
2016-06-12,53.8,44.1,66.4,26.6,0.0,0.0,0
2016-06-13,46.8,34.5,60.8,26.6,0.2,0.0,0
2016-06-14,50.4,37.0,63.1,26.8,0.0,0.0,0
2016-06-15,59.2,43.9,72.7,26.8,0.0,0.0,0
2016-06-16,61.9,49.1,75.2,26.8,0.0,0.0,0
2016-06-17,59.5,49.8,71.4,26.8,0.0,0.0,0
2016-06-18,63.0,49.1,76.3,26.8,0.0,0.0,0
2016-06-19,66.6,55.9,80.6,26.8,0.0,0.0,0
2016-06-20,62.2,55.2,71.2,26.8,0.0,0.0,0
2016-06-21,69.8,59.9,82.2,26.8,0.0,0.0,0
2016-06-22,58.6,45.7,71.4,26.8,0.1,0.0,0
2016-06-23,59.5,49.8,72.3,26.9,0.0,0.0,0
2016-06-24,61.9,52.2,77.7,26.9,0.0,0.0,0
2016-06-25,58.5,47.1,75.7,26.9,0.0,0.0,0
2016-06-26,61.3,45.9,75.2,26.9,0.0,0.0,0
2016-06-27,61.9,50.7,75.9,26.9,0.0,0.0,0
2016-06-28,61.5,48.9,76.3,26.9,0.0,0.0,0
2016-06-29,61.0,49.3,75.2,26.9,0.0,0.0,0
2016-06-30,52.2,47.5,61.5,26.9,0.2,0.0,0
2016-07-01,52.2,45.3,65.1,27.1,0.1,0.0,0
2016-07-02,50.7,47.3,57.0,27.2,0.1,0.0,0
2016-07-03,55.0,46.8,68.5,27.3,0.0,0.0,0
2016-07-04,61.0,50.9,74.1,27.3,0.0,0.0,0
2016-07-05,58.8,48.4,72.5,27.3,0.0,0.0,0
2016-07-06,62.1,49.5,74.7,27.3,0.0,0.0,0
2016-07-07,60.8,51.1,73.0,27.3,0.0,0.0,0
2016-07-08,62.6,51.3,77.9,27.3,0.0,0.0,0
2016-07-09,66.0,53.2,77.9,27.3,0.0,0.0,0
2016-07-10,66.9,57.0,80.4,27.3,0.0,0.0,0
2016-07-11,57.7,46.8,69.4,27.3,0.0,0.0,0
2016-07-12,60.1,44.6,73.6,27.3,0.0,0.0,0
2016-07-13,61.5,47.5,75.7,27.3,0.0,0.0,0
2016-07-14,59.2,48.2,74.7,27.3,0.0,0.0,0
2016-07-15,58.5,49.6,74.7,27.3,0.0,0.0,0
2016-07-16,64.4,51.8,79.5,27.3,0.0,0.0,0
2016-07-17,61.0,51.6,72.9,27.3,0.0,0.0,0
2016-07-18,59.7,49.6,72.3,27.3,0.3,0.0,0
2016-07-19,59.5,48.9,75.6,27.6,0.4,0.0,0
2016-07-20,59.5,50.9,75.9,28.0,0.1,0.0,0
2016-07-21,61.3,53.2,73.9,28.1,0.0,0.0,0
2016-07-22,64.8,55.9,75.7,28.1,0.0,0.0,0
2016-07-23,64.2,54.9,78.3,28.1,0.0,0.0,0
2016-07-24,61.2,48.6,77.2,28.1,0.0,0.0,0
2016-07-25,64.9,51.1,79.0,28.1,0.0,0.0,0
2016-07-26,61.3,50.9,73.9,28.1,0.0,0.0,0
2016-07-27,63.7,52.0,77.7,28.1,0.0,0.0,0
2016-07-28,60.1,51.3,79.0,28.1,0.0,0.0,0
2016-07-29,59.2,47.5,72.5,28.1,0.0,0.0,0
2016-07-30,63.5,49.5,77.9,28.1,0.1,0.0,0
2016-07-31,58.8,48.0,74.1,28.2,0.1,0.0,0
2016-08-01,62.2,49.8,76.3,28.3,0.1,0.0,0
2016-08-02,60.8,50.4,75.2,28.4,0.0,0.0,0
2016-08-03,64.0,50.4,77.4,28.4,0.1,0.0,0
2016-08-04,50.4,45.0,58.8,28.5,0.0,0.0,0
2016-08-05,47.7,44.1,51.3,28.5,0.1,0.0,0
2016-08-06,54.7,46.8,65.7,28.6,0.0,0.0,0
2016-08-07,57.7,48.0,70.2,28.6,0.1,0.0,0
2016-08-08,59.0,48.6,70.7,28.7,0.1,0.0,0
2016-08-09,59.5,49.8,74.3,28.8,0.0,0.0,0
2016-08-10,59.2,51.3,71.8,28.8,0.0,0.0,0
2016-08-11,57.6,46.4,70.9,28.8,0.0,0.0,0
2016-08-12,54.7,43.0,67.5,28.8,0.0,0.0,0
2016-08-13,56.7,45.7,71.6,28.8,0.0,0.0,0
2016-08-14,59.7,46.6,72.9,28.8,0.0,0.0,0
2016-08-15,58.8,46.8,75.6,28.8,0.0,0.0,0
2016-08-16,56.1,45.7,70.7,28.8,0.0,0.0,0
2016-08-17,59.0,49.5,70.7,28.8,0.2,0.0,0
2016-08-18,51.4,41.9,68.4,29.0,0.2,0.0,0
2016-08-19,48.6,36.7,68.0,29.2,0.1,0.0,0
2016-08-20,49.1,34.5,65.5,29.3,0.2,0.0,0
2016-08-21,59.4,44.8,72.0,29.5,0.0,0.0,0
2016-08-22,58.3,49.8,68.4,29.5,0.0,0.0,0
2016-08-23,52.9,42.4,63.7,29.5,0.0,0.0,0
2016-08-24,45.3,38.5,53.6,29.5,0.0,0.0,0
2016-08-25,44.2,38.1,52.0,29.5,0.2,0.0,0
2016-08-26,48.9,41.4,61.5,29.7,0.0,0.0,0
2016-08-27,53.2,41.9,66.4,29.7,0.0,0.0,0
2016-08-28,51.6,46.0,64.9,29.7,0.0,0.0,0
2016-08-29,50.7,41.7,64.0,29.7,0.0,0.0,0
2016-08-30,49.3,41.7,60.1,29.7,0.1,0.0,0
2016-08-31,51.8,40.8,64.8,29.8,0.3,0.0,0
2016-09-01,57.0,45.5,73.9,30.1,0.0,0.0,0
2016-09-02,53.4,43.7,63.7,30.1,0.0,0.0,0
2016-09-03,54.7,45.5,67.8,30.1,0.0,0.0,0
2016-09-04,54.0,46.2,66.6,30.1,0.1,0.0,0
2016-09-05,55.8,44.1,69.4,30.2,0.1,0.0,0
2016-09-06,52.7,42.3,69.4,30.3,0.0,0.0,0
2016-09-07,56.5,46.6,68.0,30.3,0.0,0.0,0
2016-09-08,57.0,45.5,70.0,30.3,0.0,0.0,0
2016-09-09,47.5,33.1,64.2,30.3,0.0,0.0,0
2016-09-10,55.0,40.5,68.7,30.3,0.1,0.0,0
2016-09-11,55.9,44.4,72.5,30.4,0.0,0.0,0
2016-09-12,48.4,38.3,66.2,30.4,0.0,0.0,0
2016-09-13,44.2,38.3,59.4,30.4,0.0,0.0,0
2016-09-14,48.2,34.9,63.9,30.4,0.0,0.0,0
2016-09-15,44.2,33.4,58.8,30.4,0.0,0.0,0
2016-09-16,42.6,32.5,53.8,30.4,0.1,0.0,0
2016-09-17,48.9,36.7,61.2,30.5,0.1,0.0,0
2016-09-18,54.9,43.9,66.2,30.6,0.1,0.0,0
2016-09-19,60.1,48.0,72.7,30.7,0.0,0.0,0
2016-09-20,58.8,51.1,68.2,30.7,0.0,0.0,0
2016-09-21,52.7,47.1,62.6,30.7,0.0,0.0,0
2016-09-22,54.7,47.1,68.5,30.7,0.0,0.0,0
2016-09-23,47.3,31.3,68.5,30.7,0.0,0.0,0
2016-09-24,35.6,29.1,44.1,30.7,0.0,0.0,0
2016-09-25,41.0,30.6,55.8,30.7,0.0,0.0,0
2016-09-26,47.8,36.1,62.6,30.7,0.0,0.0,0
2016-09-27,53.4,42.3,67.8,30.7,0.0,0.0,0
2016-09-28,51.8,43.5,62.6,30.7,0.0,0.0,0
2016-09-29,54.3,44.6,66.9,30.7,0.0,0.0,0
2016-09-30,47.8,42.8,54.7,30.7,0.0,0.0,0
