Date,Medano Pass (914) Air Temperature Average (degF),Medano Pass (914) Air Temperature Minimum (degF),Medano Pass (914) Air Temperature Maximum (degF),Medano Pass (914) Precipitation Accumulation (in) Start of Day Values,Medano Pass (914) Precipitation Increment (in),Medano Pass (914) Snow Water Equivalent (in) Start of Day Values,Medano Pass (914) Snow Depth (in) Start of Day Values
2016-01-30,36.1,29.7,43.0,8.0,0.0,4.9,20
2016-01-31,25.7,15.1,30.2,8.0,0.1,4.9,20
2016-02-01,19.8,10.9,28.8,8.1,0.0,5.0,22
2016-02-02,6.8,-2.9,13.8,8.1,0.0,5.5,26
2016-02-03,-0.8,-11.9,11.5,8.1,0.0,5.5,26
2016-02-04,9.1,-9.4,18.3,8.1,0.3,5.5,25
2016-02-05,11.7,-1.5,25.2,8.4,0.0,5.5,25
2016-02-06,20.1,-0.6,32.0,8.4,0.1,5.5,25
2016-02-07,27.3,12.9,44.8,8.5,0.0,5.7,25
2016-02-08,24.3,9.1,43.5,8.5,0.0,5.7,25
2016-02-09,26.4,12.0,44.8,8.5,0.0,5.7,25
2016-02-10,33.8,16.0,52.5,8.5,0.0,5.7,24
2016-02-11,33.8,19.0,51.3,8.5,0.0,5.7,23
2016-02-12,41.2,24.3,52.2,8.5,0.0,5.7,23
2016-02-13,40.3,28.2,50.0,8.5,0.0,5.7,21
2016-02-14,32.7,21.9,43.5,8.5,0.0,5.7,20
2016-02-15,32.7,23.2,45.0,8.5,0.1,5.7,21
2016-02-16,37.4,27.3,47.3,8.6,0.0,5.8,20
2016-02-17,40.8,26.6,49.8,8.6,0.0,5.6,19
2016-02-18,41.0,34.5,52.2,8.6,0.0,5.4,18
2016-02-19,38.5,30.9,47.1,8.6,0.0,5.3,17
2016-02-20,38.8,25.9,51.3,8.6,0.0,5.2,17
2016-02-21,27.0,16.5,41.2,8.6,0.0,5.0,16
2016-02-22,23.9,15.6,34.7,8.6,0.1,4.9,16
2016-02-23,14.7,2.7,25.2,8.7,0.0,5.3,23
2016-02-24,22.1,1.0,38.1,8.7,0.0,5.3,23
2016-02-25,27.9,7.0,42.6,8.7,0.2,5.3,20
2016-02-26,35.1,19.4,47.5,8.9,0.0,5.5,17
2016-02-27,41.2,30.0,51.3,8.9,0.0,5.5,17
2016-02-28,36.5,27.1,46.8,8.9,0.0,5.5,16
2016-02-29,37.8,32.5,45.5,8.9,0.0,5.5,16
2016-03-01,37.4,27.3,47.5,8.9,0.0,5.1,15
2016-03-02,37.9,31.6,44.1,8.9,0.0,4.7,13
2016-03-03,39.4,24.3,49.8,8.9,0.0,4.5,12
2016-03-04,40.1,26.4,53.8,8.9,0.0,4.3,11
2016-03-05,37.4,21.9,48.6,8.9,0.0,3.8,10
2016-03-06,37.8,32.7,45.0,8.9,0.0,3.6,9
2016-03-07,29.7,22.5,39.2,8.9,0.0,3.3,9
2016-03-08,24.3,13.3,37.4,8.9,0.0,3.3,9
2016-03-09,28.4,15.6,41.0,8.9,0.0,3.0,9
2016-03-10,31.5,14.5,51.1,8.9,0.2,3.0,9
2016-03-11,40.1,25.9,57.2,9.1,0.0,2.6,5
2016-03-12,39.4,30.9,61.9,9.1,0.0,1.8,4
2016-03-13,35.8,21.9,47.3,9.1,0.0,1.3,4
2016-03-14,37.0,28.2,46.6,9.1,0.0,0.7,2
2016-03-15,27.1,19.4,36.0,9.1,0.0,0.5,1
2016-03-16,30.2,21.9,40.6,9.1,0.1,0.2,1
2016-03-17,32.7,16.9,47.8,9.2,0.0,0.1,1
2016-03-18,15.6,7.7,33.8,9.2,0.0,0.0,0
2016-03-19,17.1,7.3,27.7,9.2,0.0,0.0,0
2016-03-20,32.0,8.8,47.5,9.2,0.0,0.0,0
2016-03-21,44.2,34.3,54.9,9.2,0.0,0.0,0
2016-03-22,40.1,26.2,47.8,9.2,0.0,0.0,0
2016-03-23,21.6,10.9,29.1,9.2,0.0,0.0,0
2016-03-24,27.0,8.8,40.6,9.2,0.0,0.2,3
2016-03-25,28.2,20.8,38.8,9.2,0.0,0.0,0
2016-03-26,14.2,1.0,21.4,9.2,0.0,0.1,1
2016-03-27,23.0,-0.8,38.5,9.2,0.2,0.7,11
2016-03-28,38.5,32.2,46.0,9.4,0.1,1.0,5
2016-03-29,35.1,19.6,44.1,9.5,0.0,0.9,2
2016-03-30,23.2,16.3,30.9,9.5,0.0,0.5,2
2016-03-31,20.3,9.1,32.2,9.5,0.2,0.3,1
2016-04-01,19.9,3.2,35.2,9.7,0.0,0.6,6
2016-04-02,31.3,10.9,59.0,9.7,0.0,0.5,3
2016-04-03,38.3,28.4,54.1,9.7,0.1,0.2,1
2016-04-04,41.7,26.2,54.9,9.8,0.2,0.1,1
2016-04-05,40.5,25.3,55.2,10.0,0.0,0.3,1
2016-04-06,37.4,25.2,52.9,10.0,0.0,0.0,0
2016-04-07,38.8,25.2,57.7,10.0,0.1,0.0,0
2016-04-08,40.8,28.4,53.1,10.1,0.1,0.0,0
2016-04-09,41.4,35.2,53.6,10.2,0.0,0.0,0
2016-04-10,43.2,30.0,54.0,10.2,0.0,0.0,0
2016-04-11,34.2,25.9,44.4,10.2,0.0,0.0,0
2016-04-12,34.9,28.8,50.4,10.2,0.0,0.0,0
2016-04-13,37.8,25.2,53.1,10.2,0.1,0.0,0
2016-04-14,44.4,29.1,55.0,10.3,0.1,0.0,0
2016-04-15,40.1,28.4,50.4,10.4,0.0,0.0,0
2016-04-16,23.4,18.7,28.8,10.4,0.3,0.5,3
2016-04-17,23.2,17.2,34.2,10.7,0.1,1.2,14
2016-04-18,23.9,19.2,29.8,10.8,0.8,1.2,6
2016-04-19,29.7,23.7,39.2,11.6,0.3,2.2,13
2016-04-20,33.3,24.3,44.1,11.9,0.0,2.3,8
2016-04-21,36.7,21.6,53.4,11.9,0.1,2.2,8
2016-04-22,46.2,27.0,57.7,12.0,0.2,1.7,6
2016-04-23,44.8,32.7,55.8,12.2,0.0,1.0,2
2016-04-24,41.4,29.7,54.0,12.2,0.1,0.2,1
2016-04-25,40.6,25.7,54.9,12.3,0.1,0.0,0
2016-04-26,30.4,24.8,41.0,12.4,0.0,0.3,1
2016-04-27,34.7,27.0,48.6,12.4,0.1,0.0,0
2016-04-28,27.1,23.7,34.5,12.5,0.4,0.2,1
2016-04-29,25.7,21.6,32.9,12.9,0.9,1.1,8
2016-04-30,25.9,19.8,38.7,13.8,0.4,1.9,15
2016-05-01,23.0,19.0,31.3,14.2,0.3,2.2,10
2016-05-02,32.4,19.6,45.7,14.5,0.1,2.6,15
2016-05-03,36.1,23.4,50.2,14.6,0.0,2.3,10
2016-05-04,42.8,24.3,60.4,14.6,0.1,1.8,6
2016-05-05,46.8,30.2,63.1,14.7,0.2,1.1,3
2016-05-06,53.2,43.9,64.4,14.9,0.1,0.2,1
2016-05-07,42.6,33.4,62.6,15.0,0.0,0.3,1
2016-05-08,37.2,30.2,46.6,15.0,0.0,0.0,0
2016-05-09,42.1,30.6,63.1,15.0,0.2,0.0,0
2016-05-10,45.3,34.2,59.7,15.2,0.1,0.0,0
2016-05-11,35.1,25.9,47.1,15.3,0.0,0.0,0
2016-05-12,40.8,24.6,57.6,15.3,0.1,0.0,0
2016-05-13,49.8,33.3,64.4,15.4,0.1,0.0,0
2016-05-14,45.5,29.3,65.5,15.5,0.1,0.0,0
2016-05-15,42.1,32.5,55.4,15.6,0.0,0.0,0
2016-05-16,38.8,31.6,52.5,15.6,0.0,0.0,0
2016-05-17,30.7,28.2,33.4,15.6,0.0,0.2,1
2016-05-18,34.3,29.7,42.4,15.6,0.2,0.4,1
2016-05-19,41.0,28.4,53.2,15.8,0.2,0.0,0
2016-05-20,51.4,40.8,60.8,16.0,0.2,0.0,0
2016-05-21,55.4,47.1,63.9,16.2,0.1,0.0,0
2016-05-22,50.0,34.9,58.6,16.3,0.0,0.0,0
2016-05-23,46.2,31.8,57.6,16.3,0.0,0.0,0
2016-05-24,48.2,31.3,59.5,16.3,0.0,0.0,0
2016-05-25,47.3,30.6,59.0,16.3,0.0,0.0,0
2016-05-26,38.5,30.7,51.1,16.3,0.0,0.0,0
2016-05-27,35.8,30.4,46.0,16.3,0.0,0.0,0
2016-05-28,41.9,30.0,,16.3,0.2,0.0,0
2016-05-29,47.5,34.2,62.2,16.5,0.1,0.0,0
2016-05-30,48.4,34.3,64.9,16.6,0.1,0.0,0
2016-05-31,44.6,32.0,57.9,16.7,0.0,0.0,0
2016-06-01,43.9,36.3,55.9,16.7,0.1,0.0,0
2016-06-02,48.6,33.3,,16.8,0.1,0.0,0
2016-06-03,52.5,36.7,68.4,16.9,0.1,0.0,0
2016-06-04,51.6,37.8,66.9,17.0,0.0,0.0,0
2016-06-05,52.5,38.5,72.3,17.0,0.0,0.0,0
2016-06-06,52.5,38.5,70.2,17.0,0.0,0.0,0
2016-06-07,57.6,39.6,72.0,17.0,0.1,0.0,0
2016-06-08,54.1,41.2,71.4,17.1,0.0,0.0,0
2016-06-09,55.8,41.0,71.8,17.1,0.0,0.0,0
2016-06-10,56.7,40.1,75.2,17.1,0.0,0.0,0
2016-06-11,59.5,40.8,73.4,17.1,0.1,0.0,0
2016-06-12,59.0,45.3,74.5,17.2,0.0,0.0,0
2016-06-13,54.9,38.7,68.7,17.2,0.0,0.0,0
2016-06-14,53.1,37.9,69.4,17.2,0.0,0.0,0
2016-06-15,57.0,,70.3,17.2,0.0,0.0,0
2016-06-16,60.1,45.3,71.6,17.2,0.0,0.0,0
2016-06-17,58.6,40.1,76.1,17.2,0.0,0.0,0
2016-06-18,60.6,41.7,77.7,17.2,0.0,0.0,0
2016-06-19,66.2,47.1,82.0,17.2,0.0,0.0,0
2016-06-20,63.9,49.1,81.0,17.2,0.0,0.0,0
2016-06-21,65.3,50.2,82.0,17.2,0.0,0.0,0
2016-06-22,56.8,45.7,76.8,17.2,0.3,0.0,0
2016-06-23,59.4,43.0,75.7,17.5,0.0,0.0,0
2016-06-24,60.6,50.2,73.4,17.5,0.0,0.0,0
2016-06-25,59.5,45.9,72.0,17.5,0.0,0.0,0
2016-06-26,56.8,42.3,74.8,17.5,0.0,0.0,0
2016-06-27,54.3,44.1,71.1,17.5,0.1,0.0,0
2016-06-28,55.9,43.0,72.7,17.6,0.1,0.0,0
2016-06-29,53.6,41.9,73.6,17.7,0.0,0.0,0
2016-06-30,55.8,41.9,71.8,17.7,0.1,0.0,0
2016-07-01,52.9,46.6,66.6,17.8,0.0,0.0,0
2016-07-02,52.5,46.8,66.0,17.8,0.0,0.0,0
2016-07-03,51.4,41.9,66.6,17.8,0.1,0.0,0
2016-07-04,55.2,38.3,70.2,17.9,0.2,0.0,0
2016-07-05,60.8,43.0,73.4,18.1,0.1,0.0,0
2016-07-06,61.3,43.5,73.8,18.2,0.0,0.0,0
2016-07-07,62.6,46.0,75.2,18.2,0.0,0.0,0
2016-07-08,58.5,42.8,74.8,18.2,0.0,0.0,0
2016-07-09,63.3,45.5,77.4,18.2,0.0,0.0,0
2016-07-10,64.9,46.6,75.9,18.2,0.0,0.0,0
2016-07-11,62.6,46.4,74.3,18.2,0.0,0.0,0
2016-07-12,61.0,40.5,74.5,18.2,0.0,0.0,0
2016-07-13,62.8,44.6,77.2,18.2,0.0,0.0,0
2016-07-14,59.2,43.2,77.4,18.2,0.0,0.0,0
2016-07-15,61.3,42.8,76.3,18.2,0.0,0.0,0
2016-07-16,63.1,46.0,76.6,18.2,0.0,0.0,0
2016-07-17,61.7,44.2,78.4,18.2,0.0,0.0,0
2016-07-18,61.5,45.3,78.8,18.2,0.0,0.0,0
2016-07-19,63.1,51.4,75.2,18.2,0.0,0.0,0
2016-07-20,63.7,49.5,77.4,18.2,0.0,0.0,0
2016-07-21,63.0,45.3,78.6,18.2,0.0,0.0,0
2016-07-22,62.8,48.0,79.7,18.2,0.0,0.0,0
2016-07-23,57.6,46.2,79.5,18.2,0.0,0.0,0
2016-07-24,58.5,45.5,74.8,18.2,0.0,0.0,0
2016-07-25,59.7,45.7,78.6,18.2,0.0,0.0,0
2016-07-26,54.9,44.1,76.3,18.2,0.0,0.0,0
2016-07-27,59.2,43.0,77.4,18.2,0.0,0.0,0
2016-07-28,64.2,49.6,79.2,18.2,0.0,0.0,0
2016-07-29,59.0,43.7,75.2,18.2,0.0,0.0,0
2016-07-30,59.5,45.9,78.3,18.2,0.0,0.0,0
2016-07-31,63.7,55.0,77.5,18.2,0.0,0.0,0
2016-08-01,60.4,49.8,71.2,18.2,0.0,0.0,0
2016-08-02,58.5,45.3,72.9,18.2,0.0,0.0,0
2016-08-03,56.5,46.2,77.5,18.2,0.0,0.0,0
2016-08-04,52.7,46.0,64.9,18.2,0.0,0.0,0
2016-08-05,51.8,42.8,60.1,18.2,0.0,0.0,0
2016-08-06,54.7,46.8,69.4,18.2,0.0,0.0,0
2016-08-07,55.9,44.4,70.2,18.2,0.1,0.0,0
2016-08-08,57.2,44.8,73.2,18.3,0.0,0.0,0
2016-08-09,58.3,42.1,74.1,18.3,0.0,0.0,0
2016-08-10,57.2,47.3,72.7,18.3,0.0,0.0,0
2016-08-11,59.5,47.3,74.7,18.3,0.0,0.0,0
2016-08-12,55.8,42.4,70.5,18.3,0.0,0.0,0
2016-08-13,53.1,41.9,66.9,18.3,0.0,0.0,0
2016-08-14,54.0,42.6,70.0,18.3,0.0,0.0,0
2016-08-15,55.4,39.2,73.2,18.3,0.0,0.0,0
2016-08-16,51.3,40.8,72.0,18.3,0.0,0.0,0
2016-08-17,49.5,40.3,65.7,18.3,0.0,0.0,0
2016-08-18,52.7,40.3,66.2,18.3,0.0,0.0,0
2016-08-19,51.1,41.9,64.0,18.3,0.0,0.0,0
2016-08-20,51.3,39.4,68.5,18.3,0.1,0.0,0
2016-08-21,53.6,39.4,68.4,18.4,0.1,0.0,0
2016-08-22,52.2,42.6,67.5,18.5,0.0,0.0,0
2016-08-23,52.7,41.2,66.6,18.5,0.0,0.0,0
2016-08-24,44.1,37.0,51.1,18.5,0.0,0.0,0
2016-08-25,45.3,34.9,59.4,18.5,0.0,0.0,0
2016-08-26,47.7,37.4,60.6,18.5,0.0,0.0,0
2016-08-27,49.5,36.1,63.3,18.5,0.0,0.0,0
2016-08-28,52.0,38.3,66.9,18.5,0.1,0.0,0
2016-08-29,47.1,39.4,58.6,18.6,0.0,0.0,0
2016-08-30,49.5,38.1,61.9,18.6,0.0,0.0,0
2016-08-31,51.3,38.8,64.4,18.6,0.1,0.0,0
2016-09-01,53.2,41.2,69.4,18.7,0.1,0.0,0
2016-09-02,54.9,46.6,66.9,18.8,0.0,0.0,0
2016-09-03,54.1,43.2,66.6,18.8,0.1,0.0,0
2016-09-04,56.7,46.8,63.9,18.9,0.0,0.0,0
2016-09-05,59.2,50.4,67.5,18.9,0.0,0.0,0
2016-09-06,59.2,52.9,68.5,18.9,0.0,0.0,0
2016-09-07,55.0,43.0,64.2,18.9,0.0,0.0,0
2016-09-08,53.4,37.9,70.5,18.9,0.0,0.0,0
2016-09-09,52.7,36.5,70.0,18.9,0.0,0.0,0
2016-09-10,51.8,34.2,66.4,18.9,0.0,0.0,0
2016-09-11,57.0,48.4,69.6,18.9,0.0,0.0,0
2016-09-12,52.5,42.4,66.9,18.9,0.0,0.0,0
2016-09-13,47.5,39.0,62.1,18.9,0.0,0.0,0
2016-09-14,48.2,40.5,58.5,18.9,0.1,0.0,0
2016-09-15,49.3,35.6,61.7,19.0,0.0,0.0,0
2016-09-16,44.6,31.3,61.2,19.0,0.0,0.0,0
2016-09-17,45.9,30.7,62.2,19.0,0.0,0.0,0
2016-09-18,53.2,36.0,68.5,19.0,0.0,0.0,0
2016-09-19,53.6,36.1,72.0,19.0,0.1,0.0,0
2016-09-20,55.2,41.9,73.4,19.1,0.0,0.0,0
2016-09-21,50.4,44.4,60.6,19.1,0.0,0.0,0
2016-09-22,55.8,48.0,65.3,19.1,0.0,0.0,0
2016-09-23,46.0,30.7,60.4,19.1,0.0,0.0,0
2016-09-24,39.0,30.2,53.1,19.1,0.0,0.0,0
2016-09-25,38.5,28.4,53.4,19.1,0.0,0.0,0
2016-09-26,43.7,28.8,64.0,19.1,0.0,0.0,0
2016-09-27,47.5,31.6,66.2,19.1,0.1,0.0,0
2016-09-28,49.5,36.7,65.3,19.2,0.0,0.0,0
2016-09-29,52.0,36.0,65.7,19.2,0.1,0.0,0
2016-09-30,51.3,41.7,64.0,19.3,0.1,0.0,0
