Date,Mineral Creek (629) Air Temperature Average (degF),Mineral Creek (629) Air Temperature Minimum (degF),Mineral Creek (629) Air Temperature Maximum (degF),Mineral Creek (629) Precipitation Accumulation (in) Start of Day Values,Mineral Creek (629) Precipitation Increment (in),Mineral Creek (629) Snow Water Equivalent (in) Start of Day Values,Mineral Creek (629) Snow Depth (in) Start of Day Values
2016-06-16,48.6,30.4,67.8,21.6,0.0,0.0,0
2016-06-17,51.4,31.5,73.0,21.6,0.0,0.0,0
2016-06-18,54.3,30.9,78.3,21.6,0.1,0.0,0
2016-06-19,57.6,35.2,78.8,21.7,0.0,0.0,0
2016-06-20,60.4,40.8,81.9,21.7,0.0,0.0,0
2016-06-21,57.2,41.7,79.5,21.7,0.0,0.0,0
2016-06-22,51.3,40.1,73.8,21.7,0.0,0.0,0
2016-06-23,55.6,43.0,71.4,21.7,0.0,0.0,0
2016-06-24,53.2,39.9,70.0,21.7,0.0,0.0,0
2016-06-25,54.0,38.8,71.2,21.7,0.0,0.0,0
2016-06-26,55.2,36.3,74.7,21.7,0.0,0.0,0
2016-06-27,56.7,37.2,74.7,21.7,0.0,0.0,0
2016-06-28,51.6,39.4,71.8,21.7,0.0,0.0,0
2016-06-29,49.3,36.3,71.2,21.7,0.0,0.0,0
2016-06-30,47.7,41.2,61.5,21.7,0.1,0.0,0
2016-07-01,47.5,44.6,51.6,21.8,0.7,0.0,0
2016-07-02,48.0,43.7,57.2,22.5,0.1,0.0,0
2016-07-03,50.0,39.6,62.1,22.6,0.1,0.0,0
2016-07-04,48.4,35.2,68.2,22.7,0.1,0.0,0
2016-07-05,53.2,38.7,70.0,22.8,0.1,0.0,0
2016-07-06,53.2,36.5,71.6,22.9,0.0,0.0,0
2016-07-07,53.8,38.8,71.1,22.9,0.0,0.0,0
2016-07-08,53.2,35.1,72.0,22.9,0.0,0.0,0
2016-07-09,55.4,36.9,74.8,22.9,0.0,0.0,0
2016-07-10,57.6,40.3,72.9,22.9,0.0,0.0,0
2016-07-11,52.9,37.8,70.0,22.9,0.0,0.0,0
2016-07-12,52.0,34.0,71.4,22.9,0.0,0.0,0
2016-07-13,54.1,,73.4,22.9,0.0,0.0,0
2016-07-14,54.7,35.2,76.1,22.9,0.0,0.0,0
2016-07-15,55.0,36.1,75.2,22.9,0.0,0.0,0
2016-07-16,55.4,35.8,74.7,22.9,0.0,0.0,0
2016-07-17,55.2,38.1,75.2,22.9,0.0,0.0,0
2016-07-18,56.8,44.1,73.0,22.9,0.1,0.0,0
2016-07-19,52.5,41.7,66.6,23.0,0.2,0.0,0
2016-07-20,51.8,40.8,71.1,23.2,0.2,0.0,0
2016-07-21,54.9,41.0,70.9,23.4,0.0,0.0,0
2016-07-22,54.3,42.6,68.9,23.4,0.0,0.0,0
2016-07-23,57.0,40.3,76.8,23.4,0.0,0.0,0
2016-07-24,52.9,41.0,72.9,23.4,0.0,0.0,0
2016-07-25,54.7,38.8,73.8,23.4,0.0,0.0,0
2016-07-26,54.1,42.1,68.4,23.4,0.0,0.0,0
2016-07-27,55.9,37.8,75.2,23.4,0.0,0.0,0
2016-07-28,57.2,39.2,78.4,23.4,0.0,0.0,0
2016-07-29,57.2,39.6,76.3,23.4,0.0,0.0,0
2016-07-30,53.2,43.5,72.7,23.4,0.1,0.0,0
2016-07-31,52.2,43.2,70.5,23.5,0.4,0.0,0
2016-08-01,55.4,43.9,71.2,23.9,0.0,0.0,0
2016-08-02,55.8,43.7,75.9,23.9,0.0,0.0,0
2016-08-03,52.5,42.1,66.2,23.9,0.4,0.0,0
2016-08-04,51.3,44.8,58.5,24.3,0.2,0.0,0
2016-08-05,49.8,46.0,53.8,24.5,0.6,0.0,0
2016-08-06,48.9,41.0,59.2,25.1,0.3,0.0,0
2016-08-07,51.3,39.2,69.8,25.4,0.0,0.0,0
2016-08-08,48.9,39.9,68.0,25.4,0.4,0.0,0
2016-08-09,50.9,38.3,66.6,25.8,0.0,0.0,0
2016-08-10,48.6,40.1,64.2,25.8,0.6,0.0,0
2016-08-11,50.2,38.3,66.0,26.4,0.0,0.0,0
2016-08-12,49.3,34.3,66.4,26.4,0.0,0.0,0
2016-08-13,49.5,34.5,68.0,26.4,0.0,0.0,0
2016-08-14,49.3,32.2,69.6,26.4,0.0,0.0,0
2016-08-15,50.0,33.4,72.7,26.4,0.0,0.0,0
2016-08-16,46.6,38.8,63.9,26.4,0.1,0.0,0
2016-08-17,46.0,36.3,62.1,26.5,0.1,0.0,0
2016-08-18,44.2,34.7,59.7,26.6,0.0,0.0,0
2016-08-19,46.2,33.1,62.6,26.6,0.0,0.0,0
2016-08-20,49.5,34.3,67.6,26.6,0.0,0.0,0
2016-08-21,48.2,34.5,66.6,26.6,0.0,0.0,0
2016-08-22,43.9,37.2,59.9,26.6,0.8,0.0,0
2016-08-23,40.6,36.3,52.9,27.4,0.9,0.0,0
2016-08-24,45.3,35.2,57.9,28.3,0.0,0.0,0
2016-08-25,41.4,31.8,56.7,28.3,0.4,0.0,0
2016-08-26,43.0,33.4,55.0,28.7,0.0,0.0,0
2016-08-27,41.7,34.0,52.0,28.7,0.1,0.0,0
2016-08-28,42.1,33.8,60.8,28.8,0.3,0.0,0
2016-08-29,43.2,33.1,59.4,29.1,0.1,0.0,0
2016-08-30,44.8,32.5,62.1,29.2,0.1,0.0,0
2016-08-31,47.5,34.7,65.1,29.3,0.1,0.0,0
2016-09-01,50.0,38.1,66.0,29.4,0.1,0.0,0
2016-09-02,50.2,43.9,64.8,29.5,0.0,0.0,0
2016-09-03,47.3,40.6,60.8,29.5,0.2,0.0,0
2016-09-04,48.6,36.0,60.8,29.7,0.1,0.0,0
2016-09-05,47.8,33.1,64.2,29.8,0.2,0.0,0
2016-09-06,48.0,37.9,60.1,30.0,0.0,0.0,0
2016-09-07,47.5,33.4,64.2,30.0,0.0,0.0,0
2016-09-08,46.4,29.8,66.9,30.0,0.0,0.0,0
2016-09-09,48.0,34.5,66.0,30.0,0.0,0.0,0
2016-09-10,46.8,30.2,68.0,30.0,0.0,0.0,0
2016-09-11,46.0,32.4,63.9,30.0,0.0,0.0,0
2016-09-12,41.7,31.3,59.9,30.0,0.0,0.0,0
2016-09-13,41.2,30.9,54.9,30.0,0.1,0.0,0
2016-09-14,43.0,34.5,55.2,30.1,0.2,0.0,0
2016-09-15,40.3,27.5,59.5,30.3,0.1,0.0,0
2016-09-16,39.9,24.6,60.1,30.4,0.1,0.0,0
2016-09-17,40.6,26.6,60.1,30.5,0.0,0.0,0
2016-09-18,43.9,26.4,66.4,30.5,0.0,0.0,0
2016-09-19,47.5,30.7,70.0,30.5,0.0,0.0,0
2016-09-20,44.1,35.6,60.6,30.5,0.1,0.0,0
2016-09-21,45.9,39.9,51.4,30.6,0.2,0.0,0
2016-09-22,49.1,44.1,55.6,30.8,0.2,0.0,0
2016-09-23,33.8,22.1,48.0,31.0,0.9,0.0,0
2016-09-24,31.5,23.5,37.8,31.9,0.1,0.0,0
2016-09-25,38.3,25.2,55.8,32.0,0.0,0.0,0
2016-09-26,42.1,27.3,62.2,32.0,0.0,0.0,0
2016-09-27,44.4,30.0,63.9,32.0,0.0,0.0,0
2016-09-28,46.2,30.7,64.2,32.0,0.1,0.0,0
2016-09-29,43.5,40.1,50.9,32.1,0.0,0.0,0
2016-09-30,42.3,32.2,54.1,32.1,0.0,0.0,0
