Date,Crosho (426) Air Temperature Average (degF),Crosho (426) Air Temperature Minimum (degF),Crosho (426) Air Temperature Maximum (degF),Crosho (426) Precipitation Accumulation (in) Start of Day Values,Crosho (426) Precipitation Increment (in),Crosho (426) Snow Water Equivalent (in) Start of Day Values,Crosho (426) Snow Depth (in) Start of Day Values
2015-11-02,46.4,29.7,59.0,1.5,0.1,0.1,1
2015-11-03,45.0,30.6,53.2,1.6,0.0,0.1,1
2015-11-04,31.8,25.7,40.1,1.6,0.0,0.0,0
2015-11-05,22.6,19.4,30.6,1.6,0.0,0.3,1
2015-11-06,20.8,11.3,27.5,1.6,0.3,0.4,1
2015-11-07,19.9,5.9,36.7,1.9,0.1,0.7,6
2015-11-08,24.8,12.6,42.6,2.0,0.0,0.7,5
2015-11-09,31.8,14.4,47.3,2.0,0.2,0.7,4
2015-11-10,35.2,26.2,44.1,2.2,0.0,0.8,3
2015-11-11,20.1,11.3,28.8,2.2,0.3,0.9,3
2015-11-12,19.8,9.7,32.5,2.5,0.0,1.1,8
2015-11-13,21.7,8.1,40.1,2.5,0.1,1.1,7
2015-11-14,27.0,14.9,47.1,2.6,0.0,1.2,7
2015-11-15,28.4,15.6,46.4,2.6,0.1,1.2,6
2015-11-16,26.6,22.6,31.3,2.7,0.2,1.3,5
2015-11-17,21.2,17.8,25.3,2.9,0.1,1.8,14
2015-11-18,25.5,20.8,33.1,3.0,0.1,1.8,12
2015-11-19,30.4,20.8,37.4,3.1,0.1,1.9,11
2015-11-20,24.4,7.7,34.5,3.2,0.1,1.9,10
2015-11-21,14.0,-3.6,31.6,3.3,0.2,2.0,12
2015-11-22,25.0,12.9,40.3,3.5,0.0,2.0,11
2015-11-23,26.6,13.6,46.0,3.5,0.0,2.0,10
2015-11-24,31.5,21.0,46.6,3.5,0.1,2.0,10
2015-11-25,35.2,23.2,45.3,3.6,0.0,2.1,10
2015-11-26,22.5,12.2,34.0,3.6,0.0,2.1,9
2015-11-27,21.4,9.9,34.7,3.6,0.0,2.1,10
2015-11-28,15.3,5.0,28.2,3.6,0.1,2.3,12
2015-11-29,11.8,3.0,23.9,3.7,0.0,2.3,12
2015-11-30,5.2,-3.3,15.4,3.7,0.1,2.3,12
2015-12-01,6.1,-3.5,21.2,3.8,0.0,2.4,14
2015-12-02,14.9,0.3,34.7,3.8,0.2,2.4,13
2015-12-03,23.2,12.9,38.3,4.0,0.0,2.4,13
2015-12-04,30.6,16.3,47.8,4.0,0.1,2.4,13
2015-12-05,19.8,4.5,30.6,4.1,0.0,2.5,12
2015-12-06,23.7,3.4,44.8,4.1,0.0,2.5,14
2015-12-07,32.9,23.2,41.2,4.1,0.0,2.5,13
2015-12-08,33.8,26.2,43.0,4.1,0.0,2.5,12
2015-12-09,34.9,22.1,48.0,4.1,0.1,2.5,12
2015-12-10,38.1,26.8,47.3,4.2,0.0,2.6,12
2015-12-11,23.9,21.0,30.7,4.2,0.3,2.6,12
2015-12-12,19.8,7.5,24.6,4.5,0.2,3.3,26
2015-12-13,14.0,0.3,31.8,4.7,0.1,3.4,24
2015-12-14,20.7,11.8,32.7,4.8,0.4,3.4,21
2015-12-15,12.6,7.3,19.0,5.2,0.3,4.0,26
2015-12-16,8.8,3.0,16.9,5.5,0.1,4.2,27
2015-12-17,6.8,-2.0,14.7,5.6,0.2,4.3,26
2015-12-18,16.9,5.9,32.7,5.8,0.1,4.5,27
2015-12-19,30.6,11.7,43.5,5.9,0.2,4.5,25
2015-12-20,27.7,20.1,36.7,6.1,0.0,4.6,23
2015-12-21,24.3,18.9,30.9,6.1,0.0,4.6,23
2015-12-22,24.4,16.9,30.9,6.1,0.5,4.6,21
2015-12-23,14.2,7.0,26.4,6.6,0.4,5.1,29
2015-12-24,7.5,-1.7,17.6,7.0,0.2,5.5,34
2015-12-25,12.9,2.8,19.9,7.2,0.2,5.5,31
2015-12-26,2.8,-7.2,15.6,7.4,0.1,5.8,31
2015-12-27,5.4,-8.3,24.3,7.5,0.1,5.8,30
2015-12-28,9.9,-1.8,28.4,7.6,0.1,5.8,29
2015-12-29,9.9,0.7,20.1,7.7,0.0,5.9,28
2015-12-30,3.4,-4.7,12.6,7.7,0.0,6.0,29
2015-12-31,-0.6,-9.4,16.7,7.7,0.0,6.0,30
2016-01-01,3.2,-10.7,27.0,7.7,0.1,6.0,29
2016-01-02,11.7,-1.8,30.0,7.8,0.1,6.0,28
2016-01-03,21.7,9.0,42.8,7.9,0.1,6.1,25
2016-01-04,25.0,15.6,44.2,8.0,0.0,6.1,27
2016-01-05,23.9,13.5,36.3,8.0,0.0,6.2,26
2016-01-06,24.1,13.6,35.8,8.0,0.0,6.2,26
2016-01-07,22.5,18.3,27.1,8.0,0.0,6.2,27
2016-01-08,18.3,13.8,28.8,8.0,0.0,6.5,29
2016-01-09,12.7,4.6,21.6,8.0,0.0,6.5,29
2016-01-10,7.5,-5.3,18.9,8.0,0.1,6.5,30
2016-01-11,4.5,-6.2,22.6,8.1,0.1,6.5,33
2016-01-12,14.7,0.7,30.9,8.2,0.1,6.5,31
2016-01-13,22.1,8.6,36.7,8.3,0.0,6.6,30
2016-01-14,21.2,15.1,27.9,8.3,0.1,6.6,28
2016-01-15,15.8,11.8,25.0,8.4,0.2,6.8,31
2016-01-16,15.6,8.6,25.7,8.6,0.4,7.2,36
2016-01-17,21.6,16.0,27.1,9.0,0.5,7.6,40
2016-01-18,24.6,15.8,38.1,9.5,0.1,8.0,42
2016-01-19,21.7,9.1,31.8,9.6,0.1,8.1,41
2016-01-20,19.6,12.4,29.1,9.7,0.1,8.1,40
2016-01-21,14.2,5.7,25.0,9.8,0.1,8.4,42
2016-01-22,20.1,5.5,38.5,9.9,0.2,8.4,41
2016-01-23,26.8,14.9,42.8,10.1,0.0,8.4,39
2016-01-24,23.5,16.2,32.5,10.1,0.0,8.4,37
2016-01-25,13.1,0.3,27.3,10.1,0.1,8.7,42
2016-01-26,8.4,-2.6,26.6,10.2,0.1,8.8,42
2016-01-27,16.2,3.0,33.4,10.3,0.1,8.8,40
2016-01-28,22.6,11.7,40.6,10.4,0.1,8.8,39
2016-01-29,29.1,20.7,36.9,10.5,0.1,8.8,37
2016-01-30,29.5,12.7,42.3,10.6,0.4,9.0,38
2016-01-31,14.7,7.9,21.6,11.0,0.3,9.6,45
2016-02-01,17.1,7.3,28.0,11.3,0.2,9.9,45
2016-02-02,8.8,1.0,19.8,11.5,0.2,10.0,47
2016-02-03,1.4,-8.7,11.8,11.7,0.0,10.1,46
2016-02-04,6.1,-9.2,22.1,11.7,0.2,10.1,45
2016-02-05,10.8,0.9,25.2,11.9,0.0,10.3,44
2016-02-06,15.3,0.1,34.5,11.9,0.0,10.3,43
2016-02-07,23.9,11.1,32.9,11.9,0.0,10.3,43
2016-02-08,26.2,12.0,40.1,11.9,0.0,10.3,41
2016-02-09,23.0,11.1,41.2,11.9,0.0,10.3,41
2016-02-10,28.8,13.6,47.3,11.9,0.1,10.3,41
2016-02-11,32.9,19.9,47.5,12.0,0.0,10.4,40
2016-02-12,32.7,22.1,49.3,12.0,0.0,10.4,39
2016-02-13,36.3,20.5,47.8,12.0,0.0,10.4,38
2016-02-14,26.4,18.3,34.3,12.0,0.0,10.5,38
2016-02-15,32.2,25.5,42.1,12.0,0.1,10.5,40
2016-02-16,33.1,23.4,43.2,12.1,0.0,10.5,39
2016-02-17,38.3,21.6,55.4,12.1,0.0,10.6,38
2016-02-18,35.6,20.1,46.6,12.1,0.0,10.6,37
2016-02-19,28.8,10.9,40.6,12.1,0.1,10.6,39
2016-02-20,30.2,16.0,45.9,12.2,0.0,10.6,37
2016-02-21,25.5,12.9,41.0,12.2,0.0,10.8,37
2016-02-22,21.7,16.0,30.4,12.2,0.0,10.8,37
2016-02-23,16.5,-0.2,30.7,12.2,0.0,10.8,38
2016-02-24,15.1,-0.4,32.7,12.2,0.1,10.9,39
2016-02-25,23.9,8.1,40.1,12.3,0.1,11.0,38
2016-02-26,28.2,15.1,44.4,12.4,0.0,11.0,38
2016-02-27,32.5,17.6,49.8,12.4,0.1,11.0,37
2016-02-28,30.0,19.8,41.9,12.5,0.0,11.1,36
2016-02-29,28.0,19.8,40.3,12.5,0.0,11.1,36
2016-03-01,29.5,15.1,41.9,12.5,0.0,11.1,37
2016-03-02,33.1,23.7,41.2,12.5,0.1,11.1,36
2016-03-03,33.3,19.4,46.6,12.6,0.0,11.2,38
2016-03-04,34.3,23.5,47.5,12.6,0.0,11.2,36
2016-03-05,37.0,22.1,54.9,12.6,0.1,11.2,36
2016-03-06,34.5,27.0,44.4,12.7,0.0,11.2,35
2016-03-07,25.9,19.9,30.7,12.7,0.0,11.3,36
2016-03-08,22.1,11.3,34.2,12.7,0.0,11.4,38
2016-03-09,21.7,10.4,33.8,12.7,0.0,11.5,38
2016-03-10,28.2,12.7,43.5,12.7,0.1,11.5,38
2016-03-11,36.9,21.6,54.3,12.8,0.2,11.7,37
2016-03-12,37.8,29.5,48.6,13.0,0.0,11.7,36
2016-03-13,36.1,25.9,47.5,13.0,0.0,11.5,35
2016-03-14,28.8,16.7,38.7,13.0,0.5,11.3,35
2016-03-15,19.0,13.3,27.3,13.5,0.4,11.8,44
2016-03-16,20.3,11.8,28.8,13.9,0.1,12.2,46
2016-03-17,23.4,15.6,34.7,14.0,0.3,12.3,43
2016-03-18,16.0,5.5,28.8,14.3,0.0,12.7,47
2016-03-19,18.0,6.4,31.8,14.3,0.0,12.7,45
2016-03-20,27.5,5.0,44.1,14.3,0.0,12.7,42
2016-03-21,45.7,36.9,53.1,14.3,0.0,12.7,40
2016-03-22,36.0,21.4,46.4,14.3,0.0,12.6,38
2016-03-23,21.9,18.3,27.7,14.3,0.2,12.6,40
2016-03-24,26.6,17.6,36.3,14.5,0.2,13.1,43
2016-03-25,20.1,6.6,30.2,14.7,0.4,13.2,41
2016-03-26,16.2,1.6,34.2,15.1,0.1,13.8,47
2016-03-27,22.5,1.4,40.1,15.2,0.1,13.9,44
2016-03-28,36.5,19.9,47.8,15.3,0.0,13.9,42
2016-03-29,32.2,14.7,47.3,15.3,0.1,13.7,41
2016-03-30,20.7,11.3,29.5,15.4,0.3,13.9,43
2016-03-31,21.9,10.2,35.8,15.7,0.1,14.3,44
2016-04-01,23.2,8.2,36.3,15.8,0.1,14.4,42
2016-04-02,28.8,11.8,44.4,15.9,0.0,14.5,42
2016-04-03,37.8,23.9,50.4,15.9,0.0,14.1,40
2016-04-04,42.6,28.0,54.3,15.9,0.0,13.9,39
2016-04-05,30.0,21.7,43.7,15.9,0.1,13.4,38
2016-04-06,37.8,23.5,48.0,16.0,0.0,13.6,41
2016-04-07,38.3,27.1,54.9,16.0,0.0,13.4,37
2016-04-08,43.0,26.4,56.8,16.0,0.0,12.8,35
2016-04-09,40.1,32.0,50.9,16.0,0.0,12.2,35
2016-04-10,40.1,30.4,51.1,16.0,0.0,11.8,34
2016-04-11,37.2,30.4,49.1,16.0,0.0,11.4,32
2016-04-12,37.9,29.1,50.4,16.0,0.1,11.2,31
2016-04-13,40.3,27.9,53.4,16.1,0.0,11.0,31
2016-04-14,40.5,27.0,55.0,16.1,0.0,10.5,29
2016-04-15,28.2,24.3,36.5,16.1,0.2,9.7,26
2016-04-16,25.3,22.5,29.5,16.3,0.2,10.6,34
2016-04-17,25.2,17.6,37.0,16.5,0.2,10.8,36
2016-04-18,27.0,16.2,39.6,16.7,0.1,11.0,35
2016-04-19,27.9,14.4,37.2,16.8,0.0,11.0,32
2016-04-20,35.1,25.5,46.6,16.8,0.1,11.1,33
2016-04-21,40.6,27.5,57.6,16.9,0.0,11.0,31
2016-04-22,45.9,29.7,63.3,16.9,0.0,10.5,27
2016-04-23,43.7,29.1,55.9,16.9,0.0,9.5,23
2016-04-24,35.6,28.0,45.7,16.9,0.1,8.8,23
2016-04-25,37.9,27.5,52.0,17.0,0.0,8.9,22
2016-04-26,28.8,24.6,34.3,17.0,0.0,8.1,22
2016-04-27,30.4,23.4,42.4,17.0,0.1,8.3,24
2016-04-28,31.5,25.3,41.7,17.1,0.1,8.4,22
2016-04-29,30.7,26.2,38.8,17.2,0.2,8.6,22
2016-04-30,28.0,23.5,36.0,17.4,0.1,8.8,25
2016-05-01,32.4,22.3,44.4,17.5,0.2,9.0,25
2016-05-02,36.9,25.2,49.1,17.7,0.0,9.0,23
2016-05-03,40.8,27.1,55.8,17.7,0.0,8.5,21
2016-05-04,45.7,29.1,64.4,17.7,0.0,7.6,18
2016-05-05,48.6,33.3,66.6,17.7,0.0,6.5,16
2016-05-06,46.2,35.1,64.2,17.7,0.1,5.6,14
2016-05-07,34.0,30.0,43.0,17.8,0.0,4.8,12
2016-05-08,33.4,29.8,41.9,17.8,0.1,4.8,12
2016-05-09,38.7,30.0,49.5,17.9,0.1,5.1,15
2016-05-10,34.9,26.8,44.1,18.0,0.3,4.8,12
2016-05-11,32.7,20.5,43.9,18.3,0.1,4.1,10
2016-05-12,42.1,24.6,55.9,18.4,0.1,3.7,9
2016-05-13,52.0,36.7,63.0,18.5,0.1,2.6,6
2016-05-14,49.5,34.3,66.0,18.6,0.1,1.2,3
2016-05-15,43.9,32.2,55.0,18.7,0.0,0.0,0
2016-05-16,34.9,30.9,40.6,18.7,0.3,0.0,0
2016-05-17,37.0,30.4,49.6,19.0,0.2,0.0,0
2016-05-18,38.8,29.7,52.9,19.2,0.1,0.0,0
2016-05-19,45.3,31.5,55.8,19.3,0.3,0.0,0
2016-05-20,51.8,39.6,61.7,19.6,0.1,0.0,0
2016-05-21,53.2,37.2,63.5,19.7,0.3,0.0,0
2016-05-22,41.4,29.3,56.1,20.0,0.0,0.0,0
2016-05-23,40.1,27.0,53.6,20.0,0.0,0.0,0
2016-05-24,46.6,30.0,59.9,20.0,0.1,0.0,0
2016-05-25,43.5,31.6,55.4,20.1,0.0,0.0,0
2016-05-26,40.3,29.5,55.9,20.1,0.1,0.0,0
2016-05-27,37.2,30.0,48.9,20.2,0.0,0.0,0
2016-05-28,41.2,29.5,56.5,20.2,0.0,0.0,0
2016-05-29,44.8,31.6,59.7,20.2,0.0,0.0,0
2016-05-30,47.3,33.3,61.5,20.2,0.3,0.0,0
2016-05-31,47.3,33.8,61.7,20.5,0.1,0.0,0
2016-06-01,48.0,32.5,63.3,20.6,0.0,0.0,0
2016-06-02,54.3,35.6,69.4,20.6,0.3,0.0,0
2016-06-03,56.8,43.9,66.9,20.9,0.2,0.0,0
2016-06-04,56.8,41.7,71.4,21.1,0.0,0.0,0
2016-06-05,58.3,41.4,74.3,21.1,0.0,0.0,0
2016-06-06,55.4,41.9,71.8,21.1,0.0,0.0,0
2016-06-07,53.1,38.3,74.5,21.1,0.0,0.0,0
2016-06-08,52.5,41.7,67.3,21.1,0.0,0.0,0
2016-06-09,55.0,41.2,71.8,21.1,0.0,0.0,0
2016-06-10,61.3,46.8,76.6,21.1,0.2,0.0,0
2016-06-11,58.5,45.0,74.8,21.3,0.0,0.0,0
2016-06-12,55.0,41.7,70.2,21.3,0.0,0.0,0
2016-06-13,51.1,41.4,62.6,21.3,0.0,0.0,0
2016-06-14,51.8,35.6,63.3,21.3,0.0,0.0,0
2016-06-15,61.0,41.0,70.9,21.3,0.0,0.0,0
2016-06-16,57.6,40.8,69.8,21.3,0.0,0.0,0
2016-06-17,59.4,40.8,75.2,21.3,0.0,0.0,0
2016-06-18,60.1,41.2,78.6,21.3,0.1,0.0,0
2016-06-19,63.1,47.5,76.8,21.4,0.0,0.0,0
2016-06-20,64.0,47.3,81.7,21.4,0.0,0.0,0
2016-06-21,66.6,48.9,82.2,21.4,0.0,0.0,0
2016-06-22,59.4,46.8,79.2,21.4,0.0,0.0,0
2016-06-23,55.2,45.5,69.8,21.4,0.0,0.0,0
2016-06-24,62.6,46.6,76.3,21.4,0.0,0.0,0
2016-06-25,55.8,41.9,69.1,21.4,0.0,0.0,0
2016-06-26,55.6,37.0,73.9,21.4,0.0,0.0,0
2016-06-27,58.8,41.7,76.8,21.4,0.0,0.0,0
2016-06-28,61.0,44.1,77.7,21.4,0.0,0.0,0
2016-06-29,59.0,46.2,73.6,21.4,0.0,0.0,0
2016-06-30,53.8,45.9,64.2,21.4,0.0,0.0,0
2016-07-01,52.5,47.8,61.9,21.4,0.0,0.0,0
2016-07-02,52.5,46.4,62.8,21.4,0.0,0.0,0
2016-07-03,55.4,43.7,68.4,21.4,0.0,0.0,0
2016-07-04,59.0,44.4,69.6,21.4,0.0,0.0,0
2016-07-05,61.5,45.3,72.7,21.4,0.1,0.0,0
2016-07-06,64.9,53.1,73.2,21.5,0.0,0.0,0
2016-07-07,59.0,47.8,72.7,21.5,0.0,0.0,0
2016-07-08,61.3,42.6,75.6,21.5,0.0,0.0,0
2016-07-09,64.2,52.5,75.6,21.5,0.0,0.0,0
2016-07-10,63.5,49.1,77.0,21.5,0.0,0.0,0
2016-07-11,51.6,39.2,65.1,21.5,0.0,0.0,0
2016-07-12,57.6,35.6,72.7,21.5,0.0,0.0,0
2016-07-13,59.7,40.5,74.7,21.5,0.0,0.0,0
2016-07-14,61.2,40.8,74.8,21.5,0.0,0.0,0
2016-07-15,62.1,50.0,73.0,21.5,0.0,0.0,0
2016-07-16,63.0,48.2,77.7,21.5,0.1,0.0,0
2016-07-17,63.1,46.6,77.7,21.6,0.0,0.0,0
2016-07-18,58.6,49.8,68.0,21.6,0.0,0.0,0
2016-07-19,57.6,49.8,68.2,21.6,0.0,0.0,0
2016-07-20,56.7,46.0,69.6,21.6,0.0,0.0,0
2016-07-21,54.9,45.3,71.2,21.6,0.0,0.0,0
2016-07-22,59.9,45.3,77.4,21.6,0.0,0.0,0
2016-07-23,62.6,46.8,76.5,21.6,0.0,0.0,0
2016-07-24,58.6,46.4,77.7,21.6,0.0,0.0,0
2016-07-25,61.5,45.5,77.4,21.6,0.0,0.0,0
2016-07-26,59.2,46.8,77.9,21.6,0.0,0.0,0
2016-07-27,61.3,44.6,79.5,21.6,0.0,0.0,0
2016-07-28,67.6,57.7,81.0,21.6,0.0,0.0,0
2016-07-29,64.4,50.2,77.7,21.6,0.0,0.0,0
2016-07-30,65.8,51.4,81.3,21.6,0.0,0.0,0
2016-07-31,55.6,45.7,70.9,21.6,0.0,0.0,0
2016-08-01,59.4,42.8,76.3,21.6,0.0,0.0,0
2016-08-02,55.0,46.4,75.9,21.6,0.0,0.0,0
2016-08-03,57.4,45.7,78.3,21.6,0.0,0.0,0
2016-08-04,53.6,48.4,59.9,21.6,0.0,0.0,0
2016-08-05,54.1,46.4,65.1,21.6,0.0,0.0,0
2016-08-06,52.2,43.9,63.7,21.6,0.0,0.0,0
2016-08-07,57.6,42.4,71.6,21.6,0.0,0.0,0
2016-08-08,55.6,47.5,70.7,21.6,0.0,0.0,0
2016-08-09,63.1,49.3,75.9,21.6,0.0,0.0,0
2016-08-10,59.7,49.1,69.1,21.6,0.0,0.0,0
2016-08-11,51.6,38.3,70.0,21.6,0.0,0.0,0
2016-08-12,52.9,38.3,68.0,21.6,0.0,0.0,0
2016-08-13,53.2,38.3,71.8,21.6,0.0,0.0,0
2016-08-14,58.3,38.8,75.2,21.6,0.0,0.0,0
2016-08-15,58.8,44.1,73.9,21.6,0.0,0.0,0
2016-08-16,57.6,45.0,71.8,21.6,0.0,0.0,0
2016-08-17,55.2,42.3,71.4,21.6,0.0,0.0,0
2016-08-18,53.4,40.8,66.2,21.6,0.0,0.0,0
2016-08-19,53.4,38.1,70.9,21.6,0.0,0.0,0
2016-08-20,51.3,37.9,67.6,21.6,0.0,0.0,0
2016-08-21,55.9,36.7,75.7,21.6,0.0,0.0,0
2016-08-22,52.9,39.6,71.6,21.6,0.0,0.0,0
2016-08-23,43.5,,66.4,21.6,0.0,0.0,0
2016-08-24,51.8,39.0,65.1,21.6,0.1,0.0,0
2016-08-25,50.2,37.2,63.9,21.7,0.0,0.0,0
2016-08-26,47.5,34.9,61.7,21.7,0.0,0.0,0
2016-08-27,51.6,36.3,67.5,21.7,0.0,0.0,0
2016-08-28,51.4,39.2,66.2,21.7,0.0,0.0,0
2016-08-29,52.7,39.6,67.3,21.7,0.0,0.0,0
2016-08-30,54.0,38.8,71.2,21.7,0.0,0.0,0
2016-08-31,55.9,40.3,74.3,21.7,0.0,0.0,0
2016-09-01,56.8,44.6,70.2,21.7,0.0,0.0,0
2016-09-02,54.9,45.7,68.7,21.7,0.0,0.0,0
2016-09-03,54.0,46.2,66.9,21.7,0.0,0.0,0
2016-09-04,56.5,41.9,68.0,21.7,0.0,0.0,0
2016-09-05,57.0,39.2,70.0,21.7,0.0,0.0,0
2016-09-06,54.1,38.7,69.6,21.7,0.1,0.0,0
2016-09-07,55.9,40.8,70.2,21.8,0.0,0.0,0
2016-09-08,55.8,38.8,73.6,21.8,0.0,0.0,0
2016-09-09,47.8,32.2,63.3,21.8,0.0,0.0,0
2016-09-10,53.1,30.0,71.1,21.8,0.0,0.0,0
2016-09-11,61.3,47.1,74.1,21.8,0.0,0.0,0
2016-09-12,56.7,40.8,68.2,21.8,0.0,0.0,0
2016-09-13,52.9,39.0,65.8,21.8,0.0,0.0,0
2016-09-14,48.4,34.3,64.0,21.8,0.0,0.0,0
2016-09-15,41.9,30.7,55.6,21.8,0.0,0.0,0
2016-09-16,42.4,28.2,58.8,21.8,0.0,0.0,0
2016-09-17,49.1,32.4,63.3,21.8,0.1,0.0,0
2016-09-18,55.9,37.9,70.3,21.9,0.0,0.0,0
2016-09-19,61.0,47.1,74.8,21.9,0.0,0.0,0
2016-09-20,58.8,45.7,70.5,21.9,0.0,0.0,0
2016-09-21,51.4,43.9,59.5,21.9,0.0,0.0,0
2016-09-22,59.0,45.5,71.6,21.9,0.0,0.0,0
2016-09-23,37.2,28.4,53.2,21.9,0.0,0.0,0
2016-09-24,35.1,28.8,46.2,21.9,0.0,0.0,0
2016-09-25,38.8,27.9,54.1,21.9,0.0,0.0,0
2016-09-26,43.9,28.8,63.3,21.9,0.1,0.0,0
2016-09-27,49.5,33.8,67.6,22.0,0.1,0.0,0
2016-09-28,52.5,35.2,71.1,22.1,0.1,0.0,0
2016-09-29,51.3,39.6,64.9,22.2,0.0,0.0,0
2016-09-30,45.5,36.3,57.2,22.2,0.0,0.0,0
