Date,Wager Gulch (1188) Air Temperature Average (degF),Wager Gulch (1188) Air Temperature Minimum (degF),Wager Gulch (1188) Air Temperature Maximum (degF),Wager Gulch (1188) Precipitation Accumulation (in) Start of Day Values,Wager Gulch (1188) Precipitation Increment (in),Wager Gulch (1188) Snow Water Equivalent (in) Start of Day Values,Wager Gulch (1188) Snow Depth (in) Start of Day Values
2015-11-07,19.8,1.6,40.6,3.9,0.0,0.9,6
2015-11-08,22.5,10.2,40.1,3.9,0.1,0.9,5
2015-11-09,27.0,8.4,41.7,4.0,0.0,1.0,5
2015-11-10,24.1,11.3,32.7,4.0,0.2,1.2,4
2015-11-11,15.1,7.2,25.9,4.2,0.1,1.4,8
2015-11-12,19.2,7.9,40.1,4.3,0.0,1.4,7
2015-11-13,22.5,10.4,41.2,4.3,0.0,1.4,7
2015-11-14,25.7,12.6,47.3,4.3,0.0,1.4,6
2015-11-15,26.8,16.7,39.0,4.3,0.1,1.4,5
2015-11-16,20.8,15.4,27.3,4.4,0.8,1.6,7
2015-11-17,15.3,6.3,21.9,5.2,0.1,2.3,14
2015-11-18,18.9,8.2,31.5,5.3,0.0,2.3,13
2015-11-19,26.6,15.3,38.5,5.3,0.0,2.3,12
2015-11-20,24.6,4.1,36.5,5.3,0.0,2.3,11
2015-11-21,16.9,2.8,37.4,5.3,0.0,2.3,11
2015-11-22,25.3,12.6,45.5,5.3,0.0,2.3,10
2015-11-23,25.3,14.5,46.0,5.3,0.0,2.3,10
2015-11-24,28.0,17.6,42.8,5.3,0.0,2.3,9
2015-11-25,29.7,25.9,34.7,5.3,0.0,2.4,9
2015-11-26,23.4,19.9,27.1,5.3,0.2,2.4,10
2015-11-27,21.6,17.2,25.3,5.5,0.4,2.5,12
2015-11-28,17.4,3.4,25.9,5.9,0.0,2.6,14
2015-11-29,13.8,6.4,20.8,5.9,0.2,2.6,12
2015-11-30,4.6,-6.3,15.1,6.1,0.0,2.6,12
2015-12-01,8.4,-2.0,24.1,6.1,0.0,2.6,13
2015-12-02,16.3,1.8,33.4,6.1,0.0,2.6,12
2015-12-03,23.0,12.7,41.2,6.1,0.0,2.6,11
2015-12-04,28.8,19.0,39.2,6.1,0.0,2.6,11
2015-12-05,17.1,2.7,26.6,6.1,0.0,2.6,11
2015-12-06,26.8,12.7,45.5,6.1,0.0,2.6,12
2015-12-07,30.0,17.4,46.8,6.1,0.0,2.7,11
2015-12-08,30.6,22.1,41.7,6.1,0.0,2.8,12
2015-12-09,35.8,22.3,49.3,6.1,0.0,2.8,11
2015-12-10,33.1,19.2,46.6,6.1,0.0,2.8,11
2015-12-11,26.4,20.1,32.2,6.1,0.2,2.8,11
2015-12-12,19.0,11.8,24.4,6.3,0.8,2.9,14
2015-12-13,18.3,3.7,36.3,7.1,0.0,3.7,25
2015-12-14,15.8,0.7,25.9,7.1,0.3,3.7,22
2015-12-15,4.6,-5.3,12.0,7.4,0.0,3.9,22
2015-12-16,2.5,-9.4,19.6,7.4,0.1,3.9,20
2015-12-17,7.5,1.2,18.0,7.5,0.1,3.9,20
2015-12-18,21.6,10.8,37.9,7.6,0.0,4.1,20
2015-12-19,30.2,21.9,38.5,7.6,0.0,4.1,19
2015-12-20,17.6,7.0,24.3,7.6,0.1,4.2,18
2015-12-21,18.3,6.8,27.7,7.7,0.1,4.2,19
2015-12-22,21.0,14.7,29.7,7.8,0.2,4.3,19
2015-12-23,9.9,-10.3,21.4,8.0,0.2,4.4,21
2015-12-24,7.9,-10.5,16.5,8.2,0.2,4.4,21
2015-12-25,8.4,-6.9,16.7,8.4,0.4,4.7,21
2015-12-26,-2.0,-11.6,8.1,8.8,0.0,5.0,24
2015-12-27,11.7,-1.7,30.0,8.8,0.0,5.0,24
2015-12-28,10.6,-2.7,24.8,8.8,0.1,5.0,22
2015-12-29,3.9,-5.4,21.4,8.9,0.0,5.0,22
2015-12-30,5.4,-2.7,17.4,8.9,0.0,5.0,22
2015-12-31,4.5,-5.6,17.6,8.9,0.0,5.0,22
2016-01-01,6.8,-5.1,28.8,8.9,0.0,5.0,22
2016-01-02,16.0,2.3,32.2,8.9,0.0,5.0,21
2016-01-03,21.0,10.2,37.9,8.9,0.0,5.1,22
2016-01-04,23.5,14.5,34.2,8.9,0.1,5.2,21
2016-01-05,18.3,8.8,32.5,9.0,0.0,5.2,22
2016-01-06,17.8,11.8,28.4,9.0,0.0,5.2,22
2016-01-07,13.6,4.6,23.5,9.0,0.0,5.2,20
2016-01-08,11.3,4.5,17.4,9.0,0.2,5.2,22
2016-01-09,4.1,-8.3,19.0,9.2,0.0,5.3,23
2016-01-10,-1.3,-10.7,19.0,9.2,0.0,5.3,24
2016-01-11,8.2,-3.8,26.6,9.2,0.0,5.3,24
2016-01-12,17.6,3.7,40.1,9.2,0.0,5.4,23
2016-01-13,21.6,10.8,40.1,9.2,0.0,5.4,23
2016-01-14,14.4,-0.8,26.4,9.2,0.0,5.4,23
2016-01-15,13.3,5.4,21.9,9.2,0.1,5.4,23
2016-01-16,14.0,4.6,22.1,9.3,0.1,5.5,23
2016-01-17,14.2,4.6,25.3,9.4,0.2,5.7,24
2016-01-18,22.1,12.4,35.6,9.6,0.0,5.8,26
2016-01-19,18.7,10.2,34.3,9.6,0.1,5.9,26
2016-01-20,13.6,-4.7,27.1,9.7,0.1,5.9,25
2016-01-21,9.5,-5.6,28.8,9.8,0.0,6.0,27
2016-01-22,24.6,11.7,44.2,9.8,0.0,6.1,27
2016-01-23,28.0,16.7,40.5,9.8,0.1,6.1,26
2016-01-24,18.7,6.3,27.1,9.9,0.1,6.2,26
2016-01-25,4.6,-6.3,18.0,10.0,0.0,6.2,26
2016-01-26,6.1,-8.3,23.4,10.0,0.0,6.2,27
2016-01-27,21.4,9.5,37.0,10.0,0.0,6.2,26
2016-01-28,25.3,12.9,45.0,10.0,0.0,6.3,26
2016-01-29,27.9,19.2,41.4,10.0,0.0,6.3,26
2016-01-30,29.5,24.1,37.4,10.0,0.3,6.3,26
2016-01-31,21.6,16.0,28.2,10.3,0.8,6.5,27
2016-02-01,11.3,-3.5,21.6,11.1,0.4,7.2,35
2016-02-02,-0.2,-11.0,7.2,11.5,0.0,7.5,37
2016-02-03,-6.7,-16.4,4.3,11.5,0.0,7.5,35
2016-02-04,5.4,-8.1,16.9,11.5,0.1,7.5,36
2016-02-05,5.2,-3.5,18.0,11.6,0.0,7.6,33
2016-02-06,15.6,1.8,35.8,11.6,0.0,7.6,33
2016-02-07,21.6,10.6,33.8,11.6,0.0,7.6,32
2016-02-08,23.0,12.6,38.5,11.6,0.0,7.6,32
2016-02-09,25.2,12.2,42.8,11.6,0.0,7.6,32
2016-02-10,28.0,16.3,44.2,11.6,0.0,7.6,31
2016-02-11,28.8,14.0,44.8,11.6,0.0,7.6,30
2016-02-12,32.2,20.3,48.4,11.6,0.0,7.6,30
2016-02-13,30.4,15.3,45.0,11.6,0.0,7.6,29
2016-02-14,23.0,12.0,33.8,11.6,0.0,7.6,29
2016-02-15,25.5,12.9,38.8,11.6,0.0,7.6,29
2016-02-16,27.9,14.0,42.4,11.6,0.0,7.6,29
2016-02-17,35.1,19.9,50.0,11.6,0.0,7.6,28
2016-02-18,33.1,25.9,38.7,11.6,0.1,7.6,28
2016-02-19,31.3,21.9,42.4,11.7,0.0,7.6,28
2016-02-20,28.8,14.7,45.3,11.7,0.0,7.5,28
2016-02-21,25.0,12.4,43.5,11.7,0.0,7.5,27
2016-02-22,17.4,6.3,28.4,11.7,0.0,7.5,27
2016-02-23,11.1,-0.2,19.2,11.7,0.2,7.5,26
2016-02-24,14.5,-2.6,32.9,11.9,0.0,7.6,30
2016-02-25,23.5,11.8,38.7,11.9,0.0,7.7,30
2016-02-26,28.8,16.3,46.4,11.9,0.0,7.7,29
2016-02-27,30.0,18.0,45.3,11.9,0.1,7.7,28
2016-02-28,27.9,17.1,44.8,12.0,0.0,7.8,27
2016-02-29,28.8,19.8,39.2,12.0,0.0,7.8,27
2016-03-01,28.4,17.6,42.1,12.0,0.0,7.8,27
2016-03-02,30.6,23.4,36.7,12.0,0.0,7.7,27
2016-03-03,31.8,14.2,48.0,12.0,0.0,7.6,26
2016-03-04,30.9,20.7,47.8,12.0,0.0,7.6,26
2016-03-05,33.1,22.1,43.7,12.0,0.0,7.5,26
2016-03-06,30.0,23.2,39.0,12.0,0.1,7.5,24
2016-03-07,18.3,5.4,30.9,12.1,0.0,7.6,26
2016-03-08,16.2,2.7,34.0,12.1,0.0,7.6,26
2016-03-09,18.7,4.3,33.3,12.1,0.0,7.7,26
2016-03-10,27.3,9.1,50.2,12.1,0.0,7.7,26
2016-03-11,36.5,19.9,53.1,12.1,0.1,7.7,24
2016-03-12,29.8,24.6,39.2,12.2,0.0,7.8,23
2016-03-13,28.8,16.3,40.1,12.2,0.0,7.7,24
2016-03-14,27.9,16.3,37.8,12.2,0.1,7.7,24
2016-03-15,18.9,10.0,30.0,12.3,0.2,7.8,26
2016-03-16,21.2,5.7,31.8,12.5,0.0,8.1,25
2016-03-17,27.1,15.1,39.9,12.5,0.0,8.3,26
2016-03-18,26.2,16.5,39.4,12.5,0.0,8.3,25
2016-03-19,23.5,11.8,35.2,12.5,0.0,8.3,24
2016-03-20,26.6,9.3,43.5,12.5,0.0,8.3,24
2016-03-21,37.2,21.7,48.2,12.5,0.0,8.2,24
2016-03-22,30.4,11.8,38.7,12.5,0.1,8.1,23
2016-03-23,15.8,10.9,23.7,12.6,0.1,8.0,18
2016-03-24,20.8,5.0,37.8,12.7,0.0,8.1,24
2016-03-25,20.5,12.9,33.4,12.7,0.1,8.5,23
2016-03-26,13.8,0.7,24.3,12.8,0.1,8.6,24
2016-03-27,21.9,-0.6,39.6,12.9,0.1,8.7,25
2016-03-28,30.6,23.7,40.5,13.0,0.1,8.7,25
2016-03-29,19.2,1.4,26.8,13.1,0.7,8.7,24
2016-03-30,11.7,-2.6,25.5,13.8,0.1,9.2,31
2016-03-31,13.6,0.7,27.5,13.9,0.1,9.2,29
2016-04-01,16.3,2.1,34.0,14.0,0.0,9.4,29
2016-04-02,24.6,6.6,42.1,14.0,0.0,9.4,28
2016-04-03,30.6,14.9,45.9,14.0,0.0,9.4,26
2016-04-04,35.2,19.4,49.6,14.0,0.0,9.4,25
2016-04-05,29.7,11.8,44.6,14.0,0.0,9.4,23
2016-04-06,32.4,12.0,46.8,14.0,0.0,9.5,25
2016-04-07,37.9,22.1,53.6,14.0,0.0,9.3,24
2016-04-08,35.8,27.1,46.0,14.0,0.2,9.1,21
2016-04-09,33.4,26.4,45.7,14.2,0.0,8.9,21
2016-04-10,33.8,24.1,45.7,14.2,0.0,8.4,20
2016-04-11,30.7,20.5,45.7,14.2,0.1,8.0,20
2016-04-12,30.7,22.5,42.8,14.3,0.0,7.8,18
2016-04-13,35.1,21.7,49.8,14.3,0.0,7.5,18
2016-04-14,38.1,30.6,45.9,14.3,0.0,7.1,18
2016-04-15,28.4,17.2,36.0,14.3,0.4,6.6,16
2016-04-16,21.6,16.3,26.6,14.7,1.2,6.9,21
2016-04-17,18.3,8.6,29.8,15.9,0.1,8.3,33
2016-04-18,19.6,9.3,37.8,16.0,0.2,8.4,32
2016-04-19,22.6,7.5,37.9,16.2,0.0,8.6,31
2016-04-20,30.7,19.6,41.0,16.2,0.0,8.7,29
2016-04-21,34.5,18.3,48.0,16.2,0.0,8.7,27
2016-04-22,42.1,26.6,53.8,16.2,0.0,8.5,24
2016-04-23,34.3,19.2,46.6,16.2,0.1,8.5,22
2016-04-24,33.4,16.7,47.3,16.3,0.0,8.3,23
2016-04-25,28.8,18.0,38.8,16.3,0.2,8.1,20
2016-04-26,23.2,13.1,34.3,16.5,0.1,8.3,24
2016-04-27,28.8,20.3,39.9,16.6,0.0,8.3,22
2016-04-28,28.2,21.9,39.0,16.6,0.3,8.3,20
2016-04-29,24.8,16.7,35.8,16.9,0.1,8.5,24
2016-04-30,28.0,14.7,39.4,17.0,0.0,8.5,23
2016-05-01,25.9,18.3,34.5,17.0,0.1,8.7,22
2016-05-02,28.8,15.4,43.7,17.1,0.0,8.7,22
2016-05-03,34.9,18.3,51.3,17.1,0.0,8.6,22
2016-05-04,39.4,25.2,52.5,17.1,0.0,8.2,20
2016-05-05,43.7,27.1,56.1,17.1,0.0,7.7,18
2016-05-06,41.0,32.5,48.9,17.1,0.2,7.4,18
2016-05-07,30.6,21.7,38.7,17.3,0.0,7.3,18
2016-05-08,28.2,17.6,38.1,17.3,0.1,6.8,17
2016-05-09,35.1,27.1,45.7,17.4,0.1,6.5,16
2016-05-10,35.1,23.0,43.9,17.5,0.3,6.3,15
2016-05-11,29.5,19.9,40.3,17.8,0.0,6.0,16
2016-05-12,35.8,16.0,53.6,17.8,0.0,5.7,15
2016-05-13,41.9,25.5,56.1,17.8,0.0,5.1,12
2016-05-14,44.8,31.3,55.2,17.8,0.0,4.2,9
2016-05-15,40.3,32.5,50.9,17.8,0.1,3.4,7
2016-05-16,33.1,26.6,42.8,17.9,0.1,2.6,4
2016-05-17,34.2,26.2,45.3,18.0,0.3,2.6,4
2016-05-18,33.1,25.3,46.2,18.3,0.5,2.1,5
2016-05-19,36.9,25.9,49.8,18.8,0.0,2.5,7
2016-05-20,43.7,32.7,51.4,18.8,0.0,2.2,4
2016-05-21,46.0,38.8,52.0,18.8,0.0,1.0,2
2016-05-22,41.7,33.4,51.3,18.8,0.0,0.3,1
2016-05-23,38.5,25.3,48.6,18.8,0.0,0.0,0
2016-05-24,40.5,27.7,50.7,18.8,0.0,0.0,0
2016-05-25,38.3,29.8,48.6,18.8,0.0,0.0,0
2016-05-26,32.5,24.1,42.1,18.8,0.0,0.0,0
2016-05-27,34.2,26.2,45.7,18.8,0.0,0.0,0
2016-05-28,38.3,24.3,50.7,18.8,0.0,0.0,0
2016-05-29,42.1,30.4,54.7,18.8,0.0,0.0,0
2016-05-30,42.6,30.0,55.8,18.8,0.0,0.0,0
2016-05-31,43.9,30.6,60.4,18.8,0.0,0.0,0
2016-06-01,44.8,32.2,59.2,18.8,0.0,0.0,0
2016-06-02,47.3,33.1,59.9,18.8,0.0,0.0,0
2016-06-03,48.0,35.2,61.7,18.8,0.0,0.0,0
2016-06-04,51.6,34.5,67.5,18.8,0.0,0.0,0
2016-06-05,53.6,39.2,68.0,18.8,0.0,0.0,0
2016-06-06,51.1,38.1,65.7,18.8,0.0,0.0,0
2016-06-07,54.1,40.1,65.3,18.8,0.0,0.0,0
2016-06-08,49.3,37.8,60.6,18.8,0.0,0.0,0
2016-06-09,53.2,38.5,67.5,18.8,0.0,0.0,0
2016-06-10,56.7,40.6,70.5,18.8,0.0,0.0,0
2016-06-11,53.2,40.1,66.2,18.8,0.0,0.0,0
2016-06-12,51.1,36.9,65.1,18.8,0.0,0.0,0
2016-06-13,45.7,31.3,58.8,18.8,0.0,0.0,0
2016-06-14,46.6,30.0,61.3,18.8,0.0,0.0,0
2016-06-15,53.1,36.5,65.3,18.8,0.0,0.0,0
2016-06-16,50.2,33.8,65.1,18.8,0.0,0.0,0
2016-06-17,53.1,35.6,70.7,18.8,0.0,0.0,0
2016-06-18,56.8,34.7,75.2,18.8,0.0,0.0,0
2016-06-19,59.9,40.8,76.5,18.8,0.0,0.0,0
2016-06-20,60.1,46.4,78.4,18.8,0.0,0.0,0
2016-06-21,56.1,44.1,73.4,18.8,0.0,0.0,0
2016-06-22,54.1,42.8,70.3,18.8,0.2,0.0,0
2016-06-23,55.8,45.7,66.9,19.0,0.0,0.0,0
2016-06-24,53.6,42.6,68.7,19.0,0.0,0.0,0
2016-06-25,54.9,42.8,68.0,19.0,0.0,0.0,0
2016-06-26,55.9,39.4,70.5,19.0,0.0,0.0,0
2016-06-27,56.7,40.6,70.0,19.0,0.0,0.0,0
2016-06-28,54.3,42.4,69.8,19.0,0.0,0.0,0
2016-06-29,51.3,40.5,64.2,19.0,0.0,0.0,0
2016-06-30,49.5,40.5,61.7,19.0,0.1,0.0,0
2016-07-01,45.7,42.6,51.3,19.1,0.3,0.0,0
2016-07-02,46.6,40.3,54.1,19.4,0.1,0.0,0
2016-07-03,47.7,37.8,59.4,19.5,0.0,0.0,0
2016-07-04,48.0,36.5,62.1,19.5,0.1,0.0,0
2016-07-05,55.0,40.3,66.2,19.6,0.0,0.0,0
2016-07-06,54.9,40.6,68.0,19.6,0.0,0.0,0
2016-07-07,55.2,40.3,69.1,19.6,0.0,0.0,0
2016-07-08,55.2,37.8,71.1,19.6,0.0,0.0,0
2016-07-09,57.0,40.5,71.2,19.6,0.0,0.0,0
2016-07-10,58.5,44.8,67.8,19.6,0.0,0.0,0
2016-07-11,53.6,39.0,66.6,19.6,0.0,0.0,0
2016-07-12,53.6,38.5,67.3,19.6,0.0,0.0,0
2016-07-13,55.0,38.5,70.5,19.6,0.0,0.0,0
2016-07-14,55.2,38.7,71.1,19.6,0.0,0.0,0
2016-07-15,55.9,40.5,70.9,19.6,0.0,0.0,0
2016-07-16,56.8,44.1,68.9,19.6,0.0,0.0,0
2016-07-17,56.1,41.9,71.6,19.6,0.0,0.0,0
2016-07-18,55.8,44.8,71.6,19.6,0.3,0.0,0
2016-07-19,51.3,39.0,65.1,19.9,0.3,0.0,0
2016-07-20,51.8,40.6,67.1,20.2,0.0,0.0,0
2016-07-21,53.4,41.9,69.4,20.2,0.1,0.0,0
2016-07-22,50.9,41.2,63.1,20.3,0.2,0.0,0
2016-07-23,55.0,41.4,70.0,20.5,0.0,0.0,0
2016-07-24,54.9,45.7,68.2,20.5,0.0,0.0,0
2016-07-25,55.0,43.0,65.5,20.5,0.0,0.0,0
2016-07-26,52.5,,,20.5,0.0,0.0,0
2016-07-27,55.6,40.3,70.9,20.5,0.0,0.0,0
2016-07-28,58.8,44.6,73.9,20.5,0.0,0.0,0
2016-07-29,58.3,45.7,70.3,20.5,0.0,0.0,0
2016-07-30,52.5,42.6,67.1,20.5,0.3,0.0,0
2016-07-31,51.1,41.0,63.9,20.8,0.2,0.0,0
2016-08-01,55.0,43.0,67.6,21.0,0.0,0.0,0
2016-08-02,54.1,45.5,67.6,21.0,0.1,0.0,0
2016-08-03,51.6,42.8,66.0,21.1,0.1,0.0,0
2016-08-04,50.4,40.6,63.9,21.2,0.1,0.0,0
2016-08-05,48.4,43.5,54.9,21.3,1.0,0.0,0
2016-08-06,49.6,39.9,61.9,22.3,0.0,0.0,0
2016-08-07,51.1,37.2,67.8,22.3,0.0,0.0,0
2016-08-08,51.4,41.7,64.8,22.3,0.0,0.0,0
2016-08-09,50.9,39.2,64.0,22.3,0.2,0.0,0
2016-08-10,51.1,38.3,63.7,22.5,0.0,0.0,0
2016-08-11,51.1,39.0,65.8,22.5,0.0,0.0,0
2016-08-12,48.6,35.1,63.0,22.5,0.0,0.0,0
2016-08-13,50.0,39.2,63.5,22.5,0.0,0.0,0
2016-08-14,50.4,35.8,65.8,22.5,0.0,0.0,0
2016-08-15,51.4,38.7,65.5,22.5,0.0,0.0,0
2016-08-16,44.8,37.9,62.8,22.5,0.4,0.0,0
2016-08-17,45.0,36.3,59.7,22.9,0.2,0.0,0
2016-08-18,43.7,35.6,55.2,23.1,0.3,0.0,0
2016-08-19,46.8,34.5,59.4,23.4,0.0,0.0,0
2016-08-20,50.0,37.2,63.5,23.4,0.0,0.0,0
2016-08-21,49.5,36.7,64.9,23.4,0.0,0.0,0
2016-08-22,44.6,35.6,54.3,23.4,0.2,0.0,0
2016-08-23,41.0,34.0,53.2,23.6,0.4,0.0,0
2016-08-24,43.0,33.1,57.0,24.0,0.0,0.0,0
2016-08-25,41.4,32.4,55.8,24.0,0.2,0.0,0
2016-08-26,41.9,32.7,54.9,24.2,0.1,0.0,0
2016-08-27,41.2,32.0,54.0,24.3,0.2,0.0,0
2016-08-28,40.8,32.5,58.3,24.5,0.3,0.0,0
2016-08-29,41.4,34.3,54.3,24.8,0.0,0.0,0
2016-08-30,44.8,33.1,57.0,24.8,0.0,0.0,0
2016-08-31,49.1,36.3,60.8,24.8,0.0,0.0,0
2016-09-01,47.5,39.2,58.5,24.8,0.2,0.0,0
2016-09-02,48.6,41.9,60.6,25.0,0.0,0.0,0
2016-09-03,47.3,39.2,60.6,25.0,0.2,0.0,0
2016-09-04,50.7,41.9,59.0,25.2,0.0,0.0,0
2016-09-05,52.2,44.8,60.6,25.2,0.0,0.0,0
2016-09-06,48.9,40.5,59.5,25.2,0.2,0.0,0
2016-09-07,48.0,34.2,64.2,25.4,0.0,0.0,0
2016-09-08,47.5,32.4,64.2,25.4,0.0,0.0,0
2016-09-09,47.5,33.8,63.9,25.4,0.0,0.0,0
2016-09-10,48.0,33.3,63.5,25.4,0.0,0.0,0
2016-09-11,47.5,37.0,61.0,25.4,0.0,0.0,0
2016-09-12,43.5,32.2,58.3,25.4,0.2,0.0,0
2016-09-13,42.1,32.0,55.2,25.6,0.0,0.0,0
2016-09-14,44.4,36.5,53.4,25.6,0.1,0.0,0
2016-09-15,41.7,28.2,54.3,25.7,0.0,0.0,0
2016-09-16,39.9,25.5,56.7,25.7,0.0,0.0,0
2016-09-17,40.6,27.9,56.1,25.7,0.0,0.0,0
2016-09-18,46.6,30.6,62.8,25.7,0.0,0.0,0
2016-09-19,49.5,34.5,65.8,25.7,0.0,0.0,0
2016-09-20,44.6,36.0,58.5,25.7,0.1,0.0,0
2016-09-21,45.7,39.0,56.5,25.8,0.2,0.0,0
2016-09-22,48.2,40.3,57.6,26.0,0.2,0.0,0
2016-09-23,31.6,18.0,46.2,26.2,0.9,0.0,0
2016-09-24,30.9,19.0,42.1,27.1,0.0,0.2,3
2016-09-25,36.5,21.7,52.9,27.1,0.0,0.2,1
2016-09-26,42.6,29.3,57.9,27.1,0.0,0.0,0
2016-09-27,44.8,32.4,62.6,27.1,0.0,0.0,0
2016-09-28,47.1,34.5,60.8,27.1,0.0,0.0,0
2016-09-29,44.2,38.7,50.0,27.1,0.0,0.0,0
2016-09-30,41.2,32.5,54.0,27.1,0.2,0.0,0
