Date,Upper San Juan (840) Air Temperature Average (degF),Upper San Juan (840) Air Temperature Minimum (degF),Upper San Juan (840) Air Temperature Maximum (degF),Upper San Juan (840) Precipitation Accumulation (in) Start of Day Values,Upper San Juan (840) Precipitation Increment (in),Upper San Juan (840) Snow Water Equivalent (in) Start of Day Values,Upper San Juan (840) Snow Depth (in) Start of Day Values
2016-02-06,15.4,-2.6,40.8,28.6,0.0,24.8,81
2016-02-07,23.7,4.6,46.0,28.6,0.0,24.8,80
2016-02-08,27.1,7.2,50.0,28.6,0.0,24.8,77
2016-02-09,27.0,7.2,55.0,28.6,0.0,24.7,76
2016-02-10,25.3,8.6,49.8,28.6,0.0,24.7,75
2016-02-11,26.6,7.9,51.8,28.6,0.0,24.7,75
2016-02-12,30.2,14.5,53.6,28.6,0.0,24.7,73
2016-02-13,27.7,11.8,47.1,28.6,0.0,24.7,72
2016-02-14,25.2,5.0,44.2,28.6,0.0,24.7,71
2016-02-15,26.6,10.6,41.7,28.6,0.0,24.7,71
2016-02-16,24.6,9.0,46.0,28.6,0.0,24.7,70
2016-02-17,28.8,10.4,49.3,28.6,0.0,24.7,69
2016-02-18,33.8,29.3,37.2,28.6,0.0,24.7,69
2016-02-19,29.3,16.3,42.3,28.6,0.0,24.7,68
2016-02-20,29.3,13.5,46.2,28.6,0.0,24.7,68
2016-02-21,25.5,8.8,49.6,28.6,0.0,24.7,68
2016-02-22,21.2,5.4,38.5,28.6,0.0,24.7,67
2016-02-23,13.6,-4.7,25.7,28.6,0.0,24.9,70
2016-02-24,14.2,-7.8,34.9,28.6,0.0,24.9,70
2016-02-25,24.1,6.6,47.5,28.6,0.0,24.9,69
2016-02-26,25.7,7.0,55.4,28.6,0.1,24.9,68
2016-02-27,26.6,11.3,45.7,28.7,0.0,25.0,67
2016-02-28,28.8,12.7,49.5,28.7,0.0,25.0,66
2016-02-29,27.5,12.7,46.4,28.7,0.0,24.9,65
2016-03-01,27.9,10.9,45.5,28.7,0.0,24.9,65
2016-03-02,28.0,12.6,47.1,28.7,0.0,25.1,64
2016-03-03,29.3,10.6,48.6,28.7,0.0,25.1,64
2016-03-04,30.9,17.1,49.8,28.7,0.0,25.1,62
2016-03-05,32.4,14.5,57.4,28.7,0.1,24.9,62
2016-03-06,29.8,26.4,33.1,28.8,0.2,24.8,61
2016-03-07,17.6,3.0,26.4,29.0,0.0,25.4,61
2016-03-08,18.9,-1.5,41.7,29.0,0.3,25.8,64
2016-03-09,19.8,0.9,41.2,29.3,0.0,25.8,64
2016-03-10,30.4,5.9,52.7,29.3,0.0,25.8,63
2016-03-11,34.3,14.2,53.6,29.3,0.2,25.8,63
2016-03-12,27.1,14.5,41.9,29.5,0.0,25.8,60
2016-03-13,28.2,10.2,46.2,29.5,0.0,25.8,60
2016-03-14,31.6,25.5,43.7,29.5,0.0,25.8,60
2016-03-15,26.4,15.3,38.3,29.5,0.0,25.8,60
2016-03-16,23.7,6.8,40.3,29.5,0.0,25.8,59
2016-03-17,24.4,4.6,44.1,29.5,0.0,25.8,59
2016-03-18,28.2,9.3,48.4,29.5,0.0,25.8,58
2016-03-19,25.3,8.1,46.0,29.5,0.0,25.7,57
2016-03-20,27.5,7.0,47.3,29.5,0.0,25.5,57
2016-03-21,34.9,15.6,50.7,29.5,0.0,25.0,55
2016-03-22,34.2,17.8,43.0,29.5,0.0,24.6,54
2016-03-23,19.8,6.3,36.3,29.5,0.2,24.6,54
2016-03-24,23.0,0.9,40.3,29.7,0.0,24.9,56
2016-03-25,22.5,6.3,38.7,29.7,0.0,24.9,55
2016-03-26,15.3,-3.6,36.3,29.7,0.8,24.9,55
2016-03-27,17.2,-6.0,38.1,30.5,0.0,25.5,61
2016-03-28,28.4,6.8,45.0,30.5,0.6,25.5,61
2016-03-29,25.2,16.5,33.4,31.1,0.6,25.5,65
2016-03-30,14.9,-0.9,28.8,31.7,0.0,26.1,68
2016-03-31,18.0,-3.6,34.9,31.7,0.0,26.7,68
2016-04-01,22.3,0.3,43.9,31.7,0.0,26.7,66
2016-04-02,25.3,1.2,47.5,31.7,0.0,26.7,63
2016-04-03,31.8,10.4,52.2,31.7,0.0,26.4,61
2016-04-04,36.3,17.1,53.4,31.7,0.0,26.0,59
2016-04-05,32.5,13.6,50.4,31.7,0.0,25.1,55
2016-04-06,32.2,9.3,53.6,31.7,0.1,24.9,54
2016-04-07,42.4,22.5,60.8,31.8,0.0,24.3,52
2016-04-08,35.1,24.4,47.1,31.8,0.2,23.7,51
2016-04-09,33.3,28.2,44.1,32.0,0.2,22.8,50
2016-04-10,36.7,24.1,49.6,32.2,0.1,22.8,50
2016-04-11,31.3,20.5,46.8,32.3,0.0,22.8,48
2016-04-12,34.3,25.0,49.5,32.3,0.1,22.8,48
2016-04-13,36.0,21.6,54.0,32.4,0.0,22.8,48
2016-04-14,39.4,25.2,50.4,32.4,0.1,22.4,46
2016-04-15,32.9,23.4,44.8,32.5,0.2,21.7,44
2016-04-16,25.2,18.3,36.9,32.7,0.7,21.9,46
2016-04-17,23.5,12.2,33.4,33.4,0.3,22.7,52
2016-04-18,25.7,20.5,40.6,33.7,0.5,23.2,55
2016-04-19,25.5,14.5,40.5,34.2,0.2,23.8,55
2016-04-20,31.3,12.4,52.2,34.4,0.2,23.8,56
2016-04-21,36.1,15.4,56.7,34.6,0.0,23.8,52
2016-04-22,41.2,22.3,58.8,34.6,0.0,23.6,50
2016-04-23,40.1,23.2,52.0,34.6,0.0,22.8,47
2016-04-24,33.4,16.2,49.1,34.6,0.0,22.5,46
2016-04-25,31.5,19.9,46.4,34.6,0.0,21.8,44
2016-04-26,25.3,19.4,34.9,34.6,0.2,21.0,42
2016-04-27,28.8,11.3,43.5,34.8,0.0,21.0,42
2016-04-28,33.1,26.2,45.5,34.8,0.4,21.6,42
2016-04-29,27.1,24.1,34.3,35.2,0.5,21.7,45
2016-04-30,30.2,23.5,43.9,35.7,0.2,22.2,45
2016-05-01,26.2,20.5,39.9,35.9,0.8,22.4,46
2016-05-02,32.4,20.1,49.1,36.7,0.4,23.2,53
2016-05-03,36.7,16.3,58.5,37.1,0.1,23.2,50
2016-05-04,40.3,21.9,59.4,37.2,0.0,22.9,47
2016-05-05,43.5,24.6,61.7,37.2,0.1,22.9,44
2016-05-06,45.9,30.2,59.2,37.3,0.0,21.9,43
2016-05-07,31.5,18.7,41.2,37.3,0.0,20.6,40
2016-05-08,30.0,17.8,41.0,37.3,0.1,20.3,40
2016-05-09,34.0,28.0,44.6,37.4,0.0,19.8,37
2016-05-10,37.9,30.6,49.3,37.4,0.2,20.3,40
2016-05-11,32.4,21.7,46.0,37.6,0.2,19.8,37
2016-05-12,37.4,16.7,56.1,37.8,0.2,19.9,37
2016-05-13,42.4,22.1,61.9,38.0,0.1,19.8,37
2016-05-14,45.5,27.0,63.0,38.1,0.1,17.9,33
2016-05-15,39.9,30.7,52.0,38.2,0.1,15.6,30
2016-05-16,34.0,24.6,47.8,38.3,0.1,14.8,29
2016-05-17,34.9,23.2,48.9,38.4,0.2,15.0,30
2016-05-18,35.2,31.3,46.0,38.6,0.3,14.5,30
2016-05-19,38.7,28.8,51.1,38.9,0.0,14.5,28
2016-05-20,42.4,28.2,56.1,38.9,0.0,13.6,25
2016-05-21,46.8,32.2,59.2,38.9,0.0,11.6,22
2016-05-22,43.5,30.0,54.3,38.9,0.0,10.0,18
2016-05-23,38.7,24.1,52.9,38.9,0.0,8.9,16
2016-05-24,41.2,24.1,54.9,38.9,0.1,7.6,13
2016-05-25,40.8,25.9,53.6,39.0,0.2,5.9,10
2016-05-26,35.8,25.5,48.0,39.2,0.0,3.8,6
2016-05-27,35.6,25.5,49.6,39.2,0.0,3.2,5
2016-05-28,38.1,23.4,53.2,39.2,0.1,2.8,5
2016-05-29,45.3,28.8,60.8,39.3,0.3,1.0,2
2016-05-30,44.8,28.8,61.0,39.6,0.0,0.0,0
2016-05-31,47.3,28.8,63.5,39.6,0.2,0.0,0
2016-06-01,45.0,30.4,59.4,39.8,0.0,0.0,0
2016-06-02,48.6,30.9,67.8,39.8,0.0,0.0,0
2016-06-03,50.9,31.5,68.7,39.8,0.0,0.0,0
2016-06-04,51.1,36.3,70.7,39.8,0.0,0.0,0
2016-06-05,51.3,34.5,71.2,39.8,0.1,0.0,0
2016-06-06,50.0,35.1,70.5,39.9,0.0,0.0,0
2016-06-07,51.3,34.3,69.4,39.9,0.0,0.0,0
2016-06-08,49.3,32.5,66.4,39.9,0.0,0.0,0
2016-06-09,52.2,36.5,70.3,39.9,0.0,0.0,0
2016-06-10,52.9,34.7,73.6,39.9,0.0,0.0,0
2016-06-11,53.4,38.8,68.2,39.9,0.0,0.0,0
2016-06-12,53.2,36.7,68.5,39.9,0.0,0.0,0
2016-06-13,49.1,31.8,64.8,39.9,0.0,0.0,0
2016-06-14,46.6,29.3,62.8,39.9,0.0,0.0,0
2016-06-15,51.1,31.5,67.5,39.9,0.0,0.0,0
2016-06-16,48.9,30.4,65.8,39.9,0.0,0.0,0
2016-06-17,51.8,31.3,71.1,39.9,0.0,0.0,0
2016-06-18,55.2,30.0,76.5,39.9,0.0,0.0,0
2016-06-19,59.2,35.2,79.2,39.9,0.2,0.0,0
2016-06-20,61.0,41.0,79.0,40.1,0.0,0.0,0
2016-06-21,58.5,42.1,78.3,40.1,0.0,0.0,0
2016-06-22,55.4,39.4,75.6,40.1,0.0,0.0,0
2016-06-23,58.6,42.4,74.8,40.1,0.0,0.0,0
2016-06-24,55.0,41.4,73.4,40.1,0.0,0.0,0
2016-06-25,54.9,40.5,70.9,40.1,0.0,0.0,0
2016-06-26,54.3,37.8,72.7,40.1,0.0,0.0,0
2016-06-27,57.4,36.3,76.6,40.1,0.0,0.0,0
2016-06-28,50.4,37.8,69.4,40.1,0.0,0.0,0
2016-06-29,51.4,35.2,70.5,40.1,0.0,0.0,0
2016-06-30,52.7,39.0,69.1,40.1,0.0,0.0,0
2016-07-01,48.9,45.3,59.5,40.1,0.0,0.0,0
2016-07-02,48.2,40.6,56.1,40.1,0.0,0.0,0
2016-07-03,47.5,35.6,62.1,40.1,0.0,0.0,0
2016-07-04,49.3,34.2,67.1,40.1,0.2,0.0,0
2016-07-05,53.6,36.3,70.3,40.3,0.1,0.0,0
2016-07-06,54.0,36.7,70.2,40.4,0.0,0.0,0
2016-07-07,53.4,34.7,70.9,40.4,0.1,0.0,0
2016-07-08,54.9,34.3,72.7,40.5,0.0,0.0,0
2016-07-09,55.9,36.7,73.4,40.5,0.0,0.0,0
2016-07-10,58.6,39.4,71.2,40.5,0.1,0.0,0
2016-07-11,48.6,36.3,68.9,40.6,0.0,0.0,0
2016-07-12,52.0,33.3,70.7,40.6,0.0,0.0,0
2016-07-13,54.0,33.3,73.6,40.6,0.0,0.0,0
2016-07-14,55.8,32.5,75.2,40.6,0.0,0.0,0
2016-07-15,54.7,34.3,73.6,40.6,0.0,0.0,0
2016-07-16,55.4,35.2,73.8,40.6,0.0,0.0,0
2016-07-17,57.7,36.5,75.6,40.6,0.0,0.0,0
2016-07-18,58.8,45.7,75.2,40.6,0.1,0.0,0
2016-07-19,57.6,45.9,73.0,40.7,0.4,0.0,0
2016-07-20,55.8,40.1,71.2,41.1,0.0,0.0,0
2016-07-21,58.5,41.0,73.2,41.1,0.0,0.0,0
2016-07-22,58.5,41.4,73.8,41.1,0.0,0.0,0
2016-07-23,59.0,41.4,74.8,41.1,0.0,0.0,0
2016-07-24,57.4,41.4,73.6,41.1,0.0,0.0,0
2016-07-25,57.6,39.2,71.8,41.1,0.0,0.0,0
2016-07-26,53.1,40.5,68.4,41.1,0.1,0.0,0
2016-07-27,57.4,37.0,77.0,41.2,0.0,0.0,0
2016-07-28,57.6,40.1,75.9,41.2,0.0,0.0,0
2016-07-29,58.8,39.4,78.3,41.2,0.0,0.0,0
2016-07-30,54.9,38.7,70.3,41.2,0.0,0.0,0
2016-07-31,55.8,39.0,71.6,41.2,0.0,0.0,0
2016-08-01,55.8,46.4,71.4,41.2,0.4,0.0,0
2016-08-02,57.4,44.8,70.5,41.6,0.0,0.0,0
2016-08-03,53.6,43.7,66.4,41.6,0.1,0.0,0
2016-08-04,53.2,47.3,60.6,41.7,0.6,0.0,0
2016-08-05,50.9,47.8,59.4,42.3,1.3,0.0,0
2016-08-06,51.4,43.5,61.0,43.6,0.2,0.0,0
2016-08-07,54.7,42.6,69.1,43.8,0.0,0.0,0
2016-08-08,51.6,40.1,67.5,43.8,0.4,0.0,0
2016-08-09,53.8,38.3,69.4,44.2,0.1,0.0,0
2016-08-10,53.6,40.3,68.2,44.3,0.1,0.0,0
2016-08-11,52.2,38.3,68.0,44.4,0.0,0.0,0
2016-08-12,52.7,34.5,69.4,44.4,0.0,0.0,0
2016-08-13,47.5,32.5,63.5,44.4,0.0,0.0,0
2016-08-14,49.3,32.5,66.4,44.4,0.0,0.0,0
2016-08-15,49.8,34.0,68.0,44.4,0.0,0.0,0
2016-08-16,49.5,34.7,66.4,44.4,0.0,0.0,0
2016-08-17,48.4,37.0,63.7,44.4,0.0,0.0,0
2016-08-18,47.5,35.2,62.6,44.4,0.2,0.0,0
2016-08-19,46.4,34.2,63.1,44.6,0.0,0.0,0
2016-08-20,47.7,33.1,64.8,44.6,0.2,0.0,0
2016-08-21,48.4,35.1,64.9,44.8,0.0,0.0,0
2016-08-22,45.7,35.8,61.3,44.8,0.1,0.0,0
2016-08-23,43.7,36.0,57.4,44.9,0.1,0.0,0
2016-08-24,44.4,34.3,57.6,45.0,0.1,0.0,0
2016-08-25,43.2,32.0,58.3,45.1,0.0,0.0,0
2016-08-26,42.4,33.3,55.2,45.1,0.0,0.0,0
2016-08-27,44.8,31.3,61.2,45.1,0.3,0.0,0
2016-08-28,46.4,31.3,62.6,45.4,0.1,0.0,0
2016-08-29,46.2,33.8,57.9,45.5,0.0,0.0,0
2016-08-30,45.7,32.5,62.1,45.5,0.2,0.0,0
2016-08-31,49.5,34.2,66.2,45.7,0.2,0.0,0
2016-09-01,52.5,43.7,65.1,45.9,0.1,0.0,0
2016-09-02,51.1,44.1,63.0,46.0,0.3,0.0,0
2016-09-03,50.0,40.1,63.1,46.3,0.1,0.0,0
2016-09-04,51.1,38.8,62.6,46.4,0.0,0.0,0
2016-09-05,49.6,32.4,64.9,46.4,0.0,0.0,0
2016-09-06,50.7,38.3,63.7,46.4,0.0,0.0,0
2016-09-07,50.2,35.6,61.5,46.4,0.0,0.0,0
2016-09-08,49.5,30.0,68.9,46.4,0.0,0.0,0
2016-09-09,50.7,30.6,69.8,46.4,0.0,0.0,0
2016-09-10,47.1,30.7,64.2,46.4,0.0,0.0,0
2016-09-11,47.8,32.7,65.5,46.4,0.0,0.0,0
2016-09-12,43.2,31.5,61.3,46.4,0.0,0.0,0
2016-09-13,47.1,38.8,58.6,46.4,0.0,0.0,0
2016-09-14,43.0,33.4,54.9,46.4,0.0,0.0,0
2016-09-15,40.8,26.2,57.6,46.4,0.0,0.0,0
2016-09-16,40.8,23.5,58.8,46.4,0.2,0.0,0
2016-09-17,41.9,27.0,61.2,46.6,0.0,0.0,0
2016-09-18,44.8,25.3,65.8,46.6,0.0,0.0,0
2016-09-19,49.5,29.8,71.2,46.6,0.1,0.0,0
2016-09-20,50.7,35.1,64.9,46.7,0.3,0.0,0
2016-09-21,47.1,42.3,52.7,47.0,0.1,0.0,0
2016-09-22,47.7,43.0,54.9,47.1,0.2,0.0,0
2016-09-23,34.0,19.6,47.3,47.3,0.0,0.0,0
2016-09-24,32.5,18.0,46.4,47.3,0.4,0.0,0
2016-09-25,41.2,25.5,59.0,47.7,0.1,0.0,0
2016-09-26,42.8,26.4,62.8,47.8,0.0,0.0,0
2016-09-27,43.9,28.8,70.3,47.8,0.0,0.0,0
2016-09-28,47.3,28.8,65.1,47.8,0.2,0.0,0
2016-09-29,44.8,35.8,55.4,48.0,0.0,0.0,0
2016-09-30,45.9,29.7,61.3,48.0,0.0,0.0,0
