Date,Red Mountain Pass (713) Air Temperature Average (degF),Red Mountain Pass (713) Air Temperature Minimum (degF),Red Mountain Pass (713) Air Temperature Maximum (degF),Red Mountain Pass (713) Precipitation Accumulation (in) Start of Day Values,Red Mountain Pass (713) Precipitation Increment (in),Red Mountain Pass (713) Snow Water Equivalent (in) Start of Day Values,Red Mountain Pass (713) Snow Depth (in) Start of Day Values
2015-11-17,14.0,7.2,20.8,8.4,0.7,5.1,34
2015-11-18,17.4,10.4,30.9,9.1,0.0,5.6,37
2015-11-19,21.2,10.2,39.6,9.1,0.0,5.6,33
2015-11-20,23.4,6.8,31.8,9.1,0.0,5.6,31
2015-11-21,16.0,1.8,35.6,9.1,0.1,5.5,29
2015-11-22,21.9,10.0,44.6,9.2,0.0,5.5,28
2015-11-23,22.5,13.1,43.9,9.2,0.0,5.5,27
2015-11-24,25.2,16.0,40.8,9.2,0.0,5.5,26
2015-11-25,27.0,20.5,36.9,9.2,0.0,5.5,25
2015-11-26,20.7,17.6,24.6,9.2,0.1,5.5,25
2015-11-27,20.1,15.1,26.4,9.3,0.1,5.7,28
2015-11-28,15.4,6.8,24.3,9.4,0.0,5.8,29
2015-11-29,12.2,4.5,17.8,9.4,0.2,5.8,27
2015-11-30,5.0,-0.2,10.2,9.6,0.1,5.8,28
2015-12-01,9.0,-2.0,22.3,9.7,0.1,5.6,28
2015-12-02,16.5,6.1,34.2,9.8,0.0,5.6,27
2015-12-03,21.7,12.0,38.8,9.8,0.0,5.6,26
2015-12-04,25.2,17.1,39.6,9.8,0.1,5.6,26
2015-12-05,15.8,6.1,25.2,9.9,0.3,6.0,28
2015-12-06,20.5,8.8,41.7,10.2,0.0,6.0,30
2015-12-07,28.0,14.4,42.4,10.2,0.1,6.0,28
2015-12-08,28.0,22.1,38.1,10.3,0.0,6.2,28
2015-12-09,31.8,23.2,44.8,10.3,0.0,6.2,27
2015-12-10,30.9,20.8,43.0,10.3,0.1,6.1,27
2015-12-11,25.2,19.6,30.4,10.4,0.0,6.1,27
2015-12-12,15.8,8.1,25.5,10.4,0.5,6.2,30
2015-12-13,17.1,6.3,32.9,10.9,0.1,6.6,35
2015-12-14,13.8,5.2,21.2,11.0,0.3,6.6,34
2015-12-15,3.7,-2.2,9.5,11.3,0.4,7.1,40
2015-12-16,2.5,-8.7,16.7,11.7,0.1,7.1,39
2015-12-17,7.2,0.7,17.4,11.8,0.2,7.3,37
2015-12-18,21.7,14.2,35.1,12.0,0.1,7.4,36
2015-12-19,23.7,14.5,35.2,12.1,0.0,7.3,35
2015-12-20,15.4,5.9,24.6,12.1,0.3,7.5,34
2015-12-21,15.8,10.8,23.0,12.4,0.4,7.8,39
2015-12-22,18.3,14.5,22.5,12.8,0.9,8.2,43
2015-12-23,9.5,-4.5,16.0,13.7,0.5,9.0,54
2015-12-24,4.5,-13.0,14.5,14.2,0.5,9.1,53
2015-12-25,8.1,-7.2,14.9,14.7,0.7,9.8,55
2015-12-26,-1.3,-7.2,6.8,15.4,0.1,10.1,58
2015-12-27,9.3,0.7,27.5,15.5,0.0,10.1,55
2015-12-28,8.1,-2.2,27.3,15.5,0.0,10.1,52
2015-12-29,2.3,-5.1,16.3,15.5,0.1,10.1,50
2015-12-30,4.6,-1.5,17.2,15.6,0.0,10.2,49
2015-12-31,3.6,-5.4,16.9,15.6,0.1,10.2,48
2016-01-01,4.6,-5.4,25.3,15.7,0.1,10.2,48
2016-01-02,14.0,0.9,33.8,15.8,0.0,10.2,47
2016-01-03,18.0,9.5,34.5,15.8,0.1,10.2,46
2016-01-04,18.0,9.1,32.7,15.9,0.0,10.3,45
2016-01-05,17.4,10.0,25.5,15.9,0.1,10.3,44
2016-01-06,17.6,12.0,25.3,16.0,0.1,10.4,44
2016-01-07,12.7,4.6,23.5,16.1,0.0,10.5,46
2016-01-08,10.8,5.5,21.0,16.1,0.1,10.5,46
2016-01-09,7.5,-7.1,17.4,16.2,0.1,10.7,47
2016-01-10,0.7,-8.7,15.6,16.3,0.1,10.6,51
2016-01-11,9.9,-3.8,24.4,16.4,0.0,10.5,49
2016-01-12,15.3,3.6,34.9,16.4,0.1,10.5,48
2016-01-13,18.3,8.8,39.9,16.5,0.0,10.5,47
2016-01-14,10.4,0.9,17.8,16.5,0.0,10.5,46
2016-01-15,11.1,6.4,18.3,16.5,0.4,10.5,45
2016-01-16,12.0,5.4,19.8,16.9,0.4,11.0,52
2016-01-17,15.3,9.5,25.3,17.3,0.5,11.3,55
2016-01-18,19.9,11.1,34.3,17.8,0.0,11.6,57
2016-01-19,18.3,12.6,30.4,17.8,0.2,11.7,55
2016-01-20,13.6,2.1,22.5,18.0,0.5,11.7,57
2016-01-21,12.4,0.7,25.5,18.5,0.1,12.1,61
2016-01-22,22.5,13.1,41.4,18.6,0.1,12.1,58
2016-01-23,23.4,13.1,40.8,18.7,0.0,12.1,56
2016-01-24,16.3,10.0,21.9,18.7,0.6,12.2,54
2016-01-25,8.1,-7.4,20.5,19.3,0.2,12.6,65
2016-01-26,6.8,-8.5,23.7,19.5,0.0,12.6,63
2016-01-27,21.9,12.4,39.2,19.5,0.1,12.6,61
2016-01-28,23.0,12.9,42.1,19.6,0.0,12.6,58
2016-01-29,24.8,18.0,37.2,19.6,0.0,12.6,56
2016-01-30,27.3,21.4,37.4,19.6,0.1,12.6,56
2016-01-31,21.2,18.3,25.2,19.7,1.0,12.9,56
2016-02-01,10.9,0.9,20.7,20.7,0.9,13.6,71
2016-02-02,-0.9,-12.6,9.1,21.6,0.1,14.6,75
2016-02-03,-7.2,-17.5,8.2,21.7,0.1,14.6,72
2016-02-04,3.9,-7.1,16.2,21.8,0.0,14.6,70
2016-02-05,7.3,0.7,21.4,21.8,0.2,14.6,68
2016-02-06,16.5,5.2,32.7,22.0,0.0,14.8,67
2016-02-07,21.6,11.7,33.8,22.0,0.1,14.8,65
2016-02-08,23.5,14.0,39.0,22.1,0.0,14.8,64
2016-02-09,24.8,13.8,44.4,22.1,0.0,14.8,62
2016-02-10,25.7,15.3,46.2,22.1,0.0,14.8,62
2016-02-11,26.4,14.9,44.6,22.1,0.0,14.8,61
2016-02-12,29.3,18.3,48.6,22.1,0.0,14.8,60
2016-02-13,27.9,14.2,43.5,22.1,0.0,14.8,59
2016-02-14,21.6,11.8,32.4,22.1,0.0,14.8,58
2016-02-15,22.6,10.8,36.3,22.1,0.1,14.9,58
2016-02-16,27.5,16.3,43.5,22.2,0.0,14.9,58
2016-02-17,30.6,18.0,47.8,22.2,0.0,14.9,58
2016-02-18,31.5,21.7,40.8,22.2,0.0,14.9,57
2016-02-19,28.8,17.6,43.5,22.2,0.1,14.9,57
2016-02-20,27.0,15.3,41.9,22.3,0.0,15.0,57
2016-02-21,23.7,12.9,40.6,22.3,0.0,15.1,56
2016-02-22,16.5,8.8,27.0,22.3,0.3,15.1,56
2016-02-23,12.9,-1.7,24.1,22.6,0.2,15.6,61
2016-02-24,12.7,-3.8,33.4,22.8,0.0,15.7,62
2016-02-25,23.5,13.6,38.8,22.8,0.0,15.7,60
2016-02-26,25.7,12.4,45.7,22.8,0.0,15.7,59
2016-02-27,28.4,15.8,43.2,22.8,0.0,15.7,58
2016-02-28,27.5,17.4,44.1,22.8,0.0,15.7,57
2016-02-29,27.5,16.5,39.0,22.8,0.0,15.7,56
2016-03-01,28.0,16.0,38.3,22.8,0.0,15.7,56
2016-03-02,29.3,23.2,37.8,22.8,0.0,15.7,55
2016-03-03,30.0,15.4,45.7,22.8,0.0,15.7,55
2016-03-04,29.8,20.1,45.3,22.8,0.0,15.7,54
2016-03-05,30.4,20.1,44.6,22.8,0.0,15.7,54
2016-03-06,27.3,21.6,35.8,22.8,0.6,15.7,54
2016-03-07,16.3,2.1,30.9,23.4,0.4,16.4,61
2016-03-08,14.2,-0.2,35.8,23.8,0.1,16.6,62
2016-03-09,17.2,2.3,34.9,23.9,0.0,16.6,61
2016-03-10,26.8,9.9,49.6,23.9,0.1,16.6,61
2016-03-11,32.5,18.9,51.8,24.0,0.0,16.7,58
2016-03-12,26.6,16.9,34.3,24.0,0.0,16.7,58
2016-03-13,26.2,13.6,40.5,24.0,0.0,16.7,58
2016-03-14,27.7,18.3,38.1,24.0,0.0,16.7,57
2016-03-15,17.8,8.8,27.5,24.0,0.2,16.7,57
2016-03-16,19.4,10.0,32.9,24.2,0.2,16.9,57
2016-03-17,23.9,9.7,39.4,24.4,0.0,17.1,57
2016-03-18,24.8,13.3,39.6,24.4,0.0,17.1,56
2016-03-19,24.8,14.5,38.1,24.4,0.0,17.1,56
2016-03-20,25.7,10.9,43.7,24.4,0.0,17.1,56
2016-03-21,34.5,20.1,49.3,24.4,0.1,17.1,56
2016-03-22,28.8,12.6,38.8,24.5,0.1,17.2,54
2016-03-23,13.8,8.6,20.3,24.6,0.5,17.7,59
2016-03-24,19.0,7.0,32.4,25.1,0.3,17.9,60
2016-03-25,19.9,14.5,29.1,25.4,0.1,18.2,59
2016-03-26,13.6,-1.5,25.3,25.5,0.5,18.3,62
2016-03-27,19.0,-3.3,40.1,26.0,0.2,18.8,63
2016-03-28,27.7,20.3,40.6,26.2,0.0,18.9,63
2016-03-29,19.2,5.0,27.1,26.2,0.6,19.0,63
2016-03-30,11.8,-2.2,28.0,26.8,0.2,19.8,71
2016-03-31,16.2,8.4,30.7,27.0,0.2,19.9,71
2016-04-01,15.4,1.2,31.8,27.2,0.2,20.0,71
2016-04-02,23.4,6.4,42.4,27.4,0.0,20.0,67
2016-04-03,28.8,15.4,45.3,27.4,0.0,20.0,65
2016-04-04,32.4,18.3,50.7,27.4,0.0,20.0,64
2016-04-05,28.8,15.8,42.8,27.4,0.0,20.0,62
2016-04-06,29.7,13.3,47.3,27.4,0.0,20.0,61
2016-04-07,35.2,21.6,53.6,27.4,0.0,20.0,59
2016-04-08,34.2,24.8,48.6,27.4,0.0,20.0,58
2016-04-09,32.5,27.0,43.2,27.4,0.1,19.9,58
2016-04-10,32.2,24.3,44.6,27.5,0.0,19.8,58
2016-04-11,31.3,22.1,46.6,27.5,0.0,19.8,57
2016-04-12,30.4,21.0,45.7,27.5,0.2,19.8,56
2016-04-13,32.7,21.6,49.8,27.7,0.2,19.8,56
2016-04-14,35.2,27.5,43.7,27.9,0.0,19.7,54
2016-04-15,26.8,17.8,35.6,27.9,0.6,19.6,54
2016-04-16,21.9,15.4,34.2,28.5,0.8,20.2,64
2016-04-17,19.8,10.4,38.1,29.3,0.1,21.0,67
2016-04-18,19.2,7.3,33.8,29.4,0.2,21.1,68
2016-04-19,21.4,4.6,37.4,29.6,0.2,21.3,70
2016-04-20,30.6,21.9,43.5,29.8,0.1,21.5,67
2016-04-21,33.3,19.8,50.4,29.9,0.0,21.6,63
2016-04-22,39.0,25.0,54.9,29.9,0.0,21.7,61
2016-04-23,31.8,19.9,41.9,29.9,0.2,21.7,59
2016-04-24,32.2,19.2,46.6,30.1,0.0,21.8,57
2016-04-25,26.6,16.7,38.8,30.1,0.1,21.7,58
2016-04-26,21.9,15.8,35.2,30.2,0.3,21.8,60
2016-04-27,26.6,18.7,39.6,30.5,0.2,22.2,64
2016-04-28,27.7,20.5,41.9,30.7,0.5,22.3,64
2016-04-29,24.6,14.5,34.5,31.2,0.3,22.8,66
2016-04-30,26.8,18.3,41.2,31.5,0.2,23.0,68
2016-05-01,25.5,16.5,37.2,31.7,0.1,23.0,65
2016-05-02,28.8,16.3,44.1,31.8,0.1,23.0,63
2016-05-03,32.9,17.6,51.6,31.9,0.1,23.3,64
2016-05-04,38.3,23.7,57.4,32.0,0.0,23.1,62
2016-05-05,41.9,26.8,58.5,32.0,0.0,22.9,59
2016-05-06,39.6,29.1,52.7,32.0,0.0,22.5,57
2016-05-07,28.8,19.8,40.1,32.0,0.0,21.8,57
2016-05-08,26.8,18.0,38.3,32.0,0.2,21.5,57
2016-05-09,32.9,25.5,43.7,32.2,0.9,21.8,59
2016-05-10,33.3,24.3,43.5,33.1,0.4,22.0,59
2016-05-11,28.2,18.0,42.1,33.5,0.3,22.7,63
2016-05-12,34.3,16.5,53.2,33.8,0.0,22.1,60
2016-05-13,40.5,25.5,57.9,33.8,0.0,22.0,58
2016-05-14,43.2,29.3,59.9,33.8,0.0,21.8,57
2016-05-15,38.5,31.5,49.8,33.8,0.0,21.4,55
2016-05-16,30.9,24.4,44.2,33.8,0.6,21.2,54
2016-05-17,31.3,24.4,43.0,34.4,0.1,21.8,58
2016-05-18,33.3,27.3,44.8,34.5,0.0,21.8,56
2016-05-19,36.3,28.8,50.4,34.5,0.2,21.8,56
2016-05-20,40.8,29.5,50.0,34.7,0.0,21.9,55
2016-05-21,43.2,35.6,53.6,34.7,0.0,21.9,52
2016-05-22,38.3,28.4,50.7,34.7,0.0,21.8,49
2016-05-23,36.3,25.9,49.6,34.7,0.0,21.3,48
2016-05-24,37.9,27.1,49.8,34.7,0.0,21.0,45
2016-05-25,36.3,25.7,50.2,34.7,0.0,20.5,43
2016-05-26,30.9,25.7,40.8,34.7,0.0,20.2,43
2016-05-27,31.6,24.1,45.5,34.7,0.1,19.9,43
2016-05-28,35.8,22.6,51.1,34.8,0.0,19.3,42
2016-05-29,38.8,28.2,53.8,34.8,0.0,18.8,40
2016-05-30,39.4,28.2,56.5,34.8,0.0,18.8,38
2016-05-31,41.0,27.9,56.7,34.8,0.0,18.5,36
2016-06-01,42.6,30.2,57.0,34.8,0.0,18.0,33
2016-06-02,45.0,32.5,59.0,34.8,0.0,16.7,30
2016-06-03,46.8,36.1,61.2,34.8,0.0,15.8,28
2016-06-04,48.9,35.6,64.2,34.8,0.0,15.0,26
2016-06-05,50.4,36.9,66.0,34.8,0.0,13.0,22
2016-06-06,45.3,38.1,62.8,34.8,0.0,11.4,19
2016-06-07,49.3,36.7,64.9,34.8,0.0,11.0,18
2016-06-08,45.7,36.1,61.3,34.8,0.2,9.3,15
2016-06-09,47.8,35.8,66.2,35.0,0.1,6.0,13
2016-06-10,52.2,37.9,68.2,35.1,0.0,5.0,9
2016-06-11,48.9,37.2,62.6,35.1,0.0,1.7,3
2016-06-12,44.8,36.0,60.4,35.1,0.0,0.5,1
2016-06-13,39.6,30.4,51.3,35.1,0.2,0.0,0
2016-06-14,43.5,30.2,59.2,35.3,0.1,0.0,0
2016-06-15,49.5,34.9,64.2,35.4,0.0,0.0,0
2016-06-16,47.8,33.8,63.5,35.4,0.0,0.0,0
2016-06-17,50.2,34.9,68.4,35.4,0.0,0.0,0
2016-06-18,53.8,35.1,73.8,35.4,0.0,0.0,0
2016-06-19,56.5,40.3,73.4,35.4,0.0,0.0,0
2016-06-20,57.9,43.9,76.6,35.4,0.0,0.0,0
2016-06-21,55.0,44.6,71.8,35.4,0.0,0.0,0
2016-06-22,51.1,43.0,69.6,35.4,0.0,0.0,0
2016-06-23,53.6,43.9,66.9,35.4,0.0,0.0,0
2016-06-24,51.1,41.9,63.7,35.4,0.0,0.0,0
2016-06-25,52.2,41.0,66.4,35.4,0.0,0.0,0
2016-06-26,53.6,39.6,68.7,35.4,0.0,0.0,0
2016-06-27,55.0,39.9,69.8,35.4,0.0,0.0,0
2016-06-28,49.8,40.5,62.6,35.4,0.0,0.0,0
2016-06-29,46.4,38.8,62.6,35.4,0.5,0.0,0
2016-06-30,44.8,39.4,56.1,35.9,0.5,0.0,0
2016-07-01,44.2,41.7,48.2,36.4,0.7,0.0,0
2016-07-02,44.4,41.0,51.3,37.1,0.2,0.0,0
2016-07-03,46.0,38.1,56.5,37.3,0.1,0.0,0
2016-07-04,46.2,36.5,62.1,37.4,0.0,0.0,0
2016-07-05,52.7,40.8,67.5,37.4,0.0,0.0,0
2016-07-06,54.1,43.5,66.9,37.4,0.0,0.0,0
2016-07-07,52.9,40.3,67.3,37.4,0.0,0.0,0
2016-07-08,53.6,38.8,70.0,37.4,0.0,0.0,0
2016-07-09,55.0,40.8,70.9,37.4,0.0,0.0,0
2016-07-10,56.5,46.0,68.4,37.4,0.0,0.0,0
2016-07-11,51.3,40.1,64.2,37.4,0.0,0.0,0
2016-07-12,51.6,39.2,67.1,37.4,0.0,0.0,0
2016-07-13,53.1,39.9,67.5,37.4,0.0,0.0,0
2016-07-14,52.7,38.8,68.5,37.4,0.0,0.0,0
2016-07-15,54.7,40.3,70.7,37.4,0.0,0.0,0
2016-07-16,55.2,42.6,69.6,37.4,0.0,0.0,0
2016-07-17,55.2,43.9,70.0,37.4,0.0,0.0,0
2016-07-18,53.8,45.5,67.8,37.4,0.0,0.0,0
2016-07-19,49.5,41.2,62.2,37.4,0.1,0.0,0
2016-07-20,49.3,40.3,63.7,37.5,0.2,0.0,0
2016-07-21,52.7,40.3,68.4,37.7,0.0,0.0,0
2016-07-22,51.8,42.3,64.2,37.7,0.0,0.0,0
2016-07-23,54.9,41.2,71.2,37.7,0.0,0.0,0
2016-07-24,53.1,43.5,69.4,37.7,0.0,0.0,0
2016-07-25,53.1,41.9,66.9,37.7,0.0,0.0,0
2016-07-26,52.5,42.3,65.3,37.7,0.0,0.0,0
2016-07-27,54.7,40.3,70.0,37.7,0.0,0.0,0
2016-07-28,56.1,42.8,72.7,37.7,0.0,0.0,0
2016-07-29,56.5,43.9,70.3,37.7,0.0,0.0,0
2016-07-30,51.1,43.0,66.2,37.7,0.0,0.0,0
2016-07-31,49.6,43.0,63.5,37.7,0.3,0.0,0
2016-08-01,52.9,42.3,67.6,38.0,0.1,0.0,0
2016-08-02,52.2,44.1,69.1,38.1,0.0,0.0,0
2016-08-03,49.3,41.0,62.6,38.1,0.3,0.0,0
2016-08-04,48.2,42.1,55.8,38.4,0.2,0.0,0
2016-08-05,46.8,43.0,50.0,38.6,0.7,0.0,0
2016-08-06,45.7,39.9,55.4,39.3,0.4,0.0,0
2016-08-07,48.2,38.1,64.0,39.7,0.1,0.0,0
2016-08-08,46.6,39.9,60.8,39.8,0.1,0.0,0
2016-08-09,50.7,39.0,65.3,39.9,0.1,0.0,0
2016-08-10,46.8,39.9,60.1,40.0,0.3,0.0,0
2016-08-11,47.8,39.2,63.3,40.3,0.1,0.0,0
2016-08-12,48.0,37.9,61.9,40.4,0.0,0.0,0
2016-08-13,48.4,37.2,63.3,40.4,0.0,0.0,0
2016-08-14,48.4,35.1,65.1,40.4,0.0,0.0,0
2016-08-15,49.3,36.9,67.1,40.4,0.0,0.0,0
2016-08-16,44.4,37.2,59.4,40.4,0.2,0.0,0
2016-08-17,44.2,37.0,61.0,40.6,0.1,0.0,0
2016-08-18,43.2,36.5,55.2,40.7,0.1,0.0,0
2016-08-19,44.6,34.5,57.7,40.8,0.0,0.0,0
2016-08-20,48.2,36.3,63.5,40.8,0.0,0.0,0
2016-08-21,46.0,36.1,63.1,40.8,0.0,0.0,0
2016-08-22,42.3,36.3,53.2,40.8,0.2,0.0,0
2016-08-23,38.5,34.3,47.7,41.0,0.8,0.0,0
2016-08-24,42.4,34.7,53.6,41.8,0.1,0.0,0
2016-08-25,38.7,32.0,54.1,41.9,0.6,0.0,0
2016-08-26,39.6,31.8,53.2,42.5,0.1,0.0,0
2016-08-27,39.2,32.9,49.3,42.6,0.2,0.0,0
2016-08-28,39.6,33.8,55.6,42.8,0.3,0.0,0
2016-08-29,41.0,33.1,57.2,43.1,0.1,0.0,0
2016-08-30,42.8,33.8,58.8,43.2,0.0,0.0,0
2016-08-31,45.7,36.0,61.0,43.2,0.1,0.0,0
2016-09-01,48.0,39.0,61.9,43.3,0.1,0.0,0
2016-09-02,47.1,41.4,59.9,43.4,0.2,0.0,0
2016-09-03,45.0,39.9,57.2,43.6,0.2,0.0,0
2016-09-04,46.2,40.3,56.1,43.8,0.1,0.0,0
2016-09-05,47.5,36.7,61.7,43.9,0.0,0.0,0
2016-09-06,46.4,40.5,57.2,43.9,0.0,0.0,0
2016-09-07,46.8,36.3,61.9,43.9,0.0,0.0,0
2016-09-08,46.4,32.9,63.0,43.9,0.0,0.0,0
2016-09-09,47.8,35.8,61.7,43.9,0.0,0.0,0
2016-09-10,46.6,34.5,64.0,43.9,0.0,0.0,0
2016-09-11,46.2,36.7,60.6,43.9,0.0,0.0,0
2016-09-12,40.1,33.3,56.7,43.9,0.0,0.0,0
2016-09-13,38.3,31.6,51.3,43.9,0.2,0.0,0
2016-09-14,39.0,34.0,46.2,44.1,0.3,0.0,0
2016-09-15,42.1,28.8,55.9,44.4,0.0,0.0,0
2016-09-16,39.0,27.1,56.7,44.4,0.0,0.0,0
2016-09-17,40.5,29.8,55.6,44.4,0.0,0.0,0
2016-09-18,44.6,30.6,63.0,44.4,0.0,0.0,0
2016-09-19,47.3,34.2,68.5,44.4,0.0,0.0,0
2016-09-20,42.8,36.3,56.8,44.4,0.1,0.0,0
2016-09-21,43.2,38.1,50.9,44.5,0.3,0.0,0
2016-09-22,45.0,41.7,52.7,44.8,0.2,0.0,0
2016-09-23,30.2,18.7,43.0,45.0,0.8,0.0,0
2016-09-24,28.0,21.6,34.9,45.8,0.0,0.0,0
2016-09-25,34.5,21.6,50.2,45.8,0.0,0.0,0
2016-09-26,40.1,28.8,57.7,45.8,0.0,0.0,0
2016-09-27,43.7,31.8,63.1,45.8,0.0,0.0,0
2016-09-28,45.0,33.1,61.0,45.8,0.0,0.0,0
2016-09-29,40.5,37.2,46.8,45.8,0.1,0.0,0
2016-09-30,39.2,31.8,51.4,45.9,0.2,0.0,0
