Date,Scotch Creek (739) Air Temperature Average (degF),Scotch Creek (739) Air Temperature Minimum (degF),Scotch Creek (739) Air Temperature Maximum (degF),Scotch Creek (739) Precipitation Accumulation (in) Start of Day Values,Scotch Creek (739) Precipitation Increment (in),Scotch Creek (739) Snow Water Equivalent (in) Start of Day Values,Scotch Creek (739) Snow Depth (in) Start of Day Values
2016-01-17,22.1,8.1,34.3,11.9,0.1,8.3,35
2016-01-18,21.4,5.9,39.4,12.0,0.1,8.3,36
2016-01-19,23.9,11.3,35.6,12.1,0.1,8.5,37
2016-01-20,19.9,4.5,33.1,12.2,0.2,8.6,34
2016-01-21,16.7,0.1,44.2,12.4,0.2,8.8,36
2016-01-22,24.1,11.1,49.5,12.6,0.0,8.9,37
2016-01-23,24.8,10.4,47.5,12.6,0.0,8.9,36
2016-01-24,21.2,13.6,26.2,12.6,0.2,8.9,34
2016-01-25,9.0,-5.1,27.3,12.8,0.1,9.3,38
2016-01-26,9.0,-7.2,35.6,12.9,0.2,9.3,36
2016-01-27,22.3,7.5,49.5,13.1,0.0,9.3,37
2016-01-28,25.2,11.8,52.0,13.1,0.0,9.3,35
2016-01-29,25.3,15.4,47.1,13.1,0.0,9.3,36
2016-01-30,32.0,21.6,43.7,13.1,0.1,9.4,36
2016-01-31,28.0,26.6,30.2,13.2,0.7,9.7,36
2016-02-01,17.8,7.7,27.0,13.9,0.9,10.7,46
2016-02-02,5.5,-10.5,19.6,14.8,0.1,11.5,53
2016-02-03,-4.0,-15.2,16.7,14.9,0.3,11.7,49
2016-02-04,3.4,-13.2,22.3,15.2,0.0,11.7,49
2016-02-05,11.7,0.9,32.9,15.2,0.0,11.7,46
2016-02-06,17.1,1.0,43.7,15.2,0.0,11.7,47
2016-02-07,29.1,9.5,50.0,15.2,0.0,11.7,45
2016-02-08,30.6,16.3,52.7,15.2,0.0,11.7,44
2016-02-09,27.3,12.2,56.5,15.2,0.0,11.7,43
2016-02-10,27.5,13.3,56.5,15.2,0.0,11.7,43
2016-02-11,28.8,13.5,56.1,15.2,0.0,11.7,42
2016-02-12,32.2,18.7,58.5,15.2,0.0,11.7,41
2016-02-13,30.4,18.3,51.6,15.2,0.0,11.7,41
2016-02-14,27.0,12.6,42.4,15.2,0.0,11.5,39
2016-02-15,31.8,19.8,49.5,15.2,0.0,11.5,39
2016-02-16,30.2,16.2,54.0,15.2,0.0,11.4,39
2016-02-17,31.8,15.8,53.8,15.2,0.0,11.3,39
2016-02-18,38.1,27.3,47.5,15.2,0.0,11.3,38
2016-02-19,31.6,21.6,47.7,15.2,0.0,11.3,38
2016-02-20,31.5,17.4,51.8,15.2,0.0,11.3,37
2016-02-21,28.0,13.8,50.0,15.2,0.0,11.3,37
2016-02-22,23.2,12.4,39.2,15.2,0.0,11.3,37
2016-02-23,16.3,2.3,31.6,15.2,0.0,11.3,36
2016-02-24,16.5,-2.2,43.7,15.2,0.0,11.3,38
2016-02-25,27.1,10.2,51.3,15.2,0.0,11.3,38
2016-02-26,29.3,14.0,53.4,15.2,0.0,11.3,35
2016-02-27,29.7,16.5,50.7,15.2,0.0,11.3,35
2016-02-28,31.3,19.2,52.0,15.2,0.0,11.3,35
2016-02-29,32.5,19.2,47.7,15.2,0.0,11.3,35
2016-03-01,32.4,19.9,50.9,15.2,0.0,11.3,35
2016-03-02,31.8,20.7,47.3,15.2,0.0,11.3,34
2016-03-03,32.4,16.3,55.2,15.2,0.0,11.3,33
2016-03-04,33.8,21.9,54.3,15.2,0.0,11.3,32
2016-03-05,36.5,22.6,52.9,15.2,0.0,11.3,32
2016-03-06,33.3,28.8,40.1,15.2,0.1,11.3,32
2016-03-07,23.5,10.4,37.0,15.3,0.0,11.5,32
2016-03-08,21.6,6.1,44.2,15.3,0.2,11.5,34
2016-03-09,23.7,6.8,43.7,15.5,0.0,11.6,33
2016-03-10,31.8,13.1,59.2,15.5,0.0,11.6,33
2016-03-11,37.4,21.4,58.3,15.5,0.0,11.6,31
2016-03-12,29.8,18.3,39.2,15.5,0.0,11.6,29
2016-03-13,29.7,16.3,47.3,15.5,0.0,11.5,29
2016-03-14,34.7,26.6,46.0,15.5,0.0,11.3,29
2016-03-15,27.7,19.9,37.8,15.5,0.0,11.3,29
2016-03-16,29.1,16.3,41.0,15.5,0.0,11.3,29
2016-03-17,28.4,12.9,47.7,15.5,0.1,11.3,29
2016-03-18,32.5,18.3,49.1,15.6,0.0,11.3,27
2016-03-19,30.4,15.6,50.2,15.6,0.0,11.1,27
2016-03-20,31.5,14.2,52.9,15.6,0.0,10.7,26
2016-03-21,37.8,21.4,56.1,15.6,0.0,10.3,25
2016-03-22,36.0,19.6,48.6,15.6,0.0,9.7,24
2016-03-23,21.6,10.9,36.0,15.6,0.2,9.9,26
2016-03-24,25.3,10.0,45.3,15.8,0.1,9.9,26
2016-03-25,27.5,16.0,40.8,15.9,0.1,9.7,25
2016-03-26,21.0,4.6,36.3,16.0,0.2,9.6,25
2016-03-27,24.8,1.9,45.0,16.2,0.3,9.7,25
2016-03-28,35.6,26.8,47.5,16.5,0.0,9.4,24
2016-03-29,25.7,15.3,37.2,16.5,0.6,9.2,23
2016-03-30,18.0,6.3,34.0,17.1,0.0,9.7,25
2016-03-31,20.3,4.1,41.7,17.1,0.0,9.7,27
2016-04-01,24.3,6.6,44.6,17.1,0.0,9.7,27
2016-04-02,29.5,11.8,50.7,17.1,0.0,9.7,27
2016-04-03,34.3,17.8,56.1,17.1,0.0,9.7,25
2016-04-04,36.7,21.4,57.0,17.1,0.0,9.4,23
2016-04-05,34.7,21.0,52.7,17.1,0.0,9.1,21
2016-04-06,36.1,17.1,61.2,17.1,0.0,8.9,20
2016-04-07,40.8,23.7,63.5,17.1,0.0,8.4,18
2016-04-08,39.0,29.5,48.9,17.1,0.0,7.0,15
2016-04-09,36.7,30.4,48.9,17.1,0.0,5.8,12
2016-04-10,37.9,26.4,54.0,17.1,0.0,4.7,10
2016-04-11,33.4,23.7,49.8,17.1,0.0,3.4,7
2016-04-12,34.3,27.0,47.7,17.1,0.0,3.0,6
2016-04-13,37.8,23.7,58.5,17.1,0.0,2.7,6
2016-04-14,40.5,31.8,52.7,17.1,0.1,1.5,3
2016-04-15,32.7,26.8,41.9,17.2,0.3,1.5,3
2016-04-16,29.1,23.5,39.6,17.5,0.5,1.5,4
2016-04-17,26.6,16.5,39.2,18.0,0.3,2.1,6
2016-04-18,25.7,14.5,40.5,18.3,0.2,2.6,6
2016-04-19,27.3,10.9,41.0,18.5,0.2,2.9,8
2016-04-20,34.7,23.5,51.3,18.7,0.0,2.9,8
2016-04-21,38.5,22.3,61.3,18.7,0.0,2.7,7
2016-04-22,44.8,28.2,63.0,18.7,0.0,2.0,5
2016-04-23,39.2,23.7,56.1,18.7,0.0,0.8,3
2016-04-24,36.3,23.5,53.4,18.7,0.0,0.7,3
2016-04-25,32.0,23.5,47.5,18.7,0.0,0.3,1
2016-04-26,28.8,23.4,39.4,18.7,0.0,0.0,0
2016-04-27,32.9,19.0,44.6,18.7,0.2,0.0,0
2016-04-28,34.5,28.4,47.1,18.9,0.1,0.0,0
2016-04-29,31.5,25.2,43.0,19.0,0.2,0.0,0
2016-04-30,33.8,25.9,49.8,19.2,0.0,0.0,0
2016-05-01,31.5,25.5,38.1,19.2,0.4,0.0,0
2016-05-02,34.0,26.4,46.8,19.6,0.1,0.0,0
2016-05-03,39.4,22.1,61.9,19.7,0.4,0.0,0
2016-05-04,41.7,27.3,61.7,20.1,0.0,0.0,0
2016-05-05,47.1,28.8,67.1,20.1,0.0,0.0,0
2016-05-06,44.1,30.0,59.5,20.1,0.0,0.0,0
2016-05-07,33.1,26.4,43.9,20.1,0.0,0.0,0
2016-05-08,32.5,23.9,44.6,20.1,0.1,0.0,0
2016-05-09,37.9,30.0,53.2,20.2,0.6,0.0,0
2016-05-10,38.3,29.7,49.8,20.8,0.2,0.0,0
2016-05-11,36.0,25.2,51.4,21.0,0.2,0.0,0
2016-05-12,40.3,21.2,62.6,21.2,0.2,0.0,0
2016-05-13,44.6,26.2,66.0,21.4,0.1,0.0,0
2016-05-14,47.7,29.3,67.3,21.5,0.1,0.0,0
2016-05-15,45.7,35.6,59.9,21.6,0.0,0.0,0
2016-05-16,36.3,31.8,48.2,21.6,0.0,0.0,0
2016-05-17,37.2,30.0,49.1,21.6,0.0,0.0,0
2016-05-18,37.8,30.6,49.8,21.6,0.0,0.0,0
2016-05-19,37.9,30.6,52.7,21.6,0.2,0.0,0
2016-05-20,45.0,31.8,59.4,21.8,0.2,0.0,0
2016-05-21,47.5,33.1,63.1,22.0,0.0,0.0,0
2016-05-22,43.2,28.8,58.5,22.0,0.0,0.0,0
2016-05-23,41.7,27.1,59.2,22.0,0.0,0.0,0
2016-05-24,43.2,28.2,59.7,22.0,0.0,0.0,0
2016-05-25,42.3,28.0,58.3,22.0,0.0,0.0,0
2016-05-26,37.8,30.0,52.0,22.0,0.0,0.0,0
2016-05-27,38.7,28.0,55.2,22.0,0.0,0.0,0
2016-05-28,40.6,26.2,58.3,22.0,0.1,0.0,0
2016-05-29,40.6,29.8,62.8,22.1,0.0,0.0,0
2016-05-30,44.1,28.8,65.3,22.1,0.2,0.0,0
2016-05-31,46.0,28.2,66.0,22.3,0.1,0.0,0
2016-06-01,47.7,32.2,66.2,22.4,0.0,0.0,0
2016-06-02,51.3,32.9,71.4,22.4,0.1,0.0,0
2016-06-03,52.5,33.4,72.5,22.5,0.0,0.0,0
2016-06-04,53.1,36.1,74.8,22.5,0.0,0.0,0
2016-06-05,56.5,39.2,78.3,22.5,0.0,0.0,0
2016-06-06,55.2,39.4,73.6,22.5,0.0,0.0,0
2016-06-07,56.1,37.4,74.5,22.5,0.0,0.0,0
2016-06-08,52.7,36.1,70.9,22.5,0.0,0.0,0
2016-06-09,53.2,37.0,75.6,22.5,0.0,0.0,0
2016-06-10,57.6,36.9,78.6,22.5,0.0,0.0,0
2016-06-11,53.4,39.6,70.0,22.5,0.0,0.0,0
2016-06-12,52.5,37.8,71.1,22.5,0.0,0.0,0
2016-06-13,45.9,32.5,62.8,22.5,0.0,0.0,0
2016-06-14,47.5,30.4,67.1,22.5,0.0,0.0,0
2016-06-15,52.5,33.8,73.4,22.5,0.0,0.0,0
2016-06-16,50.4,32.5,70.5,22.5,0.0,0.0,0
2016-06-17,53.2,33.3,74.5,22.5,0.0,0.0,0
2016-06-18,56.5,32.2,80.6,22.5,0.0,0.0,0
2016-06-19,59.7,37.0,82.9,22.5,0.0,0.0,0
2016-06-20,64.0,42.1,86.0,22.5,0.0,0.0,0
2016-06-21,59.7,45.3,82.9,22.5,0.0,0.0,0
2016-06-22,55.4,42.3,77.4,22.5,0.0,0.0,0
2016-06-23,60.4,45.7,77.7,22.5,0.0,0.0,0
2016-06-24,57.9,44.2,73.6,22.5,0.0,0.0,0
2016-06-25,57.4,42.3,76.8,22.5,0.0,0.0,0
2016-06-26,59.2,41.0,79.2,22.5,0.0,0.0,0
2016-06-27,61.7,41.0,82.9,22.5,0.0,0.0,0
2016-06-28,53.2,41.2,73.2,22.5,0.0,0.0,0
2016-06-29,53.1,40.3,75.2,22.5,0.0,0.0,0
2016-06-30,53.2,44.2,69.6,22.5,0.1,0.0,0
2016-07-01,50.4,48.0,53.6,22.6,0.5,0.0,0
2016-07-02,50.9,42.8,62.6,23.1,0.1,0.0,0
2016-07-03,51.4,38.1,68.4,23.2,0.2,0.0,0
2016-07-04,53.2,37.2,73.6,23.4,0.1,0.0,0
2016-07-05,56.5,42.1,74.8,23.5,0.0,0.0,0
2016-07-06,55.2,38.8,74.1,23.5,0.0,0.0,0
2016-07-07,55.4,40.1,73.9,23.5,0.0,0.0,0
2016-07-08,55.8,36.3,76.1,23.5,0.0,0.0,0
2016-07-09,57.2,39.0,77.4,23.5,0.0,0.0,0
2016-07-10,57.6,42.3,76.5,23.5,0.0,0.0,0
2016-07-11,54.0,38.1,73.6,23.5,0.0,0.0,0
2016-07-12,49.6,,,23.5,0.0,0.0,0
2016-07-13,55.0,34.7,77.2,23.5,0.0,0.0,0
2016-07-14,56.7,35.8,,23.5,0.0,0.0,0
2016-07-15,57.4,37.2,,23.5,0.0,0.0,0
2016-07-16,57.4,,,23.5,0.0,0.0,0
2016-07-17,58.6,,78.3,23.5,0.0,0.0,0
2016-07-18,59.2,48.2,,23.5,0.2,0.0,0
2016-07-19,56.5,43.9,,23.7,0.3,0.0,0
2016-07-20,53.4,46.2,,24.0,0.3,0.0,0
2016-07-21,54.7,44.2,,24.3,0.5,0.0,0
2016-07-22,54.7,,72.9,24.8,0.0,0.0,0
2016-07-23,57.4,,,24.8,0.0,0.0,0
2016-07-24,56.8,44.8,78.3,24.8,0.0,0.0,0
2016-07-25,57.4,43.7,,24.8,0.0,0.0,0
2016-07-26,58.8,46.0,,24.8,0.0,0.0,0
2016-07-27,58.6,41.4,80.6,24.8,0.0,0.0,0
2016-07-28,59.7,,,24.8,0.0,0.0,0
2016-07-29,60.4,,,24.8,0.0,0.0,0
2016-07-30,54.1,,75.2,24.8,0.2,0.0,0
2016-07-31,58.3,47.8,73.4,25.0,0.0,0.0,0
2016-08-01,59.0,,,25.0,0.1,0.0,0
2016-08-02,57.9,49.1,,25.1,0.0,0.0,0
2016-08-03,56.5,46.8,,25.1,0.1,0.0,0
2016-08-04,54.1,,63.0,25.2,0.2,0.0,0
2016-08-05,52.9,,59.4,25.4,0.8,0.0,0
2016-08-06,54.1,,,26.2,0.1,0.0,0
2016-08-07,54.0,,,26.3,0.0,0.0,0
2016-08-08,55.6,,,26.3,0.0,0.0,0
2016-08-09,55.8,,,26.3,0.0,0.0,0
2016-08-10,55.9,,,26.3,0.0,0.0,0
2016-08-11,53.2,40.1,70.7,26.3,0.0,0.0,0
2016-08-12,52.5,,,26.3,0.1,0.0,0
2016-08-13,52.5,,,26.4,0.0,0.0,0
2016-08-14,51.8,,,26.4,0.0,0.0,0
2016-08-15,52.0,,,26.4,0.0,0.0,0
2016-08-16,52.7,,,26.4,0.0,0.0,0
2016-08-17,51.3,41.0,65.8,26.4,0.0,0.0,0
2016-08-18,47.7,38.1,,26.4,0.0,0.0,0
2016-08-19,49.5,35.8,69.6,26.4,0.0,0.0,0
2016-08-20,52.7,34.5,73.2,26.4,0.0,0.0,0
2016-08-21,50.4,39.2,69.6,26.4,0.0,0.0,0
2016-08-22,47.3,37.9,63.1,26.4,0.1,0.0,0
2016-08-23,43.9,37.4,57.9,26.5,0.6,0.0,0
2016-08-24,48.2,37.9,,27.1,0.0,0.0,0
2016-08-25,47.5,34.2,66.9,27.1,0.3,0.0,0
2016-08-26,47.3,37.8,62.6,27.4,0.0,0.0,0
2016-08-27,45.7,36.9,,27.4,0.2,0.0,0
2016-08-28,44.1,36.0,61.9,27.6,0.1,0.0,0
2016-08-29,45.9,34.7,63.9,27.7,0.0,0.0,0
2016-08-30,48.2,37.8,65.5,27.7,0.1,0.0,0
2016-08-31,50.0,39.2,65.5,27.8,0.0,0.0,0
2016-09-01,52.7,,68.0,27.8,0.1,0.0,0
2016-09-02,53.4,,68.7,27.9,0.0,0.0,0
2016-09-03,52.2,44.2,65.3,27.9,0.0,0.0,0
2016-09-04,51.3,37.9,67.1,27.9,0.1,0.0,0
2016-09-05,49.8,36.1,70.0,28.0,0.0,0.0,0
2016-09-06,49.5,,,28.0,0.1,0.0,0
2016-09-07,48.2,,66.0,28.1,0.0,0.0,0
2016-09-08,48.6,,,28.1,0.0,0.0,0
2016-09-09,49.5,33.8,71.4,28.1,0.0,0.0,0
2016-09-10,49.5,33.8,,28.1,0.0,0.0,0
2016-09-11,49.8,35.8,69.6,28.1,0.0,0.0,0
2016-09-12,44.2,35.1,,28.1,0.2,0.0,0
2016-09-13,46.0,36.3,61.0,28.3,0.0,0.0,0
2016-09-14,45.9,,,28.3,0.1,0.0,0
2016-09-15,41.7,27.9,,28.4,0.0,0.0,0
2016-09-16,41.7,26.2,65.1,28.4,0.0,0.0,0
2016-09-17,42.6,27.7,64.4,28.4,0.0,0.0,0
2016-09-18,45.7,27.3,71.6,28.4,0.0,0.0,0
2016-09-19,49.3,30.7,80.2,28.4,0.0,0.0,0
2016-09-20,47.7,36.3,104.2,28.4,0.0,0.0,0
2016-09-21,49.3,44.1,57.7,28.4,0.3,0.0,0
2016-09-22,52.9,45.9,66.6,28.7,0.1,0.0,0
2016-09-23,35.2,22.5,91.2,28.8,0.7,0.0,0
2016-09-24,33.4,27.7,94.3,29.5,0.0,0.0,0
2016-09-25,40.8,26.6,62.8,29.5,0.0,0.0,0
2016-09-26,44.8,29.8,,29.5,0.0,0.0,0
2016-09-27,47.1,31.6,,29.5,0.0,0.0,0
2016-09-28,48.6,32.7,67.8,29.5,0.0,0.0,0
2016-09-29,44.2,41.4,48.4,29.5,0.1,0.0,0
2016-09-30,47.1,33.3,,29.6,0.0,0.0,0
